"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","ホーム","所在地","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","乗車人員,-統計年次-","Hidden","Hidden","Hidden","Hidden"
"勾当台公園駅","勾当台公園駅（こうとうだいこうえんえき）","https://ja.wikipedia.org/wiki/勾当台公園駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯38度15分59.00秒東経140度52分16.83秒","■南北線","7.3 km（泉中央起点）","仙台市交通局（仙台市地下鉄）","地下駅","1987年（昭和62年）7月15日","1面2線","仙台市青葉区本町三丁目9-2先北緯38度15分59.00秒東経140度52分16.83秒﻿ / ﻿北緯38.2663889度 東経140.8713417度﻿ /38.2663889; 140.8713417座標:北緯38度15分59.00秒東経140度52分16.83秒﻿ / ﻿北緯38.2663889度 東経140.8713417度﻿ /38.2663889; 140.8713417","駅務管区所在駅","○N08","","16,963人/日（降車客含まず）-2019年-","33,714[1]人/日-2019年-","","","","","","",""
"甲東中学校前停留場","甲東中学校前停留場（こうとうちゅうがっこうまえていりゅうじょう）","https://ja.wikipedia.org/wiki/甲東中学校前停留場","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯31度35分9.44秒東経130度33分10.67秒","鹿児島市電第一期線（1系統）","0.7km（武之橋起点）鹿児島駅前から2.3 km","鹿児島市交通局","地上駅","1914年7月3日","2面2線","鹿児島県鹿児島市樋之口町北緯31度35分9.44秒東経130度33分10.67秒﻿ / ﻿北緯31.5859556度 東経130.5529639度﻿ /31.5859556; 130.5529639﻿ (甲東中学校前停留場*)","* 2015年に市立病院前から改称","●I09","","","586人/日-2015年-","","","","","","",""
"豪徳寺駅","豪徳寺駅（ごうとくじえき）","https://ja.wikipedia.org/wiki/豪徳寺駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度39分13秒東経139度38分50.3秒","小田原線","7.0 km（新宿起点）","小田急電鉄","高架駅","1927年（昭和2年）4月1日","2面4線*","東京都世田谷区豪徳寺一丁目43番4号北緯35度39分13秒東経139度38分50.3秒座標:北緯35度39分13秒 東経139度38分50.3秒","*通過線2線含む","OH10","","","28,656人/日-2019年-","東急世田谷線（山下駅）","","","","","",""
"河戸帆待川駅","河戸帆待川駅（こうどほまちがわえき）","https://ja.wikipedia.org/wiki/河戸帆待川駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯34度31分00.12秒東経132度30分18.01秒","B可部線","14.8km（横川起点）広島から17.8 km","西日本旅客鉄道（JR西日本）","地上駅","2017年（平成29年）3月4日[2][広報 2]","1面1線[広報 1]","広島市安佐北区亀山二丁目27-12北緯34度31分00.12秒東経132度30分18.01秒﻿ / ﻿北緯34.5167000度 東経132.5050028度﻿ /34.5167000; 132.5050028座標:北緯34度31分00.12秒東経132度30分18.01秒﻿ / ﻿北緯34.5167000度 東経132.5050028度﻿ /34.5167000; 132.5050028","無人駅（自動券売機 有）広島市内駅","JR-B15","コホ[1]","1,226人/日（降車客含まず）-2019年-","","","","","","","",""
"咥内停留場","咥内停留場（こうないていりゅうじょう）","https://ja.wikipedia.org/wiki/咥内停留場","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯33度33分8.4秒東経133度28分13.76秒","伊野線","7.3 km（はりまや橋起点）","とさでん交通","地上駅","1907年（明治40年）9月16日","2面1線","高知県高知市朝倉北緯33度33分8.4秒東経133度28分13.76秒﻿ / ﻿北緯33.552333度 東経133.4704889度﻿ /33.552333; 133.4704889﻿ (咥内停留場)","","","","","","","","","","","",""
"甲南駅","甲南駅（こうなんえき・西日本旅客鉄道草津線）","https://ja.wikipedia.org/wiki/甲南駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯34度55分52.16秒東経136度10分9.95秒","C草津線","12.5 km（柘植起点）","西日本旅客鉄道（JR西日本）","地上駅（橋上駅）","1890年（明治23年）2月19日","2面2線","滋賀県甲賀市甲南町深川1615北緯34度55分52.16秒東経136度10分9.95秒﻿ / ﻿北緯34.9311556度 東経136.1694306度﻿ /34.9311556; 136.1694306座標:北緯34度55分52.16秒東経136度10分9.95秒﻿ / ﻿北緯34.9311556度 東経136.1694306度﻿ /34.9311556; 136.1694306","簡易委託駅*1956年に深川駅から改称。","","コナ","807人/日（降車客含まず）-2019年-","","","","","","","",""
"江南駅 (愛知県)","江南駅 (愛知県)（こうなんえき・名古屋鉄道犬山線）","https://ja.wikipedia.org/wiki/江南駅_(愛知県)","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度20分6秒東経136度52分20秒","犬山線","16.2 km（枇杷島分岐点起点）","名古屋鉄道","地上駅","1912年（大正元年）8月6日[1]","1面2線","愛知県江南市古知野町朝日283北緯35度20分6秒東経136度52分20秒﻿ / ﻿北緯35.33500度 東経136.87222度﻿ /35.33500; 136.87222座標:北緯35度20分6秒東経136度52分20秒﻿ / ﻿北緯35.33500度 東経136.87222度﻿ /35.33500; 136.87222","* 1981年古知野より改称[1]有人駅","IY  10 ","","","26,888人/日-2019年-","","","","","","",""
"江南駅 (島根県)","江南駅 (島根県)（こうなんえき・西日本旅客鉄道山陰本線）","https://ja.wikipedia.org/wiki/江南駅_(島根県)","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度18分55.76秒東経132度41分0.91秒","D山陰本線","393.5 km（京都起点）","西日本旅客鉄道（JR西日本）","地上駅","1913年（大正2年）11月21日","1面2線","島根県出雲市湖陵町三部575北緯35度18分55.76秒東経132度41分0.91秒﻿ / ﻿北緯35.3154889度 東経132.6835861度﻿ /35.3154889; 132.6835861﻿ (江南駅)座標:北緯35度18分55.76秒東経132度41分0.91秒﻿ / ﻿北緯35.3154889度 東経132.6835861度﻿ /35.3154889; 132.6835861﻿ (江南駅)","無人駅","","コナ","97人/日（降車客含まず）-2018年-","","","","","","","",""
"幌南小学校前停留場","幌南小学校前停留場（こうなんしょうがっこうまえていりゅうじょう）","https://ja.wikipedia.org/wiki/幌南小学校前停留場","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯43度1分56.3秒東経141度21分6.9秒","山鼻線","1.023 km（中央図書館前起点）","札幌市交通事業振興公社（札幌市電）","地上駅（停留場）","1931年11月21日","2面2線","札幌市中央区南21条西7丁目北緯43度1分56.3秒東経141度21分6.9秒﻿ / ﻿北緯43.032306度 東経141.351917度﻿ /43.032306; 141.351917座標:北緯43度1分56.3秒東経141度21分6.9秒﻿ / ﻿北緯43.032306度 東経141.351917度﻿ /43.032306; 141.351917","運行系統上の起点となる西4丁目より5.613 km","○SC15","","","1,567[1]人/日-2019年-","","","","","","",""
"港南台駅","港南台駅（こうなんだいえき）","https://ja.wikipedia.org/wiki/港南台駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度22分31秒東経139度34分36秒","■根岸線","16.0km（横浜起点）大宮から75.1km八王子から60.4 km","東日本旅客鉄道（JR東日本）","地上駅（橋上駅、掘割構造）","1973年（昭和48年）4月9日","1面2線","横浜市港南区港南台三丁目1-1北緯35度22分31秒東経139度34分36秒座標:北緯35度22分31秒 東経139度34分36秒","業務委託駅みどりの窓口有横浜市内駅","JK03","コナ","31,683人/日（降車客含まず）-2019年-","","","","","","","",""
"港南中央駅","港南中央駅（こうなんちゅうおうえき）","https://ja.wikipedia.org/wiki/港南中央駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度24分4秒東経139度35分27.4秒","■ブルーライン（1号線）","12.7 km（湘南台起点）","横浜市交通局（横浜市営地下鉄）","地下駅","1976年（昭和51年）9月4日","2面2線","横浜市港南区港南中央通10番B-1号[1]北緯35度24分4秒東経139度35分27.4秒﻿ / ﻿北緯35.40111度 東経139.590944度﻿ /35.40111; 139.590944﻿ (港南中央駅)座標:北緯35度24分4秒東経139度35分27.4秒﻿ / ﻿北緯35.40111度 東経139.590944度﻿ /35.40111; 139.590944﻿ (港南中央駅)","業務委託駅（京王設備サービス）","B10","","10,013人/日（降車客含まず）-2019年-","19,627人/日-2019年-","","","","","","",""
"甲南山手駅","甲南山手駅（こうなんやまてえき）","https://ja.wikipedia.org/wiki/甲南山手駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯34度43分50.1秒東経135度17分32.73秒","A東海道本線（JR神戸線）","577.0km（東京起点）大阪から20.6 km","西日本旅客鉄道（JR西日本）","高架駅","1996年（平成8年）10月1日[2]","1面2線[2]","神戸市東灘区森北町一丁目1[1]北緯34度43分50.1秒東経135度17分32.73秒﻿ / ﻿北緯34.730583度 東経135.2924250度﻿ /34.730583; 135.2924250﻿ (甲南山手駅)座標:北緯34度43分50.1秒東経135度17分32.73秒﻿ / ﻿北緯34.730583度 東経135.2924250度﻿ /34.730583; 135.2924250﻿ (甲南山手駅)","業務委託駅みどりの券売機プラス設置駅神戸市内駅","JR-A55","コナ","11,516人/日（降車客含まず）-2019年-","","","","","","","",""
"甲奴駅","甲奴駅（こうぬえき）","https://ja.wikipedia.org/wiki/甲奴駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯34度42分13.08秒東経133度4分52.73秒","Z福塩線","54.7 km（福山起点）","西日本旅客鉄道（JR西日本）","地上駅","1935年（昭和10年）11月15日","1面1線","広島県三次市甲奴町本郷字時兼653-2北緯34度42分13.08秒東経133度4分52.73秒﻿ / ﻿北緯34.7036333度 東経133.0813139度﻿ /34.7036333; 133.0813139﻿ (甲奴駅)","無人駅","","コヌ","21人/日（降車客含まず）-2017年-","","","","","","","",""
"鴻池新田駅","鴻池新田駅（こうのいけしんでんえき）","https://ja.wikipedia.org/wiki/鴻池新田駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯34度41分55.74秒東経135度35分52秒","H片町線（学研都市線）","37.9 km（木津起点）","西日本旅客鉄道（JR西日本）","高架駅","1912年（明治45年）4月21日","2面2線","大阪府東大阪市西鴻池町一丁目1-1北緯34度41分55.74秒東経135度35分52秒﻿ / ﻿北緯34.6988167度 東経135.59778度﻿ /34.6988167; 135.59778座標:北緯34度41分55.74秒東経135度35分52秒﻿ / ﻿北緯34.6988167度 東経135.59778度﻿ /34.6988167; 135.59778","業務委託駅みどりの窓口有","JR-H37","コケ","13,584人/日（降車客含まず）-2019年-","","","","","","","",""
"高野川駅","高野川駅（こうのかわえき）","https://ja.wikipedia.org/wiki/高野川駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯33度42分5.18秒東経132度39分30.51秒","■予讃線（愛ある伊予灘線）","213.9 km（高松起点）","四国旅客鉄道（JR四国）","地上駅","1963年（昭和38年）2月1日","1面1線","愛媛県伊予市双海町高野川北緯33度42分5.18秒東経132度39分30.51秒﻿ / ﻿北緯33.7014389度 東経132.6584750度﻿ /33.7014389; 132.6584750座標:北緯33度42分5.18秒東経132度39分30.51秒﻿ / ﻿北緯33.7014389度 東経132.6584750度﻿ /33.7014389; 132.6584750","無人駅","○S07","コノ","","70[1]人/日-2019年-","","","","","","",""
"鴻巣駅","鴻巣駅（こうのすえき）","https://ja.wikipedia.org/wiki/鴻巣駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯36度3分33.21秒東経139度30分34.73秒","■高崎線","20.0 km（大宮起点）東京から尾久経由で50.5 km","東日本旅客鉄道（JR東日本）","2面3線[1]","1883年（明治16年）7月28日[1]","地上駅（橋上駅）","埼玉県鴻巣市本町一丁目1-1北緯36度3分33.21秒東経139度30分34.73秒﻿ / ﻿北緯36.0592250度 東経139.5096472度﻿ /36.0592250; 139.5096472﻿ (鴻巣駅)","直営駅（管理駅）みどりの窓口有[1]","","ノス","19,345人/日（降車客含まず）-2019年-","","","","","","","",""
"国府台駅","国府台駅（こうのだいえき）","https://ja.wikipedia.org/wiki/国府台駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度44分11.01秒東経139度54分10.64秒","■本線","16.4 km（京成上野起点）","京成電鉄","高架駅","1914年（大正3年）8月30日","2面2線","千葉県市川市市川三丁目30番1号北緯35度44分11.01秒東経139度54分10.64秒座標:北緯35度44分11.01秒 東経139度54分10.64秒","","KS13","","","13,201人/日-2019年-","","","","","","",""
"コウノトリの郷駅","コウノトリの郷駅（こうのとりのさとえき）","https://ja.wikipedia.org/wiki/コウノトリの郷駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度33分11.14秒東経134度50分9.14秒","宮津線（宮豊線）*","80.6 km（西舞鶴起点）","WILLER TRAINS（京都丹後鉄道）","地上駅[1][2]","1929年（昭和4年）12月15日[2]","1面1線[1][2]","兵庫県豊岡市日撫北緯35度33分11.14秒東経134度50分9.14秒﻿ / ﻿北緯35.5530944度 東経134.8358722度﻿ /35.5530944; 134.8358722座標:北緯35度33分11.14秒東経134度50分9.14秒﻿ / ﻿北緯35.5530944度 東経134.8358722度﻿ /35.5530944; 134.8358722","無人駅[1][2]","T25","ミエ←ミヱ","2人/日（降車客含まず）-2019年-","","","","","","","",""
"河野原円心駅","河野原円心駅（こうのはらえんしんえき）","https://ja.wikipedia.org/wiki/河野原円心駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯34度55分7.63秒東経134度21分9.79秒","智頭線","7.4 km（上郡起点）","智頭急行","高架駅[1]","1994年（平成6年）12月3日[1]","2面2線[1]","兵庫県赤穂郡上郡町河野原289-3[1]北緯34度55分7.63秒東経134度21分9.79秒﻿ / ﻿北緯34.9187861度 東経134.3527194度﻿ /34.9187861; 134.3527194座標:北緯34度55分7.63秒東経134度21分9.79秒﻿ / ﻿北緯34.9187861度 東経134.3527194度﻿ /34.9187861; 134.3527194","無人駅[1]","","コウ","","5人/日-2018年-","","","","","","",""
"国府宮駅","国府宮駅（こうのみやえき）","https://ja.wikipedia.org/wiki/国府宮駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度15分14秒東経136度48分11秒","名古屋本線","80.9 km（豊橋起点）","名古屋鉄道","地上駅","1924年（大正13年）2月15日","島式 2面4線","愛知県稲沢市松下一丁目1-1北緯35度15分14秒東経136度48分11秒﻿ / ﻿北緯35.25389度 東経136.80306度﻿ /35.25389; 136.80306座標:北緯35度15分14秒東経136度48分11秒﻿ / ﻿北緯35.25389度 東経136.80306度﻿ /35.25389; 136.80306","","NH  47 ","","","22,767人/日-2019年[1]-","","","","","","",""
"鴻野山駅","鴻野山駅（こうのやまえき）","https://ja.wikipedia.org/wiki/鴻野山駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯36度39分59.26秒東経140度3分6.47秒","■烏山線","8.3 km（宝積寺起点）","東日本旅客鉄道（JR東日本）","地上駅","1934年（昭和9年）8月15日","1面1線","栃木県那須烏山市鴻野山192-4北緯36度39分59.26秒東経140度3分6.47秒﻿ / ﻿北緯36.6664611度 東経140.0517972度﻿ /36.6664611; 140.0517972座標:北緯36度39分59.26秒東経140度3分6.47秒﻿ / ﻿北緯36.6664611度 東経140.0517972度﻿ /36.6664611; 140.0517972","無人駅","","コウ","","","","","","","","",""
"郷原駅","郷原駅（ごうばらえき）","https://ja.wikipedia.org/wiki/郷原駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯36度32分55.41秒東経138度48分4.24秒","■吾妻線","26.3 km（渋川起点）","東日本旅客鉄道（JR東日本）","地上駅","1946年（昭和21年）4月20日[1]","2面2線[1]","群馬県吾妻郡東吾妻町大字郷原607北緯36度32分55.41秒東経138度48分4.24秒座標:北緯36度32分55.41秒 東経138度48分4.24秒","無人駅[1]","","コハ","86人/日（降車客含まず）-2011年-","","","","","","","",""
"甲府駅","甲府駅（こうふえき）","https://ja.wikipedia.org/wiki/甲府駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度40分1.8秒東経138度34分8.4秒","■中央本線（JR東日本）","134.1 km（東京起点）","東日本旅客鉄道（JR東日本）*東海旅客鉄道（JR東海）","地上駅（橋上駅）","1903年（明治36年）6月11日[1]","2面5線[1]","山梨県甲府市丸の内一丁目1-8北緯35度40分1.8秒東経138度34分8.4秒座標:北緯35度40分1.8秒 東経138度34分8.4秒","直営駅（管理駅）みどりの窓口有","CO43[報道 1]","コフ","14,246人/日（降車客含まず）-2019年-","","","","","","","",""
"光風台駅 (大阪府)","光風台駅 (大阪府)（こうふうだいえき・能勢電鉄妙見線）","https://ja.wikipedia.org/wiki/光風台駅_(大阪府)","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯34度54分0.4秒東経135度25分54.1秒","妙見線","10.3 km（川西能勢口起点）","能勢電鉄","橋上駅","1978年（昭和53年）10月16日[1]","相対式2面2線","大阪府豊能郡豊能町光風台3丁目北緯34度54分0.4秒東経135度25分54.1秒﻿ / ﻿北緯34.900111度 東経135.431694度﻿ /34.900111; 135.431694座標:北緯34度54分0.4秒東経135度25分54.1秒﻿ / ﻿北緯34.900111度 東経135.431694度﻿ /34.900111; 135.431694","無人駅","●NS12","","","","","3,459人/日-2019年-","","","","",""
"光風台駅 (千葉県)","光風台駅 (千葉県)（こうふうだいえき・小湊鉄道小湊鉄道線）","https://ja.wikipedia.org/wiki/光風台駅_(千葉県)","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度26分25.1秒東経140度6分51.2秒","小湊鉄道線","10.6 km（五井起点）","小湊鉄道","地上駅","1976年（昭和51年）12月23日","1面2線","千葉県市原市中高根846北緯35度26分25.1秒東経140度6分51.2秒座標:北緯35度26分25.1秒 東経140度6分51.2秒","時間帯有人駅","","","319人/日（降車客含まず）-2018年-","","","","","","","",""
"神戸駅 (兵庫県)","神戸駅 (兵庫県)（こうべえき・西日本旅客鉄道東海道本線・山陽本線）","https://ja.wikipedia.org/wiki/神戸駅_(兵庫県)","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯34度40分46.3秒東経135度10分40.89秒","A東海道本線（JR神戸線）","589.5km（東京起点）大阪から33.1 km","西日本旅客鉄道（JR西日本）","高架駅[1]","1874年（明治7年）5月11日[1]","3面5線[1]","神戸市中央区相生町三丁目1-1[1]北緯34度40分46.3秒東経135度10分40.89秒﻿ / ﻿北緯34.679528度 東経135.1780250度﻿ /34.679528; 135.1780250座標:北緯34度40分46.3秒東経135度10分40.89秒﻿ / ﻿北緯34.679528度 東経135.1780250度﻿ /34.679528; 135.1780250","直営駅（管理駅）みどりの窓口有神戸市内駅（中心駅）","JR-A63","コヘ","72,517人/日（降車客含まず）-2019年-","","ハーバーランド駅（地下鉄海岸線）高速神戸駅（神戸高速線）","","","","","",""
"神戸貨物ターミナル駅","神戸貨物ターミナル駅（こうべかもつターミナルえき）","https://ja.wikipedia.org/wiki/神戸貨物ターミナル駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯34度39分7.4秒東経135度8分7秒","山陽本線","5.1km*（神戸起点）大阪から38.2 km","日本貨物鉄道（JR貨物）","地上駅","2003年（平成15年）12月1日**[1]","","神戸市須磨区大池町五丁目1-21北緯34度39分7.4秒東経135度8分7秒﻿ / ﻿北緯34.652056度 東経135.13528度﻿ /34.652056; 135.13528座標:北緯34度39分7.4秒東経135度8分7秒﻿ / ﻿北緯34.652056度 東経135.13528度﻿ /34.652056; 135.13528","貨物専用駅","","タカ","","","","","","","","",""
"神戸空港駅","神戸空港駅（こうべくうこうえき）","https://ja.wikipedia.org/wiki/神戸空港駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯34度38分13.90秒東経135度13分44.23秒","ポートアイランド線（ポートライナー）","8.2 km（三宮起点）","神戸新交通","高架駅[1]","2006年（平成18年）2月2日[1]","島式1面2線[1]","神戸市中央区神戸空港1番[1]北緯34度38分13.90秒東経135度13分44.23秒﻿ / ﻿北緯34.6371944度 東経135.2289528度﻿ /34.6371944; 135.2289528﻿ (神戸空港駅)座標:北緯34度38分13.90秒東経135度13分44.23秒﻿ / ﻿北緯34.6371944度 東経135.2289528度﻿ /34.6371944; 135.2289528﻿ (神戸空港駅)",""," P09 ","","3,549人/日（降車客含まず）-2019年-","","","","","","","",""
"三宮駅","神戸三宮駅（こうべさんのみやえき）","https://ja.wikipedia.org/wiki/三宮駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","","","","阪神電気鉄道（駅詳細）阪急電鉄（駅詳細）神戸新交通（駅詳細）神戸市交通局（駅詳細）","","","","神戸市中央区","","","","","","JR神戸線（三ノ宮駅）地下鉄海岸線（三宮・花時計前駅）","","","","","",""
"江北駅","江北駅（こうほくえき）","https://ja.wikipedia.org/wiki/江北駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度46分26秒東経139度46分13.1秒","日暮里・舎人ライナー","5.2 km（日暮里起点）","東京都交通局","高架駅","2008年（平成20年）3月30日[1]","1面2線","東京都足立区江北四丁目30-27北緯35度46分26秒東経139度46分13.1秒﻿ / ﻿北緯35.77389度 東経139.770306度﻿ /35.77389; 139.770306﻿ (江北駅)座標:北緯35度46分26秒東経139度46分13.1秒﻿ / ﻿北緯35.77389度 東経139.770306度﻿ /35.77389; 139.770306﻿ (江北駅)","無人駅","NT08","北（駅名略称）","","10,912人/日-2019年-","","","","","","",""
"好摩駅","好摩駅（こうまえき）","https://ja.wikipedia.org/wiki/好摩駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯39度52分27.2秒東経141度10分24.5秒","■いわて銀河鉄道線（IGR）","21.3km（盛岡起点）東京から556.6 km","IGRいわて銀河鉄道東日本旅客鉄道（JR東日本）","地上駅（橋上駅）[1]","1891年（明治24年）9月1日","2面3線","岩手県盛岡市好摩字上山2-14北緯39度52分27.2秒東経141度10分24.5秒座標:北緯39度52分27.2秒 東経141度10分24.5秒","共同使用駅（IGRいわて銀河鉄道の管轄駅）直営駅","","コマ","（JR東日本）-2019年-484*人/日（降車客含まず）","（銀河鉄道）-2019年-1,764*人/日","","","","","","",""
"小海駅","小海駅（こうみえき・東日本旅客鉄道小海線）","https://ja.wikipedia.org/wiki/小海駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯36度5分19.43秒東経138度28分58.27秒","■小海線","48.3 km（小淵沢起点）","東日本旅客鉄道（JR東日本）","地上駅","1919年（大正8年）3月11日[1]","2面3線[1]","長野県南佐久郡小海町大字小海[1]北緯36度5分19.43秒東経138度28分58.27秒﻿ / ﻿北緯36.0887306度 東経138.4828528度﻿ /36.0887306; 138.4828528座標:北緯36度5分19.43秒東経138度28分58.27秒﻿ / ﻿北緯36.0887306度 東経138.4828528度﻿ /36.0887306; 138.4828528","直営駅標高：865.1m[1]","","コミ[1]","165人/日（降車客含まず）-2019年-","","","","","","","",""
"神海駅","神海駅（こうみえき・樽見鉄道樽見線）","https://ja.wikipedia.org/wiki/神海駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度32分32.82秒東経136度38分30.37秒","樽見線","23.6 km（大垣起点）","樽見鉄道","地上駅","1958年（昭和33年）4月29日","1面2線","岐阜県本巣市神海北緯35度32分32.82秒東経136度38分30.37秒﻿ / ﻿北緯35.5424500度 東経136.6417694度﻿ /35.5424500; 136.6417694座標:北緯35度32分32.82秒東経136度38分30.37秒﻿ / ﻿北緯35.5424500度 東経136.6417694度﻿ /35.5424500; 136.6417694","","","","12人/日（降車客含まず）-2016年-","","","","","","","",""
"光明池駅","光明池駅（こうみょういけえき）","https://ja.wikipedia.org/wiki/光明池駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯34度28分28.9秒東経135度28分31.8秒","■泉北高速鉄道線","12.1 km（中百舌鳥起点）難波から25.5 km","泉北高速鉄道","高架駅","1977年（昭和52年）8月20日","島式 1面2線","堺市南区新檜尾台二丁1-1北緯34度28分28.9秒東経135度28分31.8秒﻿ / ﻿北緯34.474694度 東経135.475500度﻿ /34.474694; 135.475500座標:北緯34度28分28.9秒東経135度28分31.8秒﻿ / ﻿北緯34.474694度 東経135.475500度﻿ /34.474694; 135.475500","","SB 05","コミヨ","","","","30,149人/日-2019年-","","","","",""
"光明寺駅","光明寺駅（こうみょうじえき）","https://ja.wikipedia.org/wiki/光明寺駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯36度5分18.5秒東経136度20分40.5秒","■勝山永平寺線","12.7 km（福井起点）","えちぜん鉄道","地上駅","1914年（大正3年）2月11日","1面1線","福井県吉田郡永平寺町光明寺13-40-2北緯36度5分18.5秒東経136度20分40.5秒﻿ / ﻿北緯36.088472度 東経136.344583度﻿ /36.088472; 136.344583座標:北緯36度5分18.5秒東経136度20分40.5秒﻿ / ﻿北緯36.088472度 東経136.344583度﻿ /36.088472; 136.344583","無人駅","○E14","","","28人/日-2019年-","","","","","","",""
"神目駅","神目駅（こうめえき）","https://ja.wikipedia.org/wiki/神目駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯34度53分46.21秒東経133度56分6.59秒","T津山線","36.5 km（岡山起点）","西日本旅客鉄道（JR西日本）","地上駅","1928年（昭和3年）12月16日","1面1線","岡山県久米郡久米南町神目中北緯34度53分46.21秒東経133度56分6.59秒","無人駅","","カウ","65人/日（降車客含まず）-2019年-","","","","","","","",""
