"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","標高","位置","山系","種類","初登頂","インペリアル,換算","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden"
"剣尾山","[29画 像 募 集 中けんびさん剣尾山大阪府784地理院地図Googleマップ北緯35度00分12秒東経135度24分14秒﻿ / ﻿北緯35.003370度 東経135.403833度﻿ /35.003370; 135.403833﻿ (剣尾山)大阪50山近畿百名山] 剣尾山 （けんぴさん）は 大阪府 豊能郡 能勢町 宿野に位置する、 標高 784mの 山 。 北摂山系 の主要な山であり、 関西百名山 、 大阪50山 の一つである。","https://ja.wikipedia.org/wiki/剣尾山","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯35度00分12秒東経135度24分14秒","大阪府豊能郡能勢町","784m","北緯35度00分12秒東経135度24分14秒﻿ / ﻿北緯35.00333度 東経135.40389度﻿ /35.00333; 135.40389座標:北緯35度00分12秒東経135度24分14秒﻿ / ﻿北緯35.00333度 東経135.40389度﻿ /35.00333; 135.40389","北摂山系","","","","","","","","","","","","","","",""
"白髪岳","[30しらがたけ白髪岳兵庫県721.8地理院地図Googleマップ北緯35度02分46秒東経135度08分05秒﻿ / ﻿北緯35.046008度 東経135.134825度﻿ /35.046008; 135.134825﻿ (白髪岳)ふるさと兵庫100山近畿百名山] 白髪岳 （しらがたけ）は 兵庫県 丹波篠山市 にある 標高 721.8  m の 山 である。 加古川 水系と 武庫川 水系の 分水嶺 。","https://ja.wikipedia.org/wiki/白髪岳","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯35度2分45.61秒東経135度8分5.5秒","兵庫県丹波篠山市","721.8m","北緯35度2分45.61秒東経135度8分5.5秒﻿ / ﻿北緯35.0460028度 東経135.134861度﻿ /35.0460028; 135.134861","丹波高地","","","","","","","","","","","","","","",""
"御嶽 (兵庫県)","[31みたけ三嶽兵庫県793.4地理院地図Googleマップ北緯35度07分38秒東経135度14分42秒﻿ / ﻿北緯35.127264度 東経135.244900度﻿ /35.127264; 135.244900﻿ (三嶽)ふるさと兵庫100山近畿百名山三嶽] 御嶽 （みたけ）は、 兵庫県 丹波篠山市 にある標高793mの 山 。丹波篠山市の最高峰、 多紀連山 の主峰である。 三嶽 とも表記する。 兵庫50山 の一つである。","https://ja.wikipedia.org/wiki/御嶽_(兵庫県)","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯35度7分38秒東経135度14分41秒","兵庫県丹波篠山市","793.4m","北緯35度7分38秒東経135度14分41秒﻿ / ﻿北緯35.12722度 東経135.24472度﻿ /35.12722; 135.24472","多紀連山","","","","","","","","","","","","","","",""
"長老ヶ岳","[32ちょうろうがたけ長老ヶ岳京都府916.9地理院地図Googleマップ北緯35度18分12秒東経135度28分26秒﻿ / ﻿北緯35.303243度 東経135.473986度﻿ /35.303243; 135.473986﻿ (長老ヶ岳)近畿百名山一等三角点] 長老ヶ岳 （ちょうろうがだけ）は、 丹波高地 に属する 山 である。 長老さん あるいは 長老山 とも呼ばれる。 京都丹波高原国定公園 に選定。","https://ja.wikipedia.org/wiki/長老ヶ岳","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯35度18分12秒東経135度28分26秒","日本京都府南丹市・京丹波町","916.9m","北緯35度18分12秒東経135度28分26秒﻿ / ﻿北緯35.30333度 東経135.47389度﻿ /35.30333; 135.47389座標:北緯35度18分12秒東経135度28分26秒﻿ / ﻿北緯35.30333度 東経135.47389度﻿ /35.30333; 135.47389","丹波高地","","","","","","","","","","","","","","",""
"弥仙山 (存在しないページ)","[33みせんさん弥仙山京都府664地理院地図Googleマップ北緯35度23分28秒東経135度22分41秒﻿ / ﻿北緯35.391128度 東経135.378075度﻿ /35.391128; 135.378075﻿ (弥仙山)丹波槍]","https://ja.wikipedia.org/w/index.php?title=弥仙山&amp;action=edit&amp;redlink=1","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"大江山","[34おおえやま大江山京都府832.5地理院地図Googleマップ北緯35度27分12秒東経135度06分24秒﻿ / ﻿北緯35.453453度 東経135.106653度﻿ /35.453453; 135.106653﻿ (大江山)新・花の百名山近畿百名山千丈ヶ嶽酒呑童子伝説] 大江山 （おおえやま）は 京都府 丹後半島 の付け根に位置し 与謝野町 、 福知山市 、 宮津市 にまたがる連山である。標高832m   。別称、 大枝山 ・ 与謝大山 ・ 千丈ヶ嶽 。","https://ja.wikipedia.org/wiki/大江山","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯35度27分12秒東経135度06分24秒","日本京都府与謝野町・福知山市・宮津市","832m","北緯35度27分12秒東経135度06分24秒﻿ / ﻿北緯35.45333度 東経135.10667度﻿ /35.45333; 135.10667座標:北緯35度27分12秒東経135度06分24秒﻿ / ﻿北緯35.45333度 東経135.10667度﻿ /35.45333; 135.10667","丹波高地（丹後山地）","","","","","","","","","","","","","","",""
"由良ヶ岳 (存在しないページ)","[35ゆらがたけ由良ヶ岳京都府640.0地理院地図Googleマップ北緯35度30分27秒東経135度15分24秒﻿ / ﻿北緯35.507509度 東経135.256672度﻿ /35.507509; 135.256672﻿ (由良ヶ岳)]","https://ja.wikipedia.org/w/index.php?title=由良ヶ岳&amp;action=edit&amp;redlink=1","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"依遅ヶ尾山","[36いちがおやま依遅ヶ尾山京都府540.0地理院地図Googleマップ北緯35度44分03秒東経135度08分15秒﻿ / ﻿北緯35.734087度 東経135.137504度﻿ /35.734087; 135.137504﻿ (依遅ヶ尾山)] 依遅ヶ尾山  （いちがおさん     、いちがおやま   ）は、 京都府 京丹後市 丹後町 にある 山 。丹後半島の北端にあり  、標高540mの 独立峰 で     、かつては 活火山 であった  。 関西百名山 に選ばれている 丹後半島 唯一の山であり、 金剛童子山 系の北端に位置する  。","https://ja.wikipedia.org/wiki/依遅ヶ尾山","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯35度44分3.3秒東経135度8分14.6秒","日本京都府京丹後市","540m","北緯35度44分3.3秒東経135度8分14.6秒﻿ / ﻿北緯35.734250度 東経135.137389度﻿ /35.734250; 135.137389座標:北緯35度44分3.3秒東経135度8分14.6秒﻿ / ﻿北緯35.734250度 東経135.137389度﻿ /35.734250; 135.137389","金剛童子山系","","","","","","","","","","","","","","",""
"氷ノ山","[37ひょうのせん氷ノ山兵庫県鳥取県1,509.6地理院地図Googleマップ北緯35度21分14秒東経134度30分50秒﻿ / ﻿北緯35.353959度 東経134.513842度﻿ /35.353959; 134.513842﻿ (氷ノ山)日本二百名山新日本百名山新・花の百名山一等三角点百名山中国百名山ふるさと兵庫100山宍粟50名山近畿百名山須賀ノ山兵庫県最高峰一等三角点] 氷ノ山 （ひょうのせん）は、 兵庫県 養父市 と 鳥取県 八頭郡 若桜町 との県境にある 標高 1,510 m の 山 である。 須賀ノ山 とも呼ばれる。 日本二百名山 や ふるさと兵庫50山 のひとつに選定されている。","https://ja.wikipedia.org/wiki/氷ノ山","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯35度21分14秒東経134度30分49秒","日本兵庫県養父市鳥取県八頭郡若桜町","1,509.6m","北緯35度21分14秒東経134度30分49秒﻿ / ﻿北緯35.35389度 東経134.51361度﻿ /35.35389; 134.51361座標:北緯35度21分14秒東経134度30分49秒﻿ / ﻿北緯35.35389度 東経134.51361度﻿ /35.35389; 134.51361","中国山地氷ノ山山系","","","","","","","","","","","","","","",""
"扇ノ山","[38おうぎのせん扇ノ山鳥取県兵庫県1,309.9地理院地図Googleマップ北緯35度26分23秒東経134度26分27秒﻿ / ﻿北緯35.439806度 東経134.440891度﻿ /35.439806; 134.440891﻿ (扇ノ山)日本三百名山中国百名山ふるさと兵庫100山近畿百名山] 扇ノ山 （おうぎのせん）は、 兵庫県 と 鳥取県 にまたがる山で、 標高 1,309.9m  。 関西百名山 や 日本三百名山 に選ばれている  。","https://ja.wikipedia.org/wiki/扇ノ山","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯35度26分23秒東経134度26分27秒","日本兵庫県美方郡新温泉町（旧温泉町）・鳥取県鳥取市（旧国府町）・八頭郡八頭町（旧郡家町・旧八東町）・若桜町","1,309.9m","北緯35度26分23秒東経134度26分27秒﻿ / ﻿北緯35.43972度 東経134.44083度﻿ /35.43972; 134.44083座標:北緯35度26分23秒東経134度26分27秒﻿ / ﻿北緯35.43972度 東経134.44083度﻿ /35.43972; 134.44083","","","","","","","","","","","","","","","",""
"鉢伏山 (香美町)","[39はちぶせやま鉢伏山兵庫県1,221.6地理院地図Googleマップ北緯35度23分43秒東経134度32分11秒﻿ / ﻿北緯35.395382度 東経134.536353度﻿ /35.395382; 134.536353﻿ (鉢伏山)ふるさと兵庫100山ハチ高原スキー場ハチ北スキー場] 鉢伏山 （はちぶせやま）は、 兵庫県 養父市 と 美方郡 香美町 の市町境にある 山 。 ふるさと兵庫50山 のひとつ。","https://ja.wikipedia.org/wiki/鉢伏山_(香美町)","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯35度23分43秒東経134度32分11秒","兵庫県養父市・美方郡香美町","1221m","北緯35度23分43秒東経134度32分11秒﻿ / ﻿北緯35.39528度 東経134.53639度﻿ /35.39528; 134.53639","中国山地氷ノ山山系","","","","","","","","","","","","","","",""
"蘇武岳","[40画 像 募 集 中そぶだけ蘇武岳兵庫県1,074.4地理院地図Googleマップ北緯35度28分15秒東経134度38分17秒﻿ / ﻿北緯35.470792度 東経134.637965度﻿ /35.470792; 134.637965﻿ (蘇武岳)ふるさと兵庫100山一等三角点] 蘇武岳 （そぶだけ）は、 兵庫県 美方郡 香美町 と 豊岡市 との境界に聳える一等 三角点 の 山 である。標高1,074.4m。 兵庫50山 の一つ。 氷ノ山後山那岐山国定公園 に属する。","https://ja.wikipedia.org/wiki/蘇武岳","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯35度28分14.8秒東経134度38分17.1秒","日本兵庫県豊岡市・美方郡香美町","1,074.4m","北緯35度28分14.8秒東経134度38分17.1秒﻿ / ﻿北緯35.470778度 東経134.638083度﻿ /35.470778; 134.638083座標:北緯35度28分14.8秒東経134度38分17.1秒﻿ / ﻿北緯35.470778度 東経134.638083度﻿ /35.470778; 134.638083","蘇武岳山系","","","","","","","","","","","","","","",""
"東床尾山","[41ひがしとこのおさん東床尾山兵庫県839.1地理院地図Googleマップ北緯35度25分19秒東経134度54分57秒﻿ / ﻿北緯35.421887度 東経134.915863度﻿ /35.421887; 134.915863﻿ (東床尾山)ふるさと兵庫100山近畿百名山一等三角点] 東床尾山 （ひがしとこのおさん）は 標高 839.1mの 山 である   。 関西百名山 と ふるさと兵庫50山 にノミネートされている。","https://ja.wikipedia.org/wiki/東床尾山","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯35度25分19秒東経134度54分57秒","兵庫県豊岡市・朝来市","839.1m","北緯35度25分19秒東経134度54分57秒﻿ / ﻿北緯35.42194度 東経134.91583度﻿ /35.42194; 134.91583座標:北緯35度25分19秒東経134度54分57秒﻿ / ﻿北緯35.42194度 東経134.91583度﻿ /35.42194; 134.91583","床尾連山（丹後山地、丹波高地）","","","","","","","","","","","","","","",""
"日名倉山","[42ひなくらやま日名倉山兵庫県岡山県1,047.4地理院地図Googleマップ北緯35度08分52秒東経134度24分31秒﻿ / ﻿北緯35.147881度 東経134.408643度﻿ /35.147881; 134.408643﻿ (日名倉山)ふるさと兵庫100山宍粟50名山近畿百名山美作富士一等三角点] 日名倉山 （ひなくらやま）は、 兵庫県 宍粟市 、 佐用郡 佐用町 および 岡山県 美作市 にまたがる 山 である。 標高 は1047.4メートルで、岡山県側からみた山容が 富士山 に似ていることから「美作富士」または「作州富士」とも呼ばれる  。 関西百名山 、 兵庫50山 に選定されている。 氷ノ山後山那岐山国定公園 に属する。","https://ja.wikipedia.org/wiki/日名倉山","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯35度08分52秒東経134度24分31秒","兵庫県宍粟市・佐用郡佐用町・岡山県美作市","1047.4m","北緯35度08分52秒東経134度24分31秒﻿ / ﻿北緯35.14778度 東経134.40861度﻿ /35.14778; 134.40861座標:北緯35度08分52秒東経134度24分31秒﻿ / ﻿北緯35.14778度 東経134.40861度﻿ /35.14778; 134.40861","中国山地","","","","","","","","","","","","","","",""
"笠形山","[43かさがたやま笠形山兵庫県939.4地理院地図Googleマップ北緯35度03分51秒東経134度50分05秒﻿ / ﻿北緯35.064159度 東経134.834717度﻿ /35.064159; 134.834717﻿ (笠形山)ふるさと兵庫100山近畿百名山] 笠形山 （かさがたやま）は、 兵庫県 神崎郡 神河町 と 多可郡 多可町 との境に位置する 山 である。 標高 は939.4メートルで、山頂からは 播磨平野 を望むことができ、 一等三角点 も置かれている  。 関西百名山 、 近畿百名山 、 ふるさと兵庫50山 の一つに数えられる。 千ヶ峰 と共に、 笠形山千ヶ峰県立自然公園 を形成している  。","https://ja.wikipedia.org/wiki/笠形山","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯35度3分51秒東経134度50分5秒","兵庫県神崎郡神河町神崎郡市川町多可郡多可町","939.4m","北緯35度3分51秒東経134度50分5秒﻿ / ﻿北緯35.06417度 東経134.83472度﻿ /35.06417; 134.83472座標:北緯35度3分51秒東経134度50分5秒﻿ / ﻿北緯35.06417度 東経134.83472度﻿ /35.06417; 134.83472","中国山地","","","","","","","","","","","","","","",""
"千ヶ峰","[44せんがみね千ヶ峰兵庫県1,005.2地理院地図Googleマップ北緯35度08分41秒東経134度53分02秒﻿ / ﻿北緯35.144714度 東経134.883927度﻿ /35.144714; 134.883927﻿ (千ヶ峰)ふるさと兵庫100山近畿百名山] 千ヶ峰 （せんがみね）は、 兵庫県 多可郡 多可町 と 神崎郡 神河町 の境界線上にある 標高 1,005.2 m (3,298 ft)の 山 。 中国山地 の最東端に位置する1000m以上の山である。 加古川 水系と 市川 水系の分水嶺。 兵庫50山 の一つに選定されている。 笠形山 と共に、 笠形山千ヶ峰県立自然公園 の重要な一角を為している。","https://ja.wikipedia.org/wiki/千ヶ峰","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯35度08分41秒東経134度53分02秒","兵庫県多可郡多可町・神崎郡神河町","1,005.2m","北緯35度08分41秒東経134度53分02秒﻿ / ﻿北緯35.14472度 東経134.88389度﻿ /35.14472; 134.88389座標:北緯35度08分41秒東経134度53分02秒﻿ / ﻿北緯35.14472度 東経134.88389度﻿ /35.14472; 134.88389","中国山地","","","","","","","","","","","","","","",""
"七種山","[45なぐさやま七種山兵庫県683地理院地図Googleマップ北緯35度00分57秒東経134度42分13秒﻿ / ﻿北緯35.015872度 東経134.703681度﻿ /35.015872; 134.703681﻿ (七種山)ふるさと兵庫100山] 七種山 （なぐさやま）は、 兵庫県 神崎郡 福崎町 にある 標高 683mの 山 である。 兵庫50山 の一つ。 兵庫県指定名勝 。付近の 七種槍 、 七種薬師 とあわせて 七種三山 と呼ばれる。山麓には 七種の滝 や、 新西国観音霊場第30番札所七草山 金剛城寺 などがある。 ふるさと兵庫50山 のひとつ。","https://ja.wikipedia.org/wiki/七種山","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯35度00分57秒東経134度42分13秒","兵庫県姫路市神崎郡福崎町神崎郡市川町","683m","北緯35度00分57秒東経134度42分13秒﻿ / ﻿北緯35.01583度 東経134.70361度﻿ /35.01583; 134.70361座標:北緯35度00分57秒東経134度42分13秒﻿ / ﻿北緯35.01583度 東経134.70361度﻿ /35.01583; 134.70361","","","","","","","","","","","","","","","",""
"段ヶ峰","[46だるがみね段ヶ峰兵庫県1,103.4地理院地図Googleマップ北緯35度11分30秒東経134度43分39秒﻿ / ﻿北緯35.191576度 東経134.727417度﻿ /35.191576; 134.727417﻿ (段ヶ峰)ふるさと兵庫100山宍粟50名山近畿百名山] 段ヶ峰 (だるがみね･だんがみね)は、 兵庫県 朝来市 生野町 栃原と 宍粟市 一宮町 千町の境に位置する 標高 1103.41mの 山 である  。 播 但 国境 に位置する 生野高原 にある 草原 状のなだらかな山容を持つ 山 として知られており  、 関西百名山 、 ふるさと兵庫50山 にも指定されている。また、 希少種 でもある イヌワシ の 西日本 では数少ない 生息地 でもある  。また、 山頂 には 二等三角点 が設置されている。","https://ja.wikipedia.org/wiki/段ヶ峰","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯35度11分30秒東経134度43分39秒","日本兵庫県宍粟市旧一宮町千町朝来市旧生野町栃原","1103.41m","北緯35度11分30秒東経134度43分39秒﻿ / ﻿北緯35.19167度 東経134.72750度﻿ /35.19167; 134.72750座標:北緯35度11分30秒東経134度43分39秒﻿ / ﻿北緯35.19167度 東経134.72750度﻿ /35.19167; 134.72750","中国山地･生野高原","","","","","","","","","","","","","","",""
"雪彦山","[47せっぴこさん雪彦山兵庫県915.2地理院地図Googleマップ北緯35度04分22秒東経134度39分04秒﻿ / ﻿北緯35.072813度 東経134.651212度﻿ /35.072813; 134.651212﻿ (雪彦山)ふるさと兵庫100山近畿百名山] 雪彦山 （せっぴこさん）は、 兵庫県 姫路市 にある 山 である。 弥彦山 （ 新潟県 ）、 英彦山 （ 福岡県 ・ 大分県 ）と共に 日本三彦山 として知られる 修験道 の地。 日本百景 、 ひょうごの森百選 、 兵庫50山 、 関西百名山 、 近畿百名山 に選定されている。 ロッククライミング の名所として知られている。","https://ja.wikipedia.org/wiki/雪彦山","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯35度4分0秒東経134度39分0秒","兵庫県姫路市","915.2m","北緯35度4分0秒東経134度39分0秒﻿ / ﻿北緯35.06667度 東経134.65000度﻿ /35.06667; 134.65000座標:北緯35度4分0秒東経134度39分0秒﻿ / ﻿北緯35.06667度 東経134.65000度﻿ /35.06667; 134.65000","中国山地","火山岩頸","","","","","","","","","","","","","",""
"高御位山","[48たかみくらやま高御位山兵庫県299.8地理院地図Googleマップ北緯34度48分47秒東経134度47分34秒﻿ / ﻿北緯34.813111度 東経134.792892度﻿ /34.813111; 134.792892﻿ (高御位山)ふるさと兵庫100山] 高御位山 （たかみくらやま）は、 兵庫県 加古川市 と 高砂市 の市境に位置する標高304メートルの 山 である。別名は 播磨富士 。 東播磨丘陵地 高御位山系の連峰は播磨アルプスと呼ばれることがある。","https://ja.wikipedia.org/wiki/高御位山","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯34度48分47秒東経134度47分34秒","日本兵庫県加古川市・高砂市","304m","北緯34度48分47秒東経134度47分34秒﻿ / ﻿北緯34.81306度 東経134.79278度﻿ /34.81306; 134.79278座標:北緯34度48分47秒東経134度47分34秒﻿ / ﻿北緯34.81306度 東経134.79278度﻿ /34.81306; 134.79278","--","--","","","","","","","","","","","","","",""
"諭鶴羽山","[49ゆづるはさん諭鶴羽山兵庫県607.9地理院地図Googleマップ北緯34度14分06秒東経134度48分51秒﻿ / ﻿北緯34.234865度 東経134.814188度﻿ /34.234865; 134.814188﻿ (諭鶴羽山)ふるさと兵庫100山近畿百名山淡路島最高峰一等三角点] 諭鶴羽山 （ゆづるはさん）は 兵庫県 の 淡路島 南部をほぼ東西に連なる 諭鶴羽山地 の西部にある 標高 607.9mの 山 である。諭鶴羽山地の最高峰であり淡路島の最高峰でもある  。 南あわじ市 の神代浦壁・北阿万稲田南・灘惣川の境界に位置する。一等 三角点 設置。 柏原山 、 先山 とともに「淡路三山」の一峰。古名に 譲葉山 とも  。","https://ja.wikipedia.org/wiki/諭鶴羽山","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯34度14分6秒東経134度48分51秒","兵庫県南あわじ市","607.9m","北緯34度14分6秒東経134度48分51秒﻿ / ﻿北緯34.23500度 東経134.81417度﻿ /34.23500; 134.81417座標:北緯34度14分6秒東経134度48分51秒﻿ / ﻿北緯34.23500度 東経134.81417度﻿ /34.23500; 134.81417","諭鶴羽山地","","","","","","","","","","","","","","",""
"帝釈山 (兵庫県)","[50たいしゃくさん帝釈山兵庫県586.1地理院地図Googleマップ北緯34度47分14秒東経135度07分07秒﻿ / ﻿北緯34.787203度 東経135.118475度﻿ /34.787203; 135.118475﻿ (帝釈山)] 帝釈山 （たいしゃくさん）は、 兵庫県 神戸市 北区 にある標高585.9mの山。 丹生山系 に属し、2番目の標高を誇る。","https://ja.wikipedia.org/wiki/帝釈山_(兵庫県)","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯34度47分14秒東経135度7分7秒","兵庫県神戸市北区","585.9m","北緯34度47分14秒東経135度7分7秒﻿ / ﻿北緯34.78722度 東経135.11861度﻿ /34.78722; 135.11861座標:北緯34度47分14秒東経135度7分7秒﻿ / ﻿北緯34.78722度 東経135.11861度﻿ /34.78722; 135.11861","丹生山系","","","","","","","","","","","","","","",""
"摩耶山","[51まやさん摩耶山兵庫県702地理院地図Googleマップ北緯34度43分59秒東経135度12分15秒﻿ / ﻿北緯34.732922度 東経135.204278度﻿ /34.732922; 135.204278﻿ (摩耶山)ふるさと兵庫100山] 摩耶山 （まやさん）は、 兵庫県 神戸市 灘区 、 六甲山地 の中央に位置する 標高 702m  の 山 。","https://ja.wikipedia.org/wiki/摩耶山","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯34度43分58秒東経135度12分15秒","日本神戸市灘区摩耶山町","702m","北緯34度43分58秒東経135度12分15秒﻿ / ﻿北緯34.73278度 東経135.20417度﻿ /34.73278; 135.20417座標:北緯34度43分58秒東経135度12分15秒﻿ / ﻿北緯34.73278度 東経135.20417度﻿ /34.73278; 135.20417","六甲山系","","","","","","","","","","","","","","",""
"六甲山","[52ろっこうさいこうほう六甲最高峰兵庫県931.3地理院地図Googleマップ北緯34度46分41秒東経135度15分49秒﻿ / ﻿北緯34.778004度 東経135.263741度﻿ /34.778004; 135.263741﻿ (六甲最高峰)日本三百名山新日本百名山ふるさと兵庫100山近畿百名山六甲山一等三角点] 六甲山 （ろっこうさん）は、 兵庫県 南東部、 神戸市 の市街地の西から北にかけて位置する 山塊 である。 瀬戸内海国立公園 の区域に指定されており、また 新日本百名山 、 日本三百名山 、 ふるさと兵庫50山 の一つでもある。","https://ja.wikipedia.org/wiki/六甲山","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯34度46分40.815秒東経135度15分49.4669秒","日本兵庫県神戸市東灘区・北区","931.25m","北緯34度46分40.815秒東経135度15分49.4669秒﻿ / ﻿北緯34.77800417度 東経135.263740806度﻿ /34.77800417; 135.263740806座標:北緯34度46分40.815秒東経135度15分49.4669秒﻿ / ﻿北緯34.77800417度 東経135.263740806度﻿ /34.77800417; 135.263740806","六甲山系","","","","","","","","","","","","","","",""
"横尾山 (神戸市) (存在しないページ)","[53よこおやま横尾山兵庫県312.1地理院地図Googleマップ北緯34度39分56秒東経135度06分30秒﻿ / ﻿北緯34.665578度 東経135.108323度﻿ /34.665578; 135.108323﻿ (横尾山)ふるさと兵庫100山]","https://ja.wikipedia.org/w/index.php?title=横尾山_(神戸市)&amp;action=edit&amp;redlink=1","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"生駒山","[54いこまやま生駒山大阪府奈良県642.0地理院地図Googleマップ北緯34度40分42秒東経135度40分44秒﻿ / ﻿北緯34.678459度 東経135.678994度﻿ /34.678459; 135.678994﻿ (生駒山)大阪50山奈良百遊山近畿百名山一等三角点] 生駒山 （いこまやま・いこまさん）は、 奈良県 生駒市 と 大阪府 東大阪市 との県境にある 標高 642mの 山 。 生駒山地 の主峰である。","https://ja.wikipedia.org/wiki/生駒山","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯34度40分42.4533秒東経135度40分44.3796秒","奈良県生駒市菜畑町大阪府東大阪市山手町","641.99m","北緯34度40分42.4533秒東経135度40分44.3796秒﻿ / ﻿北緯34.678459250度 東経135.678994333度﻿ /34.678459250; 135.678994333座標:北緯34度40分42.4533秒東経135度40分44.3796秒﻿ / ﻿北緯34.678459250度 東経135.678994333度﻿ /34.678459250; 135.678994333","生駒山地","","","","","","","","","","","","","","",""
"金剛山 (金剛山地)","[55こんごうざん金剛山奈良県1,125地理院地図Googleマップ北緯34度25分10秒東経135度40分23秒﻿ / ﻿北緯34.419444度 東経135.672917度﻿ /34.419444; 135.672917﻿ (金剛山)日本二百名山一等三角点百名山大阪50山奈良百遊山近畿百名山南側斜面に大阪府最高地点] 金剛山 （こんごうさん、こんごうざん）は、 奈良県 御所市 と 大阪府 南河内郡 千早赤阪村 との境目にある 山 。かつては 高間山・高天山 （たかまやま）や 葛城嶺 （かづらきのみね）といわれていた。 金剛山地 の主峰である。","https://ja.wikipedia.org/wiki/金剛山_(金剛山地)","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯34度25分10秒東経135度40分23秒","奈良県御所市大阪府南河内郡千早赤阪村","1,125m","北緯34度25分10秒東経135度40分23秒﻿ / ﻿北緯34.41944度 東経135.67306度﻿ /34.41944; 135.67306座標:北緯34度25分10秒東経135度40分23秒﻿ / ﻿北緯34.41944度 東経135.67306度﻿ /34.41944; 135.67306","金剛山地","","","","","","","","","","","","","","",""
"二上山 (奈良県・大阪府)","[56にじょうざん二上山奈良県517地理院地図Googleマップ北緯34度31分32秒東経135度40分39秒﻿ / ﻿北緯34.525618度 東経135.677611度﻿ /34.525618; 135.677611﻿ (二上山)花の百名山大阪50山奈良百遊山近畿百名山] 二上山 （にじょうさん  ）は、 奈良県 葛城市 と 大阪府 南河内郡 太子町 にまたがる 山 。かつては 大和言葉 による読みで「 ふたかみやま 」と呼ばれた。 金剛山地 北部に位置し、北方の 雄岳 （517m）と南方の 雌岳 （474m）の2つの山頂がある双耳峰で、 大阪みどりの百選 に選定されている  。また、 石器 に使われた 讃岐岩 （サヌカイト）の産地である。","https://ja.wikipedia.org/wiki/二上山_(奈良県・大阪府)","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯34度31分32秒東経135度40分39秒","日本奈良県葛城市加守大阪府南河内郡太子町大字山田","雄岳 517m、雌岳 474m","北緯34度31分32秒東経135度40分39秒﻿ / ﻿北緯34.52556度 東経135.67750度﻿ /34.52556; 135.67750座標:北緯34度31分32秒東経135度40分39秒﻿ / ﻿北緯34.52556度 東経135.67750度﻿ /34.52556; 135.67750","金剛山地","","","","","","","","","","","","","","",""
