"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","標高","所在地","位置","山系","種類","初登頂","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden"
"大川嶺","[32おおかわみね大川嶺愛媛県久万高原町内子町1,525.0地理院地図Googleマップ北緯33度33分52秒東経132度55分22秒﻿ / ﻿北緯33.564562度 東経132.922669度﻿ /33.564562; 132.922669﻿ (大川嶺)最高峰は笠取山1,562m] 大川嶺 （おおかわみね）は、 四国山地 西部に属する 山 である。大川嶺といえば 笠取山 を最高峰とする山塊である 大川嶺連峰 を指すが、狭義には笠取山に連なる北側の峰を指す。 四国百名山 の一つに選定されている。山名は大川嶺連峰の北側にある地名「大川」に由来する。","https://ja.wikipedia.org/wiki/大川嶺","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度33分52秒東経132度55分22秒","1,525.0m","愛媛県久万高原町・内子町","北緯33度33分52秒東経132度55分22秒﻿ / ﻿北緯33.56444度 東経132.92278度﻿ /33.56444; 132.92278","四国山地","","","","","","","","","","","","","","",""
"中津明神山","[33なかつみょうじんやま中津明神山愛媛県久万高原町高知県仁淀川町1,540.6地理院地図Googleマップ北緯33度34分32秒東経133度02分48秒﻿ / ﻿北緯33.575552度 東経133.046646度﻿ /33.575552; 133.046646﻿ (中津明神山)中津山明神山] 中津明神山 （なかつみょうじんさん）は、 四国山地 西部に属する 山 である。 中津山 （なかつさん）あるいは 明神山 （みょうじんさん）とも呼ばれ、 国土地理院 の 地形図 には中津山（明神山）と表記されている。麓の中津の神様（ 明神 ）が山名の由来であるとされている  。","https://ja.wikipedia.org/wiki/中津明神山","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度34分32秒東経133度02分48秒","1,540.6m","愛媛県久万高原町・高知県仁淀川町","北緯33度34分32秒東経133度02分48秒﻿ / ﻿北緯33.57556度 東経133.04667度﻿ /33.57556; 133.04667","四国山地","","","","","","","","","","","","","","",""
"大野ヶ原","[34おおのがはら・げんじがだば大野ヶ原・源氏ヶ駄場　　　　　　（四国カルスト）愛媛県西予市高知県檮原町1,402.8地理院地図Googleマップ北緯33度28分20秒東経132度51分57秒﻿ / ﻿北緯33.472184度 東経132.865788度﻿ /33.472184; 132.865788﻿ (大野ヶ原・源氏ヶ駄場　　　　　　（四国カルスト）)] 大野ヶ原 （おおのがはら）は、 四国カルスト 西部の高原、または 西予市 の一地名である。","https://ja.wikipedia.org/wiki/大野ヶ原","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"五段高原","[35 *ごだんこうげん五段高原　　　　　　　（四国カルスト）高知県檮原町愛媛県久万高原町1,455.6地理院地図Googleマップ北緯33度28分22秒東経132度59分12秒﻿ / ﻿北緯33.472837度 東経132.986645度﻿ /33.472837; 132.986645﻿ (五段高原　　　　　　　（四国カルスト）)五段高原の最高所が五段城] 五段高原 （ごだんこうげん）は、 愛媛県 上浮穴郡 久万高原町 と 高知県 高岡郡 檮原町 と 津野町 にまたがる山。 標高 1,455.8m。 四国カルスト 台地の中心部にある。","https://ja.wikipedia.org/wiki/五段高原","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度28分21.4秒東経132度59分15.16秒","1,455.8m","愛媛県上浮穴郡久万高原町西谷・高知県高岡郡檮原町","北緯33度28分21.4秒東経132度59分15.16秒﻿ / ﻿北緯33.472611度 東経132.9875444度﻿ /33.472611; 132.9875444","四国山地","","","","","","","","","","","","","","",""
"天狗ノ森","[36てんぐのもり天狗ノ森　　　　　　（四国カルスト）高知県檮原町仁淀川町愛媛県久万高原町1,484.9地理院地図Googleマップ北緯33度28分51秒東経133度00分55秒﻿ / ﻿北緯33.480695度 東経133.015386度﻿ /33.480695; 133.015386﻿ (天狗ノ森　　　　　　（四国カルスト）)花の百名山天狗高原] 天狗ノ森 （てんぐのもり）は、 愛媛県 上浮穴郡 久万高原町 と 高知県 高岡郡 津野町 と 吾川郡 仁淀川町 にまたがる山。 標高 1,485.0m。 四国カルスト 台地の東部にある 天狗高原 の最高地点である。","https://ja.wikipedia.org/wiki/天狗ノ森","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度28分51秒東経133度0分55秒","1,485.0m","愛媛県上浮穴郡久万高原町・高知県高岡郡津野町・吾川郡仁淀川町","北緯33度28分51秒東経133度0分55秒﻿ / ﻿北緯33.48083度 東経133.01528度﻿ /33.48083; 133.01528","四国山地","","","","","","","","","","","","","","",""
"不入山","[37いらずやま不入山高知県津野町1,336.1地理院地図Googleマップ北緯33度26分27秒東経133度03分47秒﻿ / ﻿北緯33.440779度 東経133.063174度﻿ /33.440779; 133.063174﻿ (不入山)一等三角点百名山四万十川源流] 不入山 （いらずやま）は、 高知県 高岡郡 津野町 にあり、不入山系に属する 標高 1,336.2mの 山 である。","https://ja.wikipedia.org/wiki/不入山","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度26分28秒東経133度3分48秒","1,336.2m","高知県高岡郡津野町","北緯33度26分28秒東経133度3分48秒﻿ / ﻿北緯33.44111度 東経133.06333度﻿ /33.44111; 133.06333","四国山地","","","","","","","","","","","","","","",""
"三本杭","[38 *さんぼんぐい三本杭愛媛県宇和島市1,225.7地理院地図Googleマップ北緯33度11分18秒東経132度38分07秒﻿ / ﻿北緯33.188324度 東経132.635416度﻿ /33.188324; 132.635416﻿ (三本杭)日本三百名山滑床山滑床渓谷] 三本杭 （さんぼんぐい）は、 四国山地 西部に属する 山 である。 国土地理院 では 石鎚山 と同じ四国山地西部に分類しているが、石鎚山からは隔てられた四国南西部に位置する。 滑床渓谷 のすぐ南側に聳え、 滑床山 （なめとこやま）とも呼ばれる。 日本三百名山 の一つに数えられる  。","https://ja.wikipedia.org/wiki/三本杭","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度11分18秒東経132度38分07秒","1,225.7m","日本愛媛県宇和島市","北緯33度11分18秒東経132度38分07秒﻿ / ﻿北緯33.18833度 東経132.63528度﻿ /33.18833; 132.63528座標:北緯33度11分18秒東経132度38分07秒﻿ / ﻿北緯33.18833度 東経132.63528度﻿ /33.18833; 132.63528","四国山地","","","","","","","","","","","","","","",""
"高月山","[39たかつきやま高月山愛媛県宇和島市鬼北町1,228.8地理院地図Googleマップ北緯33度12分31秒東経132度38分05秒﻿ / ﻿北緯33.208681度 東経132.634642度﻿ /33.208681; 132.634642﻿ (高月山)] 高月山 （たかつきさん）は、 愛媛県 宇和島市 と 北宇和郡 鬼北町 にまたがる山。 標高 1,229.2m。 鬼ヶ城山 系に属する。","https://ja.wikipedia.org/wiki/高月山","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度12分31.83秒東経132度38分4.12秒","1,229.2m","愛媛県宇和島市・北宇和郡鬼北町","北緯33度12分31.83秒東経132度38分4.12秒﻿ / ﻿北緯33.2088417度 東経132.6344778度﻿ /33.2088417; 132.6344778","鬼ヶ城山系（四国山地）","","","","","","","","","","","","","","",""
"鬼ヶ城山 (愛媛県)","[40おにがじょうやま鬼ヶ城山愛媛県宇和島市1,151地理院地図Googleマップ北緯33度11分26秒東経132度36分34秒﻿ / ﻿北緯33.1905028度 東経132.609458度﻿ /33.1905028; 132.609458﻿ (鬼ヶ城山)] 鬼ヶ城山 （おにがじょうやま）  は 愛媛県 宇和島市 にある 標高 1,151mの山である。","https://ja.wikipedia.org/wiki/鬼ヶ城山_(愛媛県)","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度11分26秒東経132度36分34秒","1,151m","日本愛媛県宇和島市","北緯33度11分26秒東経132度36分34秒﻿ / ﻿北緯33.19056度 東経132.60944度﻿ /33.19056; 132.60944座標:北緯33度11分26秒東経132度36分34秒﻿ / ﻿北緯33.19056度 東経132.60944度﻿ /33.19056; 132.60944","四国山地","","","","","","","","","","","","","","",""
"篠山 (高知県・愛媛県)","[41ささやま篠山愛媛県愛南町高知県宿毛市1,064.6地理院地図Googleマップ北緯33度03分21秒東経132度39分33秒﻿ / ﻿北緯33.055727度 東経132.659067度﻿ /33.055727; 132.659067﻿ (篠山)日本三百名山] 篠山 （ささやま）は、 四国山地 西部に属する 山 である。 日本三百名山 の1つ。山名は ミヤコザサ および アケボノツツジ の大群落があることに由来する  。","https://ja.wikipedia.org/wiki/篠山_(高知県・愛媛県)","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度03分21秒東経132度39分33秒","1,065m","日本愛媛県愛南町・高知県宿毛市","北緯33度03分21秒東経132度39分33秒﻿ / ﻿北緯33.05583度 東経132.65917度﻿ /33.05583; 132.65917座標:北緯33度03分21秒東経132度39分33秒﻿ / ﻿北緯33.05583度 東経132.65917度﻿ /33.05583; 132.65917","四国山地","","","","","","","","","","","","","","",""
"譲ヶ葉森","[42ゆずりがはもり譲ヶ葉森愛媛県宇和島市1,015.6地理院地図Googleマップ北緯33度07分25秒東経132度37分14秒﻿ / ﻿北緯33.123684度 東経132.620677度﻿ /33.123684; 132.620677﻿ (譲ヶ葉森)] 譲ヶ葉森 （ゆずりがはもり）は、 愛媛県 宇和島市 にあり、四国西南山地に座する 標高 1,016.0mの 山 である。","https://ja.wikipedia.org/wiki/譲ヶ葉森","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度7分24秒東経132度37分14秒","1,016.0m","愛媛県宇和島市","北緯33度7分24秒東経132度37分14秒﻿ / ﻿北緯33.12333度 東経132.62056度﻿ /33.12333; 132.62056","四国山地","","","","","","","","","","","","","","",""
"妹背山","[43いもせやま妹背山高知県宿毛市（沖の島）403.8地理院地図Googleマップ北緯32度43分37秒東経132度33分15秒﻿ / ﻿北緯32.726952度 東経132.554220度﻿ /32.726952; 132.554220﻿ (妹背山)] 高知県 宿毛市 から西南へ24km離れた海洋上の 沖ノ島 の中央にある島の最高峰、 標高 404.1m。 今昔物語 に妹兄（いもせ）の島とあり、昔、この島に漂着した幼い兄妹が農耕をしながら生きながらえ、やがて夫婦になったという伝説が山名の由来と云われている  。宿毛市の片島港から沖ノ島の母島港へ定期便があり、上陸し港から約1時間40分登ると一等三角点のある展望の利かない山頂に着く。","https://ja.wikipedia.org/wiki/妹背山","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯32度43分38.93秒東経132度33分16.44秒","404.1m","高知県宿毛市","北緯32度43分38.93秒東経132度33分16.44秒﻿ / ﻿北緯32.7274806度 東経132.5545667度﻿ /32.7274806; 132.5545667","四国山地","","","","","","","","","","","","","","",""
"雨ヶ森","[44あまがもり雨ヶ森高知県仁淀川町1,390.0地理院地図Googleマップ北緯33度39分46秒東経133度10分11秒﻿ / ﻿北緯33.662670度 東経133.169747度﻿ /33.662670; 133.169747﻿ (雨ヶ森)] 雨ヶ森 （あめがもり）は、 高知県 吾川郡 仁淀川町 にあり、四国山地中南部に座する 標高 1,390.1mの 山 である。","https://ja.wikipedia.org/wiki/雨ヶ森","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度39分47.86秒東経133度10分10.52秒","1,390.1m","高知県吾川郡仁淀川町","北緯33度39分47.86秒東経133度10分10.52秒﻿ / ﻿北緯33.6632944度 東経133.1695889度﻿ /33.6632944; 133.1695889","四国山地","","","","","","","","","","","","","","",""
"陣ヶ森 (高知県)","[45じんがもり陣ヶ森高知県いの町土佐町1,013.3地理院地図Googleマップ北緯33度41分26秒東経133度25分29秒﻿ / ﻿北緯33.690547度 東経133.424741度﻿ /33.690547; 133.424741﻿ (陣ヶ森)] 陣ヶ森 （じんがもり）は、 高知県 にある 山 である。 標高 1013.3m。","https://ja.wikipedia.org/wiki/陣ヶ森_(高知県)","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度41分25.9秒東経133度25分28.9秒","1013.3m","日本高知県土佐郡土佐町・いの町","北緯33度41分25.9秒東経133度25分28.9秒﻿ / ﻿北緯33.690528度 東経133.424694度﻿ /33.690528; 133.424694座標:北緯33度41分25.9秒東経133度25分28.9秒﻿ / ﻿北緯33.690528度 東経133.424694度﻿ /33.690528; 133.424694","四国山地","","","","","","","","","","","","","","",""
"稲叢山","[46いなむらやま稲叢山高知県いの町土佐町1,506.2地理院地図Googleマップ北緯33度44分49秒東経133度21分33秒﻿ / ﻿北緯33.747025度 東経133.359302度﻿ /33.747025; 133.359302﻿ (稲叢山)新日本百名山] 稲叢山 （いなむらやま）は、 四国山地 西部に属する 山 である。 新日本百名山 および 四国百名山 に選定されている  。山名は頂上が 稲 に似た叢（くさむら）に覆われていたことに由来する。","https://ja.wikipedia.org/wiki/稲叢山","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度44分49秒東経133度21分33秒","1,506.2m","高知県いの町・土佐町","北緯33度44分49秒東経133度21分33秒﻿ / ﻿北緯33.74694度 東経133.35917度﻿ /33.74694; 133.35917","四国山地","","","","","","","","","","","","","","",""
"白髪山 (高知県本山町)","[47しらがやま白髪山高知県本山町1,469.6地理院地図Googleマップ北緯33度48分58秒東経133度35分27秒﻿ / ﻿北緯33.815990度 東経133.590702度﻿ /33.815990; 133.590702﻿ (白髪山)] 白髪山 （しらがやま）は、 高知県 長岡郡 本山町 にあり、四国山地中部に位置する 標高 1,469.4mの 山 である。","https://ja.wikipedia.org/wiki/白髪山_(高知県本山町)","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度49分0.17秒東経133度35分23.5秒","1,469.4m","高知県長岡郡本山町","北緯33度49分0.17秒東経133度35分23.5秒﻿ / ﻿北緯33.8167139度 東経133.589861度﻿ /33.8167139; 133.589861","四国山地","","","","","","","","","","","","","","",""
"奥工石山","[48おくくいしやま奥工石山高知県大豊町1,515.9地理院地図Googleマップ北緯33度51分20秒東経133度34分48秒﻿ / ﻿北緯33.855616度 東経133.579965度﻿ /33.855616; 133.579965﻿ (奥工石山)一等三角点百名山立川工石山] 奥工石山 （おくくいしやま）は、 高知県 長岡郡 大豊町 と 本山町 にまたがり、四国山地中部にある 標高 1,515.8mの 山 である。","https://ja.wikipedia.org/wiki/奥工石山","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度51分20.81秒東経133度34分46.62秒","1,515.8m","高知県長岡郡大豊町・本山町","北緯33度51分20.81秒東経133度34分46.62秒﻿ / ﻿北緯33.8557806度 東経133.5796167度﻿ /33.8557806; 133.5796167","四国山地","","","","","","","","","","","","","","",""
"横倉山 (高知県)","[49よこぐらやま横倉山高知県越知町800地理院地図Googleマップ北緯33度32分06秒東経133度12分30秒﻿ / ﻿北緯33.534974度 東経133.208342度﻿ /33.534974; 133.208342﻿ (横倉山)花の百名山] 横倉山 （よこくらやま）は、 高知県 高岡郡 越知町 にある 標高 800mの 山 。 四国百名山 では高知市周辺の山に分類されており、山頂には横倉宮がある歴史と伝説の山である  。 横倉山県立自然公園 に指定されている。","https://ja.wikipedia.org/wiki/横倉山_(高知県)","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度32分9秒東経133度12分28秒","800m","高知県高岡郡越知町","北緯33度32分9秒東経133度12分28秒﻿ / ﻿北緯33.53583度 東経133.20778度﻿ /33.53583; 133.20778","四国山地","","","","","","","","","","","","","","",""
"蟠蛇森","[50ばんだがもり蟠蛇森高知県須崎市佐川町769.3地理院地図Googleマップ北緯33度26分28秒東経133度15分34秒﻿ / ﻿北緯33.441107度 東経133.259548度﻿ /33.441107; 133.259548﻿ (蟠蛇森)] 蟠蛇森 （ばんだがもり）は、 高知県 須崎市 と 高岡郡 佐川町 と 津野町 にまたがる 不入山 系に属する 標高 769.8mの 山 である。 四国百名山 に選定されている。","https://ja.wikipedia.org/wiki/蟠蛇森","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度26分28.13秒東経133度15分33.62秒","769.8m","高知県須崎市・高岡郡佐川町・高岡郡津野町","北緯33度26分28.13秒東経133度15分33.62秒﻿ / ﻿北緯33.4411472度 東経133.2593389度﻿ /33.4411472; 133.2593389","四国山地","","","","","","","","","","","","","","",""
"虚空蔵山 (高知県)","[51こくぞうざん虚空蔵山高知県須崎市土佐市佐川町674.9地理院地図Googleマップ北緯33度27分33秒東経133度18分20秒﻿ / ﻿北緯33.459098度 東経133.305476度﻿ /33.459098; 133.305476﻿ (虚空蔵山)] 虚空蔵山 （こくぞうさん）は、 高知県 須崎市 、 土佐市 、および 高岡郡 佐川町 に跨る 標高 674.9mの 山 である。","https://ja.wikipedia.org/wiki/虚空蔵山_(高知県)","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度27分32.8秒東経133度18分19.7秒","674.9m","日本高知県須崎市・土佐市・高岡郡佐川町","北緯33度27分32.8秒東経133度18分19.7秒﻿ / ﻿北緯33.459111度 東経133.305472度﻿ /33.459111; 133.305472座標:北緯33度27分32.8秒東経133度18分19.7秒﻿ / ﻿北緯33.459111度 東経133.305472度﻿ /33.459111; 133.305472","","","","","","","","","","","","","","","",""
"工石山","[52くいしやま工石山高知県高知市1,177地理院地図Googleマップ北緯33度40分09秒東経133度30分24秒﻿ / ﻿北緯33.669049度 東経133.506797度﻿ /33.669049; 133.506797﻿ (工石山)] 工石山 （くいしやま）は、 高知県 高知市 と 土佐郡 土佐町 とにまたがる 山 である。最高地点は 標高 1,177.0mで土佐町側にあり、その200m南の高知市側に1,176.5mの三角点がある。高知県には工石山が二つあり、本山町の工石山は高知市から遠いため 奥工石山 と呼ばれている。","https://ja.wikipedia.org/wiki/工石山","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度40分10秒東経133度30分20秒","1,176.5m","高知県高知市・土佐町","北緯33度40分10秒東経133度30分20秒﻿ / ﻿北緯33.66944度 東経133.50556度﻿ /33.66944; 133.50556座標:北緯33度40分10秒東経133度30分20秒﻿ / ﻿北緯33.66944度 東経133.50556度﻿ /33.66944; 133.50556","四国山地","","","","","","","","","","","","","","",""
"国見山 (高知県)","[53 *くにみやま国見山（雪光山）高知県高知市925.9地理院地図Googleマップ北緯33度38分21秒東経133度25分37秒﻿ / ﻿北緯33.639277度 東経133.426806度﻿ /33.639277; 133.426806﻿ (国見山（雪光山）)] 国見山 （くにみやま）は、 高知県 高知市 にある 標高 925.9mの 山 である。","https://ja.wikipedia.org/wiki/国見山_(高知県)","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度38分22秒東経133度25分37秒","925.9m","高知県高知市","北緯33度38分22秒東経133度25分37秒﻿ / ﻿北緯33.63944度 東経133.42694度﻿ /33.63944; 133.42694","四国山地","","","","","","","","","","","","","","",""
"御在所山 (高知県)","[54ございしょやま御在所山高知県香美市1,079.1地理院地図Googleマップ北緯33度42分06秒東経133度49分23秒﻿ / ﻿北緯33.701582度 東経133.822934度﻿ /33.701582; 133.822934﻿ (御在所山)] 御在所山 （ございしょやま）は、 高知県 香美市 にあり、 剣山 系の西部に座する 標高 1,079.3mの 山 である。","https://ja.wikipedia.org/wiki/御在所山_(高知県)","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度42分7.68秒東経133度49分22.5秒","1,079.3m","高知県香美市","北緯33度42分7.68秒東経133度49分22.5秒﻿ / ﻿北緯33.7021333度 東経133.822917度﻿ /33.7021333; 133.822917","四国山地","","","","","","","","","","","","","","",""
"梶ヶ森","[55かじがもり梶ヶ森高知県大豊町1,399.6地理院地図Googleマップ北緯33度45分33秒東経133度45分05秒﻿ / ﻿北緯33.759191度 東経133.751520度﻿ /33.759191; 133.751520﻿ (梶ヶ森)定福寺奥ノ院が山中にある] 梶ヶ森 （かじがもり）は、 高知県 長岡郡 大豊町 にある剣山系南西部に座する 標高 1,399.8mの 山 である。","https://ja.wikipedia.org/wiki/梶ヶ森","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度45分32.54秒東経133度45分5.42秒","1,399.8m","高知県長岡郡大豊町","北緯33度45分32.54秒東経133度45分5.42秒﻿ / ﻿北緯33.7590389度 東経133.7515056度﻿ /33.7590389; 133.7515056","四国山地","","","","","","","","","","","","","","",""
"奥神賀山","[56 *おくじんがやま奥神賀山高知県大豊町1,442.9地理院地図Googleマップ北緯33度46分23秒東経133度50分23秒﻿ / ﻿北緯33.772989度 東経133.839737度﻿ /33.772989; 133.839737﻿ (奥神賀山)] 奥神賀山 （おくじんがやま）は、 高知県 香美市 と 長岡郡 大豊町 にまたがる四国山地南東部にある 標高 1,443.1mの 山 である。","https://ja.wikipedia.org/wiki/奥神賀山","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度46分26.44秒東経133度50分46.96秒","1,443.1m","高知県香美市・長岡郡大豊町","北緯33度46分26.44秒東経133度50分46.96秒﻿ / ﻿北緯33.7740111度 東経133.8463778度﻿ /33.7740111; 133.8463778","四国山地","","","","","","","","","","","","","","",""
"屋島","[57 *やしま屋島香川県高松市292.1地理院地図Googleマップ北緯34度21分21秒東経134度06分17秒﻿ / ﻿北緯34.355707度 東経134.104648度﻿ /34.355707; 134.104648﻿ (屋島)第84番札所屋島寺] 屋島 （やしま、 旧字体 ： 屋嶋 ）は、 日本 の 四国 北東部の、 香川県 高松市 の東北に位置する、硬質の溶岩に覆われた平坦面が侵食された残丘。南北に長い 台地 状の地形  。","https://ja.wikipedia.org/wiki/屋島","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯34度21分21秒東経134度6分17秒","南嶺 292m","香川県高松市","北緯34度21分21秒東経134度6分17秒﻿ / ﻿北緯34.35583度 東経134.10472度﻿ /34.35583; 134.10472﻿ (屋島)座標:北緯34度21分21秒東経134度6分17秒﻿ / ﻿北緯34.35583度 東経134.10472度﻿ /34.35583; 134.10472﻿ (屋島)","独立峰","台地の地形（メサ型溶岩台地）","","","","","","","","","","","","","",""
"飯野山","[58いいのやま飯野山香川県丸亀市坂出市421.9地理院地図Googleマップ北緯34度16分28秒東経133度50分45秒﻿ / ﻿北緯34.274387度 東経133.845875度﻿ /34.274387; 133.845875﻿ (飯野山)新日本百名山讃岐富士] 飯野山 （いいのやま）は、 香川県 の 丸亀市 と 坂出市 の境に位置する 山 である。別名を 讃岐富士 と呼び、 讃岐七富士 のひとつに数えられている。","https://ja.wikipedia.org/wiki/飯野山","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯34度16分27.7935秒東経133度50分45.1514秒","421.87m","香川県丸亀市・坂出市","北緯34度16分27.7935秒東経133度50分45.1514秒﻿ / ﻿北緯34.274387083度 東経133.845875389度﻿ /34.274387083; 133.845875389座標:北緯34度16分27.7935秒東経133度50分45.1514秒﻿ / ﻿北緯34.274387083度 東経133.845875389度﻿ /34.274387083; 133.845875389","独立峰","ビュート","","","","","","","","","","","","","",""
"大麻山 (香川県三豊市)","[59おおさやま大麻山香川県三豊市善通寺市616.3地理院地図Googleマップ北緯34度11分48秒東経133度47分19秒﻿ / ﻿北緯34.196627度 東経133.788494度﻿ /34.196627; 133.788494﻿ (大麻山)象頭山金刀比羅宮] 大麻山 （おおさやま）は、 香川県 西部に位置する 山 である。 隣接する 象頭山 （標高538m）と共に、「 象頭山 」として 瀬戸内海国立公園 、 名勝 、 天然記念物 に指定されている。なお、当山と象頭山を合わせた全体の山塊を 琴平山 また別名金毘羅山（こんぴらやま）と呼ぶ、香川県本土で独立峰としては最も標高が高い。 また山頂には香川県西部の大部分を 放送区域 とする 西讃岐中継局 があり、中継所所在地としても知られる。","https://ja.wikipedia.org/wiki/大麻山_(香川県三豊市)","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯34度11分47.8576秒東経133度47分18.5777秒","616.3m","日本香川県三豊市・善通寺市","北緯34度11分47.8576秒東経133度47分18.5777秒﻿ / ﻿北緯34.196627111度 東経133.788493806度﻿ /34.196627111; 133.788493806座標:北緯34度11分47.8576秒東経133度47分18.5777秒﻿ / ﻿北緯34.196627111度 東経133.788493806度﻿ /34.196627111; 133.788493806","","メサ","","","","","","","","","","","","","",""
"我拝師山","[60がはいしさん我拝師山香川県善通寺市481.0地理院地図Googleマップ北緯34度12分50秒東経133度45分17秒﻿ / ﻿北緯34.213848度 東経133.754742度﻿ /34.213848; 133.754742﻿ (我拝師山)第73番出釈迦寺奥の院] 我拝師山 （がはいしさん）は、 香川県 善通寺市 にある 標高 481.0mの 山 。善通寺の五岳山（香色山・筆ノ山・我拝師山・中山・火上山）と呼ばれる山々の中では標高が一番高い  。","https://ja.wikipedia.org/wiki/我拝師山","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯34度12分49.77秒東経133度45分16.75秒","481.0m","香川県善通寺市","北緯34度12分49.77秒東経133度45分16.75秒﻿ / ﻿北緯34.2138250度 東経133.7546528度﻿ /34.2138250; 133.7546528","四国山地","","","","","","","","","","","","","","",""
"紫雲出山","[61 *しうでやま紫雲出山香川県三豊市352.1地理院地図Googleマップ北緯34度14分37秒東経133度35分45秒﻿ / ﻿北緯34.243658度 東経133.595745度﻿ /34.243658; 133.595745﻿ (紫雲出山)荘内半島] 紫雲出山 （しうでやま/しうんでやま）は、 香川県 三豊市 にある山で、 瀬戸内海 に突き出た 荘内半島 内に位置する。 瀬戸内海国立公園 内にある。標高352メートルで、 山頂 の展望台からは東に 備讃瀬戸 や 瀬戸大橋 、 水島臨海工業地帯 、西に 燧灘 、南に 四国山系 、北は 福山市 や 笠岡市 の 笠岡諸島 などの 山陽路 と、360度見渡せる展望が広がっている。紫雲出山は頂上付近を除き、ほとんどを 花崗岩 で形成されている。山頂一帯に 弥生時代 中期の 高地性集落 の遺跡群があり、遺跡館が併設されている。山頂に至るドライブウェイのふもとには、 竜宮城 を模した公衆トイレが設置されている。 1986年 には 林野庁 などによる 森林浴の森100選 に、 2004年 には 香川のみどり百選 に選定されている。","https://ja.wikipedia.org/wiki/紫雲出山","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯34度14分41秒東経133度35分44秒","352.14m","香川県（三豊市）","北緯34度14分41秒東経133度35分44秒﻿ / ﻿北緯34.24472度 東経133.59556度﻿ /34.24472; 133.59556座標:北緯34度14分41秒東経133度35分44秒﻿ / ﻿北緯34.24472度 東経133.59556度﻿ /34.24472; 133.59556","七宝山系","","","","","","","","","","","","","","",""
"寒霞渓","[62かんかけい・ほしがじょうさん寒霞渓・星ヶ城山香川県小豆島町（小豆島）816.7地理院地図Googleマップ北緯34度30分55秒東経134度19分03秒﻿ / ﻿北緯34.515350度 東経134.317480度﻿ /34.515350; 134.317480﻿ (寒霞渓・星ヶ城山)] 寒霞渓 （かんかけい）は、 香川県 の 小豆島 にある 渓谷 。国指定の 名勝 。","https://ja.wikipedia.org/wiki/寒霞渓","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"女体山 (さぬき市)","[63 *にょたいさん女体山香川県さぬき市774地理院地図Googleマップ北緯34度11分51秒東経134度12分05秒﻿ / ﻿北緯34.1975167度 東経134.201428度﻿ /34.1975167; 134.201428﻿ (女体山)南麓には四国八十八ｹ所結願の大窪寺] 女体山 （にょたいざん）は、 香川県 さぬき市 と 東かがわ市 にまたがる、標高774mの 讃岐山脈 にそびえる山である。","https://ja.wikipedia.org/wiki/女体山_(さぬき市)","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯34度12分10.16秒東経134度12分33.58秒","774m","香川県さぬき市・東かがわ市","北緯34度12分10.16秒東経134度12分33.58秒﻿ / ﻿北緯34.2028222度 東経134.2093278度﻿ /34.2028222; 134.2093278","讃岐山脈","","","","","","","","","","","","","","",""
