"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","地図","指定文化財","城郭構造","築城主","遺構","別名","築城年","主な城主","史跡","廃城年","形状","規模","築造時期","天守構造","出土品","時代","主な改修者"
"真脇遺跡","[真脇遺跡（まわきいせき）〔鳳珠郡能登町〕1989年1月9日] 真脇遺跡 （まわきいせき）は、 石川県 鳳珠郡 能登町 字真脇にある 縄文時代 前期から晩期にいたる集落跡の 遺跡 である。国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/真脇遺跡","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯37度18分19.4秒 東経137度12分26.8秒","","","","","","","","","","","","","","","","","","",""
"珠洲陶器窯跡","[珠洲陶器窯跡（すずとうきかまあと）〔珠洲市、鳳珠郡能登町〕2008年7月28日] 珠洲陶器窯跡 （すずとうきかまあと）は、 石川県 珠洲市 宝立町ほかにある大規模な 中世 陶器の 窯跡 である。2008年（平成20年）7月28日、 国史跡 に指定された。","https://ja.wikipedia.org/wiki/珠洲陶器窯跡","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯37度23分43秒 東経137度12分40秒","","","","","","","","","","","","","","","","","","",""
"一乗谷朝倉氏遺跡","[一乗谷朝倉氏遺跡（いちじょうだにあさくらしいせき）〔福井市〕] 一乗谷朝倉氏遺跡 （いちじょうだに あさくらし いせき）は、 福井県 福井市 城戸ノ内町にある 戦国時代 の 遺跡 （ 日本の城 ）である。戦国時代に 一乗谷城 を中心に 越前国 を支配した戦国大名 朝倉氏 の遺跡。一乗谷城（ 山城 ）と山麓の 城下町 （朝倉氏および家臣の居館）からなる。","https://ja.wikipedia.org/wiki/一乗谷朝倉氏遺跡","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯35度59分58.17秒東経136度17分44.03秒","","北緯35度59分58.17秒東経136度17分44.03秒﻿ / ﻿北緯35.9994917度 東経136.2955639度﻿ /35.9994917; 136.2955639座標:北緯35度59分58.17秒東経136度17分44.03秒﻿ / ﻿北緯35.9994917度 東経136.2955639度﻿ /35.9994917; 136.2955639","朝倉館跡","遺跡（特別史跡）、庭園（特別名勝）、遺跡出土品（重要文化財）","山城","朝倉氏","土塁、堀、虎口、石垣、礎石、","一乗谷城","南北朝時代","朝倉氏、桂田長俊","","1575年（天正3年）","","","","なし","","","桂田長俊"
"吉崎御坊","[吉崎御坊跡（よしざきごぼうあと）〔あわら市〕] 吉崎御坊 （よしざきごぼう）は、 越前 吉崎（現在の 福井県 あわら市 吉崎）にあった 坊舎 。「史跡 吉崎御坊跡」  の石碑が立つ。","https://ja.wikipedia.org/wiki/吉崎御坊","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯36度17分13.5秒 東経136度15分4秒","","","","","","","","","","","","","","","","","","",""
"丸岡藩砲台跡","[丸岡藩砲台跡（まるおかはんほうだいあと）〔坂井市〕] 丸岡藩砲台跡 （まるおかはんほうだいあと）は、 福井県 坂井市 三国町 の梶にある 砲台 跡。 梶台場 （かじだいば）ともいう。国の 史跡 に指定   されている。","https://ja.wikipedia.org/wiki/丸岡藩砲台跡","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯36度15分11.4秒 東経136度9分14秒","","","","","","","","","","","","","","","","","","",""
"六呂瀬山古墳群","[六呂瀬山古墳群（ろくろせやまこふんぐん）〔坂井市〕] 六呂瀬山古墳群 （ろくろせやまこふんぐん）は、 福井県 坂井市 にある 古墳群 である。 平成 2年( 1990年 ) 5月16日 国の史跡に指定  ","https://ja.wikipedia.org/wiki/六呂瀬山古墳群","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯36度07分02.9秒 東経136度18分54.8秒","","","","","","","","","","","","","","","","","","",""
"手繰ヶ城山古墳","[手繰ヶ城山古墳（てぐりがじょうやまこふん）] 松岡古墳群 （まつおかこふんぐん）は、 福井県 吉田郡 永平寺町 にある 古墳群 である。","https://ja.wikipedia.org/wiki/手繰ヶ城山古墳","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯36度05分35.0秒 東経136度18分53.2秒","","","","","","","","","","","","","","","","","","",""
"鳥越山古墳 (存在しないページ)","[鳥越山古墳（とりごえやまこふん）]","https://ja.wikipedia.org/w/index.php?title=鳥越山古墳&amp;action=edit&amp;redlink=1","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"石舟山古墳 (存在しないページ)","[石舟山古墳（いしふねやまこふん）]","https://ja.wikipedia.org/w/index.php?title=石舟山古墳&amp;action=edit&amp;redlink=1","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"二本松山古墳 (存在しないページ)","[二本松山古墳（にほんまつやまこふん）]","https://ja.wikipedia.org/w/index.php?title=二本松山古墳&amp;action=edit&amp;redlink=1","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"平泉寺白山神社","[白山平泉寺旧境内（はくさんへいせんじきゅうけいだい）〔勝山市〕] 平泉寺白山神社 （へいせんじはくさんじんじゃ）は、 福井県 勝山市 平泉寺町平泉寺  に鎮座する 神社 。 明治時代 までは 霊応山平泉寺 という 天台宗 の有力な 寺院 だった。歴史や出土品などは 白山平泉寺歴史探遊館まほろば で展示紹介される。","https://ja.wikipedia.org/wiki/平泉寺白山神社","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯36度2分38.1秒東経136度32分31.6秒","福井県勝山市平泉寺町平泉寺56-63","北緯36度2分38.1秒東経136度32分31.6秒﻿ / ﻿北緯36.043917度 東経136.542111度﻿ /36.043917; 136.542111﻿ (平泉寺白山神社)座標:北緯36度2分38.1秒東経136度32分31.6秒﻿ / ﻿北緯36.043917度 東経136.542111度﻿ /36.043917; 136.542111﻿ (平泉寺白山神社)","平泉寺白山神社","","","","","白山神社","","","","","","","","","","",""
"燈明寺畷新田義貞戦歿伝説地","[燈明寺畷新田義貞戦歿伝説地（とうみょうじなわてにったよしさだせんぼつでんせつち）〔福井市〕] 燈明寺畷新田義貞戦歿伝説地 （とうみょうじなわてにったよしさだせんぼつでんせつち）は、 福井県 福井市 新田塚町に位置する 古戦場 である。 新田義貞 の戦没地であるという 伝承 に基づき、 1924年 （ 大正 13年） 12月9日 に国の 史跡 に指定された  。","https://ja.wikipedia.org/wiki/燈明寺畷新田義貞戦歿伝説地","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯36度5分17.84秒 東経136度12分33.43秒","","","","","","","","","","","","","","","","","","",""
"免鳥長山古墳","[免鳥長山古墳（めんどりながやまこふん ）〔福井市〕] 免鳥長山古墳 （めんどりながやまこふん）は、 福井県 福井市 免鳥町にある、 造出 2基が付く 帆立貝形古墳  。 2008年 3月28日 国の史跡に指定  。","https://ja.wikipedia.org/wiki/免鳥長山古墳","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯36度07分43.9秒東経136度04分42.8秒","福井県福井市免鳥町","北緯36度07分43.9秒東経136度04分42.8秒﻿ / ﻿北緯36.128861度 東経136.078556度﻿ /36.128861; 136.078556座標:北緯36度07分43.9秒東経136度04分42.8秒﻿ / ﻿北緯36.128861度 東経136.078556度﻿ /36.128861; 136.078556","免鳥長山古墳","","","","","","","","国の史跡","","帆立貝形古墳","全長90ｍ（福井市内最大）","5世紀前半","","","",""
"王山古墳群","[王山古墳群（おうざんこふんぐん）〔鯖江市〕] 王山古墳群 （おうざんこふんぐん）は、 福井県 鯖江市 日の出町に位置する独立丘陵「王山」に分布している 弥生時代 後期（ 3世紀 ）から 古墳時代 中期（ 5世紀 ）に築造された総数49基からなる 古墳 群である。 1967年 （ 昭和 42年） 6月 、国の 史跡 に指定  。","https://ja.wikipedia.org/wiki/王山古墳群","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯35度56分23.0秒 東経136度11分5.6秒","","","","","","","","","","","","","","","","","","",""
"兜山古墳 (鯖江市)","[兜山古墳（かぶとやまこふん）〔鯖江市〕] 兜山古墳 （かぶとやまこふん）は、 福井県 鯖江市 神明町2丁目にある 円墳 。 1977年 8月10日 国の史跡に指定  。","https://ja.wikipedia.org/wiki/兜山古墳_(鯖江市)","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯35度58分28.0秒東経136度11分00.1秒","福井県鯖江市神明町2丁目","北緯35度58分28.0秒東経136度11分00.1秒﻿ / ﻿北緯35.974444度 東経136.183361度﻿ /35.974444; 136.183361座標:北緯35度58分28.0秒東経136度11分00.1秒﻿ / ﻿北緯35.974444度 東経136.183361度﻿ /35.974444; 136.183361","兜山古墳","","","","","","","","国の史跡","","円墳","60ｍ","5世紀代","","未調査","",""
"杣山城","[杣山城跡（そまやまじょうあと）〔南条郡南越前町〕] 杣山城 （そまやまじょう）は 福井県 南条郡 南越前町 にあった 日本の城 である。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/杣山城","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯35度48分8.37秒東経136度13分10.14秒","","北緯35度48分8.37秒東経136度13分10.14秒﻿ / ﻿北緯35.8023250度 東経136.2194833度﻿ /35.8023250; 136.2194833","杣山城","国の史跡（城主居館跡、家臣屋敷跡、城戸の土塁、堀跡）","山城","源頼親","石垣、堀切、土塁","","平安時代初期","","","","","","","","","",""
"金ヶ崎城","[金ヶ崎城跡（かながさきじょう・かねがさきじょうあと）〔敦賀市〕] 金ヶ崎城 （かながさきじょう・かねがさきじょう）は、 福井県 敦賀市 金ヶ崎町にあった 日本の城 。別名 敦賀城 （つるがじょう）。城跡は国の 史跡 に指定されている。本項では支城である天筒山城についても併記する。","https://ja.wikipedia.org/wiki/金ヶ崎城","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯35度39分57.9秒東経136度4分27.0秒","","北緯35度39分57.9秒東経136度4分27.0秒﻿ / ﻿北緯35.666083度 東経136.074167度﻿ /35.666083; 136.074167座標:北緯35度39分57.9秒東経136度4分27.0秒﻿ / ﻿北緯35.666083度 東経136.074167度﻿ /35.666083; 136.074167","金ヶ崎城","国の史跡","山城","平通盛","城戸跡","","","気比氏、甲斐氏、朝倉氏","","","","","","","","",""
"玄蕃尾城","[玄藩尾城（内中尾山城）跡（げんばおじょう（うちなかおやまじょう）あと）〔福井県敦賀市・滋賀県長浜市〕] 玄蕃尾城 （げんばおじょう）は、 福井県 敦賀市 刀根と 滋賀県 長浜市 余呉町 柳ヶ瀬の県境にあった 山城 である。 天正 11年（1583年）の 賤ヶ岳の戦い において、 柴田勝家 の 本陣 が置かれた。 平成 11年（ 1999年 ）7月13日に「玄藩尾城（内中尾山城）跡」として国の史跡に指定されている  。また 2017年 （平成29年）4月6日、「 続日本100名城 」（140番）に選定された。","https://ja.wikipedia.org/wiki/玄蕃尾城","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯35度35分54.2秒東経136度10分35.0秒","","北緯35度35分54.2秒東経136度10分35.0秒﻿ / ﻿北緯35.598389度 東経136.176389度﻿ /35.598389; 136.176389","玄蕃尾城","国の史跡","山城","佐久間玄蕃允盛政、諸説あり","郭、空堀、土塁、小口、土橋、","内中尾山城（うちなかおやまじょう）","天正10～11年（1582～1583年）、諸説あり","柴田勝家（賤ヶ岳の戦い時の本陣）","","1583年（賤ヶ岳の戦い後）","","","","","","",""
"武田耕雲斎","[武田耕雲斎等墓（たけだこううんさいとうのはか）〔敦賀市〕] 武田 耕雲斎 （たけだ こううんさい、 享和 3年（ 1803年 ）- 元治 2年 2月4日 （ 1865年 3月1日 ））は、 幕末 の 武士 。 水戸藩 の 天狗党 の首領。名は正生。通称は彦九郎。号は如雲。 位階 は 贈正四位 。官位は 伊賀守 。 松原神社 (敦賀市) の 祭神 。 靖国神社 合祀  。","https://ja.wikipedia.org/wiki/武田耕雲斎","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"中郷古墳群","[中郷古墳群（なかごうこふんぐん）〔敦賀市〕] 中郷古墳群 （なかごうこふんぐん）は、 福井県 敦賀市 坂の下・吉河・岩谷にある 古墳群 。 向出山古墳群 （むかいでやまこふんぐん）と 明神山古墳群 （みょうじんやまこふんぐん）から構成される。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/中郷古墳群","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"上船塚古墳","[上船塚古墳（かみふなづかこふん）〔三方上中郡若狭町〕] 上船塚古墳 （かみふなづかこふん）は、 福井県 三方上中郡 若狭町 日笠にある 古墳 。形状は 前方後円墳 。上中古墳群（うち日笠古墳群/船塚古墳群）を構成する古墳の1つ。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/上船塚古墳","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯35度28分12.79秒東経135度48分50.81秒","福井県三方上中郡若狭町日笠字上船塚","北緯35度28分12.79秒東経135度48分50.81秒﻿ / ﻿北緯35.4702194度 東経135.8141139度﻿ /35.4702194; 135.8141139座標:北緯35度28分12.79秒東経135度48分50.81秒﻿ / ﻿北緯35.4702194度 東経135.8141139度﻿ /35.4702194; 135.8141139","上船塚古墳","","","","","","","","国の史跡「上船塚古墳」","","前方後円墳","墳丘長70ｍ","6世紀前半","","埴輪片","",""
"下船塚古墳","[下船塚古墳（しもふなづかこふん）〔三方上中郡若狭町〕] 下船塚古墳 （しもふなづかこふん）は、 福井県 三方上中郡 若狭町 日笠にある 古墳 。形状は 前方後円墳 。上中古墳群（うち日笠古墳群/船塚古墳群）を構成する古墳の1つ。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/下船塚古墳","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯35度28分16.10秒東経135度48分51.42秒","福井県三方上中郡若狭町日笠","北緯35度28分16.10秒東経135度48分51.42秒﻿ / ﻿北緯35.4711389度 東経135.8142833度﻿ /35.4711389; 135.8142833座標:北緯35度28分16.10秒東経135度48分51.42秒﻿ / ﻿北緯35.4711389度 東経135.8142833度﻿ /35.4711389; 135.8142833","下船塚古墳","","","","","","","","国の史跡「下船塚古墳」","","前方後円墳","墳丘長85ｍ","6世紀中葉","","埴輪片","",""
"上ノ塚古墳","[上ノ塚古墳（じょうのづかこふん）〔三方上中郡若狭町〕] 上ノ塚古墳 （じょうのづかこふん）は、 福井県 三方上中郡 若狭町 脇袋にある 古墳 。形状は 前方後円墳 。上中古墳群（うち脇袋古墳群）を構成する古墳の1つ。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/上ノ塚古墳","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯35度28分4.49秒東経135度52分28.36秒","福井県三方上中郡若狭町脇袋","北緯35度28分4.49秒東経135度52分28.36秒﻿ / ﻿北緯35.4679139度 東経135.8745444度﻿ /35.4679139; 135.8745444座標:北緯35度28分4.49秒東経135度52分28.36秒﻿ / ﻿北緯35.4679139度 東経135.8745444度﻿ /35.4679139; 135.8745444","上ノ塚古墳","","","","","","","","国の史跡「上ノ塚古墳」","","前方後円墳","墳丘長100ｍ","5世紀初頭","","埴輪片","",""
"中塚古墳 (若狭町)","[中塚古墳（なかつかこふん）〔三方上中郡若狭町〕] 中塚古墳 （なかつかこふん）は、 福井県 三方上中郡 若狭町 脇袋にある 古墳 。形状は 前方後円墳 。上中古墳群（うち脇袋古墳群）を構成する古墳の1つ。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/中塚古墳_(若狭町)","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯35度28分2.35秒東経135度52分32.84秒","福井県三方上中郡若狭町脇袋","北緯35度28分2.35秒東経135度52分32.84秒﻿ / ﻿北緯35.4673194度 東経135.8757889度﻿ /35.4673194; 135.8757889座標:北緯35度28分2.35秒東経135度52分32.84秒﻿ / ﻿北緯35.4673194度 東経135.8757889度﻿ /35.4673194; 135.8757889","中塚古墳","","","","","","","","国の史跡「中塚古墳」","","前方後円墳","墳丘長70ｍ","5世紀末","","埴輪片","",""
"西塚古墳","[西塚古墳（にしづかこふん）〔三方上中郡若狭町〕] 西塚古墳 （にしづかこふん）は、 福井県 三方上中郡 若狭町 脇袋にある 古墳 。形状は 前方後円墳 。上中古墳群（うち脇袋古墳群）を構成する古墳の1つ。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/西塚古墳","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯35度28分5.94秒東経135度52分23.76秒","福井県三方上中郡若狭町脇袋","北緯35度28分5.94秒東経135度52分23.76秒﻿ / ﻿北緯35.4683167度 東経135.8732667度﻿ /35.4683167; 135.8732667座標:北緯35度28分5.94秒東経135度52分23.76秒﻿ / ﻿北緯35.4683167度 東経135.8732667度﻿ /35.4683167; 135.8732667","西塚古墳","","","","","","","","国の史跡「西塚古墳」","","前方後円墳","墳丘長74ｍ","5世紀後半","","副葬品多数","",""
"岡津製塩遺跡","[岡津製塩遺跡（おこづせいえんいせき）〔小浜市〕] 岡津製塩遺跡 （おこづせいえんいせき）は、 福井県 小浜市 岡津にある、 古墳時代 から 奈良時代 にかけての製塩遺跡。 飯盛山 南西麓の 小浜湾 海岸線にあり、7世紀～8世紀にかけての製塩炉跡9面が検出されている。1979年5月21日、 国史跡 に指定された。さらに2015年4月24日には、「海と都をつなぐ若狭の往来文化遺産群 - 御食国（みけつくに）若狭と鯖街道 - 」の構成文化財として 日本遺産 に認定された  。","https://ja.wikipedia.org/wiki/岡津製塩遺跡","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯35度28分54秒 東経135度39分20秒","","","","","","","","","","","","","","","","","","",""
"後瀬山城","[後瀬山城跡（のちせやまじょうあと）〔小浜市〕] 後瀬山城 （のちせやまじょう）は、 福井県 小浜市 にあった 日本の城 （ 山城 ）。 若狭 最大級の城であったが、比較的 標高 の高い山上に築かれていたため、北山麓に水堀を廻らせた常時住まいする大規模な 守護館 （ 武田氏館 ）が設けられていた。東山麓の発心寺も城砦の一部と考える見方がある。 城跡 は国の 史跡 に指定されている  。 2015年 （平成27年） 4月24日 、「海と都をつなぐ若狭の往来文化遺産群 - 御食国（みけつくに）若狭と鯖街道 - 」の構成文化財として 日本遺産 に認定される  。","https://ja.wikipedia.org/wiki/後瀬山城","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯35度29分17.52秒東経135度44分20.68秒","","北緯35度29分17.52秒東経135度44分20.68秒﻿ / ﻿北緯35.4882000度 東経135.7390778度﻿ /35.4882000; 135.7390778","後瀬山城","国の史跡","山城","武田元光","曲輪跡、堀切・土塁","","1522年","","","1642年（寛永19年）","","","","","","",""
"若狭国分寺","[若狭国分寺跡（わかさこくぶんじあと）〔小浜市〕] 若狭国分寺 （わかさこくぶんじ）は、 福井県 小浜市 国分にある 曹洞宗 の 寺院 。山号は護国山。 本尊 は 釈迦如来  。","https://ja.wikipedia.org/wiki/若狭国分寺","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯35度28分48.86秒東経135度47分18.10秒","福井県小浜市国分53-1","北緯35度28分48.86秒東経135度47分18.10秒﻿ / ﻿北緯35.4802389度 東経135.7883611度﻿ /35.4802389; 135.7883611﻿ (若狭国分寺)座標:北緯35度28分48.86秒東経135度47分18.10秒﻿ / ﻿北緯35.4802389度 東経135.7883611度﻿ /35.4802389; 135.7883611﻿ (若狭国分寺)","","","","","","","","","","","","","","","","",""
"富士山","[富士山（ふじさん）〔山梨県富士吉田市・南都留郡富士河口湖町・静岡県富士宮市・裾野市・駿東郡小山町〕（世界遺産「富士山-信仰の対象と芸術の源泉」の構成資産）] 古来 霊峰 とされ、特に山頂部は 浅間大神 が鎮座するとされたため、神聖視された。噴火を沈静化するため 律令国家 により 浅間神社 が祭祀され、 浅間信仰 が確立された。また、富士山修験道の開祖とされる 富士上人 により修験道の霊場としても認識されるようになり、登拝が行われるようになった。これら 富士信仰 は時代により多様化し、 村山修験 や 富士講 といった一派を形成するに至る。現在、富士山麓周辺には観光名所が多くある他、夏季シーズンには 富士登山 が盛んである。","https://ja.wikipedia.org/wiki/富士山","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯35度21分45秒東経138度43分50秒","日本静岡県富士宮市裾野市富士市御殿場市駿東郡小山町山梨県富士吉田市南都留郡鳴沢村","北緯35度21分45秒東経138度43分50秒﻿ / ﻿北緯35.3625度 東経138.7306度﻿ /35.3625; 138.7306座標:北緯35度21分45秒東経138度43分50秒﻿ / ﻿北緯35.3625度 東経138.7306度﻿ /35.3625; 138.7306","","","","","","","","","","","","","","","","",""
"勝沼氏館","[勝沼氏館跡（かつぬましやかたあと）〔甲州市（旧東山梨郡勝沼町）〕] 勝沼氏館 （かつぬましやかた）は、 山梨県 甲州市 （旧 東山梨郡 勝沼町 字御所）にあった 戦国時代 の館（ 日本の城 ）跡である。 1981年 （ 昭和 56年） 5月28日 、国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/勝沼氏館","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯35度39分34.05秒東経138度43分55.85秒","","北緯35度39分34.05秒東経138度43分55.85秒﻿ / ﻿北緯35.6594583度 東経138.7321806度﻿ /35.6594583; 138.7321806","勝沼氏館","国の史跡","連郭式平城","勝沼信友","土塁、堀","","","勝沼信友、勝沼信元","","","","","","不明","","","勝沼氏"
"黒川金山","[黒川金山（くろかわきんざん）〔甲州市〕] 黒川金山 （くろかわきんざん）は、現在の 山梨県 甲州市 塩山上萩原に位置する 鉱山 。 戦国時代 から 江戸時代 前期まで鉱山として栄え、現在は遺跡が残る。","https://ja.wikipedia.org/wiki/黒川金山","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯35度47分24秒東経138度50分49秒","現：山梨県甲州市塩山上萩原","","","","","","","","","","","","","","","","","",""
"湯之奥金山","[中山金山（なかやまきんざん）〔南巨摩郡身延町〕] 湯之奥金山 （ゆのおく きんざん）は、 山梨県 南巨摩郡 身延町 （旧西八代郡 下部町 ）湯之奥にある 金山 。 戦国時代 前期から 江戸時代 初期まで稼業していたと考えられており、毛無山中腹に分布する中山、内山、茅小屋の3つの金山の総称。","https://ja.wikipedia.org/wiki/湯之奥金山","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯35度24分15秒 東経138度31分50秒","","","","","","","","","","","","","","","","","","",""
"甲斐国分寺跡","[甲斐国分寺跡（かいこくぶんじあと）〔笛吹市国分〕] 甲斐国分寺 （かいこくぶんじ）は、 山梨県 笛吹市 にある 臨済宗 妙心寺派 の 寺院 。 山号 は護国山。本尊は 薬師如来 。","https://ja.wikipedia.org/wiki/甲斐国分寺跡","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯35度38分11.36秒東経138度40分52.58秒","山梨県笛吹市一宮町国分196-1","北緯35度38分11.36秒東経138度40分52.58秒﻿ / ﻿北緯35.6364889度 東経138.6812722度﻿ /35.6364889; 138.6812722座標:北緯35度38分11.36秒東経138度40分52.58秒﻿ / ﻿北緯35.6364889度 東経138.6812722度﻿ /35.6364889; 138.6812722","","","","","","","","","","","","","","","","",""
"甲斐国分尼寺跡","[甲斐国分尼寺跡（かいこくぶんにじあと）〔笛吹市一宮町東原〕] 甲斐国分寺 （かいこくぶんじ）は、 山梨県 笛吹市 にある 臨済宗 妙心寺派 の 寺院 。 山号 は護国山。本尊は 薬師如来 。","https://ja.wikipedia.org/wiki/甲斐国分尼寺跡","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯35度38分11.36秒東経138度40分52.58秒","山梨県笛吹市一宮町国分196-1","北緯35度38分11.36秒東経138度40分52.58秒﻿ / ﻿北緯35.6364889度 東経138.6812722度﻿ /35.6364889; 138.6812722座標:北緯35度38分11.36秒東経138度40分52.58秒﻿ / ﻿北緯35.6364889度 東経138.6812722度﻿ /35.6364889; 138.6812722","","","","","","","","","","","","","","","","",""
"躑躅ヶ崎館","[武田氏館跡（たけだしやかたあと）〔甲府市古府中町〕（現武田神社）] 躑躅ヶ崎館 （つつじがさきやかた）は、 山梨県 甲府市 古府中（ 甲斐国 山梨郡 古府中）にあった戦国期の 居館 （または 日本の城 ）。甲斐国 守護 武田氏 の居館で、 戦国大名 武田氏の領国経営における中心地となる。","https://ja.wikipedia.org/wiki/躑躅ヶ崎館","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯35度41分12.71秒東経138度34分38.9秒","","北緯35度41分12.71秒東経138度34分38.9秒﻿ / ﻿北緯35.6868639度 東経138.577472度﻿ /35.6868639; 138.577472座標:北緯35度41分12.71秒東経138度34分38.9秒﻿ / ﻿北緯35.6868639度 東経138.577472度﻿ /35.6868639; 138.577472","躑躅ヶ崎館","国の史跡","連郭式平城","武田信虎","石垣、土塁、水堀、空堀、土橋、虎口、井戸、天守台、復元馬出し","武田氏館跡","1519年（永正16年）","武田氏、河尻秀隆？、徳川氏豊臣秀勝、加藤光泰、浅野長政","","1594年（文禄3年）","","","","不明(天守台は残る)","","","徳川氏、羽柴秀勝、加藤光泰"
"甲斐銚子塚古墳","[銚子塚古墳附 丸山塚古墳（ちょうしづかこふん つけたり まるやまづかこふん）〔甲府市（旧東八代郡中道町）〕] 甲斐銚子塚古墳 （かい ちょうしづか こふん）は、 山梨県 甲府市 下曽根町にある 前方後円墳 。国の 史跡 に指定されている（指定名称は「銚子塚古墳 附 丸山塚古墳」）。","https://ja.wikipedia.org/wiki/甲斐銚子塚古墳","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯35度35分32秒東経138度34分42秒","山梨県甲府市下曽根町","北緯35度35分32秒東経138度34分42秒﻿ / ﻿北緯35.59222度 東経138.57833度﻿ /35.59222; 138.57833﻿ (甲斐銚子塚古墳)座標:北緯35度35分32秒東経138度34分42秒﻿ / ﻿北緯35.59222度 東経138.57833度﻿ /35.59222; 138.57833﻿ (甲斐銚子塚古墳)","甲斐銚子塚古墳甲府","","","","","","","","国の史跡「銚子塚古墳 附 丸山塚古墳」","","前方後円墳","墳丘長169m","4世紀後半","","鏡5面、円筒埴輪、組合式木製品ほか","",""
