"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","所在地","ホーム","駅番号","備考","電報略号","乗降人員,-統計年度-","乗車人員,-統計年度-","乗換","通称","国","種類","起点","終点","駅数"
"国吉駅","国吉駅（くによしえき）","https://ja.wikipedia.org/wiki/国吉駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度16分50.0秒東経140度18分50.5秒","■いすみ線","8.8 km（大原起点）","いすみ鉄道","地上駅","1930年（昭和5年）4月1日","千葉県いすみ市苅谷537-2北緯35度16分50.0秒東経140度18分50.5秒座標:北緯35度16分50.0秒 東経140度18分50.5秒","2面2線","","無人駅","ヨシ","","132人/日（降車客含まず）-2018年-","","","","","","",""
"くぬぎ山駅","くぬぎ山駅（くぬぎやまえき）","https://ja.wikipedia.org/wiki/くぬぎ山駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","","■新京成線","9.6 km（松戸起点）","新京成電鉄","地上駅（橋上駅）","1955年（昭和30年）4月21日","","1面2線","SL09","","","7,297人/日-2019年-","","","","","","","",""
"久根別駅","久根別駅（くねべつえき）","https://ja.wikipedia.org/wiki/久根別駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯41度49分35.4秒東経140度39分57.5秒","■道南いさりび鉄道線","6.5 km（五稜郭起点）","道南いさりび鉄道","地上駅","1913年（大正2年）9月15日[1]","北海道北斗市久根別2丁目25番14号[1]北緯41度49分35.4秒東経140度39分57.5秒﻿ / ﻿北緯41.826500度 東経140.665972度﻿ /41.826500; 140.665972﻿ (久根別駅)","2面3線[1]","●sh09","無人駅（自動券売機 有）","クヘ","120[2]人/日-2019年-","","","","","","","",""
"日本平ロープウェイ","久能山駅（くのうざんえき）","https://ja.wikipedia.org/wiki/日本平ロープウェイ#路線データ","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"玖波駅","玖波駅（くばえき）","https://ja.wikipedia.org/wiki/玖波駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯34度15分17.95秒東経132度13分40.53秒","R山陽本線","336.4 km（神戸起点）","西日本旅客鉄道（JR西日本）","地上駅","1897年（明治30年）9月25日","広島県大竹市玖波二丁目1-1北緯34度15分17.95秒東経132度13分40.53秒﻿ / ﻿北緯34.2549861度 東経132.2279250度﻿ /34.2549861; 132.2279250座標:北緯34度15分17.95秒東経132度13分40.53秒﻿ / ﻿北緯34.2549861度 東経132.2279250度﻿ /34.2549861; 132.2279250","2面2線","JR-R13","業務委託駅みどりの窓口有","クハ","","1,700人/日（降車客含まず）-2019年-","","","","","","",""
"久原駅","久原駅（くばらえき）","https://ja.wikipedia.org/wiki/久原駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯33度18分52.15秒東経129度48分41.50秒","■西九州線","21.7 km（有田起点）","松浦鉄道","地上駅","1930年（昭和5年）10月1日1988年（昭和63年）4月1日（転換）","佐賀県伊万里市山代町久原北緯33度18分52.15秒東経129度48分41.50秒","2面2線","","","クハ","66人/日-2017年-","33人/日（降車客含まず）-2017年-","","","","","","",""
"くびき駅","くびき駅","https://ja.wikipedia.org/wiki/くびき駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯37度11分53.25秒東経138度21分41.9秒","■ほくほく線","53.6 km（六日町起点）","北越急行","高架駅","1997年（平成9年）3月22日[1]","新潟県上越市頸城区手島1021-2北緯37度11分53.25秒東経138度21分41.9秒﻿ / ﻿北緯37.1981250度 東経138.361639度﻿ /37.1981250; 138.361639﻿ (くびき駅)座標:北緯37度11分53.25秒東経138度21分41.9秒﻿ / ﻿北緯37.1981250度 東経138.361639度﻿ /37.1981250; 138.361639﻿ (くびき駅)","2面2線[1]","","標高13.7m[1]","クキ[1]","","91人/日（降車客含まず）-2018年-","","","","","","",""
"頸城大野駅","頸城大野駅（くびきおおのえき）","https://ja.wikipedia.org/wiki/頸城大野駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯37度0分21.86秒東経137度52分20.88秒","■大糸線","100.3km（松本起点）南小谷から30.2 km","西日本旅客鉄道（JR西日本）","地上駅","1934年（昭和9年）11月14日","新潟県糸魚川市大字大野字稲場1751北緯37度0分21.86秒東経137度52分20.88秒﻿ / ﻿北緯37.0060722度 東経137.8724667度﻿ /37.0060722; 137.8724667座標:北緯37度0分21.86秒東経137度52分20.88秒﻿ / ﻿北緯37.0060722度 東経137.8724667度﻿ /37.0060722; 137.8724667","1面1線","","無人駅","クオ←クヲ","","13人/日（降車客含まず）-2019年-","","","","","","",""
"窪川駅","窪川駅（くぼかわえき）","https://ja.wikipedia.org/wiki/窪川駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯33度12分44.72秒東経133度8分13.84秒","■土讃線（JR四国）","198.7 km（多度津起点）岡山から251.4 km高松から231.4 km","四国旅客鉄道（JR四国）土佐くろしお鉄道（TKT）","地上駅","1951年（昭和26年）11月12日[1]","高知県高岡郡四万十町琴平町16-24（JR四国）高知県高岡郡四万十町琴平町16-28（土佐くろしお鉄道）北緯33度12分44.72秒東経133度8分13.84秒﻿ / ﻿北緯33.2124222度 東経133.1371778度﻿ /33.2124222; 133.1371778﻿ (窪川駅)座標:北緯33度12分44.72秒東経133度8分13.84秒﻿ / ﻿北緯33.2124222度 東経133.1371778度﻿ /33.2124222; 133.1371778﻿ (窪川駅)","3面4線","○K26","共同使用駅（駅舎は別）JR四国：直営駅（管理駅）みどりの窓口有","クホ","（JR四国）1,072人/日（土佐くろしお鉄道）325人/日-2017年-","","","","","","","",""
"久保田駅 (秋田県)","久保田駅 (秋田県)（くぼたえき・由利高原鉄道鳥海山ろく線）","https://ja.wikipedia.org/wiki/久保田駅_(秋田県)","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯39度17分45.52秒東経140度6分39.83秒","鳥海山ろく線","13.6 km（羽後本荘起点）","由利高原鉄道","地上駅","1985年（昭和60年）10月1日","秋田県由利本荘市久保田北緯39度17分45.52秒東経140度6分39.83秒﻿ / ﻿北緯39.2959778度 東経140.1110639度﻿ /39.2959778; 140.1110639﻿ (久保田駅)座標:北緯39度17分45.52秒東経140度6分39.83秒﻿ / ﻿北緯39.2959778度 東経140.1110639度﻿ /39.2959778; 140.1110639﻿ (久保田駅)","1面1線","","","クホ","10人/日-2018年-","","","","","","","",""
"久保田駅 (佐賀県)","久保田駅 (佐賀県)（くぼたえき・九州旅客鉄道長崎本線・唐津線）","https://ja.wikipedia.org/wiki/久保田駅_(佐賀県)","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯33度15分20秒東経130度13分46.18秒","■長崎本線","31.4 km（鳥栖起点）","九州旅客鉄道（JR九州）","地上駅","1896年（明治29年）10月10日","佐賀県佐賀市久保田町大字徳万北緯33度15分20秒東経130度13分46.18秒","2面3線","","無人駅（自動券売機 有）","クホ","","638人/日（降車客含まず）-2019年-","","","","","","",""
"九品寺交差点停留場","九品寺交差点停留場（くほんじこうさてんていりゅうじょう）","https://ja.wikipedia.org/wiki/九品寺交差点停留場","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","","水前寺線（■A系統・■B系統）","0.5km（水道町起点）田崎橋から4.3 km","熊本市交通局","地上駅","1924年（大正13年）8月1日","","2面2線","□13","","","2,227人/日-2015年-","","","","","","","",""
"九品仏駅","九品仏駅（くほんぶつえき）","https://ja.wikipedia.org/wiki/九品仏駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度36分19.5秒東経139度39分39.6秒","■大井町線","7.1 km（大井町起点）","東急電鉄","地上駅","1929年（昭和4年）11月1日[1]","東京都世田谷区奥沢七丁目20-1北緯35度36分19.5秒東経139度39分39.6秒﻿ / ﻿北緯35.605417度 東経139.661000度﻿ /35.605417; 139.661000座標:北緯35度36分19.5秒東経139度39分39.6秒﻿ / ﻿北緯35.605417度 東経139.661000度﻿ /35.605417; 139.661000","1面2線","OM11","","","9,715人/日-2020年-","","","","","","","",""
"熊ケ根駅","熊ケ根駅（くまがねえき）","https://ja.wikipedia.org/wiki/熊ケ根駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯38度17分52.73秒東経140度40分50.72秒","■仙山線","23.7 km（仙台起点）","東日本旅客鉄道（JR東日本）","地上駅","1931年（昭和6年）8月30日[1]","仙台市青葉区熊ケ根字檀の原一番北緯38度17分52.73秒東経140度40分50.72秒座標:北緯38度17分52.73秒 東経140度40分50.72秒","1面1線[1]","","無人駅[1]仙台市内駅","クネ","","105人/日（降車客含まず）-2007年-","","","","","","",""
"熊谷駅","熊谷駅（くまがやえき）","https://ja.wikipedia.org/wiki/熊谷駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","","","","東日本旅客鉄道（JR東日本・駅詳細）秩父鉄道（駅詳細）","","1883年（明治16年）7月28日[1]","埼玉県熊谷市筑波二丁目（JR東日本）埼玉県熊谷市桜木町一丁目（秩父鉄道）","","","","","","","","","","","","",""
"熊谷貨物ターミナル駅","熊谷貨物ターミナル駅（くまがやかもつターミナルえき）","https://ja.wikipedia.org/wiki/熊谷貨物ターミナル駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯36度9分54.78秒東経139度20分44.19秒","高崎線","39.3 km（大宮起点）","日本貨物鉄道（JR貨物）","地上駅","1979年（昭和54年）10月1日","埼玉県熊谷市久保島字宮田1080北緯36度9分54.78秒東経139度20分44.19秒﻿ / ﻿北緯36.1652167度 東経139.3456083度﻿ /36.1652167; 139.3456083座標:北緯36度9分54.78秒東経139度20分44.19秒﻿ / ﻿北緯36.1652167度 東経139.3456083度﻿ /36.1652167; 139.3456083","","","貨物専用駅","クカ","","","","","","","","",""
"熊川駅","熊川駅（くまがわえき）","https://ja.wikipedia.org/wiki/熊川駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度43分42.3秒東経139度20分7.4秒","■五日市線","1.1 km（拝島起点）","東日本旅客鉄道（JR東日本）","地上駅","1931年（昭和6年）5月28日[2]","東京都福生市大字熊川738-5北緯35度43分42.3秒東経139度20分7.4秒﻿ / ﻿北緯35.728417度 東経139.335389度﻿ /35.728417; 139.335389座標:北緯35度43分42.3秒東経139度20分7.4秒﻿ / ﻿北緯35.728417度 東経139.335389度﻿ /35.728417; 139.335389","1面1線[1]","JC81","無人駅（自動券売機 有）","クマ","","1,408人/日（降車客含まず）-2013年-","","","","","","",""
"熊崎駅","熊崎駅（くまさきえき）","https://ja.wikipedia.org/wiki/熊崎駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯33度8分10.37秒東経131度47分15.82秒","■日豊本線[1]","164.7 km（小倉起点）","九州旅客鉄道（JR九州）[1]","地上駅","1920年（大正9年）8月15日[2]","大分県臼杵市大字井村字塩入1983-2[2][3]北緯33度8分10.37秒東経131度47分15.82秒","1面2線[2]","","無人駅[1]","クキ","","363人/日（降車客含まず）-2019年-","","","","","","",""
"熊取駅","熊取駅（くまとりえき）","https://ja.wikipedia.org/wiki/熊取駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","","R阪和線","33.0 km（天王寺起点）","西日本旅客鉄道（JR西日本）","地上駅（橋上駅）","1930年（昭和5年）6月16日","","2面4線","JR-R44","直営駅みどりの券売機プラス設置駅","クマ","","10,978人/日（降車客含まず）-2019年-","","","","","","",""
"熊西駅","熊西駅（くまにしえき）","https://ja.wikipedia.org/wiki/熊西駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯33度51分57.82秒東経130度45分28.6秒","筑豊電気鉄道線","0.6 km（黒崎駅前起点）","筑豊電気鉄道","地上駅","1914年（大正3年）6月25日[1]","北九州市八幡西区熊西一丁目28-1北緯33度51分57.82秒東経130度45分28.6秒","2面2線","CK 03","無人駅","","480人/日-2019年-","","西鉄北九州線折尾方面（2000年廃止）","","","","","",""
"熊野市駅","熊野市駅（くまのしえき）","https://ja.wikipedia.org/wiki/熊野市駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯33度53分22.80秒東経136度5分56.11秒","紀勢本線","157.6 km（亀山起点）","東海旅客鉄道（JR東海）","地上駅","1940年（昭和15年）8月8日[1]","三重県熊野市井戸町809-3北緯33度53分22.80秒東経136度5分56.11秒","2面3線","","駅長配置駅（管理駅）みどりの窓口有*1959年に紀伊木本駅から改称。","クノ","","465人/日（降車客含まず）-2019年-","","","","","","",""
"隈之城駅","隈之城駅（くまのじょうえき）","https://ja.wikipedia.org/wiki/隈之城駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯31度47分32.63秒東経130度18分25.69秒","■鹿児島本線","2.6km（川内起点）門司港から351.8 km","九州旅客鉄道（JR九州）","地上駅","1914年（大正3年）6月1日","鹿児島県薩摩川内市隈之城町字先崎1859-2北緯31度47分32.63秒東経130度18分25.69秒﻿ / ﻿北緯31.7923972度 東経130.3071361度﻿ /31.7923972; 130.3071361座標:北緯31度47分32.63秒東経130度18分25.69秒﻿ / ﻿北緯31.7923972度 東経130.3071361度﻿ /31.7923972; 130.3071361","2面2線","","無人駅（自動券売機 有）","クノ","","374人/日（降車客含まず）-2019年-","","","","","","",""
"熊野前駅","熊野前駅（くまのまええき・日暮里・舎人ライナー）","https://ja.wikipedia.org/wiki/熊野前駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","","","","東京都交通局","","","東京都荒川区東尾久","","","","","","","","","","","","",""
"熊野前停留場","熊野前停留場（くまのまえていりゅうじょう・都電荒川線）","https://ja.wikipedia.org/wiki/熊野前停留場","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","","","","東京都交通局","","","東京都荒川区東尾久","","","","","","","","","","","","",""
"熊本駅","熊本駅（くまもとえき）","https://ja.wikipedia.org/wiki/熊本駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯32度47分21.6秒東経130度41分19.3秒","","","九州旅客鉄道（JR九州・駅詳細）日本貨物鉄道（JR貨物・駅詳細）熊本市交通局（駅詳細）","","","熊本市西区春日三丁目北緯32度47分21.6秒東経130度41分19.3秒﻿ / ﻿北緯32.789333度 東経130.688694度﻿ /32.789333; 130.688694座標:北緯32度47分21.6秒東経130度41分19.3秒﻿ / ﻿北緯32.789333度 東経130.688694度﻿ /32.789333; 130.688694","","","","","","","","","","","","",""
"熊本駅","熊本駅前駅（くまもとえきまええき）","https://ja.wikipedia.org/wiki/熊本駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯32度47分21.6秒東経130度41分19.3秒","","","九州旅客鉄道（JR九州・駅詳細）日本貨物鉄道（JR貨物・駅詳細）熊本市交通局（駅詳細）","","","熊本市西区春日三丁目北緯32度47分21.6秒東経130度41分19.3秒﻿ / ﻿北緯32.789333度 東経130.688694度﻿ /32.789333; 130.688694座標:北緯32度47分21.6秒東経130度41分19.3秒﻿ / ﻿北緯32.789333度 東経130.688694度﻿ /32.789333; 130.688694","","","","","","","","","","","","",""
"熊本高専前駅","熊本高専前駅（くまもとこうせんまええき）","https://ja.wikipedia.org/wiki/熊本高専前駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯32度52分40.8秒東経130度44分46.3秒","■菊池線","9.9km（上熊本起点）藤崎宮前から8.8 km","熊本電気鉄道","地上駅","1995年（平成7年）1月9日","熊本県合志市須屋字大窪2670-4北緯32度52分40.8秒東経130度44分46.3秒﻿ / ﻿北緯32.878000度 東経130.746194度﻿ /32.878000; 130.746194座標:北緯32度52分40.8秒東経130度44分46.3秒﻿ / ﻿北緯32.878000度 東経130.746194度﻿ /32.878000; 130.746194","1面1線","KD17","無人駅","","321人/日-2018年-","","","","","","","",""
"熊本城・市役所前停留場","熊本城・市役所前停留場（くまもとじょう・しやくしょまえていりゅうじょう）","https://ja.wikipedia.org/wiki/熊本城・市役所前停留場","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯32度48分11.50秒東経130度42分25.90秒","幹線（■A系統・■B系統）","2.7km（熊本駅前起点）田崎橋から3.2 km","熊本市交通局","地上駅","1924年（大正13年）8月1日","熊本市中央区手取本町・花畑町北緯32度48分11.50秒東経130度42分25.90秒﻿ / ﻿北緯32.8031944度 東経130.7071944度﻿ /32.8031944; 130.7071944座標:北緯32度48分11.50秒東経130度42分25.90秒﻿ / ﻿北緯32.8031944度 東経130.7071944度﻿ /32.8031944; 130.7071944","2面2線","□10","","","2,380人/日-2015年-","","","","","","","",""
"熊山駅","熊山駅（くまやまえき）","https://ja.wikipedia.org/wiki/熊山駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯34度47分0.55秒東経134度6分33.35秒","S山陽本線","119.4 km（神戸起点）","西日本旅客鉄道（JR西日本）","地上駅","1930年（昭和5年）8月11日","岡山県赤磐市千躰329-2北緯34度47分0.55秒東経134度6分33.35秒﻿ / ﻿北緯34.7834861度 東経134.1092639度﻿ /34.7834861; 134.1092639座標:北緯34度47分0.55秒東経134度6分33.35秒﻿ / ﻿北緯34.7834861度 東経134.1092639度﻿ /34.7834861; 134.1092639","2面3線（実質2面2線）","JR-S08","無人駅（自動券売機 有）","クヤ","","1,358人/日（降車客含まず）-2019年-","","","","","","",""
"久美浜駅","久美浜駅（くみはまえき）","https://ja.wikipedia.org/wiki/久美浜駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度36分8.84秒東経134度53分41.5秒","宮津線（宮豊線）*","72.0 km（西舞鶴起点）","WILLER TRAINS（京都丹後鉄道）","地上駅","1929年（昭和4年）12月15日[1]","京都府京丹後市久美浜町栄町北緯35度36分8.84秒東経134度53分41.5秒﻿ / ﻿北緯35.6024556度 東経134.894861度﻿ /35.6024556; 134.894861﻿ (久美浜駅)座標:北緯35度36分8.84秒東経134度53分41.5秒﻿ / ﻿北緯35.6024556度 東経134.894861度﻿ /35.6024556; 134.894861﻿ (久美浜駅)","2面3線","T24","有人駅（簡易委託駅）*1990年にJR西日本から移管","クハ","","77人/日（降車客含まず）-2019年-","","","","","","",""
"求名駅","求名駅（ぐみょうえき）","https://ja.wikipedia.org/wiki/求名駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度34分47.3秒東経140度23分46.1秒","■東金線","9.6 km（大網起点）","東日本旅客鉄道（JR東日本）","地上駅","1911年（明治44年）11月1日[1]","千葉県東金市求名141北緯35度34分47.3秒東経140度23分46.1秒座標:北緯35度34分47.3秒 東経140度23分46.1秒","1面2線","","業務委託駅","クミ","","2,024人/日（降車客含まず）-2019年-","","","","","","",""
"弘明寺駅 (京急)","弘明寺駅 (京急)（ぐみょうじえき・京急本線）","https://ja.wikipedia.org/wiki/弘明寺駅_(京急)","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度25分27.7秒東経139度35分48.4秒","■本線","29.1 km（品川起点）","京浜急行電鉄","地上駅（橋上駅）","1930年（昭和5年）4月1日","横浜市南区弘明寺町山下267北緯35度25分27.7秒東経139度35分48.4秒﻿ / ﻿北緯35.424361度 東経139.596778度﻿ /35.424361; 139.596778﻿ (京急 弘明寺駅)座標:北緯35度25分27.7秒東経139度35分48.4秒﻿ / ﻿北緯35.424361度 東経139.596778度﻿ /35.424361; 139.596778﻿ (京急 弘明寺駅)","2面2線","KK43","","","29,663人/日-2019年-","","","","","","","",""
"弘明寺駅 (横浜市営地下鉄)","弘明寺駅 (横浜市営地下鉄)（ぐみょうじえき・横浜市営地下鉄ブルーライン）","https://ja.wikipedia.org/wiki/弘明寺駅_(横浜市営地下鉄)","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度25分23.7秒東経139度36分7.6秒","■ブルーライン（1号線）","15.4 km（湘南台起点）","横浜市交通局（横浜市営地下鉄）","地下駅","1972年（昭和47年）12月16日","横浜市南区通町4丁目114番地[1]北緯35度25分23.7秒東経139度36分7.6秒﻿ / ﻿北緯35.423250度 東経139.602111度﻿ /35.423250; 139.602111﻿ (横浜市営地下鉄 弘明寺駅)座標:北緯35度25分23.7秒東経139度36分7.6秒﻿ / ﻿北緯35.423250度 東経139.602111度﻿ /35.423250; 139.602111﻿ (横浜市営地下鉄 弘明寺駅)","2面2線","B12","業務委託駅（京王設備サービス)","","20,278人/日-2019年-","10,317人/日（降車客含まず）-2019年-","","","","","","",""
"玖村駅","玖村駅（くむらえき）","https://ja.wikipedia.org/wiki/玖村駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯34度28分55.9秒東経132度30分29.6秒","P芸備線","146.8km（備中神代起点）三次から56.5 km","西日本旅客鉄道（JR西日本）","地上駅","1916年（大正5年）4月15日","広島市安佐北区落合二丁目12-1北緯34度28分55.9秒東経132度30分29.6秒﻿ / ﻿北緯34.482194度 東経132.508222度﻿ /34.482194; 132.508222座標:北緯34度28分55.9秒東経132度30分29.6秒﻿ / ﻿北緯34.482194度 東経132.508222度﻿ /34.482194; 132.508222","1面1線","JR-P05","無人駅（自動券売機 有）広島市内駅","クム","","1,016人/日（降車客含まず）-2019年-","","","","","","",""
"久米駅","久米駅（くめえき）","https://ja.wikipedia.org/wiki/久米駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯33度48分57.74秒東経132度48分16.46秒","横河原線","4.5 km（松山市起点）","伊予鉄道","地上駅","1893年5月7日","愛媛県松山市南久米町北緯33度48分57.74秒東経132度48分16.46秒﻿ / ﻿北緯33.8160389度 東経132.8045722度﻿ /33.8160389; 132.8045722﻿ (久米駅)","島式 1面2線","●IY15","","","2,787[1]人/日-2019年-","","","","","","","",""
"久米川駅","久米川駅（くめがわえき）","https://ja.wikipedia.org/wiki/久米川駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度45分0秒東経139度28分19.2秒","■新宿線","24.6 km（西武新宿起点）","西武鉄道","地上駅","1927年（昭和2年）4月16日","東京都東村山市栄町二丁目3-1北緯35度45分0秒東経139度28分19.2秒﻿ / ﻿北緯35.75000度 東経139.472000度﻿ /35.75000; 139.472000座標:北緯35度45分0秒東経139度28分19.2秒﻿ / ﻿北緯35.75000度 東経139.472000度﻿ /35.75000; 139.472000","2面2線","SS20","","","32,638人/日-2019年-","","","","","","","",""
"久米田駅","久米田駅（くめだえき）","https://ja.wikipedia.org/wiki/久米田駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯34度27分55.8秒東経135度24分19.8秒","R阪和線","23.9 km（天王寺起点）","西日本旅客鉄道（JR西日本）","地上駅","1930年（昭和5年）6月16日","大阪府岸和田市大町373-2北緯34度27分55.8秒東経135度24分19.8秒﻿ / ﻿北緯34.465500度 東経135.405500度﻿ /34.465500; 135.405500﻿ (久米田駅)座標:北緯34度27分55.8秒東経135度24分19.8秒﻿ / ﻿北緯34.465500度 東経135.405500度﻿ /34.465500; 135.405500﻿ (久米田駅)","2面2線","JR-R38","直営駅みどりの窓口有","クメ","","6,674人/日（降車客含まず）-2018年-","","","","","","",""
"雲井駅","雲井駅（くもいえき）","https://ja.wikipedia.org/wiki/雲井駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯34度54分40.50秒東経136度5分3.37秒","信楽線","10.2 km（貴生川起点）","信楽高原鐵道","地上駅","1933年（昭和8年）5月8日","滋賀県甲賀市信楽町牧字永落北緯34度54分40.50秒東経136度5分3.37秒﻿ / ﻿北緯34.9112500度 東経136.0842694度﻿ /34.9112500; 136.0842694座標:北緯34度54分40.50秒東経136度5分3.37秒﻿ / ﻿北緯34.9112500度 東経136.0842694度﻿ /34.9112500; 136.0842694","単式1面1線","","","クモ","","147人/日（降車客含まず）-2017年-","","","","","","",""
"公文明駅","公文明駅（くもんみょうえき）","https://ja.wikipedia.org/wiki/公文明駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","","■長尾線","13.9km（瓦町起点）高松築港から15.6 km","高松琴平電気鉄道","地上駅","1952年（昭和27年）9月30日","","単式1面1線"," N16 ","無人駅","","232人/日-2018年-","","","","","","","",""
"蔵内駅","蔵内駅（くらうちえき）","https://ja.wikipedia.org/wiki/蔵内駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯38度45分14.10秒東経141度31分27.56秒","■気仙沼線BRT","46.7 km（前谷地起点）","東日本旅客鉄道（JR東日本）","地上駅","2012年（平成24年）8月20日*","宮城県気仙沼市本吉町歌生116北緯38度45分14.10秒東経141度31分27.56秒座標:北緯38度45分14.10秒 東経141度31分27.56秒","","","無人駅","","","6人/日（降車客含まず）-2019年-","","","","","","",""
