"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","標高","通過路","山系","位置","国","種類","教派","献堂日","地方","団体コード","ISO 3166-2:JP","面積","総人口","人口密度","隣接都道府県","県の木","県の花","県の鳥"
"青崩峠","[52青崩峠あおくずれ長野県飯田市・静岡県浜松市] 青崩峠 （あおくずれとうげ）は 静岡県 浜松市 天竜区 水窪町 奥領家と 長野県 飯田市 南信濃八重河内の間にある 標高 1,082 m の 峠 である。峠付近の地質構造は、 中央構造線 による 破砕帯 となっており、山腹に広がるむき出しになった青い岩盤から峠の名が付けられた。静岡県側・長野県側ともに、国道152号の端点から林道、遊歩道（かつての 塩の道 ）を歩いて峠にたどり着くことができる。 武田信玄 による 1572年の徳川領侵攻 において、軍兵の一部が通過したことで知られている。","https://ja.wikipedia.org/wiki/青崩峠","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯35度15分14.1秒東経137度54分39.8秒","静岡県浜松市天竜区・長野県飯田市","1,082m","国道152号","","","","","","","","","","","","","","","",""
"天城峠","[53天城峠あまぎ静岡県伊豆市・賀茂郡河津町] 天城峠 （あまぎとうげ）は、 静岡県 伊豆市 と 賀茂郡 河津町 の境にある 峠  。","https://ja.wikipedia.org/wiki/天城峠","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯34度49分48秒東経138度55分58秒","静岡県伊豆市・賀茂郡河津町","834m","国道414号（新天城トンネル）国道414号（天城トンネル）","天城山脈","","","","","","","","","","","","","","",""
"宇津ノ谷峠","[54宇津ノ谷峠うつのや静岡県静岡市・藤枝市] 中世 から交通の要衝であった。 和歌 にも詠われ、 歌舞伎 の 怪談 劇『 蔦紅葉宇都谷峠 』の舞台としても知られる  。現在でも国道1号の トンネル が通過している。また、 平安時代 の道（ 蔦の細道 ）から国道1号現道のトンネルまで、全て通行可能な状態で保存されており、道の変遷を知ることができる。近世東海道の交通を知る貴重なものとして 2010年 （ 平成 22年）2月22日に「東海道宇津ノ谷峠越」の名称で国の 史跡 に指定された   。","https://ja.wikipedia.org/wiki/宇津ノ谷峠","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯34度56分0秒東経138度18分11秒","静岡県静岡市駿河区・同県藤枝市","151m","国道1号岡部バイパス（新宇津ノ谷隧道、平成宇津ノ谷トンネル）静岡県道208号藤枝静岡線（宇津ノ谷隧道）","","","","","","","","","","","","","","","",""
"本坂峠 (存在しないページ)","[55本坂峠ほんざか愛知県豊橋市・静岡県浜松市]","https://ja.wikipedia.org/w/index.php?title=本坂峠&amp;action=edit&amp;redlink=1","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","","","","","","","","","","","","","","","","","","","",""
"伊勢神峠","[56伊勢神峠いせがみ愛知県豊田市] 伊勢神峠 （いせがみとうげ）は、 愛知県 豊田市 （旧 足助町 ）にある 峠 。","https://ja.wikipedia.org/wiki/伊勢神峠","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯35度10分20秒東経137度25分46秒","愛知県豊田市","780m","国道153号（飯田街道）（伊勢神トンネル）","美濃三河高原","","","","","","","","","","","","","","",""
"鈴鹿峠","[57鈴鹿峠すずか三重県亀山市・滋賀県甲賀市] 鈴鹿峠 （すずかとうげ）は、 三重県 亀山市 と 滋賀県 甲賀市 の 境 に位置する 東海道 （ 国道1号 ）の 峠 。 標高 は357m。","https://ja.wikipedia.org/wiki/鈴鹿峠","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯34度53分39秒東経136度20分14秒","三重県亀山市・滋賀県甲賀市","357m","国道1号（鈴鹿トンネル）東海道","鈴鹿山脈","","","","","","","","","","","","","","",""
"長野峠 (三重県)","[58長野峠ながの三重県津市・伊賀市] 長野峠 （ながのとうげ）は、 三重県 津市 と 伊賀市 の間にある 峠 。 国道163号 の旧道であり、急カーブなど危険箇所が多く存在するため改良が望まれていたが、新長野トンネル (1,966m) 開通により解消され峠の通過時間が約10分短縮された。","https://ja.wikipedia.org/wiki/長野峠_(三重県)","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯34度45分42秒東経136度19分36秒","三重県津市・伊賀市","494m","国道163号（新長野トンネル）","布引山地","","","","","","","","","","","","","","",""
"磨針峠 (存在しないページ)","[59磨針峠すりはり滋賀県彦根市]","https://ja.wikipedia.org/w/index.php?title=磨針峠&amp;action=edit&amp;redlink=1","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","","","","","","","","","","","","","","","","","","","",""
"花折峠","[60花折峠はなおれ滋賀県大津市] 花折峠 （はなおれとうげ）は 滋賀県 大津市 にある 峠 である。","https://ja.wikipedia.org/wiki/花折峠","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯35度11分14秒東経135度51分36秒","滋賀県大津市","581m","国道367号（花折トンネル）","","","","","","","","","","","","","","","",""
"堀越峠","[61堀越峠ほりこし京都府南丹市・福井県大飯郡おおい町] 堀越峠 （ほりこしとうげ）は 京都府 南丹市 と 福井県 大飯郡 おおい町 の境にある 峠 である。","https://ja.wikipedia.org/wiki/堀越峠","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯35度22分11秒東経135度35分29秒","京都府南丹市・福井県大飯郡おおい町","510m","国道162号（堀越トンネル）","若丹山地","","","","","","","","","","","","","","",""
"京見峠","[62京見峠きょうみ京都府京都市] 京見峠 （きょうみとうげ）は、 京都市 北区 にある 峠 である。","https://ja.wikipedia.org/wiki/京見峠","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯35度4分12秒東経135度43分4秒","京都市北区","446m","京都府道31号西陣杉坂線","","","","","","","","","","","","","","","",""
"箕峠 (存在しないページ)","[63箕峠みの和歌山県伊都郡かつらぎ町]","https://ja.wikipedia.org/w/index.php?title=箕峠&amp;action=edit&amp;redlink=1","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","","","","","","","","","","","","","","","","","","","",""
"札立峠 (存在しないページ)","[64札立峠ふだたて和歌山県有田郡有田川町・海草郡紀美野町]","https://ja.wikipedia.org/w/index.php?title=札立峠&amp;action=edit&amp;redlink=1","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","","","","","","","","","","","","","","","","","","","",""
"暗峠","[65暗峠くらがり奈良県生駒市・大阪府東大阪市] 暗峠 （くらがりとうげ）は、 奈良県 生駒市 西畑町 と 大阪府 東大阪市 東豊浦町との境にある 国道308号 及び 大阪府道・奈良県道702号大阪枚岡奈良線 （重複）の 峠 。古くは 闇峠 とも書かれた。標高は455m。","https://ja.wikipedia.org/wiki/暗峠","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯34度39分57秒東経135度40分17秒","奈良県生駒市・大阪府東大阪市","455m","国道308号大阪府道・奈良県道702号大阪枚岡奈良線","生駒山地","","","","","","","","","","","","","","",""
"芋ヶ峠","[66芋峠いもが奈良県高市郡明日香村・高取町・吉野郡吉野町・大淀町] 芋ヶ峠 （いもがとうげ）は、 奈良県 吉野郡 吉野町 、 大淀町 と 高市郡 明日香村 、 高取町 との町村境付近にある 峠 。現在の県道が通る峠付近では、この4つの自治体の町村境が接続する。峠道は吉野町と明日香村とを結ぶものだが、北斜面を走る県道は峠から明日香村栢森までの大半は高取町内を通っている。なお、県道が付けられる以前の旧峠道は東よりの小峠を越え、尾根を登るため全て明日香村内を通り、旧峠も吉野町と明日香村の町村境にある（古道芋ヶ峠）。標高497m。芋峠、今峠とも。また近世には疱瘡峠と書いて「いもとうげ」と呼んだ。","https://ja.wikipedia.org/wiki/芋ヶ峠","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯34度25分44秒東経135度50分47秒","奈良県吉野郡吉野町・大淀町・高市郡明日香村・高取町","497m","奈良県道15号桜井明日香吉野線","竜門山地","","","","","","","","","","","","","","",""
"伯母子峠 (存在しないページ)","[67伯母子峠おばこ奈良県吉野郡野迫川村・十津川村]","https://ja.wikipedia.org/w/index.php?title=伯母子峠&amp;action=edit&amp;redlink=1","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","","","","","","","","","","","","","","","","","","","",""
"洞ヶ峠","[68洞ヶ峠ほらが大阪府枚方市・京都府八幡市] 洞ヶ峠 （ほらがとうげ）は、 京都府 八幡市 八幡南山 と 大阪府 枚方市 高野道・長尾峠町の境にある 峠 。かつては 東高野街道 の中継地であり、現在はその少し東を 国道1号 （ 枚方バイパス 、 京阪国道 ）が通っており、峠のすぐ北に八幡洞ヶ峠交差点（ 山手幹線 の交点）がある。峠ではあるが、曲がりくねった 坂道 はなく、 線形 の良い 勾配 の緩やかな4車線道路である。","https://ja.wikipedia.org/wiki/洞ヶ峠","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯34度51分2秒東経135度42分12秒","京都府八幡市・大阪府枚方市","59m","国道1号京阪国道枚方バイパス","","","","","","","","","","","","","","","",""
"竹内峠","[69竹ノ内峠たけのうち大阪府南河内郡太子町・奈良県葛城市] 竹内峠 （たけのうちとうげ）は 大阪府 南河内郡 太子町 と 奈良県 葛城市 の府県境にある、 竹内街道 （ 国道166号 ）が通る 峠 である。","https://ja.wikipedia.org/wiki/竹内峠","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯34度30分59秒東経135度40分43秒","日本大阪府南河内郡太子町奈良県葛城市","286m","国道166号南阪奈道路（竹内トンネル）","金剛山地","","","","","","","","","","","","","","",""
"和泉葛城越 (存在しないページ)","[70和泉葛城越いずみかつらぎごえ大阪府岸和田市・和歌山県紀の川市]","https://ja.wikipedia.org/w/index.php?title=和泉葛城越&amp;action=edit&amp;redlink=1","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","","","","","","","","","","","","","","","","","","","",""
"船坂峠","[71船坂峠ふなさか兵庫県赤穂郡上郡町・岡山県備前市] 船坂峠 （ふなさかとうげ）は、 兵庫県 赤穂郡 上郡町 梨ヶ原と 岡山県 備前市 三石との間に位置し、両県の県境を成す 峠 。標高197m。","https://ja.wikipedia.org/wiki/船坂峠","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯34度49分12秒東経134度17分31秒","兵庫県赤穂郡上郡町・岡山県備前市","197m","国道2号（船坂トンネル）山陽本線（船坂トンネル、新船坂トンネル）","","","","","","","","","","","","","","","",""
"鍵掛峠","[72鍵掛峠かぎかけ鳥取県西伯郡伯耆町・日野郡江府町] 鍵掛峠 （かぎかけとうげ）は、 鳥取県 日野郡 江府町 ・ 西伯郡 大山町 にある 峠 。","https://ja.wikipedia.org/wiki/鍵掛峠","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯35度20分46秒東経133度32分58秒","鳥取県日野郡江府町・西伯郡大山町","912m","鳥取県道45号倉吉江府溝口線","大山山系","","","","","","","","","","","","","","",""
"四十曲峠","[73四十曲峠しじゅうまがり鳥取県日野郡日野町・岡山県真庭郡新庄村] 四十曲峠 （しじゅうまがりとうげ）は、 岡山県 真庭郡 新庄村 と 鳥取県 日野郡 日野町 との間に位置し、両県の県境を成す 峠 。 標高 780メートル。","https://ja.wikipedia.org/wiki/四十曲峠","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯35度11分22秒東経133度31分38秒","日本岡山県真庭郡新庄村鳥取県日野郡日野町","780m","国道181号（四十曲トンネル）","中国山地","","","","","","","","","","","","","","",""
"赤名峠","[74赤名峠あかな島根県飯石郡飯南町・広島県三次市] 北側が島根県 飯石郡 飯南町上赤名  。南側が広島県三次市布野町横谷  。","https://ja.wikipedia.org/wiki/赤名峠","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯34度57分32秒東経132度44分7秒","島根県飯石郡飯南町/広島県三次市","597m","国道54号（赤名トンネル）","中国山地","","","","","","","","","","","","","","",""
"乙女峠 (島根県)","[75乙女峠おとめ島根県鹿足郡津和野町] 乙女峠マリア聖堂 （おとめとうげマリアせいどう）は 島根県 鹿足郡 津和野町 にある キリスト教 の 聖堂 。 津和野駅 西側の山中に位置しており、名称は 江戸 末期から 明治 初頭の 隠れキリシタン にまつわる歴史に由来する。","https://ja.wikipedia.org/wiki/乙女峠_(島根県)","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯34度28分23.2秒 東経131度46分14.3秒","島根県鹿足郡津和野町","","","","","日本","","カトリック教会","1951年","","","","","","","","","",""
"人形峠","[76人形峠にんぎょう岡山県苫田郡鏡野町・鳥取県東伯郡三朝町] 人形峠 （にんぎょうとうげ、英：Ningyo Pass  ）は、 岡山県 苫田郡 鏡野町 上齋原 と 鳥取県 東伯郡 三朝町 木地山との間に位置し、両県の県境を成す 峠 。峠付近に設置されている四等三角点「人形峠」の標高は740.20mである  。","https://ja.wikipedia.org/wiki/人形峠","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯35度18分48秒東経133度55分52秒","日本岡山県苫田郡鏡野町上齋原鳥取県東伯郡三朝町","740.20m","国道179号（国道482号重複区間）人形トンネル（全長1,865m）旧国道広域基幹林道美作北2号線","中国山地","","","","","","","","","","","","","","",""
"物見峠 (存在しないページ)","[77物見峠ものみ岡山県津山市・鳥取県八頭郡智頭町]","https://ja.wikipedia.org/w/index.php?title=物見峠&amp;action=edit&amp;redlink=1","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","","","","","","","","","","","","","","","","","","","",""
"上根峠","[78上根峠かみね広島県安芸高田市] 上根峠 （かみねだお   、かみねとうげ    ）は、 広島県 安芸高田市 八千代町上根にある 峠 。","https://ja.wikipedia.org/wiki/上根峠","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯34度34分53.2秒東経132度34分43.3秒","","268.3（県道）267.5（国道）m","上根バイパス県道浜田八重可部線","","","","","","","","","","","","","","","",""
"欽明寺峠 (存在しないページ)","[79欽明寺峠きんめいじ山口県岩国市]","https://ja.wikipedia.org/w/index.php?title=欽明寺峠&amp;action=edit&amp;redlink=1","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","","","","","","","","","","","","","","","","","","","",""
"桟敷峠 (存在しないページ)","[80桟敷峠さじき徳島県三好市・三好郡東みよし町]","https://ja.wikipedia.org/w/index.php?title=桟敷峠&amp;action=edit&amp;redlink=1","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","","","","","","","","","","","","","","","","","","","",""
"三坂峠","[81三坂峠みさか愛媛県松山市・上浮穴郡久万高原町] 三坂峠 （みさかとうげ）は、 愛媛県 松山市 と 上浮穴郡 久万高原町 の市町境にある 峠 。標高720m。 分水嶺 にもなっていて、北側の 御坂川 （ 重信川 水系）は 瀬戸内海 に、南側の 久万川 （ 仁淀川 水系）は 太平洋 に流れる。","https://ja.wikipedia.org/wiki/三坂峠","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯33度42分27秒東経132度51分37秒","愛媛県松山市・上浮穴郡久万高原町三坂峠-地理院地図三坂峠-Google マップ","720m","国道440号国道33号三坂道路（三坂第一トンネル）","四国山地","","","","","","","","","","","","","","",""
"地芳峠","[82地芳峠じよし高知県高岡郡檮原町・愛媛県上浮穴郡久万高原町] 地芳峠 （じよしとうげ）は、 国道440号 の 愛媛県 上浮穴郡 久万高原町 と 高知県 高岡郡 檮原町 との境に位置する 峠 。","https://ja.wikipedia.org/wiki/地芳峠","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯33度28分19秒東経132度56分23秒","愛媛県上浮穴郡久万高原町・高知県高岡郡檮原町","1,084m","国道440号（地芳トンネル）愛媛県道・高知県道383号四国カルスト公園縦断線","四国山地","","","","","","","","","","","","","","",""
"相栗峠 (存在しないページ)","[83相栗峠あいくり香川県高松市・徳島県美馬市]","https://ja.wikipedia.org/w/index.php?title=相栗峠&amp;action=edit&amp;redlink=1","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","","","","","","","","","","","","","","","","","","","",""
"八木山峠","[84八木山峠やきやま福岡県飯塚市・糟屋郡篠栗町] 八木山峠 （やきやまとうげ）は 福岡県 糟屋郡 篠栗町 と 飯塚市 大日寺に跨る標高227mの 峠 である。","https://ja.wikipedia.org/wiki/八木山峠","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯33度37分18秒東経130度35分5秒","福岡県糟屋郡篠栗町・飯塚市","227m","国道201号","","","","","","","","","","","","","","","",""
"冷水峠 (福岡県)","[85冷水峠ひやみず福岡県飯塚市・筑紫野市] 冷水峠 （ひやみずとうげ）は、 福岡県 飯塚市 内野と 筑紫野市 山家にまたがる 峠 である。","https://ja.wikipedia.org/wiki/冷水峠_(福岡県)","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯33度30分37秒東経130度37分10秒","福岡県飯塚市・筑紫野市","285m","国道200号国道200号冷水道路（冷水トンネル）筑豊本線（冷水トンネル）","","","","","","","","","","","","","","","",""
"仲哀峠","[86仲哀峠ちゅうあい福岡県京都郡みやこ町・田川郡香春町] 仲哀峠 （ちゅうあいとうげ）は、 福岡県 北東部の 京都郡 みやこ町 勝山松田と 田川郡 香春町 大字鏡山をまたぐ100 mほどの 峠 である。","https://ja.wikipedia.org/wiki/仲哀峠","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯33度40分52秒東経130度52分58秒","福岡県京都郡みやこ町・田川郡香春町","","国道201号（新仲哀トンネル）","","","","","","","","","","","","","","","",""
"三瀬峠","[87三瀬峠みつせ佐賀県佐賀市・福岡県福岡市] 三瀬峠 （みつせとうげ）は、 福岡県 福岡市 早良区 と 佐賀県 佐賀市 との境にある 峠 。 福岡市と佐賀市を最短ルートで結ぶ主要幹線道路 国道263号 の一部である。標高581m。","https://ja.wikipedia.org/wiki/三瀬峠","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯33度28分28秒東経130度16分54秒","福岡県福岡市早良区・佐賀県佐賀市","581m","国道263号国道263号三瀬トンネル有料道路（三瀬トンネル）","脊振山地","","","","","","","","","","","","","","",""
"仁田峠 (存在しないページ)","[88仁田峠にた長崎県雲仙市・南島原市]","https://ja.wikipedia.org/w/index.php?title=仁田峠&amp;action=edit&amp;redlink=1","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","","","","","","","","","","","","","","","","","","","",""
"日見峠","[89日見峠ひみ長崎県長崎市] 日見峠 （ひみとうげ）は、 長崎県 長崎市 にある 峠 である  。","https://ja.wikipedia.org/wiki/日見峠","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯32度45分4秒東経129度55分25秒","長崎県長崎市","242m","国道34号日見バイパス（新日見トンネル）長崎県道116号長崎芒塚インター線（日見トンネル）","","","","","","","","","","","","","","","",""
"高森峠 (存在しないページ)","[90高森峠たかもり熊本県阿蘇郡高森町・上益城郡山都町]","https://ja.wikipedia.org/w/index.php?title=高森峠&amp;action=edit&amp;redlink=1","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","","","","","","","","","","","","","","","","","","","",""
"日ノ尾峠 (存在しないページ)","[91日ノ尾峠ひのを熊本県阿蘇市・阿蘇郡高森町]","https://ja.wikipedia.org/w/index.php?title=日ノ尾峠&amp;action=edit&amp;redlink=1","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","","","","","","","","","","","","","","","","","","","",""
"湯山峠 (存在しないページ)","[92湯山峠ゆやま熊本県球磨郡水上村・宮崎県東臼杵郡椎葉村]","https://ja.wikipedia.org/w/index.php?title=湯山峠&amp;action=edit&amp;redlink=1","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","","","","","","","","","","","","","","","","","","","",""
"岳滅鬼峠","[93岳滅鬼峠がくめき大分県日田市・福岡県田川郡添田町] 岳滅鬼山 （がくめきさん、がくめきやま）は、 大分県 日田市 と 福岡県 田川郡 添田町 との境界にある 山 である。","https://ja.wikipedia.org/wiki/岳滅鬼峠","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯33度27分03.7秒東経130度54分45.8秒","日本大分県日田市福岡県田川郡添田町","1,036.8m","","","北緯33度27分03.7秒東経130度54分45.8秒﻿ / ﻿北緯33.451028度 東経130.912722度﻿ /33.451028; 130.912722座標:北緯33度27分03.7秒東経130度54分45.8秒﻿ / ﻿北緯33.451028度 東経130.912722度﻿ /33.451028; 130.912722","","","","","","","","","","","","","",""
"鉾立峠 (大分県)","[94鉾立峠ほこたて大分県竹田市] 鉾立峠 （ほこたてとうげ）は、 大分県 竹田市 （旧 久住町 ）にある 峠 である。","https://ja.wikipedia.org/wiki/鉾立峠_(大分県)","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯33度5分20秒東経131度15分39秒","大分県竹田市","1,360m","","九重連山","","","","","","","","","","","","","","",""
"三国峠 (大分県)","[95三国峠みくに大分県豊後大野市・佐伯市] 三国峠 （みくにとうげ）は、 大分県 豊後大野市 にある 峠 。","https://ja.wikipedia.org/wiki/三国峠_(大分県)","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯32度54分47秒東経131度36分42秒","大分県豊後大野市・佐伯市","630m","国道326号（三国トンネル）","九州山地","","","","","","","","","","","","","","",""
"国見峠","[96国見峠くにみ宮崎県西臼杵郡五ヶ瀬町・東臼杵郡椎葉村] 国見峠 （くにみとうげ）は日本に複数ある 峠 名。下記をはじめ、全国各所にある。","https://ja.wikipedia.org/wiki/国見峠","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","","","","","","","","","","","","","","","","","","","",""
"中山峠","[97中山峠なかやま宮崎県東臼杵郡椎葉村] 中山峠 （なかやまとうげ）、なお一部の峠では「なかやまだお」と読む。","https://ja.wikipedia.org/wiki/中山峠","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","","","","","","","","","","","","","","","","","","","",""
"耳取峠 (存在しないページ)","[98耳取峠みみとり鹿児島県南さつま市]","https://ja.wikipedia.org/w/index.php?title=耳取峠&amp;action=edit&amp;redlink=1","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","","","","","","","","","","","","","","","","","","","",""
"本茶峠","[99本茶峠ほんちゃ鹿児島県奄美市・大島郡龍郷町] 本茶峠 （ほんちゃとうげ、ふんちゃとうげ）は、 鹿児島県 奄美市 名瀬町と同県 大島郡 龍郷町 にある 峠 。","https://ja.wikipedia.org/wiki/本茶峠","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯28度23分38秒東経129度33分9秒","鹿児島県奄美市・大島郡龍郷町","289m","国道58号（本茶トンネル）","","","","","","","","","","","","","","","",""
"沖縄県","[100多幸山フェーレー岩沖縄県中頭郡読谷村] 日本で最も西にあり、 沖縄本島 、 宮古島 、 石垣島 など多くの島々から構成される  。","https://ja.wikipedia.org/wiki/沖縄県","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯26度12分44.8秒東経127度40分51.3秒","〒900-8570沖縄県那覇市泉崎一丁目2番地2号北緯26度12分44.8秒東経127度40分51.3秒﻿ / ﻿北緯26.212444度 東経127.680917度﻿ /26.212444; 127.680917﻿ (沖縄県)座標:北緯26度12分44.8秒東経127度40分51.3秒﻿ / ﻿北緯26.212444度 東経127.680917度﻿ /26.212444; 127.680917﻿ (沖縄県)","","","","","日本","","","","九州地方、沖縄地方","47000-7","JP-47","2,280.98km2","1,458,870人（推計人口、2021年6月1日）","640人/km2"," 鹿児島県","リュウキュウマツ","デイゴ","ノグチゲラ"
