"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","標高","山系","種類","初登頂","最新噴火","最高峰","上位山系","延長","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden"
"両神山","[33両神山りょうかみさん1,723m埼玉県ヒイラギソウ地理院地図Google Map日本百名山新日本百名山] 両神山 （りょうかみさん）は 埼玉県 秩父郡 小鹿野町 と 秩父市 の境目にある 山 。 奥秩父山塊 の北部にあり、標高は1,723m。 日本百名山 の一つ。 山岳信仰 の 霊峰 であり、両神山、 三峰山 、 武甲山 をあわせて「秩父三山」という  。","https://ja.wikipedia.org/wiki/両神山","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯36度01分24秒東経138度50分29秒","日本埼玉県秩父郡小鹿野町・秩父市","北緯36度01分24秒東経138度50分29秒﻿ / ﻿北緯36.02333度 東経138.84139度﻿ /36.02333; 138.84139座標:北緯36度01分24秒東経138度50分29秒﻿ / ﻿北緯36.02333度 東経138.84139度﻿ /36.02333; 138.84139","1,723m","秩父山地（奥秩父山地）","","","","","","","","","","","","","","",""
"伊豆ヶ岳","[34伊豆ヶ岳いづがたけ851m埼玉県アズマイチゲ地理院地図Google Map飯能市] 伊豆ヶ岳 （いずがたけ）は、 埼玉県 飯能市 にある 山 である。 標高 は850.9m。","https://ja.wikipedia.org/wiki/伊豆ヶ岳","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯35度55分37秒東経139度09分38秒","埼玉県飯能市","北緯35度55分37秒東経139度09分38秒﻿ / ﻿北緯35.92694度 東経139.16056度﻿ /35.92694; 139.16056座標:北緯35度55分37秒東経139度09分38秒﻿ / ﻿北緯35.92694度 東経139.16056度﻿ /35.92694; 139.16056","850.9m","","","","","","","","","","","","","","","",""
"武州御岳山","[35武州御岳山ぶしゅうみたけさん929m東京都エイザンスミレ地理院地図Google Map御岳登山鉄道ケーブルカー] 御岳山 （みたけさん）は、 東京都 青梅市 にある 標高 929mの 山 である。 武蔵御岳山 とも呼ばれる。古くから 山岳信仰 の対象となっており、山上には 武蔵御嶽神社 が建立されている。","https://ja.wikipedia.org/wiki/御岳山_(東京都)","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯35度46分58.3秒東経139度8分58.2秒","日本東京都青梅市","北緯35度46分58.3秒東経139度8分58.2秒﻿ / ﻿北緯35.782861度 東経139.149500度﻿ /35.782861; 139.149500座標:北緯35度46分58.3秒東経139度8分58.2秒﻿ / ﻿北緯35.782861度 東経139.149500度﻿ /35.782861; 139.149500","929m","奥多摩","","","","","","","","","","","","","","",""
"雲取山","[36雲取山くもとりやま2,017m東京都埼玉県山梨県イワウチワ地理院地図Google Map秩父多摩国立公園花の百名山日本百名山、新日本百名山東京都の最高峰] 雲取山 （くもとりやま・くもとりさん  ）は、 東京都 ・ 埼玉県 ・ 山梨県 の 境界 にある 標高 2,017.13m  の 山 。東京都の最高峰であり、都内の山で2000mを越えるのは、この山のみとなっている。 ","https://ja.wikipedia.org/wiki/雲取山","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯35度51分20秒東経138度56分38秒","日本東京都西多摩郡奥多摩町埼玉県秩父市山梨県北都留郡丹波山村","北緯35度51分20秒東経138度56分38秒﻿ / ﻿北緯35.85556度 東経138.94389度﻿ /35.85556; 138.94389座標:北緯35度51分20秒東経138度56分38秒﻿ / ﻿北緯35.85556度 東経138.94389度﻿ /35.85556; 138.94389","2,017.13m","秩父山地","","","","","","","","","","","","","","",""
"飛龍山","[37飛龍山ひりゅうさん2,077m埼玉県山梨県ツバメオモト地理院地図Google Map秩父多摩国立公園] 飛竜山 （ひりゅうさん）は、 埼玉県 秩父市 と 山梨県 北都留郡 丹波山村 との県境にある 標高 2,077mの 山 である。 奥秩父 の山域の主脈の一つ。","https://ja.wikipedia.org/wiki/飛龍山","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯35度50分23秒東経138度53分32秒","日本埼玉県秩父市山梨県北都留郡丹波山村","北緯35度50分23秒東経138度53分32秒﻿ / ﻿北緯35.83972度 東経138.89222度﻿ /35.83972; 138.89222座標:北緯35度50分23秒東経138度53分32秒﻿ / ﻿北緯35.83972度 東経138.89222度﻿ /35.83972; 138.89222","2,077m","奥秩父山塊","","","","","","","","","","","","","","",""
"笠取山","[38笠取山かさとりやま1,953m埼玉県山梨県キバナノコマノツメ地理院地図Google Map秩父多摩国立公園] 笠取山 （かさとりやま）は 埼玉県 秩父市 と 山梨県 甲州市 の境にある 標高 1,953mの 山 で、 奥秩父 の山域の主脈の一つに位置している。","https://ja.wikipedia.org/wiki/笠取山_(奥秩父)","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯35度51分55秒東経138度49分11秒","日本埼玉県秩父市・山梨県甲州市","北緯35度51分55秒東経138度49分11秒﻿ / ﻿北緯35.86528度 東経138.81972度﻿ /35.86528; 138.81972座標:北緯35度51分55秒東経138度49分11秒﻿ / ﻿北緯35.86528度 東経138.81972度﻿ /35.86528; 138.81972","1,953m","奥秩父山塊","","","","","","","","","","","","","","",""
"甲武信岳","[39甲武信岳こぶしだけ2,475m埼玉県山梨県長野県レンゲショウマクモイコザクラ地理院地図Google Map秩父多摩国立公園日本百名山] 甲武信ヶ岳 （こぶしがたけ）は、 山梨県 ・ 埼玉県 ・ 長野県 の3県の境にある 標高 2,475mの 山 で、 奥秩父山塊 の主脈の中央に位置する。甲武信岳（こぶしだけ）とも呼ぶ。","https://ja.wikipedia.org/wiki/甲武信岳","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯35度54分32秒東経138度43分44秒","埼玉県秩父市山梨県山梨市長野県川上村","北緯35度54分32秒東経138度43分44秒﻿ / ﻿北緯35.90889度 東経138.72889度﻿ /35.90889; 138.72889座標:北緯35度54分32秒東経138度43分44秒﻿ / ﻿北緯35.90889度 東経138.72889度﻿ /35.90889; 138.72889","2,475m","奥秩父山塊","","","","","","","","","","","","","","",""
"乾徳山","[40乾徳山けんとくさん2,031m山梨県イワインチン地理院地図Google Map日本二百名山] 乾徳山 （けんとくさん）は、 山梨県 山梨市 にある標高2,031mの 山 で、 奥秩父 の山域にある。","https://ja.wikipedia.org/wiki/乾徳山","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯35度49分23秒東経138度42分54秒","山梨県山梨市","北緯35度49分23秒東経138度42分54秒﻿ / ﻿北緯35.82306度 東経138.71500度﻿ /35.82306; 138.71500","2,031m","奥秩父山塊","","","","","","","","","","","","","","",""
"乙女高原","[41乙女高原おとめこうげん1,700m山梨県シモツケソウ地理院地図Google Map山梨市] 乙女高原 （おとめこうげん）は 山梨県 にあり、 秩父山地 の南西部にある高原。","https://ja.wikipedia.org/wiki/乙女高原","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯35度47分55秒 東経138度37分59秒","","","","","","","","","","","","","","","","","","",""
"大菩薩嶺","[42大菩薩嶺だいぼさつとうげ1,897m山梨県スズラン地理院地図Google Map大菩薩峠花の百名山日本百名山] 大菩薩嶺 （だいぼさつれい）は、 山梨県 甲州市 と 北都留郡 丹波山村 に跨る 標高 2,057 m の 山 。 深田久弥 の 日本百名山 には「大菩薩岳」の項で取り上げられている。なお、 大菩薩峠 は大菩薩嶺の南方約2kmに位置する尾根の鞍部にあたる（標高1,897m）   。","https://ja.wikipedia.org/wiki/大菩薩嶺","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯35度44分55秒東経138度50分43秒","山梨県甲州市、北都留郡丹波山村","北緯35度44分55秒東経138度50分43秒﻿ / ﻿北緯35.74861度 東経138.84528度﻿ /35.74861; 138.84528","2,056.9m","奥秩父山塊（大菩薩連嶺）","","","","","","","","","","","","","","",""
"九鬼山","[43九鬼山くきやま970m山梨県フジザクラ地理院地図Google Map道志山塊] 九鬼山 （くきやま）は、 山梨県 都留市 と 大月市 の境にある山。標高は970mで、 相模川 水系の桂川と秋山川にはさまれた秋山山稜に位置する。 山梨百名山 の一峰。 富士山 の展望に恵まれており、 都留市二十一秀峰 、 秀麗富嶽十二景 に選定されている。山頂のほぼ直下を リニアモーターカー の 実験線 の トンネル が貫通している。","https://ja.wikipedia.org/wiki/九鬼山","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯35度34分35秒東経138度57分03秒","山梨県都留市・大月市","北緯35度34分35秒東経138度57分03秒﻿ / ﻿北緯35.57639度 東経138.95083度﻿ /35.57639; 138.95083","970m","道志山塊(秋山山稜)","","","","","","","","","","","","","","",""
"二十六夜山","[44二十六夜山にじゅうろくやさん972m山梨県マルバスミレヒゴスミレ地理院地図Google Map道志山塊] 二十六夜山 （にじゅうろくやさん・にじゅうろくややま）","https://ja.wikipedia.org/wiki/二十六夜山","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯35度33分57.6秒 東経139度2分39秒","","","","","","","","","","","","","","","","","","",""
"三ツ峠山","[45三ツ峠山みつとうげやま1,785m山梨県フジアザミレンリソウ地理院地図Google Map日本二百名山] 三つ峠 （みつとうげ）は、 山梨県 都留市 、 西桂町 、 富士河口湖町 の境界にある 標高 1,785mの 山 である。 峠 ではない。 三ッ峠山 と呼ばれることもある  。","https://ja.wikipedia.org/wiki/三ツ峠山","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯35度32分57秒東経138度48分33秒","山梨県都留市・南都留郡西桂町・富士河口湖町","北緯35度32分57秒東経138度48分33秒﻿ / ﻿北緯35.54917度 東経138.80917度﻿ /35.54917; 138.80917","1,785m","御坂山地","","","","","","","","","","","","","","",""
"黒富士","[46黒富士くろふじ1,633m山梨県セキヤノアキチョウジ地理院地図Google Map奥秩父山塊] 黒富士 （くろふじ）は、 山梨県 にある 奥秩父山地 の南西部に位置する 山 。 標高 は1,635m。 山梨百名山 および 甲府名山 のひとつ。","https://ja.wikipedia.org/wiki/黒富士","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯35度47分52秒東経138度33分12秒","山梨県甲府市","北緯35度47分52秒東経138度33分12秒﻿ / ﻿北緯35.79778度 東経138.55333度﻿ /35.79778; 138.55333","1,635m","奥秩父山塊","溶岩ドーム","","","","","","","","","","","","","",""
"甲斐駒ヶ岳","[47甲斐駒ヶ岳かいこまがたけ2,967m山梨県タカネバラ地理院地図Google Map南アルプス国立公園日本百名山日本の山一覧 (高さ順)(第24位)] 甲斐駒ヶ岳 （かいこまがたけ）は、 南アルプス国立公園 内の 赤石山脈 （南アルプス）北端の 山梨県 北杜市 と 長野県 伊那市 にまたがる 標高 2,967 m の 山 である。峻険な山容をもち、半ば独立峰のような姿勢で屹立する 日本アルプス 屈指の名峰で、 日本百名山  、 新日本百名山  、 新・花の百名山  、 山梨百名山  、 信州百名山 、 日本百景 に選定されている。","https://ja.wikipedia.org/wiki/甲斐駒ヶ岳","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯35度45分28秒東経138度14分12秒","山梨県北杜市、長野県伊那市","北緯35度45分28秒東経138度14分12秒﻿ / ﻿北緯35.75778度 東経138.23667度﻿ /35.75778; 138.23667座標:北緯35度45分28秒東経138度14分12秒﻿ / ﻿北緯35.75778度 東経138.23667度﻿ /35.75778; 138.23667","2,967m","赤石山脈","隆起（花崗岩）","1818年（小尾権三郎が開山）","","","","","","","","","","","","",""
"仙丈ヶ岳","[48仙丈ヶ岳せんじょうがたけ3,033m長野県山梨県イワギキョウシコタンソウ地理院地図Google Map南アルプス国立公園圏谷（カール）花の百名山日本百名山、新日本百名山日本の山一覧 (高さ順)(第17位)] 仙丈ヶ岳 または 仙丈岳 （せんじょうがたけ・せんじょうだけ）は、 長野県 伊那市 と 山梨県 南アルプス市 にまたがる 南アルプス国立公園 内の 赤石山脈 の北部にある 標高 3,033 m の 山 である。","https://ja.wikipedia.org/wiki/仙丈ヶ岳","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯35度43分12秒東経138度11分1秒","日本山梨県南アルプス市長野県伊那市","北緯35度43分12秒東経138度11分1秒﻿ / ﻿北緯35.72000度 東経138.18361度﻿ /35.72000; 138.18361座標:北緯35度43分12秒東経138度11分1秒﻿ / ﻿北緯35.72000度 東経138.18361度﻿ /35.72000; 138.18361","3,032.88m","赤石山脈","氷食尖峰、褶曲隆起","","","","","","","","","","","","","",""
"北岳","[49北岳きただけ3,193m山梨県キタダケソウミソガワソウタカネマンテマ地理院地図Google Mapミヤマハナシノブ南アルプス国立公園白峰三山日本百名山日本の山一覧 (高さ順)(第2位)] 北岳 （きただけ）は、 山梨県 南アルプス市 にある 標高 3,193 メートル  の山。 赤石山脈 （南アルプス）北部に位置し、 富士山 に次ぐ 日本第2位 の高峰である  。","https://ja.wikipedia.org/wiki/北岳","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯35度40分28秒東経138度14分20秒","日本山梨県南アルプス市","北緯35度40分28秒東経138度14分20秒﻿ / ﻿北緯35.67444度 東経138.23889度﻿ /35.67444; 138.23889座標:北緯35度40分28秒東経138度14分20秒﻿ / ﻿北緯35.67444度 東経138.23889度﻿ /35.67444; 138.23889","3,193.2m","赤石山脈","隆起","1871年（名取直江）","","","","","","","","","","","","",""
"鳳凰三山","[50鳳凰三山ほうおうさんざん2,840m山梨県タカネビランジホウオウシャジン地理院地図Google Map南アルプス国立公園日本百名山日本の山一覧 (高さ順)(第50位)] 鳳凰山 （ほうおうざん）は 山梨県 の南アルプス北東部にある3つの山の総称である。後述の通り、鳳凰山とはどの山を指すのか歴史的には諸説あったため、地蔵ヶ岳・観音ヶ岳・薬師ヶ岳の3山の総称として特に 鳳凰三山 とも呼ばれる。 南アルプス国立公園 内にあり、 日本百名山  、 新日本百名山  、 新・花の百名山  および 山梨百名山  に選定されている。","https://ja.wikipedia.org/wiki/鳳凰三山","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯35度42分06秒東経138度18分17秒","日本山梨県南アルプス市・韮崎市・北杜市","北緯35度42分06秒東経138度18分17秒﻿ / ﻿北緯35.70167度 東経138.30472度﻿ /35.70167; 138.30472座標:北緯35度42分06秒東経138度18分17秒﻿ / ﻿北緯35.70167度 東経138.30472度﻿ /35.70167; 138.30472","2,841m","赤石山脈","隆起褶曲（花崗岩）","","","","","","","","","","","","","",""
"櫛形山","[51櫛形山くしがたやま2,052m山梨県アヤメテガタチドリセンジュガンピ地理院地図Google Map日本二百名山] 櫛形山 （くしがたやま）は、 山梨県 の 赤石山脈 の「前衛峰」にあたる 山 。標高2,052m。 日本二百名山 のひとつに選定されている。","https://ja.wikipedia.org/wiki/櫛形山_(山梨県)","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯35度35分12秒東経138度22分9秒","山梨県南アルプス市南巨摩郡富士川町","北緯35度35分12秒東経138度22分9秒﻿ / ﻿北緯35.58667度 東経138.36917度﻿ /35.58667; 138.36917","2,052m","赤石山脈","","","","","","","","","","","","","","",""
"天狗山","[52天狗山てんぐやま1,882m長野県ママコナ地理院地図Google MapJR東日本小海線信濃川上駅]","https://ja.wikipedia.org/w/index.php?title=天狗山_(関東山地)&amp;action=edit&amp;redlink=1","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"権現山","[53権現山ごんげんやま1,312m山梨県シモバシラ地理院地図Google Map上野原市] 権現山 （ごんげんやま、ごんげんさん、ごんげんざん）","https://ja.wikipedia.org/wiki/権現山","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"長九郎山","[54長九郎山ちょうくろうやま996m静岡県カンアオイ地理院地図Google Map天城山脈]","https://ja.wikipedia.org/w/index.php?title=長九郎山&amp;action=edit&amp;redlink=1","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"風越山","[55風越山ふうえつざん1,535m長野県ヤマハハコ地理院地図Google Map飯田市] 風越山 （かざこしやま    ）は、 信州百名山 の1つで、 長野県 飯田市 西部にある 標高 1,535メートルの 山 。 中央アルプス の前衛に位置し、 新・花の百名山   に選定されている。","https://ja.wikipedia.org/wiki/風越山_(飯田市)","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯35度32分58秒東経137度47分02秒","長野県飯田市","北緯35度32分58秒東経137度47分02秒﻿ / ﻿北緯35.54944度 東経137.78389度﻿ /35.54944; 137.78389","1535.48m","木曽山脈","","","","","","","","","","","","","","",""
"恵那山","[56恵那山えなさん2,190m長野県岐阜県ズダヤクシュオオチドリ地理院地図Google Mapバイカオウレンホンシャクナゲ日本百名山] 恵那山 （えなさん）(胞衣山・胞山）は 長野県 阿智村 と 岐阜県 中津川市 にまたがる、 木曽山脈 （中央アルプス）の最南端の 標高 2,191 m の 山 である  。 日本百名山  及び 新・花の百名山  に選定されている。岐阜県は 胞山県立自然公園 に指定している。","https://ja.wikipedia.org/wiki/恵那山","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯35度26分37秒東経137度35分50秒","日本長野県下伊那郡阿智村岐阜県中津川市","北緯35度26分37秒東経137度35分50秒﻿ / ﻿北緯35.44361度 東経137.59722度﻿ /35.44361; 137.59722座標:北緯35度26分37秒東経137度35分50秒﻿ / ﻿北緯35.44361度 東経137.59722度﻿ /35.44361; 137.59722","2,191m","木曽山脈","","","","","","","","","","","","","","",""
"尾高山","[57尾高山おだかやま2,212m長野県ヤブレガサ地理院地図Google Map奥茶臼山] 尾高山 （おだかやま）は 長野県 飯田市 （旧 上村 ）と 下伊那郡 大鹿村 の境界にある 標高 2,212 m の 山 。","https://ja.wikipedia.org/wiki/尾高山_(長野県)","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯35度27分28秒東経138度02分21秒","日本長野県飯田市・下伊那郡大鹿村","北緯35度27分28秒東経138度02分21秒﻿ / ﻿北緯35.45778度 東経138.03917度﻿ /35.45778; 138.03917座標:北緯35度27分28秒東経138度02分21秒﻿ / ﻿北緯35.45778度 東経138.03917度﻿ /35.45778; 138.03917","2,212.4m","赤石山脈","","","","","","","","","","","","","","",""
"八島ヶ原湿原","[58八島ヶ原湿原やしまがはらしつげん1,646m長野県サワギキョウ地理院地図Google Map霧ヶ峰] 八島ヶ原湿原 （やしまがはらしつげん）は、 長野県 のほぼ中央に位置する 八ヶ岳中信高原国定公園 中部の 霧ヶ峰 の北西部に位置する 標高 約1632mの 高層湿原 である。湿原の所在地は 諏訪市 及び 諏訪郡 下諏訪町 にまたがる。","https://ja.wikipedia.org/wiki/八島ヶ原湿原","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯36度07分13秒 東経138度09分59秒","","","","","","","","","","","","","","","","","","",""
"蓼科山","[59蓼科山たてしなやま2,530m長野県ヤナギランオヤマリンドウワダソウ地理院地図Google Map諏訪富士日本百名山] 蓼科山 （たてしなやま）は 八ヶ岳連峰 の北端に位置する標高2,531mの 火山   。コニーデと呼ばれる台地状の火山に、円錐型のトロイデを重ねた複式火山。諏訪から仰ぐと優美な円錐型に見えることから、諏訪富士の別名も持つ  。山体は 八ヶ岳中信高原国定公園 に含まれる。 日本百名山 のひとつ。途中（七合目）には将軍平がある。","https://ja.wikipedia.org/wiki/蓼科山","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯36度06分13秒東経138度17分42秒","長野県茅野市・北佐久郡立科町","北緯36度06分13秒東経138度17分42秒﻿ / ﻿北緯36.10361度 東経138.29500度﻿ /36.10361; 138.29500座標:北緯36度06分13秒東経138度17分42秒﻿ / ﻿北緯36.10361度 東経138.29500度﻿ /36.10361; 138.29500","2,530m","八ヶ岳連峰","溶岩ドーム","","約30万年前","","","","","","","","","","","",""
"鉢伏山","[60鉢伏山はちぶせやま1,929m長野県ヤマラッキョウアカバナハナイカリ地理院地図Google Map筑摩山地高ボッチ高原] 鉢伏山 （はちぶせやま）は標高1,929mの 筑摩山地 の 山   。 美ヶ原 高原の南東に 扉峠 をはさんで、南側の 高ボッチ山 とともになだらかな山容を見せる。鉢伏山から東方および南方に延びる尾根は 中央分水嶺 となり、 日本海 へ注ぐ河川である 犀川 ・ 千曲川 水系と、 太平洋 に注ぐ 天竜川 水系を分けている。 山岳信仰 の山であり、西側中腹にある 牛伏寺 がよく知られている。","https://ja.wikipedia.org/wiki/鉢伏山_(筑摩山地)","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯36度09分46秒東経138度03分33秒","長野県松本市、岡谷市、塩尻市","北緯36度09分46秒東経138度03分33秒﻿ / ﻿北緯36.16278度 東経138.05917度﻿ /36.16278; 138.05917","1,928.5m","筑摩山地","","","","","","","","","","","","","","",""
"浅間高原","[61浅間高原あさまこうげん2,568m長野県群馬県ハクサンイチゲヒメシャジン地理院地図Google Map浅間山] 浅間山 （あさまやま）は、 長野県 北佐久郡 軽井沢町 及び 御代田町 と 群馬県 吾妻郡 嬬恋村 との境にある 安山岩 質の 標高 2,568 メートル (m) の 成層火山 。山体は 円錐 形で カルデラ も形成されており、活発な 活火山 として知られる。","https://ja.wikipedia.org/wiki/浅間高原","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯36度24分23秒東経138度31分23秒","日本群馬県吾妻郡嬬恋村長野県北佐久郡軽井沢町・御代田町","北緯36度24分23秒東経138度31分23秒﻿ / ﻿北緯36.40639度 東経138.52306度﻿ /36.40639; 138.52306座標:北緯36度24分23秒東経138度31分23秒﻿ / ﻿北緯36.40639度 東経138.52306度﻿ /36.40639; 138.52306","2,568m","浅間山系","成層火山（活火山ランクA）","","","","","","","","","","","","","",""
"針ノ木岳","[62針ノ木岳はりのきだけ2,821m富山県長野県キヌガサソウ地理院地図Google Mapオオバキスミレ中部山岳国立公園日本二百名山日本の山一覧 (高さ順)(第54位)] 針ノ木岳 （はりのきだけ）は、 富山県 中新川郡 立山町 と 長野県 大町市 にまたがる 標高 2,821 m の 山 。 中部山岳国立公園 内にあり  、 後立山連峰 に属する。","https://ja.wikipedia.org/wiki/針ノ木岳","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯36度32分17秒東経137度41分04秒","日本富山県中新川郡立山町長野県大町市","北緯36度32分17秒東経137度41分04秒﻿ / ﻿北緯36.53806度 東経137.68444度﻿ /36.53806; 137.68444座標:北緯36度32分17秒東経137度41分04秒﻿ / ﻿北緯36.53806度 東経137.68444度﻿ /36.53806; 137.68444","2,820.60m","飛騨山脈（後立山連峰）","褶曲・隆起","","","","","","","","","","","","","",""
"蓮華岳","[63蓮華岳れんげだけ2,799m富山県長野県コマクサ地理院地図Google Map中部山岳国立公園日本三百名山日本の山一覧 (高さ順)(第65位)] 蓮華岳 （れんげだけ）は、 飛騨山脈 北部  、 富山県 中新川郡 立山町 と 長野県 大町市 とにまたがる 標高 2,799 m の 山   。 日本で66番目に高い 山  。針ノ木峠を挟んで 針ノ木岳 の東側に対峙している。","https://ja.wikipedia.org/wiki/蓮華岳","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯36度32分09秒東経137度42分38秒","日本富山県中新川郡立山町長野県大町市","北緯36度32分09秒東経137度42分38秒﻿ / ﻿北緯36.53583度 東経137.71056度﻿ /36.53583; 137.71056座標:北緯36度32分09秒東経137度42分38秒﻿ / ﻿北緯36.53583度 東経137.71056度﻿ /36.53583; 137.71056","2,798.73m","飛騨山脈","","","","","","","","","","","","","","",""
"鹿島槍ヶ岳","[64鹿島槍ヶ岳かしまやりがだけ2,899m富山県長野県チングルマシナノキンバイオヤマノエンドウタカネミミナグサ地理院地図Google Mapタカネバラトウヤクリンドウ中部山岳国立公園日本百名山、花の百名山日本の山一覧 (高さ順)(第36位)] 鹿島槍ヶ岳 （かしまやりがたけ）は、 富山県 黒部市 、 中新川郡 立山町 および 長野県 大町市 にまたがる 後立山連峰 （ 飛騨山脈 ）の 標高 2,889 m の 山   。 中部山岳国立公園 内にある   。後立山連峰の盟主とされる   。","https://ja.wikipedia.org/wiki/鹿島槍ヶ岳","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯36度37分28秒東経137度44分49秒","日本富山県黒部市・立山町長野県大町市","北緯36度37分28秒東経137度44分49秒﻿ / ﻿北緯36.62444度 東経137.74694度﻿ /36.62444; 137.74694座標:北緯36度37分28秒東経137度44分49秒﻿ / ﻿北緯36.62444度 東経137.74694度﻿ /36.62444; 137.74694","2,889.08m","飛騨山脈（後立山連峰）","褶曲・隆起","","","","","","","","","","","","","",""
"白馬岳","[65白馬岳しろうまだけ2,932m富山県長野県イワイチョウリンネソウシロウマアサツキ地理院地図Google Mapウルップソウ中部山岳国立公園花の百名山日本百名山、新日本百名山日本の山一覧 (高さ順)(第26位)] 白馬岳 （しろうまだけ）は、 飛騨山脈 （北アルプス）北部の 後立山連峰 にある 標高 2,932 m の 山 。 長野県 と 富山県 とにまたがり、 中部山岳国立公園  内にある。","https://ja.wikipedia.org/wiki/白馬岳","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯36度45分31秒東経137度45分31秒","日本長野県北安曇郡白馬村富山県黒部市、下新川郡朝日町","北緯36度45分31秒東経137度45分31秒﻿ / ﻿北緯36.75861度 東経137.75861度﻿ /36.75861; 137.75861座標:北緯36度45分31秒東経137度45分31秒﻿ / ﻿北緯36.75861度 東経137.75861度﻿ /36.75861; 137.75861","2,932.24m","飛騨山脈（後立山連峰）","褶曲・隆起","1883年（北安曇郡長ら）","","","","","","","","","","","","",""
"北信五岳","[66北信五岳ほくしんごがく2,446m長野県新潟県リュウキンカザゼンソウ地理院地図Google Map妙高山戸隠山黒姫山飯縄山斑尾山] 北信五岳 （ほくしんごがく）は、 長野県 北信地方 の主に 長野盆地 から望める、 妙高山 、 斑尾山 、 黒姫山 、 戸隠山 、 飯縄山 の5つの 山 の総称である。","https://ja.wikipedia.org/wiki/北信五岳","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"小松原湿原","[67小松原湿原こまつばらしつげん2,145m新潟県長野県ウラジロヨウラクトキソウオノエランモウセンゴケ地理院地図Google Map苗場山]","https://ja.wikipedia.org/w/index.php?title=小松原湿原&amp;action=edit&amp;redlink=1","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"平ヶ岳","[68平ヶ岳ひらがたけ2,141m新潟県群馬県ワタスゲ地理院地図Google Map日本百名山] 平ヶ岳 （ひらがたけ）は、 新潟県 魚沼市 と 群馬県 みなかみ町 の境界にある標高2,141mの 山 。 日本百名山 のひとつ。","https://ja.wikipedia.org/wiki/平ヶ岳_(群馬県・新潟県)","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯37度00分07秒東経139度10分15秒","新潟県魚沼市群馬県みなかみ町","北緯37度00分07秒東経139度10分15秒﻿ / ﻿北緯37.00194度 東経139.17083度﻿ /37.00194; 139.17083","2,141m","三国山脈","","","","","","","","","","","","","","",""
