"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","球場規模","所有者","グラウンド","照明","開場","管理・運用者","フェンス","スコアボード","設計者","起工","創設","監督","閉場","建設者","建設費","分類","面積","運営者"
"鶴沼球場 (存在しないページ)","[鶴沼球場]","https://ja.wikipedia.org/w/index.php?title=鶴沼球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"さゆり公園野球場 (存在しないページ)","[さゆり公園野球場（福島レッドホープス西会津球場）]","https://ja.wikipedia.org/w/index.php?title=さゆり公園野球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"押切川公園野球場 (存在しないページ)","[押切川公園野球場]","https://ja.wikipedia.org/w/index.php?title=押切川公園野球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"いいたてスポーツ公園 (存在しないページ)","[いいたてスポーツ公園野球場]","https://ja.wikipedia.org/w/index.php?title=いいたてスポーツ公園&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"堀原運動公園野球場","[堀原運動公園野球場] 堀原運動公園野球場 （ほりはらうんどうこうえんやきゅうじょう）は、 茨城県 水戸市 の堀原運動公園内にある 野球場 。メディアによっては 茨城県営球場 とも表記される  。","https://ja.wikipedia.org/wiki/堀原運動公園野球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","茨城県水戸市新原2-11-1","両翼 - 91.5 m , 中堅 - 117 m","茨城県","内野:黒土,外野:芝","照明灯 - なし","","","2.3m","","","","","","","","","","",""
"水戸市民球場","[水戸市民球場（ノーブルホームスタジアム水戸）] 水戸市民球場 （みとしみんきゅうじょう）は、 茨城県 水戸市 見川町の 水戸市総合運動公園 内にある 野球場 。施設は水戸市が所有し、水戸市スポーツ振興協会が 指定管理者 として運営管理を行っている。","https://ja.wikipedia.org/wiki/水戸市民球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","茨城県水戸市見川町2256（水戸市総合運動公園内）","グラウンド面積：－m2両翼：100 m、中堅：122 m","水戸市","内野：クレー舗装外野：天然芝","照明塔：6基","1980年3月31日","水戸市スポーツ振興協会（指定管理者）","","","","1979年5月18日","","","","","","","",""
"日立市民球場","[日立市民球場] 日立市民運動公園野球場 （ひたちしみんうんどうこうえんやきゅうじょう）は、 茨城県 日立市 にある 野球場 である。","https://ja.wikipedia.org/wiki/日立市民球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯36度34分30.5秒東経140度38分37.2秒","〒316-0033 茨城県日立市中成沢町4丁目19-1","","日立市","人工芝","なし","","","","","","1972年9月","","","","","","","",""
"ひたちなか市民球場","[ひたちなか市民球場] ひたちなか市民球場 （ひたちなかしみんきゅうじょう）は、 茨城県 ひたちなか市 の ひたちなか市総合運動公園 内にある 野球場 。","https://ja.wikipedia.org/wiki/ひたちなか市民球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯36度23分31.71秒東経140度35分2.78秒","茨城県ひたちなか市新光町49（ひたちなか市総合運動公園内）","グラウンド面積：－m2両翼：100 m、中堅：122 m","ひたちなか市","内野：クレー舗装外野：天然芝","照明塔：6基","1990年","公益財団法人ひたちなか市生活・文化・スポーツ公社（指定管理者）","m","","","","","","","","","","",""
"笠間市総合公園市民球場","[笠間市総合公園市民球場] 笠間市総合公園市民球場 (かさましそうごうこうえんしみんきゅうじょう)は、 茨城県 笠間市 の笠間市総合公園内にある 野球場 。","https://ja.wikipedia.org/wiki/笠間市総合公園市民球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯36度23分37.0秒東経140度14分28.0秒","茨城県笠間市箱田867-1","グラウンド面積：16,000㎡両翼：95m中堅：120m","笠間市","内野：(クレー舗装)外野：(天然芝)","なし","","","","電光掲示板","","","","","","","","","",""
"日立会瀬球場 (存在しないページ)","[日立会瀬球場]","https://ja.wikipedia.org/w/index.php?title=日立会瀬球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"高萩市民球場","[高萩市民球場] 高萩市民球場 （たかはぎしみんきゅうじょう）は、 茨城県 高萩市 にある 野球場 。高萩市が運営管理を行っている。「 はぎまろ球場 」の愛称が付けられている。","https://ja.wikipedia.org/wiki/高萩市民球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯36度43分36秒東経140度40分53秒","茨城県高萩市大字高萩727","両翼：9１ m中堅：120 m","高萩市","内野：クレー舗装外野：天然芝","なし","1972年7月","高萩市","","","","","","","","","","","",""
"桜川総合運動公園野球場 (存在しないページ)","[桜川総合運動公園野球場]","https://ja.wikipedia.org/w/index.php?title=桜川総合運動公園野球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"常総市水海道球場","[常総市水海道球場] 常総市水海道球場 （じょうそうし みつかいどうきゅうじょう）は、 茨城県 常総市 の、 きぬ総合公園 内にある 野球場 。常総市が運営管理を行っている。","https://ja.wikipedia.org/wiki/常総市水海道球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯36度1分25.2秒東経139度57分11.1秒","茨城県常総市坂手町3552（きぬ総合公園内）","両翼：93 m中堅：120 m","常総市","内野：クレー舗装外野：天然芝","あり","","常総市","","","","","","","","","","","",""
"岩井球場 (存在しないページ)","[岩井球場]","https://ja.wikipedia.org/w/index.php?title=岩井球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"古河市民球場 (存在しないページ)","[古河市民球場]","https://ja.wikipedia.org/w/index.php?title=古河市民球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"鉾田市総合公園野球場 (存在しないページ)","[鉾田市総合公園野球場]","https://ja.wikipedia.org/w/index.php?title=鉾田市総合公園野球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"光と風の丘公園球場 (存在しないページ)","[光と風の丘公園球場]","https://ja.wikipedia.org/w/index.php?title=光と風の丘公園球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"神栖海浜球場 (存在しないページ)","[神栖海浜球場]","https://ja.wikipedia.org/w/index.php?title=神栖海浜球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"土浦市営球場","[土浦市営球場（J:COMスタジアム土浦）] 土浦市営球場 （つちうらしえいきゅうじょう）は、 茨城県 土浦市 の 川口運動公園 内にある 野球場 。 霞ヶ浦 湖畔に面した 土浦港 に隣接しており、土浦市内の野球試合会場としての利用の他、 かすみがうらマラソン 等のスポーツイベントの会場としても使用されている。","https://ja.wikipedia.org/wiki/土浦市営球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯36度4分50.6秒東経140度12分41.3秒","茨城県土浦市川口2-12（川口運動公園内）","両翼：99 m 中堅：122 m","土浦市","天然芝","LED照明塔4基","1950年(昭和25年)","","","磁気反転式","","","","","","","","","",""
"龍ケ崎市野球場たつのこスタジアム","[龍ケ崎市野球場たつのこスタジアム（TOKIWAスタジアム龍ケ崎）] 龍ケ崎市野球場たつのこスタジアム (りゅうがさきしやきゅうじょうたつのこスタジアム) は、 茨城県 龍ケ崎市 の龍ケ崎市総合運動公園内にある 野球場 。","https://ja.wikipedia.org/wiki/龍ケ崎市野球場たつのこスタジアム","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯35度55分37秒 東経140度12分29.2秒","","","","","","","","","","","","","","","","","","",""
"石下球場 (存在しないページ)","[石下球場]","https://ja.wikipedia.org/w/index.php?title=石下球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"柳原球場 (存在しないページ)","[柳原球場]","https://ja.wikipedia.org/w/index.php?title=柳原球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"砂沼球場 (存在しないページ)","[砂沼球場]","https://ja.wikipedia.org/w/index.php?title=砂沼球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"宇都宮清原球場","[宇都宮清原球場] 宇都宮清原球場 （うつのみや・きよはらきゅうじょう）は、 栃木県 宇都宮市 東郊の 宇都宮清原工業団地 ・清原中央公園内（「 '84とちぎ博 」会場跡地）にある 野球場 。施設は宇都宮市が所有し、公益財団法人宇都宮市スポーツ振興財団が 指定管理者 として運営管理を行っている。","https://ja.wikipedia.org/wiki/宇都宮清原球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯36度32分36.9秒東経139度59分2.1秒","栃木県宇都宮市清原工業団地14（清原中央公園内）","グラウンド面積：11,912m2両翼：97.6 m中堅：122 m","宇都宮市","内外野：人工芝","照明塔：6基","1988年","公益財団法人宇都宮市スポーツ振興財団（指定管理者）","","","","","","","","","","","",""
"栃木県総合運動公園","[栃木県総合運動公園野球場] 栃木県総合運動公園 （とちぎけんそうごううんどうこうえん）は、 栃木県 が設置  する 総合運動公園 である。 指定管理者制度 により、栃木県民公園福祉協会が管理・運営を行っている  。県民からは「総合グランド」と呼ばれ広く親しまれている。","https://ja.wikipedia.org/wiki/栃木県総合運動公園","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯36度30分42秒東経139度51分28.6秒","日本栃木県宇都宮市西川田4丁目1-1","","","","","","","","","","","","","","","","総合運動公園","","栃木県民公園福祉協会"
"足利市総合運動場硬式野球場","[足利市総合運動場硬式野球場] 足利市総合運動場硬式野球場 （あしかがし そうごううんどうじょう こうしきやきゅうじょう）は、 栃木県 足利市 の 足利市総合運動場 内にある 野球場 。球場正面の 銘板 には 足利市硬式野球場 と表記されている。施設は足利市が所有し、足利市みどりと文化・スポーツ財団が 指定管理者 として運営管理を行っている。","https://ja.wikipedia.org/wiki/足利市総合運動場硬式野球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","栃木県足利市田所町1123（足利市総合運動場内）","グラウンド面積：13,463.2m2両翼：98 m中堅：122 m","足利市","内野：クレー舗装、外野：天然芝","照明塔6基最大照度：投捕間 1145Lx内野 893Lx外野 588Lx","1955年7月9日（1988年、2001年、2003年改修）","足利市みどりと文化・スポーツ財団（指定管理者）","","","","","","","","","","","",""
"宇都宮市宮原運動公園野球場","[宇都宮市宮原運動公園野球場] 宇都宮市宮原運動公園野球場 （うつのみやしみやはらうんどうこうえんやきゅうじょう）は、 栃木県 宇都宮市 にある 野球場 。宇都宮市 宮原運動公園 の敷地内にある。通称は 宮原球場 。 高校野球 では 2005年 までは 夏の大会 でも使われていたが、加盟高校が減少したことにより使用されなくなり、その後、春・秋の大会でも使用されなくなった。その後、少年野球など アマチュア野球 公式戦が行われていたが、2015年に市により改築の方針が明らかにされた   。2017年には「最後の試合」（ 日本ハム 旗第19回関東学童軟式野球新人大会県予選の一部）が戦われ、55年間の歴史に一旦幕を閉じた  。","https://ja.wikipedia.org/wiki/宇都宮市宮原運動公園野球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","栃木県宇都宮市陽南四丁目5-6","両翼：91m、内野：120m","","","","","","","","","","","","","","","","",""
"栃木市総合運動公園","[栃木市総合運動公園野球場] 栃木市総合運動公園 （とちぎしそうごううんどうこうえん）は、 栃木県 栃木市 にある 公園 （ 運動公園 ）である  。","https://ja.wikipedia.org/wiki/栃木市総合運動公園","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","日本栃木県栃木市川原田町760","","","","","","","","","","","","","","","","都市公園（運動公園）","369,000m2","栃木市（指定管理者：株式会社メディカルフィットネスとちの木）"
"那須烏山市緑地運動公園野球場 (存在しないページ)","[那須烏山市緑地運動公園野球場]","https://ja.wikipedia.org/w/index.php?title=那須烏山市緑地運動公園野球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"佐野市運動公園野球場 (存在しないページ)","[佐野市運動公園野球場]","https://ja.wikipedia.org/w/index.php?title=佐野市運動公園野球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"鹿沼運動公園野球場","[鹿沼運動公園野球場（キョクトウベリースタジアム）] 鹿沼運動公園野球場 （かぬまうんどうこうえんやきゅうじょう）は、 栃木県 鹿沼市 の南部にある鹿沼運動公園内にある硬式 野球場 。 命名権 による愛称は「 ヤオハンいちごパーク野球場 」。","https://ja.wikipedia.org/wiki/鹿沼運動公園野球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯36度32分20.7秒 東経139度41分56.7秒","","","","","","","","","","","","","","","","","","",""
"御殿山公園野球場 (存在しないページ)","[御殿山公園野球場]","https://ja.wikipedia.org/w/index.php?title=御殿山公園野球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"益子町北公園野球場","[益子町北公園野球場] 益子町北運動公園野球場 （ましこまちきたこうえんやきゅうじょう）は、 栃木県 益子町 大沢3535-1にある野球場である。","https://ja.wikipedia.org/wiki/益子町北公園野球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"真岡市東運動場","[真岡市東運動場（真岡東球場）] 真岡市東運動場 （もおかしひがしうんどうじょう）とは 栃木県 真岡市 小林にある野球場である。","https://ja.wikipedia.org/wiki/真岡市東運動場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"矢板運動公園野球場 (存在しないページ)","[矢板運動公園野球場]","https://ja.wikipedia.org/w/index.php?title=矢板運動公園野球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"塩谷町営野球場 (存在しないページ)","[塩谷町営野球場]","https://ja.wikipedia.org/w/index.php?title=塩谷町営野球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"日光市所野野球場 (存在しないページ)","[日光市所野野球場]","https://ja.wikipedia.org/w/index.php?title=日光市所野野球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"今市運動公園野球場 (存在しないページ)","[今市運動公園野球場]","https://ja.wikipedia.org/w/index.php?title=今市運動公園野球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"那須町中央運動公園野球場 (存在しないページ)","[那須町中央運動公園野球場]","https://ja.wikipedia.org/w/index.php?title=那須町中央運動公園野球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"さくら市運動公園野球場 (存在しないページ)","[さくら市運動公園野球場]","https://ja.wikipedia.org/w/index.php?title=さくら市運動公園野球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"丸山球場 (存在しないページ)","[丸山球場]","https://ja.wikipedia.org/w/index.php?title=丸山球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"くろいそ運動公園野球場 (存在しないページ)","[くろいそ運動公園野球場]","https://ja.wikipedia.org/w/index.php?title=くろいそ運動公園野球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"高根沢総合運動公園野球場 (存在しないページ)","[高根沢総合運動公園野球場]","https://ja.wikipedia.org/w/index.php?title=高根沢総合運動公園野球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"大平町総合運動公園さくら球場 (存在しないページ)","[大平町総合運動公園さくら球場]","https://ja.wikipedia.org/w/index.php?title=大平町総合運動公園さくら球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"群馬県立敷島公園野球場","[群馬県立敷島公園野球場（上毛新聞敷島公園野球場）] 群馬県立敷島公園野球場 （ぐんまけんりつ しきしまこうえん やきゅうじょう）は、 群馬県 前橋市 の県立 敷島公園 内にある 野球場 。施設は群馬県が所有し、敷島パークマネジメントJV（共同企業体）が 指定管理者 として運営管理を行っている。","https://ja.wikipedia.org/wiki/群馬県立敷島公園野球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯36度24分49.8秒東経139度3分8.2秒","群馬県前橋市敷島町66（県立敷島公園内）","グラウンド面積：－m2両翼 - 99.1 m中堅 - 122 m","群馬県","内野：クレー舗装外野：天然芝","照明塔 - 6基","1932年（昭和7年）","敷島パークマネジメントJV（指定管理者）","","","","","","","","","","","",""
"前橋市民球場","[前橋市民球場（グレースイン前橋市民球場）] 前橋市民球場 （まえばししみんきゅうじょう）は、 群馬県 前橋市 の 前橋総合運動公園 内にある 野球場 。施設は前橋市が所有している。","https://ja.wikipedia.org/wiki/前橋市民球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯36度22分41秒東経139度9分35秒","群馬県前橋市荒口町437-2 （前橋総合運動公園内）","グラウンド面積：－m2両翼 - 91.0 m中堅 - 122.0 m","前橋市","内野：盛土外野：天然芝","照明塔 - 6基","1980年","","","","","","","","","","","","",""
"桐生球場","[桐生球場（小倉クラッチ・スタジアム）] 桐生球場 （きりゅうきゅうじょう）は、 群馬県 桐生市 の 桐生市運動公園 内にある 野球場 である。","https://ja.wikipedia.org/wiki/桐生球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","群馬県桐生市相生町3丁目300（桐生市運動公園内）","面積：25,000m2両翼：90m改修工事後100m中堅：120m   改修工事後122m","桐生市","内野：クレー舗装外野：天然芝","","1969年（昭和44年）7月","桐生市体育協会（指定管理者）","m","","","","","","","","","","",""
"太田市運動公園野球場","[太田市運動公園野球場] 太田市運動公園 （おおたしうんどうこうえん）は、 群馬県 太田市 にある太田市立の 都市公園 （ 運動公園 ）である  。施設は太田市が所有し、運営管理も太田市が行っている。","https://ja.wikipedia.org/wiki/太田市運動公園野球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯36度16分31.109秒東経139度23分44.12秒","日本群馬県太田市飯塚町1059","","","","","","","","","","","","","","","","都市公園（運動公園）","","太田市"
"伊勢崎市野球場","[伊勢崎市野球場] 伊勢崎市野球場 （いせさきしやきゅうじょう）は、 群馬県 伊勢崎市 の 華蔵寺公園 内にある野球場。 鈴木惣太郎 の日本野球発展に尽くした功績を称え、 鈴木惣太郎記念球場 と命名されている  。","https://ja.wikipedia.org/wiki/伊勢崎市野球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯36度20分35.9秒東経139度11分37.8秒","群馬県伊勢崎市堤西町41番地(華蔵寺公園内)","グラウンド面積:17,323㎡両翼:98m中堅:122m","伊勢崎市","内野:クレー舗装外野:芝","6基","","","","LDEフルカラー","","","","","","","","","",""
"いずみ総合公園町民野球場 (存在しないページ)","[いずみ総合公園町民野球場]","https://ja.wikipedia.org/w/index.php?title=いずみ総合公園町民野球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"西毛運動公園野球場 (存在しないページ)","[西毛運動公園野球場]","https://ja.wikipedia.org/w/index.php?title=西毛運動公園野球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"城沼野球場 (存在しないページ)","[城沼野球場]","https://ja.wikipedia.org/w/index.php?title=城沼野球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"藤岡球場 (存在しないページ)","[藤岡球場]","https://ja.wikipedia.org/w/index.php?title=藤岡球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"あずまスタジアム (存在しないページ)","[あずまスタジアム]","https://ja.wikipedia.org/w/index.php?title=あずまスタジアム&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"富岡市野球場 (存在しないページ)","[富岡市野球場]","https://ja.wikipedia.org/w/index.php?title=富岡市野球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"大胡町総合運動公園野球場 (存在しないページ)","[大胡町総合運動公園野球場]","https://ja.wikipedia.org/w/index.php?title=大胡町総合運動公園野球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"渋川市総合公園野球場 (存在しないページ)","[渋川市総合公園野球場]","https://ja.wikipedia.org/w/index.php?title=渋川市総合公園野球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"埼玉県営大宮公園野球場","[埼玉県営大宮公園野球場] 埼玉県営大宮公園野球場 （さいたまけんえい・おおみやこうえん・やきゅうじょう）は、 埼玉県 さいたま市 大宮区 の 大宮公園 内にある 野球場 。","https://ja.wikipedia.org/wiki/埼玉県営大宮公園野球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯35度55分2.7秒東経139度38分0.7秒","埼玉県さいたま市大宮区高鼻町4-9（大宮公園内）","グラウンド面積：－m2両翼：99 m、中堅：122 m","埼玉県","内野：クレー舗装外野：天然芝","照明塔：6基","1934年4月1日（1992年改築）","埼玉県公園緑地協会","m","","","","","","","","","","",""
"川越市営初雁公園野球場","[川越市営初雁公園野球場（川越初雁球場）] 川越市営初雁公園野球場 （かわごえしえい・はつかりこうえんやきゅうじょう）は、 埼玉県 川越市 の初雁公園内にある 野球場 。施設は川越市が所有し、川越市都市計画部が管理・運営を行っている。","https://ja.wikipedia.org/wiki/川越市営初雁公園野球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","埼玉県川越市郭町2-13-1（初雁公園内）","グラウンド面積：両翼：91 m、中堅：110 m","川越市","内野：クレー舗装外野：天然芝","照明塔：4基","1952年","川越市都市計画部","m","","","","","","","","","","",""
"さいたま市営浦和球場","[さいたま市営浦和球場] さいたま市営浦和球場 （さいたましえい・うらわきゅうじょう）は、 埼玉県 さいたま市 浦和区 の 浦和総合運動場 内にある 野球場 。施設はさいたま市が所有し、アイル・コーポレーションが 指定管理者 として運営管理にあたっている。","https://ja.wikipedia.org/wiki/さいたま市営浦和球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯35度52分11.9秒東経139度39分30.7秒","埼玉県さいたま市浦和区元町1-29-10（浦和総合運動場内）","グラウンド面積：－m2両翼：93 m、中堅：120 m","さいたま市","内野：クレー舗装外野：天然芝","なし","1954年8月","アイル・コーポレーション（指定管理者）","m","","","","","","","","","","",""
"さいたま市営大宮球場","[さいたま市営大宮球場] さいたま市営大宮球場 （さいたましえい おおみやきゅうじょう）は、 埼玉県 さいたま市 大宮区 寿能町 二丁目の大和田公園内にある 野球場 。施設はさいたま市が所有し、さいたま市公園緑地協会が 指定管理者 として運営管理を行っている。","https://ja.wikipedia.org/wiki/さいたま市営大宮球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯35度55分20.4秒東経139度38分26.3秒","埼玉県さいたま市大宮区寿能町2-519（大和田公園内）","グラウンド面積：13,157.665 m2両翼：91 m、中堅：122 m","さいたま市","内野：クレー舗装外野：天然芝","照明塔：6基","1967年","さいたま市公園緑地協会（指定管理者）","","","","","","","","","","","",""
"さいたま市岩槻川通公園野球場","[さいたま市岩槻川通公園野球場（やまぶきスタジアム）] さいたま市岩槻川通公園野球場 （さいたまし・いわつき・かわどおりこうえん・やきゅうじょう）は、 埼玉県 さいたま市 岩槻区 の川通公園内にある 野球場 。愛称 やまぶきスタジアム 。施設はさいたま市が所有し、さいたま市公園緑地協会が 指定管理者 として運営管理を行っている。","https://ja.wikipedia.org/wiki/さいたま市岩槻川通公園野球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯35度57分6.2秒東経139度43分41.7秒","埼玉県さいたま市岩槻区大字長宮825-5（川通公園内）","グラウンド面積：13,390m2両翼：95 m、中堅：122 m","さいたま市","内野：クレー舗装外野：天然芝","照明塔：6基最大照度：投捕間1000Lx","2002年","さいたま市公園緑地協会（指定管理者）","m","","","","","","","","","","",""
