"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","標高","位置","山系","種類","初登頂","法人番号","最新噴火","国","地方","都道府県","市町村コード","面積","総人口","人口密度","隣接自治体","市の木","市の花","市長"
"恵那山","[55恵那山えなさん2,191（一等）恵那山中津川市・長野県日本百名山] 恵那山 （えなさん）(胞衣山・胞山）は 長野県 阿智村 と 岐阜県 中津川市 にまたがる、 木曽山脈 （中央アルプス）の最南端の 標高 2,191 m の 山 である  。 日本百名山  及び 新・花の百名山  に選定されている。岐阜県は 胞山県立自然公園 に指定している。","https://ja.wikipedia.org/wiki/恵那山","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯35度26分37秒東経137度35分50秒","日本長野県下伊那郡阿智村岐阜県中津川市","2,191m","北緯35度26分37秒東経137度35分50秒﻿ / ﻿北緯35.44361度 東経137.59722度﻿ /35.44361; 137.59722座標:北緯35度26分37秒東経137度35分50秒﻿ / ﻿北緯35.44361度 東経137.59722度﻿ /35.44361; 137.59722","木曽山脈","","","","","","","","","","","","","","",""
"富士見台高原","[56富士見台ふじみだい1,739中津川市・長野県] 富士見台高原 （ふじみだいこうげん）は、 岐阜県 中津川市 と 長野県 下伊那郡 阿智村 に跨る 中央アルプス の南端である 恵那山 系にある高原で、岐阜県の 胞山県立自然公園 に含まれる。","https://ja.wikipedia.org/wiki/富士見台高原","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"南沢山 (存在しないページ)","[57南沢山みなみさわや1,564中津川市・長野県]","https://ja.wikipedia.org/w/index.php?title=南沢山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"笠置山 (岐阜県)","[58笠置山かさぎやま1,127.97　二等御笠置恵那市・中津川市] 笠置山 （かさぎやま）は、 岐阜県 恵那市 と 中津川市 にまたがる 標高 1,128 m の 山  。山頂は恵那市 中野方町 にある。","https://ja.wikipedia.org/wiki/笠置山_(岐阜県)","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯35度30分38秒東経137度20分52秒","日本岐阜県恵那市、中津川市","1,127.97m","北緯35度30分38秒東経137度20分52秒﻿ / ﻿北緯35.51056度 東経137.34778度﻿ /35.51056; 137.34778座標:北緯35度30分38秒東経137度20分52秒﻿ / ﻿北緯35.51056度 東経137.34778度﻿ /35.51056; 137.34778","","","","","","","","","","","","","","","",""
"二ッ森山 (岐阜県)","[59二ッ森山ふたつもりやま1,223.49　二等二ツ森中津川市・白川町] 二ッ森山 （ふたつもりやま）は、 岐阜県 中津川市  と 加茂郡 白川町 とにまたがる 標高 1,223.5 m の 山    。 美濃三河高原 の二ッ森山地の主峰  。","https://ja.wikipedia.org/wiki/二ッ森山_(岐阜県)","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯35度34分18.72秒東経137度24分1.26秒","日本岐阜県中津川市、加茂郡白川町","1,223.49m","北緯35度34分18.72秒東経137度24分1.26秒﻿ / ﻿北緯35.5718667度 東経137.4003500度﻿ /35.5718667; 137.4003500座標:北緯35度34分18.72秒東経137度24分1.26秒﻿ / ﻿北緯35.5718667度 東経137.4003500度﻿ /35.5718667; 137.4003500","美濃三河高原","","","","","","","","","","","","","","",""
"尾城山 (存在しないページ)","[60尾城山おしろやま1,132.90　二等尾城中津川市・白川町]","https://ja.wikipedia.org/w/index.php?title=尾城山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"雨乞棚山 (存在しないページ)","[61雨乞棚山あまごいたなやま1,394.04　三等雨乞棚中津川市]","https://ja.wikipedia.org/w/index.php?title=雨乞棚山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"三界山 (存在しないページ)","[62三界山さんかいやま1,599.51　一等三階岳中津川市・長野県]","https://ja.wikipedia.org/w/index.php?title=三界山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"奥三界岳","[63奥三界岳おくさんがいやま1,810.48　三等奥三階中津川市・長野県日本三百名山] 奥三界岳 （おくさんがいだけ）は、 岐阜県 中津川市 、 長野県 木曽郡 南木曽町 および 大桑村 にまたがる 阿寺山地 の 標高 1,811 m の 山   。地元では古くから 奥三界山 （おくさんがいさん）と呼ばれている  。「 日本三百名山 」  および「 ぎふ百山 」  に選定されている。山域は岐阜県の「裏木曽県立自然公園」に指定されている。","https://ja.wikipedia.org/wiki/奥三界岳","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯35度40分54秒東経137度30分26秒","日本岐阜県中津川市長野県木曽郡南木曽町、大桑村","1,810.69m","北緯35度40分54秒東経137度30分26秒﻿ / ﻿北緯35.68167度 東経137.50722度﻿ /35.68167; 137.50722座標:北緯35度40分54秒東経137度30分26秒﻿ / ﻿北緯35.68167度 東経137.50722度﻿ /35.68167; 137.50722","阿寺山地","","","","","","","","","","","","","","",""
"井出小路山 (存在しないページ)","[64井出小路山いでのこうじやま1,840中津川市・長野県]","https://ja.wikipedia.org/w/index.php?title=井出小路山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"高樽山 (存在しないページ)","[65高樽山たかたるやま1,672.79　三等高樽山中津川市・長野県]","https://ja.wikipedia.org/w/index.php?title=高樽山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"高時山 (存在しないページ)","[66高時山たかときやま1,563.43　二等高時山中津川市]","https://ja.wikipedia.org/w/index.php?title=高時山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"唐塩山 (存在しないページ)","[67唐塩山からしおやま1,608.81　三等上下島中津川市]","https://ja.wikipedia.org/w/index.php?title=唐塩山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"小秀山","[68小秀山こひでやま1,981.68　二等小秀山中津川市・長野県日本二百名山] 小秀山 （こひでやま）は、 御嶽山系 の 阿寺山地 にある 標高 1,982 m の 山 。山体は 岐阜県 中津川市 と 長野県 木曽郡 王滝村 にまたがる。山頂から北側に、 御嶽山 の大きな山容を望むことができ、「 日本二百名山 」  、「 ぎふ百山 」  および 信州百名山 に選定されている。","https://ja.wikipedia.org/wiki/小秀山","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯35度47分08秒東経137度23分49秒","日本岐阜県中津川市長野県木曽郡王滝村","1,981.68m","北緯35度47分08秒東経137度23分49秒﻿ / ﻿北緯35.78556度 東経137.39694度﻿ /35.78556; 137.39694座標:北緯35度47分08秒東経137度23分49秒﻿ / ﻿北緯35.78556度 東経137.39694度﻿ /35.78556; 137.39694","阿寺山地（御嶽山系）","","","","","","","","","","","","","","",""
"三国山 (岐阜県)","[69三国山さんごくさん1,610.98　三等三国山下呂市・長野県] 三国山 （みくにやま）は、 岐阜県 土岐市 と 愛知県 豊田市  の 境 界にある 標高 701 m の 山 である。山頂には4階建ての 展望台 、 キャンプ場 があり、 県立自然公園 となっている。近くに高い山が無いため展望が良く夜には 濃尾平野 を一望できる 夜景 を見ることができる。","https://ja.wikipedia.org/wiki/三国山_(岐阜県)#岐阜県・長野県境","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"拝殿山 (存在しないページ)","[70拝殿山はいでんやま1,402.02　三等穴洞下呂市・中津川市]","https://ja.wikipedia.org/w/index.php?title=拝殿山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"白草山","[71白草山しらくさやま1,641下呂市・長野県] 白草山 （しらくさやま）は、 長野県 木曽郡 王滝村 と 岐阜県 下呂市 にまたがる 阿寺山地 （ 御嶽山系 ）の 標高 1,641 m の 山   。山域は 1964年 （ 昭和 39年）3月3日に 飛騨木曽川国定公園 の指定を受けている  。","https://ja.wikipedia.org/wiki/白草山","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯35度48分08秒東経137度20分03秒","日本長野県木曽郡王滝村岐阜県下呂市","1,641m","北緯35度48分08秒東経137度20分03秒﻿ / ﻿北緯35.80222度 東経137.33417度﻿ /35.80222; 137.33417座標:北緯35度48分08秒東経137度20分03秒﻿ / ﻿北緯35.80222度 東経137.33417度﻿ /35.80222; 137.33417","阿寺山地（御嶽山系）","","","","","","","","","","","","","","",""
"寺田小屋山 (存在しないページ)","[72寺田小屋山てらだごやさん1,505.11　二等寺田小屋下呂市・長野県]","https://ja.wikipedia.org/w/index.php?title=寺田小屋山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"八尾山 (存在しないページ)","[73八尾山はちおやま1,100.60　二等八尾山下呂市]","https://ja.wikipedia.org/w/index.php?title=八尾山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"仏ヶ尾山 (存在しないページ)","[74仏ヶ尾山ほとけがおやま1,139.37　二等野上下呂市]","https://ja.wikipedia.org/w/index.php?title=仏ヶ尾山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"御前山","[75御前山ごぜんやま1,646.34　一等五善山下呂市] 御前山 （ごぜんやま）","https://ja.wikipedia.org/wiki/御前山","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"若栃山 (存在しないページ)","[76若栃山わかとちやま1,592.95　三等若栃下呂市・長野県]","https://ja.wikipedia.org/w/index.php?title=若栃山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"御嶽山","[77御嶽山おんたけさん3,067（一等）御岳山下呂市・長野県日本百名山] 御嶽山  （おんたけさん）は、 長野県 木曽郡 木曽町 ・ 王滝村 と 岐阜県 下呂市 ・ 高山市 にまたがり、 東日本火山帯 の西端に位置する 標高 3,067 m の複合 成層火山 である   。大きな裾野を広げる 独立峰 である   。","https://ja.wikipedia.org/wiki/御嶽山","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯35度53分34秒東経137度28分49秒","日本長野県木曽郡木曽町・王滝村岐阜県下呂市・高山市","最高峰剣ヶ峰 3,067m","北緯35度53分34秒東経137度28分49秒﻿ / ﻿北緯35.89278度 東経137.48028度﻿ /35.89278; 137.48028座標:北緯35度53分34秒東経137度28分49秒﻿ / ﻿北緯35.89278度 東経137.48028度﻿ /35.89278; 137.48028","独立峰（御嶽山系）","成層火山活火山ランクB、噴火警戒レベル1(活火山であることに留意)","（702年に役小角が開山）","","2014年（継続中）","","","","","","","","","","",""
"六郎洞山 (存在しないページ)","[78六郎洞山ろくろうぼらやま1,479.39　二等有道高山市]","https://ja.wikipedia.org/w/index.php?title=六郎洞山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"船山","[79船山ふなやま1,479.48　二等船山高山市] 船山 （ふなやま）は、 飛騨高地 の中央に位置する 岐阜県 高山市 と 下呂市 にまたがる 標高 1,479 m の 山   。 舟山 とも書く。","https://ja.wikipedia.org/wiki/船山","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯36度01分27秒東経137度14分22秒","日本岐阜県高山市、下呂市","1,479.39m","北緯36度01分27秒東経137度14分22秒﻿ / ﻿北緯36.02417度 東経137.23944度﻿ /36.02417; 137.23944座標:北緯36度01分27秒東経137度14分22秒﻿ / ﻿北緯36.02417度 東経137.23944度﻿ /36.02417; 137.23944","飛騨高地","","","","","","","","","","","","","","",""
"位山","[80位山くらいやま1,529.15　三等赤岩下呂市・高山市日本二百名山] 位山 （くらいやま）は、 飛騨高地 の中央に位置する 岐阜県 高山市 の 標高 1,529 m の 山 。 飛騨北部と南部の境界であり 宮川 と 飛騨川 の 分水界 である位山分水嶺の山。 飛騨一宮水無神社 の神体である  。 日本二百名山 のひとつであり  、山域は岐阜県の「位山舟山県立自然公園」に指定されている  。","https://ja.wikipedia.org/wiki/位山","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯36度02分18秒東経137度11分48秒","日本岐阜県高山市、下呂市","1,529.15m","北緯36度02分18秒東経137度11分48秒﻿ / ﻿北緯36.03833度 東経137.19667度﻿ /36.03833; 137.19667","飛騨高地","","","","","","","","","","","","","","",""
"川上岳","[81川上岳かおれだけ1,625.87　一等兎馬場下呂市日本三百名山] 川上岳 （かおれだけ）は、 岐阜県 下呂市 と 高山市 にまたがる標高1,625mの 山   。 日本三百名山 に選定されている。","https://ja.wikipedia.org/wiki/川上岳","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯36度00分29秒東経137度08分58秒","岐阜県高山市、下呂市","1,625m","北緯36度00分29秒東経137度08分58秒﻿ / ﻿北緯36.00806度 東経137.14944度﻿ /36.00806; 137.14944","飛騨高地","","","","","","","","","","","","","","",""
"鎌ヶ峰","[82鎌ヶ峰かまがみね2,121.10　二等鎌ヶ峰高山市・長野県] 鎌ヶ峰 （かまがみね）は、 飛騨山脈 乗鞍岳 の南方にある 長野県 と 岐阜県 の境界にある 標高 2,121 m の 山 。","https://ja.wikipedia.org/wiki/鎌ヶ峰","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯36度01分35秒東経137度35分57秒","長野県松本市、木曾郡木曽町岐阜県高山市","2,121.10m","北緯36度01分35秒東経137度35分57秒﻿ / ﻿北緯36.02639度 東経137.59917度﻿ /36.02639; 137.59917座標:北緯36度01分35秒東経137度35分57秒﻿ / ﻿北緯36.02639度 東経137.59917度﻿ /36.02639; 137.59917","飛騨山脈","","","","","","","","","","","","","","",""
"乗鞍岳","[83乗鞍岳のりくらだけ3,025.64　一等乗鞍岳高山市・長野県日本百名山] 乗鞍岳 （のりくらだけ）は、 飛騨山脈 南部の 長野県 松本市 と 岐阜県 高山市 にまたがる 剣ヶ峰 （ 標高 3,026 m ）を主峰とする山々の総称。山頂部の権現池火口の外輪山に位置する 最高峰 の 剣ヶ峰 、 朝日岳 などの8峰を含め、 摩利支天 岳、 富士見岳 など23の峰があり、高山市奥飛騨温泉郷、高山市 丹生川町 、高山市 朝日町 、高山市 高根町 、 長野県 松本市安曇 にまたがる広大な裾野をもつ。 飛騨 側の高山市街地などから大きな山容を望むことができ、親しまれてきた 山 である   。剣ヶ峰は、 本州 を 太平洋 側と 日本海 側に分ける 分水界 上の最高峰でもある。","https://ja.wikipedia.org/wiki/乗鞍岳","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯36度6分23秒東経137度33分13秒","日本長野県松本市岐阜県高山市","3,025.73m","北緯36度6分23秒東経137度33分13秒﻿ / ﻿北緯36.10639度 東経137.55361度﻿ /36.10639; 137.55361座標:北緯36度6分23秒東経137度33分13秒﻿ / ﻿北緯36.10639度 東経137.55361度﻿ /36.10639; 137.55361","飛騨山脈","複合火山（活火山ランクC）噴火警戒レベル1（活火山であることに留意）・常時観測火山","1683年（円空上人）","","","","","","","","","","","","",""
"日影平山 (存在しないページ)","[84日影平山ひかげだいらやま1,595.28　三等日影平高山市]","https://ja.wikipedia.org/w/index.php?title=日影平山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"十二ヶ岳","[85十二ヶ岳じゅうにがだけ1,326.64　三等十二ケ岳高山市] 十二ヶ岳 （じゅうにがたけ）","https://ja.wikipedia.org/wiki/十二ヶ岳","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"見量山 (存在しないページ)","[86見量山みはかやま997.03　三等前原高山市]","https://ja.wikipedia.org/w/index.php?title=見量山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"大雨見山 (存在しないページ)","[87大雨見山国見山おおあまみやまくにみやま1,336.361,318.23　一等三等大雨見山国見山高山市高山市]","https://ja.wikipedia.org/w/index.php?title=大雨見山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"焼岳","[88焼岳やけだけ2,455.37　二等焼岳高山市・長野県日本百名山] 焼岳 (やけだけ)は 飛騨山脈 の 長野県 と 岐阜県 にまたがる 標高 2,455 m の 活火山 で、別名は硫黄岳  。常時観測対象の火山  に指定され、 日本百名山 に選定されている  。","https://ja.wikipedia.org/wiki/焼岳","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯36度13分37秒東経137度35分13秒","日本長野県松本市岐阜県高山市","2,455m","北緯36度13分37秒東経137度35分13秒﻿ / ﻿北緯36.22694度 東経137.58694度﻿ /36.22694; 137.58694座標:北緯36度13分37秒東経137度35分13秒﻿ / ﻿北緯36.22694度 東経137.58694度﻿ /36.22694; 137.58694","飛騨山脈","成層火山（活火山ランクB）噴火警戒レベル1（活火山であることに 留意）・常時観測火山","","","","","","","","","","","","","",""
"錫杖岳","[89錫杖岳しゃくじょうだけ2,168高山市] 錫杖岳 （しゃくじょうだけ）は、 岐阜県 にある 飛騨山脈 にある 標高 2,168 m の 山 。 槍ヶ岳 と 双六岳 を結ぶ主稜線上の 樅沢岳 から南西方向に 笠ヶ岳 に続く稜線の延長上にある。","https://ja.wikipedia.org/wiki/錫杖岳","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯36度16分55秒東経137度32分50秒","岐阜県高山市","2,168m","北緯36度16分55秒東経137度32分50秒﻿ / ﻿北緯36.28194度 東経137.54722度﻿ /36.28194; 137.54722","飛騨山脈","","","","","","","","","","","","","","",""
"西穂高岳","[90西穂高岳にしほたかだけ2,908.59　三等前穂高高山市・長野県] 西穂高岳 （にしほたかだけ）は、 長野県 松本市 と 岐阜県 高山市 にまたがる 標高 2,909 m の 飛騨山脈 （北アルプス）南部の 山 である。山域は 中部山岳国立公園 に指定され  、 花の百名山 に選定されている  。","https://ja.wikipedia.org/wiki/西穂高岳","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯36度16分44秒東経137度37分45秒","長野県松本市岐阜県高山市","2,908.59m","北緯36度16分44秒東経137度37分45秒﻿ / ﻿北緯36.27889度 東経137.62917度﻿ /36.27889; 137.62917座標:北緯36度16分44秒東経137度37分45秒﻿ / ﻿北緯36.27889度 東経137.62917度﻿ /36.27889; 137.62917","飛騨山脈","","1906年　（阿部郡治）","","","","","","","","","","","","",""
"穂高岳","[91奧穂高岳おくほたかだけ3,190高山市・長野県日本百名山] 穂高岳 （ほたかだけ）は、 中部山岳国立公園  の 飛驒山脈 にある 標高 3,190 m の 山 （奥穂高岳）を主峰とする山々の総称。 日本第3位 の高峰。 日本百名山  、 新日本百名山  及び 花の百名山  に選定されている。これらの山々は 穂高連峰 とも称され、 槍ヶ岳 とともに 槍・穂高連峰 とも称される  。","https://ja.wikipedia.org/wiki/穂高岳","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯36度17分21秒東経137度38分53秒","長野県松本市、岐阜県高山市","3,190m","北緯36度17分21秒東経137度38分53秒﻿ / ﻿北緯36.28917度 東経137.64806度﻿ /36.28917; 137.64806座標:北緯36度17分21秒東経137度38分53秒﻿ / ﻿北緯36.28917度 東経137.64806度﻿ /36.28917; 137.64806","飛驒山脈","","1906年(阿部郡治)","","","","","","","","","","","","",""
"穂高岳","[92北穂高岳きたほたかだけ3,106高山市・長野県] 穂高岳 （ほたかだけ）は、 中部山岳国立公園  の 飛驒山脈 にある 標高 3,190 m の 山 （奥穂高岳）を主峰とする山々の総称。 日本第3位 の高峰。 日本百名山  、 新日本百名山  及び 花の百名山  に選定されている。これらの山々は 穂高連峰 とも称され、 槍ヶ岳 とともに 槍・穂高連峰 とも称される  。","https://ja.wikipedia.org/wiki/穂高岳","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯36度17分21秒東経137度38分53秒","長野県松本市、岐阜県高山市","3,190m","北緯36度17分21秒東経137度38分53秒﻿ / ﻿北緯36.28917度 東経137.64806度﻿ /36.28917; 137.64806座標:北緯36度17分21秒東経137度38分53秒﻿ / ﻿北緯36.28917度 東経137.64806度﻿ /36.28917; 137.64806","飛驒山脈","","1906年(阿部郡治)","","","","","","","","","","","","",""
"槍ヶ岳","[93槍ヶ岳やりがだけ3,180高山市・長野県日本百名山] 槍ヶ岳 （やりがたけ）は、 飛騨山脈 南部にある 標高 3,180 m の 山 である。山域は 中部山岳国立公園 に指定されており  、 日本で5番目に高い山 である。 長野県 松本市 ・ 大町市 ・ 岐阜県 高山市 の境界にある。初登攀は 僧 の 播隆上人 。 日本百名山  、 新日本百名山  及び 花の百名山  に選定されている。通称「槍」。","https://ja.wikipedia.org/wiki/槍ヶ岳","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯36度20分31秒東経137度38分51秒","日本長野県松本市、大町市岐阜県高山市","3,180m","北緯36度20分31秒東経137度38分51秒﻿ / ﻿北緯36.34194度 東経137.64750度﻿ /36.34194; 137.64750座標:北緯36度20分31秒東経137度38分51秒﻿ / ﻿北緯36.34194度 東経137.64750度﻿ /36.34194; 137.64750","飛騨山脈","氷食尖峰","1828年7月20日 (旧暦)（播隆上人）","","","","","","","","","","","","",""
"奥丸山","[94奥丸山おくまるやま2,439.46　三等犬公望高山市] 奥丸山 (おくまるやま) は、 中部山岳国立公園 内の 飛騨山脈 (北アルプス) にある 標高 2,439 m の 山 。","https://ja.wikipedia.org/wiki/奥丸山","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯36度19分26秒東経137度37分10秒","岐阜県高山市","2,439.46m","北緯36度19分26秒東経137度37分10秒﻿ / ﻿北緯36.32389度 東経137.61944度﻿ /36.32389; 137.61944","飛騨山脈","","","","","","","","","","","","","","",""
"笠ヶ岳","[95笠ヶ岳かさがだけ2,897.48　二等笠ケ岳高山市日本百名山] 笠ヶ岳 （かさがたけ）は、 岐阜県 高山市 にある 飛騨山脈 の 標高 2,898 m の 山 である   。 中部山岳国立公園 内にあり  、 日本百名山  及び 新・花の百名山  に選定されている。","https://ja.wikipedia.org/wiki/笠ヶ岳","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯36度18分56秒東経137度33分01秒","日本岐阜県高山市","2,897.48m","北緯36度18分56秒東経137度33分01秒﻿ / ﻿北緯36.31556度 東経137.55028度﻿ /36.31556; 137.55028座標:北緯36度18分56秒東経137度33分01秒﻿ / ﻿北緯36.31556度 東経137.55028度﻿ /36.31556; 137.55028","飛騨山脈","氷食尖峰","1683年（円空開山）","","","","","","","","","","","","",""
"双六岳","[96双六岳すごろくだけ2,860.29　二等中俣岳高山市・長野県] 双六岳 （すごろくだけ）は、 長野県 大町市 と 岐阜県 高山市 にまたがる 飛騨山脈 の 裏銀座 の主稜線に位置する 標高 2,860 m の 山 である。双六岳を含む飛騨山脈の主な山域は 1934年 （ 昭和 9年）12月4日に 中部山岳国立公園 の指定を受けている   。 花の百名山  、 ぎふ百山  、新高山市100景  の一つに選定されている。","https://ja.wikipedia.org/wiki/双六岳","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯36度22分19秒東経137度35分14秒","日本長野県大町市、岐阜県高山市","2,860.29m","北緯36度22分19秒東経137度35分14秒﻿ / ﻿北緯36.37194度 東経137.58722度﻿ /36.37194; 137.58722座標:北緯36度22分19秒東経137度35分14秒﻿ / ﻿北緯36.37194度 東経137.58722度﻿ /36.37194; 137.58722","飛騨山脈","","","","","","","","","","","","","","",""
"三俣蓮華岳","[97三俣蓮華岳みつまたれんげだけ2,841.23　三等三ツ又高山市・長野県・富山県日本三百名山] 三俣蓮華岳 （みつまたれんげだけ）は 飛騨山脈 にある 標高 2,841 m の 山 。古くは 立山 七十二峰の1つに数えられてきた。山域は 中部山岳国立公園 に指定されている  。 日本三百名山 に選定されている  。","https://ja.wikipedia.org/wiki/三俣蓮華岳","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯36度23分24秒東経137度35分16秒","日本富山県富山市長野県大町市岐阜県高山市","2,841.37m","北緯36度23分24秒東経137度35分16秒﻿ / ﻿北緯36.39000度 東経137.58778度﻿ /36.39000; 137.58778座標:北緯36度23分24秒東経137度35分16秒﻿ / ﻿北緯36.39000度 東経137.58778度﻿ /36.39000; 137.58778","飛騨山脈（立山連峰、後立山連峰、穂高連峰）","","","","","","","","","","","","","","",""
"黒部五郎岳","[98黒部五郎岳くろべごろうだけ2,839.58　三等黒部高山市・富山県日本百名山] 黒部五郎岳 （くろべごろうだけ）は、 富山県 富山市 、 岐阜県 飛騨市 及び 高山市 にまたがる 飛騨山脈 の 標高 2,840 m の 山 である。別名、 中ノ俣岳 （なかのまただけ）、鍋岳。黒部五郎岳は 富山県 側、中ノ俣岳は 岐阜県 側の古来の名称。 日本百名山  及び 花の百名山  に選定されている。山域は 中部山岳国立公園 に指定されている  。","https://ja.wikipedia.org/wiki/黒部五郎岳","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯36度23分33秒東経137度32分24秒","日本富山県富山市岐阜県高山市・飛騨市","2,839.58m","北緯36度23分33秒東経137度32分24秒﻿ / ﻿北緯36.39250度 東経137.54000度﻿ /36.39250; 137.54000座標:北緯36度23分33秒東経137度32分24秒﻿ / ﻿北緯36.39250度 東経137.54000度﻿ /36.39250; 137.54000","飛騨山脈（立山連峰）","","","","","","","","","","","","","","",""
"北ノ俣岳","[99北ノ俣岳きたのまただけ2,662（三等）飛騨市・富山県] 北ノ俣岳 （きたのまただけ）は、 富山市 と 飛騨市 にまたがる 飛騨山脈 の 標高 2,662 m の 山 である。別名は、 上ノ岳 （かみのだけ）。","https://ja.wikipedia.org/wiki/北ノ俣岳","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯36度25分16秒東経137度30分44秒","日本富山県富山市岐阜県飛騨市","2,662m","北緯36度25分16秒東経137度30分44秒﻿ / ﻿北緯36.42111度 東経137.51222度﻿ /36.42111; 137.51222座標:北緯36度25分16秒東経137度30分44秒﻿ / ﻿北緯36.42111度 東経137.51222度﻿ /36.42111; 137.51222","飛騨山脈（立山連峰）","","","","","","","","","","","","","","",""
