"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","位置","所属事業者","所属路線","キロ程","電報略号","駅構造","ホーム","乗車人員,-統計年度-","開業年月日","備考","乗降人員,-統計年度-","駅番号","乗降人員,-統計年次-","乗換","乗車人員,-統計年次-","標高","Hidden","Hidden","Hidden","Hidden"
"石岡駅","石岡駅（いしおかえき）","https://ja.wikipedia.org/wiki/石岡駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","茨城県石岡市国府一丁目1-17北緯36度11分27.64秒東経140度16分47.86秒座標:北緯36度11分27.64秒 東経140度16分47.86秒","","東日本旅客鉄道（JR東日本）","■常磐線","80.0 km（日暮里起点）","イシ","橋上駅","2面3線","5,591人/日（降車客含まず）-2019年-","1895年（明治28年）11月4日","直営駅（管理駅）みどりの窓口有","","","","","","","","",""
"石蟹駅","石蟹駅（いしがえき）","https://ja.wikipedia.org/wiki/石蟹駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","岡山県新見市石蟹90-7北緯34度57分16.53秒東経133度28分45.93秒﻿ / ﻿北緯34.9545917度 東経133.4794250度﻿ /34.9545917; 133.4794250﻿ (石蟹駅)","","西日本旅客鉄道（JR西日本）","V伯備線","59.7km（倉敷起点）岡山から75.6 km","イシ","地上駅","2面3線","103人/日（降車客含まず）-2019年-","1928年（昭和3年）10月25日","簡易委託駅","","JR-V17","","","","","","",""
"石垣駅","石垣駅（いしかきえき）","https://ja.wikipedia.org/wiki/石垣駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","鹿児島県南九州市頴娃町別府3836北緯31度15分33.13秒東経130度26分42.25秒","","九州旅客鉄道（JR九州）","指宿枕崎線","72.8 km（鹿児島中央起点）","イシ","地上駅","1面1線","19人/日（降車客含まず）-2015年-","1963年（昭和38年）10月31日","無人駅","40人/日-2015年-","","","","","","","",""
"石上駅","石上駅（いしがみえき）","https://ja.wikipedia.org/wiki/石上駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","神奈川県藤沢市鵠沼橘一丁目9-3北緯35度19分56.3秒東経139度29分8秒﻿ / ﻿北緯35.332306度 東経139.48556度﻿ /35.332306; 139.48556﻿ (石上駅)座標:北緯35度19分56.3秒東経139度29分8秒﻿ / ﻿北緯35.332306度 東経139.48556度﻿ /35.332306; 139.48556﻿ (石上駅)","","江ノ島電鉄","江ノ島電鉄線","0.6 km（藤沢起点）","","地上駅","1面1線","","1920年（大正9年）9月1日","無人駅（自動券売機 有）","739人/日-2019年-","EN02","","","","","","",""
"石神前駅","石神前駅（いしがみまええき）","https://ja.wikipedia.org/wiki/石神前駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","東京都青梅市二俣尾一丁目北緯35度47分48.3秒東経139度13分30.3秒座標:北緯35度47分48.3秒 東経139度13分30.3秒","","東日本旅客鉄道（JR東日本）","■青梅線（東京アドベンチャーライン）","22.4 km（立川起点）","シマ←イシマ","地上駅","1面1線[1]","301人/日（降車客含まず）-2010年-","1928年（昭和3年）10月13日[1]","無人駅[1]（乗車駅証明書発行機 有）","","JC65","","","","","","",""
"石狩当別駅","石狩当別駅（いしかりとうべつえき）","https://ja.wikipedia.org/wiki/石狩当別駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","北海道石狩郡当別町錦町55-9北緯43度13分20.39秒東経141度30分52.55秒座標:北緯43度13分20.39秒 東経141度30分52.55秒","","北海道旅客鉄道（JR北海道）","■札沼線（学園都市線）","25.9 km（桑園起点）","タウ","地上駅（橋上駅）","2面3線","2,340人/日（降車客含まず）-2009年-","1934年（昭和9年）11月20日[1]","直営駅（管理駅）みどりの窓口有","","○G13","","","","","","",""
"石狩沼田駅","石狩沼田駅（いしかりぬまたえき）","https://ja.wikipedia.org/wiki/石狩沼田駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","北海道雨竜郡沼田町北1条3丁目北緯43度48分36.18秒東経141度56分3.22秒","","北海道旅客鉄道（JR北海道）","留萌本線","14.4 km（深川起点）","マタ","地上駅","1面1線","","1910年（明治43年）11月23日","簡易委託駅","168人/日-2018年-","","","","","","","",""
"石狩太美駅","石狩太美駅（いしかりふとみえき）","https://ja.wikipedia.org/wiki/石狩太美駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","北海道石狩郡当別町太美町北緯43度11分22.96秒東経141度26分55.14秒","","北海道旅客鉄道（JR北海道）","■札沼線（学園都市線）","19.3 km（桑園起点）","リミ","地上駅","2面2線","942人/日（降車客含まず）-2014年-","1934年（昭和9年）11月20日","無人駅","","○G12","","","","","","",""
"石川駅 (JR東日本)","石川駅 (JR東日本)（いしかわえき・東日本旅客鉄道奥羽本線）","https://ja.wikipedia.org/wiki/石川駅_(JR東日本)","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","青森県弘前市大字石川字野崎[1]25-2北緯40度33分19.92秒東経140度31分52.41秒座標:北緯40度33分19.92秒 東経140度31分52.41秒","","東日本旅客鉄道（JR東日本）","■奥羽本線","440.7 km（福島起点）","イシ","地上駅","2面3線[1]","","1916年（大正5年）7月7日[1]","無人駅（自動券売機 有）[1]","","","","","","","","",""
"石川駅 (弘南鉄道)","石川駅 (弘南鉄道)（いしかわえき・弘南鉄道大鰐線）","https://ja.wikipedia.org/wiki/石川駅_(弘南鉄道)","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","青森県弘前市大字石川字大仏下33-2北緯40度33分4.01秒東経140度32分27.92秒﻿ / ﻿北緯40.5511139度 東経140.5410889度﻿ /40.5511139; 140.5410889座標:北緯40度33分4.01秒東経140度32分27.92秒﻿ / ﻿北緯40.5511139度 東経140.5410889度﻿ /40.5511139; 140.5410889","","弘南鉄道","大鰐線","4.4 km（大鰐起点）","","地上駅","1面2線","","1952年（昭和27年）1月26日","無人駅新石川駅として開業","141人/日-2015年-","KW 10","","","","","","",""
"石川台駅","石川台駅（いしかわだいえき）","https://ja.wikipedia.org/wiki/石川台駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","東京都大田区東雪谷二丁目23番1号北緯35度35分49秒東経139度41分7秒﻿ / ﻿北緯35.59694度 東経139.68528度﻿ /35.59694; 139.68528座標:北緯35度35分49秒東経139度41分7秒﻿ / ﻿北緯35.59694度 東経139.68528度﻿ /35.59694; 139.68528","","東急電鉄","■池上線","4.9 km（五反田起点）","","地上駅","2面2線","","1927年（昭和2年）8月28日","","15,474人/日-2019年-","IK08","","","","","","",""
"石川町駅","石川町駅（いしかわちょうえき）","https://ja.wikipedia.org/wiki/石川町駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","横浜市中区石川町二丁目72北緯35度26分17.7秒東経139度38分35.3秒﻿ / ﻿北緯35.438250度 東経139.643139度﻿ /35.438250; 139.643139﻿ (石川町駅)","","東日本旅客鉄道（JR東日本）","■根岸線","3.8km（横浜起点）大宮から62.9km八王子から48.2 km","イシ","高架駅","2面2線","31,994人/日（降車客含まず）-2019年-","1964年（昭和39年）5月19日","業務委託駅[1]みどりの窓口有横浜市内駅","","JK09","","","","","","",""
"石川プール前駅","石川プール前駅（いしかわぷーるまええき）","https://ja.wikipedia.org/wiki/石川プール前駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","青森県弘前市大字小金崎字村元60-5北緯40度32分35.57秒東経140度33分1.11秒﻿ / ﻿北緯40.5432139度 東経140.5503083度﻿ /40.5432139; 140.5503083座標:北緯40度32分35.57秒東経140度33分1.11秒﻿ / ﻿北緯40.5432139度 東経140.5503083度﻿ /40.5432139; 140.5503083","","弘南鉄道","大鰐線","3.0 km（大鰐起点）","","地上駅","1面1線","","2002年（平成14年）10月1日","無人駅","44人/日-2017年-","KW 11","","","","","","",""
"石切駅","石切駅（いしきりえき）","https://ja.wikipedia.org/wiki/石切駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","大阪府東大阪市上石切町二丁目1-6北緯34度41分7.12秒東経135度39分20.07秒﻿ / ﻿北緯34.6853111度 東経135.6555750度﻿ /34.6853111; 135.6555750座標:北緯34度41分7.12秒東経135度39分20.07秒﻿ / ﻿北緯34.6853111度 東経135.6555750度﻿ /34.6853111; 135.6555750","","近畿日本鉄道（近鉄）","A奈良線","10.1km（布施起点）大阪難波から16.2 km","イシ","地上駅（一部橋上駅）","2面4線","","1914年（大正3年）4月30日","","8,887人/日-2018年-"," A16 ","","","","","","",""
"石倉駅","石倉駅（いしくらえき）","https://ja.wikipedia.org/wiki/石倉駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","北海道茅部郡森町石倉町北緯42度10分22.2秒東経140度27分30.5秒﻿ / ﻿北緯42.172833度 東経140.458472度﻿ /42.172833; 140.458472﻿ (石倉駅)","","北海道旅客鉄道（JR北海道）","■函館本線","62.1 km（函館起点）","イシ","地上駅","2面3線","","1903年（明治36年）11月3日","無人駅","","○H58","","","","","","",""
"石下駅","石下駅（いしげえき）","https://ja.wikipedia.org/wiki/石下駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","茨城県常総市新石下376-1北緯36度7分2.02秒東経139度58分26.88秒﻿ / ﻿北緯36.1172278度 東経139.9741333度﻿ /36.1172278; 139.9741333﻿ (石下駅)座標:北緯36度7分2.02秒東経139度58分26.88秒﻿ / ﻿北緯36.1172278度 東経139.9741333度﻿ /36.1172278; 139.9741333﻿ (石下駅)","","関東鉄道","■常総線","28.8 km（取手起点）","","地上駅","2面2線","","1913年（大正2年）11月1日[2]","快速停車駅","761人/日-2019年[1]-","","","","","","","",""
"石越駅","石越駅（いしこしえき）","https://ja.wikipedia.org/wiki/石越駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","","","東日本旅客鉄道（JR東日本）","■東北本線","423.5 km（東京起点）","コシ","地上駅","2面3線[1]","302人/日（降車客含まず）-2019年-","1890年（明治23年）4月16日[1]","業務委託駅みどりの窓口有","","","","","","","","",""
"石才駅","石才駅（いしざいえき）","https://ja.wikipedia.org/wiki/石才駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","大阪府貝塚市石才31-1北緯34度25分51.06秒東経135度22分4.74秒﻿ / ﻿北緯34.4308500度 東経135.3679833度﻿ /34.4308500; 135.3679833座標:北緯34度25分51.06秒東経135度22分4.74秒﻿ / ﻿北緯34.4308500度 東経135.3679833度﻿ /34.4308500; 135.3679833","","水間鉄道","水間線","2.0 km（貝塚起点）","","地上駅","単式 1面1線","","1925年（大正14年）12月24日","無人駅","","","432人/日-2019年-","","","","","",""
"石地駅","石地駅（いしじえき）","https://ja.wikipedia.org/wiki/石地駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","新潟県柏崎市西山町別山[1]2196-1北緯37度29分2.9秒東経138度41分17.8秒座標:北緯37度29分2.9秒 東経138度41分17.8秒","","東日本旅客鉄道（JR東日本）","■越後線","18.7 km（柏崎起点）","イシ","地上駅","1面1線[1]","","1912年（大正元年）11月11日[1]","無人駅[1]","","","","","","","","",""
"石田駅 (京都府)","石田駅 (京都府)（いしだえき・京都市交通局東西線）","https://ja.wikipedia.org/wiki/石田駅_(京都府)","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","京都市伏見区石田森東町北緯34度56分26.05秒東経135度48分14.38秒﻿ / ﻿北緯34.9405694度 東経135.8039944度﻿ /34.9405694; 135.8039944座標:北緯34度56分26.05秒東経135度48分14.38秒﻿ / ﻿北緯34.9405694度 東経135.8039944度﻿ /34.9405694; 135.8039944","","京都市交通局（京都市営地下鉄）","東西線","1.1 km（六地蔵起点）","","地下駅","1面2線","","2004年（平成16年）11月26日","","6,998人/日-2019年-","●T02","","","","","","",""
"石田駅 (福岡県)","石田駅 (福岡県)（いしだえき・九州旅客鉄道日田彦山線）","https://ja.wikipedia.org/wiki/石田駅_(福岡県)","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","北九州市小倉南区上石田一丁目[1]5-17北緯33度49分55.71秒東経130度53分20.39秒","","九州旅客鉄道（JR九州）","JI日田彦山線","3.3 km（城野起点）","イシ","地上駅","1面2線[1]","410人/日（降車客含まず）-2019年-","1915年（大正4年）4月1日[1]","無人駅北九州市内駅","","JI  05 ","","","","","","",""
"石津駅","石津駅（いしづえき・養老鉄道養老線）","https://ja.wikipedia.org/wiki/石津駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","岐阜県海津市南濃町太田通92北緯35度10分51.72秒東経136度37分39.96秒﻿ / ﻿北緯35.1810333度 東経136.6277667度﻿ /35.1810333; 136.6277667座標:北緯35度10分51.72秒東経136度37分39.96秒﻿ / ﻿北緯35.1810333度 東経136.6277667度﻿ /35.1810333; 136.6277667","","養老鉄道","養老線","14.2 km（桑名起点）","","地上駅","1面1線","","1919年（大正8年）4月27日","無人駅(自動券売機 有)","423[1]人/日-2018年-","","","","","","","",""
"石津停留場","石津停留場（いしづていりゅうじょう・阪堺電気軌道阪堺線）","https://ja.wikipedia.org/wiki/石津停留場","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","堺市西区浜寺石津町中3丁北緯34度33分19.2秒東経135度27分17.66秒﻿ / ﻿北緯34.555333度 東経135.4549056度﻿ /34.555333; 135.4549056座標:北緯34度33分19.2秒東経135度27分17.66秒﻿ / ﻿北緯34.555333度 東経135.4549056度﻿ /34.555333; 135.4549056","","阪堺電気軌道","■阪堺線","12.2km（恵美須町起点）天王寺駅前から12.0 km","","地上駅","相対式 2面2線","","1912年（明治45年）4月1日","",""," HN28 ","","","","","","",""
"石津川駅","石津川駅（いしづがわえき）","https://ja.wikipedia.org/wiki/石津川駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","堺市西区浜寺石津町中3丁15番19号北緯34度33分33.61秒東経135度27分11.13秒﻿ / ﻿北緯34.5593361度 東経135.4530917度﻿ /34.5593361; 135.4530917座標:北緯34度33分33.61秒東経135度27分11.13秒﻿ / ﻿北緯34.5593361度 東経135.4530917度﻿ /34.5593361; 135.4530917","","南海電気鉄道","■南海本線","12.7 km（難波起点）","イシ","高架駅","2面2線","","1919年（大正8年）6月1日","","","NK 13","14,488人/日-2019年-","","","","","",""
"石津北停留場","石津北停留場（いしづきたていりゅうじょう）","https://ja.wikipedia.org/wiki/石津北停留場","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","堺市西区浜寺石津町中1丁北緯34度33分36.4秒東経135度27分31.7秒﻿ / ﻿北緯34.560111度 東経135.458806度﻿ /34.560111; 135.458806﻿ (石津北停留場)座標:北緯34度33分36.4秒東経135度27分31.7秒﻿ / ﻿北緯34.560111度 東経135.458806度﻿ /34.560111; 135.458806﻿ (石津北停留場)","","阪堺電気軌道","■阪堺線","11.6km（恵美須町起点）天王寺駅前から11.4 km","","地上駅","相対式 2面2線","","2015年（平成27年）2月1日","",""," HN27 ","","","","","","",""
"石鎚山駅","石鎚山駅（いしづちやまえき）","https://ja.wikipedia.org/wiki/石鎚山駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","愛媛県西条市西田甲北緯33度53分44.80秒東経133度9分26.19秒﻿ / ﻿北緯33.8957778度 東経133.1572750度﻿ /33.8957778; 133.1572750座標:北緯33度53分44.80秒東経133度9分26.19秒﻿ / ﻿北緯33.8957778度 東経133.1572750度﻿ /33.8957778; 133.1572750","","四国旅客鉄道（JR四国）","■予讃線","117.8 km（高松起点）","シツ","地上駅","1面2線","","1929年（昭和4年）7月2日","簡易委託駅（駅舎外発券）","90[1]人/日-2019年-","○Y32","","","","","","",""
"石手川公園駅","石手川公園駅（いしてがわこうえんえき）","https://ja.wikipedia.org/wiki/石手川公園駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","愛媛県松山市立花4丁目北緯33度49分51.97秒東経132度46分10.06秒﻿ / ﻿北緯33.8311028度 東経132.7694611度﻿ /33.8311028; 132.7694611﻿ (石手川公園駅)","","伊予鉄道","横河原線","0.8 km（松山市起点）","","橋梁上駅","1面1線","","1972年6月14日","無人駅","481[1]人/日-2019年-","●IY11","","","","","","",""
"石鳥谷駅","石鳥谷駅（いしどりやえき）","https://ja.wikipedia.org/wiki/石鳥谷駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","","","東日本旅客鉄道（JR東日本）","■東北本線","511.4 km（東京起点）","イリ","地上駅","2面2線[1]","1,050人/日（降車客含まず）-2019年-","1893年（明治26年）2月15日[1]","業務委託駅みどりの窓口有[1]","","","","","","","","",""
"石巻駅","石巻駅（いしのまきえき）","https://ja.wikipedia.org/wiki/石巻駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","宮城県石巻市鋳銭場9-1北緯38度26分6.65秒東経141度18分13.49秒座標:北緯38度26分6.65秒 東経141度18分13.49秒","","東日本旅客鉄道（JR東日本）","■石巻線","27.9 km（小牛田起点）","イキ","地上駅","2面5線","3,222人/日（降車客含まず）-2019年-","1912年（大正元年）10月28日","直営駅（管理駅）みどりの窓口有","","","","","","","","",""
"石巻あゆみ野駅","石巻あゆみ野駅（いしのまきあゆみのえき）","https://ja.wikipedia.org/wiki/石巻あゆみ野駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","宮城県石巻市門脇字青葉西北緯38度26分10秒東経141度15分34秒﻿ / ﻿北緯38.43611度 東経141.25944度﻿ /38.43611; 141.25944﻿ (石巻あゆみ野駅)座標:北緯38度26分10秒東経141度15分34秒﻿ / ﻿北緯38.43611度 東経141.25944度﻿ /38.43611; 141.25944﻿ (石巻あゆみ野駅)","","東日本旅客鉄道（JR東日本）","■仙石線（■■仙石東北ライン含む）","45.2km（あおば通起点）仙台から塩釜・矢本経由で43.4 km","イア","地上駅","1面1線","","2016年（平成28年）3月26日","無人駅（乗車駅証明書発行機 有）","","","","","","","","",""
"石巻港駅","石巻港駅（いしのまきこうえき）","https://ja.wikipedia.org/wiki/石巻港駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","宮城県石巻市南光町2丁目222北緯38度25分13.43秒東経141度17分11.91秒﻿ / ﻿北緯38.4203972度 東経141.2866417度﻿ /38.4203972; 141.2866417座標:北緯38度25分13.43秒東経141度17分11.91秒﻿ / ﻿北緯38.4203972度 東経141.2866417度﻿ /38.4203972; 141.2866417","","日本貨物鉄道（JR貨物）","仙石線（貨物支線）","1.8 km（陸前山下起点）","カマ（1950年）","地上駅","","","1939年（昭和14年）11月7日","貨物専用駅","","","","","","","","",""
"石場駅","石場駅（いしばえき）","https://ja.wikipedia.org/wiki/石場駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","滋賀県大津市松本二丁目15-6北緯35度0分17.96秒東経135度52分31.39秒﻿ / ﻿北緯35.0049889度 東経135.8753861度﻿ /35.0049889; 135.8753861座標:北緯35度0分17.96秒東経135度52分31.39秒﻿ / ﻿北緯35.0049889度 東経135.8753861度﻿ /35.0049889; 135.8753861","","京阪電気鉄道","▼石山坂本線","5.5 km（石山寺起点）","","地上駅","2面2線","1,767人/日（降車客含まず）-2017年-","1913年（大正2年）3月1日","","3,488人/日-2017年-","OT  10","","","","","","",""
"石橋駅 (栃木県)","石橋駅 (栃木県)（いしばしえき・東日本旅客鉄道東北本線）","https://ja.wikipedia.org/wiki/石橋駅_(栃木県)","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","栃木県下野市石橋240北緯36度26分11.33秒東経139度51分59.64秒﻿ / ﻿北緯36.4364806度 東経139.8665667度﻿ /36.4364806; 139.8665667座標:北緯36度26分11.33秒東経139度51分59.64秒﻿ / ﻿北緯36.4364806度 東経139.8665667度﻿ /36.4364806; 139.8665667","","東日本旅客鉄道（JR東日本）","■東北本線（宇都宮線）","95.4km（東京起点）東京から尾久経由で95.6 km","シハ","地上駅（橋上駅）","2面2線","4,860人/日（降車客含まず）-2019年-","1885年（明治18年）7月16日","業務委託駅","","","","","","","","",""
"石橋停留場","石橋停留場（いしばしていりゅうじょう・長崎電気軌道大浦支線）","https://ja.wikipedia.org/wiki/石橋停留場","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","長崎県長崎市大浦町9番23号先北緯32度44分3.65秒東経129度52分20.59秒﻿ / ﻿北緯32.7343472度 東経129.8723861度﻿ /32.7343472; 129.8723861﻿ (石橋停留場)","","長崎電気軌道","大浦支線（■5号系統）","1.1 km（新地中華街起点）","","地上駅","2面1線","","1917年（大正6年）6月4日*","* 1916年12月に仮終点として設置。","2,000人/日-2015年-","51","","","","","","",""
"石橋阪大前駅","石橋阪大前駅（いしばしはんだいまええき）","https://ja.wikipedia.org/wiki/石橋阪大前駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","大阪府池田市石橋二丁目18番1号[1]北緯34度48分29.36秒東経135度26分43.64秒﻿ / ﻿北緯34.8081556度 東経135.4454556度﻿ /34.8081556; 135.4454556座標:北緯34度48分29.36秒東経135度26分43.64秒﻿ / ﻿北緯34.8081556度 東経135.4454556度﻿ /34.8081556; 135.4454556","","阪急電鉄","■宝塚本線","13.5 km（大阪梅田起点）","","地上駅","3面5線","","1910年（明治43年）3月10日","* 2019年（令和元年）10月1日に石橋駅から改称。","（特定日）49,223人/日-2017年-","○HK-48","（通年平均）53,630人/日-2017年-","","","","","",""
"石浜駅","石浜駅（いしはまえき）","https://ja.wikipedia.org/wiki/石浜駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","","","東海旅客鉄道（JR東海）","CE武豊線","4.6 km（大府起点）","イシ","地上駅","2面2線","1,239人/日（降車客含まず）-2019年-","1957年（昭和32年）4月15日","駅員無配置駅","","CE  03 ","","","","","","",""
"石原町駅","石原町駅（いしはらまちえき）","https://ja.wikipedia.org/wiki/石原町駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","北九州市小倉南区大字新道寺[2]372-2北緯33度47分6.20秒東経130度51分57.38秒","","九州旅客鉄道（JR九州）[1]","JI日田彦山線[1]","9.0 km（城野起点）","ラマ","地上駅","2面3線[2]","190人/日（降車客含まず）-2016年-","1915年（大正4年）4月1日[3]","無人駅[1]北九州市内駅","361人/日-2016年-","JI  08 ","","","","","","",""
"石部駅","石部駅（いしべえき）","https://ja.wikipedia.org/wiki/石部駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","滋賀県湖南市石部西三丁目5-35北緯35度1分3.59秒東経136度3分10.76秒﻿ / ﻿北緯35.0176639度 東経136.0529889度﻿ /35.0176639; 136.0529889座標:北緯35度1分3.59秒東経136度3分10.76秒﻿ / ﻿北緯35.0176639度 東経136.0529889度﻿ /35.0176639; 136.0529889","","西日本旅客鉄道（JR西日本）","C草津線","27.6 km（柘植起点）","イシ","地上駅","2面2線","1,871人/日（降車客含まず）-2019年-","1889年（明治22年）12月15日","業務委託駅","","","","","","","","",""
"石仏駅","石仏駅（いしぼとけえき）","https://ja.wikipedia.org/wiki/石仏駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","愛知県岩倉市石仏町中屋敷662番地北緯35度17分46.2秒東経136度52分16.45秒﻿ / ﻿北緯35.296167度 東経136.8712361度﻿ /35.296167; 136.8712361座標:北緯35度17分46.2秒東経136度52分16.45秒﻿ / ﻿北緯35.296167度 東経136.8712361度﻿ /35.296167; 136.8712361","","名古屋鉄道","犬山線","11.8 km（枇杷島分岐点起点）","","地上駅","2面2線","","1912年（大正元年）8月6日","無人駅（駅集中管理システム導入駅）","4,055人/日-2019年-","IY  08 ","","","","","","",""
"石嶺駅","石嶺駅（いしみねえき）","https://ja.wikipedia.org/wiki/石嶺駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","沖縄県那覇市首里石嶺町二丁目90北緯26度13分36.84秒東経127度43分44.04秒﻿ / ﻿北緯26.2269000度 東経127.7289000度﻿ /26.2269000; 127.7289000座標:北緯26度13分36.84秒東経127度43分44.04秒﻿ / ﻿北緯26.2269000度 東経127.7289000度﻿ /26.2269000; 127.7289000","","沖縄都市モノレール","■沖縄都市モノレール線（ゆいレール）","13.8 km（那覇空港起点）","","高架駅","1面2線","839人/日（降車客含まず）-2020年-","2019年（令和元年）10月1日[1][2]","","","16","","","","","","",""
"石谷駅","石谷駅（いしやえき）","https://ja.wikipedia.org/wiki/石谷駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","北海道茅部郡森町本茅部町北緯42度8分7.9秒東経140度30分24秒﻿ / ﻿北緯42.135528度 東経140.50667度﻿ /42.135528; 140.50667﻿ (石谷駅)","","北海道旅客鉄道（JR北海道）","■函館本線","56.1 km（函館起点）","イヤ","地上駅","2面3線","","1930年（昭和5年）3月20日","無人駅","","○H60","","","","","","",""
"石屋川駅","石屋川駅（いしやがわえき）","https://ja.wikipedia.org/wiki/石屋川駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","神戸市東灘区御影石町二丁目23番12号北緯34度42分48.25秒東経135度14分58.9秒﻿ / ﻿北緯34.7134028度 東経135.249694度﻿ /34.7134028; 135.249694﻿ (石屋川駅)座標:北緯34度42分48.25秒東経135度14分58.9秒﻿ / ﻿北緯34.7134028度 東経135.249694度﻿ /34.7134028; 135.249694﻿ (石屋川駅)","","阪神電気鉄道","本線","26.6 km（大阪梅田起点）","","高架駅[1]","1面2線[1]","3,388人/日（降車客含まず）-2019年-","1905年（明治38年）4月12日[1]","","","○HS 26","","","","","","",""
"石山駅","石山駅（いしやまえき）","https://ja.wikipedia.org/wiki/石山駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","滋賀県大津市粟津町3-1北緯34度58分47.78秒東経135度54分0.89秒﻿ / ﻿北緯34.9799389度 東経135.9002472度﻿ /34.9799389; 135.9002472座標:北緯34度58分47.78秒東経135度54分0.89秒﻿ / ﻿北緯34.9799389度 東経135.9002472度﻿ /34.9799389; 135.9002472","","西日本旅客鉄道（JR西日本）日本貨物鉄道（JR貨物）","A東海道本線（琵琶湖線）","499.1km（東京起点）米原から53.2 km","イシ","地上駅（橋上駅）","2面4線","24,103人/日（降車客含まず）-2019年-","1903年（明治36年）4月1日","直営駅みどりの窓口有","","JR-A27","","京阪石山駅（京阪石山坂本線）","","","","",""
