"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","所在地","開業年月日","駅構造","ホーム","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","種類","本社所在地","業種","法人番号","代表者","外部リンク"
"鷺ノ宮駅","鷺ノ宮駅（さぎのみやえき・西武新宿線）","https://ja.wikipedia.org/wiki/鷺ノ宮駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯35度43分21.4秒東経139度38分20.1秒","■新宿線","8.5 km（西武新宿起点）","西武鉄道","東京都中野区鷺宮三丁目15-1北緯35度43分21.4秒東経139度38分20.1秒﻿ / ﻿北緯35.722611度 東経139.638917度﻿ /35.722611; 139.638917座標:北緯35度43分21.4秒東経139度38分20.1秒﻿ / ﻿北緯35.722611度 東経139.638917度﻿ /35.722611; 139.638917","1927年（昭和2年）4月16日","地上駅（橋上駅）","2面3線","","SS09","","","33,147人/日-2019年-","","","","","","",""
"咲花駅","咲花駅（さきはなえき）","https://ja.wikipedia.org/wiki/咲花駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯37度44分6.59秒東経139度17分27.25秒","■磐越西線","155.6 km（郡山起点）","東日本旅客鉄道（JR東日本）","新潟県五泉市佐取[1]北緯37度44分6.59秒東経139度17分27.25秒座標:北緯37度44分6.59秒 東経139度17分27.25秒","1961年（昭和36年）11月1日[1]","地上駅","1面1線[2]","無人駅[2]（自動券売機 有）","","サナ","","","","","","","","",""
"崎守駅","崎守駅（さきもりえき）","https://ja.wikipedia.org/wiki/崎守駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯42度22分26.63秒東経140度55分36.49秒","■室蘭本線","67.3 km（長万部起点）","北海道旅客鉄道（JR北海道）","北海道室蘭市崎守町北緯42度22分26.63秒東経140度55分36.49秒","1968年（昭和43年）9月19日","高架駅","2面2線","無人駅","○H34","サモ","","46人/日-2014年-","","","","","","",""
"崎山駅","崎山駅（さきやまえき）","https://ja.wikipedia.org/wiki/崎山駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯33度38分10.44秒東経130度55分4.61秒","■田川線","12.4 km（行橋起点）","■平成筑豊鉄道","福岡県京都郡みやこ町犀川崎山3079-2北緯33度38分10.44秒東経130度55分4.61秒座標:北緯33度38分10.44秒 東経130度55分4.61秒","1954年（昭和29年）4月20日","地上駅","2面2線","無人駅","HC23","サヤ","","","","","","","","",""
"左京山駅","左京山駅（さきょうやまえき）","https://ja.wikipedia.org/wiki/左京山駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯35度4分14.3秒東経136度57分36秒","名古屋本線","53.8 km（豊橋起点）","名古屋鉄道","名古屋市緑区左京山405北緯35度4分14.3秒東経136度57分36秒﻿ / ﻿北緯35.070639度 東経136.96000度﻿ /35.070639; 136.96000座標:北緯35度4分14.3秒東経136度57分36秒﻿ / ﻿北緯35.070639度 東経136.96000度﻿ /35.070639; 136.96000","1942年（昭和17年）6月10日","地上駅","2面2線","無人駅","NH  26 ","","","4,753人/日-2019年[1]-","","","","","","",""
"佐久駅","佐久駅（さくえき）","https://ja.wikipedia.org/wiki/佐久駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯44度44分38.4秒東経142度2分54.5秒","■宗谷本線","153.6 km（旭川起点）","北海道旅客鉄道（JR北海道）","北海道中川郡中川町字佐久北緯44度44分38.4秒東経142度2分54.5秒","1922年（大正11年）11月8日","地上駅","2面2線","無人駅","○W63","サク","","4人/日-2012年-","","","","","","",""
"佐久海ノ口駅","佐久海ノ口駅（さくうみのくちえき）","https://ja.wikipedia.org/wiki/佐久海ノ口駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯36度1分16.46秒東経138度29分26.92秒","■小海線","39.7 km（小淵沢起点）","東日本旅客鉄道（JR東日本）","長野県南佐久郡南牧村大字海ノ口[1]北緯36度1分16.46秒東経138度29分26.92秒﻿ / ﻿北緯36.0212389度 東経138.4908111度﻿ /36.0212389; 138.4908111座標:北緯36度1分16.46秒東経138度29分26.92秒﻿ / ﻿北緯36.0212389度 東経138.4908111度﻿ /36.0212389; 138.4908111","1932年（昭和7年）12月27日[1]","地上駅","1面1線","無人駅[1]標高：1,064 m[2][注 1]","","サウ[1]","79人/日（降車客含まず）-2011年-","","","","","","","",""
"作草部駅","作草部駅（さくさべえき）","https://ja.wikipedia.org/wiki/作草部駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯35度37分32.7秒東経140度6分54.8秒","■2号線","1.8 km（千葉起点）","千葉都市モノレール","千葉市稲毛区作草部二丁目1-19北緯35度37分32.7秒東経140度6分54.8秒座標:北緯35度37分32.7秒 東経140度6分54.8秒","1991年（平成3年）6月12日[1]","高架駅","相対式 2面2線","無人駅","CM05","","2,035人/日（降車客含まず）-2018年-","","","","","","","",""
"佐久平駅","佐久平駅（さくだいらえき）","https://ja.wikipedia.org/wiki/佐久平駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯36度16分40.67秒東経138度27分51.26秒","北陸新幹線","59.4 km（高崎起点）東京から164.4 km","東日本旅客鉄道（JR東日本）","長野県佐久市佐久平駅東1-1北緯36度16分40.67秒東経138度27分51.26秒﻿ / ﻿北緯36.2779639度 東経138.4642389度﻿ /36.2779639; 138.4642389座標:北緯36度16分40.67秒東経138度27分51.26秒﻿ / ﻿北緯36.2779639度 東経138.4642389度﻿ /36.2779639; 138.4642389","1997年（平成9年）10月1日","地上駅（橋上駅）（新幹線）高架駅（在来線）","2面2線（新幹線）1面1線（在来線）","直営駅（管理駅）みどりの窓口有標高：701.0m","","サク","3,086人/日（降車客含まず）-2019年-","","","","","","","",""
"作並駅","作並駅（さくなみえき）","https://ja.wikipedia.org/wiki/作並駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯38度19分4.01秒東経140度37分57.51秒","■仙山線","28.7 km（仙台起点）","東日本旅客鉄道（JR東日本）","仙台市青葉区作並字相ノ沢27-2北緯38度19分4.01秒東経140度37分57.51秒座標:北緯38度19分4.01秒 東経140度37分57.51秒","1931年（昭和6年）8月30日[2]","地上駅","2面3線[1]","簡易委託駅仙台市内駅","","サミ","166人/日（降車客含まず）-2019年-","","","","","","","",""
"佐久広瀬駅","佐久広瀬駅（さくひろせえき）","https://ja.wikipedia.org/wiki/佐久広瀬駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯36度0分13.78秒東経138度31分9.57秒","■小海線","34.9 km（小淵沢起点）","東日本旅客鉄道（JR東日本）","長野県南佐久郡南牧村大字広瀬[1]北緯36度0分13.78秒東経138度31分9.57秒﻿ / ﻿北緯36.0038278度 東経138.5193250度﻿ /36.0038278; 138.5193250座標:北緯36度0分13.78秒東経138度31分9.57秒﻿ / ﻿北緯36.0038278度 東経138.5193250度﻿ /36.0038278; 138.5193250","1935年（昭和10年）1月16日[1]","地上駅","1面1線[1]","無人駅[1]標高：1,082 m[2][注 1]","","サセ[1]","30人/日（降車客含まず）-2011年-","","","","","","","",""
"佐久間駅","佐久間駅（さくまえき）","https://ja.wikipedia.org/wiki/佐久間駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯35度5分31.51秒東経137度48分36.53秒","CD飯田線","63.5 km（豊橋起点）","東海旅客鉄道（JR東海）","浜松市天竜区佐久間町佐久間[1]2434北緯35度5分31.51秒東経137度48分36.53秒﻿ / ﻿北緯35.0920861度 東経137.8101472度﻿ /35.0920861; 137.8101472座標:北緯35度5分31.51秒東経137度48分36.53秒﻿ / ﻿北緯35.0920861度 東経137.8101472度﻿ /35.0920861; 137.8101472","1936年（昭和11年）11月10日[1]","地上駅","1面1線[1]","駅員無配置駅","","サク","7人/日（降車客含まず）-2019年-","","","","","","","",""
"佐倉駅","佐倉駅（さくらえき・東日本旅客鉄道総武本線・成田線）","https://ja.wikipedia.org/wiki/佐倉駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯35度42分35秒東経140度13分33.8秒","■総武本線","55.3 km（東京起点）","東日本旅客鉄道（JR東日本）","千葉県佐倉市六崎235-2北緯35度42分35秒東経140度13分33.8秒﻿ / ﻿北緯35.70972度 東経140.226056度﻿ /35.70972; 140.226056﻿ (佐倉駅)","1894年（明治27年）7月20日[2]","地上駅（橋上駅）","2面4線","直営駅（管理駅）みどりの窓口有","JO33[1]","サク","10,098人/日（降車客含まず）-2019年-","","","","","","","",""
"桜駅 (愛知県)","桜駅 (愛知県)（さくらえき・名鉄名古屋本線）","https://ja.wikipedia.org/wiki/桜駅_(愛知県)","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯35度6分23秒東経136度56分4.7秒","名古屋本線","58.9 km（豊橋起点）","名古屋鉄道","名古屋市南区呼続四丁目27-15北緯35度6分23秒東経136度56分4.7秒﻿ / ﻿北緯35.10639度 東経136.934639度﻿ /35.10639; 136.934639座標:北緯35度6分23秒東経136度56分4.7秒﻿ / ﻿北緯35.10639度 東経136.934639度﻿ /35.10639; 136.934639","1917年（大正6年）3月7日[2]","地上駅","2面2線","無人駅（駅集中管理システム導入駅）","NH  30 ","","","4,077人/日-2019年[1]-","","","","","","",""
"桜駅 (三重県)","桜駅 (三重県)（さくらえき・近鉄湯の山線）","https://ja.wikipedia.org/wiki/桜駅_(三重県)","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯34度59分47.78秒東経136度32分30.44秒","K湯の山線","8.7 km（近鉄四日市起点）","近畿日本鉄道（近鉄）","三重県四日市市智積町字武佐412-1北緯34度59分47.78秒東経136度32分30.44秒﻿ / ﻿北緯34.9966056度 東経136.5417889度﻿ /34.9966056; 136.5417889座標:北緯34度59分47.78秒東経136度32分30.44秒﻿ / ﻿北緯34.9966056度 東経136.5417889度﻿ /34.9966056; 136.5417889","1913年（大正2年）6月1日","地上駅","2面2線","*1954年に桜村駅から改称。"," K26 ","サクラ","1,911人/日（降車客含まず）-2019年-","","","","","","","",""
"桜井駅 (愛知県)","桜井駅 (愛知県)（さくらいえき・名鉄西尾線）","https://ja.wikipedia.org/wiki/桜井駅_(愛知県)","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯34度55分4.75秒東経137度5分17.85秒","西尾線","7.9 km（新安城起点）","名古屋鉄道","愛知県安城市桜井町新田19-11北緯34度55分4.75秒東経137度5分17.85秒﻿ / ﻿北緯34.9179861度 東経137.0882917度﻿ /34.9179861; 137.0882917座標:北緯34度55分4.75秒東経137度5分17.85秒﻿ / ﻿北緯34.9179861度 東経137.0882917度﻿ /34.9179861; 137.0882917","1926年（大正15年）7月1日","高架駅","2面2線","*2008年6月29日に碧海桜井駅から改称[1]。特殊勤務駅（駅集中管理システム導入駅）","GN  05 ","","","5,114人/日-2019年-","","","","","","",""
"桜井駅 (奈良県)","桜井駅 (奈良県)（さくらいえき・西日本旅客鉄道桜井線・近鉄大阪線）","https://ja.wikipedia.org/wiki/桜井駅_(奈良県)","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","","","","西日本旅客鉄道（JR西日本・駅詳細）近畿日本鉄道（近鉄・駅詳細）","奈良県桜井市大字桜井","","","","","","","","","","","","","","",""
"桜井駅 (大阪府)","桜井駅 (大阪府)（さくらいえき・阪急箕面線）","https://ja.wikipedia.org/wiki/桜井駅_(大阪府)","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯34度49分0.42秒東経135度27分38.53秒","■箕面線","1.6 km（石橋阪大前起点）大阪梅田から15.1 km","阪急電鉄","大阪府箕面市桜井二丁目2番1号[1]北緯34度49分0.42秒東経135度27分38.53秒﻿ / ﻿北緯34.8167833度 東経135.4607028度﻿ /34.8167833; 135.4607028座標:北緯34度49分0.42秒東経135度27分38.53秒﻿ / ﻿北緯34.8167833度 東経135.4607028度﻿ /34.8167833; 135.4607028","1910年（明治43年）4月12日","地上駅","2面2線","","HK57","","","（特定日）11,343人/日-2019年-","","","","","","",""
"桜岡駅","桜岡駅（さくらおかえき）","https://ja.wikipedia.org/wiki/桜岡駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯43度48分7秒東経142度29分13秒","■石北本線","10.2 km（新旭川起点）","北海道旅客鉄道（JR北海道）","北海道旭川市東旭川町桜岡北緯43度48分7秒東経142度29分13秒","1922年（大正11年）11月4日","地上駅","2面2線","無人駅","○A34","サオ←サヲ","","10人/日-2014年-","","","","","","",""
"桜街道駅","桜街道駅（さくらかいどうえき）","https://ja.wikipedia.org/wiki/桜街道駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯35度44分20.7秒東経139度24分59.8秒","多摩都市モノレール線","0.7 km（上北台起点）","多摩都市モノレール","東京都東大和市上北台三丁目470番地北緯35度44分20.7秒東経139度24分59.8秒﻿ / ﻿北緯35.739083度 東経139.416611度﻿ /35.739083; 139.416611座標:北緯35度44分20.7秒東経139度24分59.8秒﻿ / ﻿北緯35.739083度 東経139.416611度﻿ /35.739083; 139.416611","1998年（平成10年）11月27日[1]","高架駅","2面2線","","TT18","","3,615人/日（降車客含まず）-2019年-","7,063人/日-2019年-","","","","","","",""
"桜ヶ丘駅","桜ヶ丘駅（さくらがおかえき）","https://ja.wikipedia.org/wiki/桜ヶ丘駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯35度27分2秒東経139度27分57秒","江ノ島線","9.8 km（相模大野起点）新宿から42.1 km","小田急電鉄","神奈川県大和市福田5522番地北緯35度27分2秒東経139度27分57秒﻿ / ﻿北緯35.45056度 東経139.46583度﻿ /35.45056; 139.46583座標:北緯35度27分2秒東経139度27分57秒﻿ / ﻿北緯35.45056度 東経139.46583度﻿ /35.45056; 139.46583","1952年（昭和27年）11月25日","地上駅（橋上駅）","2面2線","","OE06","","","20,242人/日-2019年-","","","","","","",""
"桜川駅 (滋賀県)","桜川駅 (滋賀県)（さくらがわえき・近江鉄道本線）","https://ja.wikipedia.org/wiki/桜川駅_(滋賀県)","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯35度3分53.12秒東経136度11分15.41秒","■本線（水口・蒲生野線）","31.2 km（米原起点）","近江鉄道","滋賀県東近江市桜川西町78北緯35度3分53.12秒東経136度11分15.41秒﻿ / ﻿北緯35.0647556度 東経136.1876139度﻿ /35.0647556; 136.1876139座標:北緯35度3分53.12秒東経136度11分15.41秒﻿ / ﻿北緯35.0647556度 東経136.1876139度﻿ /35.0647556; 136.1876139","1900年（明治33年）10月1日","地上駅","相対式2面2線","無人駅","OR29","","135人/日（降車客含まず）-2016年-","","","","","","","",""
"桜川駅 (大阪府)","桜川駅 (大阪府)（さくらがわえき・Osaka Metro千日前線・阪神なんば線）","https://ja.wikipedia.org/wiki/桜川駅_(大阪府)","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","","","","大阪市高速電気軌道（Osaka Metro・駅詳細）阪神電気鉄道（駅詳細）","大阪府大阪市浪速区","","","","","","","","","汐見橋駅（南海汐見橋線）","","","","","",""
"桜木駅 (千葉県)","桜木駅 (千葉県)（さくらぎえき・千葉都市モノレール2号線）","https://ja.wikipedia.org/wiki/桜木駅_(千葉県)","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯35度37分52.5秒東経140度9分39.7秒","■2号線","9.0 km（千葉起点）","千葉都市モノレール","千葉市若葉区桜木七丁目20-1北緯35度37分52.5秒東経140度9分39.7秒座標:北緯35度37分52.5秒 東経140度9分39.7秒","1988年（昭和63年）3月28日[1]","高架駅","相対式、2面2線","無人駅","CM12","","1,820人/日（降車客含まず）-2018年-","","","","","","","",""
"桜木駅 (静岡県)","桜木駅 (静岡県)（さくらぎえき・天竜浜名湖鉄道天竜浜名湖線）","https://ja.wikipedia.org/wiki/桜木駅_(静岡県)","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯34度46分41.79秒東経137度58分22.46秒","天竜浜名湖線*","4.0 km（掛川起点）","天竜浜名湖鉄道","静岡県掛川市富部251-5北緯34度46分41.79秒東経137度58分22.46秒﻿ / ﻿北緯34.7782750度 東経137.9729056度﻿ /34.7782750; 137.9729056座標:北緯34度46分41.79秒東経137度58分22.46秒﻿ / ﻿北緯34.7782750度 東経137.9729056度﻿ /34.7782750; 137.9729056","1935年（昭和10年）4月17日","地上駅","2面2線","*1987年まで国鉄二俣線。","","トサ（転換前）","158人/日（降車客含まず）-2018年-","","","","","","","",""
"桜木町駅","桜木町駅 (JR東日本)（さくらぎちょうえき・東日本旅客鉄道根岸線・横浜市営地下鉄ブルーライン）","https://ja.wikipedia.org/wiki/桜木町駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","","","","東日本旅客鉄道（JR東日本・駅詳細）横浜市交通局（駅詳細）","横浜市中区","","","","","","","","","","","","","","",""
"YOKOHAMA AIR CABIN","桜木町駅 (YOKOHAMA AIR CABIN)（さくらぎちょうえき・泉陽興業YOKOHAMA AIR CABIN）","https://ja.wikipedia.org/wiki/YOKOHAMA_AIR_CABIN","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","","","","","横浜市中区","","","","","","","","","","索道","","","","",""
"桜坂駅","桜坂駅（さくらざかえき）","https://ja.wikipedia.org/wiki/桜坂駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯33度34分38.25秒東経130度23分12.55秒","地下鉄七隈線","9.2 km（橋本起点）","福岡市交通局","福岡市中央区桜坂三丁目[1]北緯33度34分38.25秒東経130度23分12.55秒﻿ / ﻿北緯33.5772917度 東経130.3868194度﻿ /33.5772917; 130.3868194﻿ (桜坂駅)座標:北緯33度34分38.25秒東経130度23分12.55秒﻿ / ﻿北緯33.5772917度 東経130.3868194度﻿ /33.5772917; 130.3868194﻿ (桜坂駅)","2005年（平成17年）2月3日","地下駅","1面2線","業務委託駅","○N12","","1,935人/日（降車客含まず）-2019年-","","","","","","","",""
"桜沢駅 (長野県)","桜沢駅 (長野県)（さくらさわえき・長野電鉄長野線）","https://ja.wikipedia.org/wiki/桜沢駅_(長野県)","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯36度42分45.2秒東経138度20分59.3秒","長野線","21.3 km（長野起点）","長野電鉄","長野県中野市大字三ツ和[1]1497-2北緯36度42分45.2秒東経138度20分59.3秒﻿ / ﻿北緯36.712556度 東経138.349806度﻿ /36.712556; 138.349806座標:北緯36度42分45.2秒東経138度20分59.3秒﻿ / ﻿北緯36.712556度 東経138.349806度﻿ /36.712556; 138.349806","1949年（昭和24年）3月28日[1]","地上駅","1面2線[1]","終日駅員無配置駅[1]","N17","ササ[1]","60人/日（降車客含まず）-2017年-","","","","","","","",""
"桜沢駅 (埼玉県)","桜沢駅 (埼玉県)（さくらざわえき・秩父鉄道秩父本線）","https://ja.wikipedia.org/wiki/桜沢駅_(埼玉県)","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","","■秩父本線","31.9 km（羽生起点）","秩父鉄道","","1989年（平成元年）4月1日","地上駅","1面2線","","","サク","460人/日（降車客含まず）-2019年-","908人/日-2019年-","","","","","","",""
"桜島駅","桜島駅（さくらじまえき）","https://ja.wikipedia.org/wiki/桜島駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯34度39分42.97秒東経135度25分55.8秒","P桜島線（JRゆめ咲線）","4.1 km（西九条起点）","西日本旅客鉄道（JR西日本）","大阪市此花区桜島一丁目2-5北緯34度39分42.97秒東経135度25分55.8秒﻿ / ﻿北緯34.6619361度 東経135.432167度﻿ /34.6619361; 135.432167﻿ (桜島駅)座標:北緯34度39分42.97秒東経135度25分55.8秒﻿ / ﻿北緯34.6619361度 東経135.432167度﻿ /34.6619361; 135.432167﻿ (桜島駅)","1910年（明治43年）4月15日","地上駅","1面2線","業務委託駅みどりの券売機プラス設置駅大阪市内駅","JR-P17","サマ","13,894人/日（降車客含まず）-2019年-","","","","","","","",""
"桜島桟橋通停留場","桜島桟橋通停留場（さくらじまさんばしどおりていりゅうじょう）","https://ja.wikipedia.org/wiki/桜島桟橋通停留場","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯31度36分0.25秒東経130度33分39.58秒","鹿児島市電第一期線（1系統・2系統）","2.8km（武之橋起点）鹿児島駅前から0.2 km","鹿児島市交通局","鹿児島県鹿児島市小川町北緯31度36分0.25秒東経130度33分39.58秒﻿ / ﻿北緯31.6000694度 東経130.5609944度﻿ /31.6000694; 130.5609944﻿ (桜島桟橋通停留場)","1914年12月20日","地上駅","2面2線","","●I02●N02","","","1,265人/日-2015年-","","","","","","",""
"さくら夙川駅","さくら夙川駅（さくらしゅくがわえき）","https://ja.wikipedia.org/wiki/さくら夙川駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯34度44分20.36秒東経135度19分51.76秒","A東海道本線（JR神戸線）","573.3km（東京起点）大阪から16.9 km","西日本旅客鉄道（JR西日本）","兵庫県西宮市神楽町11-28[1]北緯34度44分20.36秒東経135度19分51.76秒﻿ / ﻿北緯34.7389889度 東経135.3310444度﻿ /34.7389889; 135.3310444﻿ (さくら夙川駅)座標:北緯34度44分20.36秒東経135度19分51.76秒﻿ / ﻿北緯34.7389889度 東経135.3310444度﻿ /34.7389889; 135.3310444﻿ (さくら夙川駅)","2007年（平成19年）3月18日[1]","高架駅[1]","1面2線[1]","業務委託駅[1]みどりの窓口有","JR-A53","シク","8,373人/日（降車客含まず）-2019年-","","","","","","","",""
"桜上水駅","桜上水駅（さくらじょうすいえき）","https://ja.wikipedia.org/wiki/桜上水駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯35度40分3.4秒東経139度37分54.6秒","■京王線","7.0 km（新宿起点）","京王電鉄","東京都世田谷区桜上水五丁目29番52号北緯35度40分3.4秒東経139度37分54.6秒﻿ / ﻿北緯35.667611度 東経139.631833度﻿ /35.667611; 139.631833座標:北緯35度40分3.4秒東経139度37分54.6秒﻿ / ﻿北緯35.667611度 東経139.631833度﻿ /35.667611; 139.631833","1926年（大正15年）4月28日","地上駅（橋上駅）","2面4線","","KO08","","","38,001人/日-2019年-","","","","","","",""
"桜新町駅","桜新町駅（さくらしんまちえき）","https://ja.wikipedia.org/wiki/桜新町駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯35度37分54秒東経139度38分41.2秒","■田園都市線","6.3 km（渋谷起点）","東急電鉄","東京都世田谷区桜新町二丁目8番北緯35度37分54秒東経139度38分41.2秒﻿ / ﻿北緯35.63167度 東経139.644778度﻿ /35.63167; 139.644778座標:北緯35度37分54秒東経139度38分41.2秒﻿ / ﻿北緯35.63167度 東経139.644778度﻿ /35.63167; 139.644778","1977年（昭和52年）4月7日[1]","地下駅","2面2線（二層構造）","東急電鉄直営駅駅カラーは「■さくら色」","DT05","","","73,288人/日-2019年-","","","","","","",""
"桜台駅 (東京都)","桜台駅 (東京都)（さくらだいえき・西武池袋線）","https://ja.wikipedia.org/wiki/桜台駅_(東京都)","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯35度44分19.5秒東経139度39分44.7秒","■池袋線（■豊島線直通含む）","5.2 km（池袋起点）","西武鉄道","東京都練馬区桜台一丁目5番1号北緯35度44分19.5秒東経139度39分44.7秒﻿ / ﻿北緯35.738750度 東経139.662417度﻿ /35.738750; 139.662417座標:北緯35度44分19.5秒東経139度39分44.7秒﻿ / ﻿北緯35.738750度 東経139.662417度﻿ /35.738750; 139.662417","1936年（昭和11年）7月10日","高架駅","1面2線","","SI05","","","14,889人/日-2019年-","","","","","","",""
"桜台駅 (福岡県)","桜台駅 (福岡県)（さくらだいえき・西鉄天神大牟田線）","https://ja.wikipedia.org/wiki/桜台駅_(福岡県)","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯33度28分18.2秒東経130度32分31.79秒","■天神大牟田線","19.4 km（西鉄福岡（天神）起点）","西日本鉄道","福岡県筑紫野市桜台2丁目北緯33度28分18.2秒東経130度32分31.79秒﻿ / ﻿北緯33.471722度 東経130.5421639度﻿ /33.471722; 130.5421639座標:北緯33度28分18.2秒東経130度32分31.79秒﻿ / ﻿北緯33.471722度 東経130.5421639度﻿ /33.471722; 130.5421639","1971年（昭和46年）3月1日","地上駅","2面2線","","T  16 ","","","1,950人/日-2019年-","","","","","","",""
"桜田門駅","桜田門駅（さくらだもんえき）","https://ja.wikipedia.org/wiki/桜田門駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯35度40分38.5秒東経139度45分6.3秒","●[1]有楽町線","20.2 km（和光市起点）","東京地下鉄（東京メトロ）","東京都千代田区霞が関二丁目1-1北緯35度40分38.5秒東経139度45分6.3秒﻿ / ﻿北緯35.677361度 東経139.751750度﻿ /35.677361; 139.751750座標:北緯35度40分38.5秒東経139度45分6.3秒﻿ / ﻿北緯35.677361度 東経139.751750度﻿ /35.677361; 139.751750","1974年（昭和49年）10月30日","地下駅","1面2線","","Y17[1]","サタ","","13,456人/日-2019年-","","","","","","",""
