"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","開館","専門分野","事業主体","管理運営","外部リンク","正式名称","延床面積","前身","アクセス","館長","愛称","建物設計","来館者数","収蔵作品数","閉館","公式サイト","研究職員"
"青函連絡船メモリアルシップ八甲田丸","[青函連絡船メモリアルシップ八甲田丸] 青函連絡船メモリアルシップ八甲田丸 （せいかんれんらくせんメモリアルシップはっこうだまる）は、 青森県 青森市 柳川にある 博物館 である。 青函トンネル 開業により 青函連絡船 が廃止になった後、「海の街」青森の記念碑にしようと 1990年 （平成2年）、青函航路の花形だった八甲田丸を、往時に近い状態で海上博物館として利用しつつ、保存している。","https://ja.wikipedia.org/wiki/青函連絡船メモリアルシップ八甲田丸","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯40度49分53.8秒東経140度44分11秒","日本青森県青森市柳川一丁目112番15地先公有水面","北緯40度49分53.8秒東経140度44分11秒﻿ / ﻿北緯40.831611度 東経140.73639度﻿ /40.831611; 140.73639﻿ (青函連絡船メモリアルシップ八甲田丸)座標:北緯40度49分53.8秒東経140度44分11秒﻿ / ﻿北緯40.831611度 東経140.73639度﻿ /40.831611; 140.73639﻿ (青函連絡船メモリアルシップ八甲田丸)","","","青森市","指定管理者：NPO法人あおもりみなとクラブ","","青函連絡船メモリアルシップ八甲田丸","","","","","","","","","","",""
"太宰治記念館 「斜陽館」","[太宰治記念館 「斜陽館」] 太宰治記念館 「斜陽館」 （だざいおさむきねんかん「しゃようかん」）は、 青森県 五所川原市 にある 小説家 太宰治 の生家。現在は、 五所川原市太宰治記念館「斜陽館」 として、五所川原市立の施設となっている  。また、近代和風住宅の代表例として2004年（平成16年）国の 重要文化財 に指定されている。","https://ja.wikipedia.org/wiki/太宰治記念館_「斜陽館」","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯40度54分9.36秒東経140度27分19.41秒","青森県五所川原市金木町朝日山412-1","北緯40度54分9.36秒東経140度27分19.41秒﻿ / ﻿北緯40.9026000度 東経140.4553917度﻿ /40.9026000; 140.4553917","","","","","","","1302.48m2","","","","","","","","","",""
"津軽こけし館","[津軽こけし館] 津軽こけし館 （つがるこけしかん）は、 青森県 黒石市 にある こけし の展示施設である。日本全国のこけしが展示されている。","https://ja.wikipedia.org/wiki/津軽こけし館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯40度36分22.78秒東経140度40分35.48秒","〒036-0412青森県黒石市大字袋字富山72-1","北緯40度36分22.78秒東経140度40分35.48秒﻿ / ﻿北緯40.6063278度 東経140.6765222度﻿ /40.6063278; 140.6765222座標:北緯40度36分22.78秒東経140度40分35.48秒﻿ / ﻿北緯40.6063278度 東経140.6765222度﻿ /40.6063278; 140.6765222","1988年4月15日","","黒石市","","","津軽こけし館","","","","","","","","","","",""
"八戸市縄文学習館","[八戸市縄文学習館] 八戸市縄文学習館 （はちのへしじょうもんがくしゅうかん）とは、 青森県 八戸市 にある歴史施設である。 2011年 7月10日 からは 八戸市埋蔵文化財センター 是川縄文館 の分館となっている。","https://ja.wikipedia.org/wiki/八戸市縄文学習館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","","〒031-0023青森県八戸市大字是川字中居3-1","","1994年6月","歴史（縄文）","八戸市","","","八戸市縄文学習館","","","","","","","","","","",""
"八戸市博物館","[八戸市博物館] 八戸市博物館 （はちのへしはくぶつかん）は、 青森県 八戸市 にある市営 博物館 である。","https://ja.wikipedia.org/wiki/八戸市博物館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯40度30分30.69秒東経141度27分51.85秒","〒039-1166青森県八戸市大字根城字東構35-1","北緯40度30分30.69秒東経141度27分51.85秒﻿ / ﻿北緯40.5085250度 東経141.4644028度﻿ /40.5085250; 141.4644028座標:北緯40度30分30.69秒東経141度27分51.85秒﻿ / ﻿北緯40.5085250度 東経141.4644028度﻿ /40.5085250; 141.4644028","1983年7月","歴史","八戸市","","八戸市博物館","八戸市博物館","","","","","","","","","","",""
"八戸市埋蔵文化財センター 是川縄文館","[八戸市埋蔵文化財センター 是川縄文館] 八戸市埋蔵文化財センター 是川縄文館 （はちのへしまいぞうぶんかざいセンター これかわじょうもんかん）は 青森県 八戸市 是川にあり、 埋蔵文化財 の保存・管理を行う施設である。いわゆる 埋蔵文化財センター の一つ。","https://ja.wikipedia.org/wiki/八戸市埋蔵文化財センター_是川縄文館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯40度28分32秒東経141度29分18.1秒","〒031-0023青森県八戸市大字是川字横山1","北緯40度28分32秒東経141度29分18.1秒﻿ / ﻿北緯40.47556度 東経141.488361度﻿ /40.47556; 141.488361座標:北緯40度28分32秒東経141度29分18.1秒﻿ / ﻿北緯40.47556度 東経141.488361度﻿ /40.47556; 141.488361","2011年7月10日","歴史","八戸市","","","八戸市埋蔵文化財センター","","","","","","","","","","",""
"八戸市水産科学館","[八戸市水産科学館] 八戸市水産科学館マリエント （はちのへしすいさんかがくかんマリエント）は、 青森県 八戸市 にある「 水産 」をテーマとする 科学館 。","https://ja.wikipedia.org/wiki/八戸市水産科学館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯40度32分23秒東経141度33分46秒","〒031-0841青森県八戸市大字鮫町字下松苗場14－33","北緯40度32分23秒東経141度33分46秒﻿ / ﻿北緯40.53972度 東経141.56278度﻿ /40.53972; 141.56278","1989年10月","水産","八戸市","","八戸市水産科学館マリエント","八戸市水産科学館","","","","","マリエント","","","","","",""
"はっち","[はっち] はっち は、 青森県 八戸市 三日町 にある公立の文化観光交流施設。 2011年 2月11日 開業。正式名称は 八戸ポータルミュージアム である。はっちは公募による 愛称 である。施設開館準備の段階では、八戸市中心市街地地域観光交流施設、または正式名称を略したHPMと呼ばれていた。","https://ja.wikipedia.org/wiki/はっち","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯40度30分36秒東経141度29分26秒","〒031-0032青森県八戸市三日町11-1","","","","","","","","6,480 m²","","","","","","","","","",""
"みちのく北方漁船博物館","[みちのく北方漁船博物館] みちのく北方漁船博物館 （みちのくほっぽうぎょせんはくぶつかん）は、 青森県 青森市 沖館にあった博物館。2014年に閉館した。","https://ja.wikipedia.org/wiki/みちのく北方漁船博物館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯40度50分14.2秒東経140度43分30.9秒","〒038-0002青森県青森市沖館2-2-1","北緯40度50分14.2秒東経140度43分30.9秒﻿ / ﻿北緯40.837278度 東経140.725250度﻿ /40.837278; 140.725250","1999年7月21日","和船","","公益財団法人みちのく北方漁船博物館財団","","みちのく北方漁船博物館","3,319.59㎡","","","細川英邦","","","","","2014年3月18日","",""
"みちのく歴史人物資料館","[みちのく歴史人物資料館] みちのく歴史人物資料館 （みちのくれきしじんぶつしりょうかん）は、かつて 青森県 弘前市 松原東にあった資料館である。運営はみちのく文化財団。 2014年 3月に閉館となった。","https://ja.wikipedia.org/wiki/みちのく歴史人物資料館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"むつ科学技術館","[むつ科学技術館] むつ科学技術館 （むつかがくぎじゅつかん）は、 むつ市 北部の 関根浜港 に隣接する 科学館 である。","https://ja.wikipedia.org/wiki/むつ科学技術館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯41度21分51.4008秒東経141度14分6.1512秒","〒035-0022青森県むつ市大字関根字北関根693番地","北緯41度21分51.4008秒東経141度14分6.1512秒﻿ / ﻿北緯41.364278000度 東経141.235042000度﻿ /41.364278000; 141.235042000座標:北緯41度21分51.4008秒東経141度14分6.1512秒﻿ / ﻿北緯41.364278000度 東経141.235042000度﻿ /41.364278000; 141.235042000","1996年（平成8年）7月20日","海洋、 原子力 自然科学","日本原子力研究開発機構","日本海洋科学振興財団","むつ科学技術館","むつ科学技術館","","","","","","","","","","",""
"石と賢治のミュージアム","[石と賢治のミュージアム] 石と賢治のミュージアム （いしとけんじのミュージアム）は 岩手県 一関市 東山町 にある市立の 博物館 である。 1999年 4月3日 オープン。併設されている 旧東北砕石工場 は 宮沢賢治 が勤務した工場で、 1924年 に創業したものである（ 1978年 操業停止）。","https://ja.wikipedia.org/wiki/石と賢治のミュージアム","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯38度58分43秒東経141度14分18秒","日本岩手県一関市東山町松川地内","北緯38度58分43秒東経141度14分18秒﻿ / ﻿北緯38.97861度 東経141.23833度﻿ /38.97861; 141.23833","1999年4月3日","","一関市","一関市","石と賢治のミュージアム","石と賢治のミュージアム","","","JR大船渡線陸中松川駅より徒歩3分","","","","","","","",""
"岩手県立博物館","[岩手県立博物館] 岩手県立博物館 （いわてけんりつはくぶつかん、Iwate Prefectural Museum）は、 岩手県 盛岡市 にある 博物館 。 1980年 に 盛岡県 制百年を記念して開館した。","https://ja.wikipedia.org/wiki/岩手県立博物館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯39度45分19.6秒東経141度9分13.9秒","〒020-0102岩手県盛岡市上田字松屋敷34","北緯39度45分19.6秒東経141度9分13.9秒﻿ / ﻿北緯39.755444度 東経141.153861度﻿ /39.755444; 141.153861座標:北緯39度45分19.6秒東経141度9分13.9秒﻿ / ﻿北緯39.755444度 東経141.153861度﻿ /39.755444; 141.153861","1980年10月","","","岩手県文化振興事業団","www2.pref.iwate.jp/~hp0910/","岩手県立博物館","12,051.56m2","","","","","佐藤武夫設計事務所（現：佐藤総合計画）","","","","",""
"一関市博物館","[一関市博物館] 一関市博物館 （いちのせきしはくぶつかん）は 岩手県 一関市 にある 博物館 。","https://ja.wikipedia.org/wiki/一関市博物館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯38度56分47.9秒東経141度3分6秒","〒021-0101岩手県一関市厳美町字沖野々215-1","北緯38度56分47.9秒東経141度3分6秒﻿ / ﻿北緯38.946639度 東経141.05167度﻿ /38.946639; 141.05167座標:北緯38度56分47.9秒東経141度3分6秒﻿ / ﻿北緯38.946639度 東経141.05167度﻿ /38.946639; 141.05167","1997年10月10日","歴史・文化","一関市","","","一関市博物館","","","","","","","","","","",""
"奥州市牛の博物館","[奥州市牛の博物館] 奥州市牛の博物館 （おうしゅうしうしのはくぶつかん）は、 岩手県 奥州市 前沢にある、 牛 をテーマとした 博物館 。牛の 標本 など 生物学 的な資料や ヒト （人間）との関わりについて展示している。略称は「牛の博物館」。牛を専門とする博物館は世界的にも珍しい  。","https://ja.wikipedia.org/wiki/奥州市牛の博物館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯39度01分37.0秒東経141度07分26.5秒","〒029-4205岩手県奥州市前沢字南陣場103番地1","北緯39度01分37.0秒東経141度07分26.5秒﻿ / ﻿北緯39.026944度 東経141.124028度﻿ /39.026944; 141.124028座標:北緯39度01分37.0秒東経141度07分26.5秒﻿ / ﻿北緯39.026944度 東経141.124028度﻿ /39.026944; 141.124028","1995年（平成7年）4月14日","牛にかかわる生物学及び人文学","奥州市","奥州市","http://www.city.oshu.iwate.jp/htm/ushi/","","1,720m2","前沢町立牛の博物館","東北本線前沢駅で下車し、タクシーを利用、もしくは東北自動車道平泉前沢ICより国道4号を北へ1.5㎞、白鳥バス停を右折（案内看板有）。","内田宏","牛の博物館","","毎年およそ2万5000人（2001年時点）","およそ1200点","","",""
"北上市立博物館","[北上市立博物館] 北上市立博物館 （きたかみしりつはくぶつかん）は 岩手県 北上市 の みちのく民俗村 内に隣接する 博物館 。昭和50年10月登録博物館認可の総合博物館である。 オープン以来、「 北上川 とその流域に生きた人々」をテーマとして、自然や地質、歴史民俗について展示してきたが、平成28年9月にリニューアル。「きたかみの歴史 −光の向こうへ」と題し、北上市の特徴的な6つの歴史的事象について展示解説している。和賀庁舎に分館が新設された。","https://ja.wikipedia.org/wiki/北上市立博物館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯39度16分16.8秒東経141度7分49.6秒","〒024-0043岩手県北上市立花14地割59","北緯39度16分16.8秒東経141度7分49.6秒﻿ / ﻿北緯39.271333度 東経141.130444度﻿ /39.271333; 141.130444座標:北緯39度16分16.8秒東経141度7分49.6秒﻿ / ﻿北緯39.271333度 東経141.130444度﻿ /39.271333; 141.130444","1973年","","北上市","北上市","","北上市立博物館","","","","","","","","","","",""
"サトウハチロー記念館","[サトウハチロー記念館] サトウハチロー記念館 （さとうはちろーきねんかん）は 岩手県 北上市 にある記念館。 詩人 ・ 作詞家 ・ 作家 サトウハチロー に関する資料の恒久的保存と公開を目的として開設された。開館は 1996年 （平成8年）。 サトウハチローが亡くなってから、当初東京都文京区弥生2-16に記念館  があったが、未亡人(佐藤房江)が亡くなり、館長職を継ぐことになった次男の佐藤四郎が、資料の保存、散逸防止のための恒久的な倉庫を建設するため、弘前市 （祖父紅緑の出身地）、仙台市（祖母の出身地）、北上市（妻の出身地）などいくつか候補地を検討し、その結果、北上市への移転が実現した  。","https://ja.wikipedia.org/wiki/サトウハチロー記念館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯39度16分22.4秒東経141度7分40.1秒","〒024-0043岩手県北上市立花13-67-3","北緯39度16分22.4秒東経141度7分40.1秒﻿ / ﻿北緯39.272889度 東経141.127806度﻿ /39.272889; 141.127806座標:北緯39度16分22.4秒東経141度7分40.1秒﻿ / ﻿北緯39.272889度 東経141.127806度﻿ /39.272889; 141.127806","1996年","","","","","サトウハチロー記念館","","","","","","","","","","",""
"太陽と風の家","[太陽と風の家] 太陽と風の家 （たいようとかぜのいえ）は、 岩手県 一関市 東山町 の 石と賢治のミュージアム 内にある 博物館 。最晩年に同市「東北砕石工場」で技師として契約していた 宮沢賢治 について、地域とのかかわり、生前の活動・業績などを解りやすく、かつ詳しく展示している。","https://ja.wikipedia.org/wiki/太陽と風の家","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"たたら館","[たたら館] たたら館 （たたらかん）は、かつて 岩手県 久慈市 に存在した 砂鉄 資料館。 1986年 10月に久慈砂鉄の会が中心となって開館したが、建物老朽化のため 2008年 1月11日 に閉館。","https://ja.wikipedia.org/wiki/たたら館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"遠野蔵の道ギャラリー","[遠野蔵の道ギャラリー] 遠野蔵の道ギャラリー （とおのくらのみちギャラリー）は 岩手県 遠野市 にある 博物館 。古建築の 蔵 を再生し、施設として使用する。遠野地域の芸術文化を育み、情報発信の基地としての役割を担う。","https://ja.wikipedia.org/wiki/遠野蔵の道ギャラリー","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯39度19分51.6秒東経141度31分40.6秒","〒028-0523岩手県遠野市中央通4-28","北緯39度19分51.6秒東経141度31分40.6秒﻿ / ﻿北緯39.331000度 東経141.527944度﻿ /39.331000; 141.527944座標:北緯39度19分51.6秒東経141度31分40.6秒﻿ / ﻿北緯39.331000度 東経141.527944度﻿ /39.331000; 141.527944","2004年4月11日","昭和時代","遠野市","遠野市","","遠野市立博物館分館遠野蔵の道ギャラリー","","","","","","","","","","",""
"遠野城下町資料館","[遠野城下町資料館] 遠野城下町資料館 （とおのじょうかまちしりょうかん ）は 岩手県 遠野市 にある 博物館 。","https://ja.wikipedia.org/wiki/遠野城下町資料館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯39度19分49.8秒東経141度31分44.1秒","〒028-0523岩手県遠野市中央通り4-6","北緯39度19分49.8秒東経141度31分44.1秒﻿ / ﻿北緯39.330500度 東経141.528917度﻿ /39.330500; 141.528917座標:北緯39度19分49.8秒東経141度31分44.1秒﻿ / ﻿北緯39.330500度 東経141.528917度﻿ /39.330500; 141.528917","2002年（平成14年）3月21日","歴史資料","遠野市","遠野市","遠野城下町資料館","遠野市立博物館分館遠野城下町資料館","","","","","","","","","","",""
"遠野市立博物館・図書館","[遠野市立博物館・図書館] 「遠野物語の世界」・「遠野の自然とくらし」・「遠野の民俗学」をテーマとする博物館。","https://ja.wikipedia.org/wiki/遠野市立博物館・図書館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯39度19分39.9秒 東経141度31分44.1秒","〒028-0515岩手県遠野市東舘町3-9","","","","遠野市","遠野市","","遠野市立博物館","","","釜石線の遠野駅から徒歩約8分。","","","","","","","",""
"日本現代詩歌文学館","[日本現代詩歌文学館] 日本現代詩歌文学館 （にほんげんだいしいかぶんがくかん）は、 岩手県 北上市 にある日本で唯一の詩歌専門の 文学館 。事業主体は北上市。管理・運営は日本現代詩歌文学館運営協会。","https://ja.wikipedia.org/wiki/日本現代詩歌文学館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯39度17分34.5秒東経141度6分52.1秒","〒024-8503岩手県北上市本石町二丁目5-60","北緯39度17分34.5秒東経141度6分52.1秒﻿ / ﻿北緯39.292917度 東経141.114472度﻿ /39.292917; 141.114472座標:北緯39度17分34.5秒東経141度6分52.1秒﻿ / ﻿北緯39.292917度 東経141.114472度﻿ /39.292917; 141.114472","","現代詩、短歌、俳句、川柳","北上市","日本現代詩歌文学館運営協会(指定管理者)","公式サイト","日本現代詩歌文学館","","","JR北上駅よりバス : ｢まちなかターミナル｣下車。徒歩8分。タクシー : 約10分。JR柳原駅より徒歩3分。","高野ムツオ","","","","","","",""
"花巻歴史民俗資料館","[花巻歴史民俗資料館] 花巻歴史民俗資料館 （はなまきれきしみんぞくしりょうかん）は 岩手県 花巻市 にあった資料館。 1973年 5月15日 に開館した。2013年5月、「高村光太郎記念館」としてリニューアルされた。","https://ja.wikipedia.org/wiki/花巻歴史民俗資料館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯39度23分16.9秒 東経141度0分20.8秒","","","","","","","","","","","","","","","","","","",""
"碧祥寺博物館","[碧祥寺博物館] 碧祥寺博物館 （へきしょうじはくぶつかん）は 岩手県 和賀郡 西和賀町 に所在する 真宗大谷派 本宮山碧祥寺  の 境内 に設けられた 博物館 。貴重な 民俗資料 その他を数多く収蔵、展示している。 1969年 （ 昭和 44年）に開設された。館長は第十四代住職で元 沢内 村長 太田祖電 である。太田祖電は命を守る村そして乳児死亡率ゼロ達成や医療費の無料化に踏み切った 深沢晟雄 村長の下で沢内村教育長として深沢村政を支え 後任の村長として村長を長く務めた。","https://ja.wikipedia.org/wiki/碧祥寺博物館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯39度25分38.2秒東経140度44分53秒","〒029-5614岩手県和賀郡西和賀町沢内太田3-32","北緯39度25分38.2秒東経140度44分53秒﻿ / ﻿北緯39.427278度 東経140.74806度﻿ /39.427278; 140.74806座標:北緯39度25分38.2秒東経140度44分53秒﻿ / ﻿北緯39.427278度 東経140.74806度﻿ /39.427278; 140.74806","1969年","民俗資料","","","www.todoland.co.jp/waga/hekishouji.html","","","","","","","","","","","",""
"みちのく民俗村","[みちのく民俗村] みちのく民俗村 （みちのくみんぞくむら）は 岩手県 北上市 にある野外 博物館 。","https://ja.wikipedia.org/wiki/みちのく民俗村","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯39度16分14.2秒 東経141度7分44.8秒","","","","","","","","","","","","","","","","","","",""
"三船十段記念館","[三船十段記念館] 三船十段記念館 （みふねじゅうだんきねんかん）は、 岩手県 久慈市 名誉市民 第1号で 柔道 の神様とあがめられた 三船久蔵 十段を記念して開設された久慈市立の 博物館 。","https://ja.wikipedia.org/wiki/三船十段記念館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯40度11分17.1秒東経141度45分31.53秒","〒028-0082久慈市川貫第5地割20-230","北緯40度11分17.1秒東経141度45分31.53秒﻿ / ﻿北緯40.188083度 東経141.7587583度﻿ /40.188083; 141.7587583座標:北緯40度11分17.1秒東経141度45分31.53秒﻿ / ﻿北緯40.188083度 東経141.7587583度﻿ /40.188083; 141.7587583","1990年","","久慈市","久慈市","公式ウェブサイト","久慈市立三船十段記念館","","","","","","","","","","",""
"盛岡市遺跡の学び館","[盛岡市遺跡の学び館] 盛岡市遺跡の学び館 （もりおかしいせきのまなびかん）は、 岩手県 盛岡市 本宮の盛岡中央公園内に所在する公立の 歴史博物館 。市内 遺跡 の 発掘調査 で得られた 文化財 や情報を展示することを目的に 2004年 （ 平成 16年） 6月1日 に開館した。","https://ja.wikipedia.org/wiki/盛岡市遺跡の学び館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯39度41分31.4秒東経141度7分42.8秒","〒020-0866岩手県盛岡市本宮字荒屋13番地1（盛岡市中央公園内）","北緯39度41分31.4秒東経141度7分42.8秒﻿ / ﻿北緯39.692056度 東経141.128556度﻿ /39.692056; 141.128556座標:北緯39度41分31.4秒東経141度7分42.8秒﻿ / ﻿北緯39.692056度 東経141.128556度﻿ /39.692056; 141.128556","2004年（平成16年）6月1日","","盛岡市","","盛岡市遺跡の学び館","","2748.7m2","","盛岡駅より岩手県北バス利用・西口25番のりばより　「イオンモール盛岡南」方面行以上の路線を利用。｢杜の道北｣下車。徒歩5分。岩手県交通バス利用。・東口5番、又は10番のりばより｢盛南ループ200｣に乗車。｢総合アリーナ前｣下車。徒歩7分。タクシーで5分。徒歩20分。","","","","","","","",""
"秋田市立赤れんが郷土館","[秋田市立赤れんが郷土館] 秋田市立赤れんが郷土館 （あきたしりつあかれんがきょうどかん）は、 秋田県 秋田市 にある市立の郷土史料館・ 美術館 である。 旧秋田銀行 の本店として 1912年 （ 明治 45年）に完成した赤れんが館（ 重要文化財 ）  をメインに、新館、収蔵庫および少し離れたところにある分館、 秋田市民俗芸能伝承館 （通称ねぶり流し館）からなる。","https://ja.wikipedia.org/wiki/秋田市立赤れんが郷土館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯39度43分00.08秒東経140度06分56.32秒","〒010-0921秋田県秋田市大町3-3-21","北緯39度43分00.08秒東経140度06分56.32秒﻿ / ﻿北緯39.7166889度 東経140.1156444度﻿ /39.7166889; 140.1156444座標:北緯39度43分00.08秒東経140度06分56.32秒﻿ / ﻿北緯39.7166889度 東経140.1156444度﻿ /39.7166889; 140.1156444","1985年7月31日","郷土史、美術館","秋田市","秋田市教育委員会","","秋田市立赤れんが郷土館","1,900m2（赤れんが館、管理棟、収蔵庫合計）","旧秋田銀行本店秋田銀行秋田支店秋田銀行信託部日本銀行秋田支店仮店舗秋田銀行大町出張所秋田銀行大町支店","秋田中央交通バス新屋線または川尻割山線「赤れんが郷土館前」下車","","赤れんが郷土館、赤れんが史料館","","","","","",""
"秋田市立佐竹史料館","[秋田市立佐竹史料館] 秋田市立佐竹史料館 （あきたしりつさたけしりょうかん）は、 秋田県 秋田市 にある市立の郷土史料館である。 千秋公園 の二の丸広場の近くに位置する。","https://ja.wikipedia.org/wiki/秋田市立佐竹史料館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯39度43分11.88秒東経140度7分29.06秒","〒010-0876秋田県秋田市千秋公園1-4","北緯39度43分11.88秒東経140度7分29.06秒﻿ / ﻿北緯39.7199667度 東経140.1247389度﻿ /39.7199667; 140.1247389座標:北緯39度43分11.88秒東経140度7分29.06秒﻿ / ﻿北緯39.7199667度 東経140.1247389度﻿ /39.7199667; 140.1247389","1990年（平成2年）4月11日","歴史","秋田市","秋田市教育委員会","秋田市立佐竹史料館","秋田市立佐竹史料館","518.86m2","","JR秋田駅下車徒歩約15分","","","","12,346人（2010年）","2,802点","","",""
"秋田大学附属鉱業博物館","[秋田大学附属鉱業博物館] 秋田大学附属鉱業博物館 （あきただいがくふぞくこうぎょうはくぶつかん、Mining Museum of Akita University）は、 秋田県 秋田市 手形 にある 秋田大学 附属の 博物館 である。なお、2015年現在は 国際資源学部 に附属する施設であるが、過去に何度か博物館を所管する大学組織が変更されていることから、本項では秋田大学附属鉱業博物館で統一して記述する。","https://ja.wikipedia.org/wiki/秋田大学附属鉱業博物館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯39度43分45.46秒東経140度8分11.64秒","〒010-8502日本秋田県秋田市手形字大沢28-2","北緯39度43分45.46秒東経140度8分11.64秒﻿ / ﻿北緯39.7292944度 東経140.1365667度﻿ /39.7292944; 140.1365667座標:北緯39度43分45.46秒東経140度8分11.64秒﻿ / ﻿北緯39.7292944度 東経140.1365667度﻿ /39.7292944; 140.1365667","1961年（昭和36年）10月8日","地球科学","","秋田大学大学院工学資源学研究科","http://www.mus.akita-u.ac.jp/","秋田大学国際資源学部附属鉱業博物館","","","","佐藤時幸","","","","","","","3名"
"小坂町総合博物館郷土館","[小坂町総合博物館郷土館] 小坂町総合博物館郷土館 （こさかまちそうごうはくぶつかん きょうどかん）は 秋田県 鹿角郡 小坂町 にある町立の郷土 博物館 である。屋外展示では 小坂鉄道 で使用されていた11号 蒸気機関車 、 貴賓客車 および キハ2101号気動車 が保存されていた。（現在はいずれも小坂鉄道レールパークに移設）","https://ja.wikipedia.org/wiki/小坂町総合博物館郷土館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯40度19分25.9秒東経140度44分27.4秒","〒017-0201秋田県鹿角郡小坂町小坂字中前田48-1","北緯40度19分25.9秒東経140度44分27.4秒﻿ / ﻿北緯40.323861度 東経140.740944度﻿ /40.323861; 140.740944座標:北緯40度19分25.9秒東経140度44分27.4秒﻿ / ﻿北緯40.323861度 東経140.740944度﻿ /40.323861; 140.740944","1982年（昭和57年）10月","郷土史","","小坂町教育委員会","","","","","秋北バス小坂停留所より徒歩3分","","","","","","","",""
"秋田市立佐竹史料館","[秋田市立佐竹史料館] 秋田市立佐竹史料館 （あきたしりつさたけしりょうかん）は、 秋田県 秋田市 にある市立の郷土史料館である。 千秋公園 の二の丸広場の近くに位置する。","https://ja.wikipedia.org/wiki/秋田市立佐竹史料館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯39度43分11.88秒東経140度7分29.06秒","〒010-0876秋田県秋田市千秋公園1-4","北緯39度43分11.88秒東経140度7分29.06秒﻿ / ﻿北緯39.7199667度 東経140.1247389度﻿ /39.7199667; 140.1247389座標:北緯39度43分11.88秒東経140度7分29.06秒﻿ / ﻿北緯39.7199667度 東経140.1247389度﻿ /39.7199667; 140.1247389","1990年（平成2年）4月11日","歴史","秋田市","秋田市教育委員会","秋田市立佐竹史料館","秋田市立佐竹史料館","518.86m2","","JR秋田駅下車徒歩約15分","","","","12,346人（2010年）","2,802点","","",""
