"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","面積","法人番号","国","外部リンク","都道府県","地方","市町村コード","総人口","隣接自治体","地図","人口密度","別名","札所等","市の木","市の花","市長","城郭構造"
"大内宿","[大内宿（福島）] 大内宿 （おおうちじゅく  ）は、 福島県 南会津郡 下郷町 大字 大内にある、 江戸時代 における 会津西街道 （別称：下野街道）の「半農半宿」の 宿場  の呼称。 明治 期の 鉄道 開通に伴って宿場としての地位を失ったが、 茅葺 屋根の民家が街道沿いに建ち並ぶ同集落の通称、あるいは観光地名として現在も受け継がれている。 1981年 （ 昭和 56年）に 重要伝統的建造物群保存地区 として選定され、福島県を代表する観光地の1つとなっている（一部に 宿泊施設 復活）。","https://ja.wikipedia.org/wiki/大内宿","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"草津温泉","[草津温泉（群馬）] 草津温泉 （くさつおんせん）は、 日本 の 群馬県 吾妻郡 草津町 草津界隈（ 江戸時代 における 上野国 吾妻郡草津村界隈、 幕藩体制 下の 上州 御料 草津村界隈〈初期は 沼田藩 知行 〉）に所在する 温泉 である。 草津白根山 東麓に位置する。","https://ja.wikipedia.org/wiki/草津温泉","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","","群馬県吾妻郡草津町","","","","","湯Love草津- 草津温泉観光協会","","","","","","","","","","","","",""
"鉄道博物館 (さいたま市)","[鉄道博物館（埼玉）] 鉄道博物館 （てつどうはくぶつかん、 英語 : The Railway Museum ）は、 埼玉県 さいたま市 大宮区 大成町 三丁目にある 鉄道博物館 である  。","https://ja.wikipedia.org/wiki/鉄道博物館_(さいたま市)","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","北緯35度55分14秒東経139度37分06秒","〒330-0852埼玉県さいたま市大宮区大成町三丁目47番地","北緯35度55分14秒東経139度37分06秒﻿ / ﻿北緯35.920556度 東経139.618333度﻿ /35.920556; 139.618333座標:北緯35度55分14秒東経139度37分06秒﻿ / ﻿北緯35.920556度 東経139.618333度﻿ /35.920556; 139.618333","","","","","","","","","","","","","","","","",""
"川越市","[川越（埼玉）] ","https://ja.wikipedia.org/wiki/川越市","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","北緯35度55分30.5秒東経139度29分8.8秒","〒350-8601埼玉県川越市元町一丁目3番地1北緯35度55分30.5秒東経139度29分8.8秒﻿ / ﻿北緯35.925139度 東経139.485778度﻿ /35.925139; 139.485778座標:北緯35度55分30.5秒東経139度29分8.8秒﻿ / ﻿北緯35.925139度 東経139.485778度﻿ /35.925139; 139.485778","","109.13km2","4000020112011","日本","公式ウェブサイト","埼玉県","関東地方","11201-1","354,541人（推計人口、2021年6月1日）","上尾市、さいたま市、坂戸市、狭山市、鶴ヶ島市、所沢市、日高市、富士見市、ふじみ野市、入間郡三芳町、比企郡川島町","","3,249人/km2","","","カシ","ヤマブキ","川合善明",""
"長瀞渓谷","[長瀞（埼玉）] 長瀞渓谷 （ながとろ けいこく）は、 日本 の 埼玉県 秩父地方 に位置する、 荒川 上流部の 渓谷 である。全長約6 km 。岩畳など 岩石 の間を緩やかな流れ（瀞）が長く続くことから  、近代以前より長瀞と呼ばれてきた。 1924年 （ 大正 13年） 12月9日 に「長瀞」名義で 国 の 名勝 及び 天然記念物 に指定されている。その範囲は 秩父郡 長瀞町 のほか、上流の 皆野町 内の川岸も含む  。 埼玉県立長瀞玉淀自然公園 の一部でもある。","https://ja.wikipedia.org/wiki/長瀞渓谷","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"佐原の町並み","[佐原（千葉）] 佐原の町並み （さわらのまちなみ）は、 千葉県 香取市 佐原 （旧 下総国 ）の 市街地 にある歴史的建造物が残る町並みである。 商家町 として栄え、古くから” 北総 の 小江戸 ”、” 水郷の町 ”と称された。 1996年 に 関東地方 で初めて 重要伝統的建造物群保存地区 として選定されている。 2009年 には 平成百景 、 2018年 には 佐倉市 （ 城下町 ）・ 成田市 （ 門前町 ）・ 銚子市 （ 港町 ）とともに 日本遺産  に認定された  。","https://ja.wikipedia.org/wiki/佐原の町並み","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"丸の内","[丸の内（東京）] 丸の内 （まるのうち）は、 東京都 千代田区 の地名で旧 麹町区 に当たる 麹町地域 内である。現行行政地名は丸の内一丁目から丸の内三丁目。 住居表示 実施済みの地域。 郵便番号 は100-0005  。","https://ja.wikipedia.org/wiki/丸の内","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","","","","","","日本","","東京都","","","","","","","","","","","",""
"秋葉原","[秋葉原（東京）] 秋葉原 （あきはばら）は、東京都 台東区 の地名。「 丁目 」の設定がない単独町名である。 郵便番号 は 110-0006  。","https://ja.wikipedia.org/wiki/秋葉原","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","","","","","","日本","","東京都","","","","","","","","","","","",""
"日本橋 (東京都中央区)","[日本橋（東京）] 日本橋 は、東京都中央区日本橋地域の 町名 で、北は日本橋川、南は 都道408号 に接する。現行行政地名は日本橋一丁目から日本橋三丁目。 郵便番号 は103-0027  。","https://ja.wikipedia.org/wiki/日本橋_(東京都中央区)","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","","","","","","日本","","東京都","","","","","","","","","","","",""
"浅草寺","[浅草寺雷門（東京）] 浅草寺 （せんそうじ）は、 東京都 台東区 浅草 2丁目にある東京都内最古の 寺 である。正式には 金龍山浅草寺 （きんりゅうざんせんそうじ）と号し、観音菩薩を本尊とすることから 浅草観音 （あさくさかんのん）として知られている。 山号 は金龍山。","https://ja.wikipedia.org/wiki/浅草寺","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","北緯35度42分53秒東経139度47分48.3秒","東京都台東区浅草二丁目3番1号","北緯35度42分53秒東経139度47分48.3秒﻿ / ﻿北緯35.71472度 東経139.796750度﻿ /35.71472; 139.796750座標:北緯35度42分53秒東経139度47分48.3秒﻿ / ﻿北緯35.71472度 東経139.796750度﻿ /35.71472; 139.796750","","2010505000327","","","","","","","","","","","坂東三十三箇所13番江戸三十三箇所1番","","","",""
"柴又帝釈天","[柴又帝釈天・矢切の渡し（東京・千葉）] 柴又帝釈天 （しばまたたいしゃくてん）または、 帝釈天 題経寺 （たいしゃくてん だいきょうじ）は、 東京都 葛 飾区 柴又 七丁目にある 日蓮宗 の 寺院 である。正式には 経栄山題経寺 （きょうえいざん だいきょうじ）と号する。旧本山は大本山中山 法華経寺（なかやま ほけきょうじ） 。親師法縁。","https://ja.wikipedia.org/wiki/柴又帝釈天","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","北緯35度45分30.24秒東経139度52分41.52秒","東京都葛飾区柴又七丁目10番3号","北緯35度45分30.24秒東経139度52分41.52秒﻿ / ﻿北緯35.7584000度 東経139.8782000度﻿ /35.7584000; 139.8782000座標:北緯35度45分30.24秒東経139度52分41.52秒﻿ / ﻿北緯35.7584000度 東経139.8782000度﻿ /35.7584000; 139.8782000","","8011805000432","","","","","","","","","","","柴又七福神（毘沙門天）","","","",""
"京浜工業地帯","[京浜工業地帯（東京・神奈川など）] 京浜工業地帯 （けいひんこうぎょうちたい）は、 東京都 大田区 、 神奈川県 川崎市 、 横浜市 を中心に、 東京都 、 神奈川県 、 埼玉県 南部、 千葉県 東葛6市 に広がる 工業地帯 である。かつては名前の通り、東 京 から横 浜 までの 東京湾 西岸、 京浜運河 に広がる埋め立て工業地帯であったが、次第に範囲が東海道沿いの 藤沢市 ・ 茅ヶ崎市 ・ 平塚市 や、内陸の 相模原市 ・ 立川市 ・ 八王子市 ・ さいたま市 ・ 川口市 ・ 狭山市 ・ 川越市 ・ 松戸市 ・ 柏市 にまで拡大していった。 三大工業地帯 のひとつで、 太平洋ベルト の中核であり、日本有数の工業地帯である。","https://ja.wikipedia.org/wiki/京浜工業地帯","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"横浜みなとみらい21","[横浜みなとみらい21（神奈川）] 横浜みなとみらい21 （よこはまみなとみらい21、Minato Mirai 21）は、 神奈川県 横浜市 の 西区 と 中区 にまたがり  、 横浜港 に面している 地域 である。また、 1980年代 から現在にかけて整備が進められている 計画都市 でもある。 1989年 （ 平成 元年）の 横浜博覧会 (YES'89) 以降、当該地区の開発が本格化し  、 首都圏 の 新都心 として、 さいたま新都心 と 幕張新都心 に並び重点的に整備された  。略称は「 みなとみらい21 」、「 みなとみらい 」、「 MM21 」など。 都市景観100選 受賞地区。","https://ja.wikipedia.org/wiki/横浜みなとみらい21","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"鎌倉","[鎌倉（神奈川）] 鎌倉 （かまくら）は、現在の 神奈川県 鎌倉市 の中心部に当たる地域である。 源頼朝 が創設し、 北条時政 、 北条義時 らによって実権が継承され、 鎌倉幕府 が置かれた都市であり、 三浦半島 の付け根に位置し、 相模湾 に面している。三方を山に、一方を海に囲まれている。","https://ja.wikipedia.org/wiki/鎌倉","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"箱根","[箱根・芦ノ湖（神奈川）] 箱根 （はこね、古くは「 函根 」とも）は、 静岡県 に近い 神奈川県 南西部の一角、 箱根カルデラ 近辺の一帯を指す地名。","https://ja.wikipedia.org/wiki/箱根","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"飛騨山脈","[北アルプス（長野・岐阜・富山・新潟）] 飛驒山脈 （ひださんみゃく）は、 富山県 、 新潟県 、 岐阜県 、 長野県 に跨って連なる 山脈 である。通称では 北アルプス の呼称で呼ばれている。 木曽山脈 （中央アルプス）、 赤石山脈 （南アルプス）と共に 日本アルプス と呼ばれることもある。","https://ja.wikipedia.org/wiki/飛騨山脈","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","北緯36度17分21秒東経137度38分53秒","富山県・岐阜県・長野県・新潟県","北緯36度17分21秒東経137度38分53秒﻿ / ﻿北緯36.28917度 東経137.64806度﻿ /36.28917; 137.64806座標:北緯36度17分21秒東経137度38分53秒﻿ / ﻿北緯36.28917度 東経137.64806度﻿ /36.28917; 137.64806","","","","","","","","","","","","","","","","",""
"松本城","[松本城（長野）] 松本城 （まつもとじょう）は、 長野県 松本市 （旧・ 信濃国 筑摩郡  筑摩野松本）にある 日本の城 である。松本城と呼ばれる以前は 深志城 （ふかしじょう）といった。俗に烏城（からすじょう）  とも呼ばれることがあるが、文献上には烏城という表記はなく誤りであるというのが松本市教育委員会松本城管理事務所の見解である  。 安土桃山時代 末期- 江戸時代 初期に建造された 天守 は 国宝 に指定され、城跡は国の 史跡 に指定されている。天守が 国宝 指定された5城のうちの一つである（他は 姫路城 、 犬山城 、 彦根城 、 松江城 ）。","https://ja.wikipedia.org/wiki/松本城","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","北緯36度14分20.76秒東経137度58分8.83秒","","北緯36度14分20.76秒東経137度58分8.83秒﻿ / ﻿北緯36.2391000度 東経137.9691194度﻿ /36.2391000; 137.9691194﻿ (松本城)座標:北緯36度14分20.76秒東経137度58分8.83秒﻿ / ﻿北緯36.2391000度 東経137.9691194度﻿ /36.2391000; 137.9691194﻿ (松本城)","","","","","","","","","","松本城日本の地図を表示松本城長野県の地図を表示","","深志城、烏城（俗称）","","","","","梯郭式+輪郭式平城"
"妻籠宿","[妻籠・馬籠（長野・岐阜）] 座標 : .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap} 北緯35度34分36秒 東経137度35分43秒 ﻿ / ﻿ 北緯35.57667度 東経137.59528度 ﻿ / 35.57667; 137.59528","https://ja.wikipedia.org/wiki/妻籠宿","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"山古志村","[山古志の棚田（新潟）] 山古志村 （やまこしむら）は、 新潟県 の 中越地方 に位置した 村 。2010年の 長岡市 への通勤率は20.1%（平成12年国勢調査）。 2005年 4月1日 に長岡市に 編入合併 された。","https://ja.wikipedia.org/wiki/山古志村","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","北緯37度19分34秒東経138度53分24秒","〒947-0204新潟県古志郡山古志村竹沢乙461","","39.83km2.","","日本","山古志村（Internet Archive）","新潟県","中部地方、北陸地方甲信越地方、信越地方北信越地方、上信越地方広域関東圏","15421-1","1,960人（推計人口、2005年3月1日）","長岡市、栃尾市、小千谷市、魚沼市","","","","","","","",""
"金沢市","[金沢（石川）] ","https://ja.wikipedia.org/wiki/金沢市","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","北緯36度33分39.8秒東経136度39分23.4秒","〒920-8577石川県金沢市広坂一丁目1番1号北緯36度33分39.8秒東経136度39分23.4秒﻿ / ﻿北緯36.561056度 東経136.656500度﻿ /36.561056; 136.656500座標:北緯36度33分39.8秒東経136度39分23.4秒﻿ / ﻿北緯36.561056度 東経136.656500度﻿ /36.561056; 136.656500","","468.64km2","4000020172014","日本","公式ウェブサイト","石川県","中部地方、北陸地方","17201-4","462,628人（推計人口、2021年6月1日）","白山市、野々市市、河北郡津幡町、内灘町富山県：小矢部市、南砺市","","987人/km2","","","梅","花菖蒲サルビア四季咲きベゴニアインパチェンスゼラニウム（すべて推奨花）","山野之義",""
"永平寺","[永平寺（福井）] 永平寺 （えいへいじ）は、 福井県 吉田郡 永平寺町 にある 曹洞宗 の 仏教 寺院 。 總持寺 と並ぶ日本曹洞宗の中心寺院（ 大本山 ）である。 山号 を吉祥山と称し、 開山 は 道元 、 本尊 は 釈迦如来 ・ 弥勒仏 ・ 阿弥陀如来 の三世仏である。 寺紋 は久我山竜胆紋（久我竜胆紋・久我竜胆車紋）。","https://ja.wikipedia.org/wiki/永平寺","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","北緯36度3分11秒東経136度21分20秒","福井県吉田郡永平寺町志比5-15","北緯36度3分11秒東経136度21分20秒﻿ / ﻿北緯36.05306度 東経136.35556度﻿ /36.05306; 136.35556座標:北緯36度3分11秒東経136度21分20秒﻿ / ﻿北緯36.05306度 東経136.35556度﻿ /36.05306; 136.35556","","1210005001129","","","","","","","","","","","","","","",""
"東尋坊","[東尋坊（福井）] 東尋坊 （とうじんぼう）は、 福井県 坂井市 三国町 安島に位置する 崖 。 越前加賀海岸国定公園 の特別保護地区に指定されている  。","https://ja.wikipedia.org/wiki/東尋坊","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"犬山城","[犬山城と日本ライン（愛知・岐阜）] 犬山城 （いぬやまじょう）は、 尾張国 と 美濃国 の境、木曽川南岸の地「犬山」にあった 日本の城 である。現在の場所で言えば 愛知県 犬山市 にあり、 天守 のみが現存し、 江戸時代 までに建造された「 現存天守 12城」のひとつである。また天守が 国宝 指定された5城のうちの一つである（他は 姫路城 、 松本城 、 彦根城 、 松江城 ）。 城跡 は「犬山城跡」として、国の 史跡 に指定されている   。 日本で最後まで 個人が所有していた城（ 2004年 まで個人所有）である。","https://ja.wikipedia.org/wiki/犬山城","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","北緯35度23分17.96秒東経136度56分21.34秒","","北緯35度23分17.96秒東経136度56分21.34秒﻿ / ﻿北緯35.3883222度 東経136.9392611度﻿ /35.3883222; 136.9392611座標:北緯35度23分17.96秒東経136度56分21.34秒﻿ / ﻿北緯35.3883222度 東経136.9392611度﻿ /35.3883222; 136.9392611","","","","","","","","","","犬山城","","白帝城","","","","","平山城"
"名古屋城","[名古屋城（愛知）] 名古屋城 （なごやじょう）は、 尾張国 愛知郡 名古屋（現在の 愛知県 名古屋市 中区 ・ 北区 ）にある 日本の城 。「名城（めいじょう）」、「金鯱城（きんこじょう、きんしゃちじょう）」、「金城（きんじょう）」の異名を持つ。 日本100名城 に選定されており、国の 特別史跡 に指定されている。","https://ja.wikipedia.org/wiki/名古屋城","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","北緯35度11分7.77秒東経136度53分56.71秒","","北緯35度11分7.77秒東経136度53分56.71秒﻿ / ﻿北緯35.1854917度 東経136.8990861度﻿ /35.1854917; 136.8990861座標:北緯35度11分7.77秒東経136度53分56.71秒﻿ / ﻿北緯35.1854917度 東経136.8990861度﻿ /35.1854917; 136.8990861","","","","","","","","","","名古屋城","","金鯱城、金城、柳城、亀屋城、蓬左城","","","","","梯郭式平城"
"大井川鐵道","[大井川鉄道（静岡）] 大井川鐵道株式会社 （おおいがわてつどう）は、 静岡県 島田市 に本拠を置き、 大井川 流域を基盤とする 鉄道事業 を主たる業務とする陸運業や 観光 業  を営む 企業 である。 大井川本線 と 井川線 の2つの鉄道路線を運営している  。略称は 大鉄 ・ 大鐵 （だいてつ）。","https://ja.wikipedia.org/wiki/大井川鐵道","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","北緯34度49分34.26秒東経138度8分13.20秒","","","","1080001013422","","http://www.oigawa-railway.co.jp/","","","","","","","","","","","","",""
"高山市","[高山（岐阜）] ","https://ja.wikipedia.org/wiki/高山市","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","北緯36度8分45.7秒東経137度15分7.8秒","〒506-8555岐阜県高山市花岡町二丁目18番地北緯36度8分45.7秒東経137度15分7.8秒﻿ / ﻿北緯36.146028度 東経137.252167度﻿ /36.146028; 137.252167座標:北緯36度8分45.7秒東経137度15分7.8秒﻿ / ﻿北緯36.146028度 東経137.252167度﻿ /36.146028; 137.252167","","2,177.61km2","6000020212032","日本","公式ウェブサイト","岐阜県","中部地方、東海地方","21203-2","83,637人（推計人口、2021年5月1日）","飛騨市、郡上市、下呂市、大野郡白川村長野県：大町市、松本市、木曽郡木曽町富山県富山市石川県白山市福井県大野市","","38.4人/km2","","","いちい","こばのみつばつつじ","國島芳明",""
"琵琶湖","[琵琶湖（滋賀）] 琵琶湖 （びわこ）は、 滋賀県 にある 日本 最大 の 面積 と貯水量を持つ 湖 。 一級水系 「 淀川 水系」に属する 一級河川 である。 国土交通大臣 から委託を受けて滋賀県知事が管理を担う。 湖沼水質保全特別措置法 指定湖沼で、 ラムサール条約 登録 湿地 でもある。","https://ja.wikipedia.org/wiki/琵琶湖","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","北緯35度20分0秒東経136度10分0秒","日本滋賀県","北緯35度20分0秒東経136度10分0秒﻿ / ﻿北緯35.33333度 東経136.16667度﻿ /35.33333; 136.16667座標:北緯35度20分0秒東経136度10分0秒﻿ / ﻿北緯35.33333度 東経136.16667度﻿ /35.33333; 136.16667","669.26km2","","","","","","","","","","","","","","","",""
"延暦寺","[延暦寺（滋賀）] 延暦寺 （えんりゃくじ、 正字 : 延曆 寺 ）は、 滋賀県 大津市 坂本本町 にある、 標高 848mの 比叡山 全域を境内とする 天台宗 の 総本山 の 寺院 。正式には 比叡山延暦寺 （ひえいざんえんりゃくじ）と号する。 比叡山 、または 叡山 （えいざん）とも呼ばれる。 平安京 （ 京都 ）の北にあったので 南都 の 興福寺 と対に 北嶺 （ほくれい）と称された。 平安時代 初期の 僧 ・ 最澄 （ 767年 - 822年 ）により開かれた 日本 天台宗 の本山寺院である。 住職 （貫主）は 天台座主 と呼ばれ、末寺を統括する。 1994年 （ 平成 6年）には、 古都京都の文化財 の一部として、（1,200年の歴史と伝統が世界に高い評価を受け） ユネスコ世界文化遺産 にも登録された。寺紋は天台宗菊輪宝。","https://ja.wikipedia.org/wiki/延暦寺","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","北緯35度4分13.62秒東経135度50分27.33秒","滋賀県大津市坂本本町4220","北緯35度4分13.62秒東経135度50分27.33秒﻿ / ﻿北緯35.0704500度 東経135.8409250度﻿ /35.0704500; 135.8409250﻿ (延暦寺)座標:北緯35度4分13.62秒東経135度50分27.33秒﻿ / ﻿北緯35.0704500度 東経135.8409250度﻿ /35.0704500; 135.8409250﻿ (延暦寺)","","2160005000614","","","","","","","","","","","新西国三十三箇所第18番（横川中堂）西国薬師四十九霊場第49番播州薬師霊場特別札所東海四十九薬師霊場特別札所近畿三十六不動尊霊場26番（無動寺）びわ湖百八霊場第108番（横川中堂）法然上人二十五霊場特別霊場（青龍寺）西山国師遺跡霊場客番(文殊楼)真盛上人二十五霊場第2番（青龍寺）・第3番（浄土院）神仏霊場巡拝の道第150番（滋賀第18番）","","","",""
"祇園","[祇園（京都）] 祇園  （ぎおん）は 京都市 東山区 にある、 京都 の代表的な 繁華街 及び 歓楽街 。","https://ja.wikipedia.org/wiki/祇園","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"天橋立","[天橋立（京都）] 天橋立 （あまのはしだて）は、 京都府 宮津市 の 宮津湾 と 内海 の 阿蘇海 を南北に隔てる全長3.6 キロメートル の湾口 砂州  。 日本三景 の一つであり    、 2013年 の観光入込客数は178万1900人と 京都市 を除いた京都府内の観光地で第1位である  。","https://ja.wikipedia.org/wiki/天橋立","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"伊根の舟屋","[伊根の舟屋（京都）] 伊根の舟屋 （いねのふなや）は、 京都府 与謝郡 伊根町 の伊根地区で 伊根湾 （伊根浦）沿い立ち並ぶ 民家 で、船の収納庫の上に住居を備えた、この地区独特の伝統的建造物である。伊根の 集落 は 重要伝統的建造物群保存地区 として選定されているために国内外にも知られ、毎年30万人近い観光客が訪れる  。","https://ja.wikipedia.org/wiki/伊根の舟屋","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"奈良市","[奈良の寺社（奈良）] 〒 630-8580 奈良県奈良市二条大路南一丁目1番1号  .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap} 北緯34度41分6秒 東経135度48分17.2秒 ﻿ / ﻿ 北緯34.68500度 東経135.804778度 ﻿ / 34.68500; 135.804778 ﻿ ( 奈良市 ) 座標 : 北緯34度41分6秒 東経135度48分17.2秒 ﻿ / ﻿ 北緯34.68500度 東経135.804778度 ﻿ / 34.68500; 135.804778 ﻿ ( 奈良市 )","https://ja.wikipedia.org/wiki/奈良市","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","北緯34度41分6秒東経135度48分17.2秒","〒630-8580奈良県奈良市二条大路南一丁目1番1号北緯34度41分6秒東経135度48分17.2秒﻿ / ﻿北緯34.68500度 東経135.804778度﻿ /34.68500; 135.804778﻿ (奈良市)座標:北緯34度41分6秒東経135度48分17.2秒﻿ / ﻿北緯34.68500度 東経135.804778度﻿ /34.68500; 135.804778﻿ (奈良市)市庁舎位置","","276.94km2","4000020292010","日本","公式ウェブサイト","奈良県","近畿地方","29201-0","352,198人（推計人口、2021年6月1日）","生駒市、大和郡山市、天理市、桜井市、宇陀市、山辺郡山添村京都府：木津川市、相楽郡笠置町、精華町、南山城村三重県伊賀市","","1,272人/km2","","","イチイガシ","ナラノヤエザクラ","仲川元庸",""
"法隆寺","[法隆寺（奈良）] 法隆寺 （ほうりゅうじ）は、 奈良県 生駒郡 斑鳩町 法隆寺山内にある 聖徳宗 の 総本山 の 寺院 。 斑鳩寺 （いかるがでら、鵤寺とも）、 法隆学問寺 としても知られる  。","https://ja.wikipedia.org/wiki/法隆寺","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","北緯34度36分53.06秒東経135度44分3.02秒","奈良県生駒郡斑鳩町法隆寺山内1-1","北緯34度36分53.06秒東経135度44分3.02秒﻿ / ﻿北緯34.6147389度 東経135.7341722度﻿ /34.6147389; 135.7341722座標:北緯34度36分53.06秒東経135度44分3.02秒﻿ / ﻿北緯34.6147389度 東経135.7341722度﻿ /34.6147389; 135.7341722","","3150005003468","","","","","","","","","","","南都七大寺第7番聖徳太子霊跡第14番神仏霊場巡拝の道第26番（奈良第13番）大和北部八十八ヶ所霊場第50・51番","","","",""
"吉野山","[吉野山（奈良）] 吉野山 （よしのやま）は 奈良県 の中央部・ 吉野郡 吉野町 にある 吉野川（紀の川） 南岸から 大峰山脈 へと南北に続く約8 キロメートル に及ぶ 尾根 続きの山稜の総称、または 金峯山寺 を中心とした社寺が点在する地域の広域地名である。","https://ja.wikipedia.org/wiki/吉野山","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","","日本奈良県吉野郡吉野町","","","","","","","","","","","","","","","","","",""
"大坂城","[大阪城（大阪）] 大坂城 ／ 大阪城 （おおさかじょう  ）は、 安土桃山時代 に 上町台地 の先端、 摂津国 東成郡 生玉荘 大坂 に築かれ、 江戸時代 に再築された 日本の城 。別称は 錦城 （きんじょう／ 金城 とも表記）。「大阪城跡」として国の 特別史跡 に指定されている。なお、城址を含む一帯は 大阪城公園 （おおさかじょうこうえん）として整備されている。 天守 は博物館「 大阪城天守閣 」となっている。","https://ja.wikipedia.org/wiki/大坂城","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","北緯34度41分14.56秒東経135度31分33.04秒","","北緯34度41分14.56秒東経135度31分33.04秒﻿ / ﻿北緯34.6873778度 東経135.5258444度﻿ /34.6873778; 135.5258444﻿ (大坂城)座標:北緯34度41分14.56秒東経135度31分33.04秒﻿ / ﻿北緯34.6873778度 東経135.5258444度﻿ /34.6873778; 135.5258444﻿ (大坂城)","","","","","","","","","","大阪城大阪市の地図を表示大阪城大阪府の地図を表示","","錦城、金城大坂城/大阪城","","","","","輪郭式平城または平山城"
"中之島 (大阪府)","[中之島（大阪）] 中之島 （なかのしま）は、 大阪府 大阪市 北区 にある 堂島川 と 土佐堀川 に挟まれた 中洲 及び 町名 。東西に細長く、長さは3km、幅は最大で300m、面積72.6ha。","https://ja.wikipedia.org/wiki/中之島_(大阪府)","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","","","","","","日本","","大阪府","","","","","","","","","","","",""
"通天閣","[通天閣（大阪）] 通天閣 （つうてんかく）は、 大阪府 大阪市 浪速区 の 新世界 中心部に建つ展望塔である。 2007年 5月15日 に、国の 登録有形文化財 となった  。公式キャラクターは「 ビリケン 」。大阪の 観光名所 並びにシンボルタワーとして知られる。","https://ja.wikipedia.org/wiki/通天閣","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","北緯34度39分9.13秒東経135度30分22.77秒","〒556-0002大阪府大阪市浪速区恵美須東一丁目18番6号","","","","","","","","","","","","","","","","","",""
