"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","本部所在地","学校種別","設置者","学部","ウェブサイト","研究科","大学設置","創立","キャンパス","大学設置/創立","学生数","廃止","学校設置/創立","大学校種別","学部相当","学長","大学校設置/創立","大学校設置","設立"
"香川県立保健医療大学","[香川県立保健医療大学　公] 香川県立医療短期大学 を母体として設立された大学である。","https://ja.wikipedia.org/wiki/香川県立保健医療大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯34度19分18秒東経134度9分28秒","香川県高松市牟礼町原字山田281番地1北緯34度19分18秒東経134度9分28秒﻿ / ﻿北緯34.32167度 東経134.15778度﻿ /34.32167; 134.15778座標:北緯34度19分18秒東経134度9分28秒﻿ / ﻿北緯34.32167度 東経134.15778度﻿ /34.32167; 134.15778","公立","香川県","保健医療学部","https://www.kagawa-puhs.ac.jp/","保健医療学研究科","2004年","1999年","高松","","","","","","","","","",""
"学習院大学","[学習院大学] 江戸時代 後期の 1847年 （ 弘化 4年）に 京都御所 で開講された 学習所 を起源とし、 明治時代 初期、 1877年 （明治10年）に 皇族 ・ 華族 のための教育機関としてあらためて開校された。 新制大学 としての学習院大学の開校は 第二次世界大戦 後の 1949年 （昭和24年）。","https://ja.wikipedia.org/wiki/学習院大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯35度43分6.12秒東経139度42分32.6秒","東京都豊島区目白1-5-1北緯35度43分6.12秒東経139度42分32.6秒﻿ / ﻿北緯35.7183667度 東経139.709056度﻿ /35.7183667; 139.709056座標:北緯35度43分6.12秒東経139度42分32.6秒﻿ / ﻿北緯35.7183667度 東経139.709056度﻿ /35.7183667; 139.709056","私立","学校法人学習院","法学部経済学部文学部理学部国際社会科学部","https://www.univ.gakushuin.ac.jp/","人文科学研究科法学研究科政治学研究科経済学研究科経営学研究科自然科学研究科法務研究科","1949年","1847年","目白（東京都豊島区）","","9,186","","","","","","","",""
"学習院女子大学","[学習院女子大学] 1847年 （ 弘化 4年）、 仁孝天皇 によって設けられた 学習所 の 女子教科 が起源である。 明治政府 はそれまでの 大名 ・ 公家 を 華族 と呼び、その教育に力を入れた。華族のための学校として 1877年 （ 明治 10年）に設立されたのが 学習院 である。女子教科は 1885年 （明治18年）に 華族女学校 に改組されたのち、 1906年 （明治39年）に学習院に吸収され、その女学部となった。","https://ja.wikipedia.org/wiki/学習院女子大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯35度42分27秒東経139度42分43.6秒","東京都新宿区戸山3-20-1北緯35度42分27秒東経139度42分43.6秒﻿ / ﻿北緯35.70750度 東経139.712111度﻿ /35.70750; 139.712111座標:北緯35度42分27秒東経139度42分43.6秒﻿ / ﻿北緯35.70750度 東経139.712111度﻿ /35.70750; 139.712111","私立","学校法人学習院","国際文化交流学部","https://www.gwc.gakushuin.ac.jp/","国際文化交流研究科","1998年","1847年","戸山（東京都新宿区）","","1,698","","","","","","","",""
"鹿児島大学","[鹿児島大学　国] 鹿児島大学は、1949年の 学制改革 の際に鹿児島市内に所在していた旧制諸学校のうち、 第七高等学校造士館 （ 1901年 （ 明治 34年）設置）、 官立鹿児島農林専門学校 （ 1908年 （明治41年）設置）、 鹿児島師範学校 （ 1943年 （昭和18年）設置）、 鹿児島青年師範学校 （ 1944年 （昭和19年）設置）および 鹿児島水産専門学校 （ 1946年 （昭和21年）設置）を包括し、文理学部、教育学部、農学部、水産学部の4学部をもって 新制大学 として誕生した。その後、 1955年 （昭和30年）に 鹿児島県立大学 の国立移管により医学部および工学部を設置、 1965年 （昭和40年）に文理学部を改組して現在の法文学部および理学部とし、 1977年 （昭和52年）に歯学部を設置した。 2012年 （平成24年）に農学部獣医学科が 山口大学 との共同で6年制の共同獣医学部とし、9学部10大学院となった。そのほかにも、数多くの附属施設を有する鹿児島県内最大の総合大学である。","https://ja.wikipedia.org/wiki/鹿児島大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯31度34分19秒 東経130度32分43.7秒","鹿児島県鹿児島市郡元1丁目21-24","国立","国立大学法人鹿児島大学","法文学部教育学部理学部医学部歯学部工学部農学部共同獣医学部水産学部","https://www.kagoshima-u.ac.jp/","人文社会科学研究科教育学研究科保健学研究科農学研究科水産学研究科農林水産学研究科理工学研究科医歯学総合研究科連合農学研究科臨床心理学研究科連合獣医学研究科共同獣医学研究科","1949年","1773年","郡元（鹿児島市郡元）桜ヶ丘（鹿児島市桜ケ丘）下荒田（鹿児島市下荒田）","","","","","","","","","",""
"鹿児島国際大学","[鹿児島国際大学] 1932年 に設置された鹿児島高等商業学校（ 1950年 より 鹿児島商科短期大学 ）を母体とし、 1960年 に鹿児島経済大学として設置された。","https://ja.wikipedia.org/wiki/鹿児島国際大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯31度29分41.5秒 東経130度29分45.5秒","鹿児島県鹿児島市坂之上8-34-1","私立","学校法人津曲学園","経済学部福祉社会学部国際文化学部","https://www.iuk.ac.jp/","経済学研究科福祉社会学研究科国際文化研究科","1960年","1932年","","","","","","","","","","",""
"鹿児島純心女子大学","[鹿児島純心女子大学] 長崎純心大学","https://ja.wikipedia.org/wiki/鹿児島純心女子大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯31度49分31.2秒 東経130度19分42.9秒","鹿児島県薩摩川内市天辰町2365","私立","学校法人鹿児島純心女子学園","国際人間学部看護栄養学部","https://www.k-junshin.ac.jp/jundai/","人間科学研究科","1994年","1933年","","","","","","","","","","",""
"活水女子大学","[活水女子大学] 大学名や法人名である「活水」は、『 ヨハネによる福音書 』4章10節の「活ける水によってサマリヤの女に天来の 福音 を説いた」とする記述に因む   。","https://ja.wikipedia.org/wiki/活水女子大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯32度44分19.8秒 東経129度52分24.3秒","長崎県長崎市東山手町1-50","私立","学校法人活水学院","文学部音楽学部健康生活学部看護学部","http://www.kwassui.ac.jp/university/","文学研究科","1981年","1879年","東山手キャンパス（長崎県長崎市）新戸町キャンパス（長崎県長崎市）大村キャンパス（長崎県大村市）","","","","","","","","","",""
"神奈川大学","[神奈川大学] 建学の精神は","https://ja.wikipedia.org/wiki/神奈川大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯35度29分6秒東経139度37分14秒","神奈川県横浜市神奈川区六角橋3-27-1北緯35度29分6秒東経139度37分14秒﻿ / ﻿北緯35.48500度 東経139.62056度﻿ /35.48500; 139.62056座標:北緯35度29分6秒東経139度37分14秒﻿ / ﻿北緯35.48500度 東経139.62056度﻿ /35.48500; 139.62056","私立","学校法人神奈川大学","法学部経済学部経営学部国際日本学部外国語学部人間科学部理学部工学部","https://www.kanagawa-u.ac.jp/","法学研究科経済学研究科経営学研究科外国語学研究科人間科学研究科理学研究科工学研究科歴史民俗資料学研究科法務研究科（法科大学院）","1949年","1928年","横浜（神奈川県横浜市神奈川区）湘南ひらつか（神奈川県平塚市）みなとみらい（神奈川県横浜市西区）","","","","","","","","","",""
"神奈川県立保健福祉大学","[神奈川県立保健福祉大学　公] 北翔大学 | 北海道医療大学","https://ja.wikipedia.org/wiki/神奈川県立保健福祉大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","","神奈川県横須賀市平成町1-10-1","公立","神奈川県","保健福祉学部","http://www.kuhs.ac.jp/","保健福祉学研究科ヘルスイノベーション研究科","","","横須賀 実践教育センター(二俣川)殿町(川崎)","2003年","","","","","","","","",""
"神奈川工科大学","[神奈川工科大学] 神奈川県中央部に位置する厚木市に校地（ キャンパス ）がある。","https://ja.wikipedia.org/wiki/神奈川工科大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","","神奈川県厚木市下荻野1030","私立","学校法人幾徳学園","工学部情報学部創造工学部応用バイオ科学部看護学部","https://www.kait.jp/","工学研究科","1975年","1963年","厚木（神奈川県厚木市）","","","","","","","","","",""
"神奈川歯科大学","[神奈川歯科大学] 欧米諸国の歯科事情を視察した大久保潜龍が女子の 歯科医学教育機関 の必要性を考慮し、 1910年 日本で初めて婦人歯科医師を養成するために設立した東京女子歯科医学講習所が前身である。","https://ja.wikipedia.org/wiki/神奈川歯科大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","","神奈川県横須賀市稲岡町82","私立","学校法人神奈川歯科大学","歯学部・短期大学部","http://www.kdu.ac.jp","歯学研究科","1964年","1910年","","","","","","","","","","",""
"金沢大学","[金沢大学　国] 金沢大学は、 旧制金沢医科大学 、 旧制第四高等学校 、 金沢高等師範学校 、 石川師範学校 、 金沢高等工業学校 を主な母体として設立された、本州日本海側を代表する大学である。現在、3学域17学類8研究科を設置している。","https://ja.wikipedia.org/wiki/金沢大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯36度32分45.7秒東経136度42分31秒","石川県金沢市角間町北緯36度32分45.7秒東経136度42分31秒﻿ / ﻿北緯36.546028度 東経136.70861度﻿ /36.546028; 136.70861座標:北緯36度32分45.7秒東経136度42分31秒﻿ / ﻿北緯36.546028度 東経136.70861度﻿ /36.546028; 136.70861","国立","国立大学法人金沢大学","人間社会学域理工学域医薬保健学域","www.kanazawa-u.ac.jp","人間社会環境研究科自然科学研究科医薬保健学総合研究科教育学研究科教職実践研究科(教職大学院)法務研究科(法科大学院)先進予防医学研究科新学術創成研究科連合大学院大阪大学・金沢大学・浜松医科大学・千葉大学・福井大学　連合小児発達学研究科","1949年","1862年","角間（金沢市角間町）宝町（金沢市宝町）鶴間（金沢市小立野）平和町（金沢市平和町）東兼六（金沢市東兼六町）辰口（石川県能美市）","","","","","","","","","",""
"金沢医科大学","[金沢医科大学] 金沢市 のベッドタウンである、石川県河北郡内灘町にある 私立 新設医科大学 。 金沢大学 医学部 出身の教授が多いが、最近は自校出身の教授も増えてきている。当初は 歯学部 の設置も予定され  金沢医科歯科大学の名前で設立準備がされていたが認可が下りず医学部医学科のみの単科大学となった。","https://ja.wikipedia.org/wiki/金沢医科大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯36度39分22.2秒 東経136度38分48.6秒","石川県河北郡内灘町大学1-1","私立","学校法人金沢医科大学","医学部看護学部","https://www.kanazawa-med.ac.jp/","医学研究科","","","","1972年","","","","","","","","",""
"金沢学院大学","[金沢学院大学] 1946年 に GHQ の教育顧問で 明星学園 長であった 赤井米吉 が金沢女子専門学園を創立。 1987年 に金沢女子大学（文学部のみの単科大学）として開学する。 1995年 に金沢学院大学に改称するとともに 経営情報学部 を増設し、 男女共学 化する。 1999年 に大学院を設置、 2000年 に美術文化学部を増設、 2011年 にスポーツ健康学部を増設。現在は、6学部8学科3研究科体制となっている。","https://ja.wikipedia.org/wiki/金沢学院大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯36度31分0.3秒東経136度41分44.5秒","石川県金沢市末町10北緯36度31分0.3秒東経136度41分44.5秒﻿ / ﻿北緯36.516750度 東経136.695694度﻿ /36.516750; 136.695694座標:北緯36度31分0.3秒東経136度41分44.5秒﻿ / ﻿北緯36.516750度 東経136.695694度﻿ /36.516750; 136.695694","私立","学校法人金沢学院大学","文学部教育学部経済学部経済情報学部芸術学部スポーツ科学部栄養学部","https://www.kanazawa-gu.ac.jp/","経営情報学研究科人文学研究科スポーツ健康学研究科","1987年","1946年","","","","","","","","","","",""
"金沢工業大学","[金沢工業大学] 大学の建学綱領として、人間形成「人間味豊かな技術者、研究者として、高い道徳心と国際感覚を持った創造的で個性豊かな人材の養成を目指す」、技術革新「確かな基礎学力の育成を基本において創造的応用能力の育成に力を注ぎ、将来の技術革新に柔軟に対応しその中核を担い得る技術者、研究者を育てる」、産学協同「産業界の新しい息吹を前向きに取り入れながら、つねに時代が求めるテーマを積極的に追求し、広く開かれた大学として地域社会に貢献する」を掲げている。","https://ja.wikipedia.org/wiki/金沢工業大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","","石川県野々市市扇が丘7-1","私立","学校法人金沢工業大学","工学部情報フロンティア学部環境・建築学部バイオ・化学部","https://www.kanazawa-it.ac.jp/","工学研究科、心理科学研究科","1965年","1957年","扇が丘キャンパスやつかほリサーチキャンパス白山麓キャンパス虎ノ門キャンパス","","","","","","","","","",""
"金沢星稜大学","[金沢星稜大学] 「誠実にして社会に役立つ人間の育成」","https://ja.wikipedia.org/wiki/金沢星稜大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","","石川県金沢市御所町丑10-1","私立","学校法人稲置学園","経済学部人間科学部人文学部","http://www.seiryo-u.ac.jp/u/","経営戦略研究科","1967年","1932年","御所キャンパス","","","","","","","","","",""
"金沢美術工芸大学","[金沢美術工芸大学　公] 1946年 に 金沢市 が法人として設置された金沢美術工芸専門学校（ 1950年 より金沢美術工芸短期大学）を母体として 1955年 に設置された  。","https://ja.wikipedia.org/wiki/金沢美術工芸大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","","石川県金沢市小立野5-11-1","公立","金沢市→2010年より「公立大学法人金沢美術工芸大学」へ移管","美術工芸学部","https://www.kanazawa-bidai.ac.jp/","美術工芸研究科","1955年","1946年","","","","","","","","","","",""
"鹿屋体育大学","[鹿屋体育大学国] 全国で唯一の国立体育大学で、広大なキャンパスにある充実した施設は国内最高水準である。 2004年アテネオリンピック 競泳金メダリストの 柴田亜衣 をはじめ、 2008年北京オリンピック では競泳、バレーボールで4名の選手が出場。 2012年ロンドンオリンピック でも競泳、自転車で4名の選手が出場した。","https://ja.wikipedia.org/wiki/鹿屋体育大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯31度23分42.1秒 東経130度47分10.8秒","鹿児島県鹿屋市白水町","国立","国立大学法人鹿屋体育大学","体育学部","https://www.nifs-k.ac.jp/","体育学研究科","","","","1981年","","","","","","","","",""
"鎌倉女子大学","[鎌倉女子大学] （沿革の項も参照のこと）","https://ja.wikipedia.org/wiki/鎌倉女子大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","","神奈川県鎌倉市大船六丁目1番3号","私立","学校法人鎌倉女子大学","家政学部児童学部教育学部","http://www.kamakura-u.ac.jp/","児童学研究科","1959年","1943年","大船キャンパス（神奈川県鎌倉市）岩瀬キャンパス山ノ内学舎（神奈川県鎌倉市）二階堂学舎（神奈川県鎌倉市）","","","","","","","","","",""
"亀田医療大学","[亀田医療大学] 前身は 1954年 （ 昭和 29年）に開校した亀田病院 准看護婦 学校で、 1966年 （昭和41年）に民間初の 看護師学校 を2年 課程 で設置し、 1979年 （昭和54年）に3年課程の 専修学校 の認可を受けた。 1992年 （ 平成 4年）に2年課程の第2看護学科を開設した   。 2002年 （平成14年）に、1年課程の第1看護学科80名、2年課程の第2看護学科40名、准看護学科30名、の3学科を有する 看護専門学校 となる。 2000年 （平成12年）に准看護学科を廃止して 助産学科 20名を設置し、亀田医療技術専門学校と改称した。 2005年 （平成17年）3月に第2看護学科を廃止し、 2010年 （平成22年）4月に設置者を 医療法人 から 学校法人 へ変更  した。","https://ja.wikipedia.org/wiki/亀田医療大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯35度6分6秒東経140度6分0秒","千葉県鴨川市横渚462番地北緯35度6分6秒東経140度6分0秒﻿ / ﻿北緯35.10167度 東経140.10000度﻿ /35.10167; 140.10000座標:北緯35度6分6秒東経140度6分0秒﻿ / ﻿北緯35.10167度 東経140.10000度﻿ /35.10167; 140.10000","私立","学校法人鉄蕉館","看護学部","http://www.kameda.ac.jp/","","2012年","1954年","横渚キャンパス（千葉県鴨川市横渚）東町キャンパス（千葉県鴨川市東町）","","","","","","","","","",""
"川崎医科大学","[川崎医科大学] 岡山市 内の川崎病院  を母体として、 学校法人 川崎学園 が 1970年 に開学  した。 中国・四国地方 で唯一となる私立 医学部 で、校名の「川崎」は創立者の 川﨑祐宣 に拠る。","https://ja.wikipedia.org/wiki/川崎医科大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯34度37分55.3秒 東経133度48分40.9秒","岡山県倉敷市松島577","私立","学校法人川崎学園","医学部","https://m.kawasaki-m.ac.jp/","医学研究科","","","","1970年","","","","","","","","",""
"川崎医療福祉大学","[川崎医療福祉大学] 私立大学。より専門的、人間的で、かつ「質」の高いサポートを提供できる 医療 福祉 ・ 医療技術 の スペシャリスト の養成を目指し、世界で最初に医療福祉と健康科学を 統合 した大学である。","https://ja.wikipedia.org/wiki/川崎医療福祉大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯34度38分5.4秒 東経133度48分39.9秒","岡山県倉敷市松島288","私立","学校法人川崎学園","医療福祉学部医療技術学部医療福祉マネジメント学部","https://w.kawasaki-m.ac.jp/","医療福祉学研究科医療技術学研究科","","","","1991年","","","","","","","","",""
"川村学園女子大学","[川村学園女子大学] 江戸川大学 | 川村学園女子大学 | 聖徳大学 | 千葉大学 | 中央学院大学 | 東京大学柏地区キャンパス | 東京理科大学 | 東洋学園大学 | 二松學舍大学 | 開智国際大学 | 麗澤大学","https://ja.wikipedia.org/wiki/川村学園女子大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","","千葉県我孫子市下ケ戸1133","私立","学校法人川村学園","文学部教育学部生活創造学部","https://www.kgwu.ac.jp/","人文科学研究科","1988年","1924年","我孫子（千葉県我孫子市）目白（東京都豊島区）","","","","","","","","","",""
"関西大学","[関西大学] 関西大学は、 江戸時代 後期の 1825年 （ 文政 8年）、四国高松出身の儒学者、 藤沢東畡 （1794-1864）によって大坂市中に開かれた漢学塾「 泊園書院 」を源流とし、 1886年 に関西初の法律学校として大阪府 大阪市 西区 京町堀 の 願宗寺 に開かれた 関西法律学校 を起源に持つ大学である  。","https://ja.wikipedia.org/wiki/関西大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯34度46分13.2秒東経135度30分29.5秒","大阪府吹田市山手町三丁目3番35号北緯34度46分13.2秒東経135度30分29.5秒﻿ / ﻿北緯34.770333度 東経135.508194度﻿ /34.770333; 135.508194座標:北緯34度46分13.2秒東経135度30分29.5秒﻿ / ﻿北緯34.770333度 東経135.508194度﻿ /34.770333; 135.508194","私立","学校法人関西大学","法学部文学部経済学部商学部社会学部政策創造学部外国語学部人間健康学部総合情報学部社会安全学部システム理工学部環境都市工学部化学生命工学部","https://www.kansai-u.ac.jp/","法学研究科文学研究科経済学研究科商学研究科社会学研究科総合情報学研究科理工学研究科外国語教育学研究科心理学研究科社会安全研究科東アジア文化研究科ガバナンス研究科人間健康研究科法科大学院会計専門職大学院臨床心理専門職大学院","1922年","1886年","千里山（大阪府吹田市）高槻（大阪府高槻市）高槻ミューズ（大阪府高槻市）堺（堺市堺区）梅田（大阪市北区）","","","","","","","","","",""
"関西医科大学","[関西医科大学] 1928年(昭和3年)大阪女子高等医学専門学校(大阪女子医専)として大阪府枚方市牧野地区に開設。当時西日本で唯一の女子医育機関であった。その後、1960年大阪府守口市に滝井病院（現在の 総合医療センター ）が竣工し、専門課程と大学本部が守口市に移転。教養部の2年間は牧野キャンパスで学び、修了後は守口市の滝井キャンパスで学ぶ形を採用した。","https://ja.wikipedia.org/wiki/関西医科大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯34度49分7秒東経135度38分45秒","大阪府枚方市新町2-5-1北緯34度49分7秒東経135度38分45秒﻿ / ﻿北緯34.81861度 東経135.64583度﻿ /34.81861; 135.64583座標:北緯34度49分7秒東経135度38分45秒﻿ / ﻿北緯34.81861度 東経135.64583度﻿ /34.81861; 135.64583","私立","学校法人関西医科大学","医学部、看護学部、リハビリテーション学部","http://www.kmu.ac.jp/","医学研究科、看護学研究科","1947年","1928年","枚方キャンパス牧野キャンパス","","","","","","","","","",""
"関西医療大学","[関西医療大学] 関西医療大学 | 九州保健福祉大学 | 鈴鹿医療科学大学 | 宝塚医療大学 | 筑波技術大学 | 帝京平成大学 | 東京有明医療大学 | 明治国際医療大学 | 森ノ宮医療大学 | 常葉大学 | 倉敷芸術科学大学","https://ja.wikipedia.org/wiki/関西医療大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","","大阪府泉南郡熊取町若葉2丁目11-1","私立","学校法人関西医療学園","保健医療学部保健看護学部","https://www.kansai.ac.jp/","保健医療学研究科","2003年","1985年","","","","","","","","","","",""
"関西外国語大学","[関西外国語大学] 外国語大学。キャッチコピーは「GO FOR IT! - 語学の、その先へ」。2019年10月末現在、欧米を中心に全世界55か国、391大学と提携し、交流を進めている。学部、学科によっては、教育課程に留学が組み込まれ、事実上、義務化されている。","https://ja.wikipedia.org/wiki/関西外国語大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","","大阪府枚方市中宮東之町16-1","私立","学校法人関西外国語大学","英語キャリア学部外国語学部英語国際学部留学生別科","https://www.kansaigaidai.ac.jp/","外国語学研究科","1966年","1945年","中宮キャンパス御殿山キャンパス","","15,000","","","","","","","",""
"関西看護医療大学","[関西看護医療大学] ","https://ja.wikipedia.org/wiki/関西看護医療大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯34度26分8.7秒東経134度54分0.8秒","兵庫県淡路市志筑1456-4北緯34度26分8.7秒東経134度54分0.8秒﻿ / ﻿北緯34.435750度 東経134.900222度﻿ /34.435750; 134.900222座標:北緯34度26分8.7秒東経134度54分0.8秒﻿ / ﻿北緯34.435750度 東経134.900222度﻿ /34.435750; 134.900222","私立","学校法人関西看護医療大学","看護学部","https://www.kki.ac.jp/","看護学研究科","","","","2006年","","","","","","","","",""
"関西国際大学","[関西国際大学] 学校法人濱名学院により 1998年 、 兵庫県 三木市 に設置された 日本 の 私立大学 。当初は 経営学部 のみであり、 1987年 に設立された 関西女学院短期大学 は短期大学部として改組された  。 2001年 には 人間学部 が開設され  、その後 2007年 に経営学部と人間学部がそれぞれ 人間科学部 と 教育学部 に改編された  。また、 2009年 には兵庫県 尼崎市 に尼崎キャンパスが開設され、教育学部が同キャンパスに移転する  。 2013年 には 保健医療学部 、 2019年 には 国際コミュニケーション学部 が開設され、同年に経営学部が再開設されている  。また、 2020年 には、 神戸市 中央区 に存在した旧 神戸山手大学 から 現代社会学部 が学部譲渡の形で開設されたと同時に同大学のキャンパスも譲渡され本学の神戸山手キャンパスとなった    。さらに、 2021年 には国際コミュニケーション学部と人間科学部が神戸山手キャンパスに移転し、現代社会学部と人間科学部がそれぞれ 社会学部 と 心理学部 に改編された    。","https://ja.wikipedia.org/wiki/関西国際大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯34度46分17.4秒 東経135度2分35.8秒","兵庫県三木市志染町青山1-18","私立","学校法人濱名山手学院","国際コミュニケーション学部教育学部経営学部心理学部保健医療学部社会学部","http://www.kuins.ac.jp/","人間行動学研究科看護学研究科","1998年","1987年","三木（兵庫県三木市）尼崎（兵庫県尼崎市）神戸山手（神戸市中央区）","","","","","","","","","",""
"関西福祉大学","[関西福祉大学] 関西福祉大学は、兵庫県 赤穂市 と 学校法人関西金光学園 との公私協力で設立され大学で、「人間平等」「個性尊重」「和と感謝」という3つの建学の精神に基づき、社会福祉士、精神保健福祉士、看護師、保健師、保育士、幼稚園教諭など地域に根ざした人材を育成している。 開学以来、重点施策としている地域連携を強化し、赤穂市以外に岡山県備前市、兵庫県上郡町（2015年3月23日予定）との連携協定を締結するほか、地元の高等学校との高大連携を進め、「地域の知の拠点」としての重要性を高めている。","https://ja.wikipedia.org/wiki/関西福祉大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯34度45分43秒東経134度22分4.2秒","兵庫県赤穂市新田380-3北緯34度45分43秒東経134度22分4.2秒﻿ / ﻿北緯34.76194度 東経134.367833度﻿ /34.76194; 134.367833座標:北緯34度45分43秒東経134度22分4.2秒﻿ / ﻿北緯34.76194度 東経134.367833度﻿ /34.76194; 134.367833","私立","学校法人関西金光学園","社会福祉学部看護学部教育学部","https://www.kusw.ac.jp/","社会福祉学研究科看護学研究科教育学研究科","","","","1997年","","","","","","","","",""
"関西福祉科学大学","[関西福祉科学大学] 1997年 （平成9年）社会福祉学部　社会福祉学科の単科大学として開学、 2003年 （平成15年）に新たに3つの学科が新設された。 2011年 （平成23年）より保健医療学部　リハビリテーション学科が新たに加わり、3学部5学科2専攻になった。敷地内には短大・専門学校・高校・幼稚園を有し「 玉手山学園 」と称する。玉手山学園は 2012年 （平成24年）に学園創立70周年を迎えた。 2016年 （平成28年）4月には心理科学部心理科学科、教育学部教育学科を開設し、5学部6学科となった。","https://ja.wikipedia.org/wiki/関西福祉科学大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯34度33分31.6秒東経135度38分12.7秒","大阪府柏原市旭ヶ丘3-11-1北緯34度33分31.6秒東経135度38分12.7秒﻿ / ﻿北緯34.558778度 東経135.636861度﻿ /34.558778; 135.636861座標:北緯34度33分31.6秒東経135度38分12.7秒﻿ / ﻿北緯34.558778度 東経135.636861度﻿ /34.558778; 135.636861","私立","学校法人玉手山学園","社会福祉学部心理学部教育学部健康福祉学部保健医療学部","https://www.fuksi-kagk-u.ac.jp/","","1997年","1942年","","","","","","","","","","",""
"関西学院大学","[関西学院大学] 5つの キャンパス の中で最も古い歴史を持つ西宮上ヶ原キャンパスは、国の 登録有形文化財 である時計台（旧図書館）  など「スパニッシュ・ミッションスタイル」で統一された建築群と、約240種4万9千本に上る樹木  に囲まれている。 2009年 （平成21年）には、 経済産業省 認定の 近代化産業遺産群 続33 の一つに認定されている。また、 2017年 （平成29年）には、 学校法人関西学院 と、キャンパスや建物の設計業務を担ってきた 日本設計 に対して、 日本建築学会 より2017年 日本建築学会賞 （業績）が贈られた  。","https://ja.wikipedia.org/wiki/関西学院大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯34度46分4.6秒 東経135度20分47.6秒","兵庫県西宮市上ケ原一番町1-155","私立","学校法人関西学院","神学部文学部社会学部法学部経済学部商学部人間福祉学部教育学部理工学部総合政策学部国際学部","https://www.kwansei.ac.jp/","神学研究科文学研究科社会学研究科法学研究科経済学研究科商学研究科人間福祉研究科教育学研究科理工学研究科総合政策研究科言語コミュニケーション文化研究科司法研究科（法科大学院）経営戦略研究科","1932年","1889年","西宮上ケ原（兵庫県西宮市）西宮聖和（兵庫県西宮市）神戸三田（兵庫県三田市）大阪梅田（大阪府大阪市北区）東京丸の内（東京都千代田区）宝塚（兵庫県宝塚市）千里国際（大阪府箕面市）西宮北口（兵庫県西宮市）","","","","","","","","","",""
