"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","面積","位置","アクセス","周囲長","最大水深","貯水量","成因","淡水・汽水","所在海域","最高標高","全長","駐車場","平均水深","水面の,標高","湖沼型","透明度","海岸線長"," • 合計"
"浦富海岸","[浦富海岸鳥取県岩美郡岩美町] 浦富海岸 （うらどめかいがん）は、 鳥取県 岩美郡 岩美町 にある約15キロメートルにわたる リアス式海岸 である。 但馬御火浦 の西に位置する。","https://ja.wikipedia.org/wiki/浦富海岸","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"鳥取砂丘","[鳥取砂丘、白兎海岸鳥取市] 座標 : .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap} 北緯35度32分33秒 東経134度13分49秒 ﻿ / ﻿ 北緯35.54250度 東経134.23028度 ﻿ / 35.54250; 134.23028","https://ja.wikipedia.org/wiki/鳥取砂丘","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"弓ヶ浜半島","[弓ヶ浜海岸境港市、米子市] 弓ヶ浜半島 （ゆみがはまはんとう）は、 本州 の 日本海 側、 鳥取県 西端部に位置する 半島 である。 弓浜 （ きゅうひん ） 半島、 夜見ヶ浜 （ よみがはま ） 半島、 五里ヶ浜 （ ごりがはま ） 半島とも呼ばれる。","https://ja.wikipedia.org/wiki/弓ヶ浜半島","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"稲佐の浜","[稲佐の浜島根県出雲市] 稲佐の浜 （いなさのはま）は、 島根県 出雲市 大社町にある 砂浜 。","https://ja.wikipedia.org/wiki/稲佐の浜","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"琴ヶ浜","[琴ヶ浜大田市] 琴ヶ浜 （ことがはま）は 島根県 大田市 仁摩町（旧 邇摩郡 仁摩町 ）にある 砂浜 。 鳴き砂 （鳴り砂とも言う）で有名であり、 1996年 に 日本の音風景100選 と 日本の渚百選 に選ばれる。 延長1.6Km。","https://ja.wikipedia.org/wiki/琴ヶ浜","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"渋川海岸","[渋川海岸岡山県玉野市] 渋川海岸 （しぶかわかいがん）は、 岡山県 玉野市 渋川に位置する 海岸 。 瀬戸内海国立公園 に属し、 環境省 による 快水浴場百選 をはじめ、 日本の渚百選 、 日本の白砂青松100選 に選定されている。","https://ja.wikipedia.org/wiki/渋川海岸","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"沙美海岸","[沙美海岸倉敷市] 沙美海岸 （さみかいがん）は、 岡山県 倉敷市 玉島 黒崎（沙美西及び沙美東  ）に位置する 海浜公園 である。","https://ja.wikipedia.org/wiki/沙美海岸","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"桂浜 (広島県) (存在しないページ)","[桂浜広島県呉市]","https://ja.wikipedia.org/w/index.php?title=桂浜_(広島県)&amp;action=edit&amp;redlink=1","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"室積海岸","[室積・虹ヶ浜海岸山口県光市] 室積海岸 （むろづみかいがん）は、 山口県 光市 に位置する 海岸 で、 瀬戸内海国立公園 の指定地の一つである。 延長5kmに及ぶ海岸線に沿って クロマツ 林が広がる 海水浴場 としても知られる。市街地を挟んで西側には、同じく長い海岸線を持つ 虹ヶ浜海岸 が位置する。","https://ja.wikipedia.org/wiki/室積海岸","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"青海島","[青海島長門市] 青海島 （おおみじま、おうみじま）は、 山口県 長門市 の北、 日本海 に浮かぶ 島 である。","https://ja.wikipedia.org/wiki/青海島","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","北緯34度25分44.2秒東経131度13分19.8秒","日本山口県長門市","14km²","","","","","","","","日本海","319.9m","","","","","","","約40km",""
"都道府県","[都道府県自治体] 都道府県 （とどうふけん）は、 日本 の 広域的地方公共団体 である「 都 」「 道 」「 府 」「 県 」の総称。","https://ja.wikipedia.org/wiki/都道府県","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"大浜海岸","[大浜海岸徳島県海部郡美波町] 大浜海岸 （おおはまかいがん）は、 徳島県 海部郡 美波町 日和佐浦に位置する延長約500 m の 砂浜 である。 日本の渚百選 ・ 四国のみずべ八十八カ所 選定。","https://ja.wikipedia.org/wiki/大浜海岸","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","徳島県海部郡美波町日和佐浦","","","JR牟岐線日和佐駅より車で約5分。","","","","","","","","500m","あり","","","","","",""
"北の脇海岸","[北の脇海岸阿南市] 北の脇海岸 （きたのわきかいがん）は、 徳島県 阿南市 中林町 にある 紀伊水道 に面した 海岸 である。 日本の渚百選 に選定。","https://ja.wikipedia.org/wiki/北の脇海岸","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","徳島県阿南市中林町-見能林町","","","JR牟岐線見能林駅より車で約3分。","","","","","","","","2km","100台（無料）200台（有料）","","","","","",""
"津田の松原","[津田の松原香川県さぬき市] 津田の松原 （つだのまつばら）","https://ja.wikipedia.org/wiki/津田の松原","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"有明浜","[有明海岸観音寺市] 有明浜 （ありあけはま）、 有明海岸 （ありあけかいがん）は、 香川県 観音寺市 室本町、八幡町、有明町にかけての 瀬戸内海 に面した約2000 m に渡る 砂浜 。 日本の渚百選 に選ばれている。有明浜 海水浴場 があって夏場には多くの海水浴客で賑わい、 日本の水浴場55選 と 日本の水浴場88選 に選ばれている。また、県内でも有数の 海浜植物 の群生地があり、「有明浜の海浜植物群落」として観音寺市指定 天然記念物 に指定されている。琴弾公園山頂の展望台では銭型砂絵をはじめ、有明海岸を一望できる。","https://ja.wikipedia.org/wiki/有明浜","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"満濃池","[満濃池仲多度郡まんのう町] 満濃池 （まんのういけ）は、 香川県 仲多度郡 まんのう町 にある 日本最大 の 灌漑 用の ため池 である。国の 名勝 に指定されている。","https://ja.wikipedia.org/wiki/満濃池","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","北緯34度09分04秒東経133度52分24秒","日本香川県","1.421km2","北緯34度09分04秒東経133度52分24秒﻿ / ﻿北緯34.15111度 東経133.87333度﻿ /34.15111; 133.87333座標:北緯34度09分04秒東経133度52分24秒﻿ / ﻿北緯34.15111度 東経133.87333度﻿ /34.15111; 133.87333","","19.7km","30.14m","0.0154km3","灌漑用人造湖","淡水","","","","","","","","","",""
"桜井海岸 (存在しないページ)","[桜井海岸愛媛県今治市]","https://ja.wikipedia.org/w/index.php?title=桜井海岸&amp;action=edit&amp;redlink=1","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"須ノ川海岸 (存在しないページ)","[須ノ川海岸南宇和郡愛南町]","https://ja.wikipedia.org/w/index.php?title=須ノ川海岸&amp;action=edit&amp;redlink=1","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"桂浜","[桂浜公園高知県高知市] 桂浜 （かつらはま）は、 高知県 高知市 浦戸 に位置し 太平洋 に臨む 海岸 。 土佐 民謡 「 よさこい節 」にも詠われ、そして太平洋を望んで立つ 坂本龍馬 の銅像がある浜辺は、高知を代表する名所の一つとして知られる。","https://ja.wikipedia.org/wiki/桂浜","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"入野海岸 (存在しないページ)","[入野海岸幡多郡黒潮町]","https://ja.wikipedia.org/w/index.php?title=入野海岸&amp;action=edit&amp;redlink=1","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"室戸岬","[室戸岬室戸市] 室戸岬 （むろとざき、むろとみさき）は、 高知県 室戸市 に属し、 太平洋 （ フィリピン海 ）に面する 岬 。国の 名勝 （1928年指定）、および 室戸阿南海岸国定公園 に指定されている。 .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap} 北緯33度14分34秒 東経134度10分35秒 ﻿ / ﻿ 北緯33.24278度 東経134.17639度 ﻿ / 33.24278; 134.17639 ﻿ ( 室戸岬 ) 座標 : 北緯33度14分34秒 東経134度10分35秒 ﻿ / ﻿ 北緯33.24278度 東経134.17639度 ﻿ / 33.24278; 134.17639 ﻿ ( 室戸岬 ) 。 波乗り ( サーフィン )の名所でもある。","https://ja.wikipedia.org/wiki/室戸岬","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"二見ヶ浦 (福岡県)","[二見ヶ浦福岡県糸島市] 二見ヶ浦 （ふたみがうら）は 玄海国定公園 内に位置する  福岡県 糸島市 志摩桜井  の 海岸 である。 桜井二見ヶ浦 （さくらいふたみがうら）または 筑前二見ヶ浦 （ちくぜんふたみがうら）とも呼ばれる。","https://ja.wikipedia.org/wiki/二見ヶ浦_(福岡県)","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"海の中道","[海の中道福岡市] 海の中道 （うみのなかみち）は、 福岡県 福岡市 東区 にある 志賀島 と 九州 本土とを繋ぐ 陸繋砂州 である。全長約8 キロメートル 、最大幅約2.5キロメートルの巨大な 砂州 で、この砂州の北は 玄界灘 、南は 博多湾 となっている。 うみなか とも略称される。福岡市内のリゾート地域として多くの施設を抱える。","https://ja.wikipedia.org/wiki/海の中道","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"虹の松原","[虹の松原佐賀県唐津市] 虹の松原 （にじのまつばら）は、 佐賀県 唐津市 の 唐津湾 沿岸に広がる 松原 。","https://ja.wikipedia.org/wiki/虹の松原","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"波戸岬","[波戸岬海岸] 波戸岬 （はどみさき）は、 佐賀県 唐津市 鎮西町 の 東松浦半島 最北端にある 岬 で、玄界灘（壱岐水道）に面する。 玄海国定公園 の一部。","https://ja.wikipedia.org/wiki/波戸岬","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"高浜海水浴場 (存在しないページ)","[高浜海水浴場長崎県長崎市]","https://ja.wikipedia.org/w/index.php?title=高浜海水浴場&amp;action=edit&amp;redlink=1","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"筒城浜 (存在しないページ)","[筒城浜壱岐市]","https://ja.wikipedia.org/w/index.php?title=筒城浜&amp;action=edit&amp;redlink=1","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"三宇田浜 (存在しないページ)","[三宇田浜対馬市]","https://ja.wikipedia.org/w/index.php?title=三宇田浜&amp;action=edit&amp;redlink=1","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"高浜","[高浜五島市] 高浜 、 高濱 、 髙浜 、 髙濱 （たかはま）","https://ja.wikipedia.org/wiki/高浜","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"崎津集落","[キリシタンの里崎津熊本県天草市] 﨑津集落 （さきつしゅうらく）は 熊本県 天草市 河浦町﨑津一帯の総称で、 羊角湾 に面した 潜伏キリシタン の里として知られ、 文化財保護法 に基づき「天草市﨑津・今富の文化的景観」の名称で 重要文化的景観 として選定されている。 2016年 に 世界遺産 登録審査予定であった 長崎の教会群とキリスト教関連遺産 の構成資産であったが推薦は一時取り下げられ、改めて 2018年 の審査対象となり、 6月30日 に 長崎と天草地方の潜伏キリシタン関連遺産 として世界遺産登録が決定した   。","https://ja.wikipedia.org/wiki/崎津集落","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"白鶴浜 (存在しないページ)","[白鶴浜・妙見ヶ浜]","https://ja.wikipedia.org/w/index.php?title=白鶴浜&amp;action=edit&amp;redlink=1","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"有明海","[有明海・砂干潟宇土市] 有明海 （ありあけかい）は、 九州 北西部にある海。九州最大の 湾 で、 福岡県 ・ 佐賀県 ・ 長崎県 ・ 熊本県 にまたがり、南は 八代海 とつながっている。日本の湾の中でも干満の大きさ・流入河川の多さ・ 塩分濃度 の変化・濁った海域・日本最大の 干潟 ・独自の生物相などを特徴とする。","https://ja.wikipedia.org/wiki/有明海","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"元猿海岸","[元猿海岸大分県佐伯市] 元猿海岸 （もとさるかいがん、もとざるかいがん）は、 大分県 佐伯市 蒲江の 元猿湾 にある海岸。 日豊海岸国定公園 の一部であり  、 日本の渚百選 に選定されている。","https://ja.wikipedia.org/wiki/元猿海岸","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"黒ヶ浜","[黒ヶ浜大分市] 黒ヶ浜 （くろがはま）は、 大分県 大分市 佐賀関 の 佐賀関半島 先端の 関崎 にある 海岸 である。 日豊海岸国定公園 の一部であり、 日本の渚百選 に選定されている。","https://ja.wikipedia.org/wiki/黒ヶ浜","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"日豊海岸","[日豊海岸・小倉ヶ浜宮崎県日向市] 日豊海岸 （にっぽうかいがん）は、 大分県 中・南部から 宮崎県 北部にかけての、 豊後水道 及び 日向灘 沿いの 海岸 の総称。","https://ja.wikipedia.org/wiki/日豊海岸","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"日南海岸","[日南海岸宮崎市、串間市] 日南海岸国定公園 （にちなんかいがんこくていこうえん）は、 宮崎県 南部から 鹿児島県 志布志湾 西岸の 肝属川 河口までの海岸線を包括した 国定公園 。 1955年 6月1日 指定。","https://ja.wikipedia.org/wiki/日南海岸","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"吹上浜","[吹上浜鹿児島県日置市] 吹上浜 （ふきあげはま）は、 鹿児島県 西部の いちき串木野市 ・ 日置市 ・ 南さつま市 にかけての 砂丘 海岸 。日本三大砂丘と呼ばれているほか、 日本の渚百選 にも選定されている。 薩摩半島 西岸に位置し 東シナ海 に面し、長さ約47kmの砂丘は日本一の長さ。吹上浜一帯は、 1953年 に 県立自然公園 に指定された。南部に 吹上浜海浜公園 があり、 1987年 からほぼ毎年「吹上浜砂の祭典」が開催されている。","https://ja.wikipedia.org/wiki/吹上浜","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"大浜海浜公園","[大浜海浜公園奄美市] 大浜海浜公園 （おおはまかいひんこうえん）は、 鹿児島県 の奄美 大島 中部の 奄美市 に位置する 公園 。","https://ja.wikipedia.org/wiki/大浜海浜公園","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"都道府県","[都道府県自治体] 都道府県 （とどうふけん）は、 日本 の 広域的地方公共団体 である「 都 」「 道 」「 府 」「 県 」の総称。","https://ja.wikipedia.org/wiki/都道府県","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"二見ヶ浦海岸 (存在しないページ)","[二見ヶ浦海岸沖縄県島尻郡伊是名村]","https://ja.wikipedia.org/w/index.php?title=二見ヶ浦海岸&amp;action=edit&amp;redlink=1","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"イーフビーチ (存在しないページ)","[イーフ久米島町]","https://ja.wikipedia.org/w/index.php?title=イーフビーチ&amp;action=edit&amp;redlink=1","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"佐和田の浜","[佐和田の浜宮古島市] 佐和田の浜 （さわだのはま）は、 沖縄県 宮古島市 の 伊良部島 北西部から 下地島 北東部にかけての 海岸 。 日本の渚百選 に選定されている  。","https://ja.wikipedia.org/wiki/佐和田の浜","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
