"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","開業年月日","駅構造","所在地","ホーム","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","種類","本社所在地","設立","業種","法人番号"
"高井戸駅","高井戸駅（たかいどえき）","https://ja.wikipedia.org/wiki/高井戸駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯35度40分59.6秒東経139度36分54.9秒","■井の頭線","8.7 km（渋谷起点）","京王電鉄","1933年（昭和8年）8月1日","高架駅","東京都杉並区高井戸西二丁目1番26号北緯35度40分59.6秒東経139度36分54.9秒﻿ / ﻿北緯35.683222度 東経139.615250度﻿ /35.683222; 139.615250﻿ (高井戸駅)座標:北緯35度40分59.6秒東経139度36分54.9秒﻿ / ﻿北緯35.683222度 東経139.615250度﻿ /35.683222; 139.615250﻿ (高井戸駅)","1面2線","","IN12","","","44,197人/日-2019年-","","","","","","",""
"高岩駅 (長野県)","高岩駅 (長野県)（たかいわえき・東日本旅客鉄道小海線）","https://ja.wikipedia.org/wiki/高岩駅_(長野県)","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯36度6分57.02秒東経138度28分38.50秒","■小海線","51.7 km（小淵沢起点）","東日本旅客鉄道（JR東日本）","1919年（大正8年）3月11日[1]","地上駅","長野県南佐久郡佐久穂町大字穂積[1]北緯36度6分57.02秒東経138度28分38.50秒﻿ / ﻿北緯36.1158389度 東経138.4773611度﻿ /36.1158389; 138.4773611座標:北緯36度6分57.02秒東経138度28分38.50秒﻿ / ﻿北緯36.1158389度 東経138.4773611度﻿ /36.1158389; 138.4773611","1面1線[1]","無人駅[1]標高：812.9m[1]","","タカ[1]","24人/日（降車客含まず）-2011年-","","","","","","","",""
"高岩駅 (長崎県)","高岩駅 (長崎県)（たかいわえき・松浦鉄道西九州線）","https://ja.wikipedia.org/wiki/高岩駅_(長崎県)","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯33度17分52.16秒東経129度38分13.87秒","■西九州線","61.4 km（有田起点）","松浦鉄道","1989年（平成元年）3月11日","地上駅","長崎県佐世保市江迎町小川内北緯33度17分52.16秒東経129度38分13.87秒","1面1線","","","","","117人/日-2018年-","","","","","","",""
"高尾駅 (東京都)","高尾駅 (東京都)（たかおえき・東日本旅客鉄道中央本線・京王高尾線）","https://ja.wikipedia.org/wiki/高尾駅_(東京都)","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","","","","東日本旅客鉄道（JR東日本・駅詳細）京王電鉄（駅詳細）","","","東京都八王子市","","","","","","","","","","","","",""
"高尾駅 (岐阜県)","高尾駅 (岐阜県)（たかおえき・樽見鉄道樽見線）","https://ja.wikipedia.org/wiki/高尾駅_(岐阜県)","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯35度36分4.69秒東経136度37分33.04秒","樽見線","30.5 km（大垣起点）","樽見鉄道","1989年（平成元年）3月25日","地上駅","岐阜県本巣市根尾高尾北緯35度36分4.69秒東経136度37分33.04秒﻿ / ﻿北緯35.6013028度 東経136.6258444度﻿ /35.6013028; 136.6258444座標:北緯35度36分4.69秒東経136度37分33.04秒﻿ / ﻿北緯35.6013028度 東経136.6258444度﻿ /35.6013028; 136.6258444","1面1線","","","","","","","","","","","",""
"高岡駅","高岡駅（たかおかえき・あいの風とやま鉄道線・西日本旅客鉄道氷見線・城端線）","https://ja.wikipedia.org/wiki/高岡駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","","","","あいの風とやま鉄道（駅詳細）西日本旅客鉄道（JR西日本・駅詳細）万葉線（駅詳細）","","","富山県高岡市下関町","","","","","","","","","","","","",""
"高岳駅","高岳駅（たかおかえき・名古屋市営地下鉄桜通線）","https://ja.wikipedia.org/wiki/高岳駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯35度10分27秒東経136度54分57秒","桜通線","4.0 km（中村区役所起点）","名古屋市交通局（名古屋市営地下鉄）","1989年（平成元年）9月10日","地下駅","名古屋市東区東桜二丁目1-2北緯35度10分27秒東経136度54分57秒﻿ / ﻿北緯35.17417度 東経136.91583度﻿ /35.17417; 136.91583座標:北緯35度10分27秒東経136度54分57秒﻿ / ﻿北緯35.17417度 東経136.91583度﻿ /35.17417; 136.91583","1面2線","","S06","","9,387人/日（降車客含まず）-2019年-","19,001[1]人/日-2019年-","","","","","","",""
"高岡駅","高岡駅停留場（たかおかえきていりゅうじょう）","https://ja.wikipedia.org/wiki/高岡駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","","","","あいの風とやま鉄道（駅詳細）西日本旅客鉄道（JR西日本・駅詳細）万葉線（駅詳細）","","","富山県高岡市下関町","","","","","","","","","","","","",""
"高岡貨物駅","高岡貨物駅（たかおかかもつえき）","https://ja.wikipedia.org/wiki/高岡貨物駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯36度46分39.6秒東経137度3分3.5秒","新湊線","1.9 km（能町起点）","日本貨物鉄道（JR貨物）","1918年（大正7年）1月27日*","地上駅","富山県高岡市吉久1丁目1-20**北緯36度46分39.6秒東経137度3分3.5秒﻿ / ﻿北緯36.777667度 東経137.050972度﻿ /36.777667; 137.050972﻿ (高岡貨物駅)座標:北緯36度46分39.6秒東経137度3分3.5秒﻿ / ﻿北緯36.777667度 東経137.050972度﻿ /36.777667; 137.050972﻿ (高岡貨物駅)","","貨物専用駅","","タオシン（新湊駅時代）","","","","","","","","",""
"高岡やぶなみ駅","高岡やぶなみ駅（たかおかやぶなみえき）","https://ja.wikipedia.org/wiki/高岡やぶなみ駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯36度44分14.0秒東経136度59分19.1秒","■あいの風とやま鉄道線","20.2 km（倶利伽羅起点）金沢から38.0 km米原から214.6 km","あいの風とやま鉄道","2018年（平成30年）3月17日","地上駅","富山県高岡市羽広32-3北緯36度44分14.0秒東経136度59分19.1秒﻿ / ﻿北緯36.737222度 東経136.988639度﻿ /36.737222; 136.988639座標:北緯36度44分14.0秒東経136度59分19.1秒﻿ / ﻿北緯36.737222度 東経136.988639度﻿ /36.737222; 136.988639","2面2線","無人駅（自動券売機 有）","","ヤフ","399人/日（降車客含まず）-2019年-","","","","","","","",""
"高尾山駅","高尾山駅（たかおさんえき）","https://ja.wikipedia.org/wiki/高尾山駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","","","","","","","","","","","","","","","","株式会社","日本〒193-8511東京都八王子市高尾町2205","1921年（大正10年）9月29日","陸運業","8010101002275"
"高尾山口駅","高尾山口駅（たかおさんぐちえき）","https://ja.wikipedia.org/wiki/高尾山口駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯35度37分56秒東経139度16分11.7秒","■高尾線","8.6 km（北野起点）新宿から44.7 km","京王電鉄","1967年（昭和42年）10月1日","高架駅","東京都八王子市高尾町2241北緯35度37分56秒東経139度16分11.7秒﻿ / ﻿北緯35.63222度 東経139.269917度﻿ /35.63222; 139.269917﻿ (高尾山口駅)座標:北緯35度37分56秒東経139度16分11.7秒﻿ / ﻿北緯35.63222度 東経139.269917度﻿ /35.63222; 139.269917﻿ (高尾山口駅)","1面2線","","KO53","","","10,431人/日-2019年-","清滝駅（ケーブルカー）山麓駅（エコーリフト）","","","","","",""
"高尾野駅","高尾野駅（たかおのえき）","https://ja.wikipedia.org/wiki/高尾野駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯32度3分44.77秒東経130度18分6.49秒","肥薩おれんじ鉄道線","72.1km（八代起点）304.4 km（門司港起点）","肥薩おれんじ鉄道","1923年（大正12年）10月15日","地上駅","鹿児島県出水市高尾野町柴引北緯32度3分44.77秒東経130度18分6.49秒﻿ / ﻿北緯32.0624361度 東経130.3018028度﻿ /32.0624361; 130.3018028座標:北緯32度3分44.77秒東経130度18分6.49秒﻿ / ﻿北緯32.0624361度 東経130.3018028度﻿ /32.0624361; 130.3018028","相対式 2面2線","無人駅","OR18","オレタカ","68人/日（降車客含まず）-2015年-","146人/日-2015年-","","","","","","",""
"鷹狩駅","鷹狩駅（たかがりえき）","https://ja.wikipedia.org/wiki/鷹狩駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯35度21分15.21秒東経134度12分22.63秒","B因美線","19.8 km（鳥取起点）","西日本旅客鉄道（JR西日本）","1961年（昭和36年）8月1日","地上駅","鳥取県鳥取市用瀬町鷹狩717北緯35度21分15.21秒東経134度12分22.63秒","1面1線","無人駅（乗車駅証明書発行機 無）","","カリ","44人/日（降車客含まず）-2019年-","","","","","","","",""
"高儀駅","高儀駅（たかぎえき・西日本旅客鉄道城端線）","https://ja.wikipedia.org/wiki/高儀駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯36度36分24.08秒東経136度56分9.70秒","■城端線","17.0 km（高岡起点）","西日本旅客鉄道（JR西日本）","1899年（明治32年）5月30日","地上駅","富山県南砺市川除新879-2北緯36度36分24.08秒東経136度56分9.70秒﻿ / ﻿北緯36.6066889度 東経136.9360278度﻿ /36.6066889; 136.9360278座標:北緯36度36分24.08秒東経136度56分9.70秒﻿ / ﻿北緯36.6066889度 東経136.9360278度﻿ /36.6066889; 136.9360278","1面1線","無人駅","","コキ","57人/日（降車客含まず）-2018年-","","","","","","","",""
"高木駅 (広島県)","高木駅（たかぎえき・西日本旅客鉄道福塩線）","https://ja.wikipedia.org/wiki/高木駅_(広島県)","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯34度33分46.14秒東経133度15分13.22秒","Z福塩線","21.7 km（福山起点）","西日本旅客鉄道（JR西日本）","1914年（大正3年）7月21日","地上駅","広島県府中市高木町39-5北緯34度33分46.14秒東経133度15分13.22秒﻿ / ﻿北緯34.5628167度 東経133.2536722度﻿ /34.5628167; 133.2536722﻿ (高木駅)座標:北緯34度33分46.14秒東経133度15分13.22秒﻿ / ﻿北緯34.5628167度 東経133.2536722度﻿ /34.5628167; 133.2536722﻿ (高木駅)","1面1線","無人駅（自動券売機 有）","","カキ","264人/日（降車客含まず）-2019年-","","","","","","","",""
"高城町駅","高城町駅（たかぎまちえき）","https://ja.wikipedia.org/wiki/高城町駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","","■仙石線","25.5 km（あおば通起点）","東日本旅客鉄道（JR東日本）","1928年（昭和3年）4月10日","地上駅","","1面2線","業務委託駅","","キマ","1,450人/日（降車客含まず）-2019年-","","","","","","","",""
"高久駅","高久駅（たかくえき）","https://ja.wikipedia.org/wiki/高久駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","","■東北本線","167.3 km（東京起点）","東日本旅客鉄道（JR東日本）","1964年（昭和39年）9月1日","地上駅","","2面2線","無人駅（乗車駅証明書発行機 有）","","タク","38人/日（降車客含まず）-2011年-","","","","","","","",""
"高子駅","高子駅（たかこえき）","https://ja.wikipedia.org/wiki/高子駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯37度48分30.38秒東経140度31分38.27秒","■阿武隈急行線","10.1 km（福島起点）","阿武隈急行","1988年（昭和63年）7月1日","地上駅","福島県伊達市保原町上保原向台北緯37度48分30.38秒東経140度31分38.27秒﻿ / ﻿北緯37.8084389度 東経140.5272972度﻿ /37.8084389; 140.5272972座標:北緯37度48分30.38秒東経140度31分38.27秒﻿ / ﻿北緯37.8084389度 東経140.5272972度﻿ /37.8084389; 140.5272972","2面2線","無人駅","","","52人/日（降車客含まず）-2016年-","","","","","","","",""
"高坂駅","高坂駅（たかさかえき）","https://ja.wikipedia.org/wiki/高坂駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯36度0分9.6秒東経139度23分51.5秒","■東上本線","46.2 km（池袋起点）","東武鉄道","1923年（大正12年）10月1日","地上駅","埼玉県東松山市大字高坂1333-2北緯36度0分9.6秒東経139度23分51.5秒﻿ / ﻿北緯36.002667度 東経139.397639度﻿ /36.002667; 139.397639﻿ (高坂駅)座標:北緯36度0分9.6秒東経139度23分51.5秒﻿ / ﻿北緯36.002667度 東経139.397639度﻿ /36.002667; 139.397639﻿ (高坂駅)","1面2線","業務委託駅","TJ28","タカ","","24,438人/日-2019年-","","","","","","",""
"高崎駅","高崎駅（たかさきえき）","https://ja.wikipedia.org/wiki/高崎駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","","","","東日本旅客鉄道（JR東日本・駅詳細）日本貨物鉄道（JR貨物）上信電鉄（駅詳細）","","","群馬県高崎市八島町","","","","","","","","","","","","",""
"高崎商科大学前駅","高崎商科大学前駅（たかさきしょうかだいがくまええき）","https://ja.wikipedia.org/wiki/高崎商科大学前駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯36度17分3.47秒東経139度1分46.75秒","上信線","5.0 km（高崎起点）","上信電鉄","2002年（平成14年）3月17日","地上駅","群馬県高崎市根小屋町北緯36度17分3.47秒東経139度1分46.75秒座標:北緯36度17分3.47秒 東経139度1分46.75秒","単式1面1線","","","","224人/日（降車客含まず）-2019年-","","","","","","","",""
"高崎新田駅","高崎新田駅（たかさきしんでんえき）","https://ja.wikipedia.org/wiki/高崎新田駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯31度52分34.42秒東経131度3分45.14秒","吉都線","43.8 km（吉松起点）","九州旅客鉄道（JR九州）","1913年（大正2年）5月11日[1]","地上駅","宮崎県都城市高崎町大牟田1200北緯31度52分34.42秒東経131度3分45.14秒","1面2線","無人駅","","タサ","75人/日（降車客含まず）-2015年-","","","","","","","",""
"高崎問屋町駅","高崎問屋町駅（たかさきとんやまちえき）","https://ja.wikipedia.org/wiki/高崎問屋町駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯36度20分45.91秒東経139度1分1.61秒","■上越線（■吾妻線・■両毛線直通含む）","2.8km（高崎起点）東京から尾久経由で108.0 km","東日本旅客鉄道（JR東日本）","2004年（平成16年）10月16日","地上駅（橋上駅）","群馬県高崎市貝沢町715北緯36度20分45.91秒東経139度1分1.61秒﻿ / ﻿北緯36.3460861度 東経139.0171139度﻿ /36.3460861; 139.0171139﻿ (高崎問屋町駅)座標:北緯36度20分45.91秒東経139度1分1.61秒﻿ / ﻿北緯36.3460861度 東経139.0171139度﻿ /36.3460861; 139.0171139﻿ (高崎問屋町駅)","2面2線","業務委託駅みどりの窓口有","","タト","3,950人/日（降車客含まず）-2019年-","","","","","","","",""
"高砂駅 (北海道)","高砂駅 (北海道)（たかさごえき・北海道旅客鉄道函館本線）","https://ja.wikipedia.org/wiki/高砂駅_(北海道)","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯43度5分59.92秒東経141度32分26.4秒","■函館本線","305.5 km（函館起点）","北海道旅客鉄道（JR北海道）","1986年（昭和61年）11月1日","地上駅","北海道江別市高砂町56番地1北緯43度5分59.92秒東経141度32分26.4秒﻿ / ﻿北緯43.0999778度 東経141.540667度﻿ /43.0999778; 141.540667座標:北緯43度5分59.92秒東経141度32分26.4秒﻿ / ﻿北緯43.0999778度 東経141.540667度﻿ /43.0999778; 141.540667","2面2線","業務委託駅みどりの窓口有","○A08","サコ","2,754人/日（降車客含まず）-2019年-","","","","","","","",""
"高砂駅 (兵庫県)","高砂駅 (兵庫県)（たかさごえき・山陽電気鉄道本線）","https://ja.wikipedia.org/wiki/高砂駅_(兵庫県)","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","","本線","37.3km（西代起点）梅田から74.4 km","山陽電気鉄道","1923年（大正12年）8月19日[1][2]","地上駅[1]","","2面4線[1]","","●SY 31","","","","","","","","","",""
"高砂町停留場","高砂町停留場（たかさごちょうていりゅうじょう）","https://ja.wikipedia.org/wiki/高砂町停留場","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯33度51分4.95秒東経132度45分44.921秒","城北線","1.4 km（古町起点）","伊予鉄道","1927年4月3日（女学校西駅として）","地上駅","愛媛県松山市高砂町3丁目北緯33度51分4.95秒東経132度45分44.921秒﻿ / ﻿北緯33.8513750度 東経132.76247806度﻿ /33.8513750; 132.76247806﻿ (高砂町停留場)","相対式ホーム2面1線","1952年8月1日（北味酒駅に改称）1967年1月1日（本町六丁目に改称）","11","","","320[1]人/日-2015年-","","","","","","",""
"高師駅","高師駅（たかしえき）","https://ja.wikipedia.org/wiki/高師駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯34度43分37.97秒東経137度22分53.35秒","渥美線","4.3 km（新豊橋起点）","豊橋鉄道","1924年（大正13年）1月22日","地上駅","愛知県豊橋市高師町字北新切116番地の1北緯34度43分37.97秒東経137度22分53.35秒﻿ / ﻿北緯34.7272139度 東経137.3814861度﻿ /34.7272139; 137.3814861座標:北緯34度43分37.97秒東経137度22分53.35秒﻿ / ﻿北緯34.7272139度 東経137.3814861度﻿ /34.7272139; 137.3814861","1面2線","駅員配置駅5:30〜24:00"," 6 ","","1,521人/日（降車客含まず）-2019年-","2,959人/日-2019年-","","","","","","",""
"高科駅","高科駅（たかしなえき）","https://ja.wikipedia.org/wiki/高科駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯35度33分20.34秒東経136度38分24.20秒","樽見線","25.2 km（大垣起点）","樽見鉄道","1989年（平成元年）3月25日","地上駅","岐阜県揖斐郡揖斐川町谷汲高科北緯35度33分20.34秒東経136度38分24.20秒﻿ / ﻿北緯35.5556500度 東経136.6400556度﻿ /35.5556500; 136.6400556座標:北緯35度33分20.34秒東経136度38分24.20秒﻿ / ﻿北緯35.5556500度 東経136.6400556度﻿ /35.5556500; 136.6400556","1面1線","","","","","","","","","","","",""
"高師浜駅","高師浜駅（たかしのはまえき）","https://ja.wikipedia.org/wiki/高師浜駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯34度31分37.69秒東経135度25分54.07秒","■高師浜線","1.5 km（羽衣起点）","南海電気鉄道","1919年（大正8年）10月25日","高架駅","大阪府高石市高師浜四丁目1番37号北緯34度31分37.69秒東経135度25分54.07秒﻿ / ﻿北緯34.5271361度 東経135.4316861度﻿ /34.5271361; 135.4316861座標:北緯34度31分37.69秒東経135度25分54.07秒﻿ / ﻿北緯34.5271361度 東経135.4316861度﻿ /34.5271361; 135.4316861","1面1線","","NK 16-2","","","","","1,699人/日-2019年-","","","","",""
"高島駅","高島駅（たかしまえき）","https://ja.wikipedia.org/wiki/高島駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯34度40分59.45秒東経133度57分29.17秒","S山陽本線（N赤穂線直通含む）","138.9km（神戸起点）播州赤穂から49.7 km","西日本旅客鉄道（JR西日本）","1985年（昭和60年）3月14日","地上駅","岡山市中区清水二丁目589北緯34度40分59.45秒東経133度57分29.17秒﻿ / ﻿北緯34.6831806度 東経133.9581028度﻿ /34.6831806; 133.9581028座標:北緯34度40分59.45秒東経133度57分29.17秒﻿ / ﻿北緯34.6831806度 東経133.9581028度﻿ /34.6831806; 133.9581028","2面2線","業務委託駅みどりの窓口有","JR-S03（山陽本線）JR-N03（赤穂線）","タマ","3,551人/日（降車客含まず）-2019年-","","","","","","","",""
"鷹島口駅","鷹島口駅（たかしまぐちえき）","https://ja.wikipedia.org/wiki/鷹島口駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯33度21分14.43秒東経129度45分42.45秒","■西九州線","28.7 km（有田起点）","松浦鉄道","1990年（平成2年）3月10日","地上駅","長崎県松浦市今福町仏坂免北緯33度21分14.43秒東経129度45分42.45秒","1面1線","","","","","66人/日-2017年-","","","","","","",""
"高島平駅","高島平駅（たかしまだいらえき）","https://ja.wikipedia.org/wiki/高島平駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯35度47分19秒東経139度39分40.2秒","●[2]三田線","25.0 km（目黒起点）","東京都交通局（都営地下鉄）","1968年（昭和43年）12月27日","高架駅","東京都板橋区高島平八丁目2-1北緯35度47分19秒東経139度39分40.2秒﻿ / ﻿北緯35.78861度 東経139.661167度﻿ /35.78861; 139.661167﻿ (高島平駅[※ 1])座標:北緯35度47分19秒東経139度39分40.2秒﻿ / ﻿北緯35.78861度 東経139.661167度﻿ /35.78861; 139.661167﻿ (高島平駅[※ 1])","2面4線","直営駅","I25[2]","志→平（駅名略称）","","30,651人/日-2019年-","","","","","","",""
"高島町駅","高島町駅（たかしまちょうえき）","https://ja.wikipedia.org/wiki/高島町駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯35度27分30.9秒東経139度37分25.5秒","■ブルーライン（3号線）","1.9km（関内*起点）湘南台から21.6 km","横浜市交通局（横浜市営地下鉄）","1976年（昭和51年）9月4日","地下駅","横浜市西区花咲町7丁目41番地[1]北緯35度27分30.9秒東経139度37分25.5秒﻿ / ﻿北緯35.458583度 東経139.623750度﻿ /35.458583; 139.623750﻿ (高島町駅)座標:北緯35度27分30.9秒東経139度37分25.5秒﻿ / ﻿北緯35.458583度 東経139.623750度﻿ /35.458583; 139.623750﻿ (高島町駅)","1面2線","業務委託駅（横浜市交通局協力会)","B19","","5,319人/日（降車客含まず）-2019年-","10,680人/日-2019年-","","","","","","",""
"高城駅","高城駅（たかじょうえき）","https://ja.wikipedia.org/wiki/高城駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯33度14分33.81秒東経131度39分18.75秒","■日豊本線","138.0 km（小倉起点）","九州旅客鉄道（JR九州）","1914年（大正3年）4月1日[3]","地上駅","大分県大分市高城新町219[1][2]北緯33度14分33.81秒東経131度39分18.75秒","1面2線[1]","業務委託駅[2][3]","","タウ","1,719人/日（降車客含まず）-2019年-","","","","","","","",""
"多賀城駅","多賀城駅（たがじょうえき）","https://ja.wikipedia.org/wiki/多賀城駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯38度17分30.29秒東経141度0分22.55秒","■仙石線","12.6 km（あおば通起点）","東日本旅客鉄道（JR東日本）","1925年（大正14年）6月5日","高架駅","宮城県多賀城市中央二丁目7-1北緯38度17分30.29秒東経141度0分22.55秒﻿ / ﻿北緯38.2917472度 東経141.0062639度﻿ /38.2917472; 141.0062639﻿ (多賀城駅)座標:北緯38度17分30.29秒東経141度0分22.55秒﻿ / ﻿北緯38.2917472度 東経141.0062639度﻿ /38.2917472; 141.0062639﻿ (多賀城駅)","2面3線","直営駅（管理駅）みどりの窓口有","","タウ","7,110人/日（降車客含まず）-2019年-","","","","","","","",""
"高須駅","高須駅（たかすえき・広島電鉄宮島線）","https://ja.wikipedia.org/wiki/高須駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯34度23分23.41秒東経132度25分1.28秒","■宮島線","1.4 km（広電西広島起点）","広島電鉄","1922年（大正11年）8月22日","地上駅","広島市西区庚午北三丁目11-1[1]北緯34度23分23.41秒東経132度25分1.28秒﻿ / ﻿北緯34.3898361度 東経132.4170222度﻿ /34.3898361; 132.4170222﻿ (高須駅)座標:北緯34度23分23.41秒東経132度25分1.28秒﻿ / ﻿北緯34.3898361度 東経132.4170222度﻿ /34.3898361; 132.4170222﻿ (高須駅)","2面2線","1日当たりの乗車人員は、年間乗車人員を日数で除することで算出した参考値","●M21","","1,511人/日（降車客含まず）-2019年-","","","","","","","",""
"高須停留場","高須停留場（たかすていりゅうじょう・とさでん交通後免線）","https://ja.wikipedia.org/wiki/高須停留場","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯33度33分33.69秒東経133度34分37.19秒","後免線","7.6 km（後免町起点）","とさでん交通","1910年（明治43年）10月15日","地上駅","高知県高知市高須本町北緯33度33分33.69秒東経133度34分37.19秒﻿ / ﻿北緯33.5593583度 東経133.5769972度﻿ /33.5593583; 133.5769972﻿ (高須停留場)","2面2線","","","","","","","","","","","",""
"高須神社停留場","高須神社停留場（たかすじんしゃていりゅうじょう）","https://ja.wikipedia.org/wiki/高須神社停留場","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯34度35分26.36秒東経135度29分7.06秒","■阪堺線","7.3km（恵美須町起点）天王寺駅前から7.1 km","阪堺電気軌道","1911年（明治44年）12月1日","地上駅","堺市堺区北旅籠町東2丁北緯34度35分26.36秒東経135度29分7.06秒﻿ / ﻿北緯34.5906556度 東経135.4852944度﻿ /34.5906556; 135.4852944座標:北緯34度35分26.36秒東経135度29分7.06秒﻿ / ﻿北緯34.5906556度 東経135.4852944度﻿ /34.5906556; 135.4852944","相対式 2面2線",""," HN17 ","","","","","","","","","",""
"高瀬駅 (山形県)","高瀬駅 (山形県)（たかせえき・東日本旅客鉄道仙山線）","https://ja.wikipedia.org/wiki/高瀬駅_(山形県)","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯38度18分5.54秒東経140度23分45.65秒","■仙山線","52.4 km（仙台起点）","東日本旅客鉄道（JR東日本）","1950年（昭和25年）7月1日[2]","地上駅","山形県山形市大字下東山132北緯38度18分5.54秒東経140度23分45.65秒座標:北緯38度18分5.54秒 東経140度23分45.65秒","1面1線[1]","無人駅[1]","","タセ","68人/日（降車客含まず）-2004年-","","","","","","","",""
