"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","開業年月日","駅構造","ホーム","所在地","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","標高","標高差","最長滑走距離","最大傾斜","コース数"
"周船寺駅","周船寺駅（すせんじえき）","https://ja.wikipedia.org/wiki/周船寺駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯33度34分14.79秒東経130度14分44.79秒","JK筑肥線","8.1 km（姪浜起点）","九州旅客鉄道（JR九州）","1925年（大正14年）4月15日","地上駅","1面2線","福岡市西区周船寺一丁目1-43北緯33度34分14.79秒東経130度14分44.79秒﻿ / ﻿北緯33.5707750度 東経130.2457750度﻿ /33.5707750; 130.2457750座標:北緯33度34分14.79秒東経130度14分44.79秒﻿ / ﻿北緯33.5707750度 東経130.2457750度﻿ /33.5707750; 130.2457750","業務委託駅[1]みどりの窓口有","JK  05 ","スセ","5,090人/日（降車客含まず）-2019年-","","","","","","","",""
"裾野駅","裾野駅（すそのえき）","https://ja.wikipedia.org/wiki/裾野駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯35度10分18.90秒東経138度54分33.71秒","CB御殿場線","50.7 km（国府津起点）","東海旅客鉄道（JR東海）","1889年（明治22年）2月1日","地上駅","1面2線","静岡県裾野市平松378-1北緯35度10分18.90秒東経138度54分33.71秒﻿ / ﻿北緯35.1719167度 東経138.9093639度﻿ /35.1719167; 138.9093639座標:北緯35度10分18.90秒東経138度54分33.71秒﻿ / ﻿北緯35.1719167度 東経138.9093639度﻿ /35.1719167; 138.9093639","駅長配置駅（管理駅）JR全線きっぷうりば有","CB  14 ","スソ","2,508人/日（降車客含まず）-2019年-","","","","","","","",""
"隅田駅","隅田駅（すだえき）","https://ja.wikipedia.org/wiki/隅田駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度19分41.19秒東経135度39分19.92秒","T和歌山線","41.1 km（王寺起点）","西日本旅客鉄道（JR西日本）","1898年（明治31年）4月11日[1]","地上駅","2面2線","和歌山県橋本市隅田町芋生141北緯34度19分41.19秒東経135度39分19.92秒﻿ / ﻿北緯34.3281083度 東経135.6555333度﻿ /34.3281083; 135.6555333座標:北緯34度19分41.19秒東経135度39分19.92秒﻿ / ﻿北緯34.3281083度 東経135.6555333度﻿ /34.3281083; 135.6555333","無人駅（自動券売機 有）","","スタ","214人/日（降車客含まず）-2019年-","","","","","","","",""
"須津駅","須津駅（すどえき）","https://ja.wikipedia.org/wiki/須津駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯35度9分37.81秒東経138度44分2.23秒","■岳南線","7.3 km（吉原起点）","岳南電車","1953年（昭和28年）1月20日","地上駅","1面2線","静岡県富士市中里106-2北緯35度9分37.81秒東経138度44分2.23秒座標:北緯35度9分37.81秒 東経138度44分2.23秒","","GD08","","89人/日（降車客含まず）-2019年-","163人/日-2019年-","","","","","","",""
"砂川駅","砂川駅（すながわえき）","https://ja.wikipedia.org/wiki/砂川駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯43度29分35秒東経141度54分33秒","■函館本線","362.2 km（函館起点）","北海道旅客鉄道（JR北海道）","1891年（明治24年）7月5日","地上駅","2面3線","北海道砂川市東2条北3丁目北緯43度29分35秒東経141度54分33秒","直営駅（管理駅）みどりの窓口 有","○A20","スナ","","1,364人/日-2018年-","","","","","","",""
"砂川七番駅","砂川七番駅（すながわななばんえき）","https://ja.wikipedia.org/wiki/砂川七番駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯35度43分24秒東経139度25分5.2秒","多摩都市モノレール線","2.5 km（上北台起点）","多摩都市モノレール","1998年（平成10年）11月27日[1]","高架駅","2面2線","東京都立川市柏町三丁目1北緯35度43分24秒東経139度25分5.2秒﻿ / ﻿北緯35.72333度 東経139.418111度﻿ /35.72333; 139.418111座標:北緯35度43分24秒東経139度25分5.2秒﻿ / ﻿北緯35.72333度 東経139.418111度﻿ /35.72333; 139.418111","","TT16","","2,501人/日（降車客含まず）-2019年-","4,914人/日-2019年-","","","","","","",""
"砂田橋駅","砂田橋駅（すなだばしえき）","https://ja.wikipedia.org/wiki/砂田橋駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","","","","名古屋市交通局（駅詳細）名古屋ガイドウェイバス（駅詳細）","","","","名古屋市東区","","","","","","","","","","","",""
"須波駅","須波駅（すなみえき）","https://ja.wikipedia.org/wiki/須波駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度22分12.23秒東経133度5分2.23秒","Y呉線","5.1 km（三原起点）","西日本旅客鉄道（JR西日本）","1930年（昭和5年）3月19日","地上駅（盛土上）","2面2線","広島県三原市須波一丁目5-8北緯34度22分12.23秒東経133度5分2.23秒﻿ / ﻿北緯34.3700639度 東経133.0839528度﻿ /34.3700639; 133.0839528座標:北緯34度22分12.23秒東経133度5分2.23秒﻿ / ﻿北緯34.3700639度 東経133.0839528度﻿ /34.3700639; 133.0839528","無人駅","JR-Y30","スナ","60人/日（降車客含まず）-2018年-","","","","","","","",""
"洲原駅","洲原駅（すはらえき・長良川鉄道越美南線）","https://ja.wikipedia.org/wiki/洲原駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯35度35分19.54秒東経136度56分41.28秒","越美南線","24.7 km（美濃太田起点）","長良川鉄道","1957年4月1日[1]","地上駅","1面1線","岐阜県美濃市須原北緯35度35分19.54秒東経136度56分41.28秒﻿ / ﻿北緯35.5887611度 東経136.9448000度﻿ /35.5887611; 136.9448000座標:北緯35度35分19.54秒東経136度56分41.28秒﻿ / ﻿北緯35.5887611度 東経136.9448000度﻿ /35.5887611; 136.9448000","無人駅","14","スハミス（転換前）","","31人/日-2013年-","","","","","","",""
"須原駅","須原駅（すはらえき・東海旅客鉄道中央本線）","https://ja.wikipedia.org/wiki/須原駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯35度41分52.36秒東経137度41分42.01秒","CF中央本線","282.5km（東京起点）名古屋から114.4 km","東海旅客鉄道（JR東海）","1909年（明治42年）9月1日[1]","地上駅","1面2線[1]","長野県木曽郡大桑村大字須原[1]北緯35度41分52.36秒東経137度41分42.01秒﻿ / ﻿北緯35.6978778度 東経137.6950028度﻿ /35.6978778; 137.6950028﻿ (須原駅)","簡易委託駅[1]標高：562.9m[1]","","スラ[1]","53人/日（降車客含まず）-2018年-","","","","","","","",""
"周布駅","周布駅（すふえき）","https://ja.wikipedia.org/wiki/周布駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度51分29.83秒東経132度1分2.85秒","D山陰本線","482.8 km（京都起点）","西日本旅客鉄道（JR西日本）","1922年（大正11年）3月10日","地上駅","1面1線","島根県浜田市治和町49北緯34度51分29.83秒東経132度1分2.85秒﻿ / ﻿北緯34.8582861度 東経132.0174583度﻿ /34.8582861; 132.0174583﻿ (周布駅)座標:北緯34度51分29.83秒東経132度1分2.85秒﻿ / ﻿北緯34.8582861度 東経132.0174583度﻿ /34.8582861; 132.0174583﻿ (周布駅)","無人駅","","スフ","89人/日（降車客含まず）-2018年-","","","","","","","",""
"スペースワールド駅","スペースワールド駅","https://ja.wikipedia.org/wiki/スペースワールド駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯33度52分16.27秒東経130度48分23.15秒","JA鹿児島本線","21.1 km（門司港起点）","九州旅客鉄道（JR九州）","1999年（平成11年）7月2日[1]","高架駅[1]","2面4線[1]","北九州市八幡東区東田[1]二丁目3-1北緯33度52分16.27秒東経130度48分23.15秒﻿ / ﻿北緯33.8711861度 東経130.8064306度﻿ /33.8711861; 130.8064306座標:北緯33度52分16.27秒東経130度48分23.15秒﻿ / ﻿北緯33.8711861度 東経130.8064306度﻿ /33.8711861; 130.8064306","業務委託駅みどりの窓口有北九州市内駅","JA  23 ","スヘ","2,247人/日（降車客含まず）-2019年-","","","","","","","",""
"スポーツ公園駅","スポーツ公園駅（スポーツこうえんえき）","https://ja.wikipedia.org/wiki/スポーツ公園駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯35度55分10秒東経136度10分5.5秒","福武線","1.7 km（越前武生駅起点）","福井鉄道","2010年（平成22年）3月25日[1][2]","地上駅","1面1線","福井県越前市家久町99-15北緯35度55分10秒東経136度10分5.5秒﻿ / ﻿北緯35.91944度 東経136.168194度﻿ /35.91944; 136.168194座標:北緯35度55分10秒東経136度10分5.5秒﻿ / ﻿北緯35.91944度 東経136.168194度﻿ /35.91944; 136.168194","無人駅","○F2","","","35人/日-2019年-","","","","","","",""
"スポーツセンター駅","スポーツセンター駅","https://ja.wikipedia.org/wiki/スポーツセンター駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯35度38分35.8秒東経140度6分58.2秒","■2号線","4.0 km（千葉起点）","千葉都市モノレール","1988年（昭和63年）3月28日[1]","高架駅","相対式、2面2線","千葉市稲毛区天台六丁目212-6北緯35度38分35.8秒東経140度6分58.2秒座標:北緯35度38分35.8秒 東経140度6分58.2秒","無人駅","CM08","","2,566人/日（降車客含まず）-2018年-","","","","","","","",""
"須磨駅","須磨駅（すまえき）","https://ja.wikipedia.org/wiki/須磨駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度38分32.18秒東経135度6分46.41秒","A山陽本線（JR神戸線）","7.3km（神戸起点）大阪から40.4 km","西日本旅客鉄道（JR西日本）","1888年（明治21年）11月1日[1]","地上駅（橋上駅）[1]","2面4線[1]","神戸市須磨区須磨浦通四丁目2-1[1]北緯34度38分32.18秒東経135度6分46.41秒﻿ / ﻿北緯34.6422722度 東経135.1128917度﻿ /34.6422722; 135.1128917座標:北緯34度38分32.18秒東経135度6分46.41秒﻿ / ﻿北緯34.6422722度 東経135.1128917度﻿ /34.6422722; 135.1128917","直営駅みどりの券売機プラス設置駅神戸市内駅","JR-A68","スマ","11,647人/日（降車客含まず）-2019年-","","山陽須磨駅（山陽電気鉄道本線）[1]","","","","","",""
"須磨浦公園駅","須磨浦公園駅（すまうらこうえんえき）","https://ja.wikipedia.org/wiki/須磨浦公園駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度38分16.30秒東経135度6分1.26秒","本線","5.1km（西代起点）梅田から42.2 km","山陽電気鉄道","1947年（昭和22年）10月1日[1]","地上駅[1]","2面2線[1]","神戸市須磨区一ノ谷町五丁目3-2[1]北緯34度38分16.30秒東経135度6分1.26秒﻿ / ﻿北緯34.6378611度 東経135.1003500度﻿ /34.6378611; 135.1003500﻿ (須磨浦公園駅)座標:北緯34度38分16.30秒東経135度6分1.26秒﻿ / ﻿北緯34.6378611度 東経135.1003500度﻿ /34.6378611; 135.1003500﻿ (須磨浦公園駅)","無人駅[1]","●SY 07","","447人/日（降車客含まず）-2017年-","","須磨浦ロープウェイ","","","","","",""
"須磨海浜公園駅","須磨海浜公園駅（すまかいひんこうえんえき）","https://ja.wikipedia.org/wiki/須磨海浜公園駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度38分49.89秒東経135度7分35.84秒","A山陽本線（JR神戸線）","6.0km（神戸起点）大阪から39.1 km","西日本旅客鉄道（JR西日本）","2008年（平成20年）3月15日[1]","地上駅（橋上駅）[1]","1面2線[1]","神戸市須磨区松風町五丁目2-43[1]北緯34度38分49.89秒東経135度7分35.84秒﻿ / ﻿北緯34.6471917度 東経135.1266222度﻿ /34.6471917; 135.1266222座標:北緯34度38分49.89秒東経135度7分35.84秒﻿ / ﻿北緯34.6471917度 東経135.1266222度﻿ /34.6471917; 135.1266222","業務委託駅[1]みどりの券売機プラス有神戸市内駅","JR-A67","スコ","6,588人/日（降車客含まず）-2019年-","","","","","","","",""
"須磨寺駅","須磨寺駅（すまでらえき）","https://ja.wikipedia.org/wiki/須磨寺駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度38分47.20秒東経135度6分58.47秒","本線","3.3km（西代起点）梅田から40.4 km","山陽電気鉄道","1910年（明治43年）3月15日[1]","地上駅[1]","2面2線[1]","神戸市須磨区須磨寺町一丁目13-1[1]北緯34度38分47.20秒東経135度6分58.47秒﻿ / ﻿北緯34.6464444度 東経135.1162417度﻿ /34.6464444; 135.1162417﻿ (須磨寺駅)座標:北緯34度38分47.20秒東経135度6分58.47秒﻿ / ﻿北緯34.6464444度 東経135.1162417度﻿ /34.6464444; 135.1162417﻿ (須磨寺駅)","無人駅[1]","●SY 05","","893人/日（降車客含まず）-2017年-","","","","","","","",""
"澄川駅","澄川駅（すみかわえき）","https://ja.wikipedia.org/wiki/澄川駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯43度1分0.5秒東経141度22分2.3秒","札幌市営地下鉄南北線","11.3 km（麻生起点）","札幌市交通局","1971年（昭和46年）12月16日","高架駅","1面2線","札幌市南区澄川4条2丁目[1]北緯43度1分0.5秒東経141度22分2.3秒﻿ / ﻿北緯43.016806度 東経141.367306度﻿ /43.016806; 141.367306座標:北緯43度1分0.5秒東経141度22分2.3秒﻿ / ﻿北緯43.016806度 東経141.367306度﻿ /43.016806; 141.367306","","○N14[2]","","9,930人/日（降車客含まず）-2019年-","","","","","","","",""
"墨染駅","墨染駅（すみぞめえき）","https://ja.wikipedia.org/wiki/墨染駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度56分53.56秒東経135度46分8.45秒","■京阪本線","42.3 km（淀屋橋起点）","京阪電気鉄道","1910年（明治43年）4月15日","地上駅","2面2線","京都市伏見区墨染町691番地北緯34度56分53.56秒東経135度46分8.45秒﻿ / ﻿北緯34.9482111度 東経135.7690139度﻿ /34.9482111; 135.7690139﻿ (墨染駅)","ホームの有効長は7両無人駅（自動券売機有）","KH  31","墨（駅名略称方式）","","7,216人/日-2019年-","","","","","","",""
"隅田川駅","隅田川駅（すみだがわえき）","https://ja.wikipedia.org/wiki/隅田川駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯35度43分59秒東経139度48分3秒","常磐線貨物支線（通称、隅田川貨物線）","3.2 km（三河島起点）","東日本旅客鉄道（JR東日本）日本貨物鉄道（JR貨物）","1896年（明治29年）12月25日","地上駅","","東京都荒川区南千住四丁目北緯35度43分59秒東経139度48分3秒﻿ / ﻿北緯35.73306度 東経139.80083度﻿ /35.73306; 139.80083座標:北緯35度43分59秒東経139度48分3秒﻿ / ﻿北緯35.73306度 東経139.80083度﻿ /35.73306; 139.80083","貨物専用駅・旅客乗降不可","","スミ","","","","","","","","",""
"住ノ江駅","住ノ江駅（すみのええき）","https://ja.wikipedia.org/wiki/住ノ江駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度36分18.77秒東経135度29分13.1秒","■南海本線","6.7 km（難波起点）","南海電気鉄道","1907年（明治40年）8月21日","高架駅","2面4線","大阪市住之江区西住之江一丁目北緯34度36分18.77秒東経135度29分13.1秒﻿ / ﻿北緯34.6052139度 東経135.486972度﻿ /34.6052139; 135.486972﻿ (住ノ江駅)座標:北緯34度36分18.77秒東経135度29分13.1秒﻿ / ﻿北緯34.6052139度 東経135.486972度﻿ /34.6052139; 135.486972﻿ (住ノ江駅)","","NK 09","スノ","","","","12,317人/日-2019年-","","","","",""
"住之江公園駅","住之江公園駅（すみのえこうえんえき）","https://ja.wikipedia.org/wiki/住之江公園駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度36分33秒東経135度28分23秒","●四つ橋線","11.8 km（西梅田起点）","大阪市高速電気軌道(Osaka Metro)","1972年（昭和47年）11月9日","地下駅（地下鉄）高架駅（ニュートラム）","1面2線（地下鉄）1面2線（ニュートラム）","大阪市住之江区泉一丁目北緯34度36分33秒東経135度28分23秒﻿ / ﻿北緯34.60917度 東経135.47306度﻿ /34.60917; 135.47306座標:北緯34度36分33秒東経135度28分23秒﻿ / ﻿北緯34.60917度 東経135.47306度﻿ /34.60917; 135.47306",""," Y21 ","","13,964人/日（降車客含まず）-2020年-","27,787人/日-2020年-","","","","","","",""
"住道駅","住道駅（すみのどうえき）","https://ja.wikipedia.org/wiki/住道駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度42分22.51秒東経135度37分16.24秒","H片町線（学研都市線）","35.5 km（木津起点）","西日本旅客鉄道（JR西日本）","1895年（明治28年）8月22日","高架駅","2面4線","大阪府大東市住道二丁目3-1北緯34度42分22.51秒東経135度37分16.24秒﻿ / ﻿北緯34.7062528度 東経135.6211778度﻿ /34.7062528; 135.6211778座標:北緯34度42分22.51秒東経135度37分16.24秒﻿ / ﻿北緯34.7062528度 東経135.6211778度﻿ /34.7062528; 135.6211778","直営駅みどりの窓口有","JR-H36","スト","30,999人/日（降車客含まず）-2019年-","","","","","","","",""
"住吉駅 (東京都)","住吉駅 (東京都)（すみよしえき・都営地下鉄新宿線・東京地下鉄半蔵門線）","https://ja.wikipedia.org/wiki/住吉駅_(東京都)","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","","●[1]都営地下鉄新宿線","11.2 km（新宿起点）","東京都交通局（都営地下鉄）東京地下鉄（東京メトロ）","1978年（昭和53年）12月21日","地下駅","2面2線（新宿線）計2面4線（2層式、半蔵門線）","","直営駅","S13[1]","住（東京都交通局、駅名略称）スミ（東京メトロ）","","（東京都交通局）-2019年-44,974人/日（東京メトロ）-2019年-60,041人/日","","","","","","",""
"住吉停留場 (大阪府)","住吉停留場 (大阪府)（すみよしていりゅうじょう・阪堺電気軌道阪堺線・上町線）","https://ja.wikipedia.org/wiki/住吉停留場_(大阪府)","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度36分51.9秒東経135度29分30.7秒","■阪堺線","4.6 km（恵美須町起点）","阪堺電気軌道","1910年（明治43年）10月1日","地上駅","合計3面3線","大阪市住吉区住吉2丁目北緯34度36分51.9秒東経135度29分30.7秒﻿ / ﻿北緯34.614417度 東経135.491861度﻿ /34.614417; 135.491861座標:北緯34度36分51.9秒東経135度29分30.7秒﻿ / ﻿北緯34.614417度 東経135.491861度﻿ /34.614417; 135.491861",""," HN10 ","","","","","","","","","",""
"住吉駅 (阪神)","住吉駅 (阪神)（すみよしえき・阪神本線）","https://ja.wikipedia.org/wiki/住吉駅_(阪神)","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度42分46.5秒東経135度15分42秒","本線","24.6 km（大阪梅田起点）","阪神電気鉄道","1905年（明治38年）4月12日[1]","高架駅[1]","2面2線[1]","神戸市東灘区住吉宮町五丁目1番1号北緯34度42分46.5秒東経135度15分42秒﻿ / ﻿北緯34.712917度 東経135.26167度﻿ /34.712917; 135.26167座標:北緯34度42分46.5秒東経135度15分42秒﻿ / ﻿北緯34.712917度 東経135.26167度﻿ /34.712917; 135.26167","","HS24","","1,489人/日（降車客含まず）-2019年-","","","","","","","",""
"住吉駅 (JR西日本・神戸新交通)","住吉駅 (JR西日本・神戸新交通)（すみよしえき・西日本旅客鉄道東海道本線・神戸新交通六甲アイランド線）","https://ja.wikipedia.org/wiki/住吉駅_(JR西日本・神戸新交通)","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","","","","西日本旅客鉄道（JR西日本・駅詳細）神戸新交通（駅詳細）","","","","神戸市東灘区住吉本町一丁目","","","","","","","","","","","",""
"住吉停留場 (長崎県)","住吉停留場 (長崎県)（すみよしていりゅうじょう・長崎電気軌道本線・赤迫支線）","https://ja.wikipedia.org/wiki/住吉停留場_(長崎県)","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯32度47分31.75秒東経129度51分35.31秒","本線（■1号系統・□2号系統・■3号系統）","0.0 km（住吉起点）","長崎電気軌道","1950年（昭和25年）9月16日","地上駅","2面2線","長崎県長崎市住吉町7番1号先北緯32度47分31.75秒東経129度51分35.31秒﻿ / ﻿北緯32.7921528度 東経129.8598083度﻿ /32.7921528; 129.8598083﻿ (住吉停留場)","","12","","","3,400人/日-2015年-","西浦上駅（長崎本線）","","","","","",""
"住吉駅 (熊本県)","住吉駅 (熊本県)（すみよしえき・九州旅客鉄道三角線）","https://ja.wikipedia.org/wiki/住吉駅_(熊本県)","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯32度42分7.22秒東経130度35分53.80秒","三角線（あまくさみすみ線）","7.2 km（宇土起点）","九州旅客鉄道（JR九州）","1899年（明治32年）12月25日[1]","地上駅","2面2線[1]","熊本県宇土市住吉町[1]北緯32度42分7.22秒東経130度35分53.80秒","無人駅[1]（自動券売機 有）","","スミ","","","","","","","","",""
"住吉大社駅","住吉大社駅（すみよしたいしゃえき）","https://ja.wikipedia.org/wiki/住吉大社駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度36分46.05秒東経135度29分24.72秒","■南海本線","5.7 km（難波起点）","南海電気鉄道","1912年（明治45年）2月17日","高架駅","2面4線","大阪市住吉区長峡町3-14北緯34度36分46.05秒東経135度29分24.72秒﻿ / ﻿北緯34.6127917度 東経135.4902000度﻿ /34.6127917; 135.4902000座標:北緯34度36分46.05秒東経135度29分24.72秒﻿ / ﻿北緯34.6127917度 東経135.4902000度﻿ /34.6127917; 135.4902000","*住吉公園駅を名乗っていた時期もあり。","NK 08","スミ","","","住吉鳥居前停留場（阪堺電軌阪堺線）","9,035人/日-2019年-","","","","",""
"住吉町駅","住吉町駅（すみよしちょうえき）","https://ja.wikipedia.org/wiki/住吉町駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度54分7秒東経136度55分32.6秒","河和線","14.0 km（太田川起点）","名古屋鉄道","1933年（昭和8年）7月10日","地上駅","2面2線","愛知県半田市宮路町156-2北緯34度54分7秒東経136度55分32.6秒﻿ / ﻿北緯34.90194度 東経136.925722度﻿ /34.90194; 136.925722座標:北緯34度54分7秒東経136度55分32.6秒﻿ / ﻿北緯34.90194度 東経136.925722度﻿ /34.90194; 136.925722","終日有人駅*1949年農学校前より改称","KC  11 ","","","6,605人/日-2019年[1]-","","","","","","",""
"住吉通停留場","住吉通停留場（すみよしどおりていりゅうじょう）","https://ja.wikipedia.org/wiki/住吉通停留場","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯33度34分35.8秒東経133度38分10.14秒","後免線","1.4 km（後免町起点）","とさでん交通","1911年（明治44年）1月27日","地上駅","2面2線","高知県南国市篠原北緯33度34分35.8秒東経133度38分10.14秒﻿ / ﻿北緯33.576611度 東経133.6361500度﻿ /33.576611; 133.6361500﻿ (住吉通停留場)","","","","","","","","","","","",""
"住吉鳥居前停留場","住吉鳥居前停留場（すみよしとりいまえていりゅうじょう）","https://ja.wikipedia.org/wiki/住吉鳥居前停留場","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度36分45秒東経135度29分28.1秒","■阪堺線","4.8km（恵美須町起点）天王寺駅前から4.6 km","阪堺電気軌道","1911年（明治44年）12月1日","併用軌道上","単式 2面2線","大阪市住吉区住吉二丁目北緯34度36分45秒東経135度29分28.1秒﻿ / ﻿北緯34.61250度 東経135.491139度﻿ /34.61250; 135.491139座標:北緯34度36分45秒東経135度29分28.1秒﻿ / ﻿北緯34.61250度 東経135.491139度﻿ /34.61250; 135.491139",""," HN12 ","","","","住吉大社駅（南海本線）","","","","","",""
"住吉東駅","住吉東駅（すみよしひがしえき）","https://ja.wikipedia.org/wiki/住吉東駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度36分46.6秒東経135度29分50.8秒","■高野線","6.6km（汐見橋起点）難波から5.9 km","南海電気鉄道","1900年（明治33年）9月3日","地上駅","2面2線（ほか通過線2線）","大阪市住吉区住吉一丁目8-49北緯34度36分46.6秒東経135度29分50.8秒﻿ / ﻿北緯34.612944度 東経135.497444度﻿ /34.612944; 135.497444座標:北緯34度36分46.6秒東経135度29分50.8秒﻿ / ﻿北緯34.612944度 東経135.497444度﻿ /34.612944; 135.497444","* 当初は住吉駅を名乗っていた","NK 52","スヒ","","","阪堺電気軌道上町線（神ノ木停留場）","6,586人/日-2019年-","","","","",""
"須屋駅","須屋駅（すやえき）","https://ja.wikipedia.org/wiki/須屋駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯32度51分28.25秒東経130度44分11.32秒","■菊池線","7.4km（上熊本起点）藤崎宮前から6.3 km","熊本電気鉄道","1913年（大正2年）8月26日","地上駅","1面1線","熊本県合志市須屋字迫田1217-5北緯32度51分28.25秒東経130度44分11.32秒﻿ / ﻿北緯32.8578472度 東経130.7364778度﻿ /32.8578472; 130.7364778座標:北緯32度51分28.25秒東経130度44分11.32秒﻿ / ﻿北緯32.8578472度 東経130.7364778度﻿ /32.8578472; 130.7364778","無人駅","KD14","","","342人/日-2018年-","","","","","","",""
"摺沢駅","摺沢駅（すりさわえき）","https://ja.wikipedia.org/wiki/摺沢駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","","■大船渡線","30.6 km（一ノ関起点）","東日本旅客鉄道（JR東日本）","1925年（大正14年）7月26日","地上駅","2面2線","","業務委託駅","","スリ","227人/日（降車客含まず）-2019年-","","","","","","","",""
