"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","所有者","位置","運用者","グラウンド","開場","大型映像装置","照明","ピッチサイズ","設計者","建設者","修繕","建設費","起工","拡張","運営者","分類","公式サイト","設備・遊具"
"平塚競技場","[Shonan BMWスタジアム平塚（平塚競技場）/ BMWス -湘南ベルマーレ] 平塚競技場 （ひらつかきょうぎじょう、Hiratsuka Stadium）は、 神奈川県 平塚市 の 平塚市総合公園 内にある 陸上競技場 。 球技場 としても使用される。施設は平塚市が所有し、運営管理も平塚市が行っている。","https://ja.wikipedia.org/wiki/平塚競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯35度20分36.74秒東経139度20分28.39秒","神奈川県平塚市大原1‐1","平塚市","北緯35度20分36.74秒東経139度20分28.39秒﻿ / ﻿北緯35.3435389度 東経139.3412194度﻿ /35.3435389; 139.3412194座標:北緯35度20分36.74秒東経139度20分28.39秒﻿ / ﻿北緯35.3435389度 東経139.3412194度﻿ /35.3435389; 139.3412194","平塚市","天然芝（107m×71m）","1987年3月","オーロラビジョン","4基","105m×68m","","","1994年2月","","","","","","",""
"山梨県小瀬スポーツ公園陸上競技場","[山梨中銀スタジアム（山梨県小瀬スポーツ公園陸上競技場）/ 中銀スタ -ヴァンフォーレ甲府] 山梨県小瀬スポーツ公園陸上競技場 （やまなしけん こせスポーツこうえん りくじょうきょうぎじょう）は、 山梨県 甲府市 の 山梨県小瀬スポーツ公園 内にある 陸上競技場 。 球技場 としても使用される。施設は山梨県が所有し、山梨県スポーツ協会が 指定管理者 として運営管理を行っている。","https://ja.wikipedia.org/wiki/山梨県小瀬スポーツ公園陸上競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯35度37分20.21秒東経138度35分22.91秒","山梨県甲府市小瀬町840","山梨県","北緯35度37分20.21秒東経138度35分22.91秒﻿ / ﻿北緯35.6222806度 東経138.5896972度﻿ /35.6222806; 138.5896972座標:北緯35度37分20.21秒東経138度35分22.91秒﻿ / ﻿北緯35.6222806度 東経138.5896972度﻿ /35.6222806; 138.5896972","山梨県スポーツ協会","天然芝（106 m × 69 m）","1985年","スーパーカラービジョン","4基（鉄塔式）+メインスタンド屋根","105 m × 68 m","","","2004年、2009年","","1983年","1997年、2006年","","","",""
"アルビレックス新潟","[デンカビッグスワンスタジアム（新潟スタジアム） / デンカS -アルビレックス新潟] アルビレックス新潟 （アルビレックスにいがた、Albirex Niigata）は、 日本 の 新潟県 内の全市町村をホームタウンとする、 日本プロサッカーリーグ （Jリーグ）に加盟するプロサッカークラブ。","https://ja.wikipedia.org/wiki/アルビレックス新潟","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","公式サイト",""
"富山県総合運動公園陸上競技場","[富山県総合運動公園陸上競技場/ 富山 -カターレ富山] 富山県総合運動公園陸上競技場 （とやまけんそうごううんどうこうえん りくじょうきょうぎじょう）は、 富山県 富山市 の 富山県総合運動公園 内にある 陸上競技場 。正式な名称は富山県陸上競技場。球技場としても使用される。施設は富山県が所有し、公益社団法人富山県民福祉公園が 指定管理者 として運営管理を行っている。","https://ja.wikipedia.org/wiki/富山県総合運動公園陸上競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯36度37分30.24秒東経137度11分44.51秒","富山県富山市南中田368","富山県","北緯36度37分30.24秒東経137度11分44.51秒﻿ / ﻿北緯36.6250667度 東経137.1956972度﻿ /36.6250667; 137.1956972座標:北緯36度37分30.24秒東経137度11分44.51秒﻿ / ﻿北緯36.6250667度 東経137.1956972度﻿ /36.6250667; 137.1956972","（公社） 富山県民福祉公園","天然芝（106m×70m）","1993年9月（竣工）","電光式","4基","105m×68m","曽根幸一・環境設計研究所","佐藤工業タカノ建設杉本建設","2009年","","1991年4月","","","","",""
"石川県西部緑地公園陸上競技場","[石川県西部緑地公園陸上競技場/ 石川西部 -ツエーゲン金沢] 石川県西部緑地公園陸上競技場 （いしかわけんせいぶりょくちこうえん りくじょうきょうぎじょう）は、 石川県 金沢市 の 西部緑地公園 内にある 陸上競技場 。 球技場 としても使用される。施設は石川県が所有し、 一般財団法人 石川県県民ふれあい公社が 指定管理者 として運営管理を行っている。","https://ja.wikipedia.org/wiki/石川県西部緑地公園陸上競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯36度34分32.88秒東経136度36分19.28秒","石川県金沢市袋畠町南136","石川県","北緯36度34分32.88秒東経136度36分19.28秒﻿ / ﻿北緯36.5758000度 東経136.6053556度﻿ /36.5758000; 136.6053556座標:北緯36度34分32.88秒東経136度36分19.28秒﻿ / ﻿北緯36.5758000度 東経136.6053556度﻿ /36.5758000; 136.6053556","一般財団法人石川県県民ふれあい公社","天然芝","1974年4月9日","有","4基","","","","1995年、1997年、2013年","","","","","","",""
"愛鷹広域公園多目的競技場","[愛鷹広域公園多目的競技場/ 愛鷹 -アスルクラロ沼津] 愛鷹広域公園多目的競技場 （あしたかこういきこうえんたもくてききょうぎじょう）は、 静岡県 沼津市 の 愛鷹広域公園 内にある 陸上競技場 。 球技場 としても使用される。施設は静岡県が所有し、 日産クリエイティブサービス が 指定管理者 として運営管理を行っている。","https://ja.wikipedia.org/wiki/愛鷹広域公園多目的競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯35度9分21.38秒東経138度51分13.07秒","静岡県沼津市足高202","静岡県","北緯35度9分21.38秒東経138度51分13.07秒﻿ / ﻿北緯35.1559389度 東経138.8536306度﻿ /35.1559389; 138.8536306座標:北緯35度9分21.38秒東経138度51分13.07秒﻿ / ﻿北緯35.1559389度 東経138.8536306度﻿ /35.1559389; 138.8536306","日産クリエイティブサービス","天然芝","1996年","","","107m×70m","","","","","","","","","",""
"名古屋市瑞穂公園陸上競技場","[パロマ瑞穂スタジアム（名古屋市瑞穂公園陸上競技場）/ パロ瑞穂 - 名古屋グランパス] 名古屋市瑞穂公園陸上競技場 （なごやしみずほこうえんりくじょうきょうぎじょう）は、 愛知県 名古屋市 瑞穂区 の 名古屋市瑞穂公園 にある 陸上競技場  。 球技場 としても使用される。施設は名古屋市が所有し、 公益財団法人 名古屋市教育スポーツ協会が 指定管理者 として運営管理を行っている。当施設を含めた瑞穂公園内に設置された有償で貸し出されている運動場全体の総称として「 瑞穂運動場 」という名称も使用される  。","https://ja.wikipedia.org/wiki/名古屋市瑞穂公園陸上競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯35度7分20.55秒東経136度56分39.56秒","愛知県名古屋市瑞穂区山下通5-1","名古屋市","北緯35度7分20.55秒東経136度56分39.56秒﻿ / ﻿北緯35.1223750度 東経136.9443222度﻿ /35.1223750; 136.9443222座標:北緯35度7分20.55秒東経136度56分39.56秒﻿ / ﻿北緯35.1223750度 東経136.9443222度﻿ /35.1223750; 136.9443222","公益財団法人名古屋市教育スポーツ協会","天然芝 (106 x 68 m)","1941年2月","エキスポビジョン","1,500ルクス","","","","1950年10月、1994年5月","","","1982年3月、2021-2025年","","","",""
"岐阜メモリアルセンター長良川競技場","[岐阜メモリアルセンター長良川競技場/ 長良川 -FC岐阜] 岐阜メモリアルセンター長良川競技場 （ぎふメモリアルセンターながらがわきょうぎじょう、Gifu Memorial Center Nagaragawa Stadium）は、 岐阜県 岐阜市 の 岐阜メモリアルセンター 内にある 陸上競技場 。 球技場 としても使用される。施設は岐阜県が所有し、公益財団法人岐阜県体育協会が 指定管理者 として運営管理を行っている  。","https://ja.wikipedia.org/wiki/岐阜メモリアルセンター長良川競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯35度26分28.75秒東経136度45分57.88秒","岐阜県岐阜市長良福光大野2675-28","岐阜県","北緯35度26分28.75秒東経136度45分57.88秒﻿ / ﻿北緯35.4413194度 東経136.7660778度﻿ /35.4413194; 136.7660778座標:北緯35度26分28.75秒東経136度45分57.88秒﻿ / ﻿北緯35.4413194度 東経136.7660778度﻿ /35.4413194; 136.7660778","公益財団法人岐阜県体育協会","天然芝","1991年","オーロラビジョン","1,500ルクス（メインスタンド屋根搭載型+バックスタンドの鉄塔2基）","105m×68m","","","2009年","","","","","","",""
"長居陸上競技場","[ヤンマースタジアム長居（長居陸上競技場）/ ヤンマー -セレッソ大阪] 長居陸上競技場 （ながいりくじょうきょうぎじょう）は、 大阪府 大阪市 東住吉区 の 長居公園 内にある 陸上競技場 。 球技場 としても使用される。施設は大阪市が所有し、公園内の各施設共々 指定管理者 として、わくわくパーククリエイト（ ヤンマーホールディングス 100％出資の子会社）を代表企業とし、セイレイ興産、ヤンマーホールディングス、（一財）大阪スポーツみどり財団、 タイムズ24 、（公財）大阪ユースホステル協会の計6団体で構成される「わくわくパークプロジェクトチーム」が運営管理を行っている   。 日本プロサッカーリーグ （Jリーグ）の セレッソ大阪 がホームスタジアムとして使用している。","https://ja.wikipedia.org/wiki/長居陸上競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","","大阪府大阪市東住吉区長居公園1-1","大阪市","","わくわくパークプロジェクトチーム","天然芝","1964年","オーロラビジョン他","","105m × 68m（天然芝フィールドは107m × 71m","大阪市都市整備局営繕部昭和設計（全面改築時）","竹中工務店フジタ鴻池組（全面改築時）","1992年9月","401億円（改築時）","","1996年5月","","","",""
"岡山県総合グラウンド陸上競技場","[シティライトスタジアム（岡山県総合グラウンド陸上競技場）/ Cスタ -ファジアーノ岡山] 岡山県総合グラウンド陸上競技場 （おかやまけんそうごうグラウンドりくじょうきょうぎじょう）は、 岡山県 岡山市 北区 いずみ町の 岡山県総合グラウンド 内にある 陸上競技場 。 球技場 としても使用される。 施設 は岡山県が所有し、一般社団法人岡山県総合協力事業団が 指定管理者 として運営管理を行っている。","https://ja.wikipedia.org/wiki/岡山県総合グラウンド陸上競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯34度40分50.37秒東経133度55分10.69秒","岡山県岡山市北区いずみ町2-1","岡山県","北緯34度40分50.37秒東経133度55分10.69秒﻿ / ﻿北緯34.6806583度 東経133.9196361度﻿ /34.6806583; 133.9196361座標:北緯34度40分50.37秒東経133度55分10.69秒﻿ / ﻿北緯34.6806583度 東経133.9196361度﻿ /34.6806583; 133.9196361","一般社団法人岡山県総合協力事業団","天然芝（106 m × 72 m）","1957年","スーパーカラービジョン","2基","105 m × 68 m","東畑建築事務所ドーンデザイン研究所","竹中工務店・アイサワ工業・蜂谷工業JVまつもとコーポレーション・重藤組JV日本技研建設九電工・中央電気JV新日本空調・五洋工業JV三晃空調・インテック共和JV","","","","2003年5月","","","",""
"広島広域公園陸上競技場","[エディオンスタジアム広島（広島広域公園陸上競技場）/ Eスタ -サンフレッチェ広島] 広島広域公園陸上競技場 （ひろしまこういきこうえんりくじょうきょうぎじょう）は、 広島県 広島市 安佐南区 の 広島広域公園 内にある多目的スタジアム。愛称は 広島ビッグアーチ （ひろしまビッグアーチ）。略称は「広島広」ないしは「広島ビ」  。施設は広島市が所有し、 公益財団法人 広島市スポーツ協会が 指定管理者 として運営管理を行っている。","https://ja.wikipedia.org/wiki/広島広域公園陸上競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯34度26分27.1秒東経132度23分39.3秒","広島県広島市安佐南区大塚西5","広島市","北緯34度26分27.1秒東経132度23分39.3秒﻿ / ﻿北緯34.440861度 東経132.394250度﻿ /34.440861; 132.394250座標:北緯34度26分27.1秒東経132度23分39.3秒﻿ / ﻿北緯34.440861度 東経132.394250度﻿ /34.440861; 132.394250","広島市スポーツ協会","天然芝（107m×73.3m）","1992年9月","あり","","105m×68m","東畑建築事務所","大林組・増岡組他","1998年（芝、諸施設）","","","","","","",""
"維新百年記念公園陸上競技場","[維新みらいふスタジアム（維新百年記念公園陸上競技場）/ みらスタ -レノファ山口FC] なお、福岡県久留米市に本社を置く建築資材販売会社の「みらいふ」が 命名権 を取得しており、2018年1月12日から「 維新みらいふスタジアム 」（いしんみらいふスタジアム、略称「みらスタ」）の呼称を用いている（ 後述 ）。","https://ja.wikipedia.org/wiki/維新百年記念公園陸上競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯34度9分16.1秒東経131度26分14.7秒","山口県山口市維新公園4-1-1","山口県","北緯34度9分16.1秒東経131度26分14.7秒﻿ / ﻿北緯34.154472度 東経131.437417度﻿ /34.154472; 131.437417座標:北緯34度9分16.1秒東経131度26分14.7秒﻿ / ﻿北緯34.154472度 東経131.437417度﻿ /34.154472; 131.437417","一般財団法人山口県施設管理財団","天然芝","1963年（昭和38年）5月","あり","鉄塔4基・1500ルクス","107m×71m","山口県建築指導課佐藤総合計画","鴻池組・井森工業・山口建設特定JV","","約81.5億円","","2007年（平成19年） -2011年（平成23年）","","","",""
"徳島県鳴門総合運動公園陸上競技場","[鳴門・大塚スポーツパークポカリスエットスタジアム（徳島県鳴門総合運動公園陸上競技場）/ 鳴門大塚 -徳島ヴォルティス] 徳島県鳴門総合運動公園陸上競技場 （とくしまけん なるとそうごううんどうこうえん りくじょうきょうぎじょう）は、 徳島県 鳴門市 撫養町立岩 の 徳島県鳴門総合運動公園 （鳴門・大塚スポーツパーク）内にある 陸上競技場 。 球技場 としても使用される。施設は徳島県が所有し、一般財団法人徳島県スポーツ振興財団が 指定管理者 として管理・運営を行っている。","https://ja.wikipedia.org/wiki/徳島県鳴門総合運動公園陸上競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯34度10分04秒東経134度37分04秒","徳島県鳴門市撫養町立岩字四枚61","徳島県","北緯34度10分04秒東経134度37分04秒﻿ / ﻿北緯34.167855度 東経134.617857度﻿ /34.167855; 134.617857","一般財団法人徳島県スポーツ振興財団","天然芝","1971年5月","オーロラビジョン","4基","","","","","","","2001年、2004年、2012年、2014年","","","",""
"香川県立丸亀競技場","[Pikaraスタジアム（香川県立丸亀競技場）/ ピカスタ -カマタマーレ讃岐] 丸亀市総合運動公園は丸亀市営の 運動公園 であるが、本施設のみ県営施設である（本施設以外の施設群は「丸亀市スポーツセンター」と称される）。","https://ja.wikipedia.org/wiki/香川県立丸亀競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯34度15分41.86秒東経133度47分9.29秒","香川県丸亀市金倉町830","香川県","北緯34度15分41.86秒東経133度47分9.29秒﻿ / ﻿北緯34.2616278度 東経133.7859139度﻿ /34.2616278; 133.7859139座標:北緯34度15分41.86秒東経133度47分9.29秒﻿ / ﻿北緯34.2616278度 東経133.7859139度﻿ /34.2616278; 133.7859139","四電工グループ","天然芝（106 m × 69.5 m）","1997年10月10日","オーロラビジョン1基","","105 m × 68 m","日本技術開発浪速設計","大成建設・間組JV中電工・三和建設JV川崎・後藤建設JVパナソニック電工富士通機電","","約86億円","1995年","","","","",""
"愛媛県総合運動公園陸上競技場","[ニンジニアスタジアム（愛媛県総合運動公園陸上競技場）/ ニンスタ -愛媛FC] 愛媛県総合運動公園陸上競技場 （えひめけんそうごううんどうこうえん りくじょうきょうぎじょう）は、 愛媛県 松山市 の 愛媛県総合運動公園 にある 陸上競技場 である。愛媛県が所有し、公益財団法人愛媛県スポーツ振興事業団が 指定管理者 として運営管理を行っている。","https://ja.wikipedia.org/wiki/愛媛県総合運動公園陸上競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯33度46分5.44秒東経132度47分51.34秒","愛媛県松山市上野町乙46番地","愛媛県","北緯33度46分5.44秒東経132度47分51.34秒﻿ / ﻿北緯33.7681778度 東経132.7975944度﻿ /33.7681778; 132.7975944座標:北緯33度46分5.44秒東経132度47分51.34秒﻿ / ﻿北緯33.7681778度 東経132.7975944度﻿ /33.7681778; 132.7975944","公益財団法人愛媛県スポーツ振興事業団","天然芝","1979年10月","あり（2013年設置）","4基（1994年設置）","106m×69.5m","","","2016年3月","","","","","","",""
"長崎県立総合運動公園陸上競技場","[トランスコスモススタジアム長崎（長崎県立総合運動公園陸上競技場）/ トラスタ -V・ファーレン長崎] 長崎県立総合運動公園陸上競技場 （ながさきけんりつ そうごううんどうこうえん りくじょうきょうぎじょう）は、 長崎県 諫早市 の 長崎県立総合運動公園 にある 陸上競技場 。 球技場 としても使用される。施設は長崎県が所有し、一般社団法人長崎県公園緑地協会が 指定管理者 として運営管理を行っている。","https://ja.wikipedia.org/wiki/長崎県立総合運動公園陸上競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯32度50分18.95秒東経130度2分22.3秒","長崎県諫早市宇都町27-1","長崎県","北緯32度50分18.95秒東経130度2分22.3秒﻿ / ﻿北緯32.8385972度 東経130.039528度﻿ /32.8385972; 130.039528座標:北緯32度50分18.95秒東経130度2分22.3秒﻿ / ﻿北緯32.8385972度 東経130.039528度﻿ /32.8385972; 130.039528","一般社団法人長崎県公園緑地協会","天然芝","1969年（2011年に一時取り壊し）","オーロラビジョン1基","","","日本設計","（建設）清水・西海・長崎土建JV、大林・谷川・野副JV（電気）松田・三恵・脇JV、イナヅマ・長営・一電設JV（空調）山口組・岩崎断熱・長翔設備JV（衛生）旭管・大東・長与管工JV（浄化槽）三信設備（通信情報）大菱・共栄・みずほJV","2011年3月 - 2013年6月","約78億円","","2013年3月3日","","","",""
"熊本県民総合運動公園陸上競技場","[えがお健康スタジアム（熊本県民総合運動公園陸上競技場）/ えがおS -ロアッソ熊本] 熊本県民総合運動公園陸上競技場 （くまもとけんみんそうごううんどうこうえん・りくじょうきょうぎじょう）は、 熊本県 熊本市 東区 平山町の 熊本県民総合運動公園 内にある 陸上競技場 。 球技場 としても使用される。熊本県が所有し、熊本県スポーツ振興事業団が 指定管理者 として運営管理を行っている。","https://ja.wikipedia.org/wiki/熊本県民総合運動公園陸上競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯32度50分12.82秒東経130度48分0.52秒","熊本県熊本市東区平山町2776","熊本県","北緯32度50分12.82秒東経130度48分0.52秒﻿ / ﻿北緯32.8368944度 東経130.8001444度﻿ /32.8368944; 130.8001444座標:北緯32度50分12.82秒東経130度48分0.52秒﻿ / ﻿北緯32.8368944度 東経130.8001444度﻿ /32.8368944; 130.8001444","（財）熊本県スポーツ振興事業団","天然芝（107m×70m）","1998年3月","2基","4基","105m×68m","日建設計","鹿島建設、日本国土開発・岩永組工事共同企業体","","","","","","","",""
"大分スポーツ公園総合競技場","[昭和電工ドーム大分（大分スポーツ公園総合競技場）/ 昭和電ド -大分トリニータ] 愛称は一般公募によって決まった「 ビッグアイ 」である。 2019年 3月より 東京都 に本社を置き、大分県内で 大分コンビナート を操業する 化学工業 会社の 昭和電工 が命名権を取得し、「 昭和電工ドーム大分 」（しょうわでんこうドームおおいた、 英語 : SHOWA DENKO DOME OITA 、略称: 昭和電ド）の呼称を使用している（ 後述 ）。","https://ja.wikipedia.org/wiki/大分スポーツ公園総合競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯33度12分3.2秒東経131度39分30.19秒","大分県大分市大字横尾1351番地","大分県","北緯33度12分3.2秒東経131度39分30.19秒﻿ / ﻿北緯33.200889度 東経131.6583861度﻿ /33.200889; 131.6583861座標:北緯33度12分3.2秒東経131度39分30.19秒﻿ / ﻿北緯33.200889度 東経131.6583861度﻿ /33.200889; 131.6583861","株式会社大宣","天然芝（107m × 71m）","2001年3月","1基","1,500ルクス","105m × 68m","KTグループJV(黒川紀章建築都市設計事務所・竹中工務店・さとうベネック・高山総合工業)","KTグループJV(竹中工務店・さとうベネック・高山総合工業)","","251億円","1998年4月","","","","",""
"鹿児島県立鴨池陸上競技場","[白波スタジアム（鹿児島県立鴨池陸上競技場）/ 白波スタ -鹿児島ユナイテッドFC] 鹿児島県立鴨池陸上競技場 （かごしまけんりつ かもいけりくじょうきょうぎじょう）は、 鹿児島県 鹿児島市 の鴨池公園内にある 陸上競技場 。 球技場 としても使用される。 鹿児島県教育庁 所管の「鹿児島県総合体育センター」施設の一つ  で、 セイカスポーツグループ が 指定管理者 として運営管理を行っている。","https://ja.wikipedia.org/wiki/鹿児島県立鴨池陸上競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯31度33分53.39秒東経130度33分36.67秒","鹿児島県鹿児島市与次郎2-2-2","鹿児島県","北緯31度33分53.39秒東経130度33分36.67秒﻿ / ﻿北緯31.5648306度 東経130.5601861度﻿ /31.5648306; 130.5601861座標:北緯31度33分53.39秒東経130度33分36.67秒﻿ / ﻿北緯31.5648306度 東経130.5601861度﻿ /31.5648306; 130.5601861","セイカスポーツグループ","","1970年12月","あり","4基","","","","2014年・2017-2018年","約43億円（改修事業費）","","1995年","","","",""
"沖縄県総合運動公園陸上競技場","[タピック県総ひやごんスタジアム（沖縄県総合運動公園陸上競技場）/ タピック -FC琉球] 沖縄県総合運動公園陸上競技場 （おきなわけんそうごううんどうこうえんりくじょうきょうぎじょう）は、 沖縄県 沖縄市 の 沖縄県総合運動公園 内にある 陸上競技場 。 球技場 としても使用される。施設は 沖縄県 が所有し、株式会社トラステックと 美津濃株式会社 の 共同企業体 が 指定管理者 として運営管理を行っている。","https://ja.wikipedia.org/wiki/沖縄県総合運動公園陸上競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯26度18分30.66秒東経127度49分30.66秒","沖縄県沖縄市比屋根5-3-1","沖縄県","北緯26度18分30.66秒東経127度49分30.66秒﻿ / ﻿北緯26.3085167度 東経127.8251833度﻿ /26.3085167; 127.8251833座標:北緯26度18分30.66秒東経127度49分30.66秒﻿ / ﻿北緯26.3085167度 東経127.8251833度﻿ /26.3085167; 127.8251833","株式会社トラステック・ミズノ共同企業体","天然芝","1987年3月","あり","LED照明塔4基","105m × 68m","久米設計・具志堅建築設計事務所・エスジーエンジニアリング共同企業体（改修時）","","2015年2月","35億円（改修時）","","","","","",""
"Jヴィレッジ","[Jヴィレッジスタジアム/ Jヴィレ] 東京電力 が原子力発電所立地地域の地域振興事業の一つとして総工費130億円を投じて建設し、福島県に寄付した施設  で、 日本サッカー協会 (JFA) 、 日本プロサッカーリーグ （Jリーグ）、福島県、東京電力などの出資で設立された株式会社Jヴィレッジ（旧社名・株式会社日本フットボールヴィレッジ）が運営管理する。株式会社Jヴィレッジの歴代社長は 福島県知事 、副社長はJFA理事と東京電力 役員（取締役または常務執行役） が務める。実質的な運営統括はJFA理事の副社長が担当しており   、現在の副社長は元 湘南ベルマーレ 監督の 上田栄治  。","https://ja.wikipedia.org/wiki/Jヴィレッジ","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯37度14分39秒東経141度00分07秒","","","","","","","","","","","","","","","","","","",""
"国立西が丘サッカー場","[味の素フィールド西が丘（国立西が丘サッカー場）/ 味フィ西] 西が丘サッカー場 （にしがおかサッカーじょう）は、 東京都 北区 の 国立スポーツ科学センター にある サッカー 専用の球技場である。施設は 独立行政法人日本スポーツ振興センター （以下「JSC」）が所有しており、JSCが運営・管理も行っている。正式な施設名称は「 国立スポーツ科学センター（西が丘）サッカー場 」（こくりつスポーツかがくセンター（にしがおか）サッカーじょう）である  。","https://ja.wikipedia.org/wiki/国立西が丘サッカー場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯35度46分8.98秒東経139度42分28.29秒","東京都北区西が丘3丁目15−1","独立行政法人日本スポーツ振興センター","北緯35度46分8.98秒東経139度42分28.29秒﻿ / ﻿北緯35.7691611度 東経139.7078583度﻿ /35.7691611; 139.7078583座標:北緯35度46分8.98秒東経139度42分28.29秒﻿ / ﻿北緯35.7691611度 東経139.7078583度﻿ /35.7691611; 139.7078583","独立行政法人日本スポーツ振興センター","天然芝","1972年","","4基","105m×68m","","","2010年","","1969年","","","","",""
"チュウブYAJINスタジアム","[チュウブYAJINスタジアム/ チュスタ] チュウブYAJINスタジアム （チュウブヤジンスタジアム、略称：チュスタ）は、 鳥取県 米子市 にある サッカー 専用 競技場 である。施設は 坂口合名会社 が所有し株式会社SC鳥取へ賃貸  、運営・管理は株式会社SC鳥取および 特定非営利活動法人 やまつみスポーツクラブ が行っている  、","https://ja.wikipedia.org/wiki/チュウブYAJINスタジアム","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯35度26分51.81秒東経133度18分27.67秒","鳥取県米子市安部1-1","坂口合名会社","北緯35度26分51.81秒東経133度18分27.67秒﻿ / ﻿北緯35.4477250度 東経133.3076861度﻿ /35.4477250; 133.3076861座標:北緯35度26分51.81秒東経133度18分27.67秒﻿ / ﻿北緯35.4477250度 東経133.3076861度﻿ /35.4477250; 133.3076861","株式会社SC鳥取特定非営利活動法人やまつみスポーツクラブ","天然芝","2012年12月9日","なし","なし","105 m × 68 m","","所子・美保建設共同体株式会社ホクシン株式会社三徳建設株式会社チュウブ","","約4億円","2012年4月","","","","",""
"群馬県立敷島公園サッカー・ラグビー場","[群馬県立敷島公園サッカー・ラグビー場/ 群馬サ] 群馬県立敷島公園サッカー・ラグビー場 （ぐんまけんりつしきしまこうえんサッカー・ラグビーじょう）は、 群馬県 前橋市 の群馬県立 敷島公園 内にある球技場。施設は群馬県が所有し、敷島パークマネジメントJV（共同企業体）が 指定管理者 として運営管理を行っている。","https://ja.wikipedia.org/wiki/群馬県立敷島公園サッカー・ラグビー場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯36度24分48.26秒東経139度3分14.0秒","群馬県前橋市敷島町66","群馬県","北緯36度24分48.26秒東経139度3分14.0秒﻿ / ﻿北緯36.4134056度 東経139.053889度﻿ /36.4134056; 139.053889座標:北緯36度24分48.26秒東経139度3分14.0秒﻿ / ﻿北緯36.4134056度 東経139.053889度﻿ /36.4134056; 139.053889","敷島パークマネジメントJV","天然芝","1966年","なし","なし","","","","","","","","","","",""
"テクノポート福井総合公園","[テクノポート福井スタジアム/ 福井] テクノポート福井総合公園 （テクノポートふくいそうごうこうえん）は、 福井県 坂井市 にある公園。施設は福井県が所有し、グリーン・コンソーシアムが 指定管理者 として運営管理を行っている。","https://ja.wikipedia.org/wiki/テクノポート福井総合公園","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯36度11分22.71秒東経136度8分2.57秒","日本福井県坂井市三国町黒目22字51-1","","","","","","","","","","","","","","","グリーン・コンソーシアム","","公式ウェブサイト","芝生広場各種ゴルフ場球技場バーベキュー広場他"
