"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","位置","所在地","地図","指定文化財","遺構","築城年","築城主","廃城年","城郭構造","築造時期","史跡","規模","主な城主","形状","別名","出土品","天守構造","埋葬施設","特記事項"
"塚花塚古墳 (存在しないページ)","[塚花塚古墳（つかはなづかこふん）〔うきは市〕1922年10月12日]","https://ja.wikipedia.org/w/index.php?title=塚花塚古墳&amp;action=edit&amp;redlink=1","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"日岡古墳","[日岡古墳（ひのおかこふん）〔うきは市〕1928年2月7日] 日岡古墳 （ひのおかこふん）は、 福岡県 うきは市 吉井町に所在する 前方後円墳 である。国の 史跡 に指定。付近の 月岡古墳 や 塚堂古墳 とともに若宮古墳群を形成する。","https://ja.wikipedia.org/wiki/日岡古墳","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度20分39.8秒東経130度46分02.4秒","北緯33度20分39.8秒東経130度46分02.4秒﻿ / ﻿北緯33.344389度 東経130.767333度﻿ /33.344389; 130.767333","福岡県うきは市吉井町若宮","","","","","","","","6世紀前半","昭和3年（1928年）国の史跡に指定","全長80m、高さ5m","","前方後円墳","","","","両袖型横穴式石室","石室内に壁画"
"下高橋官衙遺跡","[下高橋官衙遺跡（しもたかはしかんがいせき）〔三井郡大刀洗町〕1998年1月8日] 下高橋官衙遺跡 （しもたかはしかんがいせき）は、 福岡県 三井郡 大刀洗町 下高橋にある 奈良時代 （8世紀）の 郡衙 跡である。 1998年 1月16日、 国史跡 に指定された。遺跡は、東側の下高橋馬屋元遺跡と西側の下高橋上野遺跡の、大きく東西の2つ方形区画に分けることができ、前者（東側）からは約170m四方の方形から30棟以上もの大型の 掘立柱建物 が見つかり、後者（西側）からは170m以上、東西150mの長方形の範囲から、18棟以上もの大型の掘立柱建物が確認され、うち13棟は、 高床式倉庫 で 米 （当時では 税 にあたる）を収納した正倉院だとみられている  。","https://ja.wikipedia.org/wiki/下高橋官衙遺跡","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度23分18秒 東経130度35分22秒","","","","","","","","","","","","","","","","","","",""
"小郡官衙遺跡","[小郡官衙遺跡（おごおりかんがいせき）] 小郡官衙遺跡 （おごおりかんがいせき）は、 福岡県 小郡市 小郡にある 古代 官衙 の遺跡。 筑後国 御原郡 の 郡家 の跡と言われている。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/小郡官衙遺跡","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度24分4.85秒 東経130度33分24.34秒","","","","","","","","","","","","","","","","","","",""
"上岩田遺跡 (存在しないページ)","[上岩田遺跡（かみいわたいせき）]","https://ja.wikipedia.org/w/index.php?title=上岩田遺跡&amp;action=edit&amp;redlink=1","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"安国寺甕棺墓群 (存在しないページ)","[安国寺甕棺墓群（あんこくじかめかんぼぐん）〔久留米市〕1980年11月26日]","https://ja.wikipedia.org/w/index.php?title=安国寺甕棺墓群&amp;action=edit&amp;redlink=1","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"浦山古墳","[浦山古墳（うらやまこふん）〔久留米市〕1951年6月9日] 浦山古墳 （うらやまこふん）は、 福岡県 久留米市 上津町にある 古墳 。1951年6月9日、 国史跡 に指定された。","https://ja.wikipedia.org/wiki/浦山古墳","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度17分06秒 東経130度32分09秒","","","","","","","","","","","","","","","","","","",""
"御塚・権現塚古墳","[御塚・権現塚古墳（おんつか・ごんげんづかこふん）〔久留米市〕1931年10月21日] 御塚・権現塚古墳 （おんつか・ごんげんづかこふん）とは、 福岡県 久留米市 大善寺に隣接して所在している二つの古墳を合わせた併称である。 1931年 10月21日 に国の 史跡 となった。","https://ja.wikipedia.org/wiki/御塚・権現塚古墳","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度16分47秒 東経130度28分39秒","","","","","","","","","","","","","","","","","","",""
"高良山神籠石","[高良山神籠石（こうらさんこうごいし）〔久留米市〕1953年11月14日] 高良山神籠石 （こうらさんこうごいし）は、 筑後国 御井郡 の 高良山 （現在の 福岡県 久留米市 御井町）にあった 日本 の 古代山城 （分類は 神籠石系山城 ）。城跡は国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/高良山神籠石","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度17分52.38秒東経130度34分28.62秒","北緯33度17分52.38秒東経130度34分28.62秒﻿ / ﻿北緯33.2978833度 東経130.5746167度﻿ /33.2978833; 130.5746167座標:北緯33度17分52.38秒東経130度34分28.62秒﻿ / ﻿北緯33.2978833度 東経130.5746167度﻿ /33.2978833; 130.5746167","","","国の史跡「高良山神籠石」","水門・石塁・土塁","不明","","不明","古代山城（神籠石系山城）","","","","","","","","","",""
"下馬場古墳","[下馬場古墳（しもばばこふん）〔久留米市〕1944年11月7日] 下馬場古墳 （しもばばこふん）は、 福岡県 久留米市 草野町にある古墳。 耳納山地 北麓のなだらかな 扇状地 にある。1944年11月7日、国史跡に指定された。","https://ja.wikipedia.org/wiki/下馬場古墳","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度18分50秒 東経130度37分22秒","","","","","","","","","","","","","","","","","","",""
"高山彦九郎墓 (存在しないページ)","[高山彦九郎墓（たかやまひこくろうのはか）〔久留米市〕1942年7月21日]","https://ja.wikipedia.org/w/index.php?title=高山彦九郎墓&amp;action=edit&amp;redlink=1","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"田主丸大塚古墳","[田主丸大塚古墳（たぬしまるおおつかこふん）] 田主丸大塚古墳 （たぬしまるおおつかこふん）は、 福岡県 久留米市 田主丸町石垣にある 古墳 。形状は 前方後円墳 。田主丸古墳群を構成する古墳の1つ。国の 史跡 に指定されている（史跡「田主丸古墳群」のうち）。","https://ja.wikipedia.org/wiki/田主丸大塚古墳","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度19分34.17秒東経130度42分41.55秒","北緯33度19分34.17秒東経130度42分41.55秒﻿ / ﻿北緯33.3261583度 東経130.7115417度﻿ /33.3261583; 130.7115417座標:北緯33度19分34.17秒東経130度42分41.55秒﻿ / ﻿北緯33.3261583度 東経130.7115417度﻿ /33.3261583; 130.7115417","福岡県久留米市田主丸町石垣（大塚古墳歴史公園内）","田主丸大塚古墳","","","","","","","6世紀後半","国の史跡「田主丸大塚古墳」（「田主丸古墳群」に包含）","墳丘長103m","","前方後円墳","","","","横穴式石室",""
"寺徳古墳 (存在しないページ)","[寺徳古墳（じとくこふん）]","https://ja.wikipedia.org/w/index.php?title=寺徳古墳&amp;action=edit&amp;redlink=1","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"中原狐塚古墳 (存在しないページ)","[中原狐塚古墳（なかばるきつねづかこふん）]","https://ja.wikipedia.org/w/index.php?title=中原狐塚古墳&amp;action=edit&amp;redlink=1","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"西館古墳 (存在しないページ)","[西館古墳（にしのたてこふん）]","https://ja.wikipedia.org/w/index.php?title=西館古墳&amp;action=edit&amp;redlink=1","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"筑後国府跡","[筑後国府跡（ちくごこくふあと）〔久留米市〕1996年3月26日] 筑後国 （ちくごのくに）は、かつて 日本 の地方行政区分だった 令制国 の一つ。 西海道 に属する。 7世紀 末までに成立した。","https://ja.wikipedia.org/wiki/筑後国府跡","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"日輪寺古墳","[日輪寺古墳（にちりんじこふん）〔久留米市〕1922年3月8日] 日輪寺古墳 （にちりんじこふん）は、 福岡県 久留米市 京町の日輪寺境内にある 前方後円墳 である。国の史跡。線刻のある石障で知られている。","https://ja.wikipedia.org/wiki/日輪寺古墳","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度19分15.3秒東経130度29分54.0秒","北緯33度19分15.3秒東経130度29分54.0秒﻿ / ﻿北緯33.320917度 東経130.498333度﻿ /33.320917; 130.498333座標:北緯33度19分15.3秒東経130度29分54.0秒﻿ / ﻿北緯33.320917度 東経130.498333度﻿ /33.320917; 130.498333","福岡県久留米市京町","","","","","","","","5世紀後半～6世紀初頭","1922年国指定","全長約50m","","前方後円墳","","銅鏡、装身具、刀、土器","","","装飾古墳"
"乗場古墳","[乗場古墳（のりばこふん）] 乗場古墳 （のりばこふん）は、 福岡県 八女市 吉田に所在する 前方後円墳 である。国の 史跡 に指定。 八女古墳群 を構成する1基。","https://ja.wikipedia.org/wiki/乗場古墳","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度13分51.8秒東経130度33分26.7秒","北緯33度13分51.8秒東経130度33分26.7秒﻿ / ﻿北緯33.231056度 東経130.557417度﻿ /33.231056; 130.557417","福岡県八女市吉田字乗場","","","","","","","","6世紀中頃","大正11年（1922年）国の史跡に指定","全長約70m","","前方後円墳","","","","両袖型横穴式石室","装飾古墳"
"石人山古墳","[石人山古墳（せきじんざんこふん）] 石人山古墳 （せきじんさんこふん）は、 福岡県 八女郡 広川町 一条に所在する 前方後円墳 。 八女古墳群 を構成する1基で、国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/石人山古墳","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度14分14.5秒東経130度31分03.4秒","北緯33度14分14.5秒東経130度31分03.4秒﻿ / ﻿北緯33.237361度 東経130.517611度﻿ /33.237361; 130.517611座標:北緯33度14分14.5秒東経130度31分03.4秒﻿ / ﻿北緯33.237361度 東経130.517611度﻿ /33.237361; 130.517611","福岡県八女郡広川町一条","","","","","","","","5世紀前半～中頃","昭和13年（1938年）国の史跡","全長107m","","前方後円墳","","石人、埴輪","","横穴式石室","装飾古墳"
"岩戸山古墳","[岩戸山古墳（いわとやまこふん）] 岩戸山古墳 （いわとやまこふん）は、 福岡県 八女市 にある 前方後円墳 。八女古墳群を構成する古墳の1つ。国の 史跡 に指定されている（史跡「八女古墳群」に包含）。","https://ja.wikipedia.org/wiki/岩戸山古墳","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度13分47.49秒東経130度33分9.77秒","北緯33度13分47.49秒東経130度33分9.77秒﻿ / ﻿北緯33.2298583度 東経130.5527139度﻿ /33.2298583; 130.5527139座標:北緯33度13分47.49秒東経130度33分9.77秒﻿ / ﻿北緯33.2298583度 東経130.5527139度﻿ /33.2298583; 130.5527139","福岡県八女市吉田字甚三谷","岩戸山古墳","","","","","","","6世紀前半","国の史跡「岩戸山古墳」（「八女古墳群」に包含）","墳丘長135m","","前方後円墳","","石製品・埴輪等","","不明","九州地方北部で第1位の規模『筑後国風土記』逸文に記述文献から被葬者・築造時期を推定可能な古墳"
"善蔵塚古墳","[善蔵塚古墳（ぜんぞうづかこふん）] 善蔵塚古墳 （ぜんぞうづかこふん）は、 福岡県 八女郡 広川町 に所在する 前方後円墳 である。国の 史跡 に指定。 八女古墳群 を構成する1基。","https://ja.wikipedia.org/wiki/善蔵塚古墳","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度14分02.4秒東経130度34分04.2秒","北緯33度14分02.4秒東経130度34分04.2秒﻿ / ﻿北緯33.234000度 東経130.567833度﻿ /33.234000; 130.567833","福岡県八女郡広川町六田字善蔵塚","","","","","","","","6世紀前半～中頃","昭和53年（1978年）国の史跡","全長95m","","前方後円墳","","埴輪","","",""
"弘化谷古墳","[弘化谷古墳（こうかだにこふん）] 弘化谷古墳 （こうかだにこふん）は、 福岡県 八女郡 広川町 に所在する 円墳 である。国の 史跡 に指定。 八女古墳群 を構成する1基。","https://ja.wikipedia.org/wiki/弘化谷古墳","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度14分11.9秒東経130度31分11.4秒","北緯33度14分11.9秒東経130度31分11.4秒﻿ / ﻿北緯33.236639度 東経130.519833度﻿ /33.236639; 130.519833","福岡県八女郡広川町広川字弘化谷","","","","","","","","6世紀中頃","昭和53年（1978年）国の史跡","直径約39m","","円墳","","耳環、管玉、鉄鏃、土器","","横穴式石室","装飾古墳"
"丸山塚古墳","[丸山塚古墳（まるやまづかこふん）] 丸山塚古墳 （まるやまづかこふん）は、日本の 古墳 の名称。","https://ja.wikipedia.org/wiki/丸山塚古墳","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"丸山古墳 (八女市) (存在しないページ)","[丸山古墳（まるやまこふん）]","https://ja.wikipedia.org/w/index.php?title=丸山古墳_(八女市)&amp;action=edit&amp;redlink=1","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"茶臼塚古墳","[茶臼塚古墳（ちゃうすづかこふん）] 茶臼塚古墳 （ちゃうすづかこふん）は、日本の 古墳 の名称。","https://ja.wikipedia.org/wiki/茶臼塚古墳","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"石神山古墳","[石神山古墳（せきじんざんこふん）〔みやま市〕1976年2月6日] 石神山古墳 （せきじんさんこふん）は、 福岡県 みやま市 に所在する 前方後円墳 である。国の 史跡 に指定。武装 石人 が出土したことで知られる。","https://ja.wikipedia.org/wiki/石神山古墳","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度05分40.1秒東経130度28分48.6秒","北緯33度05分40.1秒東経130度28分48.6秒﻿ / ﻿北緯33.094472度 東経130.480167度﻿ /33.094472; 130.480167座標:北緯33度05分40.1秒東経130度28分48.6秒﻿ / ﻿北緯33.094472度 東経130.480167度﻿ /33.094472; 130.480167","福岡県みやま市高田町上楠田","","","","","","","","5世紀中頃","昭和51年（1976年）国の史跡","全長58.5m","","前方後円墳","","石人、埴輪","","石棺直葬",""
"女山神籠石","[女山神籠石（ぞやまこうごいし）〔みやま市〕1953年11月14日] 女山神籠石 （ぞやまこうごいし）は、 筑後国 山門郡 （現在の 福岡県 みやま市 瀬高町大草）にあった 日本 の 古代山城 （分類は 神籠石系山城 ）。城跡は国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/女山神籠石","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度9分47.90秒東経130度31分8.32秒","北緯33度9分47.90秒東経130度31分8.32秒﻿ / ﻿北緯33.1633056度 東経130.5189778度﻿ /33.1633056; 130.5189778座標:北緯33度9分47.90秒東経130度31分8.32秒﻿ / ﻿北緯33.1633056度 東経130.5189778度﻿ /33.1633056; 130.5189778","","","国の史跡「女山神籠石」","水門・石塁・土塁","不明","","不明","古代山城（神籠石系山城）","","","","","","","","","",""
"潜塚古墳","[潜塚古墳（くぐりづかこふん）〔大牟田市〕1977年2月17日] 潜塚古墳 （くぐりづかこふん）は、 福岡県 大牟田市 黄金町にある 古墳 （ 円墳 ）。1977年（昭和52年）2月17日に国の 史跡 に指定された。","https://ja.wikipedia.org/wiki/潜塚古墳","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度00分58秒 東経130度27分04秒","","","","","","","","","","","","","","","","","","",""
"萩ノ尾古墳 (存在しないページ)","[萩ノ尾古墳（はぎのおこふん）〔大牟田市〕1961年4月5日]","https://ja.wikipedia.org/w/index.php?title=萩ノ尾古墳&amp;action=edit&amp;redlink=1","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"宮原坑跡 (存在しないページ)","[宮原坑跡（みやのはらこうあと）〔福岡県大牟田市〕]","https://ja.wikipedia.org/w/index.php?title=宮原坑跡&amp;action=edit&amp;redlink=1","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"万田坑跡 (存在しないページ)","[万田坑跡（まんだこうあと）〔熊本県荒尾市〕]","https://ja.wikipedia.org/w/index.php?title=万田坑跡&amp;action=edit&amp;redlink=1","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"専用鉄道敷跡 (存在しないページ)","[専用鉄道敷跡（せんようてつどうじきあと）]","https://ja.wikipedia.org/w/index.php?title=専用鉄道敷跡&amp;action=edit&amp;redlink=1","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"旧長崎税関三池税関支署 (存在しないページ)","[旧長崎税関三池税関支署（きゅうながさきぜいかんみいけぜいかんししょ）]","https://ja.wikipedia.org/w/index.php?title=旧長崎税関三池税関支署&amp;action=edit&amp;redlink=1","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"安徳大塚古墳 (存在しないページ)","[安徳大塚古墳（あんとくおおつかこふん）〔那珂川町〕2016年3月7日]","https://ja.wikipedia.org/w/index.php?title=安徳大塚古墳&amp;action=edit&amp;redlink=1","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"阿恵官衙遺跡","[阿恵官衙遺跡（あえかんがいせき）〕〔粕屋町〕2020年3月10日] 阿恵官衙遺跡 （あえかんがいせき）は、 福岡県 糟屋郡 粕屋町 にある、 飛鳥時代 から 奈良時代 にかけての 筑前国 糟屋評（かすやのこおり）の役所跡とされる遺跡。国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/阿恵官衙遺跡","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度36分51.8秒東経130度27分30.5秒","","日本福岡県糟屋郡粕屋町","","","","","","","","","","","","","","","","",""
"久留米藩主有馬家墓所 (存在しないページ)","[久留米藩主有馬家墓所（くるめはんしゅありまけぼしょ）〔久留米市〕2020年12月12日]","https://ja.wikipedia.org/w/index.php?title=久留米藩主有馬家墓所&amp;action=edit&amp;redlink=1","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"基肄城","[基肄城（基椽城）跡（きいじょうあと）〔佐賀県三養基郡基山町・福岡県筑紫野市〕] 基肄城 （きいじょう / きいのき、 椽城 ）は、 福岡県 筑紫野市 と 佐賀県 三養基郡 基山町 にまたがる 基山 （きざん）に築かれた  、 日本 の 古代山城 である。城跡は、1954年（昭和29年）3月20日、国の 特別史跡 「基肄（椽）城跡」に指定されている  。","https://ja.wikipedia.org/wiki/基肄城","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度26分42秒東経130度30分47秒","北緯33度26分42秒東経130度30分47秒﻿ / ﻿北緯33.44500度 東経130.51306度﻿ /33.44500; 130.51306﻿ (基肄城)座標:北緯33度26分42秒東経130度30分47秒﻿ / ﻿北緯33.44500度 東経130.51306度﻿ /33.44500; 130.51306﻿ (基肄城)","","基肄城","国の特別史跡「基肄（椽）城跡」","土塁・石塁・城門・水門・礎石","天智天皇4年（665年）","大和朝廷","不明","古代山城","","","","","","","","","",""
"吉野ヶ里遺跡","[吉野ヶ里遺跡（よしのがりいせき）〔神埼市・神埼郡吉野ヶ里町〕] およそ117 ヘクタール にわたって残る 弥生時代 の大規模な 環濠集落 （環壕集落）跡で知られる。 1986年 （ 昭和 61年）からの 発掘調査 によって発見された。現在は 国営吉野ヶ里歴史公園 として一部を国が管理する公園である。","https://ja.wikipedia.org/wiki/吉野ヶ里遺跡","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度19分25秒東経130度23分26.5秒","","日本佐賀県吉野ヶ里町、神埼市","","","","","","","","","","","","","","","","",""
"名護屋城","[名護屋城跡 並 陣跡（なごやじょうあと ならびに じんあと）〔唐津市・東松浦郡玄海町〕] 名護屋城 （なごやじょう）は、 肥前国 松浦郡 名護屋（現在の 佐賀県 唐津市 （旧東松浦郡 鎮西町 ・ 呼子町 ）、 東松浦郡 玄海町 ）にあった 日本の城 。 太閤 豊臣秀吉 が 文禄の役 を始める前に築かせた。現在、国の 特別史跡 に指定されている。 平成 18年（ 2006年 ）には 日本100名城 （87番）に選定された。","https://ja.wikipedia.org/wiki/名護屋城","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度31分48.12秒東経129度52分9.75秒","北緯33度31分48.12秒東経129度52分9.75秒﻿ / ﻿北緯33.5300333度 東経129.8693750度﻿ /33.5300333; 129.8693750座標:北緯33度31分48.12秒東経129度52分9.75秒﻿ / ﻿北緯33.5300333度 東経129.8693750度﻿ /33.5300333; 129.8693750","","名護屋城佐賀県の地図を表示名護屋城日本の地図を表示","国特別史跡","石垣、空堀、井戸","天正19年（1591年）","豊臣秀吉","慶長3年（1598年）","梯郭式平山城","","","","豊臣秀吉","","名護屋御旅館","","望楼型5重7階（非現存）","",""
"勝尾城筑紫氏遺跡 (存在しないページ)","[勝尾城筑紫氏遺跡（かつのおじょうちくししいせき）〔鳥栖市〕]","https://ja.wikipedia.org/w/index.php?title=勝尾城筑紫氏遺跡&amp;action=edit&amp;redlink=1","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"田代太田古墳","[田代太田古墳（たしろおおたこふん）〔鳥栖市〕] 田代太田古墳 （たしろおおたこふん）は、 佐賀県 鳥栖市 田代本町に所在する 円墳 。早くから彩色壁画系の 装飾古墳 の一つとして知られる1基で、大正15年には国の 史跡 に指定されている。周辺には剣塚、岡寺、庚申堂塚など 6世紀 代の 前方後円墳 が点在し有力な 豪族 がいたことがわかっており、田代太田古墳の被葬者もその一人と見られている  。","https://ja.wikipedia.org/wiki/田代太田古墳","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度23分41.3秒東経130度30分54.6秒","北緯33度23分41.3秒東経130度30分54.6秒﻿ / ﻿北緯33.394806度 東経130.515167度﻿ /33.394806; 130.515167","佐賀県鳥栖市田代本町","","","","","","","","6世紀後半","大正15年（1926年）国の史跡","径約42m","","円墳","","玉類、鉄鏃片、馬具片、須惠器片、土師器片、円筒埴輪片","","横穴式石室","装飾古墳"
"安永田遺跡","[安永田遺跡（やすながたいせき）〔鳥栖市〕] 安永田遺跡 （やすながたいせき）は、 佐賀県 鳥栖市 柚比町安永田にある、 弥生時代 中期の集落跡である。 銅鐸 や銅鉾などの青銅器鋳造の 工房 がある。 1982年 12月18日、 国史跡 に指定された   。","https://ja.wikipedia.org/wiki/安永田遺跡","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度23分55秒 東経130度30分52秒","","","","","","","","","","","","","","","","","","",""
"帯隈山神籠石","[帯隈山神籠石（おぶくまやまこうごいし）〔佐賀市・神埼市〕] 帯隈山神籠石 （おぶくまやまこうごいし）は、 佐賀県 佐賀市 久保泉町にあるにある 神籠石 。 古代山城 の跡と見られている。1951年6月9日、 国史跡 に指定された。","https://ja.wikipedia.org/wiki/帯隈山神籠石","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度19分59秒 東経130度20分06秒","","","","","","","","","","","","","","","","","","",""
"大隈重信","[大隈重信旧宅（おおくましげのぶきゅうたく）〔佐賀市〕] 大隈 重信 （おおくま しげのぶ、 1838年 3月11日 〈和暦： 天保 9年 2月16日 〉- 1922年 〈 大正 11年〉 1月10日 ）は、 日本 の 武士 （ 佐賀藩 士）、 政治家 、 教育者 。 位階 勲等 爵位 は 従一位 大勲位 侯爵 。 菅原 姓  。","https://ja.wikipedia.org/wiki/大隈重信","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"銚子塚古墳 (佐賀市)","[銚子塚古墳（ちょうしづかこふん）〔佐賀市〕] 銚子塚古墳 （ちょうしづかこふん）は、 佐賀県 佐賀市 金立町にある 古墳 。形状は 前方後円墳 。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/銚子塚古墳_(佐賀市)","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度19分4.33秒東経130度17分59.40秒","北緯33度19分4.33秒東経130度17分59.40秒﻿ / ﻿北緯33.3178694度 東経130.2998333度﻿ /33.3178694; 130.2998333座標:北緯33度19分4.33秒東経130度17分59.40秒﻿ / ﻿北緯33.3178694度 東経130.2998333度﻿ /33.3178694; 130.2998333","佐賀県佐賀市金立町大字金立2355","銚子塚古墳","","","","","","","4世紀末","国の史跡「銚子塚古墳」","墳丘長98m高さ8m（後円部）","","前方後円墳（柄鏡式）","","","","（推定）竪穴式石室",""
