"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","位置","所在地","地図","城郭構造","築城年","廃城年","遺構","指定文化財","別名","天守構造","築城主","主な城主","主な改修者","法人番号","形状","築造時期","史跡","再建造物","規模"
"松山城 (伊予国)","[松山城跡（まつやまじょうあと）〔松山市〕] 松山城 （まつやまじょう）は、 愛媛県 松山市 にあった 日本の城 。別名 金亀城（きんきじょう）、勝山城（かつやまじょう）。各地に 松山城 と呼ばれる城が存在するため「伊予松山城」と呼ばれることもあるが、一般的に「松山城」は本城を指すことが多い。同じ 現存12天守 の一つ、 岡山県 高梁市 にある 備中松山城 と比較すると、本城が優勢となっている。","https://ja.wikipedia.org/wiki/松山城_(伊予国)","四国地方の史跡一覧","https://ja.wikipedia.org/wiki/四国地方の史跡一覧","箇条書き,制限あり","北緯33度50分43.94秒東経132度45分56.6秒","北緯33度50分43.94秒東経132度45分56.6秒﻿ / ﻿北緯33.8455389度 東経132.765722度﻿ /33.8455389; 132.765722﻿ (松山城)座標:北緯33度50分43.94秒東経132度45分56.6秒﻿ / ﻿北緯33.8455389度 東経132.765722度﻿ /33.8455389; 132.765722﻿ (松山城)","","松山城松山市の地図を表示松山城愛媛県の地図を表示","連郭式平山城","慶長7年（1602年）着手","明治6年（1873年）","天守、櫓、門、塀、井戸、石垣、土塁、堀","重要文化財（大天守、野原櫓・乾櫓・隠門続櫓など櫓6棟、戸無門・隠門・紫竹門・一ノ門など門7棟、筋鉄門東塀など塀7棟）国の史跡","金亀城、勝山城","連立式層塔型3重3階地下1階（1852年 再）","加藤嘉明","加藤氏、松平（久松）氏","松平勝善","","","","","小天守、北隅櫓、十間廊下、南隅櫓、太鼓櫓、筒井門、太鼓門、乾門、艮門東続櫓など",""
"湯築城","[湯築城跡（ゆづきじょうあと）〔松山市〕] 湯築城 （ゆづきじょう）は、 愛媛県 松山市 道後公園にある 城 跡。 堀 や 土塁 が現存する。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/湯築城","四国地方の史跡一覧","https://ja.wikipedia.org/wiki/四国地方の史跡一覧","箇条書き,制限あり","北緯33度50分53.19秒東経132度47分12.27秒","北緯33度50分53.19秒東経132度47分12.27秒﻿ / ﻿北緯33.8481083度 東経132.7867417度﻿ /33.8481083; 132.7867417座標:北緯33度50分53.19秒東経132度47分12.27秒﻿ / ﻿北緯33.8481083度 東経132.7867417度﻿ /33.8481083; 132.7867417","","湯築城松山市の地図を表示湯築城愛媛県の地図を表示","梯郭式平山城","建武2年（1335年）頃","天正15年（1587年）","土塁、水堀、郭","国の史跡","湯月城","なし","河野氏","河野氏、小早川氏、福島氏","","","","","","武家屋敷",""
"上黒岩岩陰遺跡","[上黒岩岩陰遺跡（かみくろいわいわかげいせき）〔上浮穴郡久万高原町〕] 上黒岩岩陰遺跡 （かみくろいわいわかげいせき）は、 愛媛県 久万高原町 （発見当時は 美川村 ）で 1961年 に発見された 縄文時代 早期を中心とする 岩陰遺跡 である。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/上黒岩岩陰遺跡","四国地方の史跡一覧","https://ja.wikipedia.org/wiki/四国地方の史跡一覧","箇条書き,制限あり","北緯33度37分4.2秒 東経132度57分39.1秒","","","","","","","","","","","","","","","","","","",""
"宇和島城","[宇和島城（うわじまじょう）〔宇和島市〕] 宇和島城 （うわじまじょう）は、 四国 の 愛媛県 宇和島市 丸之内にあった 日本の城 である。 江戸時代 は 宇和島藩 の藩庁となった。城跡は国の 史跡 に指定されている（ 1937年 （昭和12年）指定）。別名は鶴島城。","https://ja.wikipedia.org/wiki/宇和島城","四国地方の史跡一覧","https://ja.wikipedia.org/wiki/四国地方の史跡一覧","箇条書き,制限あり","北緯33度13分10.12秒東経132度33分54.85秒","北緯33度13分10.12秒東経132度33分54.85秒﻿ / ﻿北緯33.2194778度 東経132.5652361度﻿ /33.2194778; 132.5652361﻿ (宇和島城)座標:北緯33度13分10.12秒東経132度33分54.85秒﻿ / ﻿北緯33.2194778度 東経132.5652361度﻿ /33.2194778; 132.5652361﻿ (宇和島城)","","宇和島城","梯郭式平山城","慶長元年（1596年）","明治4年（1871年）","現存天守・門、石垣","重要文化財（天守）国の史跡宇和島市指定有形文化財（上り立ち門）","鶴島城、板島丸串城（旧称）","複合式望楼型3重3階（慶長6年（1601年）築、非現存）独立式層塔型 3重3階（寛文11年（1671年）再、現存）","藤堂高虎","西園寺氏、戸田氏、富田氏、藤堂氏、伊達氏","藤堂高虎、伊達宗利","","","","","",""
"横峰寺","[横峰寺道（よこみねじみち）] 横峰寺 （よこみねじ）は、 愛媛県 西条市 小松町にある 真言宗御室派 の 寺院 。 山号 は石鈇山（いしづちざん）、 院号 は福智院（ふくちいん）と号す。 本尊 は 大日如来 で、 四国八十八箇所 60番札所、 石鎚山 の西遥拝所。","https://ja.wikipedia.org/wiki/横峰寺","四国地方の史跡一覧","https://ja.wikipedia.org/wiki/四国地方の史跡一覧","箇条書き,制限あり","北緯33度50分16.3秒東経133度6分40.1秒","北緯33度50分16.3秒東経133度6分40.1秒﻿ / ﻿北緯33.837861度 東経133.111139度﻿ /33.837861; 133.111139座標:北緯33度50分16.3秒東経133度6分40.1秒﻿ / ﻿北緯33.837861度 東経133.111139度﻿ /33.837861; 133.111139","愛媛県西条市小松町石鎚甲2253","","","","","","","","","","","","6500005004031","","","","",""
"北宇和郡","[等妙寺旧境内（とうみょうじきゅうけいだい）〔北宇和郡鬼北町〕] 北宇和郡 （きたうわぐん）は、 愛媛県 の 郡 。","https://ja.wikipedia.org/wiki/北宇和郡","四国地方の史跡一覧","https://ja.wikipedia.org/wiki/四国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"河後森城","[河後森城跡（かごもりじょうあと）〔北宇和郡松野町〕] 河後森城 （かごもりじょう）は、 愛媛県 北宇和郡 松野町 松丸に存在した 日本の城 （ 山城 ）。国の 史跡  。","https://ja.wikipedia.org/wiki/河後森城","四国地方の史跡一覧","https://ja.wikipedia.org/wiki/四国地方の史跡一覧","箇条書き,制限あり","北緯33度13分25.0秒東経132度42分31.0秒","北緯33度13分25.0秒東経132度42分31.0秒﻿ / ﻿北緯33.223611度 東経132.708611度﻿ /33.223611; 132.708611﻿ (河後森城)座標:北緯33度13分25.0秒東経132度42分31.0秒﻿ / ﻿北緯33.223611度 東経132.708611度﻿ /33.223611; 132.708611﻿ (河後森城)","","河後森城","山城","　伝・建久7年（1196年）","元和元年（1615年）","石垣、土塁、堀切、門（現・永昌寺山門）","国の史跡","河後森城、川後森城","有り、後に宇和島城月見櫓へ転用","渡辺氏","渡辺氏、戸田勝隆、桑折氏","伊達氏","","","","","門、建物",""
"谷重遠","[谷重遠墓（たにしげとおのはか）〔香美市〕1944年11月13日] 谷 秦山 （たに じんざん、 寛文 3年 3月11日 （ 1663年 4月18日 ） - 享保 3年 6月30日 （ 1718年 7月27日 ））は 江戸時代 の 儒学者 、 神道家 。","https://ja.wikipedia.org/wiki/谷重遠","四国地方の史跡一覧","https://ja.wikipedia.org/wiki/四国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"龍河洞","[龍河洞（りゅうがどう）〔香美市〕1934年12月28日] 龍河洞 （りゅうがどう）は、 四国 中部の 高知県 香美市 に存在する 鍾乳洞 である。 日本三大鍾乳洞 の1つに数えられる。 1934年 （昭和9年）に国の 天然記念物 および国の 史跡 に指定された。 2007年 （平成19年）には 日本の地質百選 ）に選定されている。","https://ja.wikipedia.org/wiki/龍河洞","四国地方の史跡一覧","https://ja.wikipedia.org/wiki/四国地方の史跡一覧","箇条書き,制限あり","北緯33度36分11.39秒 東経133度44分42.64秒","","","","","","","","","","","","","","","","","","",""
"土佐国分寺","[土佐国分寺跡（とさこくぶんじあと）〔南国市〕1922年10月12日] 土佐国分寺 （とさ こくぶんじ）は 高知県 南国市 にある 真言宗智山派 の寺院。摩尼山（まにざん）、宝蔵院（ほうぞういん）と号す。本尊は 千手観世音菩薩 。 四国八十八箇所 霊場 二十九番 札所 。札所寺院としては単に 国分寺 と称するのが通例である。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/土佐国分寺","四国地方の史跡一覧","https://ja.wikipedia.org/wiki/四国地方の史跡一覧","箇条書き,制限あり","北緯33度35分55.3秒東経133度38分25.5秒","北緯33度35分55.3秒東経133度38分25.5秒﻿ / ﻿北緯33.598694度 東経133.640417度﻿ /33.598694; 133.640417﻿ (国分寺)座標:北緯33度35分55.3秒東経133度38分25.5秒﻿ / ﻿北緯33.598694度 東経133.640417度﻿ /33.598694; 133.640417﻿ (国分寺)","高知県南国市国分546番地","","","","","","","","","","","","1490005004979","","","","",""
"比江廃寺跡","[比江廃寺塔跡（ひえはいじとうあと）〔南国市〕1934年1月22日] 比江廃寺跡 （ひえはいじあと）は、 高知県 南国市 比江にある 古代 寺院 跡。塔跡は国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/比江廃寺跡","四国地方の史跡一覧","https://ja.wikipedia.org/wiki/四国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"岡豊城","[岡豊城跡（おこうじょうあと））〔南国市〕2008年7月28日] 岡豊城 （おこうじょう）は、 高知県 南国市 にある 中世 の 日本の城 （ 山城 ）跡。 戦国時代 に 四国 の覇者となった 長宗我部氏 の居城であった。城跡は国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/岡豊城","四国地方の史跡一覧","https://ja.wikipedia.org/wiki/四国地方の史跡一覧","箇条書き,制限あり","北緯33度35分41.86秒東経133度37分20.97秒","北緯33度35分41.86秒東経133度37分20.97秒﻿ / ﻿北緯33.5949611度 東経133.6224917度﻿ /33.5949611; 133.6224917﻿ (岡豊城)座標:北緯33度35分41.86秒東経133度37分20.97秒﻿ / ﻿北緯33.5949611度 東経133.6224917度﻿ /33.5949611; 133.6224917﻿ (岡豊城)","","岡豊城","連郭式山城","13世紀～14世紀","天正19年（1591年）","石積、土塁、曲輪、堀切、井戸、虎口、縦堀、横堀、","国の史跡","","なし","長宗我部氏","長宗我部氏","長宗我部国親","","","","","",""
"高知城","[高知城跡（こうちじょうあと）〔高知市〕1959年6月18日] 高知城 （こうちじょう）は、 高知県 高知市 （ 土佐国 土佐郡 高知）にある 日本の城 。別名 鷹城 （たかじょう）。","https://ja.wikipedia.org/wiki/高知城","四国地方の史跡一覧","https://ja.wikipedia.org/wiki/四国地方の史跡一覧","箇条書き,制限あり","北緯33度33分38.53秒東経133度31分53.54秒","北緯33度33分38.53秒東経133度31分53.54秒﻿ / ﻿北緯33.5607028度 東経133.5315389度﻿ /33.5607028; 133.5315389","","高知城高知市の地図を表示高知城高知県の地図を表示","梯郭式平山城","南北朝時代（14世紀頃）","1871年（明治4年）","現存天守・御殿・櫓・門石垣、堀、鐘撞堂","重要文化財（天守など15棟）国の史跡","鷹城","独立式望楼型 4重6階（1601年築・1747年再、現存）","大高坂氏？","山内氏","長宗我部元親、山内一豊、山内豊敷","","","","","",""
"武市瑞山","[武市半平太旧宅および墓（たけちはんぺいたきゅうたくおよびはか）〔高知市〕1936年9月3日] 武市 瑞山 （たけち ずいざん）は、 幕末 の 志士 、 土佐藩 郷士 。 土佐勤王党 の盟主。 通称 は半平太で、 武市 半平太 （たけち はんぺいた）と呼称されることも多い。","https://ja.wikipedia.org/wiki/武市瑞山","四国地方の史跡一覧","https://ja.wikipedia.org/wiki/四国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","幼名：鹿衛、通称：半平太、諱：小盾、号：瑞山、茗澗、変名：柳川左門、柳川吹山","","","","","","","","","",""
"土佐藩主山内家墓所","[土佐藩主山内家墓所（とさはんしゅやまうちけぼしょ）〔高知市〕2016年3月1日] 土佐藩主山内家墓所 （とさはんしゅやまうちけぼしょ）は、 高知県 高知市 筆山町にある 土佐藩 の 墓所 。2016年（平成28年）3月1日、 国史跡 に指定された。","https://ja.wikipedia.org/wiki/土佐藩主山内家墓所","四国地方の史跡一覧","https://ja.wikipedia.org/wiki/四国地方の史跡一覧","箇条書き,制限あり","北緯33度33分32秒 東経133度31分53秒","","","","","","","","","","","","","","","","","","",""
"不動が岩屋洞窟 (存在しないページ)","[不動が岩屋洞窟（ふどうがいわやどうくつ）〔高岡郡佐川町〕1978年12月19日]","https://ja.wikipedia.org/w/index.php?title=不動が岩屋洞窟&amp;action=edit&amp;redlink=1","四国地方の史跡一覧","https://ja.wikipedia.org/wiki/四国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"須崎市","[土佐藩砲台跡（とさはんほうだいあと）〔須崎市〕1944年11月13日] 須崎市 （すさきし）は、 高知県 の中部に位置し 太平洋 に面する 市 である。","https://ja.wikipedia.org/wiki/須崎市","四国地方の史跡一覧","https://ja.wikipedia.org/wiki/四国地方の史跡一覧","箇条書き,制限あり","北緯33度24分2.6秒東経133度16分58.5秒","","〒785-8601高知県須崎市山手町1番7号北緯33度24分2.6秒東経133度16分58.5秒﻿ / ﻿北緯33.400722度 東経133.282917度﻿ /33.400722; 133.282917座標:北緯33度24分2.6秒東経133度16分58.5秒﻿ / ﻿北緯33.400722度 東経133.282917度﻿ /33.400722; 133.282917市役所庁舎","","","","","","","","","","","","5000020392065","","","","",""
"宿毛貝塚","[宿毛貝塚（すくもかいづか）〔宿毛市〕1957年7月27日] 宿毛貝塚 （すくもかいづか）は、 高知県 宿毛市 宿毛にある 縄文時代 後期（約3,500年前）の 貝塚 。1957年（ 昭和32年 ）7月27日に国の 史跡 に指定された    。","https://ja.wikipedia.org/wiki/宿毛貝塚","四国地方の史跡一覧","https://ja.wikipedia.org/wiki/四国地方の史跡一覧","箇条書き,制限あり","北緯32度56分14秒 東経132度42分55秒","","","","","","","","","","","","","","","","","","",""
