"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","面積","分類","運営者","公式サイト","外部リンク","法人番号","国","地方","総人口","人口密度","駐車場","開園","都道府県","市町村コード","隣接自治体","設備・遊具","市長","事務所"
"名城公園","[58名城公園市立総合公園愛知県名古屋市名古屋城] 名城公園 （めいじょうこうえん）とは、 愛知県 名古屋市 の 名古屋城 を中心とした城址 公園 である。名古屋市 中区 二の丸 や 三の丸 から 北区 名城 にかけて所在する。1931年（昭和6年）に開園した  。面積は80.41ヘクタール  。管理は名古屋市で分類は 都市公園 （総合公園）。約2,800本の サクラ が植えられている。","https://ja.wikipedia.org/wiki/名城公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度11分21.5秒東経136度54分5.9秒","日本愛知県名古屋市北区名城1-2","80.41ヘクタール","都市公園（総合公園）","","名城公園（名古屋市HP）","","","","","","","75 台（有料）","1931年","","","","園内の施設を参照","",""
"岡崎公園 (岡崎市)","[59岡崎公園市立歴史公園愛知県岡崎市岡崎城] 岡崎公園 （おかざきこうえん）は、 愛知県 岡崎市 にある公立の 都市公園 （ 歴史公園 ）である  。","https://ja.wikipedia.org/wiki/岡崎公園_(岡崎市)","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯34度57分23.54秒東経137度9分33.59秒","日本愛知県岡崎市康生町561番地1","約10ha","都市公園（歴史公園）","岡崎市（指定管理者：一般社団法人岡崎パブリックサービス）","岡崎公園","","","","","","","あり（150台）","","","","","","",""
"三重県","[60松阪公園市立総合公園三重県松阪市松阪城] 江戸時代 から、お伊勢参り（ お蔭参り ）の名で知られる 伊勢神宮 を擁する地域として発展した。 令制国 では、 伊勢国 ・ 志摩国 ・ 伊賀国 の全域と、 紀伊国 （当初は 熊野国 ）の一部、計4国より構成される。包括する旧律令国の数は、7国を包括する 兵庫県 に次ぐ。 北勢 、 伊賀 、 中勢 、 南勢 （ 伊勢志摩 ） 、 東紀州 の5地域に区分される。","https://ja.wikipedia.org/wiki/三重県","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯34度43分48.9秒東経136度30分31.2秒","〒514-8570三重県津市広明町13番北緯34度43分48.9秒東経136度30分31.2秒﻿ / ﻿北緯34.730250度 東経136.508667度﻿ /34.730250; 136.508667座標:北緯34度43分48.9秒東経136度30分31.2秒﻿ / ﻿北緯34.730250度 東経136.508667度﻿ /34.730250; 136.508667県庁舎位置","5,774.41km2（境界未定部分あり）","","","","三重県","5000020240001","日本","東海地方、近畿地方","1,768,841人（推計人口、2021年1月1日）","306人/km2","","","","","","","",""
"滋賀県","[61金亀公園市立総合公園滋賀県彦根市彦根城] 令制国 の 近江国 （江州）と完全に一致する。県名は大津が属していた郡名「 滋賀郡 」から採用された。「滋賀」の発音は、共通語では「し」に アクセント を置く（頭高型アクセント）が、地元では「が」にアクセントを置く（尾高型アクセント）ことが多い（「滋賀県」とする場合は共通語も地元の方言も同じアクセント）。","https://ja.wikipedia.org/wiki/滋賀県","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度0分15.7秒東経135度52分6.6秒","〒520-8577滋賀県大津市京町四丁目1番1号北緯35度0分15.7秒東経135度52分6.6秒﻿ / ﻿北緯35.004361度 東経135.868500度﻿ /35.004361; 135.868500座標:北緯35度0分15.7秒東経135度52分6.6秒﻿ / ﻿北緯35.004361度 東経135.868500度﻿ /35.004361; 135.868500","4,017.38km2（境界未定部分あり）","","","","公式ウェブサイト","7000020250007","日本","近畿地方","1,410,299人（推計人口、2021年6月1日）","351人/km2","","","","","","","",""
"岡崎公園 (京都市)","[62岡崎公園市立総合公園京都府京都市平安神宮] 岡崎公園 （おかざきこうえん）は、 京都府 京都市 左京区 岡崎 にある 都市公園 （総合公園）である  。1895年開催の 内国勧業博覧会 の跡地に開かれた公園。","https://ja.wikipedia.org/wiki/岡崎公園_(京都市)","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度00分51.2秒 東経135度46分58.3秒","京都府京都市左京区岡崎最勝寺町","15.0ha","都市公園（総合公園）","京都市","","","","","","","","","","","","","","",""
"福知山市","[63福知山城公園市立歴史公園京都府福知山市福知山城] 福知山市 （ふくちやまし）は、 京都府 の 北部 に位置する 市 。 中丹 地方に含まれる。","https://ja.wikipedia.org/wiki/福知山市","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度17分48.1秒東経135度7分35.8秒","〒620-8501京都府福知山市字内記13番地の1（内記3丁目）北緯35度17分48.1秒東経135度7分35.8秒﻿ / ﻿北緯35.296694度 東経135.126611度﻿ /35.296694; 135.126611座標:北緯35度17分48.1秒東経135度7分35.8秒﻿ / ﻿北緯35.296694度 東経135.126611度﻿ /35.296694; 135.126611市庁舎位置","552.54km2","","","","公式ウェブサイト","4000020262013","日本","近畿地方","76,911人（推計人口、2021年6月1日）","139人/km2","","","京都府","26201-3","舞鶴市、綾部市、宮津市、船井郡京丹波町、与謝郡与謝野町兵庫県：丹波市、豊岡市、朝来市、丹波篠山市","","大橋一夫",""
"大阪城公園","[64大阪城公園市立総合公園大阪府大阪市大阪城] 大阪城公園 （おおさかじょうこうえん）は、 大阪府 大阪市 中央区 大阪城にある 都市公園 （歴史公園）である  。","https://ja.wikipedia.org/wiki/大阪城公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯34度40分55.1秒東経135度31分51.8秒","大阪府大阪市中央区大阪城","105.5ha","都市公園（歴史公園）","大阪市（指定管理者：大阪城パークマネジメント株式会社）","大阪城パークセンター","","","","","","","","1931年（昭和6年）11月7日","","","","","","大阪城パークセンター"
"加賀屋緑地 (存在しないページ)","[65加賀屋緑地市立都市緑地大阪府大阪市加賀屋新田]","https://ja.wikipedia.org/w/index.php?title=加賀屋緑地&amp;action=edit&amp;redlink=1","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","","","","","","","","","","","","","","","","","","","",""
"大仙公園","[66大仙公園市立総合公園大阪府堺市百舌鳥古墳群] 大仙公園 （だいせんこうえん）は、 大阪府 堺市 堺区 にある 都市公園 （総合公園）である  。","https://ja.wikipedia.org/wiki/大仙公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯34度33分31.1秒東経135度28分56.4秒","日本大阪府堺市堺区百舌鳥夕雲町2丁142-1大仙公園周辺地図大仙公園 (大阪府)大阪府地図","約81ha","都市公園（総合公園）","堺市","堺市のサイト","","","","","","","大仙公園仁徳御陵駐車場 - 108台大仙公園日本庭園駐車場 - 121台大仙公園西駐車場 - 61台","","","","","","",""
"浜寺公園","[67浜寺公園府立広域公園大阪府堺市、高石市紀州街道松並木] 浜寺公園 （はまでらこうえん）は、 大阪府 堺市 西区 および 高石市 の沿岸部に広がる大阪府営の 都市公園 。約5,500本の松林で知られる。この界隈は有名な 別荘地 （「 別荘 (#有名な別荘及び別荘地) 」参照）。","https://ja.wikipedia.org/wiki/浜寺公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯34度32分29.6秒東経135度26分26.7秒","日本堺市西区浜寺公園町大阪府高石市羽衣公園丁","75.1ヘクタール","総合公園","大阪府都市整備部","http://www.osaka-park.or.jp/rinkai/hamadera/main.html","","","","","","","あり（509台）","1873年12月","","","","","","浜寺公園管理事務所"
"枚方市","[68百済寺跡公園市立歴史公園大阪府枚方市百済寺] 枚方市 （ひらかたし）は、 大阪府 の 北河内 地域に位置する 市 。 中核市 に指定されている。","https://ja.wikipedia.org/wiki/枚方市","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯34度48分51.7秒東経135度39分2.3秒","〒573-8666大阪府枚方市大垣内町二丁目1番20号北緯34度48分51.7秒東経135度39分2.3秒﻿ / ﻿北緯34.814361度 東経135.650639度﻿ /34.814361; 135.650639﻿ (枚方市)座標:北緯34度48分51.7秒東経135度39分2.3秒﻿ / ﻿北緯34.814361度 東経135.650639度﻿ /34.814361; 135.650639﻿ (枚方市)","65.12km2","","","","公式ウェブサイト","8000020272108","日本","近畿地方","396,149人（推計人口、2021年6月1日）","6,083人/km2","","","大阪府","27210-8","寝屋川市、交野市、高槻市、三島郡島本町京都府：八幡市、京田辺市奈良県生駒市","","伏見隆",""
"明治の森箕面国定公園","[69箕面公園府立広域公園大阪府箕面市箕面滝・勝尾寺など] 明治の森箕面国定公園 （めいじのもりみのおこくていこうえん）は、 大阪府 の 箕面山 周辺に位置する 国定公園 である。","https://ja.wikipedia.org/wiki/明治の森箕面国定公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯34度50分27.8秒 東経135度28分17.6秒","","","","","","","","","","","","","","","","","","",""
"東遊園地","[70東遊園地市立地区公園兵庫県神戸市神戸旧居留地] 東遊園地 （ひがしゆうえんち）は、 兵庫県 神戸市 中央区 加納町 6丁目にある 神戸市 管理の都市 公園 。 神戸市役所 の南隣で、 フラワーロード の西側に広がる。","https://ja.wikipedia.org/wiki/東遊園地","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯34度41分17秒 東経135度11分47秒","","","","","","","","","","","","","","","","","","",""
"相楽園","[71相楽園市立風致公園兵庫県神戸市相楽園] 相楽園 （そうらくえん）は 兵庫県 神戸市 中央区 にある広さ20,000m²の 都市公園 ・ 日本庭園 。日本の 文化財保護法 に基づく 登録記念物 の最初の登録物件である。 ツツジ の名所として知られる。","https://ja.wikipedia.org/wiki/相楽園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯34度41分33秒 東経135度10分54秒","兵庫県神戸市中央区中山手通5-3-1","20,000m²","池泉回遊式日本庭園","","","","","","","","","","","","","","旧小寺家厩舎、旧ハッサム住宅、船屋形、相楽園会館、浣心亭","",""
"再度公園","[72再度公園市立特殊公園兵庫県神戸市大龍寺・外人墓地] 再度公園 （ふたたびこうえん）は 兵庫県 神戸市 の 六甲山地 ・ 再度山 頂上の北に位置する 都市公園 。国指定の 名勝 で、 瀬戸内海国立公園 に属する。 公園内にある修法ヶ原池の畔は六甲連山屈指の 紅葉 の名所として知られている。","https://ja.wikipedia.org/wiki/再度公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯34度43分18秒 東経135度10分30秒","日本兵庫県神戸市北区山田町","51.5ヘクタール（515,000m2）","都市公園","神戸市","","","","","","","","180台(無料)","1937年（昭和12年）3月","","","","","",""
"姫路公園","[73姫路公園市立総合公園兵庫県姫路市姫路城] 姫路公園 （ひめじこうえん）は、 姫路市 にある 都市公園 （ 総合公園 ）である  。 日本の歴史公園100選 の1つに選ばれている。 姫路城 のかつての中曲輪以内に相当する 特別史跡 (107.8ha)内の68.1haに公園が整備されている  。 姫路城公園 ともいう。","https://ja.wikipedia.org/wiki/姫路公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","","日本兵庫県姫路市","68.1ヘクタール","都市計画（総合公園）","姫路市","姫路市のサイト","","","","","","","","","","","","","",""
"兵庫県立明石公園","[74明石公園県立広域公園兵庫県明石市明石城] 兵庫県立明石公園 （ひょうごけんりつあかしこうえん）は、 兵庫県 明石市 にある兵庫県立の 都市公園 （広域公園）である  。","https://ja.wikipedia.org/wiki/兵庫県立明石公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯34度39分24.13秒東経134度59分38.06秒","日本兵庫県明石市明石公園","","都市公園（広域公園）","公益財団法人兵庫県園芸・公園協会","明石公園","","","","","","","","1918年4月15日","","","","","","兵庫県立明石公園事務所"
"赤穂市","[75赤穂城址公園市立総合公園兵庫県赤穂市赤穂城] 赤穂市 （あこうし）は、 兵庫県 南西部、 岡山県 との県境に位置する 市 。 瀬戸内海国立公園 の一部を成す。 西播磨県民局 の管轄。","https://ja.wikipedia.org/wiki/赤穂市","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯34度45分17.9秒東経134度23分25.2秒","〒678-0292兵庫県赤穂市加里屋81番地北緯34度45分17.9秒東経134度23分25.2秒﻿ / ﻿北緯34.754972度 東経134.390333度﻿ /34.754972; 134.390333座標:北緯34度45分17.9秒東経134度23分25.2秒﻿ / ﻿北緯34.754972度 東経134.390333度﻿ /34.754972; 134.390333赤穂市役所市庁舎位置","126.85km2","","","","公式ウェブサイト","2000020282120","日本","近畿地方","45,357人（推計人口、2021年6月1日）","358人/km2","","","兵庫県","28212-0","相生市、赤穂郡上郡町、姫路市(海上)岡山県備前市","","牟礼正稔",""
"国営飛鳥歴史公園","[76国営飛鳥歴史公園ロ号国営公園奈良県明日香村飛鳥時代の史跡群] 国営飛鳥歴史公園 （こくえいあすかれきしこうえん）は、 奈良県 高市郡 明日香村 にある 国営公園 。","https://ja.wikipedia.org/wiki/国営飛鳥歴史公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯34度27分56.0秒東経135度48分13.3秒","日本明日香村","39ha","国営公園","","国営飛鳥歴史公園","","","","","","","","","","","","","","国土交通省近畿地方整備局国営飛鳥歴史公園事務所"
"鳥取県","[77伯耆国分寺跡鳥取県倉吉市伯耆国分寺跡] 日本海側 にあり  、 山陰地方 の東側を占める。 面積 は約3,507 平方キロメートル  と全国で7番目に小さく、 人口 は約55万人  で最も少ない。 基礎自治体 は4 市 14 町 1 村  で、市の数も最も少ない。","https://ja.wikipedia.org/wiki/鳥取県","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度30分14秒東経134度14分15.8秒","〒680-8570鳥取県鳥取市東町一丁目220番地北緯35度30分14秒東経134度14分15.8秒﻿ / ﻿北緯35.50389度 東経134.237722度﻿ /35.50389; 134.237722座標:北緯35度30分14秒東経134度14分15.8秒﻿ / ﻿北緯35.50389度 東経134.237722度﻿ /35.50389; 134.237722県庁舎位置","3,507.13km2","","","","公式ウェブサイト","7000020310000","日本","中国地方、山陰地方中国・四国地方","550,305人（推計人口、2021年6月1日）","157人/km2","","","","","","","",""
"法華寺畑遺跡歴史公園 (存在しないページ)","[・法華寺畑遺跡歴史公園法華寺畑遺跡]","https://ja.wikipedia.org/w/index.php?title=法華寺畑遺跡歴史公園&amp;action=edit&amp;redlink=1","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","","","","","","","","","","","","","","","","","","","",""
"島根県","[78城山公園市立歴史公園島根県松江市松江城] 離島の 隠岐島 、 竹島 なども島根県の領域に含まれる。 旧国名 は 出雲国 、 石見国 、 隠岐国 であり、現在でも出雲地方・石見地方・隠岐地方の3つの地域に区分されることが多い。全国では、 鳥取県 に次いで2番目に人口が少ない。","https://ja.wikipedia.org/wiki/島根県","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度28分20.3秒東経133度3分1.8秒","〒690-8501島根県松江市殿町1番北緯35度28分20.3秒東経133度3分1.8秒﻿ / ﻿北緯35.472306度 東経133.050500度﻿ /35.472306; 133.050500座標:北緯35度28分20.3秒東経133度3分1.8秒﻿ / ﻿北緯35.472306度 東経133.050500度﻿ /35.472306; 133.050500県庁舎位置","6,708.26km2","","","","公式ウェブサイト","1000020320005","日本","中国地方、山陰地方中国・四国地方","667,079人（推計人口、2021年6月1日）","99.4人/km2","","","","","","","",""
"後楽園","[79後楽園県立歴史公園岡山県岡山市後楽園] 後楽園 （こうらくえん）は、 岡山県 岡山市 北区 後楽園にある 日本庭園 （ 大名庭園 ）で、 日本三名園 のひとつである。","https://ja.wikipedia.org/wiki/後楽園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯34度40分5.25秒 東経133度56分6.5秒","","","","","","","","","","","","","","","","","","",""
"岡山城","[及び烏城公園市立歴史公園岡山城] 岡山城 （おかやまじょう）は、 備前国 御野郡 岡山  （現・ 岡山県 岡山市 北区 ）にあった 日本の城 。国指定の 史跡 。別名は 烏城 （うじょう）、 金烏城 （きんうじょう）  。","https://ja.wikipedia.org/wiki/岡山城","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯34度39分54.65秒東経133度56分9.79秒","","","","","","","","","","","","","","","","","","",""
"鶴山公園","[80鶴山公園市立歴史公園岡山県津山市津山城] 鶴山公園 （かくざんこうえん）は、 津山市 にある 歴史公園 である。 明治 の 廃城令 で民間に払い下げられていた 津山城 の中心部を当時の津山町が町有とし、 1900年 （明治33年）に鶴山公園として公開した  。津山城址鶴山公園ともいう。古地名としては「つるやま」だが、城の通称、および公園名は「かくざん」である。","https://ja.wikipedia.org/wiki/鶴山公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯35度3分41.5秒東経134度0分20.2秒","日本岡山県津山市","8.5ヘクタール","","津山市","津山市観光協会公式サイト　つやま小旅","","","","","","","","","","","","","",""
"かもがた町家公園 (存在しないページ)","[81かもがた町家公園市立歴史公園岡山県浅口市旧鴨方往来の古民家群]","https://ja.wikipedia.org/w/index.php?title=かもがた町家公園&amp;action=edit&amp;redlink=1","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","","","","","","","","","","","","","","","","","","","",""
"縮景園","[82縮景園県立特殊公園広島県広島市縮景園] 縮景園 （しゅっけいえん）は、 広島県 広島市 中区 上幟町にある 庭園 。","https://ja.wikipedia.org/wiki/縮景園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯34度23分59.0秒東経132度28分2.9秒","広島県広島市中区上幟町2-11","4.76 ha","庭園（都市公園）","","縮景園","","","","","","","なし","元和6年（1620年）以降（藩邸として）昭和15年（1940年）（県の公園として）","","","","","",""
"広島市中央公園","[83中央公園市立総合公園広島県広島市広島城] 広島市中央公園 （ひろしましちゅうおうこうえん）は、 広島県 広島市 中区 基町 にある 都市公園 （総合公園）である  。地元では、 中央公園 とも呼ばれる。","https://ja.wikipedia.org/wiki/広島市中央公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯34度24分5秒 東経132度27分16.8秒","日本広島県広島市中区基町","","都市公園（総合公園）","広島市（指定管理者：公益財団法人広島市みどり生きもの協会）","","","","","","","","","","","","","","",""
"広島平和記念公園","[84平和記念公園市立総合公園広島県広島市平和記念公園・原爆ドーム] 1945年 8月6日 、 アメリカ軍 が 広島市 に 原子爆弾 を投下した。","https://ja.wikipedia.org/wiki/広島平和記念公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯34度23分33.8秒東経132度27分8.5秒","日本広島県広島市中区中島町","12.2ha","平和公園","広島市","","","","","","","","","1954年（昭和29年）4月1日","","","","","",""
"入船山公園","[85入船山公園市立地区公園広島県呉市入船山記念館] 入船山公園 （いりふねやまこうえん）は、 広島県 呉市 にある 都市公園 （地区公園）である  。","https://ja.wikipedia.org/wiki/入船山公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯34度14分25秒東経132度33分50秒","日本広島県呉市幸町4-6","7.7 ha","都市公園（地区公園）","呉市","","","","","","","","有（120台）","","","","","","",""
"東広島市","[86三ツ城公園市立近隣公園広島県東広島市三ツ城古墳] 東広島市 （ひがしひろしまし）は、 広島県 の中央部に位置する 市 。","https://ja.wikipedia.org/wiki/東広島市","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯34度25分36.2秒東経132度44分37.3秒","〒739-8601広島県東広島市西条栄町8番29号北緯34度25分36.2秒東経132度44分37.3秒﻿ / ﻿北緯34.426722度 東経132.743694度﻿ /34.426722; 132.743694﻿ (東広島市)座標:北緯34度25分36.2秒東経132度44分37.3秒﻿ / ﻿北緯34.426722度 東経132.743694度﻿ /34.426722; 132.743694﻿ (東広島市)市庁舎位置","635.16km2","","","","公式ウェブサイト","2000020342122","日本","中国地方、山陽地方中国・四国地方","197,053人（推計人口、2021年6月1日）","310人/km2","","","広島県","34212-2","広島市、竹原市、安芸高田市、三次市、呉市、三原市、安芸郡熊野町、世羅郡世羅町、豊田郡大崎上島町","","高垣広徳",""
"香山公園","[87香山公園市立特殊公園山口県山口市瑠璃光寺] 香山公園 （こうざんこうえん）","https://ja.wikipedia.org/wiki/香山公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","","","","","","","","","","","","","","","","","","","",""
"萩市","[88指月公園市立総合公園山口県萩市萩城] 萩市 （はぎし）は、 中国地方 西部、 山口県 の北部に位置する 日本海 に面した 市 。","https://ja.wikipedia.org/wiki/萩市","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯34度24分29.2秒東経131度23分57秒","〒758-8555山口県萩市大字江向510番地北緯34度24分29.2秒東経131度23分57秒﻿ / ﻿北緯34.408111度 東経131.39917度﻿ /34.408111; 131.39917﻿ (萩市)座標:北緯34度24分29.2秒東経131度23分57秒﻿ / ﻿北緯34.408111度 東経131.39917度﻿ /34.408111; 131.39917﻿ (萩市)市庁舎位置","698.31km2","","","","公式ウェブサイト","2000020352047","日本","中国地方中国・四国地方","43,989人（推計人口、2021年6月1日）","63人/km2","","","山口県","35204-7","山口市、長門市、美祢市、阿武郡阿武町島根県：益田市、鹿足郡津和野町","","田中文夫",""
"吉香公園","[89吉香公園市立総合公園山口県岩国市吉香神社] 吉香公園 （きっこうこうえん）は、 山口県 岩国市 横山地区にある 都市公園 （総合公園）である。 桜 の名所として知られている。 錦帯橋 と共に 日本さくら名所100選 に選定されている。","https://ja.wikipedia.org/wiki/吉香公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯34度10分12.3秒東経132度10分32.7秒","日本山口県岩国市","約58ha","都市公園（総合公園）","岩国市","岩国市のサイト","","","","","","","","1968年（昭和43年）4月18日","","","","","",""
"伊藤公記念公園 (存在しないページ)","[90伊藤公記念公園市立歴史公園山口県光市伊藤博文生家・邸宅]","https://ja.wikipedia.org/w/index.php?title=伊藤公記念公園&amp;action=edit&amp;redlink=1","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","","","","","","","","","","","","","","","","","","","",""
"徳島中央公園","[91徳島中央公園市立総合公園徳島県徳島市徳島城] 徳島中央公園 （とくしまちゅうおうこうえん、Tokushima Central Park）は、 徳島県 徳島市 徳島町城内 （一部 南前川町 ）の、 城山 とその周辺に広がる 徳島城 跡を利用した 公園 である。 1906年 に開設された。","https://ja.wikipedia.org/wiki/徳島中央公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯34度04分30.8秒東経134度33分18.3秒","日本徳島県徳島市徳島町城内1番外","20ha","総合公園","","","","","","","","","東側駐車場：90台、西・南駐車場：119台","","","","","","",""
"ドイツ村公園","[92ドイツ村公園市立総合公園徳島県鳴門市板東俘虜収容所] ドイツ村公園 （ドイツむらこうえん）は、 徳島県 鳴門市 大麻町桧 にある 公園 である。 日本の歴史公園100選 選定。","https://ja.wikipedia.org/wiki/ドイツ村公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯34度9分32.7秒東経134度29分47.5秒","日本徳島県鳴門市大麻町桧字東山田55-2","","総合公園","","","","","","","","","あり","","","","","","",""
"香川県","[93玉藻公園市立歴史公園香川県高松市高松城] 令制国 の 讃岐国 に当たる。県名は旧讃岐国のほぼ中央に存在し、かつて高松が属していた古代以来の郡である 香川郡 から採られた。面積は47都道府県で一番小さい。 都市 の利便性と豊かな 自然 が調和した生活環境を持つ  。","https://ja.wikipedia.org/wiki/香川県","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯34度20分24.4秒東経134度2分35.8秒","〒760-8570香川県高松市番町四丁目1番10号北緯34度20分24.4秒東経134度2分35.8秒﻿ / ﻿北緯34.340111度 東経134.043278度﻿ /34.340111; 134.043278座標:北緯34度20分24.4秒東経134度2分35.8秒﻿ / ﻿北緯34.340111度 東経134.043278度﻿ /34.340111; 134.043278県庁舎位置","1,876.77km2（境界未定部分あり）","","","","香川県","8000020370002","日本","四国地方中国・四国地方","945,129人（推計人口、2021年6月1日）","504人/km2","","","","","","","",""
"栗林公園","[94栗林公園県立歴史公園香川県高松市栗林荘] 栗林公園 （りつりんこうえん）は、 香川県 高松市 に所在し、国の 特別名勝 に指定された回遊式 大名庭園 （ 日本庭園 ）である   。県立の 都市公園 （ 歴史公園 ）として運営されている  。","https://ja.wikipedia.org/wiki/栗林公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯34度19分49.2秒東経134度2分39.85秒","日本香川県高松市栗林町","75ha（紫雲山を含む）16ha（平庭部）","都市公園（歴史公園）、日本庭園","香川県","栗林公園","","","","","","","43台（東門駐車場）32台（北門前駐車場）","1875年（明治8年）3月16日","","","","茶亭讃岐民芸館商工奨励館","","香川県栗林公園観光事務所"
"丸亀市","[95亀山公園市立歴史公園香川県丸亀市丸亀城] 丸亀市 （まるがめし）は、 香川県 中西部に位置する 市 。 香川県では 高松市 に次ぐ第二の都市であり、 中 ・ 西讃 地方の中心都市である。","https://ja.wikipedia.org/wiki/丸亀市","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯34度17分21.9秒東経133度47分51.4秒","〒763-8501香川県丸亀市大手町二丁目3番1号北緯34度17分21.9秒東経133度47分51.4秒﻿ / ﻿北緯34.289417度 東経133.797611度﻿ /34.289417; 133.797611座標:北緯34度17分21.9秒東経133度47分51.4秒﻿ / ﻿北緯34.289417度 東経133.797611度﻿ /34.289417; 133.797611","111.79km2","","","","公式ウェブサイト","1000020372021","日本","四国地方中国・四国地方","109,470人（推計人口、2021年6月1日）","979人/km2","","","香川県","37202-1","坂出市、善通寺市、綾歌郡宇多津町、綾川町、仲多度郡多度津町、まんのう町（海上により隣接）岡山県：倉敷市、笠岡市","","松永恭二",""
"城山公園 (松山市)","[96城山公園市立総合公園愛媛県松山市松山城] 城山公園 （しろやまこうえん）は、 愛媛県 松山市 丸之内・堀之内にあり、 城山 と、その周辺を 公園 とした 都市公園 （総合公園）である  。","https://ja.wikipedia.org/wiki/城山公園_(松山市)","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯33度50分41.1秒東経132度45分55.3秒","日本愛媛県松山市丸之内、堀之内","52.11ha","都市公園（総合公園）","松山市","城山公園","","","","","","","","","","","","","",""
