"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","標高","山系","種類","初登頂","最新噴火","最高峰","上位山系","山号","宗派","本尊","創建年","正式名","札所等","延長","幅","開基","寺格"
"袴腰岳","[袴腰岳] 袴腰岳 （はかまごしだけ）は 北海道 函館市 にある標高1108.4mの 山 で、函館市内の最高峰である。袴腰山（はかまごしやま）とも呼ばれる。","https://ja.wikipedia.org/wiki/袴腰岳","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯41度55分26.1秒東経140度48分33秒","北海道函館市亀田大森町1-1","北緯41度55分26.1秒東経140度48分33秒﻿ / ﻿北緯41.923917度 東経140.80917度﻿ /41.923917; 140.80917座標:北緯41度55分26.1秒東経140度48分33秒﻿ / ﻿北緯41.923917度 東経140.80917度﻿ /41.923917; 140.80917","1108.4m","","","","","","","","","","","","","","","",""
"恐山","[▲恐山] 恐山 （おそれざん、おそれやま）は、 下北半島（青森県） の中央部に位置する 活火山 である  。 カルデラ湖 である 宇曽利山湖 の湖畔には、日本三大霊場の一つである 恐山菩提寺 が存在する   。 霊場 内に 温泉 が湧き、共同浴場としても利用されている  。恐山を中心にした地域は 下北半島国定公園 に指定されている  。本記事では、恐山と同霊場について詳述する。なお、 恐山山地 は下北半島の北部を占める山地を指すので  、本記事で詳述するいわゆる 霊場恐山 とは区別される。","https://ja.wikipedia.org/wiki/恐山","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯41度19分37.39秒東経141度5分24.97秒","青森県むつ市田名部字宇曽利山3-2","北緯41度19分37.39秒東経141度5分24.97秒﻿ / ﻿北緯41.3270528度 東経141.0902694度﻿ /41.3270528; 141.0902694﻿ (恐山)座標:北緯41度19分37.39秒東経141度5分24.97秒﻿ / ﻿北緯41.3270528度 東経141.0902694度﻿ /41.3270528; 141.0902694﻿ (恐山)","","","","","","","","恐山","曹洞宗","地蔵菩薩","（伝）貞観4年（862年）","恐山 伽羅陀山菩提寺","津軽三十三観音番外札所","","","（伝）円仁（慈覚大師）",""
"梵珠山","[梵珠山] 梵珠山 （ぼんじゅさん）は 青森市 と 五所川原市 に跨る標高468 m の山。","https://ja.wikipedia.org/wiki/梵珠山","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯40度48分00秒東経140度34分32秒","青森市浪岡大釈迦","北緯40度48分00秒東経140度34分32秒﻿ / ﻿北緯40.80000度 東経140.57556度﻿ /40.80000; 140.57556座標:北緯40度48分00秒東経140度34分32秒﻿ / ﻿北緯40.80000度 東経140.57556度﻿ /40.80000; 140.57556","468m","中山山系","","648年","","","","","","","","","","","","",""
"岩木山","[▲岩木山- 日本百名山] 岩木山 （いわきさん）は 青森県 弘前市 および 西津軽郡 鰺ヶ沢町 に位置する 火山 である。 標高 は1,625 m で、 青森県の最高峰 である。 日本百名山  および 新日本百名山  に選定されている。その山容から津軽富士とも呼ばれるほか、しばしば「お」をつけて「お岩木（山）」あるいは「お岩木様」とも呼ばれる  。","https://ja.wikipedia.org/wiki/岩木山","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯40度39分20秒東経140度18分13秒","日本青森県弘前市・西津軽郡鰺ヶ沢町","北緯40度39分20秒東経140度18分13秒﻿ / ﻿北緯40.65556度 東経140.30361度﻿ /40.65556; 140.30361座標:北緯40度39分20秒東経140度18分13秒﻿ / ﻿北緯40.65556度 東経140.30361度﻿ /40.65556; 140.30361","1,624.62m","独立峰","成層火山","","1863年","","","","","","","","","","","",""
"白神岳","[白神岳] 白神岳 （しらかみだけ）は、 青森県 にある 山 。標高1,235m。一等 三角点 の標高は1,231.9m。 世界遺産 登録の 白神山地 にある。 日本二百名山 の一つである。","https://ja.wikipedia.org/wiki/白神岳","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯40度30分27秒東経140度01分06秒","日本青森県西津軽郡深浦町","北緯40度30分27秒東経140度01分06秒﻿ / ﻿北緯40.50750度 東経140.01833度﻿ /40.50750; 140.01833座標:北緯40度30分27秒東経140度01分06秒﻿ / ﻿北緯40.50750度 東経140.01833度﻿ /40.50750; 140.01833","1,235m","白神山地","","","","","","","","","","","","","","",""
"姫神山 (岩手県)","[姫神山] 姫神山 （ひめかみさん）は、 岩手県 盛岡市 にある山である。独立峰でピラミッド型をした山容が特徴である。山頂には一等三角点がある。 日本二百名山 の一つである。","https://ja.wikipedia.org/wiki/姫神山_(岩手県)","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯39度50分39秒東経141度14分49秒","日本岩手県盛岡市","北緯39度50分39秒東経141度14分49秒﻿ / ﻿北緯39.84417度 東経141.24694度﻿ /39.84417; 141.24694座標:北緯39度50分39秒東経141度14分49秒﻿ / ﻿北緯39.84417度 東経141.24694度﻿ /39.84417; 141.24694","1,123.8m","北上山地","","","","","","","","","","","","","","",""
"室根山","[室根山] 室根山 （むろねさん）は、 岩手県 一関市 室根町 にある 山 。 周囲1495ヘクタールと共に 室根高原県立自然公園 を形成している。 北上高地 の南部の独立峰として知られる。 標高 は894.7m。山頂からは、太平洋を含む360°のパノラマが望める。","https://ja.wikipedia.org/wiki/室根山","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯38度58分30.7秒東経141度26分50.1秒","日本岩手県一関市室根町","北緯38度58分30.7秒東経141度26分50.1秒﻿ / ﻿北緯38.975194度 東経141.447250度﻿ /38.975194; 141.447250座標:北緯38度58分30.7秒東経141度26分50.1秒﻿ / ﻿北緯38.975194度 東経141.447250度﻿ /38.975194; 141.447250","894.7m","北上高地","","","","","","","","","","","","","","",""
"堺ノ神岳 (存在しないページ)","[堺ノ神岳]","https://ja.wikipedia.org/w/index.php?title=堺ノ神岳&amp;action=edit&amp;redlink=1","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"峠ノ神山 (存在しないページ)","[峠ノ神山]","https://ja.wikipedia.org/w/index.php?title=峠ノ神山&amp;action=edit&amp;redlink=1","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"早池峰山","[早池峰山- 日本百名山] 早池峰山 （はやちねさん）は、 岩手県 にある 標高 1917mの 山 。 北上山地 の最高峰で 日本百名山  、 新日本百名山  、 花の百名山  、 新・花の百名山  及び 一等三角点百名山  に選定されている。 六角牛山 、 石上山 と共に「遠野三山」と呼ばれる  。山頂は 宮古市 、 遠野市 、 花巻市 の3つの市の境界となっている。","https://ja.wikipedia.org/wiki/早池峰山","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯39度33分31秒東経141度29分19秒","日本岩手県宮古市・遠野市・花巻市","北緯39度33分31秒東経141度29分19秒﻿ / ﻿北緯39.55861度 東経141.48861度﻿ /39.55861; 141.48861座標:北緯39度33分31秒東経141度29分19秒﻿ / ﻿北緯39.55861度 東経141.48861度﻿ /39.55861; 141.48861","1917m","北上山地","","","","","","","","","","","","","","",""
"五葉山","[五葉山] 五葉山 （ごようざん）は、 東北地方 太平洋 側にある 北上山地 南部の 山 。 標高 は1,351mで、 三陸 沿岸の最高峰である。 日本三百名山 に選定されている。","https://ja.wikipedia.org/wiki/五葉山","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯39度12分14秒東経141度43分44秒","日本岩手県：住田町、大船渡市、釜石市","北緯39度12分14秒東経141度43分44秒﻿ / ﻿北緯39.20389度 東経141.72889度﻿ /39.20389; 141.72889","1,351m","北上山地","","","","","","","","","","","","","","",""
"石上山","[石上山] 石上山 （いしかみやま）は 岩手県 遠野市 にある 標高 1,038mの山。","https://ja.wikipedia.org/wiki/石上山","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯39度22分26.8秒東経141度27分23.1秒","日本岩手県遠野市","北緯39度22分26.8秒東経141度27分23.1秒﻿ / ﻿北緯39.374111度 東経141.456417度﻿ /39.374111; 141.456417座標:北緯39度22分26.8秒東経141度27分23.1秒﻿ / ﻿北緯39.374111度 東経141.456417度﻿ /39.374111; 141.456417","1,038m","北上山地","","","","","","","","","","","","","","",""
"八甲田山","[▲八甲田山- 日本百名山] 八甲田山 （はっこうださん）は、 青森市 の南側にそびえる大岳（標高1,585m）を主峰とする18の山々からなる複数 火山 の総称  。 日本百名山 の一つ  。","https://ja.wikipedia.org/wiki/八甲田山","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯40度39分31秒東経140度52分38秒","青森県青森市・十和田市","北緯40度39分31秒東経140度52分38秒﻿ / ﻿北緯40.65861度 東経140.87722度﻿ /40.65861; 140.87722座標:北緯40度39分31秒東経140度52分38秒﻿ / ﻿北緯40.65861度 東経140.87722度﻿ /40.65861; 140.87722（大岳）","大岳: 1,584m","奥羽山脈","複成火山（成層火山や溶岩ドームの火山群）","","","","","","","","","","","","","",""
"七時雨山","[▲七時雨山] 七時雨山 （ななしぐれやま）は、 岩手県 の北西部に位置する山。標高1063m  。 八幡平市 にあり、 新日本百名山 や 東北百名山 に選ばれている。","https://ja.wikipedia.org/wiki/七時雨山","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯40度4分16秒東経141度6分30秒","岩手県八幡平市","北緯40度4分16秒東経141度6分30秒﻿ / ﻿北緯40.07111度 東経141.10833度﻿ /40.07111; 141.10833座標:北緯40度4分16秒東経141度6分30秒﻿ / ﻿北緯40.07111度 東経141.10833度﻿ /40.07111; 141.10833","1,063m","七時雨火山","溶岩ドーム(七時雨山峰)","","","","","","","","","","","","","",""
"森吉山","[▲森吉山] 森吉山 （もりよしざん）は、 秋田県 北秋田市 に位置する 標高 1,454.2mの古い 火山 である。高山帯では多くの 高山植物 が咲乱れるため「 花の百名山 （NHK選・山と溪谷社選）」に選ばれている。向岳（むかいだけ）、秋田山（あきたやま）ともいう。","https://ja.wikipedia.org/wiki/森吉山","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯39度58分40秒東経140度32分40秒","秋田県北秋田市","北緯39度58分40秒東経140度32分40秒﻿ / ﻿北緯39.97778度 東経140.54444度﻿ /39.97778; 140.54444座標:北緯39度58分40秒東経140度32分40秒﻿ / ﻿北緯39.97778度 東経140.54444度﻿ /39.97778; 140.54444","1,454.2m","独立峰","成層火山","","","","","","","","","","","","","",""
"秋田焼山","[▲秋田焼山] 秋田焼山 （あきたやけやま）は、 秋田県 の北東部に位置し、 鹿角市 と 仙北市 との境界にある 活火山 である。","https://ja.wikipedia.org/wiki/秋田焼山","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯39度57分50.0秒東経140度45分25.4秒","秋田県鹿角市・仙北市","北緯39度57分50.0秒東経140度45分25.4秒﻿ / ﻿北緯39.963889度 東経140.757056度﻿ /39.963889; 140.757056座標:北緯39度57分50.0秒東経140度45分25.4秒﻿ / ﻿北緯39.963889度 東経140.757056度﻿ /39.963889; 140.757056","1,366m","","成層火山、溶岩ドーム","","","","","","","","","","","","","",""
"八幡平","[▲八幡平- 日本百名山] 八幡平 （はちまんたい）は、 秋田県 と 岩手県 にまたがる 標高 1,614 m の山及びその周囲の高原台地  。 深田久弥 の 日本百名山 に挙げられている   。山域は 1956年 （昭和31年）に 十和田八幡平国立公園 に指定されている。","https://ja.wikipedia.org/wiki/八幡平","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯39度57分28秒東経140度51分15秒","日本岩手県八幡平市秋田県仙北市・鹿角市","北緯39度57分28秒東経140度51分15秒﻿ / ﻿北緯39.95778度 東経140.85417度﻿ /39.95778; 140.85417座標:北緯39度57分28秒東経140度51分15秒﻿ / ﻿北緯39.95778度 東経140.85417度﻿ /39.95778; 140.85417","1,613.50m","奥羽山脈","成層火山","","","","","","","","","","","","","",""
"乳頭山","[▲烏帽子岳（乳頭山とも）] 乳頭山 （にゅうとうさん）とは、 秋田県 仙北市 と 岩手県 岩手郡 雫石町 にまたがる山である。 十和田八幡平国立公園 の中に位置する。","https://ja.wikipedia.org/wiki/乳頭山","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯39度48分18.00秒東経140度50分19.40秒","秋田県仙北市・岩手県岩手郡雫石町","北緯39度48分18.00秒東経140度50分19.40秒﻿ / ﻿北緯39.8050000度 東経140.8387222度﻿ /39.8050000; 140.8387222","1478m","奥羽山脈","","","","","","","","","","","","","","",""
"秋田駒ヶ岳","[▲秋田駒ヶ岳] 秋田駒ヶ岳 （あきたこまがたけ）とは、 秋田県 仙北市 と 岩手県 岩手郡 雫石町 に跨る 活火山 である。 十和田八幡平国立公園 の南端。標高1,637m。全国に数多い 駒ヶ岳 のなかで最も 高山植物 の豊富な山としても知られる。 日本二百名山 の一つである。","https://ja.wikipedia.org/wiki/秋田駒ヶ岳","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯39度45分39.9774秒東経140度47分57.7149秒","日本秋田県仙北市岩手県岩手郡雫石町","北緯39度45分39.9774秒東経140度47分57.7149秒﻿ / ﻿北緯39.761104833度 東経140.799365250度﻿ /39.761104833; 140.799365250座標:北緯39度45分39.9774秒東経140度47分57.7149秒﻿ / ﻿北緯39.761104833度 東経140.799365250度﻿ /39.761104833; 140.799365250","1,637.4m","奥羽山脈","成層火山（活火山ランクB）","","1971年","","","","","","","","","","","",""
"岩手山","[▲岩手山- 日本百名山] 岩手山 （いわてさん）は、 岩手県 の北西部にあり、二つの外輪山からなる 標高 2,038mの 成層火山 である。 青森県 から 岩手県 を経て 福島県 に連なる 奥羽山脈 の岩手県域北部に位置する岩手山は、岩手県の 最高峰 であり、県のシンボルの一つとされている  。 日本百名山 に選定されている  。","https://ja.wikipedia.org/wiki/岩手山","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯39度51分0秒東経141度0分0秒","日本岩手県八幡平市・滝沢市・雫石町","北緯39度51分0秒東経141度0分0秒﻿ / ﻿北緯39.85000度 東経141.00000度﻿ /39.85000; 141.00000座標:北緯39度51分0秒東経141度0分0秒﻿ / ﻿北緯39.85000度 東経141.00000度﻿ /39.85000; 141.00000","2,037.95m","奥羽山脈","成層火山","","1919年（小規模）","","","","","","","","","","","",""
"和賀岳","[和賀岳] 和賀山塊 （わがさんかい）は、 秋田 ・ 岩手 県境にある 山塊 。 奥羽山脈 真昼山地 の一部。奥深い原生自然とブナ混生林、さらに巨樹・巨木の存在によって知られている。","https://ja.wikipedia.org/wiki/和賀岳","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯39度34分13.4583秒東経140度45分15.2599秒","秋田県・岩手県","北緯39度34分13.4583秒東経140度45分15.2599秒﻿ / ﻿北緯39.570405083度 東経140.754238861度﻿ /39.570405083; 140.754238861（和賀岳）","","","","","","和賀岳（1,439m）","","","","","","","","40km","20km","",""
"真昼岳","[真昼岳] 真昼岳 （まひるだけ）とは、 秋田県 仙北郡 美郷町 と 岩手県 和賀郡 西和賀町 との県境にある 山 である。 真昼山 とも。 真昼山地 の主峰で、 標高 は1059mである   。","https://ja.wikipedia.org/wiki/真昼岳","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯39度26分52.2秒東経140度40分35.4秒","日本秋田県仙北郡美郷町岩手県和賀郡西和賀町","北緯39度26分52.2秒東経140度40分35.4秒﻿ / ﻿北緯39.447833度 東経140.676500度﻿ /39.447833; 140.676500座標:北緯39度26分52.2秒東経140度40分35.4秒﻿ / ﻿北緯39.447833度 東経140.676500度﻿ /39.447833; 140.676500","1,059m","真昼山地","","","","","","","","","","","","","","",""
"焼石岳","[▲焼石岳] 焼石岳 （やけいしだけ）とは、 岩手県 南西部、 奥州市 と 和賀郡 西和賀町 の境にある 火山 である。標高1,548メートル。 奥羽山脈 中部に属し、 牛形山 、 駒ヶ岳 などからなる焼石連峰の主峰で、 栗駒国定公園 の一部。 日本二百名山 の一つである。","https://ja.wikipedia.org/wiki/焼石岳","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯39度09分49秒東経140度49分44秒","日本岩手県奥州市・和賀郡西和賀町","北緯39度09分49秒東経140度49分44秒﻿ / ﻿北緯39.16361度 東経140.82889度﻿ /39.16361; 140.82889座標:北緯39度09分49秒東経140度49分44秒﻿ / ﻿北緯39.16361度 東経140.82889度﻿ /39.16361; 140.82889","1,547.7m","奥羽山脈","","","","","","","","","","","","","","",""
"栗駒山","[▲栗駒山（須川岳とも）] 栗駒山 （くりこまやま）は、山体が 宮城県 、 秋田県 、 岩手県 の三県にまたがる 山 である。 標高 は1,626m  。山頂部は 宮城県 と 岩手県 の境界になっている。 奥羽山脈 に属し、 焼石岳 や 神室山 とともに 栗駒国定公園 や栗駒山・栃ヶ森周辺森林生態系保護地域として指定されている。 二百名山 の一つ。","https://ja.wikipedia.org/wiki/栗駒山","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯38度57分39秒東経140度47分18秒","日本岩手県一関市宮城県栗原市秋田県湯沢市・雄勝郡東成瀬村","北緯38度57分39秒東経140度47分18秒﻿ / ﻿北緯38.96083度 東経140.78833度﻿ /38.96083; 140.78833座標:北緯38度57分39秒東経140度47分18秒﻿ / ﻿北緯38.96083度 東経140.78833度﻿ /38.96083; 140.78833","1,626m","奥羽山脈","成層火山(活火山ランクB)","","1944年11月20日（昭和湖）","","","","","","","","","","","",""
"神室山","[神室山] 神室山 （かむろさん）は 秋田県 湯沢市 と 山形県 新庄市 、 金山町 の県境･市境上にそびえる、神室連峰の主峰となる山である。","https://ja.wikipedia.org/wiki/神室山","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯38度54分8秒東経140度29分32.3秒","日本秋田県湯沢市・山形県新庄市・金山町","北緯38度54分8秒東経140度29分32.3秒﻿ / ﻿北緯38.90222度 東経140.492306度﻿ /38.90222; 140.492306座標:北緯38度54分8秒東経140度29分32.3秒﻿ / ﻿北緯38.90222度 東経140.492306度﻿ /38.90222; 140.492306","1365.2m","神室連峰","構造山地（花崗岩）","","","","","","","","","","","","","",""
"船形山","[▲船形山] 船形山 （ふながたやま）は、 宮城県 と 山形県 の 県境 にそびえる、 奥羽山脈 船形火山群 （ 英語版 ） の主峰となる 火山 である。別名は 御所山 （ごしょざん）。 日本二百名山 のひとつに数えられる。","https://ja.wikipedia.org/wiki/船形山","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯38度27分20秒東経140度37分12.3秒","日本宮城県・山形県","北緯38度27分20秒東経140度37分12.3秒﻿ / ﻿北緯38.45556度 東経140.620083度﻿ /38.45556; 140.620083﻿ (船形山（山頂を示す地図記号の位置）)座標:北緯38度27分20秒東経140度37分12.3秒﻿ / ﻿北緯38.45556度 東経140.620083度﻿ /38.45556; 140.620083﻿ (船形山（山頂を示す地図記号の位置）)","1500.34m","船形火山群","成層火山（玄武岩、安山岩）","","","","","","","","","","","","","",""
"蔵王連峰","[▲蔵王山- 日本百名山] 蔵王連峰 （ざおうれんぽう）は、 東北地方 の中央を南北に連なる 奥羽山脈 の中にあって、 宮城県 と 山形県 の両県南部の県境に位置する 連峰     。奥羽山脈において時と場所を移しながら次々と繰り返された火山活動によって形成された複合火山群である  。","https://ja.wikipedia.org/wiki/蔵王連峰","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯38度08分37秒東経140度26分22秒","宮城県・山形県","北緯38度08分37秒東経140度26分22秒﻿ / ﻿北緯38.14361度 東経140.43944度﻿ /38.14361; 140.43944座標:北緯38度08分37秒東経140度26分22秒﻿ / ﻿北緯38.14361度 東経140.43944度﻿ /38.14361; 140.43944（熊野岳）","","","","","","熊野岳（1,841m）","奥羽山脈","","","","","","","","","",""
"吾妻山","[▲吾妻山- 日本百名山] 吾妻山 （あづまやま）もしくは 吾妻連峰 （あづまれんぽう）は、 福島県 と一部は 山形県 の県境に沿って東西に伸びる 火山 群・ 山塊 の総称である。最高峰は 西吾妻山 （2,035メートル）。 日本百名山 や うつくしま百名山 にもあげられている。","https://ja.wikipedia.org/wiki/吾妻山","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯37度44分17秒東経140度08分26秒","日本山形県・福島県","北緯37度44分17秒東経140度08分26秒﻿ / ﻿北緯37.73806度 東経140.14056度﻿ /37.73806; 140.14056座標:北緯37度44分17秒東経140度08分26秒﻿ / ﻿北緯37.73806度 東経140.14056度﻿ /37.73806; 140.14056","","","成層火山や単成火山などからなる火山群","","","西吾妻山（2,035m）","奥羽山脈","","","","","","","","","",""
"一切経山","[▲一切経山] 一切経山 （いっさいきょうざん）は、 福島県 福島市 と 猪苗代町 との境にある山である。 吾妻連峰 を構成する山の一つ。今も 火山 活動を続けている 活火山 であり、山頂は岩礫で覆われている。 標高 は1,948.8 メートル 。","https://ja.wikipedia.org/wiki/一切経山","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯37度44分07秒東経140度14分40秒","日本福島県福島市・耶麻郡猪苗代町","北緯37度44分07秒東経140度14分40秒﻿ / ﻿北緯37.73528度 東経140.24444度﻿ /37.73528; 140.24444座標:北緯37度44分07秒東経140度14分40秒﻿ / ﻿北緯37.73528度 東経140.24444度﻿ /37.73528; 140.24444","1,948.8m","吾妻連峰","","","","","","","","","","","","","","",""
"安達太良山","[▲安達太良山- 日本百名山] 安達太良山 （あだたらやま）は 福島県 中部にある 活火山 である。 日本百名山 、 新日本百名山 、 花の百名山 および うつくしま百名山 に選定されている。山頂には二等三角点「大関平」1699.6m が設置されている。別名は、岳山（だけやま）、安達太郎山。","https://ja.wikipedia.org/wiki/安達太良山","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯37度38分50秒東経140度16分51秒","日本福島県福島市・二本松市・郡山市安達郡大玉村・耶麻郡猪苗代町","北緯37度38分50秒東経140度16分51秒﻿ / ﻿北緯37.64722度 東経140.28083度﻿ /37.64722; 140.28083座標:北緯37度38分50秒東経140度16分51秒﻿ / ﻿北緯37.64722度 東経140.28083度﻿ /37.64722; 140.28083","最高峰箕輪山 1,728m","奥羽山脈南部","成層火山(活火山ランクB)","","1900年","","","","","","","","","","","",""
"磐梯山","[▲磐梯山- 日本百名山] 磐梯山 （ばんだいさん）は 福島県 耶麻郡 猪苗代町 、 磐梯町 、 北塩原村 にまたがる 山 である。会津盆地側からは、綺麗な三角の頂が見えることから 会津富士 （あいづふじ）、あるいは民謡にあるように 会津磐梯山 （あいづばんだいさん）とも呼ばれている。 日本百名山 に選定されており、福島県のシンボルの一つとされている  。","https://ja.wikipedia.org/wiki/磐梯山","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯37度36分04秒東経140度04分20秒","日本福島県猪苗代町・磐梯町・北塩原村","北緯37度36分04秒東経140度04分20秒﻿ / ﻿北緯37.60111度 東経140.07222度﻿ /37.60111; 140.07222座標:北緯37度36分04秒東経140度04分20秒﻿ / ﻿北緯37.60111度 東経140.07222度﻿ /37.60111; 140.07222","1,816.29m","独立峰","成層火山（活火山ランクB）","","","","","","","","","","","","","",""
"鳥海山","[▲鳥海山- 日本百名山] 鳥海山 （ちょうかいさん、ちょうかいざん  ）は、 山形県 と 秋田県 に跨がる 標高 2,236mの 活火山 。山頂に雪が積もった姿が富士山に類似しているため、 出羽富士 （でわふじ）とも呼ばれ親しまれている。秋田県では 秋田富士 （あきたふじ）、山形県では 庄内富士 （しょうないふじ）とも呼ばれている。古くからの名では鳥見山（とりみやま）という。 鳥海国定公園 に属する。 日本百名山  ・ 日本百景 の一つ。2007年（平成19年）に 日本の地質百選 に選定された。2009年（平成21年）に 国史跡 「鳥海山」として指定された。","https://ja.wikipedia.org/wiki/鳥海山","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯39度05分57秒東経140度02分56秒","日本山形県飽海郡遊佐町・酒田市・秋田県由利本荘市・にかほ市","北緯39度05分57秒東経140度02分56秒﻿ / ﻿北緯39.09917度 東経140.04889度﻿ /39.09917; 140.04889座標:北緯39度05分57秒東経140度02分56秒﻿ / ﻿北緯39.09917度 東経140.04889度﻿ /39.09917; 140.04889","2,236m","出羽山地","成層火山","","","","","","","","","","","","","",""
"太平山 (秋田県)","[太平山] 太平山 （たいへいざん）とは、 秋田県 中央部、 秋田市 と 上小阿仁村 とにまたがる山である。 太平山地 の主峰。標高1170メートル。太平山を中心として 太平山県立自然公園 に指定されている。","https://ja.wikipedia.org/wiki/太平山_(秋田県)","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯39度47分49秒東経140度18分39秒","日本秋田県秋田市・北秋田郡上小阿仁村","北緯39度47分49秒東経140度18分39秒﻿ / ﻿北緯39.79694度 東経140.31083度﻿ /39.79694; 140.31083座標:北緯39度47分49秒東経140度18分39秒﻿ / ﻿北緯39.79694度 東経140.31083度﻿ /39.79694; 140.31083","1,170m","","","","","","","","","","","","","","","",""
"月山","[▲月山- 日本百名山] 月山 （がっさん）は、 山形県 の中央部にあり、 出羽丘陵 の南部に位置する 標高 1,984mの 火山 。山域は 磐梯朝日国立公園 の特別区域に指定され、 日本百名山  、 新日本百名山  、 花の百名山  及び 新・花の百名山  に選定されている。また、山麓は 月山山麓湧水群 として 名水百選  、 月山行人清水の森 として 水源の森百選 にも選定されている。","https://ja.wikipedia.org/wiki/月山","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯38度32分56秒東経140度01分37秒","日本山形県鶴岡市・東田川郡庄内町・最上郡大蔵村・西村山郡西川町","北緯38度32分56秒東経140度01分37秒﻿ / ﻿北緯38.54889度 東経140.02694度﻿ /38.54889; 140.02694﻿ (月山)座標:北緯38度32分56秒東経140度01分37秒﻿ / ﻿北緯38.54889度 東経140.02694度﻿ /38.54889; 140.02694﻿ (月山)","1,984m","出羽山地","成層火山","","","","","","","","","","","","","",""
"葉山 (村山市)","[葉山] 葉山 （はやま）は、 山形県 村山市 と 寒河江市 の市境上にある標高1,462mの 山 。全国の他の 葉山 と区別するために 村山葉山 と呼ばれることもあるが、地元では単に葉山と呼ばれる。かつては 山岳信仰 の対象となっていた。","https://ja.wikipedia.org/wiki/葉山_(村山市)","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯38度31分45秒東経140度12分38秒","日本山形県村山市・寒河江市","北緯38度31分45秒東経140度12分38秒﻿ / ﻿北緯38.52917度 東経140.21056度﻿ /38.52917; 140.21056","1,461.7m","出羽山地","成層火山(第三紀)","","","","","","","","","","","","","",""
