"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","標高","山系","面積","駐車場","分類","運営者","公式サイト","種類","開園","事務所所在地","水系","事務所","アクセス","落差","備考","所在海域","最高標高"
"愛知県森林公園","[愛知県森林公園（愛知県名古屋市・尾張旭市）] 愛知県森林公園 （あいちけんしんりんこうえん）は、 愛知県 尾張旭市 と同県 名古屋市 守山区 にまたがる愛知県立のレクレーション施設  。","https://ja.wikipedia.org/wiki/愛知県森林公園","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","北緯35度14分6.56秒東経137度3分8.04秒","日本愛知県名古屋市守山区及び尾張旭市","","","","1,870,000m2","890台（10カ所）","レクレーション施設","愛知県","愛知県森林公園","","","愛知県尾張旭市大字新居5182-1","","","","","","",""
"愛知県民の森","[愛知県民の森（愛知県新城市）] 愛知県民の森 （あいちけんみんのもり）は、 愛知県 新城市 にある 県民の森 である。","https://ja.wikipedia.org/wiki/愛知県民の森","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","北緯34度59分40.70秒東経137度37分35.23秒","日本愛知県新城市門谷字鳳来寺7-60","","","","約572ha","200台","","公益財団法人愛知県公園協会","愛知県民の森","","1970年（昭和45年）7月","愛知県新城市門谷字鳳来寺7-60","","公益財団法人愛知公園協会県民の森事務所","","","","",""
"赤目四十八滝","[赤目四十八滝（三重県名張市）] 赤目四十八滝 （あかめしじゅうはちたき）は、 日本 に数多く存在する 四十八滝 の一つで、 三重県 名張市 赤目町を流れる滝川の 渓谷 にある、一連の 滝 の総称である。また、谷は 赤目四十八滝渓谷 （あかめしじゅうはちたき けいこく）と称される。","https://ja.wikipedia.org/wiki/赤目四十八滝","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","北緯34度33分33秒東経136度5分30秒","三重県名張市赤目町","北緯34度33分33秒東経136度5分30秒﻿ / ﻿北緯34.55917度 東経136.09167度﻿ /34.55917; 136.09167座標:北緯34度33分33秒東経136度5分30秒﻿ / ﻿北緯34.55917度 東経136.09167度﻿ /34.55917; 136.09167","","","","","","","","","","","淀川水系滝川","","","荷担滝8m","","",""
"伊勢三郷山 (存在しないページ)","[伊勢三郷山（三重県伊勢市）]","https://ja.wikipedia.org/w/index.php?title=伊勢三郷山&amp;action=edit&amp;redlink=1","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"臥龍の森 (存在しないページ)","[臥龍の森（滋賀県湖南市）]","https://ja.wikipedia.org/w/index.php?title=臥龍の森&amp;action=edit&amp;redlink=1","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"金勝山 (存在しないページ)","[金勝山（滋賀県栗東市）]","https://ja.wikipedia.org/w/index.php?title=金勝山&amp;action=edit&amp;redlink=1","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"くつわ池自然公園 (存在しないページ)","[くつわ池自然公園（京都府綴喜郡宇治田原町）]","https://ja.wikipedia.org/w/index.php?title=くつわ池自然公園&amp;action=edit&amp;redlink=1","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大江山","[大江山の森 （京都府福知山市）] 大江山 （おおえやま）は 京都府 丹後半島 の付け根に位置し 与謝野町 、 福知山市 、 宮津市 にまたがる連山である。標高832m   。別称、 大枝山 ・ 与謝大山 ・ 千丈ヶ嶽 。","https://ja.wikipedia.org/wiki/大江山","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","北緯35度27分12秒東経135度06分24秒","日本京都府与謝野町・福知山市・宮津市","北緯35度27分12秒東経135度06分24秒﻿ / ﻿北緯35.45333度 東経135.10667度﻿ /35.45333; 135.10667座標:北緯35度27分12秒東経135度06分24秒﻿ / ﻿北緯35.45333度 東経135.10667度﻿ /35.45333; 135.10667","832m","丹波高地（丹後山地）","","","","","","","","","","","","","","",""
"箕面公園","[箕面公園（大阪府箕面市）] 明治の森箕面国定公園 （めいじのもりみのおこくていこうえん）は、 大阪府 の 箕面山 周辺に位置する 国定公園 である。","https://ja.wikipedia.org/wiki/箕面公園","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"金剛山 (金剛山地)","[金剛山（大阪府南河内郡千早赤阪村）] 金剛山 （こんごうさん、こんごうざん）は、 奈良県 御所市 と 大阪府 南河内郡 千早赤阪村 との境目にある 山 。かつては 高間山・高天山 （たかまやま）や 葛城嶺 （かづらきのみね）といわれていた。 金剛山地 の主峰である。","https://ja.wikipedia.org/wiki/金剛山_(金剛山地)","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","北緯34度25分10秒東経135度40分23秒","奈良県御所市大阪府南河内郡千早赤阪村","北緯34度25分10秒東経135度40分23秒﻿ / ﻿北緯34.41944度 東経135.67306度﻿ /34.41944; 135.67306座標:北緯34度25分10秒東経135度40分23秒﻿ / ﻿北緯34.41944度 東経135.67306度﻿ /34.41944; 135.67306","1,125m","金剛山地","","","","","","","","","","","","","","",""
"再度公園","[再度公園（兵庫県神戸市）] 再度公園 （ふたたびこうえん）は 兵庫県 神戸市 の 六甲山地 ・ 再度山 頂上の北に位置する 都市公園 。国指定の 名勝 で、 瀬戸内海国立公園 に属する。 公園内にある修法ヶ原池の畔は六甲連山屈指の 紅葉 の名所として知られている。","https://ja.wikipedia.org/wiki/再度公園","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","","日本兵庫県神戸市北区山田町","","","","51.5ヘクタール（515,000m2）","180台(無料)","都市公園","神戸市","","","1937年（昭和12年）3月","","","","","","国の名勝、瀬戸内海国立公園","",""
"天滝渓谷","[天滝渓谷（兵庫県養父市）] 氷ノ山の東方33kmに位置する落差98mの雄大な滝は、天から降り注ぐかのような荘厳さからその名が付けられたとされる。 弘法大師（空海） 所縁とする伝承が残り、「大和長谷寺縁起」や「役の行者本記」などにもその名を残す。 1996年 度の NHK 連続テレビ小説 「 ふたりっ子 」のオープニングに登場した 滝 でもある。","https://ja.wikipedia.org/wiki/天滝渓谷","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","北緯35度20分7秒東経134度36分27秒","兵庫県養父市","北緯35度20分7秒東経134度36分27秒﻿ / ﻿北緯35.33528度 東経134.60750度﻿ /35.33528; 134.60750座標:北緯35度20分7秒東経134度36分27秒﻿ / ﻿北緯35.33528度 東経134.60750度﻿ /35.33528; 134.60750","","","","","","","","","","","円山川水系大屋川","","","98m","","",""
"布引の滝 (兵庫県)","[布引と再度山（兵庫県神戸市）] 布引の滝 （ぬのびきのたき）は、 神戸市 中央区 を流れる 布引渓流 （ 名水百選 ）にある4つの 滝 の総称。 日本三大神滝 のひとつ。 日本三大名瀑 にも選ばれることがある。 布引滝 とも表記する。名瀑として知られる古来の景勝地である。","https://ja.wikipedia.org/wiki/布引の滝_(兵庫県)","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","北緯34度42分35秒東経135度11分37秒","兵庫県神戸市中央区","北緯34度42分35秒東経135度11分37秒﻿ / ﻿北緯34.70972度 東経135.19361度﻿ /34.70972; 135.19361﻿ (布引の滝)座標:北緯34度42分35秒東経135度11分37秒﻿ / ﻿北緯34.70972度 東経135.19361度﻿ /34.70972; 135.19361﻿ (布引の滝)","","","","","","","","","","","生田川","","","(雄滝)43m","","",""
"大台ヶ原","[大台ヶ原（奈良県吉野郡上北山村）] 大台ヶ原山 （おおだいがはらやま）は 奈良県 と 三重県 の 県境 にある 標高 1695.1m  の 山 である。 深田久弥 によって「 日本百名山 」に選ばれたほか、 日本百景 、 日本の秘境100選 にも選ばれている。 1980年 （昭和55年）に 国際連合教育科学文化機関 の 生物圏保護区 （ユネスコエコパーク）に登録された（登録名：大台ケ原・ 大峯山 ・ 大杉谷 ）  。","https://ja.wikipedia.org/wiki/大台ヶ原","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","北緯34度11分7秒東経136度6分33秒","奈良県吉野郡上北山村、川上村、三重県多気郡大台町","北緯34度11分7秒東経136度6分33秒﻿ / ﻿北緯34.18528度 東経136.10917度﻿ /34.18528; 136.10917座標:北緯34度11分7秒東経136度6分33秒﻿ / ﻿北緯34.18528度 東経136.10917度﻿ /34.18528; 136.10917","1,695.1m","台高山脈","","","","","","隆起準平原","","","","","","","","",""
"玉置山","[玉置山（奈良県吉野郡十津川村）] 玉置山 （たまきさん）は、 奈良県 吉野郡 十津川村 にある 山 。 大峰山系 の最南端で標高1,076.4メートル、主に 石英斑岩 で形成される  。","https://ja.wikipedia.org/wiki/玉置山","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","北緯33度55分36秒東経135度49分54秒","日本奈良県吉野郡十津川村","北緯33度55分36秒東経135度49分54秒﻿ / ﻿北緯33.92667度 東経135.83167度﻿ /33.92667; 135.83167座標:北緯33度55分36秒東経135度49分54秒﻿ / ﻿北緯33.92667度 東経135.83167度﻿ /33.92667; 135.83167","1,076.4m","大峰山系","","","","","","","","","","","","","","",""
"高田の里 (存在しないページ)","[高田の里（和歌山県新宮市）]","https://ja.wikipedia.org/w/index.php?title=高田の里&amp;action=edit&amp;redlink=1","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"歴史の道 (存在しないページ)","[歴史の道熊野古道（和歌山県田辺市）]","https://ja.wikipedia.org/w/index.php?title=歴史の道&amp;action=edit&amp;redlink=1","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"打吹山","[打吹山（鳥取県倉吉市）] 打吹山 （うつぶきやま）は、 鳥取県 倉吉市 にある山である。 標高 204m。 天女 伝説のある山で、残された天女の子どもが、この山の頂で太鼓や笛を吹いて天に帰った母親を思い偲んだと伝えられている。","https://ja.wikipedia.org/wiki/打吹山","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","北緯35度25分35.2秒東経133度49分19.1秒","日本鳥取県倉吉市","北緯35度25分35.2秒東経133度49分19.1秒﻿ / ﻿北緯35.426444度 東経133.821972度﻿ /35.426444; 133.821972座標:北緯35度25分35.2秒東経133度49分19.1秒﻿ / ﻿北緯35.426444度 東経133.821972度﻿ /35.426444; 133.821972","204m","","","","","","","","","","","","","","","",""
"三徳山","[三徳山（鳥取県東伯郡三朝町）] 三徳山 （みとくさん）は、 鳥取県 東伯郡 三朝町 にある山である。 標高 899.6 メートル 。706年に役行者により修験の霊地と定められたと伝わる。山名は蔵王・子守・勝手の三所権現を山内に祀り「福徳」「智徳」「寿徳」の３つの徳が授かる山の由来と、「 法身 （美しい）」「 般若 （にごりのない）」「 解脱 （働きのある心）」の3つの徳に由来する。麓には国宝投入堂を有する三徳山三佛寺が存在する。","https://ja.wikipedia.org/wiki/三徳山","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","北緯35度23分09.3秒東経133度57分48.6秒","日本鳥取県東伯郡三朝町","北緯35度23分09.3秒東経133度57分48.6秒﻿ / ﻿北緯35.385917度 東経133.963500度﻿ /35.385917; 133.963500座標:北緯35度23分09.3秒東経133度57分48.6秒﻿ / ﻿北緯35.385917度 東経133.963500度﻿ /35.385917; 133.963500","899.6m","","","","","","","","","","","","","","","",""
"三瓶山","[三瓶山（島根県大田市）] 三瓶山 （さんべさん : Mt.sanbe）は、 島根県 のほぼ中央部、 大田市 と 飯石郡 飯南町 にまたがりそびえる 大山火山帯 に属する 火山 。 大山隠岐国立公園 の一部でもある。 2003年 （ 平成 15年）の 活火山 の定義見直しで活火山に指定された。","https://ja.wikipedia.org/wiki/三瓶山","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","北緯35度07分55秒東経132度37分36秒","日本島根県大田市・飯南町","北緯35度07分55秒東経132度37分36秒﻿ / ﻿北緯35.13194度 東経132.62667度﻿ /35.13194; 132.62667座標:北緯35度07分55秒東経132度37分36秒﻿ / ﻿北緯35.13194度 東経132.62667度﻿ /35.13194; 132.62667","1,126m","独立峰","","","","","","成層火山（活火山ランクC）","","","","","","","","",""
"ふれあいの里奥出雲公園 (存在しないページ)","[ふれあいの里奥出雲公園（島根県雲南市）]","https://ja.wikipedia.org/w/index.php?title=ふれあいの里奥出雲公園&amp;action=edit&amp;redlink=1","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"岡山県立森林公園 (存在しないページ)","[岡山県立森林公園（岡山県苫田郡鏡野町）]","https://ja.wikipedia.org/w/index.php?title=岡山県立森林公園&amp;action=edit&amp;redlink=1","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"西粟倉村若杉天然林","[西粟倉村若杉天然林（岡山県英田郡西粟倉村）] 若杉天然林 （わかすぎてんねんりん）は、 岡山県 、 鳥取県 、 兵庫県 の県境付近にあり、標高950 - 1,200m付近に位置する 天然林 である。 氷ノ山後山那岐山国定公園 の特別保護地区になっており、現地では 若杉原生林 と呼称されている。","https://ja.wikipedia.org/wiki/西粟倉村若杉天然林","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"三段峡","[三段峡（広島県山県郡安芸太田町、北広島町）] 1917年 （ 大正 6年）地元写真家の熊南峰は入峡してその景観に驚き、小学校教師の斎藤露翠とともに三段峡を世を広める活動を始めた  。これを三段峡の開峡年としている  。 2017年 （ 平成 29年）には100周年記念が行われている   。","https://ja.wikipedia.org/wiki/三段峡","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"もみのき森林公園","[もみのき森林公園（広島県廿日市市）] もみのき森林公園 （もみのきしんりんこうえん）は、 広島県 廿日市市 吉和にある県立の 森林公園 。","https://ja.wikipedia.org/wiki/もみのき森林公園","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","北緯34度28分49.66秒東経132度10分41.1秒","日本広島県廿日市市吉和1593-75","","","","400ha","あり","森林公園","広島県","公式ウェブサイト","","1984年","","","","","","","",""
"長門峡","[長門峡（山口県山口市）] 長門峡 （ちょうもんきょう）は、 阿武川 上流、 山口県 山口市 阿東 及び 萩市 川上に位置する 峡谷 である。全長12キロメートル。","https://ja.wikipedia.org/wiki/長門峡","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"室積・虹ヶ浜海岸松林 (存在しないページ)","[室積・虹ヶ浜海岸松林（山口県光市）]","https://ja.wikipedia.org/w/index.php?title=室積・虹ヶ浜海岸松林&amp;action=edit&amp;redlink=1","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"徳島県立青少年の森","[徳島県立青少年の森（徳島県那賀郡那賀町）] 徳島県立青少年の森 （とくしまけんりつせいしょうねんのもり）は、 徳島県 那賀郡 那賀町 に位置する 森林公園 。 森林浴の森100選 選定。全面積62ha。","https://ja.wikipedia.org/wiki/徳島県立青少年の森","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","","日本徳島県那賀郡那賀町和食郷南川590-1","","","","62ha","あり","森林公園","","","","","","","","","","","",""
"大川原生活環境保全林","[大川原生活環境保全林（徳島県名東郡佐那河内村、勝浦郡上勝町）] 大川原高原 （おおかわらこうげん）は、 徳島県 名東郡 佐那河内村 上大川原に位置する 高原 である。面積120ha。 四国八十八景 、 とくしま88景 に選定。","https://ja.wikipedia.org/wiki/大川原生活環境保全林","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"紫雲出山","[紫雲出山頂園地（香川県三豊市）] 紫雲出山 （しうでやま/しうんでやま）は、 香川県 三豊市 にある山で、 瀬戸内海 に突き出た 荘内半島 内に位置する。 瀬戸内海国立公園 内にある。標高352メートルで、 山頂 の展望台からは東に 備讃瀬戸 や 瀬戸大橋 、 水島臨海工業地帯 、西に 燧灘 、南に 四国山系 、北は 福山市 や 笠岡市 の 笠岡諸島 などの 山陽路 と、360度見渡せる展望が広がっている。紫雲出山は頂上付近を除き、ほとんどを 花崗岩 で形成されている。山頂一帯に 弥生時代 中期の 高地性集落 の遺跡群があり、遺跡館が併設されている。山頂に至るドライブウェイのふもとには、 竜宮城 を模した公衆トイレが設置されている。 1986年 には 林野庁 などによる 森林浴の森100選 に、 2004年 には 香川のみどり百選 に選定されている。","https://ja.wikipedia.org/wiki/紫雲出山","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","北緯34度14分41秒東経133度35分44秒","香川県（三豊市）","北緯34度14分41秒東経133度35分44秒﻿ / ﻿北緯34.24472度 東経133.59556度﻿ /34.24472; 133.59556座標:北緯34度14分41秒東経133度35分44秒﻿ / ﻿北緯34.24472度 東経133.59556度﻿ /34.24472; 133.59556","352.14m","七宝山系","","","","","","","","","","","","","","",""
"石清尾山塊","[石清尾山塊（香川県高松市）] 石清尾山塊 （いわせおさんかい）は、 香川県 高松市 の 高松平野 北西部に位置し高松市街地に面した 山塊 である。","https://ja.wikipedia.org/wiki/石清尾山塊","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","北緯34度20分17.6433秒東経134度01分22.0249秒","日本香川県高松市","北緯34度20分17.6433秒東経134度01分22.0249秒﻿ / ﻿北緯34.338234250度 東経134.022784694度﻿ /34.338234250; 134.022784694座標:北緯34度20分17.6433秒東経134度01分22.0249秒﻿ / ﻿北緯34.338234250度 東経134.022784694度﻿ /34.338234250; 134.022784694","232.4（石清尾山）m","独立峰（山塊）","","","","","","","","","","","","","","",""
"滝沢寺緑地公園 (存在しないページ)","[滝沢寺緑地公園（愛媛県西予市）]","https://ja.wikipedia.org/w/index.php?title=滝沢寺緑地公園&amp;action=edit&amp;redlink=1","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"諏訪崎 (存在しないページ)","[諏訪崎自然休養林 （愛媛県八幡浜市）]","https://ja.wikipedia.org/w/index.php?title=諏訪崎&amp;action=edit&amp;redlink=1","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"足摺岬","[足摺岬自然休養林 （高知県土佐清水市、幡多郡大月町）] 足摺岬 （あしずりみさき）は、 高知県 南西部 土佐清水市 に属し、 太平洋 （ フィリピン海 ）に突き出る足摺半島の先端の 岬 。 足摺宇和海国立公園 に指定されている。","https://ja.wikipedia.org/wiki/足摺岬","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"天狗高原","[天狗高原自然休養村 （高知県高岡郡津野町）] 天狗高原 （てんぐこうげん）は、 高知県 高岡郡 津野町 にある標高1000～1400メートルの 高原 である  。","https://ja.wikipedia.org/wiki/天狗高原","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","北緯33度28分28.75秒東経132度59分40.38秒","愛媛県上浮穴郡久万高原町・高知県高岡郡津野町・吾川郡仁淀川町","北緯33度28分28.75秒東経132度59分40.38秒﻿ / ﻿北緯33.4746528度 東経132.9945500度﻿ /33.4746528; 132.9945500","1,485.0m","四国山地","","","","","","","","","","","","","","",""
"英彦山","[英彦山（福岡県田川郡添田町）] 英彦山 （ひこさん）は、 福岡県 田川郡 添田町 と 大分県 中津市 山国町 にまたがる 標高 1,199mの 山 である   。 耶馬日田英彦山国定公園 の一部をなす。 日本百景 ・ 日本二百名山 の一つ。また、 弥彦山 （ 新潟県 ）・ 雪彦山 （ 兵庫県 ）とともに 日本三彦山 に数えられる。国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/英彦山","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","北緯33度28分34秒東経130度55分34秒","日本大分県中津市福岡県田川郡添田町","北緯33度28分34秒東経130度55分34秒﻿ / ﻿北緯33.47611度 東経130.92611度﻿ /33.47611; 130.92611座標:北緯33度28分34秒東経130度55分34秒﻿ / ﻿北緯33.47611度 東経130.92611度﻿ /33.47611; 130.92611","1,199m","筑紫山地","","","","","","","","","","","","","","",""
"足立公園 (存在しないページ)","[足立公園（福岡県北九州市）]","https://ja.wikipedia.org/w/index.php?title=足立公園&amp;action=edit&amp;redlink=1","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"虹の松原","[虹の松原（佐賀県唐津市）] 虹の松原 （にじのまつばら）は、 佐賀県 唐津市 の 唐津湾 沿岸に広がる 松原 。","https://ja.wikipedia.org/wiki/虹の松原","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"猪掘の滝 (存在しないページ)","[猪掘の滝（佐賀県唐津市）]","https://ja.wikipedia.org/w/index.php?title=猪掘の滝&amp;action=edit&amp;redlink=1","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"上山公園","[上山公園（長崎県諫早市）] 上山公園 （じょうやまこうえん）は、 長崎県 諫早市 に所在する 諫早城 本丸跡を整備した 諫早公園 を含む面積120.3ヘクタールの 都市公園 である。 日本の歴史公園100選 、 日本の都市公園100選 、 森林浴の森100選 に選ばれている。","https://ja.wikipedia.org/wiki/上山公園","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"雲仙あざみ谷 (存在しないページ)","[雲仙あざみ谷（長崎県雲仙市）]","https://ja.wikipedia.org/w/index.php?title=雲仙あざみ谷&amp;action=edit&amp;redlink=1","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"くまもと自然休養林 (存在しないページ)","[くまもと自然休養林菊池渓谷（熊本県菊池市）]","https://ja.wikipedia.org/w/index.php?title=くまもと自然休養林&amp;action=edit&amp;redlink=1","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"端海野森林公園 (存在しないページ)","[端海野森林公園（熊本県球磨郡五木村）]","https://ja.wikipedia.org/w/index.php?title=端海野森林公園&amp;action=edit&amp;redlink=1","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"国東半島","[国東半島両子山遊歩道（大分県国東市）] 国東半島 （くにさきはんとう）は、 大分県 の北東部に位置する 半島 である。","https://ja.wikipedia.org/wiki/国東半島","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"祖母山","[祖母山麓川上渓谷（大分県豊後大野市）] 祖母山 （そぼさん）は、 大分県 と 宮崎県 の県境にある 標高 1,756mの山。九州山地の中核をなし祖母傾山系に属する  。宮崎県の最高峰  で 日本百名山 に選定されている。","https://ja.wikipedia.org/wiki/祖母山","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","北緯32度49分41秒東経131度20分49秒","日本大分県豊後大野市・竹田市宮崎県西臼杵郡高千穂町","北緯32度49分41秒東経131度20分49秒﻿ / ﻿北緯32.82806度 東経131.34694度﻿ /32.82806; 131.34694","1,756.36m","九州山地、祖母山系","","","","","","","","","","","","","","",""
"えびの高原","[えびの高原池めぐりの森（宮崎県えびの市）] えびの高原 （えびのこうげん）は、 九州 南部に連なる 霧島山 の 韓国岳 、蝦野岳、 白鳥山 、 甑岳 に囲まれた盆地状の 高原 である。","https://ja.wikipedia.org/wiki/えびの高原","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"九州中央山地国定公園","[九州中央山地国定公園綾地区 （宮崎県東諸県郡綾町）] 九州中央山地国定公園 （きゅうしゅうちゅうおうさんちこくていこうえん）は、 熊本県 と 宮崎県 にまたがる九州脊梁部の森林山岳と渓谷を主とする 国定公園 。指定は他の国定公園と比較すると新しく、 1982年 5月15日 である。","https://ja.wikipedia.org/wiki/九州中央山地国定公園","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","","","","","","27,096ha","","","","","","","","","","","","","",""
"十曾渓谷 (存在しないページ)","[十曾渓谷（鹿児島県大口市）]","https://ja.wikipedia.org/w/index.php?title=十曾渓谷&amp;action=edit&amp;redlink=1","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"屋久杉","[屋久杉林（鹿児島県熊毛郡屋久島町）] 屋久杉 （やくすぎ）は、 屋久島 の標高500メートル以上の山地に自生する スギ 。狭義には、このうち 樹齢 1000年以上のものを指し、樹齢1000年未満のものは「小杉（こすぎ）」と呼ぶ  。また屋久島で植林された杉を「地杉（じすぎ）」と呼ぶが、樹齢100年以内の小杉を指す語としても用いられる。こう使い分けて呼ぶのは主に地元で、昔から生活に密着した材料だったためである。工芸品でも有名とされる。","https://ja.wikipedia.org/wiki/屋久杉","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"沖縄県立少年自然の家の森 (存在しないページ)","[沖縄県立少年自然の家の森（沖縄県石川市）]","https://ja.wikipedia.org/w/index.php?title=沖縄県立少年自然の家の森&amp;action=edit&amp;redlink=1","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"西表島","[西表自然休養林 （沖縄県竹富町）] 西表島 （いりおもてじま）は、 沖縄県 八重山郡 竹富町 に属する 八重山列島 の 島 である。同列島で最大の面積を持つ。人口は2,379人  （2021年3月末現在  ）である。","https://ja.wikipedia.org/wiki/西表島","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","北緯24度17分33秒東経123度51分43秒","日本（沖縄県八重山郡竹富町）","","","","289.61km²","","","","","","","","","","","","","東シナ海","469.5m"
