"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","面積","分類","設備・遊具","駐車場","告示","運営者","公式サイト","アクセス","事務所","バリアフリー","事務所所在地","開園","備考","前身","設計者","現況","年来園者数","正式名称"
"北海道立真駒内公園","[北海道立真駒内公園] 北海道立真駒内公園 （ほっかいどうりつまこまないこうえん）は、 札幌市 南区 にある 公園 。","https://ja.wikipedia.org/wiki/北海道立真駒内公園","Category:札幌市の公園","https://ja.wikipedia.org/wiki/Category:札幌市の公園","箇条書き,制限あり","北緯43度00分04秒東経141度20分47秒","日本札幌市南区真駒内公園","84.7ヘクタール","広域公園","アリーナ、競技場、科学館、広場、森林","","都市計画決定：昭和41年8月25日建設省告示第2924号","北海道体育文化協会（指定管理者）","北海道立真駒内公園","じょうてつバス「上町1丁目」「真駒内競技場前」「真駒内本町」「曙町」バス停下車札幌市営地下鉄南北線真駒内駅から真駒内セキスイハイムアイスアリーナまで徒歩約25分、真駒内公園事務所まで徒歩約30分","北海道立真駒内公園事務所（真駒内セキスイハイムアリーナ内）","","札幌市南区真駒内公園3番1号","1975年8月1日","広域避難場所","","","","",""
"前田森林公園","[前田森林公園] 前田森林公園 （まえだしんりんこうえん）は、 北海道 札幌市 手稲区 にある 公園 。","https://ja.wikipedia.org/wiki/前田森林公園","Category:札幌市の公園","https://ja.wikipedia.org/wiki/Category:札幌市の公園","箇条書き,制限あり","北緯43度08分45秒東経141度15分25秒","日本北海道札幌市手稲区手稲前田","59.7ヘクタール","総合公園","運河、壁泉、噴水、花壇、パーゴラ、ビオトープ、広場、野球場、球技場、ゲートボール場、パークゴルフ場、バーベキュー広場、ラウンジ、森林","北側（新川側・東側）479台南側573台","都市計画決定：昭和49年2月12日北海道告示第325号","札幌市公園緑化協会（指定管理者）","前田森林公園","北海道中央バス（新川・石狩営業所）「前田森林公園入口」バス停下車 徒歩1分、「南2線」バス停下車 徒歩15～20分ジェイ・アール北海道バス札樽線「前田中央通西」バス停下車 徒歩10分","前田森林公園管理事務所","ユニバーサルトイレ4ヵ所、身障者対応型水飲み台2ヵ所、車いす3台、スロープ3ヵ所エレベーター（展望ラウンジ）","札幌市手稲区手稲前田591番地4外","1987年8月1日2006年（南側拡張）","広域避難場所","","","","",""
"円山公園 (札幌市)","[円山公園 (札幌市)] 円山公園 （まるやまこうえん）は、 札幌市 中央区 にある 公園 。","https://ja.wikipedia.org/wiki/円山公園_(札幌市)","Category:札幌市の公園","https://ja.wikipedia.org/wiki/Category:札幌市の公園","箇条書き,制限あり","北緯43度03分03秒東経141度18分35秒","日本札幌市中央区円山、宮の森、宮ケ丘、北1条西28丁目、宮の森1条13・14丁目、宮の森2条14丁目、円山西町8丁目","68.8ヘクタール","総合公園","森林、広場、園路、陸上競技場、テニスコート、野球場、動物園、池","札幌市円山公園駐車場","都市計画決定：昭和49年2月12日北海道告示第325号","札幌市公園緑化協会（公園）さっぽろ健康スポーツ財団（運動施設）札幌振興公社（駐車場）","円山公園","札幌市営地下鉄東西線円山公園駅下車 徒歩5分ジェイ・アール北海道バス（琴似営業所）、札幌ばんけい（一部除く）「動物園前」「総合グラウンド前」「円山西町2丁目」「神宮前」「宮の森1条10丁目」バス停下車","円山公園管理事務所","","札幌市中央区宮ヶ丘3丁目","","広域避難場所","円山養樹園","","","",""
"美香保公園","[美香保公園] 美香保公園 （みかほこうえん）は、 北海道 札幌市 東区 北20 - 22条 東4 - 5丁目 にかけて所在する地区 公園 。","https://ja.wikipedia.org/wiki/美香保公園","Category:札幌市の公園","https://ja.wikipedia.org/wiki/Category:札幌市の公園","箇条書き,制限あり","北緯43度5分17.4秒東経141度21分25.1秒","日本札幌市東区北20 - 22条 東4 - 5丁目","82942m2","地区公園","札幌市美香保体育館、野球場（3面）、硬式テニスコート（2面）、軟式テニスコート（2面）、ブランコ、すべり台、鉄棒ほか","3か所（90台）","1957年（昭和32年）3月22日","札幌市スポーツ部・東区土木部","","","伏古公園管理事務所","身障者対応トイレ（3か所）、車椅子用水飲台","","","","","","年中開放","",""
"宮丘公園","[宮丘公園] 宮丘公園 （みやおかこうえん）は、 札幌市 西区 にある 公園 。","https://ja.wikipedia.org/wiki/宮丘公園","Category:札幌市の公園","https://ja.wikipedia.org/wiki/Category:札幌市の公園","箇条書き,制限あり","北緯43度04分58秒東経141度15分58秒","日本札幌市西区西野","32.8ヘクタール","特殊公園（風致公園）","遊歩道、遊具、広場、パークゴルフ場、四阿、展望台、野球場","75台（夜間及び冬季閉鎖）","都市計画決定：昭和47年5月17日北海道告示第1603号","五天山・宮丘パークマネージメントグループ（指定管理者）","五天山・宮丘公園","ジェイ・アール北海道バス札樽線「宮の沢3条3丁目」バス停下車 徒歩10分","","身障者対応トイレ、車椅子用水飲台","","","広域避難場所","","","","",""
"藻岩下公園","[藻岩下公園] 藻岩下公園 （もいわしたこうえん）は、 北海道 札幌市 南区 南30条西8丁目3にある 公園 。 ミュンヘン大橋 のたもとに位置する  。","https://ja.wikipedia.org/wiki/藻岩下公園","Category:札幌市の公園","https://ja.wikipedia.org/wiki/Category:札幌市の公園","箇条書き,制限あり","北緯43度01分5.6秒東経141度21分4.7秒","日本北海道札幌市南区南30条西8丁目3","15272m2","近隣公園","遊水路、少年野球場、芝生広場","なし","","","北海道公式サイト - バリアフリーマップ 一緒に北海道 藻岩下公園","","","","","","","","","","",""
"モエレ沼公園","[モエレ沼公園] モエレ沼公園 （モエレぬまこうえん）は、 札幌市 東区 にある 公園 。","https://ja.wikipedia.org/wiki/モエレ沼公園","Category:札幌市の公園","https://ja.wikipedia.org/wiki/Category:札幌市の公園","箇条書き,制限あり","北緯43度07分21秒東経141度25分52秒","日本札幌市東区モエレ沼公園、中沼町","約188.8ヘクタール","総合公園","ギャラリー、レストラン、噴水、遊具、山、池、舞台、広場、テニスコート、野球場、陸上競技場","P1（東側）一般車1200台、バス専用12台P2（中央）一般車100台※通年開放P3（南側）一般車100台P4（西側）一般車100台臨時駐車場400台","都市計画決定：昭和57年5月13日北海道告示第981号","札幌市公園緑化協会","モエレ沼公園－イサム・ノグチ設計 | 公式サイト","","モエレ沼公園管理事務所","障がい者専用駐車場、車いす用トイレ、車いす・ベビーカーレンタル","札幌市東区モエレ沼公園1-1","1998年7月5日（開園式）2005年7月1日（グランドオープン）","モイレHIDAMARI（ボランティア）","","イサム・ノグチ（基本計画）イサム・ノグチ財団、ショージ・サダオ（監修）アーキテクト・ファイブ（設計統括）","","",""
"藻南公園","[藻南公園] 藻南公園 （もなみこうえん）は、 札幌市 南区 にある 公園 。","https://ja.wikipedia.org/wiki/藻南公園","Category:札幌市の公園","https://ja.wikipedia.org/wiki/Category:札幌市の公園","箇条書き,制限あり","北緯42度59分01秒東経141度20分30秒","日本札幌市南区川沿・真駒内柏丘","30.5ヘクタール","総合公園","広場、遊具、野球場、テニスコート、パークゴルフ場、パーゴラ、花壇、四阿、展望台、遊歩道","計126台（川沿駐車場78台、柏丘駐車場48台）","都市計画決定：昭和39年6月25日北海道告示第1597号","藻南・石山・常盤・さくらの森グループ（指定管理者）","藻南公園〜施設案内","じょうてつバス、北海道中央バス（西岡営業所）、道南バス「藻南公園前」バス停下車 徒歩1分","藻南公園管理事務所（指定管理者：横浜植木北海道支店）","身障者対応トイレ、車椅子用水飲台","札幌市南区川沿10条1丁目2-58","1949年","","","","","",""
"山鼻日の出公園","[山鼻日の出公園] 山鼻日の出公園 （やまはなひのでこうえん）は、 北海道 札幌市 中央区 南29条西11丁目に所在する公園。","https://ja.wikipedia.org/wiki/山鼻日の出公園","Category:札幌市の公園","https://ja.wikipedia.org/wiki/Category:札幌市の公園","箇条書き,制限あり","北緯43度01分18.2秒東経141度20分44.2秒","日本北海道札幌市中央区南29条西11丁目","826m2","街区公園","ブランコ、砂場、コンビネーション遊具、ターザンロープ","なし","","","","","","","","","","","","","",""
"百合が原公園","[百合が原公園] 百合が原公園 （ゆりがはらこうえん）は、 札幌市 北区 にある 公園 ・ 地名 。公園内の一部は 東区 となっている。","https://ja.wikipedia.org/wiki/百合が原公園","Category:札幌市の公園","https://ja.wikipedia.org/wiki/Category:札幌市の公園","箇条書き,制限あり","北緯43度07分44秒東経141度21分53秒","日本札幌市北区百合が原公園・百合が原2、11丁目","25.4ヘクタール","総合公園","温室、庭園、植物園、花壇、ガーデニング、列車、レストラン、売店、パークゴルフ場、ゲートボール場","P1普通車100台（冬季閉鎖）P2普通車138台、車いす専用レーン5台、バス専用レーン7台東駐車場普通車38台（冬季閉鎖）","都市計画決定：昭和47年5月17日北海道告示第1603号","札幌市公園緑化協会（指定管理者）","百合が原公園 公式サイト","北海道旅客鉄道（JR北海道）札沼線（学園都市線）百合が原駅から温室まで徒歩約7分～10分北海道中央バス（札幌北営業所）「百合が原公園前」バス停下車 温室まで徒歩約2分北海道中央バス（石狩営業所）「百合が原公園東口」バス停下車 温室まで徒歩約5分札幌市営地下鉄東豊線栄町駅から車で約10分JR札幌駅・地下鉄さっぽろ駅から車で約30分～40分","百合が原公園管理事務所","","札幌市北区百合が原公園210番地","1983年","百合が原緑のセンター温室、世界の庭園、リリートレインは有料広域避難場所","","","","",""
"若草公園 (札幌市)","[若草公園 (札幌市)] 若草公園 （わかくさこうえん）は、 北海道 札幌市 北区 北25条西7丁目に所在する公園。","https://ja.wikipedia.org/wiki/若草公園_(札幌市)","Category:札幌市の公園","https://ja.wikipedia.org/wiki/Category:札幌市の公園","箇条書き,制限あり","北緯43度05分30秒東経141度20分19.4秒","日本北海道札幌市北区北25条西7丁目","6309m2","街区公園","砂場、ブランコ、コンビネーション遊具、人工石のすべり台","なし","","","","","","","","","","","","","",""
