"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","ホーム","所在地","備考","乗車人員,-統計年度-","電報略号","駅番号","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","種類","本社所在地","設立","業種","法人番号"
"溝の口駅","溝の口駅（みぞのくちえき）","https://ja.wikipedia.org/wiki/溝の口駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯35度36分0秒東経139度36分38秒","■田園都市線","11.4 km（渋谷起点）","東急電鉄","高架駅","1927年（昭和2年）7月15日[1]","2面4線","川崎市高津区溝口二丁目1番1号北緯35度36分0秒東経139度36分38秒﻿ / ﻿北緯35.60000度 東経139.61056度﻿ /35.60000; 139.61056座標:北緯35度36分0秒東経139度36分38秒﻿ / ﻿北緯35.60000度 東経139.61056度﻿ /35.60000; 139.61056","東急電鉄直営駅","","","DT10","（田園都市線）155,777人/日（大井町線）57,731人/日（合計）213,508人/日-2019年-","武蔵溝ノ口駅（JR南武線）","","","","","",""
"美薗中央公園駅","美薗中央公園駅（みそのちゅうおうこうえんえき）","https://ja.wikipedia.org/wiki/美薗中央公園駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯34度47分52.25秒東経137度47分22.24秒","鉄道線","12.0 km（新浜松駅起点）","遠州鉄道","地上駅","1951年（昭和26年）4月1日","1面1線","浜松市浜北区貴布祢487-3北緯34度47分52.25秒東経137度47分22.24秒﻿ / ﻿北緯34.7978472度 東経137.7895111度﻿ /34.7978472; 137.7895111座標:北緯34度47分52.25秒東経137度47分22.24秒﻿ / ﻿北緯34.7978472度 東経137.7895111度﻿ /34.7978472; 137.7895111","* 1951年北浜駅→1977年北浜中学校前駅→2007年美薗中央公園駅** 1日当たりの乗車人員は、年間の乗車人員を日数で除することにより算出した。","1,076人/日（降車客含まず）-2019年-",""," 14 ","2,128人/日-2019年-","","","","","","",""
"三田駅 (東京都)","三田駅 (東京都)（みたえき・都営地下鉄浅草線・三田線）","https://ja.wikipedia.org/wiki/三田駅_(東京都)","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","","●[1]浅草線","8.0 km（西馬込起点）","東京都交通局（都営地下鉄）","地下駅","1968年（昭和43年）6月21日","1面2線（浅草線）2面2線（三田線、2層式）","","","","三（駅名略称）","A08[1]","（浅草線）114,102人/日（三田線）111,202人/日（合計）225,304人/日-2019年-","田町駅[2]（JR山手線・JR京浜東北線）","","","","","",""
"箕田駅","箕田駅（みだえき）","https://ja.wikipedia.org/wiki/箕田駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯34度52分47.92秒東経136度37分19.68秒","E名古屋線","31.8 km（伊勢中川起点）","近畿日本鉄道（近鉄）","地上駅","1917年（大正6年）12月22日","2面2線","三重県鈴鹿市南堀江一丁目18-10北緯34度52分47.92秒東経136度37分19.68秒﻿ / ﻿北緯34.8799778度 東経136.6221333度﻿ /34.8799778; 136.6221333座標:北緯34度52分47.92秒東経136度37分19.68秒﻿ / ﻿北緯34.8799778度 東経136.6221333度﻿ /34.8799778; 136.6221333","無人駅（自動券売機有）","494人/日（降車客含まず）-2019年-","ミタ"," E28 ","","","","","","","",""
"三代橋駅","三代橋駅（みだいばしえき）","https://ja.wikipedia.org/wiki/三代橋駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯33度11分20.98秒東経129度51分56.27秒","■西九州線","1.7 km（有田起点）","松浦鉄道","地上駅","1989年（平成元年）3月11日","1面1線","佐賀県西松浦郡有田町南原北緯33度11分20.98秒東経129度51分56.27秒","","53人/日（降車客含まず）-2017年-","","","98人/日-2017年-","","","","","","",""
"三鷹駅","三鷹駅（みたかえき）","https://ja.wikipedia.org/wiki/三鷹駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯35度42分9.7秒東経139度33分39秒","■中央線（快速）（正式には中央本線）","13.8 km（新宿起点）東京から24.1 km","東日本旅客鉄道（JR東日本）","地上駅（橋上駅）","1930年（昭和5年）6月25日","3面6線","東京都三鷹市下連雀三丁目46-1*北緯35度42分9.7秒東経139度33分39秒﻿ / ﻿北緯35.702694度 東経139.56083度﻿ /35.702694; 139.56083座標:北緯35度42分9.7秒東経139度33分39秒﻿ / ﻿北緯35.702694度 東経139.56083度﻿ /35.702694; 139.56083","直営駅（管理駅）みどりの窓口有","98,796人/日（降車客含まず）-2019年-","ミツ","JC12","","","","","","","",""
"三鷹台駅","三鷹台駅（みたかだいえき）","https://ja.wikipedia.org/wiki/三鷹台駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯35度41分32秒東経139度35分20秒","■井の頭線","11.2 km（渋谷起点）","京王電鉄","地上駅（橋上駅）","1933年（昭和8年）8月1日","2面2線","東京都三鷹市井の頭一丁目32番1号北緯35度41分32秒東経139度35分20秒﻿ / ﻿北緯35.69222度 東経139.58889度﻿ /35.69222; 139.58889﻿ (三鷹台駅)座標:北緯35度41分32秒東経139度35分20秒﻿ / ﻿北緯35.69222度 東経139.58889度﻿ /35.69222; 139.58889﻿ (三鷹台駅)","","","","IN15","22,072人/日-2019年-","","","","","","",""
"三滝駅","三滝駅（みたきえき）","https://ja.wikipedia.org/wiki/三滝駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯34度25分1.84秒東経132度26分50.29秒","B可部線","1.1km（横川起点）広島から4.1 km","西日本旅客鉄道（JR西日本）","地上駅","1930年（昭和5年）10月頃","1面2線","広島市西区三滝本町二丁目6-25北緯34度25分1.84秒東経132度26分50.29秒﻿ / ﻿北緯34.4171778度 東経132.4473028度﻿ /34.4171778; 132.4473028座標:北緯34度25分1.84秒東経132度26分50.29秒﻿ / ﻿北緯34.4171778度 東経132.4473028度﻿ /34.4171778; 132.4473028","無人駅（自動券売機 有）広島市内駅*1936年に大芝公園口駅から改称。","532人/日（降車客含まず）-2019年-","タキ","JR-B04","","","","","","","",""
"御嶽駅","御嶽駅（みたけえき・東日本旅客鉄道青梅線）","https://ja.wikipedia.org/wiki/御嶽駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯35度48分5.2秒東経139度10分58.4秒","■青梅線（東京アドベンチャーライン）","27.2 km（立川起点）","東日本旅客鉄道（JR東日本）","地上駅","1929年（昭和4年）9月1日[2]","1面2線[1]","東京都青梅市御岳本町310北緯35度48分5.2秒東経139度10分58.4秒﻿ / ﻿北緯35.801444度 東経139.182889度﻿ /35.801444; 139.182889座標:北緯35度48分5.2秒東経139度10分58.4秒﻿ / ﻿北緯35.801444度 東経139.182889度﻿ /35.801444; 139.182889","無人駅（自動券売機 有）","683人/日（降車客含まず）-2014年-","ミケ","JC69","","","","","","","",""
"御嵩駅","御嵩駅（みたけえき・名鉄広見線）","https://ja.wikipedia.org/wiki/御嵩駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯35度25分47秒東経137度7分40.7秒","広見線","22.3 km（犬山起点）","名古屋鉄道","地上駅","1952年（昭和27年）4月1日","1面1線","岐阜県可児郡御嵩町中2302-2北緯35度25分47秒東経137度7分40.7秒﻿ / ﻿北緯35.42972度 東経137.127972度﻿ /35.42972; 137.127972座標:北緯35度25分47秒東経137度7分40.7秒﻿ / ﻿北緯35.42972度 東経137.127972度﻿ /35.42972; 137.127972","無人駅駅集中管理システム非導入","","","HM  10 ","1,281人/日-2019年[1]-","","","","","","",""
"御嵩口駅","御嵩口駅（みたけぐちえき）","https://ja.wikipedia.org/wiki/御嵩口駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯35度25分53.1秒東経137度7分18.2秒","広見線","21.7 km（犬山起点）","名古屋鉄道","地上駅","1920年8月21日","1面1線","岐阜県可児郡御嵩町中473北緯35度25分53.1秒東経137度7分18.2秒﻿ / ﻿北緯35.431417度 東経137.121722度﻿ /35.431417; 137.121722座標:北緯35度25分53.1秒東経137度7分18.2秒﻿ / ﻿北緯35.431417度 東経137.121722度﻿ /35.431417; 137.121722","無人駅駅集中管理システム非導入","","","HM  09 ","265人/日-2019年[1]-","","","","","","",""
"御岳山駅","御岳山駅（みたけさんえき）","https://ja.wikipedia.org/wiki/御岳山駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","","","","","","","","","","","","","","","","株式会社","日本〒198-0174東京都青梅市御岳2丁目483番地","1927年11月20日","陸運業","9013101004059"
"御岳平駅","御岳平駅（みたけだいらえき）","https://ja.wikipedia.org/wiki/御岳平駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","","","","","","","","","","","","","","","","株式会社","日本〒198-0174東京都青梅市御岳2丁目483番地","1927年11月20日","陸運業","9013101004059"
"御岳堂駅","御岳堂駅（みたけどうえき）","https://ja.wikipedia.org/wiki/御岳堂駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯38度36分20.52秒東経141度15分53.22秒","■気仙沼線","13.6 km（前谷地起点）小牛田から26.4 km","東日本旅客鉄道（JR東日本）","地上駅","1968年（昭和43年）10月24日","1面1線","宮城県登米市豊里町大沢沼田北緯38度36分20.52秒東経141度15分53.22秒座標:北緯38度36分20.52秒 東経141度15分53.22秒","無人駅","","ミタ","","","","","","","","",""
"美田園駅","美田園駅（みたぞのえき）","https://ja.wikipedia.org/wiki/美田園駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯38度9分34.95秒東経140度55分1.98秒","仙台空港線（仙台空港アクセス線）","仙台空港線 - 3.8 km （名取起点）仙台空港アクセス線 -仙台から14.2 km","仙台空港鉄道","高架駅","2007年（平成19年）3月18日","1面2線","宮城県名取市美田園5丁目29（旧・下増田字大橋本）北緯38度9分34.95秒東経140度55分1.98秒﻿ / ﻿北緯38.1597083度 東経140.9172167度﻿ /38.1597083; 140.9172167座標:北緯38度9分34.95秒東経140度55分1.98秒﻿ / ﻿北緯38.1597083度 東経140.9172167度﻿ /38.1597083; 140.9172167","","","ミタ","","1,521人/日-2019年-","","","","","","",""
"三谷駅 (岡山県)","三谷駅 (岡山県)（みたにえき・井原鉄道井原線）","https://ja.wikipedia.org/wiki/三谷駅_(岡山県)","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯34度36分58.90秒東経133度37分10.71秒","井原線","15.1 km（総社起点）","井原鉄道","高架駅[1]","1999年（平成11年）1月11日[1]","2面2線[1]","岡山県小田郡矢掛町東三成北緯34度36分58.90秒東経133度37分10.71秒","無人駅[1]","","ミニ","","65人/日-2018年-","","","","","","",""
"三谷駅 (山口県)","三谷駅 (山口県)（みたにえき・西日本旅客鉄道山口線）","https://ja.wikipedia.org/wiki/三谷駅_(山口県)","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯34度20分30.34秒東経131度37分28.16秒","■山口線","38.6 km（新山口起点）","西日本旅客鉄道（JR西日本）","地上駅","1918年（大正7年）4月28日","1面2線","山口県山口市阿東生雲東分字三谷北緯34度20分30.34秒東経131度37分28.16秒﻿ / ﻿北緯34.3417611度 東経131.6244889度﻿ /34.3417611; 131.6244889座標:北緯34度20分30.34秒東経131度37分28.16秒﻿ / ﻿北緯34.3417611度 東経131.6244889度﻿ /34.3417611; 131.6244889","簡易委託駅（駅舎外発券）","25人/日（降車客含まず）-2019年-","ミニ","","","","","","","","",""
"美談駅","美談駅（みだみえき）","https://ja.wikipedia.org/wiki/美談駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯35度24分45.48秒東経132度47分53.55秒","北松江線","7.7 km（電鉄出雲市起点）","一畑電車","地上駅","1952年（昭和27年）1月15日","1面1線","島根県出雲市美談町北緯35度24分45.48秒東経132度47分53.55秒座標:北緯35度24分45.48秒 東経132度47分53.55秒","無人駅","26人/日（降車客含まず）-2018年-","","7","46人/日-2018年-","","","","","","",""
"乱川駅","乱川駅（みだれがわえき）","https://ja.wikipedia.org/wiki/乱川駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯38度23分13.82秒東経140度22分29.51秒","■奥羽本線（山形線）","103.4 km（福島起点）","東日本旅客鉄道（JR東日本）","地上駅","1954年（昭和29年）12月1日","1面1線","山形県天童市大字乱川北緯38度23分13.82秒東経140度22分29.51秒座標:北緯38度23分13.82秒 東経140度22分29.51秒","無人駅","189人/日（降車客含まず）-2004年-","ミレ","","","","","","","","",""
"道川駅","道川駅（みちかわえき）","https://ja.wikipedia.org/wiki/道川駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","","■羽越本線","251.8 km（新津起点）","東日本旅客鉄道（JR東日本）","地上駅","1920年（大正9年）2月22日","2面3線","","無人駅[1]（自動券売機 有）","","ミカ","","","","","","","","",""
"道上駅","道上駅（みちのうええき）","https://ja.wikipedia.org/wiki/道上駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯34度33分12.46秒東経133度21分41.82秒","Z福塩線","11.3 km（福山起点）","西日本旅客鉄道（JR西日本）","地上駅","1914年（大正3年）7月21日","1面1線","広島県福山市神辺町字道上754-5北緯34度33分12.46秒東経133度21分41.82秒﻿ / ﻿北緯34.5534611度 東経133.3616167度﻿ /34.5534611; 133.3616167﻿ (道上駅)","無人駅（自動券売機 有）","682人/日（降車客含まず）-2018年-","チウ","","","","","","","","",""
"道ノ尾駅","道ノ尾駅（みちのおえき）","https://ja.wikipedia.org/wiki/道ノ尾駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯32度48分15.83秒東経129度51分10.24秒","長崎本線（長与支線）","18.9[1] km（喜々津起点）","九州旅客鉄道（JR九州）","地上駅","1897年（明治30年）7月22日[1]","1面1線","長崎県長崎市葉山一丁目372[1]北緯32度48分15.83秒東経129度51分10.24秒﻿ / ﻿北緯32.8043972度 東経129.8528444度﻿ /32.8043972; 129.8528444﻿ (道ノ尾駅)","業務委託駅","1,132人/日（降車客含まず）-2019年-","ミチ","","","","","","","","",""
"三津駅","三津駅（みつえき）","https://ja.wikipedia.org/wiki/三津駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯33度51分49.65秒東経132度43分10.93秒","高浜線","3.0 km（高浜起点）","伊予鉄道","地上駅","1888年（明治21年）10月28日","","愛媛県松山市三杉町北緯33度51分49.65秒東経132度43分10.93秒﻿ / ﻿北緯33.8637917度 東経132.7197028度﻿ /33.8637917; 132.7197028﻿ (三津駅)","","","","●IY04","2,007[1]人/日-2019年-","","","","","","",""
"三石駅","三石駅（みついしえき・西日本旅客鉄道山陽本線）","https://ja.wikipedia.org/wiki/三石駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯34度48分16.30秒東経134度16分31.53秒","S山陽本線","102.4 km（神戸起点）","西日本旅客鉄道（JR西日本）","地上駅（盛土上）","1890年（明治23年）12月1日","1面2線","岡山県備前市三石3168北緯34度48分16.30秒東経134度16分31.53秒﻿ / ﻿北緯34.8045278度 東経134.2754250度﻿ /34.8045278; 134.2754250座標:北緯34度48分16.30秒東経134度16分31.53秒﻿ / ﻿北緯34.8045278度 東経134.2754250度﻿ /34.8045278; 134.2754250","無人駅（自動券売機 有）","174人/日（降車客含まず）-2019年-","ミイ","JR-S11","","","","","","","",""
"三ツ石駅","三ツ石駅（みついしえき・熊本電気鉄道菊池線）","https://ja.wikipedia.org/wiki/三ツ石駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯32度51分51秒東経130度44分18秒","■菊池線","8.2km（上熊本起点）藤崎宮前から7.1 km","熊本電気鉄道","地上駅（一部橋梁上駅）","2001年（平成13年）2月25日","1面1線","熊本県合志市須屋字峠1816-4北緯32度51分51秒東経130度44分18秒﻿ / ﻿北緯32.86417度 東経130.73833度﻿ /32.86417; 130.73833座標:北緯32度51分51秒東経130度44分18秒﻿ / ﻿北緯32.86417度 東経130.73833度﻿ /32.86417; 130.73833","無人駅","","","KD15","292人/日-2018年-","","","","","","",""
"三岡駅","三岡駅（みつおかえき）","https://ja.wikipedia.org/wiki/三岡駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯36度18分14.57秒東経138度26分54.63秒","小海線","75.3 km（小淵沢起点）","東日本旅客鉄道（JR東日本）","地上駅","1925年（大正4年）4月14日[注 1]","2面2線[1]","長野県小諸市大字森山[1]北緯36度18分14.57秒東経138度26分54.63秒﻿ / ﻿北緯36.3040472度 東経138.4485083度﻿ /36.3040472; 138.4485083座標:北緯36度18分14.57秒東経138度26分54.63秒﻿ / ﻿北緯36.3040472度 東経138.4485083度﻿ /36.3040472; 138.4485083","無人駅[1]標高：705.3m[1]","137人/日（降車客含まず）-2011年-","ミツ[1]","","","","","","","","",""
"三日市駅","三日市駅（みっかいちえき）","https://ja.wikipedia.org/wiki/三日市駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯34度52分48.79秒東経136度33分43.77秒","L鈴鹿線","6.2 km（伊勢若松起点）","近畿日本鉄道（近鉄）","地上駅","1963年（昭和38年）4月8日","1面1線","三重県鈴鹿市三日市二丁目6-1北緯34度52分48.79秒東経136度33分43.77秒﻿ / ﻿北緯34.8802194度 東経136.5621583度﻿ /34.8802194; 136.5621583座標:北緯34度52分48.79秒東経136度33分43.77秒﻿ / ﻿北緯34.8802194度 東経136.5621583度﻿ /34.8802194; 136.5621583","無人駅","885人/日（降車客含まず）-2019年-","ミツカ"," L32 ","","","","","","","",""
"三日市町駅","三日市町駅（みっかいちちょうえき）","https://ja.wikipedia.org/wiki/三日市町駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯34度26分12.2秒東経135度34分16.8秒","■高野線","29.7km（汐見橋起点）難波から29.0 km","南海電気鉄道","地上駅（橋上駅）","1914年（大正3年）10月21日","2面2線","大阪府河内長野市三日市町1125番地北緯34度26分12.2秒東経135度34分16.8秒﻿ / ﻿北緯34.436722度 東経135.571333度﻿ /34.436722; 135.571333座標:北緯34度26分12.2秒東経135度34分16.8秒﻿ / ﻿北緯34.436722度 東経135.571333度﻿ /34.436722; 135.571333","","","ミカ","NK 70","","","14,454人/日-2019年-","","","","",""
"水海道駅","水海道駅（みつかいどうえき）","https://ja.wikipedia.org/wiki/水海道駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯36度1分6.049秒東経139度59分31.08秒","常総線","17.5 km（取手起点）","関東鉄道","地上駅","1913年（大正2年）11月1日[2]","2面3線","茨城県常総市水海道宝町字石宮2861-2北緯36度1分6.049秒東経139度59分31.08秒﻿ / ﻿北緯36.01834694度 東経139.9919667度﻿ /36.01834694; 139.9919667﻿ (水海道駅)座標:北緯36度1分6.049秒東経139度59分31.08秒﻿ / ﻿北緯36.01834694度 東経139.9919667度﻿ /36.01834694; 139.9919667﻿ (水海道駅)","複線区間終点・快速停車駅","","","","2,629人/日-2019年[1]-","","","","","","",""
"三ヶ日駅","三ヶ日駅（みっかびえき）","https://ja.wikipedia.org/wiki/三ヶ日駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯34度48分09秒東経137度33分06秒","天竜浜名湖線","55.6 km（掛川起点）","天竜浜名湖鉄道","地上駅","1936年（昭和11年）12月1日*","2面3線","浜松市北区三ヶ日町三ヶ日1148-3北緯34度48分09秒東経137度33分06秒﻿ / ﻿北緯34.80250度 東経137.55167度﻿ /34.80250; 137.55167座標:北緯34度48分09秒東経137度33分06秒﻿ / ﻿北緯34.80250度 東経137.55167度﻿ /34.80250; 137.55167","*1987年まで国鉄二俣線。","191人/日（降車客含まず）-2018年-","ミヒ","","","","","","","","",""
"三ツ境駅","三ツ境駅（みつきょうえき）","https://ja.wikipedia.org/wiki/三ツ境駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯35度28分4秒東経139度30分10秒","本線","13.6 km（横浜起点）","相模鉄道","橋上駅","1926年（大正15年）5月12日","2面2線","横浜市瀬谷区三ツ境4番地北緯35度28分4秒東経139度30分10秒﻿ / ﻿北緯35.46778度 東経139.50278度﻿ /35.46778; 139.50278座標:北緯35度28分4秒東経139度30分10秒﻿ / ﻿北緯35.46778度 東経139.50278度﻿ /35.46778; 139.50278","","","ミツ","SO12","58,418人/日-2018年-","","","","","","",""
"三口駅","三口駅（みつくちえき）","https://ja.wikipedia.org/wiki/三口駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯36度36分23.72秒東経136度38分51.33秒","■浅野川線","3.3 km（北鉄金沢起点）","北陸鉄道","地上駅","1925年（大正14年）5月10日","単式1面1線","石川県金沢市三口町北緯36度36分23.72秒東経136度38分51.33秒﻿ / ﻿北緯36.6065889度 東経136.6475917度﻿ /36.6065889; 136.6475917座標:北緯36度36分23.72秒東経136度38分51.33秒﻿ / ﻿北緯36.6065889度 東経136.6475917度﻿ /36.6065889; 136.6475917","","","","○A06","92人/日-2017年-","","","","","","",""
"見附駅","見附駅（みつけえき）","https://ja.wikipedia.org/wiki/見附駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯37度32分24.46秒東経138度54分17.56秒","■信越本線","84.4 km（直江津起点）","東日本旅客鉄道（JR東日本）","地上駅","1898年（明治31年）6月16日[1]","2面2線[1]","新潟県見附市本所[1]二丁目4-35北緯37度32分24.46秒東経138度54分17.56秒﻿ / ﻿北緯37.5401278度 東経138.9048778度﻿ /37.5401278; 138.9048778座標:北緯37度32分24.46秒東経138度54分17.56秒﻿ / ﻿北緯37.5401278度 東経138.9048778度﻿ /37.5401278; 138.9048778","業務委託駅みどりの窓口有[1]","2,137人/日（降車客含まず）-2019年-","ツケ","","","","","","","","",""
"三越前駅","三越前駅（みつこしまええき）","https://ja.wikipedia.org/wiki/三越前駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","","●[1]銀座線","5.1 km（浅草起点）","東京地下鉄（東京メトロ）","地下駅","1932年（昭和7年）4月29日","各1面2線（計2面4線）","","","","ミコ","G12[1]","133,564人/日-2019年-","新日本橋駅（JR総武快速線）[2]","","","","","",""
"三沢駅 (福岡県)","三沢駅 (福岡県)（みつさわえき・西鉄天神大牟田線）","https://ja.wikipedia.org/wiki/三沢駅_(福岡県)","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯33度25分24.81秒東経130度33分37.89秒","■天神大牟田線","25.6 km（西鉄福岡（天神）起点）","西日本鉄道","地上駅","1924年（大正13年）4月12日","2面2線","福岡県小郡市三沢北緯33度25分24.81秒東経130度33分37.89秒﻿ / ﻿北緯33.4235583度 東経130.5605250度﻿ /33.4235583; 130.5605250座標:北緯33度25分24.81秒東経130度33分37.89秒﻿ / ﻿北緯33.4235583度 東経130.5605250度﻿ /33.4235583; 130.5605250","","","","T  20 ","1,868人/日-2019年-","","","","","","",""
"三ツ沢上町駅","三ツ沢上町駅（みつざわかみちょうえき）","https://ja.wikipedia.org/wiki/三ツ沢上町駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯35度28分35.3秒東経139度36分19.4秒","■ブルーライン（3号線）","5.1km（関内*起点）湘南台から24.8 km","横浜市交通局（横浜市営地下鉄）","地下駅","1985年（昭和60年）3月14日","2面2線","神奈川県横浜市神奈川区三ツ沢上町5番9号[1]北緯35度28分35.3秒東経139度36分19.4秒﻿ / ﻿北緯35.476472度 東経139.605389度﻿ /35.476472; 139.605389﻿ (三ツ沢上町駅)座標:北緯35度28分35.3秒東経139度36分19.4秒﻿ / ﻿北緯35.476472度 東経139.605389度﻿ /35.476472; 139.605389﻿ (三ツ沢上町駅)","業務委託駅（横浜市交通局協力会）[2]","8,591人/日（降車客含まず）-2019年-","","B22","16,736人/日-2019年-","","","","","","",""
"三ツ沢下町駅","三ツ沢下町駅（みつざわしもちょうえき）","https://ja.wikipedia.org/wiki/三ツ沢下町駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯35度28分35.4秒東経139度36分53.3秒","■ブルーライン（3号線）","4.2km（関内*起点）湘南台から23.9 km","横浜市交通局（横浜市営地下鉄）","地下駅","1985年（昭和60年）3月14日","2面2線","神奈川県横浜市神奈川区三ツ沢下町2番16号[1]北緯35度28分35.4秒東経139度36分53.3秒﻿ / ﻿北緯35.476500度 東経139.614806度﻿ /35.476500; 139.614806﻿ (三ツ沢下町駅)座標:北緯35度28分35.4秒東経139度36分53.3秒﻿ / ﻿北緯35.476500度 東経139.614806度﻿ /35.476500; 139.614806﻿ (三ツ沢下町駅)","業務委託駅（横浜市交通局協力会）[2]*3号線の起点として","6,435人/日（降車客含まず）-2019年-","","B21","12,592人/日-2019年-","","","","","","",""
"三関駅","三関駅（みつせきえき）","https://ja.wikipedia.org/wiki/三関駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯39度6分36.7秒東経140度29分0.9秒","■奥羽本線","204.4 km（福島起点）","東日本旅客鉄道（JR東日本）","地上駅","1930年（昭和5年）7月1日[1]","1面1線","秋田県湯沢市上関字二ツ橋5北緯39度6分36.7秒東経140度29分0.9秒座標:北緯39度6分36.7秒 東経140度29分0.9秒","無人駅","40人/日（降車客含まず）-2007年-","ミセ","","","","","","","","",""
"三つ峠駅","三つ峠駅（みつとうげえき）","https://ja.wikipedia.org/wiki/三つ峠駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯35度31分26.48秒東経138度50分42.96秒","■大月線","15.8 km（大月起点）","富士急行","地上駅","1903年（明治36年）8月14日","1面2線","山梨県南都留郡西桂町小沼1583北緯35度31分26.48秒東経138度50分42.96秒座標:北緯35度31分26.48秒 東経138度50分42.96秒","標高：616m業務委託駅*1943年小沼駅から改称","","","FJ11","519人/日-2013年-","","","","","","",""
