"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","所在地","ホーム","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","種類","標高","位置","山系","最新噴火"
"武蔵中原駅","武蔵中原駅（むさしなかはらえき）","https://ja.wikipedia.org/wiki/武蔵中原駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯35度34分52.1秒東経139度38分29.3秒","■南武線","9.2 km（川崎起点）","東日本旅客鉄道（JR東日本）","高架駅","1927年（昭和2年）3月9日[1]","川崎市中原区上小田中六丁目21-1北緯35度34分52.1秒東経139度38分29.3秒﻿ / ﻿北緯35.581139度 東経139.641472度﻿ /35.581139; 139.641472座標:北緯35度34分52.1秒東経139度38分29.3秒﻿ / ﻿北緯35.581139度 東経139.641472度﻿ /35.581139; 139.641472","2面4線","直営駅（管理駅）みどりの窓口有","JN08","ムナ","34,198人/日（降車客含まず）-2019年-","","","","","","","",""
"武蔵新田駅","武蔵新田駅（むさしにったえき）","https://ja.wikipedia.org/wiki/武蔵新田駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯35度34分3.8秒東経139度41分33.3秒","■東急多摩川線","3.4 km（多摩川起点）","東急電鉄","地上駅","1923年（大正12年）11月1日[1]","東京都大田区矢口一丁目18-1北緯35度34分3.8秒東経139度41分33.3秒﻿ / ﻿北緯35.567722度 東経139.692583度﻿ /35.567722; 139.692583座標:北緯35度34分3.8秒東経139度41分33.3秒﻿ / ﻿北緯35.567722度 東経139.692583度﻿ /35.567722; 139.692583","2面2線","","TM05","","","20,883人/日-2020年-","","","","","","",""
"武蔵野台駅","武蔵野台駅（むさしのだいえき）","https://ja.wikipedia.org/wiki/武蔵野台駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯35度39分51秒東経139度30分40秒","■京王線","18.8 km（新宿起点）","京王電鉄","地上駅","1916年（大正5年）10月31日","東京都府中市白糸台四丁目18-4北緯35度39分51秒東経139度30分40秒﻿ / ﻿北緯35.66417度 東経139.51111度﻿ /35.66417; 139.51111﻿ (武蔵野台駅)座標:北緯35度39分51秒東経139度30分40秒﻿ / ﻿北緯35.66417度 東経139.51111度﻿ /35.66417; 139.51111﻿ (武蔵野台駅)","2面2線","1959年　車返駅から改称","KO21","","","26,232人/日-2019年-","白糸台駅（西武多摩川線）","","","","","",""
"武蔵引田駅","武蔵引田駅（むさしひきだえき）","https://ja.wikipedia.org/wiki/武蔵引田駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯35度43分47.4秒東経139度16分12.7秒","■五日市線","7.2 km（拝島起点）","東日本旅客鉄道（JR東日本）","地上駅","1930年（昭和5年）4月4日[2]","東京都あきる野市引田16北緯35度43分47.4秒東経139度16分12.7秒﻿ / ﻿北緯35.729833度 東経139.270194度﻿ /35.729833; 139.270194座標:北緯35度43分47.4秒東経139度16分12.7秒﻿ / ﻿北緯35.729833度 東経139.270194度﻿ /35.729833; 139.270194","1面1線[1]","業務委託駅*1944年に病院前駅から改称[1]。","JC84","ヒキ","3,235人/日（降車客含まず）-2019年-","","","","","","","",""
"武蔵藤沢駅","武蔵藤沢駅（むさしふじさわえき）","https://ja.wikipedia.org/wiki/武蔵藤沢駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯35度49分16.40秒東経139度24分45.26秒","■池袋線","32.9km（池袋起点）小竹向原から29.5 km","西武鉄道","地上駅（橋上駅）","1926年（大正15年）4月1日","埼玉県入間市下藤沢494-4北緯35度49分16.40秒東経139度24分45.26秒﻿ / ﻿北緯35.8212222度 東経139.4125722度﻿ /35.8212222; 139.4125722﻿ (武蔵藤沢駅)座標:北緯35度49分16.40秒東経139度24分45.26秒﻿ / ﻿北緯35.8212222度 東経139.4125722度﻿ /35.8212222; 139.4125722﻿ (武蔵藤沢駅)","2面2線","","SI21","","","24,182人/日-2019年-","","","","","","",""
"武蔵増戸駅","武蔵増戸駅（むさしますこえき）","https://ja.wikipedia.org/wiki/武蔵増戸駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯35度43分51.1秒東経139度15分21.2秒","■五日市線","8.5 km（拝島起点）","東日本旅客鉄道（JR東日本）","地上駅","1925年（大正14年）4月21日[2]","東京都あきる野市伊奈873-2北緯35度43分51.1秒東経139度15分21.2秒﻿ / ﻿北緯35.730861度 東経139.255889度﻿ /35.730861; 139.255889座標:北緯35度43分51.1秒東経139度15分21.2秒﻿ / ﻿北緯35.730861度 東経139.255889度﻿ /35.730861; 139.255889","2面3線（実質2面2線[1]）","業務委託駅　* 開業1ヶ月後に増戸駅から改称[1]。","JC85","マス","2,481人/日（降車客含まず）-2019年-","","","","","","","",""
"武蔵溝ノ口駅","武蔵溝ノ口駅（むさしみぞのくちえき）","https://ja.wikipedia.org/wiki/武蔵溝ノ口駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯35度35分56.6秒東経139度36分40.4秒","■南武線","12.7 km（川崎起点）","東日本旅客鉄道（JR東日本）","地上駅（橋上駅）[1]","1927年（昭和2年）3月9日[2]","川崎市高津区溝口一丁目1-1北緯35度35分56.6秒東経139度36分40.4秒﻿ / ﻿北緯35.599056度 東経139.611222度﻿ /35.599056; 139.611222座標:北緯35度35分56.6秒東経139度36分40.4秒﻿ / ﻿北緯35.599056度 東経139.611222度﻿ /35.599056; 139.611222","2面3線","直営駅みどりの窓口有","JN10","ムミ","86,165人/日（降車客含まず）-2019年-","","溝の口駅（東急田園都市線・大井町線）","","","","","",""
"武蔵大和駅","武蔵大和駅（むさしやまとえき）","https://ja.wikipedia.org/wiki/武蔵大和駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯35度45分23秒東経139度26分39秒","■多摩湖線","8.1 km（国分寺起点）西武新宿から27.2 km","西武鉄道","地上駅","1930年（昭和5年）1月23日","東京都東村山市廻田町三丁目9番地19号北緯35度45分23秒東経139度26分39秒﻿ / ﻿北緯35.75639度 東経139.44417度﻿ /35.75639; 139.44417座標:北緯35度45分23秒東経139度26分39秒﻿ / ﻿北緯35.75639度 東経139.44417度﻿ /35.75639; 139.44417","1面1線","","ST06","","","7,389人/日-2019年-","","","","","","",""
"武蔵横手駅","武蔵横手駅（むさしよこてえき）","https://ja.wikipedia.org/wiki/武蔵横手駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯35度53分7.43秒東経139度16分50.9秒","■池袋線","51.3 km（池袋起点）","西武鉄道","地上駅","1929年（昭和4年）9月10日","埼玉県日高市横手字山下750北緯35度53分7.43秒東経139度16分50.9秒﻿ / ﻿北緯35.8853972度 東経139.280806度﻿ /35.8853972; 139.280806﻿ (武蔵横手駅)座標:北緯35度53分7.43秒東経139度16分50.9秒﻿ / ﻿北緯35.8853972度 東経139.280806度﻿ /35.8853972; 139.280806﻿ (武蔵横手駅)","1面2線","","SI29","","","295人/日-2019年-","","","","","","",""
"武蔵嵐山駅","武蔵嵐山駅（むさしらんざんえき）","https://ja.wikipedia.org/wiki/武蔵嵐山駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯36度2分39.75秒東経139度19分39.89秒","■東上本線","57.1 km（池袋起点）","東武鉄道","地上駅（橋上駅）","1923年（大正12年）11月5日","埼玉県比企郡嵐山町大字菅谷135-6北緯36度2分39.75秒東経139度19分39.89秒﻿ / ﻿北緯36.0443750度 東経139.3277472度﻿ /36.0443750; 139.3277472﻿ (武蔵嵐山駅*)座標:北緯36度2分39.75秒東経139度19分39.89秒﻿ / ﻿北緯36.0443750度 東経139.3277472度﻿ /36.0443750; 139.3277472﻿ (武蔵嵐山駅*)","1面2線","業務委託駅","TJ32","ラザ","","7,287人/日-2019年-","","","","","","",""
"虫川大杉駅","虫川大杉駅（むしがわおおすぎえき）","https://ja.wikipedia.org/wiki/虫川大杉駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯37度9分17.92秒東経138度26分27.96秒","■ほくほく線","44.8 km（六日町起点）","北越急行","高架駅","1997年（平成9年）3月22日","新潟県上越市浦川原区虫川2033-2北緯37度9分17.92秒東経138度26分27.96秒﻿ / ﻿北緯37.1549778度 東経138.4411000度﻿ /37.1549778; 138.4411000﻿ (虫川大杉駅)座標:北緯37度9分17.92秒東経138度26分27.96秒﻿ / ﻿北緯37.1549778度 東経138.4411000度﻿ /37.1549778; 138.4411000﻿ (虫川大杉駅)","2面2線","","","ムシ","136人/日（降車客含まず）-2018年-","","","","","","","",""
"六十谷駅","六十谷駅（むそたえき）","https://ja.wikipedia.org/wiki/六十谷駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯34度15分44.95秒東経135度12分25.44秒","R阪和線","57.2 km（天王寺起点）","西日本旅客鉄道（JR西日本）","地上駅","1930年（昭和5年）6月16日","和歌山県和歌山市六十谷351北緯34度15分44.95秒東経135度12分25.44秒﻿ / ﻿北緯34.2624861度 東経135.2070667度﻿ /34.2624861; 135.2070667座標:北緯34度15分44.95秒東経135度12分25.44秒﻿ / ﻿北緯34.2624861度 東経135.2070667度﻿ /34.2624861; 135.2070667","2面2線","業務委託駅","JR-R52","ムソ","3,446人/日（降車客含まず）-2019年-","","","","","","","",""
"六田駅","六田駅（むだえき）","https://ja.wikipedia.org/wiki/六田駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯34度23分24.71秒東経135度49分22.6秒","F吉野線[1]","20.7km（橿原神宮前起点）大阪阿部野橋から60.4 km","近畿日本鉄道（近鉄）[1]","地上駅","1912年（大正元年）10月25日","奈良県吉野郡大淀町北六田42-1[1]北緯34度23分24.71秒東経135度49分22.6秒﻿ / ﻿北緯34.3901972度 東経135.822944度﻿ /34.3901972; 135.822944座標:北緯34度23分24.71秒東経135度49分22.6秒﻿ / ﻿北緯34.3901972度 東経135.822944度﻿ /34.3901972; 135.822944","2面2線",""," F54 ","ムタ","462人/日（降車客含まず）-2018年-","","","","","","","",""
"六会日大前駅","六会日大前駅（むつあいにちだいまええき）","https://ja.wikipedia.org/wiki/六会日大前駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯35度23分1秒東経139度28分15秒","江ノ島線","17.3 km（相模大野起点）新宿から49.6 km","小田急電鉄","地上駅（橋上駅）","1929年（昭和4年）4月1日*","神奈川県藤沢市亀井野一丁目1番地1北緯35度23分1秒東経139度28分15秒﻿ / ﻿北緯35.38361度 東経139.47083度﻿ /35.38361; 139.47083座標:北緯35度23分1秒東経139度28分15秒﻿ / ﻿北緯35.38361度 東経139.47083度﻿ /35.38361; 139.47083","2面2線","","OE10","","","29,802人/日-2019年-","","","","","","",""
"陸奥赤石駅","陸奥赤石駅（むつあかいしえき）","https://ja.wikipedia.org/wiki/陸奥赤石駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","","■五能線","97.4 km（東能代起点）","東日本旅客鉄道（JR東日本）","地上駅","1929年（昭和4年）11月26日[1]","","1面1線[1]","無人駅[1]","","ムア","","","","","","","","",""
"陸奥市川駅","陸奥市川駅（むついちかわえき）","https://ja.wikipedia.org/wiki/陸奥市川駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","","■青い森鉄道線","32.8km（目時起点）東京から650.1 km","青い森鉄道","地上駅","1944年（昭和19年）10月11日","","2面2線","無人駅（自動券売機 有）","","チワ","155人/日（降車客含まず）-2018年-","","","","","","","",""
"陸奥岩崎駅","陸奥岩崎駅（むついわさきえき）","https://ja.wikipedia.org/wiki/陸奥岩崎駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","","■五能線","50.9 km（東能代起点）","東日本旅客鉄道（JR東日本）","地上駅","1932年（昭和7年）10月14日[1]","","1面1線[1]","無人駅[1]","","ムサ","37人/日（降車客含まず）-2003年-","","","","","","","",""
"六浦駅","六浦駅（むつうらえき）","https://ja.wikipedia.org/wiki/六浦駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯35度19分21.3秒東経139度36分40.5秒","■逗子線","1.3km（金沢八景起点）品川から42.2 km","京浜急行電鉄","地上駅","1943年（昭和18年）2月15日","横浜市金沢区六浦5-1-1北緯35度19分21.3秒東経139度36分40.5秒﻿ / ﻿北緯35.322583度 東経139.611250度﻿ /35.322583; 139.611250﻿ (六浦駅)座標:北緯35度19分21.3秒東経139度36分40.5秒﻿ / ﻿北緯35.322583度 東経139.611250度﻿ /35.322583; 139.611250﻿ (六浦駅)","2面2線","","KK51","","","15,934人/日-2019年-","","","","","","",""
"陸奥沢辺駅","陸奥沢辺駅（むつさわべえき）","https://ja.wikipedia.org/wiki/陸奥沢辺駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","","■五能線","53.6 km（東能代起点）","東日本旅客鉄道（JR東日本）","地上駅","1936年（昭和11年）7月30日[1]","","1面1線[1]","無人駅[1]","","サハ","6人/日（降車客含まず）-2008年-","","","","","","","",""
"陸奥白浜駅","陸奥白浜駅（むつしらはまえき）","https://ja.wikipedia.org/wiki/陸奥白浜駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯40度31分0.26秒東経141度35分30.54秒","■八戸線","17.5 km（八戸起点）","東日本旅客鉄道（JR東日本）","地上駅","1961年（昭和36年）4月15日[1]","青森県八戸市大字鮫町字横道通北緯40度31分0.26秒東経141度35分30.54秒座標:北緯40度31分0.26秒 東経141度35分30.54秒","1面1線","無人駅","","ムツ","","","","","","","","",""
"陸奥鶴田駅","陸奥鶴田駅（むつつるだえき）","https://ja.wikipedia.org/wiki/陸奥鶴田駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","","■五能線","131.7 km（東能代起点）","東日本旅客鉄道（JR東日本）","地上駅","1918年（大正7年）9月25日[1]","","1面1線[1]","無人駅[2]","","ツタ","189人/日（降車客含まず）-2019年-","","","","","","","",""
"六名駅","六名駅（むつなえき）","https://ja.wikipedia.org/wiki/六名駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯34度56分28秒東経137度9分7.5秒","■愛知環状鉄道線","1.7 km（岡崎起点）","愛知環状鉄道","高架駅","1988年（昭和63年）1月31日","愛知県岡崎市六名新町11北緯34度56分28秒東経137度9分7.5秒﻿ / ﻿北緯34.94111度 東経137.152083度﻿ /34.94111; 137.152083座標:北緯34度56分28秒東経137度9分7.5秒﻿ / ﻿北緯34.94111度 東経137.152083度﻿ /34.94111; 137.152083","2面2線","無人駅","○02","ムナ","","1,619人/日-2019年[1]-","","","","","","",""
"六実駅","六実駅（むつみえき）","https://ja.wikipedia.org/wiki/六実駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯35度47分37.3秒東経139度59分57秒","■野田線（東武アーバンパークライン）","51.9 km（大宮起点）","東武鉄道","地上駅","1923年（大正12年）12月27日","千葉県松戸市六実四丁目6-1北緯35度47分37.3秒東経139度59分57秒﻿ / ﻿北緯35.793694度 東経139.99917度﻿ /35.793694; 139.99917座標:北緯35度47分37.3秒東経139度59分57秒﻿ / ﻿北緯35.793694度 東経139.99917度﻿ /35.793694; 139.99917","2面2線","","TD29","ムツ","","14,840人/日-2019年-","","","","","","",""
"陸奥湊駅","陸奥湊駅（むつみなとえき）","https://ja.wikipedia.org/wiki/陸奥湊駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯40度31分23.9秒東経141度31分39.7秒","■八戸線","9.0 km（八戸起点）","東日本旅客鉄道（JR東日本）","地上駅（橋上駅）","1926年（大正15年）7月11日[1]","青森県八戸市大字湊町字久保44-1北緯40度31分23.9秒東経141度31分39.7秒座標:北緯40度31分23.9秒 東経141度31分39.7秒","1面2線","無人駅[2]","","ムト","126人/日（降車客含まず）-2019年-","","","","","","","",""
"陸奥森田駅","陸奥森田駅（むつもりたえき）","https://ja.wikipedia.org/wiki/陸奥森田駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯40度46分54.32秒東経140度20分20.35秒","■五能線","114.5 km（東能代起点）","東日本旅客鉄道（JR東日本）","地上駅","1924年（大正13年）10月21日[1]","青森県つがる市森田町床舞緑野[1]11北緯40度46分54.32秒東経140度20分20.35秒座標:北緯40度46分54.32秒 東経140度20分20.35秒","1面1線[1]","簡易委託駅[1]","","リタ","67人/日（降車客含まず）-2019年-","","","","","","","",""
"陸奥柳田駅","陸奥柳田駅（むつやなぎたえき）","https://ja.wikipedia.org/wiki/陸奥柳田駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","","■五能線","93.3 km（東能代起点）","東日本旅客鉄道（JR東日本）","地上駅","1953年（昭和28年）6月1日[1]","","1面1線[1]","無人駅","","ムヤ","","","","","","","","",""
"陸奥横浜駅","陸奥横浜駅（むつよこはまえき）","https://ja.wikipedia.org/wiki/陸奥横浜駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯41度5分11.54秒東経141度14分59.48秒","■大湊線","30.1 km（野辺地起点）","東日本旅客鉄道（JR東日本）","地上駅","1921年（大正10年）3月20日","青森県上北郡横浜町字舘ノ後21北緯41度5分11.54秒東経141度14分59.48秒﻿ / ﻿北緯41.0865389度 東経141.2498556度﻿ /41.0865389; 141.2498556座標:北緯41度5分11.54秒東経141度14分59.48秒﻿ / ﻿北緯41.0865389度 東経141.2498556度﻿ /41.0865389; 141.2498556","1面2線","無人駅[1]","","ヨコ","67人/日（降車客含まず）-2019年-","","","","","","","",""
"務田駅","務田駅（むでんえき）","https://ja.wikipedia.org/wiki/務田駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯33度16分58.01秒東経132度36分0.96秒","■予土線","70.0 km（若井起点）","四国旅客鉄道（JR四国）","地上駅","1914年（大正3年）10月18日","愛媛県宇和島市三間町迫目北緯33度16分58.01秒東経132度36分0.96秒﻿ / ﻿北緯33.2827806度 東経132.6002667度﻿ /33.2827806; 132.6002667座標:北緯33度16分58.01秒東経132度36分0.96秒﻿ / ﻿北緯33.2827806度 東経132.6002667度﻿ /33.2827806; 132.6002667","1面1線","無人駅","○G45","ムテ","","62人/日-2018年-","","","","","","",""
"撫養駅","撫養駅（むやえき）","https://ja.wikipedia.org/wiki/撫養駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯34度10分23.67秒東経134度36分3.10秒","■鳴門線","7.2 km（池谷起点）","四国旅客鉄道（JR四国）","地上駅","1916年（大正5年）7月1日[2]","徳島県鳴門市撫養町南浜権現4北緯34度10分23.67秒東経134度36分3.10秒﻿ / ﻿北緯34.1732417度 東経134.6008611度﻿ /34.1732417; 134.6008611座標:北緯34度10分23.67秒東経134度36分3.10秒﻿ / ﻿北緯34.1732417度 東経134.6008611度﻿ /34.1732417; 134.6008611","1面1線","無人駅","○N09","ムヤ","","492[1]人/日-2019年-","","","","","","",""
"村井駅","村井駅（むらいえき）","https://ja.wikipedia.org/wiki/村井駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯36度10分30.12秒東経137度57分23.35秒","■篠ノ井線[1]（■■中央本線直通含む）","59.9 km（篠ノ井起点）","東日本旅客鉄道（JR東日本）日本貨物鉄道（JR貨物）","地上駅","1902年（明治35年）12月15日","長野県松本市村井町南一丁目36-14北緯36度10分30.12秒東経137度57分23.35秒﻿ / ﻿北緯36.1750333度 東経137.9564861度﻿ /36.1750333; 137.9564861座標:北緯36度10分30.12秒東経137度57分23.35秒﻿ / ﻿北緯36.1750333度 東経137.9564861度﻿ /36.1750333; 137.9564861","1面2線","業務委託駅みどりの窓口有標高：628.8m[2]","","ムイ←ムヰ","2,019人/日（降車客含まず）-2019年-","","","","","","","",""
"村上駅 (新潟県)","村上駅 (新潟県)（むらかみえき・東日本旅客鉄道羽越本線）","https://ja.wikipedia.org/wiki/村上駅_(新潟県)","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯38度13分12.7秒東経139度27分48.6秒","■羽越本線","59.4 km（新津起点）","東日本旅客鉄道（JR東日本）","地上駅","1914年（大正3年）11月1日","新潟県村上市田端町11-11北緯38度13分12.7秒東経139度27分48.6秒座標:北緯38度13分12.7秒 東経139度27分48.6秒","2面3線","直営駅（管理駅）みどりの窓口有","","ムミ","1,458人/日（降車客含まず）-2019年-","","","","","","","",""
"村上駅 (千葉県)","村上駅 (千葉県)（むらかみえき・東葉高速鉄道東葉高速線）","https://ja.wikipedia.org/wiki/村上駅_(千葉県)","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯35度43分25.3秒東経140度7分6.1秒","■東葉高速線","15.2 km（西船橋起点）","東葉高速鉄道","高架駅","1996年（平成8年）4月27日[2]","千葉県八千代市村上南一丁目8-1北緯35度43分25.3秒東経140度7分6.1秒﻿ / ﻿北緯35.723694度 東経140.118361度﻿ /35.723694; 140.118361座標:北緯35度43分25.3秒東経140度7分6.1秒﻿ / ﻿北緯35.723694度 東経140.118361度﻿ /35.723694; 140.118361","2面2線","","TR08","","2,992人/日（降車客含まず）-2018年-","5,952[1]人/日-2018年-","","","","","","",""
"紫駅","紫駅（むらさきえき）","https://ja.wikipedia.org/wiki/紫駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯33度29分47.21秒東経130度31分19.15秒","■天神大牟田線","16.1 km（西鉄福岡（天神）起点）","西日本鉄道","地上駅・上下別駅舎","2010年（平成22年）3月27日","福岡県筑紫野市紫二丁目449-11北緯33度29分47.21秒東経130度31分19.15秒﻿ / ﻿北緯33.4964472度 東経130.5219861度﻿ /33.4964472; 130.5219861座標:北緯33度29分47.21秒東経130度31分19.15秒﻿ / ﻿北緯33.4964472度 東経130.5219861度﻿ /33.4964472; 130.5219861","2面2線","","T  14 ","","","6,012人/日-2019年-","","","","","","",""
"村崎野駅","村崎野駅（むらさきのえき）","https://ja.wikipedia.org/wiki/村崎野駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯39度19分22.88秒東経141度7分13.86秒","■東北本線","492.2 km（東京起点）","東日本旅客鉄道（JR東日本）","地上駅","1950年（昭和25年）11月1日[2]","岩手県北上市村崎野15地割513北緯39度19分22.88秒東経141度7分13.86秒座標:北緯39度19分22.88秒 東経141度7分13.86秒","2面2線[1]","業務委託駅","","ムノ","1,000人/日（降車客含まず）-2019年-","","","","","","","",""
"村野駅","村野駅（むらのえき）","https://ja.wikipedia.org/wiki/村野駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯34度48分6.65秒東経135度39分51.65秒","■交野線","2.5 km（枚方市起点）","京阪電気鉄道","地上駅","1929年（昭和4年）7月10日","大阪府枚方市村野本町1番25号北緯34度48分6.65秒東経135度39分51.65秒﻿ / ﻿北緯34.8018472度 東経135.6643472度﻿ /34.8018472; 135.6643472﻿ (村野駅)","2面2線","無人駅（自動券売機有）","KH  63","村（駅名略称方式）","2,415人/日（降車客含まず）-2019年-","4,840人/日-2019年-","","","","","","",""
"村山駅 (長野県)","村山駅 (長野県)（むらやまえき・長野電鉄長野線）","https://ja.wikipedia.org/wiki/村山駅_(長野県)","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯36度39分33.4秒東経138度16分46.5秒","長野線","10.0 km（長野起点）","長野電鉄","地上駅","1926年（大正15年）6月28日[1]","長野県須坂市大字高梨[1]303-2北緯36度39分33.4秒東経138度16分46.5秒﻿ / ﻿北緯36.659278度 東経138.279583度﻿ /36.659278; 138.279583座標:北緯36度39分33.4秒東経138度16分46.5秒﻿ / ﻿北緯36.659278度 東経138.279583度﻿ /36.659278; 138.279583","1面2線[1]","終日駅員無配置駅[1]","N11","ムヤ[1]","356人/日（降車客含まず）-2018年-","","","","","","","",""
"村山駅 (山形県)","村山駅 (山形県)（むらやまえき・東日本旅客鉄道山形新幹線・奥羽本線）","https://ja.wikipedia.org/wiki/村山駅_(山形県)","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯38度28分37.5秒東経140度23分10.7秒","■山形新幹線","113.5km（福島起点）東京から386.3 km","東日本旅客鉄道（JR東日本）","地上駅（橋上駅）","1901年（明治34年）8月23日","山形県村山市楯岡新町一丁目10-1北緯38度28分37.5秒東経140度23分10.7秒座標:北緯38度28分37.5秒 東経140度23分10.7秒","2面3線","業務委託駅みどりの窓口有","","ムラタオ←タヲ（改称前）","934人/日（降車客含まず）-2019年-","","","","","","","",""
"牟礼駅","牟礼駅（むれえき）","https://ja.wikipedia.org/wiki/牟礼駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯36度45分11.28秒東経138度14分49.15秒","■北しなの線[1]","18.6 km（長野起点）","しなの鉄道[1]","地上駅[4]","1888年（明治21年）5月1日[2][3][5]","長野県上水内郡飯綱町栄町[2][3]492-2[4]北緯36度45分11.28秒東経138度14分49.15秒﻿ / ﻿北緯36.7531333度 東経138.2469861度﻿ /36.7531333; 138.2469861座標:北緯36度45分11.28秒東経138度14分49.15秒﻿ / ﻿北緯36.7531333度 東経138.2469861度﻿ /36.7531333; 138.2469861","2面2線[2][3]","業務委託駅[6]標高:487.1m","","ムレ[2]","699人/日（降車客含まず）-2018年-","","","","","","","",""
