"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","外部リンク","登録路線","登録回","登録日","開駅日","営業時間","国","地方","都道府県","市町村コード","法人番号","面積","総人口","人口密度","隣接自治体","市の木","市の花","市の鳥,市の魚"
"道の駅氷見","ひみ氷見（ひみ）氷見市国道415号富山-12 ","https://ja.wikipedia.org/wiki/道の駅氷見","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯36度51分51.8秒東経136度59分13.5秒","〒935-0004富山県氷見市北大町25番5号[1]","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","国道415号","第15回（16012）","1999年8月27日[2]","2000年4月21日（氷見フィッシャーマンズワーフ海鮮館）[3]","8:30 - 18:00","","","","","","","","","","","",""
"道の駅万葉の里 高岡","まんようのさとたかおか万葉の里高岡（まんようのさとたかおか）高岡市国道8号富山-13 ","https://ja.wikipedia.org/wiki/道の駅万葉の里_高岡","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯36度44分12.1秒東経136度58分9.9秒","〒933-0317富山県高岡市蜂ヶ島131番地1[1]","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","国道8号","第21回（16013）","2005年8月10日[2]","2006年4月24日[3]","9:00 - 21:00","","","","","","","","","","","",""
"道の駅メルヘンおやべ","メルヘンおやべ小矢部市国道8号富山-14 ","https://ja.wikipedia.org/wiki/道の駅メルヘンおやべ","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯36度41分22.2秒東経136度52分36.2秒","〒933-0317富山県小矢部市桜町1535番地1","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","国道8号","第32回（16014）","2009年7月31日","2009年10月24日","9:00 - 21:00","","","","","","","","","","","",""
"道の駅雨晴","あまはらし雨晴（あまはらし）高岡市国道415号富山-15 ","https://ja.wikipedia.org/wiki/道の駅雨晴","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯36度48分53.6秒東経137度2分29.7秒","〒933-0133富山県高岡市太田24番地74[1]","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","国道415号","第48回（16015）","2017年11月17日","2018年4月25日[2][3][4]","9:00-19:00","","","","","","","","","","","",""
"道の駅KOKOくろべ (存在しないページ)","KOKOくろべ（ここくろべ）黒部市国道8号富山-162021年度オープン予定[3]","https://ja.wikipedia.org/w/index.php?title=道の駅KOKOくろべ&amp;action=edit&amp;redlink=1","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","","","","","","","","","","","","","","","","","","","",""
"道の駅千枚田ポケットパーク","せんまいだポケットパーク千枚田ポケットパーク（せんまいだポケットパーク）輪島市国道249号石川-01 ","https://ja.wikipedia.org/wiki/道の駅千枚田ポケットパーク","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯37度25分27秒東経136度59分52秒","〒928-0256石川県輪島市白米町八部99","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","国道249号","第1回（17001）","1993年4月22日","不明","8:30 - 17:00","","","","","","","","","","","",""
"道の駅高松","たかまつ高松（たかまつ）かほく市県道60号金沢田鶴浜線石川-02のと里山海道高松SAに併設","https://ja.wikipedia.org/wiki/道の駅高松","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯36度47分 東経136度43分","〒929-1211石川県かほく市二ツ屋フ16-3北緯36度47分 東経136度43分座標:北緯36度47分 東経136度43分","","","","","","","","","","","","","","","","","",""
"道の駅いおり","いおり七尾市国道160号石川-03 ","https://ja.wikipedia.org/wiki/道の駅いおり","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯37度01分44秒東経137度02分48秒","〒926-0366石川県七尾市庵町笹ヶ谷内3-1","国土交通省案内ページ全国道の駅連絡会ページ","国道160号","第12回（17003）","1997年4月11日[1]","1997年4月28日[2]","9:00 - 16:30","","","","","","","","","","","",""
"道の駅桜峠","さくらとうげ桜峠（さくらとうげ）鳳珠郡能登町県道57号内浦柳田線石川-04 ","https://ja.wikipedia.org/wiki/道の駅桜峠","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯37度19分54秒東経137度00分41秒","〒928-0334石川県鳳珠郡能登町字当目2-24-24","国土交通省案内ページ全国道の駅連絡会ページ","石川県道57号","第12回（17004）","1997年4月11日","不明","9:00 - 17:00","","","","","","","","","","","",""
"道の駅しらやまさん","しらやまさん能美市国道157号石川-05 ","https://ja.wikipedia.org/wiki/道の駅しらやまさん","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯36度26分12秒東経136度37分50秒","〒923-1208石川県能美市和佐谷町200","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","国道157号","第14回（17005）","1998年4月17日","1998年4月18日[1][2]","9:00 - 17:30","","","","","","","","","","","",""
"道の駅なかじまロマン峠","なかじまロマン峠（なかじまロマンとうげ）七尾市国道249号石川-06 ","https://ja.wikipedia.org/wiki/道の駅なかじまロマン峠","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯37度07分50秒東経136度51分48秒","〒929-2222石川県七尾市中島町中島二部1-19","国土交通省案内ページ全国道の駅連絡会ページ","国道249号","第15回（17006）","1999年8月27日","1999年8月27日","9:00 - 17:00","","","","","","","","","","","",""
"道の駅赤神","あかかみ赤神（あかかみ）輪島市国道249号石川-07 ","https://ja.wikipedia.org/wiki/道の駅赤神","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯37度14分54秒東経136度42分34秒","〒927-2345石川県輪島市門前町赤神1の110番地","国土交通省案内ページ全国道の駅連絡会ページ","国道249号","第18回（17007）","2002年8月13日","2003年6月","9:00 - 18:00","","","","","","","","","","","",""
"道の駅とぎ海街道","とぎ海街道（とぎうみかいどう）羽咋郡志賀町国道249号石川-08 ","https://ja.wikipedia.org/wiki/道の駅とぎ海街道","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯37度08分25秒東経136度43分30秒","〒927-2345石川県羽咋郡志賀町富来領家町タの2-11","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","国道249号","第18回（17008）","2002年8月13日","2002年7月27日","9:00 - 17:30","","","","","","","","","","","",""
"道の駅輪島","わじま輪島（わじま）輪島市県道1号七尾輪島線石川-09旧輪島駅跡に所在","https://ja.wikipedia.org/wiki/道の駅輪島","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯37度23分20秒東経136度54分22秒","〒928-0001石川県輪島市河井町20部1の131","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","石川県道1号","第18回（17009）","2002年8月13日","2002年3月20日[1]","7:00 - 21:00","","","","","","","","","","","",""
"道の駅ころ柿の里しか","ころ柿の里しか（ころがきのさとしか）羽咋郡志賀町国道249号石川-10 ","https://ja.wikipedia.org/wiki/道の駅ころ柿の里しか","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯37度00分25秒東経136度46分48秒","〒925-0154石川県羽咋郡志賀町字末吉新保向10番地","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","国道249号","第19回（17010）","2003年8月8日","2004年4月17日[1]","9:00 - 18:30","","","","","","","","","","","",""
"道の駅瀬女","せな瀬女（せな）白山市国道360号石川-11 ","https://ja.wikipedia.org/wiki/道の駅瀬女","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯36度17分17秒東経136度38分58秒","〒920-2331石川県白山市瀬戸寅163-1","国土交通省案内ページ全国道の駅連絡会ページ","国道360号","第19回（17011）","2003年8月8日","1994年10月1日","9:00 - 17:30","","","","","","","","","","","",""
"道の駅一向一揆の里","いっこういっきのさと一向一揆の里（いっこういっきのさと）白山市国道360号石川-12 ","https://ja.wikipedia.org/wiki/道の駅一向一揆の里","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯36度21分38秒東経136度35分57秒","〒920-2368石川県白山市出合町甲34","国土交通省案内ページ全国道の駅連絡会ページ","国道360号","第19回（17012）","2003年8月8日","2003年4月17日[1]","9:00 - 16:30","","","","","","","","","","","",""
"道の駅のと里山空港","のとさとやまくうこうのと里山空港（のとさとやまくうこう）輪島市県道303号柏木穴水線石川-13能登空港併設旧名称「のと空港」","https://ja.wikipedia.org/wiki/道の駅のと里山空港","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯37度17分36秒東経136度57分44秒","石川県輪島市","","","","","","","","","","","","","","","","","",""
"道の駅倶利伽羅 源平の郷","くりからげんぺいのさと倶利伽羅源平の郷（くりからげんぺいのさと）河北郡津幡町石川県道215号森本津幡線石川-14国道8号旧道","https://ja.wikipedia.org/wiki/道の駅倶利伽羅_源平の郷","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯36度39分47秒東経136度46分03秒","〒929-0426石川県河北郡津幡町字竹橋西239番地14","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","石川県道215号","第20回（17014）","2004年8月9日","2000年3月","9:30 - 18:30","","","","","","","","","","","",""
"道の駅山中温泉 ゆけむり健康村","やまなかおんせんゆけむりけんこうむら山中温泉 ゆけむり健康村（やまなかおんせんゆけむりけんこうむら）加賀市国道364号石川-15 ","https://ja.wikipedia.org/wiki/道の駅山中温泉_ゆけむり健康村","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯36度14分17秒東経136度22分05秒","〒922-0128石川県加賀市山中温泉こおろぎ町イ19番地","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","国道364号","第20回（17015）","2006年8月9日","2005年3月31日[1]","9:00 - 18:00","","","","","","","","","","","",""
"道の駅のとじま","のとじま七尾市県道47号七尾能登島公園線石川-16 ","https://ja.wikipedia.org/wiki/道の駅のとじま","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯37度08分14秒東経136度59分54秒","〒926-0211石川県七尾市能登島向田町122部14番地","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","石川県道47号","第20回（17016）","2004年8月9日","1999年4月","9:00 - 17:00","","","","","","","","","","","",""
"道の駅すず塩田村","すずえんでんむらすず塩田村（すずえんでんむら）珠洲市国道249号石川-17 ","https://ja.wikipedia.org/wiki/道の駅すず塩田村","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯37度29分11秒東経137度06分50秒","〒927-1325石川県珠洲市清水町1部58番1[1]","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","国道249号","第21回（17017）","2005年8月10日","2006年4月28日[2]","8:30 - 17:30（3月 - 11月）9:00 - 16:00（12月 - 2月）","","","","","","","","","","","",""
"道の駅内灘サンセットパーク","うちなだサンセットパーク内灘サンセットパーク（うちなだサンセットパーク）河北郡内灘町県道162号高松内灘線石川-18 ","https://ja.wikipedia.org/wiki/道の駅内灘サンセットパーク","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯36度39分33秒東経136度38分56秒","〒920-0265石川県河北郡内灘町字大学1丁目4-1","国土交通省案内ページ全国道の駅連絡会ページ","石川県道162号","第23回（17018）","2007年3月1日","2003年7月","10:00 - 19:00","","","","","","","","","","","",""
"道の駅能登食祭市場","のとしょくさいいちば能登食祭市場（のとしょくさいいちば）七尾市県道132号七尾港線石川-19 ","https://ja.wikipedia.org/wiki/道の駅能登食祭市場","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","","〒926-0041石川県七尾市府中町員外13番地1","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","石川県道132号","第30回（17019）","2009年3月12日","2009年4月","8:30 - 18:00","","","","","","","","","","","",""
"道の駅こまつ木場潟","こまつ木場潟（こまつきばがた）小松市国道8号小松バイパス石川-20 ","https://ja.wikipedia.org/wiki/道の駅こまつ木場潟","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯36度22分12秒東経136度27分44秒","〒923-0843石川県小松市蓮代寺町ケ1番地1","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","国道8号","第33回（17020）","2010年3月1日","2010年4月22日[1][2]","本文参照","","","","","","","","","","","",""
"道の駅狼煙","のろし狼煙（のろし）珠洲市県道28号大谷狼煙飯田線石川-21 ","https://ja.wikipedia.org/wiki/道の駅狼煙","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯37度31分33秒東経137度19分28秒","〒927-1441石川県珠洲市狼煙町テ部11","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","石川県道28号","第33回（17021）","2010年3月1日","2010年4月29日","8:30 - 17:00","","","","","","","","","","","",""
"道の駅すずなり","すずなり珠洲市県道12号蛸島港線石川-22旧珠洲駅跡に所在","https://ja.wikipedia.org/wiki/道の駅すずなり","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯37度26分29秒東経137度16分12秒","〒927-1213石川県珠洲市野々江町シ部15番地","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","石川県道12号","第33回（17022）","2010年3月1日","2010年4月3日[1]","","","","","","","","","","","","",""
"道の駅織姫の里なかのと","おりひめのさとなかのと織姫の里なかのと（おりひめのさとなかのと）鹿島郡中能登町国道159号石川-23","https://ja.wikipedia.org/wiki/道の駅織姫の里なかのと","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯36度58分12秒東経136度54分17秒","〒929-1721石川県鹿島郡中能登町井田ぬ部10番地1[1]","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","国道159号","第40回（17023）","2013年10月11日[1]","2014年4月17日[1][2]","","","","","","","","","","","","",""
"道の駅あなみず","あなみず鳳珠郡穴水町県道113号穴水港穴水停車場線石川-24穴水駅に併設","https://ja.wikipedia.org/wiki/道の駅あなみず","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯37度13分42秒東経136度54分20秒","〒927-0026石川県鳳珠郡穴水町字大町チ41番地6[1]","国土交通省案内ページ全国道の駅連絡会ページ","石川県道113号","第44回（17024）","2015年11月5日[1][2][3]","2015年12月23日[4]","9:00 - 17:30","","","","","","","","","","","",""
"道の駅のと千里浜","のとちりはまのと千里浜（のとちりはま）羽咋市県道232号若部千里浜インター線市道羽咋3号線石川-25 ","https://ja.wikipedia.org/wiki/道の駅のと千里浜","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯36度53分09秒東経136度46分03秒","〒925-0054石川県羽咋市千里浜町タ1番地62","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","市道羽咋3号線","第46回（17025）","2016年10月7日","2017年7月7日[1][2]","9:00 - 19:00","","","","","","","","","","","",""
"道の駅めぐみ白山","めぐみ白山（めぐみはくさん）白山市国道8号石川-26 ","https://ja.wikipedia.org/wiki/道の駅めぐみ白山","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯36度30分5秒東経136度32分48.2秒","〒924-0033石川県白山市宮丸町2183番地[1]","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","国道8号","第48回（17026）","2017年11月17日[1]","2018年4月27日[2][3][4]","9:00 - 19:00","","","","","","","","","","","",""
