"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","登録路線","登録回","登録日","開駅日","外部リンク","営業時間","施工","建築主","事業主体","管理運営","構造形式","建築面積","延床面積","階数","高さ","着工","竣工","開館開所"
"道の駅かわさき","かわさき一関市国道284号岩手-26 ","https://ja.wikipedia.org/wiki/道の駅かわさき","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯38度53分55秒東経141度16分21秒","〒029-0202岩手県一関市川崎町薄衣字法道地42-3","国道284号","第18回（03026）","2002年8月13日","2003年4月16日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 19:00","","","","","","","","","","","",""
"道の駅やまびこ館","やまびこ館（やまびこかん）宮古市国道106号岩手-27 ","https://ja.wikipedia.org/wiki/道の駅やまびこ館","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯39度38分57秒東経141度35分22秒","〒028-2513岩手県宮古市川内8-2","国道106号","第20回（03027）","2004年8月9日","2004年8月9日","国土交通省案内ページ全国道の駅連絡会ページ","9:00 - 18:00（4 - 9月）9:00 - 17:30（10 - 3月）","","","","","","","","","","","",""
"道の駅みやこ","みやこ宮古市国道45号岩手-28 ","https://ja.wikipedia.org/wiki/道の駅みやこ","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯39度38分20秒東経141度58分13秒","〒027-0004岩手県宮古市臨港通1-20","国道45号","第21回（03028）","2005年8月10日","2005年8月10日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 18:00","","","","","","","","","","","",""
"道の駅三田貝分校","みたかいぶんこう三田貝分校（みたかいぶんこう）下閉伊郡岩泉町国道455号岩手-29 ","https://ja.wikipedia.org/wiki/道の駅三田貝分校","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯39度52分16秒東経141度35分22秒","〒028-5641岩手県下閉伊郡岩泉町門字三田貝47番地2","国道455号","第24回（03029）","2007年8月10日","2007年10月8日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 18:00","","","","","","","","","","","",""
"道の駅くじ","くじ久慈市国道281号岩手-30 ","https://ja.wikipedia.org/wiki/道の駅くじ","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯40度11分23秒東経141度45分55秒","〒028-0056岩手県久慈市中町2丁目5番6","国道281号","第25回（03030）","2008年4月4日","2008年4月4日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 22:00","","","","","","","","","","","",""
"道の駅釜石仙人峠","かまいしせんにんとうげ釜石仙人峠（かまいしせんにんとうげ）釜石市国道283号岩手-31 ","https://ja.wikipedia.org/wiki/道の駅釜石仙人峠","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯39度15分12秒東経141度46分56秒","〒026-0055岩手県釜石市甲子町第7地割155番4","国道283号","第43回（03031）","2015年4月15日","2015年4月21日[1][2]","国土交通省案内ページ全国道の駅連絡会ページ","9:00 - 18:00","","","","","","","","","","","",""
"道の駅平泉","ひらいずみ平泉（ひらいずみ）西磐井郡平泉町国道4号岩手-32 ","https://ja.wikipedia.org/wiki/道の駅平泉","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯38度59分30秒東経141度07分18秒","〒029-4102岩手県西磐井郡平泉町平泉字伽羅楽112-2","国道4号","第46回（03032）","2016年10月7日","2017年4月27日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","","","","","","","","","","","","",""
"道の駅むろね","むろね一関市国道284号岩手-33 ","https://ja.wikipedia.org/wiki/道の駅むろね","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯38度56分0秒東経141度26分49.9秒","〒029-1201岩手県一関市室根町折壁字向山131番地9","国道284号","第48回（03033）","2017年11月17日","2018年4月28日[1]","国土交通省案内ページ全国道の駅連絡会ページ","","","","","","","","","","","","",""
"道の駅はなまき西南","はなまきせいなんはなまき西南（はなまきせいなん）花巻市県道13号盛岡和賀線岩手-34 ","https://ja.wikipedia.org/wiki/道の駅はなまき西南","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯39度21分34.9秒東経141度03分20.5秒","〒025-0131岩手県花巻市轟木7地割203","岩手県道13号盛岡和賀線","第52回（03034）","2020年3月13日[1]","2020年8月7日[2][3][4]","全国道の駅連絡会ページ","","","","","","","","","","","","",""
"道の駅青の国ふだい","あおのくにふだい青の国ふだい（あおのくにふだい）下閉伊郡普代村村道駅前1号線岩手-352021年7月オープン予定[1][2]","https://ja.wikipedia.org/wiki/道の駅青の国ふだい","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯40度00分10.6秒東経141度53分09.4秒","〒028-8332岩手県下閉伊郡普代村第9地割字銅屋5-3","村道駅前1号線","第54回（03035）","2021年3月30日[1]","2021年7月（予定）[2]","全国道の駅連絡会ページ公式ウェブサイト","","","","","","","","","","","","",""
"道の駅七ヶ宿","しちかしゅく七ヶ宿（しちかしゅく）刈田郡七ヶ宿町国道113号宮城-01 ","https://ja.wikipedia.org/wiki/道の駅七ヶ宿","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯37度58分58秒東経140度28分02秒","〒989-0535宮城県刈田郡七ヶ宿町字上野地内","国道113号","第1回（04001）","1993年4月22日","1992年9月","国土交通省案内ページ全国道の駅連絡会ページ","9:00 - 17:00","","","","","","","","","","","",""
"道の駅津山","つやま津山（つやま）登米市国道45号宮城-02 ","https://ja.wikipedia.org/wiki/道の駅津山","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯38度37分10秒東経141度19分31秒","〒986-0402宮城県登米市津山町横山字細屋26-1","国道45号","第5回（04002）","1994年4月26日","1988年7月","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 17:00","","","","","","","","","","","",""
"道の駅三本木","さんぼんぎ三本木（さんぼんぎ）大崎市国道4号宮城-03 ","https://ja.wikipedia.org/wiki/道の駅三本木","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯38度31分20秒東経140度56分19秒","〒989-6321宮城県大崎市三本木字大豆坂63-13","国道4号","第8回（04003）","1995年4月11日","1989年4月","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 17:00","","","","","","","","","","","",""
"道の駅路田里はなやま","ろたりはなやま路田里はなやま（ろたりはなやま）栗原市国道398号宮城-04 ","https://ja.wikipedia.org/wiki/道の駅路田里はなやま","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯38度47分40秒東経140度50分40秒","〒987-2511宮城県栗原市花山字本沢北ノ前112-1","国道398号","第8回（04004）","1995年4月11日","1995年4月","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:30 - 18:00","","","","","","","","","","","",""
"道の駅大谷海岸","おおやかいがん大谷海岸（おおやかいがん）気仙沼市国道45号宮城-05大谷海岸駅併設","https://ja.wikipedia.org/wiki/道の駅大谷海岸","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯38度48分50秒東経141度34分01秒","〒988-0273宮城県気仙沼市本吉町三島9","国道45号","第10回（04005）","1996年4月16日","1995年12月","国土交通省案内ページ全国道の駅連絡会ページ","9:00 - 18:00","","","","","","","","","","","",""
"道の駅おおさと","おおさと黒川郡大郷町県道9号大和松島線宮城-06 ","https://ja.wikipedia.org/wiki/道の駅おおさと","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯38度25分27秒東経140度59分35秒","〒981-3521宮城県黒川郡大郷町中村字北浦51-6","宮城県道9号","第10回（04006）","1996年4月16日","1993年4月","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 18：00","","","","","","","","","","","",""
"道の駅米山","よねやま米山（よねやま）登米市国道346号宮城-07 ","https://ja.wikipedia.org/wiki/道の駅米山","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯38度37分38秒東経141度11分16秒","〒987-0321宮城県登米市米山町西野字新遠田67","国道346号","第14回（04007）","1998年4月17日","1998年12月","国土交通省案内ページ全国道の駅連絡会ページ","9:00 - 19:00","","","","","","","","","","","",""
"あ・ら・伊達な道の駅","あらだてなみちのえきあ・ら・伊達な道の駅（あらだてなみちのえき）大崎市国道47号宮城-08 ","https://ja.wikipedia.org/wiki/あ・ら・伊達な道の駅","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯38度42分27秒東経140度50分00秒","〒989-6405宮城県大崎市岩出山池月字下宮道下4-1","国道47号","第16回（04008）","2000年8月18日","2001年4月","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00-18:00","","","","","","","","","","","",""
"道の駅林林館","りんりんかん林林館（りんりんかん）登米市国道346号宮城-09 ","https://ja.wikipedia.org/wiki/道の駅林林館","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯38度44分30秒東経141度18分56秒","〒987-0901宮城県登米市東和町米川字六反33-1","国道346号","第19回（04009）","2003年8月8日","2003年8月8日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 18:00","","","","","","","","","","","",""
"道の駅上品の郷","じょうぼんのさと上品の郷（じょうぼんのさと）石巻市国道45号宮城-10 ","https://ja.wikipedia.org/wiki/道の駅上品の郷","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯38度30分04秒東経141度17分43秒","〒986-0132宮城県石巻市小船越字二子下1-1","国道45号","第20回（04010）","2004年8月9日","2005年3月26日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 19:00","","","","","","","","","","","",""
"道の駅みなみかた","みなみかた登米市県道1号古川佐沼線宮城-11 ","https://ja.wikipedia.org/wiki/道の駅みなみかた","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯38度39分54秒東経141度09分38秒","〒987-0401宮城県登米市南方町新高石浦150-1","宮城県道1号","第20回（04011）","2004年8月9日","2005年3月19日","国土交通省案内ページ全国道の駅連絡会ページ","9:30 - 20:00（4月 - 11月）","","","","","","","","","","","",""
"道の駅村田","むらた村田（むらた）柴田郡村田町県道14号亘理大河原川崎線宮城-12 ","https://ja.wikipedia.org/wiki/道の駅村田","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯38度07分07秒東経140度43分02秒","〒989-1305宮城県柴田郡村田町大字村田字北塩内41","宮城県道14号","第33回（04012）","2010年4月10日","2010年4月10日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 17:00","","","","","","","","","","","",""
"道の駅三滝堂","みたきどう三滝堂（みたきどう）登米市国道45号三陸縦貫自動車道宮城-13三陸縦貫自動車道三滝堂ICに隣接","https://ja.wikipedia.org/wiki/道の駅三滝堂","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯38度42分28秒東経141度19分40秒","〒987-0902宮城県登米市東和町米谷字福平191-1","国道45号","第44回（04013）","2015年11月5日","2017年4月1日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","","","","","","","","","","","","",""
"道の駅おおさき","おおさき大崎市国道108号宮城-14 ","https://ja.wikipedia.org/wiki/道の駅おおさき","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯38度34分49.0秒東経140度57分24.4秒","〒989-6174宮城県大崎市古川千手寺町2-5-50","国道108号","第50回（04014）","2019年3月19日[1]","2019年7月5日[2]","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:30 - 18:30","","","","","","","","","","","",""
"道の駅かくだ","かくだ角田市県道272号角田山下線宮城-15 ","https://ja.wikipedia.org/wiki/道の駅かくだ","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯37度58分06.8秒東経140度48分27.4秒","〒981-1504宮城県角田市枝野字北島81-1","宮城県道272号角田山下線","第50回（04015）","2019年3月19日[1]","2019年4月19日[2][3]","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 18:30","","","","","","","","","","","",""
"道の駅硯上の里おがつ","けんじょうのさとおがつ硯上の里おがつ（けんじょうのさとおがつ）石巻市県道238号釜谷大須雄勝線宮城-16","https://ja.wikipedia.org/wiki/道の駅硯上の里おがつ","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯38度31分14.8秒東経141度28分07.6秒","〒986-1335宮城県石巻市雄勝町下雄勝2-5","宮城県道238号釜谷大須雄勝線","第54回（04016）","2021年3月30日[1]","2021年4月11日[2]","","","","","","","","","","","","","",""
"道の駅おながわ","おながわ牡鹿郡女川町国道398号宮城-17","https://ja.wikipedia.org/wiki/道の駅おながわ","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯38度26分45.5秒東経141度26分44.6秒","〒986-2265宮城県牡鹿郡女川町女川2-66","国道398号","第54回（04017）","2021年3月30日[1]","2021年4月3日[2]","","","","","","","","","","","","","",""
"道の駅さんさん南三陸","さんさんみなみさんりくさんさん南三陸（さんさんみなみさんりく）本吉郡南三陸町国道398号宮城-182022年3月オープン予定[3][2]","https://ja.wikipedia.org/wiki/道の駅さんさん南三陸","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯38度40分41秒東経141度26分53秒","〒986-0752宮城県本吉郡南三陸町志津川字五日町200-1","国道398号","第54回（04018）","2021年3月30日[1]","2022年3月（予定）[2][3]","全国道の駅連絡会ページ","","","","","","","","","","","","",""
"道の駅たかのす","たかのす北秋田市国道7号秋田-01 ","https://ja.wikipedia.org/wiki/道の駅たかのす","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯40度15分06秒東経140度22分32秒","〒018-3301秋田県北秋田市綴子字大堤道下62-1","国道7号","第1回（05001）","1993年4月22日","1989年10月","国土交通省案内ページ全国道の駅連絡会ページ","9:00 - 18:0012月 - 3月 9:30 - 17:00","","","","","","","","","","","",""
"道の駅ふたつい","ふたつい能代市国道7号秋田-02 ","https://ja.wikipedia.org/wiki/道の駅ふたつい","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯40度13分06秒東経140度15分39秒","〒018-3102秋田県能代市二ツ井町小繋字泉51（移転後）二ツ井町小繋字中島109-10（移転前）","国道7号","第5回（05002）","1994年4月26日","1992年4月","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 18:00","","","","","","","","","","","",""
"道の駅にしめ","にしめ由利本荘市国道7号秋田-03 ","https://ja.wikipedia.org/wiki/道の駅にしめ","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯39度21分46秒東経140度00分52秒","〒018-0604秋田県由利本荘市西目町沼田字新道下1112-2","国道7号","第8回（05003）","1995年4月11日","1995年9月","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00-19:0011月-3月 9:00-18:00","","","","","","","","","","","",""
"道の駅やたて峠","やたて峠（やたてとうげ）大館市国道7号秋田-04 ","https://ja.wikipedia.org/wiki/道の駅やたて峠","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯40度25分15秒東経140度37分30秒","〒017-0001秋田県大館市長走字陣場311","国道7号","第8回（05004）","1995年4月11日","1996年3月","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","7:00-21:00","","","","","","","","","","","",""
"道の駅はちもり","はちもり山本郡八峰町国道101号秋田-05 ","https://ja.wikipedia.org/wiki/道の駅はちもり","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯40度25分18秒東経139度56分56秒","〒018-2601秋田県山本郡八峰町八森字乙の水72-4","国道101号","第8回（05005）","1995年4月11日","1994年10月","国土交通省案内ページ全国道の駅連絡会ページ","9:00 - 18:00冬期 9:00 - 17:00","","","","","","","","","","","",""
"道の駅かづの","かづの鹿角市国道282号秋田-06 ","https://ja.wikipedia.org/wiki/道の駅かづの","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯40度10分54秒東経140度47分08秒","〒018-5201秋田県鹿角市花輪字新田町11-4","国道282号","第8回（05006）","1995年4月11日","1989年5月","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00-18:00（4月 - 11月）9:00-17:00（12月-3月）","","","","","","","","","","","",""
"道の駅かみおか","かみおか大仙市国道13号秋田-07 ","https://ja.wikipedia.org/wiki/道の駅かみおか","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯39度31分20秒東経140度22分36秒","〒019-1702秋田県大仙市北楢岡字船戸187","国道13号","第10回（05007）","1996年4月16日","1996年6月28日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","8:00 - 19:0012月-3月 8:00 - 18:00","","","","","","","","","","","",""
"道の駅ことおか","ことおか山本郡三種町国道7号秋田-08 ","https://ja.wikipedia.org/wiki/道の駅ことおか","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯40度01分20秒東経140度04分49秒","〒018-2104秋田県山本郡三種町鹿渡字高石野126-1","国道7号","第10回（05008）","1996年4月16日","1997年12月","国土交通省案内ページ全国道の駅連絡会ページ","9:00 - 18:00","","","","","","","","","","","",""
"道の駅東由利","ひがしゆり東由利（ひがしゆり）由利本荘市国道107号秋田-09 ","https://ja.wikipedia.org/wiki/道の駅東由利","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯39度18分06秒東経140度17分06秒","〒015-0211秋田県由利本荘市東由利老方字畑田28","国道107号","第10回（05009）","1996年4月16日","1995年11月9日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 21:00","","","","","","","","","","","",""
"道の駅かみこあに","かみこあに北秋田郡上小阿仁村国道285号秋田-10 ","https://ja.wikipedia.org/wiki/道の駅かみこあに","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯40度03分49秒東経140度17分50秒","〒018-4421秋田県北秋田郡上小阿仁村小沢田字向川原66-1","国道285号","第10回（05010）","1996年4月16日","1996年12月","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00-18:00","","","","","","","","","","","",""
"道の駅象潟","きさかた象潟（きさかた）にかほ市国道7号秋田-11 ","https://ja.wikipedia.org/wiki/道の駅象潟","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯39度13分12.5秒東経139度54分0.7秒","〒018-0121秋田県にかほ市象潟町字大塩越73-1","国道7号","第12回（05011）","1997年4月11日","1998年3月28日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 21:00","","","","","","","","","","","",""
"道の駅なかせん","なかせん大仙市国道105号秋田-12 ","https://ja.wikipedia.org/wiki/道の駅なかせん","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯39度32分18秒東経140度31分59秒","〒014-0207秋田県大仙市長野字高畑95-1","国道105号","第12回（05012）","1997年4月11日","1997年10月","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","8:00-21:30","","","","","","","","","","","",""
"道の駅おがち","おがち湯沢市国道13号秋田-13 ","https://ja.wikipedia.org/wiki/道の駅おがち","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯39度03分54秒東経140度27分37秒","〒019-0205秋田県湯沢市小野字橋本90","国道13号","第14回（05013）","1998年4月17日","1999年4月14日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00-19:00","","","","","","","","","","","",""
"道の駅てんのう","てんのう潟上市県道56号秋田天王線秋田-14 ","https://ja.wikipedia.org/wiki/道の駅てんのう","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯39度51分23秒東経140度00分36秒","〒010-0201秋田県潟上市天王字江川上谷地109-2","秋田県道56号","第14回（05014）","1998年4月17日","1998年10月","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00-22:00","","","","","","","","","","","",""
"道の駅岩城","いわき岩城（いわき）由利本荘市国道7号秋田-15 ","https://ja.wikipedia.org/wiki/道の駅岩城","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯39度32分34秒東経140度03分11秒","〒018-1301秋田県由利本荘市岩城内道川字新鶴潟192-43","国道7号","第15回（05015）","1999年8月27日","2000年7月2日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00-21:00（冬季9:00-20:00）","","","","","","","","","","","",""
"道の駅しょうわ","しょうわ潟上市国道7号秋田-16 ","https://ja.wikipedia.org/wiki/道の駅しょうわ","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯39度51分53秒東経140度04分40秒","〒018-1415秋田県潟上市昭和豊川竜毛字山ノ下1-1","国道7号","第15回（05016）","1999年8月27日","1997年5月1日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 18:00","","","","","","","","","","","",""
"道の駅みねはま","みねはま山本郡八峰町国道101号秋田-17 ","https://ja.wikipedia.org/wiki/道の駅みねはま","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯40度15分52秒東経140度01分41秒","〒018-2509秋田県山本郡八峰町峰浜沼田字ホンコ谷地147","国道101号","第15回（05017）","1999年8月27日","不明","国土交通省案内ページ全国道の駅連絡会ページ","3月-12月 9:00 - 18:001月-2月 9:00 - 17:00","","","","","","","","","","","",""
"道の駅さんない","さんない横手市国道107号秋田-18 ","https://ja.wikipedia.org/wiki/道の駅さんない","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯39度17分21秒東経140度37分33秒","〒017-0203秋田県横手市山内土渕字小目倉沢34","国道107号","第15回（05018）","1999年8月27日","2000年4月25日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00-19:0011月-3月 9:00-18:00","","","","","","","","","","","",""
"道の駅おおうち","おおうち由利本荘市国道105号秋田-19羽後岩谷駅と連絡","https://ja.wikipedia.org/wiki/道の駅おおうち","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯39度26分34秒東経140度05分25秒","〒018-0711秋田県由利本荘市岩谷町字西越36","国道105号","第16回（05019）","2000年8月18日","2000年12月8日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00-18:00","","","","","","","","","","","",""
"道の駅あに","あに北秋田市国道105号秋田-20 ","https://ja.wikipedia.org/wiki/道の駅あに","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯39度54分06秒東経140度27分26秒","〒018-4735秋田県北秋田市阿仁比立内字家ノ後8-1外","国道105号","第16回（05020）","2000年8月18日","2001年8月","国土交通省案内ページ全国道の駅連絡会ページ","（4月-10月）9:00-18:00（11月-3月）9:00-17:00","","","","","","","","","","","",""
"道の駅ひない","ひない大館市国道285号秋田-21 ","https://ja.wikipedia.org/wiki/道の駅ひない","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯40度13分10秒東経140度35分07秒","〒018-5701秋田県大館市比内町扇田字新大堤下93-11","国道285号","第17回（05021）","2001年8月21日","2001年12月","国土交通省案内ページ全国道の駅連絡会ページ","9:00-18:00","","","","","","","","","","","",""
"道の駅五城目","ごじょうめ五城目（ごじょうめ）南秋田郡五城目町国道285号秋田-22 ","https://ja.wikipedia.org/wiki/道の駅五城目","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯39度56分49秒東経140度08分38秒","〒018-1856秋田県南秋田郡五城目町富津内下山内字上広ヶ野76-1","国道285号","第18回（05022）","2002年8月13日","2002年11月","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 19:0010月-3月 9:00 - 18:00","","","","","","","","","","","",""
"道の駅清水の里・鳥海郷","しみずのさとちょうかいごう清水の里・鳥海郷（しみずのさとちょうかいごう）由利本荘市国道108号秋田-23 ","https://ja.wikipedia.org/wiki/道の駅清水の里・鳥海郷","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯39度06分34秒東経140度17分28秒","〒015-0721秋田県由利本荘市鳥海町上笹子字堺台100","国道108号","第20回（05023）","2004年8月9日","2004年9月3日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","8:00-20:00","","","","","","","","","","","",""
"道の駅美郷","みさと美郷（みさと）仙北郡美郷町国道13号秋田-24 ","https://ja.wikipedia.org/wiki/道の駅美郷","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯39度22分46秒東経140度34分03秒","〒019-1302秋田県仙北郡美郷町金沢字下舘124","国道13号","第20回（05024）","2004年8月9日","2004年10月5日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 19:00","","","","","","","","","","","",""
"道の駅協和","きょうわ協和（きょうわ）大仙市国道46号秋田-25 ","https://ja.wikipedia.org/wiki/道の駅協和","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯39度37分08秒東経140度21分45秒","〒019-2412秋田県大仙市協和荒川字新田表15-2","国道46号","第20回（05025）","2004年8月9日","2005年2月10日","国土交通省案内ページ全国道の駅連絡会ページ","9:00-19:0011月-4月 9:00-18:00","","","","","","","","","","","",""
"道の駅十文字","じゅうもんじ十文字（じゅうもんじ）横手市国道13号秋田-26 ","https://ja.wikipedia.org/wiki/道の駅十文字","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯39度13分34秒東経140度31分17秒","〒019-0529秋田県横手市十文字町字海道下21番地4","国道13号","第24回（05026）","2007年8月10日","2007年7月3日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00-19:0012月-3月 9:00-18:00","","","","","","","","","","","",""
"道の駅おおがた","おおがた南秋田郡大潟村県道42号男鹿八竜線秋田-27 ","https://ja.wikipedia.org/wiki/道の駅おおがた","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯40度00分55秒東経139度57分06秒","〒010-0445秋田県南秋田郡大潟村字西五丁目2番地","秋田県道42号","第27回（05027）","2008年5月19日","2008年6月1日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","8:00-19:00（夏期）9:00-18:00（冬期）","","","","","","","","","","","",""
