"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","面積","分類","運営者","指定区域","指定日","公式サイト","事務所","事務所所在地","年来園者数","前身","地域","創立日","運営組織","告示","所在地","最寄り","開園","場所","主要な島"
"大和青垣国定公園","[大和青垣国定公園1970年12月28日大和三山一帯の丘陵地] 大和青垣国定公園 （やまとあおがきこくていこうえん）は、 奈良盆地 の東部に発達する 丘陵 地帯を中心とした 国定公園 。 1970年 12月28日に、 愛知高原国定公園 ・ 揖斐関ヶ原養老国定公園 ・ 室生赤目青山国定公園 と同時に指定された。","https://ja.wikipedia.org/wiki/大和青垣国定公園","国定公園","https://ja.wikipedia.org/wiki/国定公園","表形式","","","","","","","","","","","","","","","","","","","",""
"高野竜神国定公園","[高野竜神国定公園1967年3月23日高野山及び龍神温泉一帯] 高野竜神国定公園 （こうやりゅうじんこくていこうえん）は、 和歌山県 の 高野山 と 龍神温泉 一帯を中心とした山岳 公園 。一部 奈良県 にも指定区域が広がる。 1967年 （ 昭和 42年） 3月23日 指定。 高野龍神国定公園 の表記も用いられる  。","https://ja.wikipedia.org/wiki/高野竜神国定公園","国定公園","https://ja.wikipedia.org/wiki/国定公園","表形式","","","","","","","","","","","","","","","","","","","",""
"比婆道後帝釈国定公園","[比婆道後帝釈国定公園1963年7月24日比婆山、道後山、吾妻山及び帝釈峡] 比婆道後帝釈国定公園 （ひばどうごたいしゃくこくていこうえん）は、 広島県 ・ 島根県 及び 鳥取県 にまたがる 国定公園 である。","https://ja.wikipedia.org/wiki/比婆道後帝釈国定公園","国定公園","https://ja.wikipedia.org/wiki/国定公園","表形式","","","","","","","","","","","","","","","","","","","",""
"西中国山地国定公園","[西中国山地国定公園1969年1月10日中国山地西部（三段峡、匹見峡、寂地峡含む）] 西中国山地国定公園 は、 中国山地 の西部、 島根県 、 広島県 、 山口県 に亘る山岳公園である。昭和44年1月10日指定。面積は約285平方km。 恐羅漢山 、 寂地山 、 冠山 、阿佐山など高さ1,200～1,300mの山々が連続し、急斜面から無数の 渓谷 を生み出している。","https://ja.wikipedia.org/wiki/西中国山地国定公園","国定公園","https://ja.wikipedia.org/wiki/国定公園","表形式","","","","","","","","","","","","","","","","","","","",""
"北長門海岸国定公園","[北長門海岸国定公園1955年11月1日青海島、須佐湾など] 北長門海岸国定公園 （きたながとかいがんこくていこうえん）とは、 山口県 北部の 萩市 、 阿武郡 阿武町 、 長門市 、 下関市 豊北町 の海岸線を中心に指定された 国定公園 である。 1955年 （昭和30年）11月1日に国定公園の指定を受ける。","https://ja.wikipedia.org/wiki/北長門海岸国定公園","国定公園","https://ja.wikipedia.org/wiki/国定公園","表形式","","","","","","","","","","","","","","","","","","","",""
"秋吉台国定公園","[秋吉台国定公園1955年11月1日秋芳洞、秋吉台] 秋吉台国定公園 （あきよしだいこくていこうえん）は 山口県 中央部の 美祢市 （旧 秋芳町 ・旧 美東町 ）に広がる カルスト台地 の 秋吉台 （狭義）からなり、指定地域内に 秋芳洞 など約200の洞窟（ 鍾乳洞 ）を胚胎する 国定公園 。 カルスト台地 という独特の性質のため、上級公園の中でも比較的指定面積（45.02km 2 ）が狭い公園である。 1955年 （昭和30年） 11月1日 指定。","https://ja.wikipedia.org/wiki/秋吉台国定公園","国定公園","https://ja.wikipedia.org/wiki/国定公園","表形式","","","","","","","","","","","","","","","","","","","",""
"剣山国定公園","[剣山国定公園1964年3月3日剣山山麓一帯、大歩危、小歩危、祖谷渓] 徳島県 を中心とするが、一部は 高知県 の山も含まれている。剣山や 三嶺 （みうね）を中心とした山岳地帯のほか、 祖谷渓 や 大歩危 、 小歩危 を中心とした渓谷もこの国定公園の見所である。","https://ja.wikipedia.org/wiki/剣山国定公園","国定公園","https://ja.wikipedia.org/wiki/国定公園","表形式","北緯33度46分27秒 東経134度01分43秒","","","","","","","","","","","","","","","","","","",""
"室戸阿南海岸国定公園","[室戸阿南海岸国定公園1964年6月1日室戸岬～阿南海岸に亘る海岸線一帯] 室戸阿南海岸国定公園（むろとあなんかいがんこくていこうえん） は 四国 南部の 室戸岬 ～ 徳島県 南部の海岸一帯を占める 国定公園 。","https://ja.wikipedia.org/wiki/室戸阿南海岸国定公園","国定公園","https://ja.wikipedia.org/wiki/国定公園","表形式","","","","","","","","","","","","","","","","","","","",""
"石鎚国定公園","[石鎚国定公園1955年11月1日石鎚山、面河渓] 石鎚国定公園 （いしづちこくていこうえん）は、 愛媛県 の 石鎚山 （1,982m）とその近辺の山嶺を占める 国定公園 である。 1955年 11月1日 指定。総面積10,683ha  。","https://ja.wikipedia.org/wiki/石鎚国定公園","国定公園","https://ja.wikipedia.org/wiki/国定公園","表形式","","","","","","","","","","","","","","","","","","","",""
"北九州国定公園","[北九州国定公園1972年10月16日皿倉山、平尾台] 北九州国定公園 （きたきゅうしゅう・こくていこうえん）は、 北九州市 の山間部に指定された 国定公園 である。面積82.49k㎡。 1972年 10月16日に指定。","https://ja.wikipedia.org/wiki/北九州国定公園","国定公園","https://ja.wikipedia.org/wiki/国定公園","表形式","","","","","","","","","","","","","","","","","","","",""
"玄海国定公園","[玄海国定公園1956年6月1日若松北海岸、芥屋大門、虹の松原、唐津湾] 玄海国定公園 （げんかいこくていこうえん）は、 九州 の 福岡 、 佐賀 、 長崎 各県の 玄界灘 沿岸（長崎県は 福島 、 鷹島 のみ）を中心に指定された 国定公園 である。指定年月日は 1956年 6月1日、総面積は101.58 km 2 （ 2001年 3月31日現在）。十数か所の 松原 や 玄武岩 による 海食地形 などの自然景勝地や 朝鮮半島 などとの交流に関係する文化史跡が多い。","https://ja.wikipedia.org/wiki/玄海国定公園","国定公園","https://ja.wikipedia.org/wiki/国定公園","表形式","","","","","","","","","","","","","","","","","","","",""
"耶馬日田英彦山国定公園","[耶馬日田英彦山国定公園1950年7月29日耶馬渓、八面山、英彦山] 耶馬日田英彦山国定公園 （やばひたひこさんこくていこうえん）は九州北東部にある 国定公園 である。 大分県 、 福岡県 、 熊本県 にまたがり、 耶馬渓 、 日田盆地 界隈及び 英彦山 が指定区域となっている。","https://ja.wikipedia.org/wiki/耶馬日田英彦山国定公園","国定公園","https://ja.wikipedia.org/wiki/国定公園","表形式","","","","","","","","","","","","","","","","","","","",""
"壱岐対馬国定公園","[壱岐対馬国定公園1968年7月22日壱岐、浅茅湾など] 壱岐対馬国定公園 （いきつしまこくていこうえん）は、 長崎県 北西部に位置する 壱岐 及び 対馬 の海岸部を中心とした 国定公園 。総面積126.3平方km。 1968年 （ 昭和 43年） 7月22日 指定。 海中公園 も多く分布する。大陸性の固有種が多く棲息することでも知られ、 ツシマテン 、 ツシマヤマネコ などは 天然記念物 にも指定されている。","https://ja.wikipedia.org/wiki/壱岐対馬国定公園","国定公園","https://ja.wikipedia.org/wiki/国定公園","表形式","","","","","","","","","","","","","","","","","","","",""
"九州中央山地国定公園","[九州中央山地国定公園1982年5月15日市房山、五木、五家荘、米良荘、綾照葉樹林帯] 九州中央山地国定公園 （きゅうしゅうちゅうおうさんちこくていこうえん）は、 熊本県 と 宮崎県 にまたがる九州脊梁部の森林山岳と渓谷を主とする 国定公園 。指定は他の国定公園と比較すると新しく、 1982年 5月15日 である。","https://ja.wikipedia.org/wiki/九州中央山地国定公園","国定公園","https://ja.wikipedia.org/wiki/国定公園","表形式","","27,096ha","","","","","","","","","","熊本県、宮崎県","1982年5月15日","熊本県、宮崎県","","","","","",""
"日豊海岸国定公園","[日豊海岸国定公園1974年2月15日日豊海岸、枇榔島] 日豊海岸国定公園 （にっぽうかいがんこくていこうえん）は、 九州 東部の 大分県 中部（ 佐賀関半島 ）から南は 宮崎県 北部（ 美々津 海岸）にかけての 海岸線 に設置された 国定公園 。延長約120kmにおよぶ海岸部半島、湾入、島嶼断崖と続く リアス式海岸 と多島海景。 1974年 （昭和49年） 2月15日 指定。","https://ja.wikipedia.org/wiki/日豊海岸国定公園","国定公園","https://ja.wikipedia.org/wiki/国定公園","表形式","","8,518ha","","","","","","","","","","大分県、宮崎県","1974年（昭和49年）2月15日","大分県、宮崎県","","","","","",""
"祖母傾国定公園","[祖母傾国定公園1965年3月25日祖母山、高千穂峡] 祖母傾国定公園 （そぼかたむきこくていこうえん）は、 九州 東部の 大分県 と 宮崎県 との県境にまたがる山岳地帯や河川流域を指定区域とする 国定公園 である。 1965年 3月25日指定。","https://ja.wikipedia.org/wiki/祖母傾国定公園","国定公園","https://ja.wikipedia.org/wiki/国定公園","表形式","北緯32度49分41.2728秒東経131度20分49.3647秒","22,000ha","国定公園","大分県、宮崎県","日本大分県、宮崎県北緯32度49分41.2728秒東経131度20分49.3647秒﻿ / ﻿北緯32.828131333度 東経131.347045750度﻿ /32.828131333; 131.347045750座標:北緯32度49分41.2728秒東経131度20分49.3647秒﻿ / ﻿北緯32.828131333度 東経131.347045750度﻿ /32.828131333; 131.347045750","1965年3月25日","","大分県生活環境部生活環境企画課宮崎県自然環境課","大分県大分市大手町3-1-1 大分県庁舎別館宮崎県宮崎市旭1丁目3-6 宮崎県庁7号館","","","","","","","","","","",""
"日南海岸国定公園","[日南海岸国定公園1955年6月1日青島、日南海岸、都井岬] 日南海岸国定公園 （にちなんかいがんこくていこうえん）は、 宮崎県 南部から 鹿児島県 志布志湾 西岸の 肝属川 河口までの海岸線を包括した 国定公園 。 1955年 6月1日 指定。","https://ja.wikipedia.org/wiki/日南海岸国定公園","国定公園","https://ja.wikipedia.org/wiki/国定公園","表形式","北緯31度34分44秒 東経131度25分48秒","","","","","","","","","","","","","","","","","","",""
"甑島国定公園","[甑島国定公園2015年3月16日海鼠池、貝池、鹿島断崖、鹿の子断層、珊瑚礁、照葉樹林帯など] 甑島列島 （こしきしまれっとう  ）は、 東シナ海 にあり、 鹿児島県 薩摩川内市 に属する 列島 。 甑列島 （こしきれっとう）ともいう。 上甑島 （かみこしきしま）、 中甑島 （なかこしきしま）、 下甑島 （しもこしきしま）の有人島3島と多数の小規模な無人島からなる   。中甑島北部にある「 甑 」（ 蒸籠 ）の形をした大岩を甑大明神として崇拝したことに由来し、かつては「古敷島」「小敷島」「子敷島」「古志岐島」などとも書いた     。列島全体では人口5,576人、面積117.56km 2 、海岸線延長183.3kmである  。","https://ja.wikipedia.org/wiki/甑島国定公園","国定公園","https://ja.wikipedia.org/wiki/国定公園","表形式","北緯31度45分24秒東経129度47分17秒","117.56 km2(45.39 sq mi)","","","","","","","","","","","","","","","","","東シナ海","上甑島、中甑島、下甑島"
"沖縄海岸国定公園","[沖縄海岸国定公園※41972年5月15日北部海岸、中部海岸、恩納ビーチ、万座毛、与那覇岳など] 沖縄海岸国定公園 （おきなわかいがんこくていこうえん）は、 沖縄県 の 沖縄本島 の中部 読谷村 の残波岬から北部 国頭村 の西海岸一帯及び 本部半島 にまたがる 国定公園 である  。 慶良間諸島 周辺は 1978年 に当公園に追加指定されたが、 2014年 3月に当公園の区域からは削除されるとともに新たに 慶良間諸島国立公園 に指定された  。また、 2016年 9月15日 に新規指定された やんばる国立公園 に、沖縄本島北部（ 山原 ）の一部が編入され、区域縮小された  。","https://ja.wikipedia.org/wiki/沖縄海岸国定公園","国定公園","https://ja.wikipedia.org/wiki/国定公園","表形式","北緯26度37分00秒東経128度00分00秒","15,857ha（陸域：4,872ha、海域：10,985ha）","国定公園","沖縄県","日本沖縄本島北部西海岸、本部半島北緯26度37分00秒東経128度00分00秒﻿ / ﻿北緯26.61667度 東経128.00000度﻿ /26.61667; 128.00000﻿ (沖縄海岸国定公園)座標:北緯26度37分00秒東経128度00分00秒﻿ / ﻿北緯26.61667度 東経128.00000度﻿ /26.61667; 128.00000﻿ (沖縄海岸国定公園)","1972年5月15日","沖縄海岸国定公園（沖縄県）","","","","沖縄海岸政府立公園","","","","","","","","",""
"沖縄戦跡国定公園","[沖縄戦跡国定公園※41972年5月15日ひめゆりの塔など県南部海岸地帯の戦争史跡] 沖縄戦跡国定公園 （おきなわせんせきこくていこうえん）は、 沖縄県 の 沖縄本島 南端部、 糸満市 と 島尻郡 八重瀬町 にまたがる、 第二次世界大戦 （ 沖縄戦 ）の戦跡と自然景観を有する 国定公園 である。","https://ja.wikipedia.org/wiki/沖縄戦跡国定公園","国定公園","https://ja.wikipedia.org/wiki/国定公園","表形式","北緯26度05分42.7秒東経127度43分30.1秒","5,059ha（陸域：3,127ha、海域：1,932ha）","国定公園","沖縄県","日本沖縄県糸満市、島尻郡八重瀬町北緯26度05分42.7秒東経127度43分30.1秒﻿ / ﻿北緯26.095194度 東経127.725028度﻿ /26.095194; 127.725028﻿ (沖縄戦跡国定公園)座標:北緯26度05分42.7秒東経127度43分30.1秒﻿ / ﻿北緯26.095194度 東経127.725028度﻿ /26.095194; 127.725028﻿ (沖縄戦跡国定公園)","1972年5月15日","沖縄戦跡国定公園（沖縄県）","","","","沖縄戦跡政府立公園","","","","","","","","",""
