"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","落差","水系","滝幅","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden"
"惣滝","[37惣滝] 惣滝 （そうたき）は、 新潟県 妙高市 にある 滝 。 日本の滝百選 。","https://ja.wikipedia.org/wiki/惣滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯36度54分17.6秒東経138度08分13.7秒","新潟県妙高市（燕温泉）地先","北緯36度54分17.6秒東経138度08分13.7秒﻿ / ﻿北緯36.904889度 東経138.137139度﻿ /36.904889; 138.137139","80m","関川水系太田切川上流大倉沢","6m","","","","","","","","","","","","","",""
"称名滝","[38称名滝富山県立山町] 称名滝 （しょうみょうだき）は、 富山県 中新川郡 立山町 にある 立山連峰 を源流とする 滝 。 弥陀ヶ原 台地から一気に流れ落ち、 称名川 となった後に 常願寺川 へ注ぎ込む。","https://ja.wikipedia.org/wiki/称名滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯36度34分31秒東経137度31分24秒","富山県中新川郡立山町","北緯36度34分31秒東経137度31分24秒﻿ / ﻿北緯36.57528度 東経137.52333度﻿ /36.57528; 137.52333","350m","常願寺川水系称名川","10 - 15m","","","","","","","","","","","","","",""
"姥ケ滝","[39姥ケ滝石川県白山市] 姥ヶ滝 （うばがたき）は、 石川県 白山市 にある 滝 である。 日本の滝百選 に選出されている  。","https://ja.wikipedia.org/wiki/姥ケ滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯36度15分17.4秒東経136度47分55.2秒","石川県白山市","北緯36度15分17.4秒東経136度47分55.2秒﻿ / ﻿北緯36.254833度 東経136.798667度﻿ /36.254833; 136.798667","111m","","40m","","","","","","","","","","","","","",""
"龍双ケ滝","[40龍双ケ滝福井県池田町] 龍双ヶ滝 （りゅうそうがたき）は 福井県 今立郡 池田町 にある 滝 である。福井県では唯一、 日本の滝百選 に選出されている。","https://ja.wikipedia.org/wiki/龍双ケ滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯35度55分22秒東経136度25分15秒","福井県今立郡池田町","北緯35度55分22秒東経136度25分15秒﻿ / ﻿北緯35.92278度 東経136.42083度﻿ /35.92278; 136.42083","60m","九頭竜川水系足羽川支流部子川","20m","","","","","","","","","","","","","",""
"米子大瀑布","[41米子大瀑布長野県須坂市] 米子大瀑布 （よなこだいばくふ）は、 長野県 須坂市 米子にある 滝 。 日本の滝百選 のひとつ。","https://ja.wikipedia.org/wiki/米子大瀑布","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯36度34分00秒東経138度24分21秒","長野県須坂市米子","権現滝北緯36度34分00秒東経138度24分21秒﻿ / ﻿北緯36.56667度 東経138.40583度﻿ /36.56667; 138.40583不動滝北緯36度34分04秒東経138度24分14.5秒﻿ / ﻿北緯36.56778度 東経138.404028度﻿ /36.56778; 138.404028","75 / 80m","信濃川","5 / 4.5m","","","","","","","","","","","","","",""
"三本滝","[42三本滝松本市] 三本滝 （さんぼんだき）は、 長野県 松本市 安曇地区 にある 滝 。 小大野川 、 黒い沢 、 無名沢 の3本の河川の合流地点の直近にあるため、「三本滝」という名称通り、3本の滝が横に並んでいる。 日本の滝百選 の1つ。長野県指定名勝。","https://ja.wikipedia.org/wiki/三本滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯36度7分6.8秒東経137度35分37.1秒","長野県松本市安曇地区","北緯36度7分6.8秒東経137度35分37.1秒﻿ / ﻿北緯36.118556度 東経137.593639度﻿ /36.118556; 137.593639","50m","信濃川水系小大野川","3m","","","","","","","","","","","","","",""
"田立の滝","[43田立の滝南木曽町] 田立の滝 （ただちのたき）は 長野県 木曽郡 南木曽町 にある滝群であり、 日本の滝百選 にも選ばれている。","https://ja.wikipedia.org/wiki/田立の滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯35度37分45.23秒東経137度32分48.92秒","長野県木曽郡南木曽町","北緯35度37分45.23秒東経137度32分48.92秒﻿ / ﻿北緯35.6292306度 東経137.5469222度﻿ /35.6292306; 137.5469222","天河滝40m","木曽川水系坪川","","","","","","","","","","","","","","",""
"根尾の滝","[44根尾の滝岐阜県下呂市] 根尾の滝 （ねおのたき）は、 岐阜県 下呂市 にある 滝 。","https://ja.wikipedia.org/wiki/根尾の滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯35度55分56秒東経137度22分15秒","岐阜県下呂市小坂町落合","北緯35度55分56秒東経137度22分15秒﻿ / ﻿北緯35.93222度 東経137.37083度﻿ /35.93222; 137.37083","63m","木曽川水系濁河川-小坂川","5m","","","","","","","","","","","","","",""
"平湯大滝","[45平湯大滝高山市] 平湯大滝 （ひらゆおおたき）は、 岐阜県 高山市 奥飛騨温泉郷 平湯にある滝。","https://ja.wikipedia.org/wiki/平湯大滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯36度10分37秒東経137度33分34秒","岐阜県高山市奥飛騨温泉郷平湯","北緯36度10分37秒東経137度33分34秒﻿ / ﻿北緯36.17694度 東経137.55944度﻿ /36.17694; 137.55944","64m","神通川水系高原川-平湯川","6m","","","","","","","","","","","","","",""
"養老の滝","[46養老の滝養老町] 養老の滝 （ようろうのたき）は、 岐阜県 養老郡 養老町 にある 木曽川 水系に属する落差32m、幅4mの 滝 である。岐阜県により設置された 養老公園 内にあり、 揖斐関ヶ原養老国定公園 に属する  。","https://ja.wikipedia.org/wiki/養老の滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯35度16分48秒東経136度32分3秒","岐阜県養老郡養老町養老公園","北緯35度16分48秒東経136度32分3秒﻿ / ﻿北緯35.28000度 東経136.53417度﻿ /35.28000; 136.53417","32m","木曽川水系滝谷","4m","","","","","","","","","","","","","",""
"阿弥陀ケ滝","[47阿弥陀ケ滝郡上市] 阿弥陀ヶ滝 （あみだがたき）は、 岐阜県 郡上市 白鳥町前谷（旧 郡上郡 白鳥町 ）にある 滝 。","https://ja.wikipedia.org/wiki/阿弥陀ケ滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯35度57分34.74秒東経136度49分3.78秒","日本岐阜県郡上市白鳥町前谷","北緯35度57分34.74秒東経136度49分3.78秒﻿ / ﻿北緯35.9596500度 東経136.8177167度﻿ /35.9596500; 136.8177167座標:北緯35度57分34.74秒東経136度49分3.78秒﻿ / ﻿北緯35.9596500度 東経136.8177167度﻿ /35.9596500; 136.8177167","60m","木曽川水系長良川支流前谷川","7m","","","","","","","","","","","","","",""
"安倍の大滝","[48安倍の大滝静岡県静岡市葵区] 安倍の大滝 （あべのおおたき）は、 静岡県 静岡市 葵区 にある 滝 。 安倍川 の上流、 梅ヶ島温泉 の近くに位置し、 日本の滝百選 に数えられている他、 日本三大名瀑 に数えられることもある。「駿河大滝」「乙女の滝」とも言われる。","https://ja.wikipedia.org/wiki/安倍の大滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯35度17分59秒東経138度21分06秒","静岡県静岡市葵区","北緯35度17分59秒東経138度21分06秒﻿ / ﻿北緯35.29972度 東経138.35167度﻿ /35.29972; 138.35167","80m","安倍川","4(諸説あり)m","","","","","","","","","","","","","",""
"浄蓮の滝","[49浄蓮の滝伊豆市] 浄蓮の滝 （じょうれんのたき）は、 静岡県 伊豆市 湯ヶ島にある 滝 。 日本の滝百選 の一つ。","https://ja.wikipedia.org/wiki/浄蓮の滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯34度52分18秒東経138度55分20秒","静岡県伊豆市湯ヶ島","北緯34度52分18秒東経138度55分20秒﻿ / ﻿北緯34.87167度 東経138.92222度﻿ /34.87167; 138.92222","25m","狩野川水系本谷川","7m","","","","","","","","","","","","","",""
"白糸の滝","[50白糸の滝＋音止めの滝富士宮市] 白糸の滝 （しらいとのたき）とは、 静岡県 富士宮市 にある 滝 。隣接する 音止めの滝 と共に著名な 観光地 の1つとして知られ、 日本の滝百選 にも選ばれている他、 日本三大名瀑 に選ばれることがある。","https://ja.wikipedia.org/wiki/白糸の滝_(静岡県)","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯35度18分47秒東経138度35分14秒","日本静岡県富士宮市上井出","北緯35度18分47秒東経138度35分14秒﻿ / ﻿北緯35.312939度 東経138.587343度﻿ /35.312939; 138.587343座標:北緯35度18分47秒東経138度35分14秒﻿ / ﻿北緯35.312939度 東経138.587343度﻿ /35.312939; 138.587343","20m","富士川水系芝川","200m","","","","","","","","","","","","","",""
"阿寺の七滝","[51阿寺の七滝愛知県新城市] 阿寺の七滝 （あてらのななたき）は、 愛知県 新城市 の 阿寺川 にある 滝 。滝および周辺は国の 名勝 および 天然記念物 に指定されている。 日本の滝100選 の一つ。","https://ja.wikipedia.org/wiki/阿寺の七滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯34度56分49.8秒東経137度38分54.4秒","愛知県新城市下吉田","北緯34度56分49.8秒東経137度38分54.4秒﻿ / ﻿北緯34.947167度 東経137.648444度﻿ /34.947167; 137.648444﻿ (阿寺の七滝)座標:北緯34度56分49.8秒東経137度38分54.4秒﻿ / ﻿北緯34.947167度 東経137.648444度﻿ /34.947167; 137.648444﻿ (阿寺の七滝)","26m","豊川","","","","","","","","","","","","","","",""
"布引の滝","[52布引の滝三重県熊野市] 布引の滝 （ぬのびきのたき）は、 三重県 熊野市 にある 滝 で、 日本の滝百選 の1つである。一帯は熊野市きらずの森（20ヘクタール）となっている。 名称の由来は、水の流れが大巾の布地を垂らしたように、音もなく飛沫も立てずに静かに流れ落ちるさまから付けられた。熊野市の条例で布引の滝付近一帯の森は「切らずの森」として指定され、自然を保護すべく守り続けられている。","https://ja.wikipedia.org/wiki/布引の滝_(三重県熊野市)","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯33度50分31.1秒東経135度55分18.4秒","三重県熊野市","北緯33度50分31.1秒東経135度55分18.4秒﻿ / ﻿北緯33.841972度 東経135.921778度﻿ /33.841972; 135.921778","53m","楊枝川","","","","","","","","","","","","","","",""
"赤目四十八滝","[53赤目四十八滝名張市] 赤目四十八滝 （あかめしじゅうはちたき）は、 日本 に数多く存在する 四十八滝 の一つで、 三重県 名張市 赤目町を流れる滝川の 渓谷 にある、一連の 滝 の総称である。また、谷は 赤目四十八滝渓谷 （あかめしじゅうはちたき けいこく）と称される。","https://ja.wikipedia.org/wiki/赤目四十八滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯34度33分33秒東経136度5分30秒","三重県名張市赤目町","北緯34度33分33秒東経136度5分30秒﻿ / ﻿北緯34.55917度 東経136.09167度﻿ /34.55917; 136.09167座標:北緯34度33分33秒東経136度5分30秒﻿ / ﻿北緯34.55917度 東経136.09167度﻿ /34.55917; 136.09167","荷担滝8m","淀川水系滝川","","","","","","","","","","","","","","",""
"七ツ釜滝","[54七ツ釜滝大台町] 七ツ釜滝 （ななつがまだき）は、 日本三大峡谷 として知られる、 大杉谷 ( 三重県 多気郡 大台町 )にある 滝 。その名の示す通り多くの釜を有する段瀑であり、落差は120m以上。「 日本の滝百選 」に選ばれている名瀑である。","https://ja.wikipedia.org/wiki/七ツ釜滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯34度12分33秒東経136度9分9.9秒","三重県多気郡大台町","北緯34度12分33秒東経136度9分9.9秒﻿ / ﻿北緯34.20917度 東経136.152750度﻿ /34.20917; 136.152750","120m","宮川水系宮川","15m","","","","","","","","","","","","","",""
"八ツ淵の滝","[55八ツ淵の滝滋賀県高島市] 八ツ淵の滝 （やつぶちのたき）は、 武奈ヶ岳 の中腹にある 鴨川 源流域に位置する8つの滝の総称    。 日本の滝百選 に選出されている    。","https://ja.wikipedia.org/wiki/八ツ淵の滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯35度16分07秒 東経135度55分08秒","","","","","","","","","","","","","","","","","","",""
"金引の滝","[56金引の滝京都府宮津市] 金引の滝 （かなびきのたき）は、 京都府 宮津市 滝馬（たきば）にある 滝 。高さ約40メートル、幅約20メートル    。金引の滝（男滝・女滝）、白竜の滝（はくりゅう）、臥竜の滝（がりゅう）の3滝の総称である。 大手川 の支流である滝馬川の上流部にある  。京都府で唯一、 日本の滝百選 に選定されている   。","https://ja.wikipedia.org/wiki/金引の滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯35度31分46秒東経135度10分57秒","京都府宮津市滝馬","北緯35度31分46秒東経135度10分57秒﻿ / ﻿北緯35.52944度 東経135.18250度﻿ /35.52944; 135.18250","40m","大手川","20m","","","","","","","","","","","","","",""
"箕面滝","[57箕面滝大阪府箕面市] 箕面滝 （みのおたき、みのおのたき、みのおだき）は、 大阪府 箕面市 の 明治の森箕面国定公園 内にある 滝 である。 箕面大滝 ともいう。 日本の滝百選 の一つに選定されている。","https://ja.wikipedia.org/wiki/箕面滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯34度51分14秒東経135度28分18秒","大阪府箕面市","北緯34度51分14秒東経135度28分18秒﻿ / ﻿北緯34.85389度 東経135.47167度﻿ /34.85389; 135.47167","33m","淀川水系箕面川","5m","","","","","","","","","","","","","",""
"原不動滝","[58原不動滝兵庫県宍粟市] 原不動滝 （はらふどうだき）は 兵庫県 宍粟市 波賀町原にある 滝 。 日本の滝百選 の一つ。","https://ja.wikipedia.org/wiki/原不動滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯35度11分52.74秒東経134度30分6.62秒","兵庫県宍粟市","北緯35度11分52.74秒東経134度30分6.62秒﻿ / ﻿北緯35.1979833度 東経134.5018389度﻿ /35.1979833; 134.5018389","88m","揖保川水系八丈川","","","","","","","","","","","","","","",""
"猿尾滝","[59猿尾滝香美町] 猿尾滝 （さるおだき）は 兵庫県 美方郡 香美町 村岡区 にある 滝 。但馬三名瀑の一つに数えられ、 日本の滝百選 に選定されている。","https://ja.wikipedia.org/wiki/猿尾滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯35度26分2秒東経134度36分52秒","兵庫県香美町","北緯35度26分2秒東経134度36分52秒﻿ / ﻿北緯35.43389度 東経134.61444度﻿ /35.43389; 134.61444","60m","作山川","","","","","","","","","","","","","","",""
"天滝","[60天滝養父市] 氷ノ山の東方33kmに位置する落差98mの雄大な滝は、天から降り注ぐかのような荘厳さからその名が付けられたとされる。 弘法大師（空海） 所縁とする伝承が残り、「大和長谷寺縁起」や「役の行者本記」などにもその名を残す。 1996年 度の NHK 連続テレビ小説 「 ふたりっ子 」のオープニングに登場した 滝 でもある。","https://ja.wikipedia.org/wiki/天滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯35度20分7秒東経134度36分27秒","兵庫県養父市","北緯35度20分7秒東経134度36分27秒﻿ / ﻿北緯35.33528度 東経134.60750度﻿ /35.33528; 134.60750座標:北緯35度20分7秒東経134度36分27秒﻿ / ﻿北緯35.33528度 東経134.60750度﻿ /35.33528; 134.60750","98m","円山川水系大屋川","","","","","","","","","","","","","","",""
"布引の滝","[61布引の滝神戸市中央区] 布引の滝 （ぬのびきのたき）は、 神戸市 中央区 を流れる 布引渓流 （ 名水百選 ）にある4つの 滝 の総称。 日本三大神滝 のひとつ。 日本三大名瀑 にも選ばれることがある。 布引滝 とも表記する。名瀑として知られる古来の景勝地である。","https://ja.wikipedia.org/wiki/布引の滝_(兵庫県)","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯34度42分35秒東経135度11分37秒","兵庫県神戸市中央区","北緯34度42分35秒東経135度11分37秒﻿ / ﻿北緯34.70972度 東経135.19361度﻿ /34.70972; 135.19361﻿ (布引の滝)座標:北緯34度42分35秒東経135度11分37秒﻿ / ﻿北緯34.70972度 東経135.19361度﻿ /34.70972; 135.19361﻿ (布引の滝)","(雄滝)43m","生田川","","","","","","","","","","","","","","",""
"双門の滝","[62双門の滝奈良県天川村] 双門の滝 （そうもんのたき）は、 奈良県 天川村 にある 滝 。 日本の滝百選 の一つに選ばれている。上部は数段に分かれた段瀑で下部は細い岩肌の隙間を縫うように一気に落ちる。全体の落差は70メートル。 弥山 の登山道から入渓し、弥山川に沿って遡行の後、裏双門と呼ばれる岩尾根に登る。登った先の高台は俗に双門の滝テラスと呼ばれており、双門の滝を遠望できる。基本的に滝直下に行く一般ルートはない。やや北にある観音峰山山頂から弥山方面を見るとかなりの遠望だが滝の姿を見ることが出来る。","https://ja.wikipedia.org/wiki/双門の滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯34度11分57.4秒東経135度53分32.9秒","奈良県天川村","北緯34度11分57.4秒東経135度53分32.9秒﻿ / ﻿北緯34.199278度 東経135.892472度﻿ /34.199278; 135.892472座標:北緯34度11分57.4秒東経135度53分32.9秒﻿ / ﻿北緯34.199278度 東経135.892472度﻿ /34.199278; 135.892472","70m","新宮川水系弥山川","","","","","","","","","","","","","","",""
"不動七重の滝","[63不動七重の滝下北山村] 不動七重の滝 （ふどうななえのたき）は、 奈良県 吉野郡 下北山村 にあり、 吉野熊野国立公園 の特別地域で、 日本の滝百選 の1つである。","https://ja.wikipedia.org/wiki/不動七重の滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯34度5分46.6秒東経135度57分14.5秒","奈良県吉野郡下北山村","北緯34度5分46.6秒東経135度57分14.5秒﻿ / ﻿北緯34.096278度 東経135.954028度﻿ /34.096278; 135.954028","100m","前鬼川","","","","","","","","","","","","","","",""
"笹の滝","[64笹の滝十津川村] 笹の滝 （ささのたき）は 奈良県 吉野郡 十津川村 にある 滝 。 日本の滝百選 に選定されている。","https://ja.wikipedia.org/wiki/笹の滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯34度3分41.06秒東経135度51分28.52秒","奈良県吉野郡十津川村大字内原","北緯34度3分41.06秒東経135度51分28.52秒﻿ / ﻿北緯34.0614056度 東経135.8579222度﻿ /34.0614056; 135.8579222","32m","滝川","","","","","","","","","","","","","","",""
"中の滝","[65中の滝上北山村] 中の滝 （なかのたき）は、 奈良県 吉野郡 上北山村 にある 東ノ川 の滝である。標高約1233m。","https://ja.wikipedia.org/wiki/中の滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯34度11分0.3秒東経136度4分50.43秒","奈良県吉野郡上北山村","北緯34度11分0.3秒東経136度4分50.43秒﻿ / ﻿北緯34.183417度 東経136.0806750度﻿ /34.183417; 136.0806750座標:北緯34度11分0.3秒東経136度4分50.43秒﻿ / ﻿北緯34.183417度 東経136.0806750度﻿ /34.183417; 136.0806750","250m","新宮川水系北山川支流の東ノ川","","","","","","","","","","","","","","",""
"那智滝","[66那智滝和歌山県那智勝浦町] 那智滝 （なちのたき）は、 和歌山県 東牟婁郡 那智勝浦町 の 那智川 中流にかかる 滝 。石英 斑岩 からなるほとんど垂直の断崖に沿って落下し、落ち口の幅13 メートル 、滝壺までの落差は133メートルに達し、その姿は 熊野灘 からも望見することができる  。総合落差では日本12位だが、一段の滝としては落差日本1位。 華厳滝 と共に 日本三名瀑 に数えられている。","https://ja.wikipedia.org/wiki/那智滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯33度40分31秒東経135度53分15秒","和歌山県那智勝浦町","北緯33度40分31秒東経135度53分15秒﻿ / ﻿北緯33.67528度 東経135.88750度﻿ /33.67528; 135.88750座標:北緯33度40分31秒東経135度53分15秒﻿ / ﻿北緯33.67528度 東経135.88750度﻿ /33.67528; 135.88750","133m","那智川","13m","","","","","","","","","","","","","",""
"桑ノ木の滝","[67桑ノ木の滝新宮市] 桑ノ木の滝 （くわのきのたき）は、 和歌山県 新宮市 にある 滝 で、 日本の滝百選 の1つである。","https://ja.wikipedia.org/wiki/桑ノ木の滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯33度43分20秒東経135度56分9.6秒","和歌山県新宮市","北緯33度43分20秒東経135度56分9.6秒﻿ / ﻿北緯33.72222度 東経135.936000度﻿ /33.72222; 135.936000","21m","高田川","8m","","","","","","","","","","","","","",""
"八草の滝","[68八草の滝白浜町] 八草の滝 （はそのたき）は、 和歌山県 西牟婁郡 白浜町 の 大塔日置川県立自然公園 内にあり、 日本の滝百選 に選ばれた。","https://ja.wikipedia.org/wiki/八草の滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯33度38分46秒東経135度28分43秒","和歌山県西牟婁郡白浜町","北緯33度38分46秒東経135度28分43秒﻿ / ﻿北緯33.64611度 東経135.47861度﻿ /33.64611; 135.47861座標:北緯33度38分46秒東経135度28分43秒﻿ / ﻿北緯33.64611度 東経135.47861度﻿ /33.64611; 135.47861","22m","日置川","","","","","","","","","","","","","","",""
"大山滝","[69大山滝鳥取県琴浦町] 大山滝 （だいせんたき）は 鳥取県 東伯郡 琴浦町 野井倉にある 滝 。 日本の滝百選 に選定されている。","https://ja.wikipedia.org/wiki/大山滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯35度22分28秒東経133度35分42秒","鳥取県琴浦町","北緯35度22分28秒東経133度35分42秒﻿ / ﻿北緯35.37444度 東経133.59500度﻿ /35.37444; 133.59500","42m","加勢蛇川","4m","","","","","","","","","","","","","",""
"雨滝","[70雨滝鳥取市] 雨滝 （あめだき）は、 鳥取県 鳥取市 国府町にある 滝 。 日本の滝百選 に選定されている。","https://ja.wikipedia.org/wiki/雨滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯35度28分42秒東経134度24分15秒","鳥取県鳥取市","北緯35度28分42秒東経134度24分15秒﻿ / ﻿北緯35.47833度 東経134.40417度﻿ /35.47833; 134.40417","40m","千代川水系雨滝川","4m","","","","","","","","","","","","","",""
"壇鏡の滝","[71壇鏡の滝島根県隠岐の島町] 壇鏡の滝 （だんぎょうのたき）は、 隠岐諸島 の 島後島 （ 島根県 隠岐郡 隠岐の島町 ）にある横尾山を源流とする那久川の 滝 である。","https://ja.wikipedia.org/wiki/壇鏡の滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯36度14分26秒東経133度14分10秒","島根県隠岐郡隠岐の島町","北緯36度14分26秒東経133度14分10秒﻿ / ﻿北緯36.24056度 東経133.23611度﻿ /36.24056; 133.23611","40m","那久川","","","","","","","","","","","","","","",""
"龍頭八重滝","[72龍頭八重滝雲南市] 龍頭ヶ滝 （りゅうずがたき）は、雲南市掛合町松笠にある 滝 。","https://ja.wikipedia.org/wiki/龍頭八重滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯35度11分43秒東経132度47分4秒","島根県雲南市","北緯35度11分43秒東経132度47分4秒﻿ / ﻿北緯35.19528度 東経132.78444度﻿ /35.19528; 132.78444","40m","斐伊川水系滝谷川","","","","","","","","","","","","","","",""
"神庭の滝","[73神庭の滝岡山県真庭市] 神庭の滝 （かんばのたき）は 岡山県 真庭市 神庭にある 滝 。国の 名勝 に指定されており（指定名称は「 神庭瀑 」）、 日本百景 、 日本の滝百選 にも選定されている。また周囲は岡山県立自然公園に指定されている。","https://ja.wikipedia.org/wiki/神庭の滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯35度7分7.0秒東経133度40分43.6秒","岡山県真庭市","北緯35度7分7.0秒東経133度40分43.6秒﻿ / ﻿北緯35.118611度 東経133.678778度﻿ /35.118611; 133.678778座標:北緯35度7分7.0秒東経133度40分43.6秒﻿ / ﻿北緯35.118611度 東経133.678778度﻿ /35.118611; 133.678778","110m","旭川水系神庭川","20m","","","","","","","","","","","","","",""
"常清滝","[74常清滝広島県三次市] 常清滝 （じょうせいだき）は、 広島県 三次市 作木町 下作木にある 滝 。 1990年 4月に、広島県で唯一日本の滝百選にも選ばれている。 江の川 の支流、作木川のさらに支流にかかる滝である。周りはうっそうとしたケヤキ、アベマキ、コナラを主とした落葉広葉樹で覆われ広島県の 自然環境保全地域 にも指定され緑と渓流の美しい環境が保たれている。 昭和35年8月25日に広島県の名勝に指定されている。","https://ja.wikipedia.org/wiki/常清滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯34度51分47.9秒東経132度43分34.42秒","広島県三次市","北緯34度51分47.9秒東経132度43分34.42秒﻿ / ﻿北緯34.863306度 東経132.7262278度﻿ /34.863306; 132.7262278","126m","江の川水系作木川","","","","","","","","","","","","","","",""
"寂地峡五竜の滝","[75寂地峡五竜の滝山口県岩国市] 犬戻峡にある犬戻十八滝のうち、特に 龍 の名を冠した5つの滝は総称して 寂地峡五竜の滝 と呼ばれ、 日本の滝百選 に選定されている。滝は川上より順に以下の通りである。","https://ja.wikipedia.org/wiki/寂地峡五竜の滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯34度25分50.57秒東経132度3分19.84秒","山口県岩国市錦町宇佐","北緯34度25分50.57秒東経132度3分19.84秒﻿ / ﻿北緯34.4307139度 東経132.0555111度﻿ /34.4307139; 132.0555111座標:北緯34度25分50.57秒東経132度3分19.84秒﻿ / ﻿北緯34.4307139度 東経132.0555111度﻿ /34.4307139; 132.0555111","（龍頭の滝）14m","錦川水系宇佐川","","","","","","","","","","","","","","",""
"大釜の滝","[76大釜の滝徳島県那賀町] 大釜の滝 （おおがまのたき）は、 徳島県 那賀郡 那賀町 にある 滝 。 日本の滝百選 、 とくしま88景 、 とくしま水紀行50選 に選定されている。","https://ja.wikipedia.org/wiki/大釜の滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯33度52分56秒東経134度16分55秒","徳島県那賀町","北緯33度52分56秒東経134度16分55秒﻿ / ﻿北緯33.88222度 東経134.28194度﻿ /33.88222; 134.28194座標:北緯33度52分56秒東経134度16分55秒﻿ / ﻿北緯33.88222度 東経134.28194度﻿ /33.88222; 134.28194","20m","那賀川水系釜ヶ谷川","","","","","","","","","","","","","","",""
"轟九十九滝","[77轟九十九滝海陽町] 轟九十九滝 （とどろきくじゅうくたき）は、 徳島県 海部郡 海陽町 にある 王余魚谷川 の 滝 。 日本の滝百選 、 四国のみずべ八十八カ所 に選定されている。","https://ja.wikipedia.org/wiki/轟九十九滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯33度41分52.1秒東経134度15分15.49秒","徳島県海陽町平井王余魚谷","北緯33度41分52.1秒東経134度15分15.49秒﻿ / ﻿北緯33.697806度 東経134.2543028度﻿ /33.697806; 134.2543028座標:北緯33度41分52.1秒東経134度15分15.49秒﻿ / ﻿北緯33.697806度 東経134.2543028度﻿ /33.697806; 134.2543028","(本滝)58m","海部川水系王余魚谷川","(本滝)5m","","","","","","","","","","","","","",""
