"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","国","地方","都道府県","面積","総人口","人口密度","所在地","市町村コード","隣接自治体","外部リンク","法人番号","市長","市の花","市の木","市の鳥","特記事項","他のシンボル","区の木","区の花"
"越谷市","[越谷市] 越谷市 （こしがやし）は、 埼玉県 の南東部に位置する 市 。 中核市 、 業務核都市 、 保健所政令市 に指定されている。","https://ja.wikipedia.org/wiki/越谷市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯35度53分28.1秒東経139度47分27.3秒","日本","関東地方","埼玉県","60.24km2","346,956人（推計人口、2021年6月1日）","5,760人/km2","〒343-8501埼玉県越谷市越ヶ谷四丁目2番1号北緯35度53分28.1秒東経139度47分27.3秒﻿ / ﻿北緯35.891139度 東経139.790917度﻿ /35.891139; 139.790917","11222-4","さいたま市、春日部市、川口市、草加市、吉川市、北葛飾郡松伏町","公式ウェブサイト","6000020112224","高橋努","キク","ケヤキ","シラコバト","市外局番:048-9（市内全域・草加MA）","","",""
"蕨市","[蕨市] 蕨市 （わらびし）は、 埼玉県  の南東部に位置する 市 。","https://ja.wikipedia.org/wiki/蕨市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯35度49分32.1秒東経139度40分47秒","日本","関東地方","埼玉県","5.11km2","75,201人（推計人口、2021年6月1日）","14,716人/km2","〒335-8501埼玉県蕨市中央五丁目14番15号北緯35度49分32.1秒東経139度40分47秒﻿ / ﻿北緯35.825583度 東経139.67972度﻿ /35.825583; 139.67972","11223-2","川口市、戸田市、さいたま市","蕨市","6000020112232","賴髙英雄","サツキ","ケヤキ","","","","",""
"戸田市","[戸田市] 戸田市 （とだし）は、 埼玉県 の南東部に位置する 市 。 荒川 を境に東京都と接する。","https://ja.wikipedia.org/wiki/戸田市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯35度49分3.4秒東経139度40分40.5秒","日本","関東地方","埼玉県","18.19km2","142,464人（推計人口、2021年6月1日）","7,832人/km2","〒335-8588埼玉県戸田市上戸田一丁目18番1号北緯35度49分3.4秒東経139度40分40.5秒﻿ / ﻿北緯35.817611度 東経139.677917度﻿ /35.817611; 139.677917","11224-1","さいたま市、朝霞市、川口市、和光市、蕨市東京都：板橋区、北区","公式ウェブサイト","5000020112241","菅原文仁","サクラソウ","モクセイ","","","市歌：「ああ、わが戸田市」（埼京線市内3駅の発車メロディにもなっている）","",""
"入間市","[入間市] 入間市 （いるまし）は、 埼玉県 の南西部に位置する 市 。","https://ja.wikipedia.org/wiki/入間市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯35度50分8.9秒東経139度23分28.1秒","日本","関東地方","埼玉県","44.69km2","145,442人（推計人口、2021年6月1日）","3,254人/km2","〒358-8511埼玉県入間市豊岡一丁目16番1号北緯35度50分8.9秒東経139度23分28.1秒﻿ / ﻿北緯35.835806度 東経139.391139度﻿ /35.835806; 139.391139","11225-9","狭山市、所沢市、飯能市東京都：青梅市、西多摩郡瑞穂町","公式ウェブサイト","4000020112259","杉島理一郎","茶の花","ケヤキ","ヒバリ","","","",""
"朝霞市","[朝霞市] 朝霞市 （あさかし）は、 埼玉県 の南部に位置する 市 。","https://ja.wikipedia.org/wiki/朝霞市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯35度47分49.9秒東経139度35分38秒","日本","関東地方","埼玉県","18.34km2","145,001人（推計人口、2021年6月1日）","7,906人/km2","〒351-8501埼玉県朝霞市本町一丁目1番1号北緯35度47分49.9秒東経139度35分38秒﻿ / ﻿北緯35.797194度 東経139.59389度﻿ /35.797194; 139.59389","11227-5","さいたま市、志木市、戸田市、新座市、和光市東京都練馬区","公式ウェブサイト","4000020112275","富岡勝則","ツツジ","ケヤキ","","","","",""
"志木市","[志木市] 志木市 （しきし）は、 埼玉県 の南部  に位置する 市 。","https://ja.wikipedia.org/wiki/志木市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯35度50分12秒東経139度34分49.1秒","日本","関東地方","埼玉県","9.05km2","75,466人（推計人口、2021年6月1日）","8,339人/km2","〒353-0002埼玉県志木市中宗岡一丁目1番1号北緯35度50分12秒東経139度34分49.1秒﻿ / ﻿北緯35.83667度 東経139.580306度﻿ /35.83667; 139.580306","11228-3","さいたま市、朝霞市、新座市、富士見市、入間郡三芳町","公式ウェブサイト","4000020112283","香川武文","ツツジ","モクセイ","","","なし","",""
"和光市","[和光市] 和光市 （わこうし）は、 埼玉県 の南部に位置する 市 。","https://ja.wikipedia.org/wiki/和光市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯35度46分52.4秒東経139度36分20.5秒","日本","関東地方","埼玉県","11.04km2","84,297人（推計人口、2021年6月1日）","7,636人/km2","〒351-0192埼玉県和光市広沢1番5号北緯35度46分52.4秒東経139度36分20.5秒﻿ / ﻿北緯35.781222度 東経139.605694度﻿ /35.781222; 139.605694","11229-1","朝霞市、戸田市東京都：板橋区、練馬区","公式ウェブサイト","4000020112291","柴崎光子","サツキ","イチョウ","","","","",""
"新座市","[新座市] 新座市 （にいざし）は、 埼玉県 の南部に位置する 市 。","https://ja.wikipedia.org/wiki/新座市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯35度47分36.6秒東経139度33分55.1秒","日本","関東地方","埼玉県","22.78km2","164,684人（推計人口、2021年6月1日）","7,229人/km2","〒352-8623埼玉県新座市野火止一丁目1番1号北緯35度47分36.6秒東経139度33分55.1秒﻿ / ﻿北緯35.793500度 東経139.565306度﻿ /35.793500; 139.565306","11230-5","朝霞市、志木市、所沢市、入間郡三芳町東京都：練馬区、清瀬市、西東京市、東久留米市","新座市役所公式サイト","8000020112305","並木傑","コブシ","モミジ","","","","",""
"桶川市","[桶川市] 桶川市 （おけがわし）は、 埼玉県 の中東部に位置する 市 。","https://ja.wikipedia.org/wiki/桶川市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯36度0分20.6秒東経139度32分33.7秒","日本","関東地方","埼玉県","25.35km2","74,027人（推計人口、2021年6月1日）","2,920人/km2","〒363-8501埼玉県桶川市泉1丁目3-28北緯36度0分20.6秒東経139度32分33.7秒﻿ / ﻿北緯36.005722度 東経139.542694度﻿ /36.005722; 139.542694桶川市役所庁舎","11231-3","上尾市、北本市、鴻巣市、蓮田市、久喜市、北足立郡伊奈町、比企郡川島町","公式ウェブサイト","8000020112313","小野克典","ツツジ","ケヤキ","","","市民の花:紅花、芝桜、アジサイ、ヒマワリ、サザンカ市民の木:ナラ、イチョウ、泰山木、モクセイ、カキ市民の歌:べにのはな","",""
"久喜市","[久喜市] 久喜市 （くきし）は、 埼玉県 の東部に位置する 市 。","https://ja.wikipedia.org/wiki/久喜市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯36度3分43.5秒東経139度40分0.5秒","日本","関東地方","埼玉県","82.41km2","149,872人（推計人口、2021年6月1日）","1,819人/km2","〒346-8501埼玉県久喜市下早見85-3北緯36度3分43.5秒東経139度40分0.5秒﻿ / ﻿北緯36.062083度 東経139.666806度﻿ /36.062083; 139.666806","11232-1","加須市、幸手市、桶川市、鴻巣市、蓮田市、白岡市、北葛飾郡杉戸町、南埼玉郡宮代町茨城県：古河市、猿島郡五霞町","公式ウェブサイト","8000020112321","梅田修一","コスモス","イチョウ","","市外局番:0480（市内全域・久喜MA）","","",""
"北本市","[北本市] 北本市 （きたもとし）は、 埼玉県 の中東部に位置する 市 。","https://ja.wikipedia.org/wiki/北本市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯36度1分36.8秒東経139度31分48.7秒","日本","関東地方","埼玉県","19.82km2","65,034人（推計人口、2021年6月1日）","3,281人/km2","〒364-8633埼玉県北本市本町一丁目111番地北緯36度1分36.8秒東経139度31分48.7秒﻿ / ﻿北緯36.026889度 東経139.530194度﻿ /36.026889; 139.530194","11233-0","桶川市、鴻巣市、比企郡川島町、吉見町","公式ウェブサイト","7000020112330","三宮幸雄","キク","サクラ","","市外局番:048（市内全域、熊谷MA）","","",""
"八潮市","[八潮市] 八潮市 （やしおし）は、 埼玉県 の南東部に位置する 市 。","https://ja.wikipedia.org/wiki/八潮市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯35度49分21.1秒東経139度50分21.2秒","日本","関東地方","埼玉県","18.02km2","93,314人（推計人口、2021年6月1日）","5,178人/km2","〒340-8588埼玉県八潮市中央一丁目2番地1北緯35度49分21.1秒東経139度50分21.2秒﻿ / ﻿北緯35.822528度 東経139.839222度﻿ /35.822528; 139.839222","11234-8","草加市、三郷市東京都：葛飾区、足立区","公式ウェブサイト","6000020112348","大山忍","クチナシ","イチョウ","","市外局番:048（市内全域・草加MA）","市の鳥:ハクセキレイ市の歌:『川に抱かれて』（小椋佳）","",""
"富士見市","[富士見市] 富士見市 （ふじみし）は、 埼玉県 の南東部  に位置する 市 。","https://ja.wikipedia.org/wiki/富士見市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯35度51分23.6秒東経139度32分57秒","日本","関東地方","埼玉県","19.77km2","110,516人（推計人口、2021年6月1日）","5,590人/km2","〒354-8511埼玉県富士見市大字鶴馬1800番地1北緯35度51分23.6秒東経139度32分57秒﻿ / ﻿北緯35.856556度 東経139.54917度﻿ /35.856556; 139.54917","11235-6","さいたま市、ふじみ野市、川越市、志木市、入間郡三芳町","公式ウェブサイト","6000020112356","星野光弘","フジ","ケヤキ","カワセミ","","","",""
"三郷市","[三郷市] 三郷市 （みさとし）は、 埼玉県 の南東部に位置する 市 。","https://ja.wikipedia.org/wiki/三郷市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯35度49分48.5秒東経139度52分20.4秒","日本","関東地方","埼玉県","30.13km2（境界未定部分あり）","141,924人（推計人口、2021年6月1日）","4,710人/km2","〒341-8501埼玉県三郷市花和田648番地1北緯35度49分48.5秒東経139度52分20.4秒﻿ / ﻿北緯35.830139度 東経139.872333度﻿ /35.830139; 139.872333","11237-2","吉川市、草加市、八潮市東京都葛飾区千葉県：流山市、松戸市","公式ウェブサイト","6000020112372","木津雅晟","サツキ","シイノキ","カイツブリ","市外局番:048（市内全域・草加MA）","","",""
"蓮田市","[蓮田市] 蓮田市 （はすだし）は、 埼玉県 の中東部に位置する 市 。","https://ja.wikipedia.org/wiki/蓮田市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯35度59分40.2秒東経139度39分44.6秒","日本","関東地方","埼玉県","27.28km2","61,497人（推計人口、2021年6月1日）","2,254人/km2","〒349-0193埼玉県蓮田市大字黒浜2799-1北緯35度59分40.2秒東経139度39分44.6秒﻿ / ﻿北緯35.994500度 東経139.662389度﻿ /35.994500; 139.662389","11238-1","さいたま市、桶川市、上尾市、久喜市、白岡市、北足立郡伊奈町","公式ウェブサイト","5000020112381","中野和信","スイレン","ハナミズキ","","市外局番048（市内全域・浦和MA）","","",""
"坂戸市","[坂戸市] 坂戸市 （さかどし）は、 埼玉県 の中部に位置する 市 。","https://ja.wikipedia.org/wiki/坂戸市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯35度57分26.1秒東経139度24分10.9秒","日本","関東地方","埼玉県","41.02km2","100,744人（推計人口、2021年6月1日）","2,456人/km2","〒350-0292埼玉県坂戸市千代田一丁目1番1号北緯35度57分26.1秒東経139度24分10.9秒﻿ / ﻿北緯35.957250度 東経139.403028度﻿ /35.957250; 139.403028","11239-9","川越市、鶴ヶ島市、東松山市、日高市、比企郡川島町、鳩山町、入間郡毛呂山町","公式ウェブサイト","4000020112399","石川清","サツキ","サクラ","","市外局番:049（市内全域）","","",""
"幸手市","[幸手市] 幸手市 （さってし）は、 埼玉県 の東部に位置する 市 。","https://ja.wikipedia.org/wiki/幸手市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯36度4分41.1秒東経139度43分33.1秒","日本","関東地方","埼玉県","33.93km2","49,759人（推計人口、2021年6月1日）","1,467人/km2","〒340-0192埼玉県幸手市東四丁目6番8号北緯36度4分41.1秒東経139度43分33.1秒﻿ / ﻿北緯36.078083度 東経139.725861度﻿ /36.078083; 139.725861","11240-2","久喜市、北葛飾郡杉戸町千葉県野田市茨城県猿島郡五霞町","公式ウェブサイト","1000020112402","木村純夫","サクラ","マキ","","市外局番：0480（市内全域・久喜MA）","","",""
"鶴ヶ島市","[鶴ヶ島市] 鶴ヶ島市 （つるがしまし）は、 埼玉県 の中部に位置する 市 。 人口 は約7万人。","https://ja.wikipedia.org/wiki/鶴ヶ島市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯35度56分4.2秒東経139度23分35.1秒","日本","関東地方","埼玉県","17.65km2","70,158人（推計人口、2021年6月1日）","3,975人/km2","〒350-2292埼玉県鶴ヶ島市大字三ツ木16-1北緯35度56分4.2秒東経139度23分35.1秒﻿ / ﻿北緯35.934500度 東経139.393083度﻿ /35.934500; 139.393083","11241-1","川越市、坂戸市、日高市","公式ウェブサイト","9000020112411","齊藤芳久","ツツジ","マツ","","","","",""
"日高市","[日高市] 日高市 （ひだかし）は、 埼玉県 の中南部に位置する 市 である。かつては 入間郡 日高町（ひだかまち）であったが、 1991年 （ 平成 3年） 10月1日 に 市制 施行し日高市となった  。","https://ja.wikipedia.org/wiki/日高市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯35度54分28.1秒東経139度20分20.7秒","日本","関東地方","埼玉県","47.48km2","54,581人（推計人口、2021年6月1日）","1,150人/km2","〒350-1292埼玉県日高市大字南平沢1020北緯35度54分28.1秒東経139度20分20.7秒﻿ / ﻿北緯35.907806度 東経139.339083度﻿ /35.907806; 139.339083","11242-9","川越市、坂戸市、狭山市、鶴ヶ島市、飯能市、入間郡毛呂山町","公式ウェブサイト","8000020112429","谷ケ﨑照雄","ハギ、ヒガンバナ","モクセイ","カワセミ","市外局番:042（市内全域）","","",""
"吉川市","[吉川市] 吉川市 （よしかわし）は、 埼玉県 の南東部に位置する 市 。","https://ja.wikipedia.org/wiki/吉川市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯35度53分45秒東経139度51分20秒","日本","関東地方","埼玉県","31.66km2","72,133人（推計人口、2021年6月1日）","2,278人/km2","〒342-8501埼玉県吉川市きよみ野一丁目1番地北緯35度53分45秒東経139度51分20秒﻿ / ﻿北緯35.89583度 東経139.85556度﻿ /35.89583; 139.85556市庁舎の位置","11243-7","越谷市、草加市、三郷市、北葛飾郡松伏町千葉県：流山市、野田市","www.city.yoshikawa.saitama.jp","8000020112437","中原恵人","サツキ、ツツジ","モクセイ","","","","",""
"ふじみ野市","[ふじみ野市] ふじみ野市 （ふじみのし）は、 埼玉県 の南西部  に位置する 市 。","https://ja.wikipedia.org/wiki/ふじみ野市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯35度52分46.3秒東経139度31分11.2秒","日本","関東地方","埼玉県","14.64km2","112,788人（推計人口、2021年6月1日）","7,704人/km2","〒356-8501埼玉県ふじみ野市福岡一丁目1番1号北緯35度52分46.3秒東経139度31分11.2秒﻿ / ﻿北緯35.879528度 東経139.519778度﻿ /35.879528; 139.519778","11245-3","川越市、富士見市、入間郡三芳町","公式ウェブサイト","8000020112453","高畑博","","","","","","",""
"白岡市","[白岡市] 白岡市 （しらおかし）は、 埼玉県 の中東部に位置する 市 。","https://ja.wikipedia.org/wiki/白岡市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯36度1分8.6秒東経139度40分37秒","日本","関東地方","埼玉県","24.92km2","52,223人（推計人口、2021年6月1日）","2,096人/km2","〒349-0215埼玉県白岡市千駄野432番地北緯36度1分8.6秒東経139度40分37秒﻿ / ﻿北緯36.019056度 東経139.67694度﻿ /36.019056; 139.67694","11246-1","さいたま市、春日部市、久喜市、蓮田市、南埼玉郡宮代町","公式ウェブサイト","8000020112461","藤井栄一郎","ナシ","マツ","","市外局番:0480（市内全域・久喜MA）","","",""
"北足立郡","[北足立郡：伊奈町] 北足立郡 （きたあだちぐん）は、 埼玉県 の 郡 。","https://ja.wikipedia.org/wiki/北足立郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"入間郡","[入間郡：三芳町-毛呂山町-越生町] 入間郡 （いるまぐん）は、 埼玉県 （ 武蔵国 ）の 郡 。","https://ja.wikipedia.org/wiki/入間郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"比企郡","[比企郡：滑川町-嵐山町-小川町-川島町-吉見町-鳩山町-ときがわ町] 比企郡 （ひきぐん） は、 埼玉県 （ 武蔵国 ）の 郡 。","https://ja.wikipedia.org/wiki/比企郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"秩父郡","[秩父郡：横瀬町-皆野町-長瀞町-小鹿野町-東秩父村] 秩父郡 （ちちぶぐん） は、 埼玉県 （ 武蔵国 ）の 郡 。","https://ja.wikipedia.org/wiki/秩父郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"児玉郡","[児玉郡：美里町-神川町-上里町] 児玉郡 （こだまぐん） は、 埼玉県 （ 武蔵国 ）の 郡 。","https://ja.wikipedia.org/wiki/児玉郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大里郡","[大里郡：寄居町] 大里郡 （おおさとぐん） は 埼玉県 （ 武蔵国 ）の 郡 。","https://ja.wikipedia.org/wiki/大里郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"南埼玉郡","[南埼玉郡：宮代町] 南埼玉郡 （みなみさいたまぐん）は、 埼玉県 の 郡 。","https://ja.wikipedia.org/wiki/南埼玉郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"北葛飾郡","[北葛飾郡：杉戸町-松伏町] 北葛飾郡 （きたかつしかぐん）は、 埼玉県 の 郡 。","https://ja.wikipedia.org/wiki/北葛飾郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"千葉市","[千葉市：中央区-花見川区-稲毛区-若葉区-緑区-美浜区] 千葉市 （ちばし）は、 千葉県 中央部に位置する 市 。千葉県の 県庁所在地 であり、 政令指定都市 。","https://ja.wikipedia.org/wiki/千葉市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯35度36分26.2秒東経140度6分22.9秒","日本","関東地方","千葉県","271.77km2","984,078人（推計人口、2021年6月1日）","3,621人/km2","〒260-8722千葉県千葉市中央区千葉港1番1号北緯35度36分26.2秒東経140度6分22.9秒﻿ / ﻿北緯35.607278度 東経140.106361度﻿ /35.607278; 140.106361","12100-2","佐倉市、四街道市、習志野市、八千代市、八街市、東金市、大網白里市、市原市、茂原市","公式ウェブサイト","6000020121002","神谷俊一","大賀ハス","ケヤキ","","","","",""
"銚子市","[銚子市] 銚子市 （ちょうしし）は、 千葉県 の北東部に位置する 市 。","https://ja.wikipedia.org/wiki/銚子市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯35度44分4.7秒東経140度49分36.4秒","日本","関東地方","千葉県","84.20km2","56,995人（推計人口、2021年6月1日）","677人/km2","〒288-8601千葉県銚子市若宮町1番地1北緯35度44分4.7秒東経140度49分36.4秒﻿ / ﻿北緯35.734639度 東経140.826778度﻿ /35.734639; 140.826778","12202-5","旭市香取郡：東庄町茨城県：神栖市","公式ウェブサイト","6000020122025","越川信一","オオマツヨイグサ","サザンカ","","","","",""
"市川市","[市川市] 市川市 （いちかわし）は、 千葉県 の北西部に位置する 市 。","https://ja.wikipedia.org/wiki/市川市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯35度43分18.9秒東経139度55分51.8秒","日本","関東地方","千葉県","57.45km2（境界未定部分あり）","497,661人（推計人口、2021年6月1日）","8,663人/km2","〒272-8501千葉県市川市八幡一丁目1番1号北緯35度43分18.9秒東経139度55分51.8秒﻿ / ﻿北緯35.721917度 東経139.931056度﻿ /35.721917; 139.931056","12203-3","浦安市、船橋市、松戸市、鎌ケ谷市東京都：江戸川区","公式ウェブサイト","6000020122033","村越祐民","バラ","クロマツ","","河原地区が江戸川区との境界未定","","",""
"船橋市","[船橋市] 船橋市 （ふなばしし）は、 千葉県 の北西部に位置する 市 。 中核市 に指定されている。","https://ja.wikipedia.org/wiki/船橋市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯35度41分40.4秒東経139度58分57.2秒","日本","関東地方","千葉県","85.62km2","642,858人（推計人口、2021年6月1日）","7,508人/km2","〒273-8501千葉県船橋市湊町二丁目10番25号北緯35度41分40.4秒東経139度58分57.2秒﻿ / ﻿北緯35.694556度 東経139.982556度﻿ /35.694556; 139.982556","12204-1","市川市、習志野市、鎌ケ谷市、白井市、八千代市","公式ウェブサイト","6000020122041","松戸徹","ヒマワリ、カザグルマ（2007年（平成19年）制定）","サザンカ","","","","",""
"館山市","[館山市] 館山市 （たてやまし）は、 千葉県 の南部に位置する 市 。","https://ja.wikipedia.org/wiki/館山市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯34度59分47.7秒東経139度52分11.9秒","日本","関東地方","千葉県","110.05km2","44,418人（推計人口、2021年6月1日）","404人/km2","〒294-8601千葉県館山市北条 1145-1北緯34度59分47.7秒東経139度52分11.9秒﻿ / ﻿北緯34.996583度 東経139.869972度﻿ /34.996583; 139.869972","12205-0","南房総市（海上を隔てて隣接）東京都大島町（館山港から東海汽船の航路が出ている）静岡県伊東市","公式ウェブサイト","5000020122050","金丸謙一","","ツバキ","","","","",""
"木更津市","[木更津市] 木更津市 （きさらづし）は、 千葉県 の中西部に位置する 市 。","https://ja.wikipedia.org/wiki/木更津市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯35度22分33.5秒東経139度55分0.6秒","日本","関東地方","千葉県","138.95km2","136,091人（推計人口、2021年6月1日）","979人/km2","〒292-8501千葉県木更津市富士見一丁目2番1号北緯35度22分33.5秒東経139度55分0.6秒﻿ / ﻿北緯35.375972度 東経139.916833度﻿ /35.375972; 139.916833","12206-8","市原市、袖ケ浦市、君津市（以下、海上を隔てて隣接）神奈川県：川崎市","公式ウェブサイト","4000020122068","渡辺芳邦","サツキ","ツバキ","","","","",""
"松戸市","[松戸市] 松戸市 （まつどし）は、 千葉県 の北西部に位置する 市 。","https://ja.wikipedia.org/wiki/松戸市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯35度47分15.5秒東経139度54分11.4秒","日本","関東地方","千葉県","61.38km2","492,667人（推計人口、2021年6月1日）","8,027人/km2","〒271-8588千葉県松戸市根本387番地5北緯35度47分15.5秒東経139度54分11.4秒﻿ / ﻿北緯35.787639度 東経139.903167度﻿ /35.787639; 139.903167","12207-6","市川市、柏市、流山市、鎌ケ谷市東京都：江戸川区、葛飾区埼玉県：三郷市","公式ウェブサイト","4000020122076","本郷谷健次","ツツジ、アジサイ、ノギク","シイノキ、ユーカリ、サクラ、ナシ","","","","",""
"野田市","[野田市] 野田市 （のだし）は、 千葉県 の北西部に位置する 市 。","https://ja.wikipedia.org/wiki/野田市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯35度57分18.3秒東経139度52分29.3秒","日本","関東地方","千葉県","103.55km2","152,218人（推計人口、2021年6月1日）","1,470人/km2","〒278-8550千葉県野田市鶴奉7-1北緯35度57分18.3秒東経139度52分29.3秒﻿ / ﻿北緯35.955083度 東経139.874806度﻿ /35.955083; 139.874806座標:北緯35度57分18.3秒東経139度52分29.3秒﻿ / ﻿北緯35.955083度 東経139.874806度﻿ /35.955083; 139.874806市庁舎位置","12208-4","柏市、流山市埼玉県：春日部市、吉川市、幸手市、北葛飾郡杉戸町、松伏町茨城県：坂東市、守谷市、常総市、猿島郡五霞町、境町","公式ウェブサイト","4000020122084","鈴木有","ツツジ","ケヤキ","ひばり","","","",""
"茂原市","[茂原市] 茂原市 （もばらし）は、 千葉県 の 東部 に位置する 市 。","https://ja.wikipedia.org/wiki/茂原市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯35度25分42.7秒東経140度17分17秒","日本","関東地方","千葉県","99.92km2","86,249人（推計人口、2021年6月1日）","863人/km2","〒297-8511千葉県茂原市道表1北緯35度25分42.7秒東経140度17分17秒﻿ / ﻿北緯35.428528度 東経140.28806度﻿ /35.428528; 140.28806","12210-6","千葉市、市原市、大網白里市長生郡：長柄町、睦沢町、長南町、白子町、長生村","公式ウェブサイト","8000020122106","田中豊彦","コスモス","ツツジ","","","","",""
"成田市","[成田市] 成田市 （なりたし）は、 千葉県 の北部中央に位置する 市 。","https://ja.wikipedia.org/wiki/成田市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯35度46分36秒東経140度19分6秒","日本","関東地方","千葉県","213.84km2","130,428人（推計人口、2021年6月1日）","610人/km2","〒286-8585千葉県成田市花崎町760番地北緯35度46分36秒東経140度19分6秒﻿ / ﻿北緯35.77667度 東経140.31833度﻿ /35.77667; 140.31833","12211-4","印西市、富里市、香取市印旛郡：酒々井町、栄町香取郡：多古町、神崎町山武郡：芝山町茨城県：稲敷郡河内町","成田市","8000020122114","小泉一成","アジサイ","ウメ","","","","",""
