"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","ホーム","所在地","備考","電報略号","乗車人員,-統計年度-","駅番号","乗降人員,-統計年度-","乗換","種類","本社所在地","設立","業種","法人番号","事業内容"
"のいち駅","のいち駅","https://ja.wikipedia.org/wiki/のいち駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯33度33分42.77秒東経133度41分53.07秒","■ごめん・なはり線","5.7 km（後免起点）","土佐くろしお鉄道（TKT）","高架駅","2002年（平成14年）7月1日","2面2線","高知県香南市野市町西野北緯33度33分42.77秒東経133度41分53.07秒","無人駅（実質は簡易委託駅）","ノチ","","○GN37","1,373[1]人/日-2019年-","","","","","","",""
"能生駅","能生駅（のうえき）","https://ja.wikipedia.org/wiki/能生駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","","■日本海ひすいライン[1]","33.4km（市振起点）泊から42.8km米原から327.9 km","えちごトキめき鉄道[1]","高架駅","1912年（大正元年）12月16日**[1]","2面4線[1]","","","ノフ[1]","307人/日（降車客含まず）-2019年-","","","","","","","","",""
"農学部前駅","農学部前駅（のうがくぶまええき）","https://ja.wikipedia.org/wiki/農学部前駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯34度16分26秒東経134度7分31.7秒","■長尾線","10.4km（瓦町起点）高松築港から12.1 km","高松琴平電気鉄道","地上駅","1912年（明治45年）4月30日","1面1線","香川県木田郡三木町大字池戸2852番地6北緯34度16分26秒東経134度7分31.7秒﻿ / ﻿北緯34.27389度 東経134.125472度﻿ /34.27389; 134.125472座標:北緯34度16分26秒東経134度7分31.7秒﻿ / ﻿北緯34.27389度 東経134.125472度﻿ /34.27389; 134.125472","無人駅","",""," N11 ","734人/日-2018年-","","","","","","",""
"能見台駅","能見台駅（のうけんだいえき）","https://ja.wikipedia.org/wiki/能見台駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯35度21分39秒東経139度37分46秒","■本線","37.4 km（品川起点）","京浜急行電鉄","地上駅（橋上駅）","1944年（昭和19年）5月10日[1]*","2面2線","神奈川県横浜市金沢区能見台通2-1北緯35度21分39秒東経139度37分46秒﻿ / ﻿北緯35.36083度 東経139.62944度﻿ /35.36083; 139.62944﻿ (能見台駅)座標:北緯35度21分39秒東経139度37分46秒﻿ / ﻿北緯35.36083度 東経139.62944度﻿ /35.36083; 139.62944﻿ (能見台駅)","","","","KK48","30,365人/日-2019年-","","","","","","",""
"能町駅","能町駅（のうまちえき）","https://ja.wikipedia.org/wiki/能町駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯36度46分7.80秒東経137度2分24.62秒","■氷見線","4.1 km（高岡起点）","西日本旅客鉄道（JR西日本）日本貨物鉄道（JR貨物）","地上駅","1900年（明治33年）12月29日","1面2線","富山県高岡市能町1438北緯36度46分7.80秒東経137度2分24.62秒﻿ / ﻿北緯36.7688333度 東経137.0401722度﻿ /36.7688333; 137.0401722座標:北緯36度46分7.80秒東経137度2分24.62秒﻿ / ﻿北緯36.7688333度 東経137.0401722度﻿ /36.7688333; 137.0401722","無人駅（自動券売機 有）","ノマ","169人/日（降車客含まず）-2019年-","","","","","","","","",""
"能町口停留場","能町口停留場（のうまちぐちていりゅうじょう）","https://ja.wikipedia.org/wiki/能町口停留場","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯36度46分23.86秒東経137度2分56.32秒","高岡軌道線","5.5 km（高岡駅起点）","万葉線","地上駅","1951年（昭和26年）4月1日","2面1線","富山県高岡市能町北緯36度46分23.86秒東経137度2分56.32秒﻿ / ﻿北緯36.7732944度 東経137.0489778度﻿ /36.7732944; 137.0489778座標:北緯36度46分23.86秒東経137度2分56.32秒﻿ / ﻿北緯36.7732944度 東経137.0489778度﻿ /36.7732944; 137.0489778","","","","","","","","","","","",""
"野江駅","野江駅（のええき）","https://ja.wikipedia.org/wiki/野江駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯34度42分25.92秒東経135度32分36.39秒","■京阪本線","4.6 km（淀屋橋起点）","京阪電気鉄道","高架駅","1910年（明治43年）4月15日","2面2線*","大阪市城東区成育三丁目15番7号北緯34度42分25.92秒東経135度32分36.39秒﻿ / ﻿北緯34.7072000度 東経135.5434417度﻿ /34.7072000; 135.5434417﻿ (野江駅)座標:北緯34度42分25.92秒東経135度32分36.39秒﻿ / ﻿北緯34.7072000度 東経135.5434417度﻿ /34.7072000; 135.5434417﻿ (野江駅)","この他、通過線2本あり無人駅（自動券売機有）","野（駅名略称方式）","","KH  05","13,594人/日-2019年-","JR野江駅（JRおおさか東線）","","","","","",""
"野江内代駅","野江内代駅（のえうちんだいえき）","https://ja.wikipedia.org/wiki/野江内代駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯34度42分32.22秒東経135度32分17.29秒","●谷町線","5.9 km（大日起点）","大阪市高速電気軌道Osaka Metro)","地下駅","1977年（昭和52年）4月6日","1面2線","大阪市都島区内代町一丁目北緯34度42分32.22秒東経135度32分17.29秒﻿ / ﻿北緯34.7089500度 東経135.5381361度﻿ /34.7089500; 135.5381361﻿ (野江内代駅)座標:北緯34度42分32.22秒東経135度32分17.29秒﻿ / ﻿北緯34.7089500度 東経135.5381361度﻿ /34.7089500; 135.5381361﻿ (野江内代駅)","","","5,069人/日（降車客含まず）-2020年-"," T16 ","9,872人/日-2020年-","JR野江駅（おおさか東線）","","","","","",""
"直方駅","直方駅（のおがたえき）","https://ja.wikipedia.org/wiki/直方駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯33度44分53.24秒東経130度43分30.01秒","JC筑豊本線（福北ゆたか線）","24.8 km（若松起点）","九州旅客鉄道（JR九州）平成筑豊鉄道","地上駅（橋上駅）","1891年（明治24年）8月30日","2面4線（JR九州）[1]1面2線（平成筑豊鉄道）","福岡県直方市大字山部226-2[1]北緯33度44分53.24秒東経130度43分30.01秒﻿ / ﻿北緯33.7481222度 東経130.7250028度﻿ /33.7481222; 130.7250028﻿ (直方駅)","共同使用駅JR九州：業務委託駅[2]JR九州：みどりの窓口有","ノウ","（JR九州）3,345人/日（降車客含まず）-2018年-","JC  19 ","（平成筑豊鉄道）1,531人/日-2018年-","","","","","","",""
"ノーフォーク広場駅","ノーフォーク広場駅（ノーフォークひろばえき）","https://ja.wikipedia.org/wiki/ノーフォーク広場駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯33度57分22秒東経130度57分51秒","■門司港レトロ観光線","1.4 km（九州鉄道記念館起点）","■平成筑豊鉄道","地上駅","2009年（平成21年）4月26日","1面1線","北九州市門司区旧門司北緯33度57分22秒東経130度57分51秒﻿ / ﻿北緯33.95611度 東経130.96417度﻿ /33.95611; 130.96417﻿ (ノーフォーク広場駅)","","","","","","","","","","","",""
"野方駅","野方駅（のがたえき）","https://ja.wikipedia.org/wiki/野方駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯35度43分10.8秒東経139度39分9.9秒","■新宿線","7.1 km（西武新宿起点）","西武鉄道","地上駅（橋上駅）","1927年（昭和2年）4月16日","1面2線","東京都中野区野方六丁目3-3北緯35度43分10.8秒東経139度39分9.9秒﻿ / ﻿北緯35.719667度 東経139.652750度﻿ /35.719667; 139.652750座標:北緯35度43分10.8秒東経139度39分9.9秒﻿ / ﻿北緯35.719667度 東経139.652750度﻿ /35.719667; 139.652750","","","","SS07","25,560人/日-2019年-","","","","","","",""
"野花南駅","野花南駅（のかなんえき）","https://ja.wikipedia.org/wiki/野花南駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯43度28分27.49秒東経142度15分42.44秒","■根室本線","35.2 km（滝川起点）","北海道旅客鉄道（JR北海道）","地上駅","1913年（大正2年）11月10日","2面2線","北海道芦別市野花南町北緯43度28分27.49秒東経142度15分42.44秒﻿ / ﻿北緯43.4743028度 東経142.2617889度﻿ /43.4743028; 142.2617889﻿ (野花南駅)","無人駅","ノナ","","○T28","2人/日-2013年-","","","","","","",""
"野上駅","野上駅（のがみえき）","https://ja.wikipedia.org/wiki/野上駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","","■秩父本線","44.7 km（羽生起点）","秩父鉄道","地上駅","1911年（明治44年）9月14日","2面3線","","","ノミ","300人/日（降車客含まず）-2019年-","","620人/日-2019年-","","","","","","",""
"野上原駅","野上原駅（のがみはらえき）","https://ja.wikipedia.org/wiki/野上原駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯36度36分21.1秒東経140度23分24.5秒","■水郡線","32.5 km（水戸起点）","東日本旅客鉄道（JR東日本）","地上駅","1956年（昭和31年）11月19日","1面1線","茨城県常陸大宮市野上字下町1234-1北緯36度36分21.1秒東経140度23分24.5秒","無人駅","ノカ","","","","","","","","","",""
"乃木駅","乃木駅（のぎえき・西日本旅客鉄道山陰本線）","https://ja.wikipedia.org/wiki/乃木駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯35度26分45.34秒東経133度2分55.35秒","D山陰本線","354.6 km（京都起点）","西日本旅客鉄道（JR西日本）","地上駅","1937年（昭和12年）4月10日","2面2線","島根県松江市浜乃木二丁目15-15北緯35度26分45.34秒東経133度2分55.35秒﻿ / ﻿北緯35.4459278度 東経133.0487083度﻿ /35.4459278; 133.0487083﻿ (乃木駅)","業務委託駅","ノキ","940人/日（降車客含まず）-2018年-","","","","","","","","",""
"野木駅","野木駅（のぎえき・東日本旅客鉄道東北本線）","https://ja.wikipedia.org/wiki/野木駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯36度13分49.32秒東経139度44分6.10秒","■東北本線（宇都宮線）","69.4km（東京起点）東京から尾久経由で69.6 km","東日本旅客鉄道（JR東日本）","地上駅（橋上駅）","1963年（昭和38年）2月16日","1面2線","栃木県下都賀郡野木町大字丸林322北緯36度13分49.32秒東経139度44分6.10秒座標:北緯36度13分49.32秒 東経139度44分6.10秒","業務委託駅","ノキ","4,619人/日（降車客含まず）-2019年-","","","","","","","","",""
"乃木坂駅","乃木坂駅（のぎざかえき）","https://ja.wikipedia.org/wiki/乃木坂駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯35度40分0秒東経139度43分34.8秒","●[1]千代田線","17.4 km（綾瀬起点）","東京地下鉄（東京メトロ）","地下駅","1972年（昭和47年）10月20日","1面2線","東京都港区南青山一丁目25番8号北緯35度40分0秒東経139度43分34.8秒﻿ / ﻿北緯35.66667度 東経139.726333度﻿ /35.66667; 139.726333座標:北緯35度40分0秒東経139度43分34.8秒﻿ / ﻿北緯35.66667度 東経139.726333度﻿ /35.66667; 139.726333","","ノキ","","C05[1]","42,374人/日-2019年-","","","","","","",""
"野木沢駅","野木沢駅（のぎさわえき）","https://ja.wikipedia.org/wiki/野木沢駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","","■水郡線","110.1 km（水戸起点）","東日本旅客鉄道（JR東日本）","地上駅","1934年（昭和9年）12月4日","1面1線","","無人駅","ノキ","148人/日（降車客含まず）-2004年-","","","","","","","","",""
"野芥駅","野芥駅（のけえき）","https://ja.wikipedia.org/wiki/野芥駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯33度32分53.99秒東経130度20分47.61秒","地下鉄七隈線","2.6 km（橋本起点）","福岡市交通局","地下駅","2005年（平成17年）2月3日","1面2線","福岡市早良区野芥二丁目北緯33度32分53.99秒東経130度20分47.61秒﻿ / ﻿北緯33.5483306度 東経130.3465583度﻿ /33.5483306; 130.3465583﻿ (野芥駅)座標:北緯33度32分53.99秒東経130度20分47.61秒﻿ / ﻿北緯33.5483306度 東経130.3465583度﻿ /33.5483306; 130.3465583﻿ (野芥駅)","業務委託駅","","3,787人/日（降車客含まず）-2017年-","○N04","","","","","","","",""
"鋸山ロープウェイ","鋸山山頂駅（のこぎりやまさんちょうえき）","https://ja.wikipedia.org/wiki/鋸山ロープウェイ","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯35度9分44秒東経139度49分24秒","","","","","","","","","","","","","","株式会社","日本〒299-1861千葉県富津市金谷4052番地1北緯35度9分44秒東経139度49分24秒﻿ / ﻿北緯35.16222度 東経139.82333度﻿ /35.16222; 139.82333座標:北緯35度9分44秒東経139度49分24秒﻿ / ﻿北緯35.16222度 東経139.82333度﻿ /35.16222; 139.82333","1962年","陸運業","9040001051914","索道事業他"
"鋸山ロープウェイ","鋸山山麓駅（のこぎりやまさんろくえき）","https://ja.wikipedia.org/wiki/鋸山ロープウェイ","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯35度9分44秒東経139度49分24秒","","","","","","","","","","","","","","株式会社","日本〒299-1861千葉県富津市金谷4052番地1北緯35度9分44秒東経139度49分24秒﻿ / ﻿北緯35.16222度 東経139.82333度﻿ /35.16222; 139.82333座標:北緯35度9分44秒東経139度49分24秒﻿ / ﻿北緯35.16222度 東経139.82333度﻿ /35.16222; 139.82333","1962年","陸運業","9040001051914","索道事業他"
"野崎駅 (栃木県)","野崎駅 (栃木県)（のざきえき・東日本旅客鉄道東北本線）","https://ja.wikipedia.org/wiki/野崎駅_(栃木県)","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯36度50分38秒東経139度57分29秒","■東北本線（宇都宮線）","146.6km（東京起点）東京から尾久経由で146.8 km","東日本旅客鉄道（JR東日本）","地上駅","1897年（明治30年）2月25日","2面3線（実質2面2線）","栃木県大田原市薄葉2233北緯36度50分38秒東経139度57分29秒座標:北緯36度50分38秒 東経139度57分29秒","業務委託駅","ノサ","1,306人/日（降車客含まず）-2019年-","","","","","","","","",""
"野崎駅 (大阪府)","野崎駅 (大阪府)（のざきえき・西日本旅客鉄道片町線）","https://ja.wikipedia.org/wiki/野崎駅_(大阪府)","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯34度43分7.3秒東経135度38分13.69秒","H片町線（学研都市線）","33.3 km（木津起点）","西日本旅客鉄道（JR西日本）","地上駅（橋上駅）","1899年（明治32年）5月15日*","2面2線","大阪府大東市野崎一丁目1-12北緯34度43分7.3秒東経135度38分13.69秒﻿ / ﻿北緯34.718694度 東経135.6371361度﻿ /34.718694; 135.6371361座標:北緯34度43分7.3秒東経135度38分13.69秒﻿ / ﻿北緯34.718694度 東経135.6371361度﻿ /34.718694; 135.6371361","直営駅みどりの券売機プラス設置駅","ノキ","11,074人/日（降車客含まず）-2019年-","JR-H35","","","","","","","",""
"野里駅","野里駅（のざとえき）","https://ja.wikipedia.org/wiki/野里駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯34度51分22.1秒東経134度42分40.6秒","J播但線","4.3 km（姫路起点）","西日本旅客鉄道（JR西日本）","高架駅[1]","1894年（明治27年）7月26日[1]","1面2線[1]","兵庫県姫路市西中島286-1[1]北緯34度51分22.1秒東経134度42分40.6秒﻿ / ﻿北緯34.856139度 東経134.711278度﻿ /34.856139; 134.711278座標:北緯34度51分22.1秒東経134度42分40.6秒﻿ / ﻿北緯34.856139度 東経134.711278度﻿ /34.856139; 134.711278","業務委託駅[1]みどりの窓口有","ノサ","1,851人/日（降車客含まず）-2016年-","","","","","","","","",""
"野沢駅","野沢駅（のざわえき）","https://ja.wikipedia.org/wiki/野沢駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","","■磐越西線","106.2 km（郡山起点）","東日本旅客鉄道（JR東日本）","地上駅","1913年（大正2年）8月1日[1]","2面3線[2]","","簡易委託駅[2]","ノワ","121人/日（降車客含まず）-2019年-","","","","","","","","",""
"野志駅","野志駅（のしえき）","https://ja.wikipedia.org/wiki/野志駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯35度19分18.98秒東経137度23分22.3秒","明知線","23.1 km（恵那起点）","明知鉄道","地上駅","1994年（平成6年）12月15日[1]","1面1線","岐阜県恵那市明智町野志北緯35度19分18.98秒東経137度23分22.3秒﻿ / ﻿北緯35.3219389度 東経137.389528度﻿ /35.3219389; 137.389528座標:北緯35度19分18.98秒東経137度23分22.3秒﻿ / ﻿北緯35.3219389度 東経137.389528度﻿ /35.3219389; 137.389528","","","7人/日（降車客含まず）-2016年-","2","","","","","","","",""
"野島公園駅","野島公園駅（のじまこうえんえき）","https://ja.wikipedia.org/wiki/野島公園駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯35度19分50秒東経139度37分53.4秒","■金沢シーサイドライン","9.6 km（新杉田起点）","横浜シーサイドライン","高架駅","1989年（平成元年）7月5日[1]","島式 1面2線","横浜市金沢区平潟町北緯35度19分50秒東経139度37分53.4秒﻿ / ﻿北緯35.33056度 東経139.631500度﻿ /35.33056; 139.631500﻿ (野島公園駅)座標:北緯35度19分50秒東経139度37分53.4秒﻿ / ﻿北緯35.33056度 東経139.631500度﻿ /35.33056; 139.631500﻿ (野島公園駅)","無人駅","","","13","3,094人/日-2019年-","","","","","","",""
"野尻駅","野尻駅（のじりえき）","https://ja.wikipedia.org/wiki/野尻駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯35度40分22.98秒東経137度38分10.24秒","CF中央本線","288.8km（東京起点）名古屋から108.1 km","東海旅客鉄道（JR東海）","地上駅","1909年（明治42年）9月1日[1]","2面3線[1]","長野県木曽郡大桑村大字野尻[1]北緯35度40分22.98秒東経137度38分10.24秒﻿ / ﻿北緯35.6730500度 東経137.6361778度﻿ /35.6730500; 137.6361778﻿ (野尻駅)","簡易委託駅[1]標高：522.2m[1]","ノシ[1]","76人/日（降車客含まず）-2018年-","","","","","","","","",""
"能代駅","能代駅（のしろえき）","https://ja.wikipedia.org/wiki/能代駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯40度12分23.6秒東経140度1分58.6秒","■五能線","3.9 km（東能代起点）","東日本旅客鉄道（JR東日本）","地上駅","1908年（明治41年）7月1日[1]","2面2線[1]","秋田県能代市元町[1]14-40北緯40度12分23.6秒東経140度1分58.6秒座標:北緯40度12分23.6秒 東経140度1分58.6秒","業務委託駅*1909年に能代町駅から改称[1]。","ノロ","399人/日（降車客含まず）-2019年-","","","","","","","","",""
"能瀬駅","能瀬駅（のせえき）","https://ja.wikipedia.org/wiki/能瀬駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯36度41分35.96秒東経136度43分11.25秒","■七尾線","5.1 km（津幡起点）金沢から16.6 km","西日本旅客鉄道（JR西日本）","地上駅","1960年（昭和35年）2月10日[1]","1面1線[1]","石川県河北郡津幡町字能瀬ハ109北緯36度41分35.96秒東経136度43分11.25秒﻿ / ﻿北緯36.6933222度 東経136.7197917度﻿ /36.6933222; 136.7197917座標:北緯36度41分35.96秒東経136度43分11.25秒﻿ / ﻿北緯36.6933222度 東経136.7197917度﻿ /36.6933222; 136.7197917","無人駅[1]（自動券売機 有[1]）","ノセ","303人/日（降車客含まず）-2018年-","","","","","","","","",""
"野跡駅","野跡駅（のせきえき）","https://ja.wikipedia.org/wiki/野跡駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯35度4分31秒東経136度51分15秒","西名古屋港線（あおなみ線）","12.1 km（名古屋起点）","名古屋臨海高速鉄道","高架駅","2004年（平成16年）10月6日","1面2線","名古屋市港区野跡二丁目4-32北緯35度4分31秒東経136度51分15秒﻿ / ﻿北緯35.07528度 東経136.85417度﻿ /35.07528; 136.85417座標:北緯35度4分31秒東経136度51分15秒﻿ / ﻿北緯35.07528度 東経136.85417度﻿ /35.07528; 136.85417","","","973人/日（降車客含まず）-2019年-","AN10","","","","","","","",""
"及位駅","及位駅（のぞきえき）","https://ja.wikipedia.org/wiki/及位駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯38度59分34.7秒東経140度21分40.2秒","■奥羽本線","185.8 km（福島起点）","東日本旅客鉄道（JR東日本）","地上駅","1904年（明治37年）10月21日","2面3線","山形県最上郡真室川町大字及位北緯38度59分34.7秒東経140度21分40.2秒座標:北緯38度59分34.7秒 東経140度21分40.2秒","無人駅","ノソ","20人/日（降車客含まず）-2004年-","","","","","","","","",""
"野田駅 (JR西日本)","野田駅 (JR西日本)（のだえき・西日本旅客鉄道大阪環状線）","https://ja.wikipedia.org/wiki/野田駅_(JR西日本)","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯34度41分20.33秒東経135度28分29.49秒","O大阪環状線","2.4 km（大阪起点）","西日本旅客鉄道（JR西日本）","高架駅","1898年（明治31年）4月5日","1面2線","大阪市福島区吉野三丁目1-12北緯34度41分20.33秒東経135度28分29.49秒﻿ / ﻿北緯34.6889806度 東経135.4748583度﻿ /34.6889806; 135.4748583﻿ (野田駅)座標:北緯34度41分20.33秒東経135度28分29.49秒﻿ / ﻿北緯34.6889806度 東経135.4748583度﻿ /34.6889806; 135.4748583﻿ (野田駅)","業務委託駅みどりの窓口有大阪市内駅","ノタ","12,565人/日（降車客含まず）-2019年-","JR-O13","","玉川駅（Osaka Metro千日前線）","","","","","",""
"野田駅 (阪神)","野田駅 (阪神)（のだえき・阪神本線）","https://ja.wikipedia.org/wiki/野田駅_(阪神)","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯34度41分39.72秒東経135度28分33.91秒","本線","2.3 km（大阪梅田起点）","阪神電気鉄道","高架駅","1905年（明治38年）4月12日","2面4線","大阪市福島区海老江一丁目1-11北緯34度41分39.72秒東経135度28分33.91秒﻿ / ﻿北緯34.6943667度 東経135.4760861度﻿ /34.6943667; 135.4760861﻿ (野田駅)座標:北緯34度41分39.72秒東経135度28分33.91秒﻿ / ﻿北緯34.6943667度 東経135.4760861度﻿ /34.6943667; 135.4760861﻿ (野田駅)","","","","HS03","","野田阪神駅（Osaka Metro千日前線）海老江駅（JR東西線）","","","","","",""
"野田生駅","野田生駅（のだおいえき）","https://ja.wikipedia.org/wiki/野田生駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯42度13分1.1秒東経140度22分34.1秒","■函館本線","71.4 km（函館起点）","北海道旅客鉄道（JR北海道）","地上駅","1903年（明治36年）11月3日","2面2線","北海道二海郡八雲町野田生北緯42度13分1.1秒東経140度22分34.1秒﻿ / ﻿北緯42.216972度 東経140.376139度﻿ /42.216972; 140.376139﻿ (野田生駅*)","無人駅*1959年に野田追駅から改称。","ノタ","","○H56","52人/日-2014年-","","","","","","",""
"野田郷駅","野田郷駅（のだごうえき）","https://ja.wikipedia.org/wiki/野田郷駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯32度3分47.12秒東経130度16分3.3秒","肥薩おれんじ鉄道線","75.3km（八代起点）307.6 km（門司港起点）","肥薩おれんじ鉄道","地上駅","1923年（大正12年）3月25日","相対式 2面2線","鹿児島県出水市野田町下名[1]北緯32度3分47.12秒東経130度16分3.3秒﻿ / ﻿北緯32.0630889度 東経130.267583度﻿ /32.0630889; 130.267583座標:北緯32度3分47.12秒東経130度16分3.3秒﻿ / ﻿北緯32.0630889度 東経130.267583度﻿ /32.0630889; 130.267583","簡易委託駅（平日朝夕のみ）","オレノタ","171人/日（降車客含まず）-2015年-","OR19","347人/日-2015年-","","","","","","",""
"野田市駅","野田市駅（のだしえき）","https://ja.wikipedia.org/wiki/野田市駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯35度56分36.2秒東経139度52分14.8秒","■野田線（東武アーバンパークライン）","28.6 km（大宮起点）","東武鉄道","高架駅","1911年（明治44年）5月9日","1面2線","千葉県野田市野田128北緯35度56分36.2秒東経139度52分14.8秒﻿ / ﻿北緯35.943389度 東経139.870778度﻿ /35.943389; 139.870778座標:北緯35度56分36.2秒東経139度52分14.8秒﻿ / ﻿北緯35.943389度 東経139.870778度﻿ /35.943389; 139.870778","1950年に野田町駅より改称","ノダ","","TD17","9,932人/日-2019年-","","","","","","",""
"野田城駅","野田城駅（のだじょうえき）","https://ja.wikipedia.org/wiki/野田城駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯34度53分22.31秒東経137度28分40.81秒","CD飯田線","19.7 km（豊橋起点）","東海旅客鉄道（JR東海）","地上駅","1918年（大正7年）1月1日","2面2線","愛知県新城市野田字東浄悦2北緯34度53分22.31秒東経137度28分40.81秒﻿ / ﻿北緯34.8895306度 東経137.4780028度﻿ /34.8895306; 137.4780028座標:北緯34度53分22.31秒東経137度28分40.81秒﻿ / ﻿北緯34.8895306度 東経137.4780028度﻿ /34.8895306; 137.4780028","駅員無配置駅","ノセ","402人/日（降車客含まず）-2019年-","","","","","","","","",""
