"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","法人番号","位置","創建年","山号","本尊","宗派","文化財","開基","札所等","正式名","別称","公式HP","寺格","開山","宗旨","院号","中興","中興年"
"光明寺 (長岡京市)","[光明寺（こうみょうじ）（京都府長岡京市）] 光明寺 （こうみょうじ）は、 京都府 長岡京市 にある 寺院 。 西山浄土宗 の総本山。 法然 が初めて「 念仏 」の教えを説いた地である。また、 紅葉 の名所としても広く知られる。","https://ja.wikipedia.org/wiki/光明寺_(長岡京市)","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯34度56分18.48秒東経135度40分30.68秒","京都府長岡京市粟生西条ノ内26-1","7130005006436","北緯34度56分18.48秒東経135度40分30.68秒﻿ / ﻿北緯34.9384667度 東経135.6751889度﻿ /34.9384667; 135.6751889座標:北緯34度56分18.48秒東経135度40分30.68秒﻿ / ﻿北緯34.9384667度 東経135.6751889度﻿ /34.9384667; 135.6751889","建久9年（1198年）","報国山","阿弥陀如来","西山浄土宗","千手観音立像ほか（重要文化財）光明寺 17棟ほか（市指定文化財）","蓮生（熊谷直実）","法然上人二十五霊跡第16番京都洛西観音霊場第7番西山国師遺跡霊場第13番","報国山念仏三昧院光明寺","粟生光明寺もみじ寺","京都 総本山 光明寺","総本山","法然","","念仏三昧院","",""
"広隆寺","[広隆寺（こうりゅうじ）（京都市右京区）] 広隆寺 （こうりゅうじ）は、 京都市 右京区 太秦 にある 真言宗 系単立の寺院。山号を蜂岡山と称する。蜂岡寺（はちおかでら）、秦公寺（はたのきみでら）  、太秦寺などの別称があり、地名を冠して太秦広隆寺とも呼ばれる  。 渡来人 系の氏族である 秦氏 の氏寺であり、 平安京 遷都以前から存在した京都最古の寺院である。 国宝 の 弥勒菩薩半跏像 を蔵することで知られ、 聖徳太子 信仰の寺でもある。毎年10月12日に行われる牛祭は、京都三大奇祭として知られるが、不定期開催となっている。","https://ja.wikipedia.org/wiki/広隆寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯35度0分55.80秒東経135度42分26.31秒","京都府京都市右京区太秦蜂岡町32","1130005001731","北緯35度0分55.80秒東経135度42分26.31秒﻿ / ﻿北緯35.0155000度 東経135.7073083度﻿ /35.0155000; 135.7073083座標:北緯35度0分55.80秒東経135度42分26.31秒﻿ / ﻿北緯35.0155000度 東経135.7073083度﻿ /35.0155000; 135.7073083","推古天皇11年（603年）または推古天皇30年（622年）","蜂岡山","聖徳太子（上宮王院本尊）","真言宗系単立","木造弥勒菩薩半跏像、木造阿弥陀如来坐像（国宝）ほか絹本著色三千仏図、木造薬師如来立像、鉄鐘（重要文化財）ほか","秦河勝","聖徳太子霊跡第24番","","蜂岡寺、秦公寺、太秦寺","","","","","","",""
"粉河寺","[粉河寺（こかわでら）（和歌山県紀の川市）] 粉河寺 （こかわでら）は、 和歌山県 紀の川市 粉河 にある粉河観音宗の 総本山 の 寺院 。 山号 は風猛山（ふうもうざん、かざらぎさん）。 西国三十三所 第3番札所。 本尊 は 千手千眼観世音菩薩 。伝承によれば創建は 宝亀 元年（ 770年 ）、大伴孔子古（おおとものくじこ）によるとされる。","https://ja.wikipedia.org/wiki/粉河寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯34度16分51.46秒東経135度24分21.27秒","和歌山県紀の川市粉河2787","7170005003248","北緯34度16分51.46秒東経135度24分21.27秒﻿ / ﻿北緯34.2809611度 東経135.4059083度﻿ /34.2809611; 135.4059083座標:北緯34度16分51.46秒東経135度24分21.27秒﻿ / ﻿北緯34.2809611度 東経135.4059083度﻿ /34.2809611; 135.4059083","伝・宝亀元年（770年）","風猛山","千手千眼観音菩薩","粉河観音宗","粉河寺縁起絵巻（国宝）大門・中門・本堂・千手堂（重要文化財）粉河寺庭園（国の名勝）","伝・大伴孔子古","西国三十三所第3番","風猛山 粉河寺","","粉河寺｜西国第三番札所｜厄除観音｜和歌山紀の川市","総本山","","天台宗系","","",""
"護国寺","[護国寺（ごこくじ）（東京都文京区）] 護国寺 （ごこくじ）は、 東京都 文京区 大塚 五丁目にある 真言宗豊山派 の 寺 。神齢山悉地院大聖護国寺と称する。","https://ja.wikipedia.org/wiki/護国寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯35度43分18.3秒東経139度43分32.3秒","東京都文京区大塚五丁目40番1号","8010005000350","北緯35度43分18.3秒東経139度43分32.3秒﻿ / ﻿北緯35.721750度 東経139.725639度﻿ /35.721750; 139.725639座標:北緯35度43分18.3秒東経139度43分32.3秒﻿ / ﻿北緯35.721750度 東経139.725639度﻿ /35.721750; 139.725639","天和元年（1681年）","神齢山","如意輪観世音菩薩","真言宗豊山派","本堂、月光殿、絹本著色尊勝曼荼羅図ほか（重要文化財）","桂昌院、亮賢（開山）","御府内八十八箇所87番江戸三十三箇所13番東国花の寺百ヶ寺東京3番","神齢山 悉地院 大聖護國寺","音羽護国寺","","大本山","","新義真言宗","悉地院","",""
"孤篷庵","[孤篷庵（こほうあん）（京都府京都市北区）] 孤篷庵 （こほうあん）は、 京都府 京都市 北区 紫野 にある 臨済宗 の寺院。臨済宗大徳寺派大本山 大徳寺 の 塔頭 である。他の塔頭群とは離れた、大徳寺境域の西端に位置する。庵号の「孤篷」は「一艘の苫舟」の意で、 小堀政一 （遠州）が師事した 春屋宗園 から授かった号である  。非公開だが、数年に1回は10日間程度の特別公開がある。","https://ja.wikipedia.org/wiki/孤篷庵","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯35度2分35.4秒東経135度44分23.0秒","京都府京都市北区紫野大徳寺町66","7130005001206","北緯35度2分35.4秒東経135度44分23.0秒﻿ / ﻿北緯35.043167度 東経135.739722度﻿ /35.043167; 135.739722","","","","臨済宗大徳寺派","井戸茶碗（国宝）","","","","","","","","","","",""
"金戒光明寺","[金戒光明寺（こんかいこうみょうじ）（京都市左京区）] くろ谷 金戒光明寺 （くろだに こんかいこうみょうじ）は、 京都市 左京区 にある 浄土宗 の寺院。山号は紫雲山。本尊は 阿弥陀如来 。通称を くろ谷さん （くろだにさん）と呼ぶ。 知恩院 とならぶ格式を誇る浄土宗の 七大本山 の一つであり、また京都四箇本山（他に知恩院、 百万遍知恩寺 、 清浄華院 ）の一つである。初めは 念仏 道場として利用されていた。境内には 皇族 ・ 公家 の 茶の湯 に使われた 黒谷明星水 という名水がある  。","https://ja.wikipedia.org/wiki/金戒光明寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯35度1分10.7秒東経135度47分16.9秒","京都府京都市左京区黒谷町121","4130005002413","北緯35度1分10.7秒東経135度47分16.9秒﻿ / ﻿北緯35.019639度 東経135.788028度﻿ /35.019639; 135.788028座標:北緯35度1分10.7秒東経135度47分16.9秒﻿ / ﻿北緯35.019639度 東経135.788028度﻿ /35.019639; 135.788028","承安5年（1175年）","紫雲山","阿弥陀如来","浄土宗","三重塔（文殊塔）・木造千手観音立像・山越阿弥陀図・地獄極楽図（重要文化財）","法然","法然上人二十五霊場第24番洛陽三十三所観音霊場第6番","紫雲山金戒光明寺","くろ谷さん白河禅房","浄土宗大本山・くろ谷 金戒光明寺","大本山","","","","",""
"金地院","[金地院（こんちいん）（京都市左京区）] 金地院 （こんちいん）は、 京都市 左京区 南禅寺福地町にある 臨済宗南禅寺派 の 寺院 。 南禅寺 の 塔頭 であり、 江戸幕府 の法律や外交を担った僧・ 以心崇伝 が住したことで知られる。 僧録 司が置かれ、一塔頭寺院に留まらず 江戸時代 を通じて 五山 十刹 以下全ての住職の任命権を持つ事実上の最高機関とされた。また10万石の格式を持ち、「寺大名」とも呼ばれた。 小堀遠州 作の庭が国の 特別名勝 に指定されている。","https://ja.wikipedia.org/wiki/金地院","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯35度0分37.02秒東経135度47分25.56秒","京都府京都市左京区南禅寺福地町86-12","4130005001101","北緯35度0分37.02秒東経135度47分25.56秒﻿ / ﻿北緯35.0102833度 東経135.7904333度﻿ /35.0102833; 135.7904333","応永年間（1394年-1427年）","","地蔵菩薩","臨済宗南禅寺派","紙本墨画溪陰小築図・絹本着色秋景冬景山水図（国宝）方丈、東照宮、茶室（京都三名席）、本光国師日記ほか（重要文化財）庭園（特別名勝）","足利義持","","","","","南禅寺塔頭","大業徳基","","","以心崇伝",""
"金剛三昧院","[金剛三昧院（こんごうざんまいいん）（和歌山県伊都郡高野町）] 金剛三昧院 （こんごうさんまいいん）は、 和歌山県 伊都郡 高野町 高野山 にある 高野山真言宗 の別格本山の 寺院 。 宿坊 。 本尊 は 愛染明王 。 仏塔古寺十八尊 第11番霊場。 西国愛染十七霊場 第17番霊場。","https://ja.wikipedia.org/wiki/金剛三昧院","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯34度12分36.8秒東経135度35分13.1秒","和歌山県伊都郡高野町高野山425","2170005004845","北緯34度12分36.8秒東経135度35分13.1秒﻿ / ﻿北緯34.210222度 東経135.586972度﻿ /34.210222; 135.586972座標:北緯34度12分36.8秒東経135度35分13.1秒﻿ / ﻿北緯34.210222度 東経135.586972度﻿ /34.210222; 135.586972","建暦元年（1211年）","","愛染明王","高野山真言宗","多宝塔（国宝）経蔵、絹本著色愛染明王像ほか（重要文化財）世界遺産","北条政子（発願）","仏塔古寺十八尊第11番西国愛染十七霊場第17番","","","","別格本山","","","","",""
"金剛寺 (河内長野市)","[金剛寺（こんごうじ）（大阪府河内長野市）] 金剛寺 （こんごうじ）は、 大阪府 河内長野市 にある 真言宗御室派 の 大本山 の 寺院 。 山号 は天野山（あまのさん）。 高野山 が 女人禁制 だったのに対して女性も参詣ができたため、「 女人高野 」とも呼ばれる。 奥河内 の観光地の一つ。","https://ja.wikipedia.org/wiki/金剛寺_(河内長野市)","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯34度25分46.42秒東経135度31分44.57秒","大阪府河内長野市天野町996","6120105005422","北緯34度25分46.42秒東経135度31分44.57秒﻿ / ﻿北緯34.4295611度 東経135.5290472度﻿ /34.4295611; 135.5290472座標:北緯34度25分46.42秒東経135度31分44.57秒﻿ / ﻿北緯34.4295611度 東経135.5290472度﻿ /34.4295611; 135.5290472","伝・天平年間（729年-748年）","天野山","大日如来坐像（国宝）","真言宗御室派","延喜式神名帳、延喜式第十二残巻・第十四・第十六、紙本著色日月四季山水、剣 無銘、木造大日如来坐像・木造不動・降三世明王坐像 3躯（国宝）楼門・金堂ほか（重要文化財）","聖武天皇（勅願）","新西国三十三箇所第7番河泉二十四地蔵霊場第12番河内飛鳥古社寺霊場第8番神仏霊場巡拝の道第55番（大阪第14番）","天野山金剛寺","女人高野","","大本山","伝・行基","","","",""
"金剛證寺","[金剛證寺（こんごうしょうじ）（三重県伊勢市）] 金剛證寺 （こんごうしょうじ）は、 三重県 伊勢市 朝熊町岳にある 臨済宗 南禅寺 派の 寺院 である。山号は勝峰山、院号は兜率院と称する。 本尊 は 虚空蔵菩薩 である。 朝熊山 （あさまやま）南峰（経ヶ峯）東腹にあり、「朝熊山」と呼ばれる場合がある。","https://ja.wikipedia.org/wiki/金剛證寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯34度27分26.68秒東経136度47分7.56秒","三重県伊勢市朝熊町岳548","4190005004791","北緯34度27分26.68秒東経136度47分7.56秒﻿ / ﻿北緯34.4574111度 東経136.7854333度﻿ /34.4574111; 136.7854333座標:北緯34度27分26.68秒東経136度47分7.56秒﻿ / ﻿北緯34.4574111度 東経136.7854333度﻿ /34.4574111; 136.7854333","（伝）6世紀中ば","勝峰山","虚空蔵菩薩","臨済宗南禅寺派","朝熊山経ヶ峯経塚出土品（国宝）本堂、九鬼嘉隆像ほか（重要文化財）国の史跡","暁台上人","伊勢西国三十三所観音霊場2番","勝峰山 兜率院 金剛證寺","","","","","","","",""
"金剛峯寺","[金剛峯寺（こんごうぶじ）（和歌山県伊都郡高野町）] 金剛峯寺 （こんごうぶじ）は、 和歌山県 伊都郡 高野町 高野山 にある 高野山真言宗 の 総本山 の 寺院 。正式には 高野山金剛峰寺 （こうやさんこんごうぶじ）と号する。","https://ja.wikipedia.org/wiki/金剛峯寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯34度12分50.7秒東経135度35分3秒","和歌山県伊都郡高野町高野山132","5170005004842","北緯34度12分50.7秒東経135度35分3秒﻿ / ﻿北緯34.214083度 東経135.58417度﻿ /34.214083; 135.58417座標:北緯34度12分50.7秒東経135度35分3秒﻿ / ﻿北緯34.214083度 東経135.58417度﻿ /34.214083; 135.58417","弘仁7年（816年）","高野山","薬師如来（阿閦如来とも）","高野山真言宗","不動堂、仏涅槃図ほか（国宝）大門、絹本著色大日如来像ほか（重要文化財）世界遺産","空海","真言宗十八本山18番西国三十三所特別札所神仏霊場巡拝の道第13番（和歌山第13番）","高野山真言宗 総本山金剛峯寺","","高野山真言宗 総本山金剛峯寺","総本山","","","","定誉、木食応其","長和5年（1016年）"
"金剛輪寺","[金剛輪寺（こんごうりんじ）（滋賀県愛知郡愛荘町）] 金剛輪寺 （こんごうりんじ）は、 滋賀県 愛知郡 愛荘町 松尾寺にある 天台宗 の 寺院 。 山号 は松峯山（しょうほうざん）。地名から松尾寺ともいう。 本尊 は 聖観音 菩薩、創立者は 行基 とされる。 西明寺 、 百済寺 （ひゃくさいじ）とともに 湖東三山 の1つに数えられる。現在は「血染めのもみじ」と呼ばれる有名な紅葉の名所となっている。","https://ja.wikipedia.org/wiki/金剛輪寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯35度9分40.5秒東経136度16分59秒","滋賀県愛知郡愛荘町松尾寺874","5160005005197","北緯35度9分40.5秒東経136度16分59秒﻿ / ﻿北緯35.161250度 東経136.28306度﻿ /35.161250; 136.28306﻿ (金剛輪寺)座標:北緯35度9分40.5秒東経136度16分59秒﻿ / ﻿北緯35.161250度 東経136.28306度﻿ /35.161250; 136.28306﻿ (金剛輪寺)","伝・天平13年（741年）","松峯山","聖観世音菩薩（秘仏）","","本堂（国宝）三重塔、二天門、阿弥陀如来坐像、慈恵大師坐像ほか（重要文化財）、明寿院庭園（国の名勝）","聖武天皇（勅願）","近江西国三十三観音霊場第15番湖国十一面観音菩薩霊場第11番びわ湖百八霊場第63番神仏霊場巡拝の道第135番（滋賀第3番）","","","湖東三山まん中のお寺 - 天台宗 金剛輪寺","","伝・行基","天台宗","","伝・円仁","嘉承年間（848年-851年）"
"金林寺","[金林寺（こんりんじ）（高知県安芸郡馬路村）] 金林寺 （こんりんじ）は、 高知県 安芸郡 馬路村 にある 高野山真言宗 の 仏教 寺院 。山号は月光山。詳名は月光山珠勝院金林寺。通称は 馬路薬師堂 。開基は 空海 （弘法大師）と伝える。 薬師堂 は国の 重要文化財 。","https://ja.wikipedia.org/wiki/金林寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯33度33分2.8秒東経134度2分48.4秒","高知県安芸郡馬路村大字馬路4281番地","8490005005558","北緯33度33分2.8秒東経134度2分48.4秒﻿ / ﻿北緯33.550778度 東経134.046778度﻿ /33.550778; 134.046778座標:北緯33度33分2.8秒東経134度2分48.4秒﻿ / ﻿北緯33.550778度 東経134.046778度﻿ /33.550778; 134.046778","伝・大同2年（807年）","月光山","薬師如来","高野山真言宗","薬師堂、木造不動明王立像、木造毘沙門天立像（以上は国の重要文化財）","伝・空海（弘法大師）","","月光山珠勝院金林寺","馬路薬師、馬路薬師堂","","","","","","",""
"金蓮寺 (西尾市)","[金蓮寺（こんれんじ）（愛知県西尾市）] 金蓮寺 （こんれんじ）は、 愛知県 西尾市 にある 曹洞宗 の寺院。山号は青龍山。本尊は 不動明王 。弥陀堂は 国宝 。","https://ja.wikipedia.org/wiki/金蓮寺_(西尾市)","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯34度48分33.72秒東経137度4分22.26秒","愛知県西尾市吉良町饗庭七度ヶ入1","7180305007170","北緯34度48分33.72秒東経137度4分22.26秒﻿ / ﻿北緯34.8093667度 東経137.0728500度﻿ /34.8093667; 137.0728500","不詳","青龍山","不動明王","曹洞宗","弥陀堂（国宝）木造阿弥陀如来坐像（県文化財）","不詳","三河三十三観音27番東海三十六不動尊20番","","あいば不動","","","","","","足利尊氏","暦応3年（1340年）"
"西岸寺","[西岸寺（さいがんじ）（京都市伏見区）] 西岸寺 （さいがんじ）は、各地にある 仏教 の 寺院 。","https://ja.wikipedia.org/wiki/西岸寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"西教寺","[西教寺（さいきょうじ）（滋賀県大津市）] 西教寺 （さいきょうじ）は、 滋賀県 大津市 坂本 にある 天台真盛宗 （てんだいしんせいしゅう  ）の 総本山 の 寺院 。 山号 は戒光山、 本尊 は 阿弥陀如来 。開基（創立者）は 聖徳太子 とする伝承もあるが判然とせず、 室町時代 、中興の祖であり天台真盛宗の宗祖である 真盛 が入寺してから栄えた。寺名は詳しくは 兼法勝西教寺 （けんほっしょうさいきょうじ）という。","https://ja.wikipedia.org/wiki/西教寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯35度4分53.6秒東経135度51分57.8秒","滋賀県大津市坂本5丁目13-1","4160005000711","北緯35度4分53.6秒東経135度51分57.8秒﻿ / ﻿北緯35.081556度 東経135.866056度﻿ /35.081556; 135.866056座標:北緯35度4分53.6秒東経135度51分57.8秒﻿ / ﻿北緯35.081556度 東経135.866056度﻿ /35.081556; 135.866056","伝・飛鳥時代","戒光山（かいこうさん）","阿弥陀如来（重要文化財）","天台真盛宗（てんだいしんせいしゅう）","本堂、客殿、木造阿弥陀如来坐像他（重要文化財）鐘楼（大津市指定文化財）","伝・聖徳太子","神仏霊場巡拝の道第148番（滋賀第16番）聖徳太子霊跡第31番真盛上人二十五霊場第1番びわ湖百八霊場第11番","天台真盛宗総本山 戒光山 兼法勝西教寺","","","総本山","","","","真盛","文明18年（1486年）"
"西光寺 (長野市)","[西光寺（さいこうじ）（長野県長野市）] 北緯36度38分49.1秒 東経138度11分15.1秒 ﻿ / ﻿ 北緯36.646972度 東経138.187528度 ﻿ / 36.646972; 138.187528","https://ja.wikipedia.org/wiki/西光寺_(長野市)","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯36度38分49.1秒東経138度11分15.1秒","長野県長野市北石堂町1398","3100005000453","北緯36度38分49.1秒東経138度11分15.1秒﻿ / ﻿北緯36.646972度 東経138.187528度﻿ /36.646972; 138.187528座標:北緯36度38分49.1秒東経138度11分15.1秒﻿ / ﻿北緯36.646972度 東経138.187528度﻿ /36.646972; 138.187528","（伝）建仁元年（1201年）","苅萱山","阿弥陀如来苅萱親子地蔵","浄土宗","親子地蔵（市指定文化財)苅萱道心石童丸御親子御絵（無指定）","苅萱上人（苅萱道心）","善光寺七福神（第一番寿老人）","苅萱山寂照院西光寺","苅萱山、かるかや山","","","","","寂照院","",""
"西光寺 (福岡市)","[西光寺（さいこうじ） （福岡市早良区）] 西光寺 （さいこうじ）は、 福岡県 福岡市 早良区 にある 浄土真宗本願寺派 の 寺院 。 山号 は狐峯山。梵鐘は 国宝 に指定されている。","https://ja.wikipedia.org/wiki/西光寺_(福岡市)","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯33度29分56.9秒東経130度20分17.8秒","福岡県福岡市早良区内野2-7-13","8290005000736","北緯33度29分56.9秒東経130度20分17.8秒﻿ / ﻿北緯33.499139度 東経130.338278度﻿ /33.499139; 130.338278座標:北緯33度29分56.9秒東経130度20分17.8秒﻿ / ﻿北緯33.499139度 東経130.338278度﻿ /33.499139; 130.338278","文明元年（1469年）","狐峯山","阿弥陀如来","浄土真宗本願寺派","梵鐘（国宝）","天海","","","","","","","","","",""
"最上稲荷","[最上稲荷（さいじょういなり）（岡山県岡山市）] 最上稲荷 （さいじょういなり）は、 岡山県 岡山市 北区 にある 日蓮宗 の寺である。正式名称は、 最上稲荷山妙教寺 。所在地が岡山市高松地区であることから高松稲荷（たかまついなり）と称されることもある。本尊は 久遠実成本師釈迦牟尼仏 、祈祷本尊は 最上位経王大菩薩  （稲荷大明神）。","https://ja.wikipedia.org/wiki/最上稲荷","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯34度42分32.24秒東経133度50分0.28秒","岡山県岡山市北区高松稲荷712","8260005000466","北緯34度42分32.24秒東経133度50分0.28秒﻿ / ﻿北緯34.7089556度 東経133.8334111度﻿ /34.7089556; 133.8334111座標:北緯34度42分32.24秒東経133度50分0.28秒﻿ / ﻿北緯34.7089556度 東経133.8334111度﻿ /34.7089556; 133.8334111","（伝）天平勝宝4年（752年）","最上稲荷山","久遠実成本師釈迦牟尼仏最上位経王大菩薩（祈祷本尊）","日蓮宗","本堂ほか（国の登録有形文化財）霊應殿（市指定文化財）","（伝）報恩大師","","最上稲荷山妙教寺","最上稲荷高松稲荷","最上稲荷妙教寺","","","","","",""
"西大寺 (奈良市)","[西大寺（さいだいじ）（奈良県奈良市）] 西大寺 （さいだいじ）は、 奈良県 奈良市 西大寺芝町にある 真言律宗 の総本山。 奈良時代 に 孝謙上皇 （重祚して称徳天皇）の発願により、僧・ 常騰 を開山（初代住職）として建立された。 南都七大寺 の1つとして奈良時代には壮大な 伽藍 を誇ったが、 平安時代 に一時衰退し、 鎌倉時代 に 叡尊 によって復興された。 山号 は勝宝山  。現在の本尊は 釈迦如来 である。","https://ja.wikipedia.org/wiki/西大寺_(奈良市)","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯34度41分37秒東経135度46分46.2秒","奈良県奈良市西大寺芝町1-1-5","2150005000193","北緯34度41分37秒東経135度46分46.2秒﻿ / ﻿北緯34.69361度 東経135.779500度﻿ /34.69361; 135.779500座標:北緯34度41分37秒東経135度46分46.2秒﻿ / ﻿北緯34.69361度 東経135.779500度﻿ /34.69361; 135.779500","天平神護元年（765年）","勝宝山","釈迦如来（重要文化財）","真言律宗","絹本著色十二天像12幅・金銅宝塔及び納置品ほか（国宝）本堂・絹本著色釈迦三尊像・木造釈迦如来立像ほか（重要文化財）","孝謙上皇（勅願）","真言宗十八本山第15番大和十三仏霊場第2番西国愛染十七霊場第13番神仏霊場巡拝の道第23番（奈良第10番）大和北部八十八ヶ所霊場第24番南都七大寺第5番","勝宝山四王院西大寺","","真言律宗総本山 西大寺","総本山","常騰","","四王院","",""
"西福寺 (敦賀市)","[西福寺（さいふくじ）（福井県敦賀市）] 西福寺 （さいふくじ）は、 福井県 敦賀市 にある 浄土宗 の 寺院 。山号は大原山。本尊は 阿弥陀三尊 （ 阿弥陀如来 ・ 観音菩薩 ・ 勢至菩薩 ）。 名勝 の書院庭園が有名。","https://ja.wikipedia.org/wiki/西福寺_(敦賀市)","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯35度39分25秒東経136度1分55.6秒","〒914-0824 福井県敦賀市原13-7","4210005006109","北緯35度39分25秒東経136度1分55.6秒﻿ / ﻿北緯35.65694度 東経136.032111度﻿ /35.65694; 136.032111座標:北緯35度39分25秒東経136度1分55.6秒﻿ / ﻿北緯35.65694度 東経136.032111度﻿ /35.65694; 136.032111","応安元年1368年","大原山","阿弥陀三尊","浄土宗鎮西派","書院庭園（国の名勝）御影堂、阿弥陀堂、書院及び庫裏、絹本著色観経変相曼荼羅図、西福寺一切経勧進経25巻ほか（重要文化財）","後光厳天皇（勅願）、良如（開山）","","","越の秀嶺","","中本山","","","","",""
"西芳寺","[西芳寺（さいほうじ）（京都市西京区）] 西芳寺 （さいほうじ）は、 京都市 西京区 松尾にある 臨済宗 の 仏教 寺院 。 天龍寺 の境外 塔頭 だったが、現在は離脱して 単立 寺院。 庭園 は約120種の 苔 に覆われ、 苔寺 （こけでら）の通称で知られる  。 山号 を洪隠山と称する。 本尊 は 阿弥陀如来 、 開山 は 行基 と伝え、中興開山は 夢窓疎石 である。「 古都京都の文化財 」としてユネスコ 世界遺産 に登録されている。","https://ja.wikipedia.org/wiki/西芳寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯34度59分31.06秒東経135度40分59.93秒","京都府京都市西京区松尾神ヶ谷町56","6130005001735","北緯34度59分31.06秒東経135度40分59.93秒﻿ / ﻿北緯34.9919611度 東経135.6833139度﻿ /34.9919611; 135.6833139座標:北緯34度59分31.06秒東経135度40分59.93秒﻿ / ﻿北緯34.9919611度 東経135.6833139度﻿ /34.9919611; 135.6833139","(伝)天平年間（729年-749年）中興：暦応2年（1339年）","洪隠山","阿弥陀如来","臨済宗系単立","湘南亭・夢窓国師画像（重要文化財）庭園（特別名勝、史跡）世界遺産","(伝)行基中興：夢窓疎石","","","苔寺","","","","","","",""
"西明寺 (滋賀県甲良町)","[西明寺（さいみょうじ）（滋賀県甲良町）] 西明寺 （さいみょうじ）は、 滋賀県 犬上郡 甲良町 池寺にある 天台宗 の 寺院 。 山号 は龍応山（りゅうおうざん）。 本尊 は 薬師如来 、 開山 は三修上人である。 金剛輪寺 、 百済寺 とともに「 湖東三山 」の1つに数えられる。 西国薬師四十九霊場 第32番札所。境内は紅葉の名所となっている。","https://ja.wikipedia.org/wiki/西明寺_(滋賀県甲良町)","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯35度11分2.3秒東経136度17分3.4秒","滋賀県犬上郡甲良町大字池寺26","9160005005227","北緯35度11分2.3秒東経136度17分3.4秒﻿ / ﻿北緯35.183972度 東経136.284278度﻿ /35.183972; 136.284278﻿ (西明寺)座標:北緯35度11分2.3秒東経136度17分3.4秒﻿ / ﻿北緯35.183972度 東経136.284278度﻿ /35.183972; 136.284278﻿ (西明寺)","伝・承和元年（834年）","龍応山（りゅうおうざん）非略体: 龍應山","薬師如来","天台宗","本堂、三重塔（国宝）二天門、薬師如来立像ほか（重要文化財）本坊庭園（国の名勝）","伝・仁明天皇（勅願）","西国薬師四十九霊場第32番神仏霊場巡拝の道第136番（滋賀第4番）","龍應山西明寺","池寺","西明寺","","伝・三修上人","","","",""
