"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","面積","分類","運営者","開園","事務所所在地","事務所","公式サイト","告示","備考","設備・遊具","地域","創立日","年来園者数","位置","アクセス","標高","山系","現況"
"奥久慈県立自然公園 (存在しないページ)","[奥久慈県立自然公園]","https://ja.wikipedia.org/w/index.php?title=奥久慈県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"磐城海岸県立自然公園","[磐城海岸県立自然公園] 磐城海岸県立自然公園 （いわきかいがんけんりつしぜんこうえん）は 福島県 いわき市 にある 県立自然公園 である。","https://ja.wikipedia.org/wiki/磐城海岸県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"松川浦県立自然公園","[松川浦県立自然公園] 松川浦県立自然公園 （まつかわうらけんりつしぜんこうえん）とは、 福島県 相馬市 にある 県立自然公園 。 日本百景 の一つであり美しい 森 に囲まれた 松川浦 を中心とする相馬市臨海公園や、 原釜尾浜海水浴場 、 鵜ノ尾岬 等を持つ相馬市の観光地である。","https://ja.wikipedia.org/wiki/松川浦県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","北緯37度47分53秒東経140度58分32秒","日本福島県相馬市","979 ha（うち海域738 ha）","都道府県立自然公園","福島県","1951年3月27日","","","松川浦県立自然公園（福島県HP）","1951年（昭和26年）3月27日","","","","","111,000人","","","","","年中開放"
"勿来関","[勿来県立自然公園] 勿来関 （なこそのせき）は、 古代 から 歌枕 となっている 関所 の1つ。 江戸時代 の終わり頃からは「 奥州 三関」の1つに数えられている  。所在地が諸説ある上、その存在自体を疑う説  もある。","https://ja.wikipedia.org/wiki/勿来関","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"只見柳津県立自然公園","[只見柳津県立自然公園] 只見柳津県立自然公園 （ただみやないづけんりつしぜんこうえん）は、 福島県 の 会津 地方にある県立の 自然公園 。","https://ja.wikipedia.org/wiki/只見柳津県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大川羽鳥県立自然公園 (存在しないページ)","[大川羽鳥県立自然公園]","https://ja.wikipedia.org/w/index.php?title=大川羽鳥県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"阿武隈高原中部県立自然公園 (存在しないページ)","[阿武隈高原中部県立自然公園]","https://ja.wikipedia.org/w/index.php?title=阿武隈高原中部県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"夏井川渓谷県立自然公園 (存在しないページ)","[夏井川渓谷県立自然公園]","https://ja.wikipedia.org/w/index.php?title=夏井川渓谷県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"花園花貫県立自然公園","[花園花貫県立自然公園] 花園花貫県立自然公園 （はなぞのはなぬきけんりつしぜんこうえん）は、 茨城県 の北部にある 自然公園 。 多賀山地 の山岳部、 花園渓谷 などの渓谷部、 五浦海岸 などの海岸部などからなり  、指定されている面積は約25,000ヘクタールと県内の自然公園・国定公園のなかで最も広い  。","https://ja.wikipedia.org/wiki/花園花貫県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","北緯36度50分7.7秒東経140度42分5.8秒","日本茨城県北茨城市、高萩市、日立市、常陸太田市","24,826ヘクタール","県立自然公園","","","茨城県水戸市笠原町978番6","茨城県庁生活環境部環境政策課","花園・花貫県立自然公園（茨城県庁生活環境部環境政策課）","","拡張区域の所在地及び面積","","","","","","","","",""
"高鈴県立自然公園 (存在しないページ)","[高鈴県立自然公園]","https://ja.wikipedia.org/w/index.php?title=高鈴県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"太田県立自然公園 (存在しないページ)","[太田県立自然公園]","https://ja.wikipedia.org/w/index.php?title=太田県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"奥久慈県立自然公園 (存在しないページ)","[奥久慈県立自然公園]","https://ja.wikipedia.org/w/index.php?title=奥久慈県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大洗県立自然公園 (存在しないページ)","[大洗県立自然公園]","https://ja.wikipedia.org/w/index.php?title=大洗県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"水戸県立自然公園 (存在しないページ)","[水戸県立自然公園]","https://ja.wikipedia.org/w/index.php?title=水戸県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"御前山県立自然公園 (存在しないページ)","[御前山県立自然公園]","https://ja.wikipedia.org/w/index.php?title=御前山県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"吾国愛宕県立自然公園 (存在しないページ)","[吾国愛宕県立自然公園]","https://ja.wikipedia.org/w/index.php?title=吾国愛宕県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"笠間県立自然公園 (存在しないページ)","[笠間県立自然公園]","https://ja.wikipedia.org/w/index.php?title=笠間県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"前日光県立自然公園 (存在しないページ)","[前日光県立自然公園]","https://ja.wikipedia.org/w/index.php?title=前日光県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"八溝県立自然公園 (存在しないページ)","[八溝県立自然公園]","https://ja.wikipedia.org/w/index.php?title=八溝県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"那珂川県立自然公園","[那珂川県立自然公園] 那珂川県立自然公園 （なかがわけんりつしぜんこうえん）は、 栃木県 那須烏山市 と 茂木町 にまたがる 都道府県立自然公園 。","https://ja.wikipedia.org/wiki/那珂川県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"益子県立自然公園 (存在しないページ)","[益子県立自然公園]","https://ja.wikipedia.org/w/index.php?title=益子県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"太平山県立自然公園 (栃木県)","[太平山県立自然公園] 太平山県立自然公園 （おおひらさんけんりつしぜんこうえん）は、 栃木県 栃木市 の 太平山 と 晃石山 を含む 都道府県立自然公園 。 1955年 （昭和30年） 3月25日 に県立自然公園として指定された。面積は1,079 ヘクタール 。","https://ja.wikipedia.org/wiki/太平山県立自然公園_(栃木県)","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"唐沢山県立自然公園 (存在しないページ)","[唐沢山県立自然公園]","https://ja.wikipedia.org/w/index.php?title=唐沢山県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"足利県立自然公園 (存在しないページ)","[足利県立自然公園]","https://ja.wikipedia.org/w/index.php?title=足利県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"宇都宮県立自然公園 (存在しないページ)","[宇都宮県立自然公園]","https://ja.wikipedia.org/w/index.php?title=宇都宮県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"県立狭山自然公園","[県立狭山自然公園] 埼玉県立狭山自然公園 （さいたまけんりつ さやましぜんこうえん）は、 埼玉県 所沢市 ・ 入間市 にある 県立自然公園 。","https://ja.wikipedia.org/wiki/県立狭山自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"県立奥武蔵自然公園","[県立奥武蔵自然公園] 奥武蔵 （おくむさし）とは、 埼玉県 南西部の 山岳 ・丘陵地帯の総称である。奥武蔵高原とも称される  。県立奥武蔵自然公園がある。","https://ja.wikipedia.org/wiki/県立奥武蔵自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"県立黒山自然公園 (存在しないページ)","[県立黒山自然公園]","https://ja.wikipedia.org/w/index.php?title=県立黒山自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"県立長瀞玉淀自然公園","[県立長瀞玉淀自然公園] この記事には 複数の問題があります 。 改善 や ノートページ での議論にご協力ください。","https://ja.wikipedia.org/wiki/県立長瀞玉淀自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"県立比企丘陵自然公園 (存在しないページ)","[県立比企丘陵自然公園]","https://ja.wikipedia.org/w/index.php?title=県立比企丘陵自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"県立上武自然公園 (存在しないページ)","[県立上武自然公園]","https://ja.wikipedia.org/w/index.php?title=県立上武自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"県立武甲自然公園 (存在しないページ)","[県立武甲自然公園]","https://ja.wikipedia.org/w/index.php?title=県立武甲自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"県立安行武南自然公園","[県立安行武南自然公園] 埼玉県立安行武南自然公園 （さいたまけんりつ あんぎょうぶなんしぜんこうえん）は、 埼玉県 さいたま市 ・ 川口市 にある 県立自然公園 。","https://ja.wikipedia.org/wiki/県立安行武南自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"県立両神自然公園","[県立両神自然公園] 埼玉県立両神自然公園 （さいたまけんりつ りょうかみしぜんこうえん）は、 埼玉県 秩父郡 小鹿野町 にある 県立自然公園 。","https://ja.wikipedia.org/wiki/県立両神自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","北緯35度58分54秒東経138度54分50秒","日本埼玉県秩父郡小鹿野町両神小森","52.83 km²","自然公園","埼玉県","1978年","〒368-0202 埼玉県秩父郡小鹿野町両神小森","","","","","","","","","","","","",""
"県立西秩父自然公園 (存在しないページ)","[県立西秩父自然公園]","https://ja.wikipedia.org/w/index.php?title=県立西秩父自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"県立養老渓谷奥清澄自然公園","[県立養老渓谷奥清澄自然公園] 千葉県立養老渓谷奥清澄自然公園 （ちばけんりつようろうけいこくおくきよすみしぜんこうえん）は、 養老渓谷 ・ 清澄山地 を中心とした 千葉県 南部に位置する 都道府県立自然公園  。","https://ja.wikipedia.org/wiki/県立養老渓谷奥清澄自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","日本千葉県市原市・君津市・鴨川市夷隅郡大多喜町","27.90平方キロメートル","自然公園","千葉県","1935年8月9日","","","千葉県の自然公園一覧表","","","","","","","","","","",""
"県立九十九里自然公園","[県立九十九里自然公園] 千葉県立九十九里自然公園 （ちばけんりつくじゅうくりしぜんこうえん）は、 九十九里浜 を中心とした 千葉県 東部に位置する 都道府県立自然公園 。自然公園施設として上永井自然公園、片貝自然公園、白子自然公園が整備されている  。","https://ja.wikipedia.org/wiki/県立九十九里自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","日本千葉県千葉市緑区銚子市・旭市・匝瑳市・山武市・東金市・大網白里市山武郡横芝光町・九十九里町長生郡白子町・一宮町・長生村","32.53平方キロメートル","自然公園","千葉県","1935年","","","千葉県の自然公園一覧表","","","","","","","","","","",""
"県立印旛手賀自然公園","[県立印旛手賀自然公園] 千葉県立印旛手賀自然公園 （ちばけんりついんばてがしぜんこうえん）は、 印旛沼 ・ 手賀沼 を中心とした 千葉県 北部に位置する 都道府県立自然公園 。","https://ja.wikipedia.org/wiki/県立印旛手賀自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","日本千葉県柏市・我孫子市・印西市・佐倉市・成田市印旛郡栄町・酒々井町","66.06平方キロメートル","自然公園","千葉県","1952年","","","千葉県の自然公園一覧表","","","","","","","","","","",""
"県立高宕山自然公園","[県立高宕山自然公園] 千葉県立高宕山自然公園 （ちばけんりつたかごやましぜんこうえん）は、 高宕山 を中心とした 千葉県 南部に位置する 都道府県立自然公園 。高宕山 ニホンザル 生息地は国の 天然記念物 に指定されている。","https://ja.wikipedia.org/wiki/県立高宕山自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","日本千葉県富津市・君津市","23.42平方キロメートル","自然公園","千葉県","1935年8月9日","","","千葉県の自然公園一覧表","","","","","","","","","","",""
"県立嶺岡山系自然公園","[県立嶺岡山系自然公園] 千葉県立嶺岡山系自然公園 （ちばけんりつみねおかさんけいしぜんこうえん）は、 嶺岡山地 を中心とした 千葉県 南部に位置する 都道府県立自然公園 。","https://ja.wikipedia.org/wiki/県立嶺岡山系自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","日本千葉県鴨川市・南房総市","15.74平方キロメートル","自然公園","千葉県","1935年8月9日","","","千葉県の自然公園一覧表","","","","","","","","","","",""
"県立富山自然公園","[県立富山自然公園] 千葉県立富山自然公園 （ちばけんりつとみさんしぜんこうえん）は、 富山 （とみさん）・ 伊予ヶ岳 を中心とした 千葉県 南房総市 に位置する 都道府県立自然公園 。","https://ja.wikipedia.org/wiki/県立富山自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","日本千葉県南房総市","6.76平方キロメートル","自然公園","千葉県","1951年3月3日","","","千葉県の自然公園一覧表","","","","","","","","","","",""
"県立大利根自然公園","[県立大利根自然公園] 千葉県立大利根自然公園 （ちばけんりつおおとねしぜんこうえん）は、 利根川 を中心とした 千葉県 北部に位置する 都道府県立自然公園 。神崎の大クスは国の 天然記念物 に指定されている  。","https://ja.wikipedia.org/wiki/県立大利根自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","日本千葉県香取市・香取郡神崎町","5.03平方キロメートル","自然公園","千葉県","1935年7月5日","","","千葉県の自然公園一覧表","","","","","","","","","","",""
"県立笠森鶴舞自然公園","[県立笠森鶴舞自然公園] 千葉県立笠森鶴舞自然公園 （ちばけんりつかさもりつるまいしぜんこうえん）は、権現森・ 笠森寺 の 自然林 を中心とした 千葉県 中央部に位置する 都道府県立自然公園 。笠森寺自然林は国の 天然記念物 に指定されている  。","https://ja.wikipedia.org/wiki/県立笠森鶴舞自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","日本千葉県市原市長生郡長柄町・長南町","19.48平方キロメートル","自然公園","千葉県","1966年3月8日","","","千葉県の自然公園一覧表","","","","","","","","","","",""
"東京都立滝山自然公園","[東京都立滝山自然公園] 都立滝山自然公園 （とりつたきやましぜんこうえん）は、東京都八王子市にある都立自然公園   。1950年に設立された。標高約200mの滝山があるのが特徴。かつて存在した 滝山城 址が所在する。面積は6.61 km²。","https://ja.wikipedia.org/wiki/東京都立滝山自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","北緯35度42分5.3秒 東経139度19分45.2秒","","6.61 km²","","","","","","","","","","日本東京都","1950年11月7日","","","","","",""
"東京都立高尾陣場自然公園","[東京都立高尾陣場自然公園] 東京都立高尾陣場自然公園 （とうきょうとりつたかおじんばしぜんこうえん）は、 東京都 八王子市 にある東京都立の 自然公園 。","https://ja.wikipedia.org/wiki/東京都立高尾陣場自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","北緯35度37分30.1秒 東経139度14分35.6秒","","","","","","","","","","","","","","","","","","",""
"東京都立多摩丘陵自然公園","[東京都立多摩丘陵自然公園] 東京都立多摩丘陵自然公園 （とうきょうとりつたまきゅうりょうしぜんこうえん）は、 東京都 多摩市 連光寺 にある 自然公園   。面積は19.59平方キロメートル。1950年11月25日に指定された。 八王子市 ・ 日野市 ・ 多摩市 に跨る。 多摩動物公園 、 高幡不動 、 百草園 など数々の名所がある  。東に東京の 都心部 、西に 富士山 を望むことができる。 高尾山 、 奥多摩 、 秩父 などの山々を眺めることもできる。","https://ja.wikipedia.org/wiki/東京都立多摩丘陵自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","北緯35度39分36.1秒 東経139度24分35.1秒","","19.59 km²","","","","","","","","","","日本東京都多摩市","1950年11月25日","","","","","",""
"東京都立狭山自然公園","[東京都立狭山自然公園] 東京都立狭山自然公園 （とうきょうとりつさやましぜんこうえん）は、 東京都 東大和市 ・ 東村山市 ・ 武蔵村山市 ・ 西多摩郡 瑞穂町 の 狭山丘陵 に広がる東京都立の 自然公園 。 1951年 3月15日 、東京都自然公園条例に基づき設定（昭和26年3月15日東京都告示第245号）。","https://ja.wikipedia.org/wiki/東京都立狭山自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","北緯35度45分46秒東経139度25分1秒","日本東京都東大和市東村山市武蔵村山市西多摩郡瑞穂町","775ha","都市公園>都立自然公園","","","","","","1951年（昭和26年）3月15日設定","","記事参照","","","","","","","",""
"東京都立羽村草花丘陵自然公園","[東京都立羽村草花丘陵自然公園] 東京都立羽村草花丘陵自然公園 （とうきょうとりつはむらくさばなきゅうりょうしぜんこうえん）は、 東京都 羽村市 玉川にある 自然公園 。 多摩川 上流域と 草花丘陵 を含み、 あきる野市 ・ 福生市 ・ 羽村市 ・ 青梅市 に広がる。面積は5.53平方キロメートル。1953年3月12日に指定された   。","https://ja.wikipedia.org/wiki/東京都立羽村草花丘陵自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","5.53 km²","","","","","","","","","","日本東京都羽村市","1953年3月12日","","","","","",""
"東京都立秋川丘陵自然公園","[東京都立秋川丘陵自然公園] 東京都立秋川丘陵自然公園 （とうきょうとりつあきがわきゅうりょうしぜんこうえん）は、 東京都 あきる野市 と 八王子市 の市境に広がる東京都立の 自然公園 。","https://ja.wikipedia.org/wiki/東京都立秋川丘陵自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"県立丹沢大山自然公園","[県立丹沢大山自然公園] 神奈川県立丹沢大山自然公園 （かながわけんりつたんざわおおやましぜんこうえん）は、 丹沢山地 内にある 自然公園 。","https://ja.wikipedia.org/wiki/県立丹沢大山自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"県立陣馬相模湖自然公園 (存在しないページ)","[県立陣馬相模湖自然公園]","https://ja.wikipedia.org/w/index.php?title=県立陣馬相模湖自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"県立奥湯河原自然公園 (存在しないページ)","[県立奥湯河原自然公園]","https://ja.wikipedia.org/w/index.php?title=県立奥湯河原自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"県立真鶴半島自然公園 (存在しないページ)","[県立真鶴半島自然公園]","https://ja.wikipedia.org/w/index.php?title=県立真鶴半島自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"四尾連湖県立自然公園","[四尾連湖県立自然公園] 四尾連湖県立自然公園 （しびれこけんりつしぜんこうえん）は、 山梨県 中西部に位置する 県立自然公園 。面積362 ha 。 1959年 （ 昭和 34年） 4月2日 指定  。","https://ja.wikipedia.org/wiki/四尾連湖県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"南アルプス巨摩県立自然公園","[南アルプス巨摩県立自然公園] 南アルプス巨摩県立自然公園 （みなみアルプス こまけんりつしぜんこうえん）は、 山梨県 西部に位置する 県立自然公園 。面積1万4841 ha 。 1966年 （ 昭和 41年） 4月1日 指定。","https://ja.wikipedia.org/wiki/南アルプス巨摩県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"御岳県立公園","[御岳県立公園] 御岳県立公園 （おんたけけんりつこうえん）は、 長野県 木曽地域 に位置する 県立自然公園 。面積1万9046 ha  。 1952年 （昭和27年） 3月3日 指定  。","https://ja.wikipedia.org/wiki/御岳県立公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"三峰川水系県立公園","[三峰川水系県立公園] 三峰川水系県立公園 （みぶがわすいけいけんりつこうえん）は、 長野県 南信地方 に位置する 県立自然公園 。面積526ha  。 1958年 （昭和33年） 5月1日 指定  。","https://ja.wikipedia.org/wiki/三峰川水系県立公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","北緯35度48分51秒東経138度4分45秒","日本長野県伊那市","526ha","県立自然公園","","","","","","1958年（昭和33年）5月1日指定","","","","","","","","","",""
"塩嶺王城県立自然公園","[塩嶺王城県立自然公園] 塩嶺王城県立自然公園 （えんれいおうじょうけんりつしぜんこうえん）は、 長野県 の中部に位置する 県立自然公園 。面積1340ha  。 1964年 （昭和39年） 6月25日 指定  。","https://ja.wikipedia.org/wiki/塩嶺王城県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"聖山高原県立公園","[聖山高原県立公園] 聖山高原県立公園 （ひじりやまこうげんけんりつこうえん）は、 長野県 北部と中部の間に位置する 県立自然公園 。面積2150ha  。 1965年 （昭和40年） 7月8日 指定  。","https://ja.wikipedia.org/wiki/聖山高原県立公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"天竜小渋水系県立自然公園","[天竜小渋水系県立自然公園] 天竜小渋水系県立自然公園 （てんりゅうこしぶすいけいけんりつしぜんこうえん）は、 長野県 南部に位置する 県立自然公園 。面積2561ha  。 1970年 （昭和45年） 12月21日 指定。","https://ja.wikipedia.org/wiki/天竜小渋水系県立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"瀬波笹川流れ粟島県立自然公園 (存在しないページ)","[瀬波笹川流れ粟島県立自然公園]","https://ja.wikipedia.org/w/index.php?title=瀬波笹川流れ粟島県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"胎内二王子県立自然公園 (存在しないページ)","[胎内二王子県立自然公園]","https://ja.wikipedia.org/w/index.php?title=胎内二王子県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"阿賀野川ライン県立自然公園 (存在しないページ)","[阿賀野川ライン県立自然公園]","https://ja.wikipedia.org/w/index.php?title=阿賀野川ライン県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"五頭連峰県立自然公園 (存在しないページ)","[五頭連峰県立自然公園]","https://ja.wikipedia.org/w/index.php?title=五頭連峰県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"長岡東山山本山県立自然公園 (存在しないページ)","[長岡東山山本山県立自然公園]","https://ja.wikipedia.org/w/index.php?title=長岡東山山本山県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"奥早出粟守門県立自然公園 (存在しないページ)","[奥早出粟守門県立自然公園]","https://ja.wikipedia.org/w/index.php?title=奥早出粟守門県立自然公園&amp;action=edit&amp;redlink=1","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
