"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","開業","公式サイト","運営","部屋数","最寄駅","階数","位置","正式名称","最寄IC","法人番号","外部リンク","ホテルチェーン","種類","設立","業種","代表者","資本金","前身"
"沖縄県","[32リザンシーパークホテル谷茶ベイ沖縄県恩納村82610階] 日本で最も西にあり、 沖縄本島 、 宮古島 、 石垣島 など多くの島々から構成される  。","https://ja.wikipedia.org/wiki/沖縄県","日本の大規模ホテル一覧","https://ja.wikipedia.org/wiki/日本の大規模ホテル一覧","表形式","北緯26度12分44.8秒東経127度40分51.3秒","〒900-8570沖縄県那覇市泉崎一丁目2番地2号北緯26度12分44.8秒東経127度40分51.3秒﻿ / ﻿北緯26.212444度 東経127.680917度﻿ /26.212444; 127.680917﻿ (沖縄県)座標:北緯26度12分44.8秒東経127度40分51.3秒﻿ / ﻿北緯26.212444度 東経127.680917度﻿ /26.212444; 127.680917﻿ (沖縄県)","","","","","","","","","","1000020470007","公式ウェブサイト","","","","","","",""
"ヒルトン東京","[33ヒルトン東京東京都新宿区81138階] ヒルトン東京 （ヒルトンとうきょう、英語表記Hilton Tokyo）は、 東京都 新宿区 西新宿 6丁目にある高級 ホテル 。運営は ヒルトン・インターナショナル 傘下の日本ヒルトン株式会社。","https://ja.wikipedia.org/wiki/ヒルトン東京","日本の大規模ホテル一覧","https://ja.wikipedia.org/wiki/日本の大規模ホテル一覧","表形式","北緯35度41分33.1秒東経139度41分27.8秒","〒160-0023東京都新宿区西新宿6丁目6番2号","1963年6月（現在地では1984年9月1日）","公式サイト","日本ヒルトン","825室","東京メトロ西新宿駅","地下4階 - 地上38階","北緯35度41分33.1秒東経139度41分27.8秒﻿ / ﻿北緯35.692528度 東経139.691056度﻿ /35.692528; 139.691056座標:北緯35度41分33.1秒東経139度41分27.8秒﻿ / ﻿北緯35.692528度 東経139.691056度﻿ /35.692528; 139.691056","ヒルトン東京","首都高速4号新宿線新宿出入口","","","","","","","","","東京ヒルトンホテル"
"ホテルメトロポリタン","[34ホテルメトロポリタン東京都豊島区80725階] ホテルメトロポリタン （ Hotel Metropolitan / Hotel Metropolitan Tokyo Ikebukuro ）は、 東京都 豊島区 西池袋 にある シティホテル である。 JR東日本グループ のホテルチェーン「 JR東日本ホテルズ 」のシティホテルブランドである「 メトロポリタンホテルズ 」の旗艦拠点である。","https://ja.wikipedia.org/wiki/ホテルメトロポリタン","日本の大規模ホテル一覧","https://ja.wikipedia.org/wiki/日本の大規模ホテル一覧","表形式","北緯35度43分42.5秒東経139度42分28.9秒","〒171-8505東京都豊島区西池袋一丁目6番1号","1985年（昭和60年）6月2日","公式サイト","日本ホテル","807室","JR池袋駅西口より徒歩3分/メトロポリタン口より徒歩1分","地下2 - 地上25階","北緯35度43分42.5秒東経139度42分28.9秒﻿ / ﻿北緯35.728472度 東経139.708028度﻿ /35.728472; 139.708028座標:北緯35度43分42.5秒東経139度42分28.9秒﻿ / ﻿北緯35.728472度 東経139.708028度﻿ /35.728472; 139.708028","ホテルメトロポリタン","首都高速中央環状線西池袋出口より約5分","","","JR東日本ホテルズ","","","","","",""
"名古屋市","[35東横INN名古屋名駅南愛知県名古屋市805] 名古屋市 （なごやし）は、 愛知県 北西部に位置する 市 。愛知県の 県庁所在地 で、 政令指定都市 である。16の 行政区 を持つ。","https://ja.wikipedia.org/wiki/名古屋市","日本の大規模ホテル一覧","https://ja.wikipedia.org/wiki/日本の大規模ホテル一覧","表形式","北緯35度10分53秒東経136度54分23秒","〒460-8508愛知県名古屋市中区三の丸三丁目1番1号北緯35度10分53秒東経136度54分23秒﻿ / ﻿北緯35.18139度 東経136.90639度﻿ /35.18139; 136.90639座標:北緯35度10分53秒東経136度54分23秒﻿ / ﻿北緯35.18139度 東経136.90639度﻿ /35.18139; 136.906392011年10月28日撮影","","","","","","","","","","3000020231002","公式ウェブサイト（日本語）","","","","","","",""
"ヒルトン東京ベイ","[36ヒルトン東京ベイ千葉県浦安市80111階] ヒルトン東京ベイ （ヒルトンとうきょうベイ、 英称 ： Hilton Tokyo Bay ）とは、 東京ディズニーリゾート 内にある ヒルトンホテル が運営しているリゾートホテルである。 東京ディズニーリゾート・オフィシャルホテル の一つ。 東京ベイNKホール 跡地と グランドニッコー東京ベイ 舞浜 の間に位置する。","https://ja.wikipedia.org/wiki/ヒルトン東京ベイ","日本の大規模ホテル一覧","https://ja.wikipedia.org/wiki/日本の大規模ホテル一覧","表形式","北緯35度37分37.2秒東経139度52分30.1秒","〒279-0031千葉県浦安市舞浜1-8","1988年（昭和63年）7月2日","公式サイト","ヒルトン・インターナショナル","828室","ディズニーリゾートラインベイサイド・ステーション","地下1階 - 11階","北緯35度37分37.2秒東経139度52分30.1秒﻿ / ﻿北緯35.627000度 東経139.875028度﻿ /35.627000; 139.875028座標:北緯35度37分37.2秒東経139度52分30.1秒﻿ / ﻿北緯35.627000度 東経139.875028度﻿ /35.627000; 139.875028","ヒルトン東京ベイHilton Tokyo Bay","首都高速湾岸線浦安出入口,舞浜入口","","","","","","","","","東京ベイヒルトン インターナショナル"
"東都自動車グループ","[37マロウドインターナショナルホテル成田千葉県成田市80013階] 東都自動車グループ （とうとじどうしゃグループ、Toto Motors Co.Ltd.）は、 東京都 を中心に ハイヤー ・ タクシー ・ バス ・ 自動車教習所 ・ 不動産 ・ ホテル ・ゴルフ場・ LPG スタンドを経営する 事業者 である。","https://ja.wikipedia.org/wiki/東都自動車グループ","日本の大規模ホテル一覧","https://ja.wikipedia.org/wiki/日本の大規模ホテル一覧","表形式","","","","","","","","","","","","3013301008311","https://www.toto-motors.co.jp/","","株式会社","1952年（昭和27年）1月","陸運業","代表取締役社長　宮本 繁樹","8億6,045万6千円（グループ全体）",""
"島根県","[38松江駅前ユニバーサルホテル島根県松江市78115階。ビジネスホテル。] 離島の 隠岐島 、 竹島 なども島根県の領域に含まれる。 旧国名 は 出雲国 、 石見国 、 隠岐国 であり、現在でも出雲地方・石見地方・隠岐地方の3つの地域に区分されることが多い。全国では、 鳥取県 に次いで2番目に人口が少ない。","https://ja.wikipedia.org/wiki/島根県","日本の大規模ホテル一覧","https://ja.wikipedia.org/wiki/日本の大規模ホテル一覧","表形式","北緯35度28分20.3秒東経133度3分1.8秒","〒690-8501島根県松江市殿町1番北緯35度28分20.3秒東経133度3分1.8秒﻿ / ﻿北緯35.472306度 東経133.050500度﻿ /35.472306; 133.050500座標:北緯35度28分20.3秒東経133度3分1.8秒﻿ / ﻿北緯35.472306度 東経133.050500度﻿ /35.472306; 133.050500県庁舎位置","","","","","","","","","","1000020320005","公式ウェブサイト","","","","","","",""
"名古屋マリオットアソシアホテル","[39名古屋マリオットアソシアホテル愛知県名古屋市77452階] 東海旅客鉄道 （JR東海）の子会社が運営する アソシアホテルズ&リゾーツ の一つ、 マリオット・インターナショナル ブランドの一つになっている。ただし、 JRホテルグループ には加盟しておらず、隣接する JRゲートタワー 内に所在する「 名古屋JRゲートタワーホテル 」が加盟している。","https://ja.wikipedia.org/wiki/名古屋マリオットアソシアホテル","日本の大規模ホテル一覧","https://ja.wikipedia.org/wiki/日本の大規模ホテル一覧","表形式","北緯35度10分13.7秒東経136度52分58.7秒","〒450-6002愛知県名古屋市中村区名駅一丁目1番4号","2000年（平成12年）5月17日","公式サイト","株式会社ジェイアール東海ホテルズ","774室","名古屋駅","1, 2, 16 - 49, 51, 52階","北緯35度10分13.7秒東経136度52分58.7秒﻿ / ﻿北緯35.170472度 東経136.882972度﻿ /35.170472; 136.882972座標:北緯35度10分13.7秒東経136度52分58.7秒﻿ / ﻿北緯35.170472度 東経136.882972度﻿ /35.170472; 136.882972","名古屋マリオットアソシアホテル","","","","マリオット・ホテル&リゾート、アソシアホテルズ&リゾーツ","","","","","",""
"リーベルホテル アット ユニバーサル・スタジオ・ジャパン","[40リーベルホテル アット ユニバーサル・スタジオ・ジャパン大阪府大阪市76014階] 「いままでにないスタイリッシュなホテルステイを提供したい」をテーマに、女性をターゲットにした ユニバーサル・スタジオ・ジャパン 8棟目となるオフィシャルホテルである  。","https://ja.wikipedia.org/wiki/リーベルホテル_アット_ユニバーサル・スタジオ・ジャパン","日本の大規模ホテル一覧","https://ja.wikipedia.org/wiki/日本の大規模ホテル一覧","表形式","","〒554-00大阪府大阪市此花区桜島一丁目511番","2019年11月13日","公式サイト","株式会社武蔵野","760室","JR桜島駅","0 - 14階","","リーベルホテル アット ユニバーサル・スタジオ・ジャパン","","","","","","","","","",""
"アパホテル〈東新宿 歌舞伎町タワー〉 (存在しないページ)","[41アパホテル〈東新宿 歌舞伎町タワー〉東京都新宿区74720階　(タワー棟530室　西棟217室)]","https://ja.wikipedia.org/w/index.php?title=アパホテル〈東新宿_歌舞伎町タワー〉&amp;action=edit&amp;redlink=1","日本の大規模ホテル一覧","https://ja.wikipedia.org/wiki/日本の大規模ホテル一覧","表形式","","","","","","","","","","","","","","","","","","","",""
