"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","起点","終点","全長","現況","道路車線数","所属路線名","位置","開通","通行対象","設計速度","管理","幅","通行料金","完成","所有","建設開始","所在地","最高部","路線延長"
"音中トンネル (存在しないページ)","[おとなか/音中トンネル01北海道おといねつふはいはす-音威子府バイパス音威子府IC～中川IC4,686[22]2010年2020年[23]]","https://ja.wikipedia.org/w/index.php?title=音中トンネル&amp;action=edit&amp;redlink=1","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"粟ケ岳トンネル","[29あわか/粟ケ岳トンネル22静岡県たい2とうめい-新東名高速道路島田金谷IC～森掛川IC4,6621997年2007年2012年] 粟ケ岳トンネル （あわがたけトンネル、英語 : Awagatake Tunnel）は、 静岡県 島田市 から同県 掛川市 に至る 新東名高速道路 の トンネル である。開通前の仮称は「金谷トンネル」であった。","https://ja.wikipedia.org/wiki/粟ケ岳トンネル","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","","静岡県島田市","静岡県掛川市","4,522m（上り線）4,662 m（下り線）","供用中","片側3車線（完成6車線）","E1A新東名高速道路","日本・ 静岡県","2012年（平成24年）4月14日","自動車","120km/h（規制速度 : 120 km/h）","中日本高速道路","上下線とも16.9 m（車線3.75  m×3+路肩2.5 m）","","2003年（平成15年）8月（下り線）2007年（平成19年）1月26日（上り線）","","","","",""
"御坂峠","[みさか/御坂トンネル19山梨県/国道137-国道137号4,600[24] 御坂峠 （みさかとうげ）は、 山梨県 南都留郡 富士河口湖町 と同県 笛吹市 御坂町にまたがる 峠 。鎌倉往還御坂路のルート上にある。御坂の名は 日本武尊 が東国遠征の際に越えたことに由来するとされる。","https://ja.wikipedia.org/wiki/御坂峠","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","北緯35度33分23秒東経138度45分49秒","","","","","","","","","","","","","","","","","山梨県南都留郡富士河口湖町・笛吹市","",""
"タラガトンネル","[30たらか/タラガトンネル21岐阜県/国道256-国道256号4,5712000年2005年2007年] タラガトンネル は、 国道256号 の 岐阜県 郡上市 （ 旧 八幡町 ）那比と 関市 門出南（ 旧 板取村 ）間を結ぶ トンネル である  。","https://ja.wikipedia.org/wiki/タラガトンネル","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","","岐阜県郡上市","岐阜県関市","4,571m","供用中","両側2車線","国道256号","日本・ 岐阜県","2007年8月3日","","","","","","","","","","",""
"子不知トンネル","[31こしらす/子不知トンネル15新潟県ほくりく-北陸自動車道親不知IC～糸魚川IC4,5631988年] 子不知トンネル （こしらずトンネル）は 新潟県 糸魚川市 の 北陸自動車道 ・ 親不知IC ～ 糸魚川IC 間にある トンネル 。","https://ja.wikipedia.org/wiki/子不知トンネル","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","","新潟県糸魚川市","新潟県糸魚川市","（上り線）4,557m（下り線）4,563m","供用中","（上り線）2車線（下り線）2車線","E8北陸自動車道"," 新潟県","","自動車","80km/h","","","","","東日本高速道路株式会社","","","",""
"高知県","[いちこう/1号トンネル36高知県あなんあき-阿南安芸自動車道（野根安倉道路）野根IC交差点～安倉交差点4,550[25] ","https://ja.wikipedia.org/wiki/高知県","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","北緯33度33分34.9秒東経133度31分51.7秒","","","","","","","","","","","","","","","","","〒780-8570高知県高知市丸ノ内一丁目2番20号北緯33度33分34.9秒東経133度31分51.7秒﻿ / ﻿北緯33.559694度 東経133.531028度﻿ /33.559694; 133.531028﻿ (高知県)座標:北緯33度33分34.9秒東経133度31分51.7秒﻿ / ﻿北緯33.559694度 東経133.531028度﻿ /33.559694; 133.531028﻿ (高知県)県庁舎位置","",""
"三遠トンネル (存在しないページ)","[32さんえん/三遠トンネル22静岡県さんえんなんしん-三遠南信自動車道渋川寺野IC～鳳来峡IC4,5252005年2012年]","https://ja.wikipedia.org/w/index.php?title=三遠トンネル&amp;action=edit&amp;redlink=1","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"五里ヶ峯トンネル","[33こりかみね/五里ヶ峯トンネル20長野県しようしんえつ-上信越自動車道坂城IC～更埴JCT4,518有1996年] 長野県 埴科郡 坂城町 と 千曲市 （旧 更埴市 ）の間、 千曲川さかきPA （埴科郡坂城町）・ 屋代BS （千曲市）間にある トンネル 。","https://ja.wikipedia.org/wiki/五里ヶ峯トンネル","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","北緯36度29分35.5秒東経138度10分35.5秒","長野県埴科郡坂城町","長野県千曲市","（上り線）4,518m（下り線）4,474m","供用中","（上り線）2車線（下り線）2車線","E18上信越自動車道","長野県","1996年11月14日","自動車","","","","","","東日本高速道路株式会社","","","",""
"富士川トンネル","[34ふしかわ/富士川トンネル22静岡県たい2とうめい-新東名高速道路新富士IC～新清水IC4,5032005年2012年] 新富士川橋 （しんふじがわばし）は新東名高速道路 新富士IC - 新清水IC 間にある、日本初の 鋼 ・ コンクリート 複合 アーチ橋 。","https://ja.wikipedia.org/wiki/富士川トンネル","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","北緯34度50分50.1秒 東経137度43分49.3秒","","","（上り線）365m（下り線）381 m","","","","","","","","","18.05 m","","","","","静岡県富士宮市-静岡県富士市","",""
"博士トンネル (存在しないページ)","[はかせ/博士トンネル09福島県こくとう401-国道401号（博士峠バイパス）4,503[26]2018年[26]]","https://ja.wikipedia.org/w/index.php?title=博士トンネル&amp;action=edit&amp;redlink=1","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"奈良県","[仮称不明29奈良県けいなわ-京奈和自動車道奈良北IC～奈良IC4,500[27] 紀伊半島 内陸部にあり、 令制国 の 大和国 の領域を占め、北西部の盆地部を除けば険しい山々がそびえており、人口の偏りがかなり大きい。都道府県面積は全国で8番目に狭く 内陸8県 では最も狭い。","https://ja.wikipedia.org/wiki/奈良県","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","北緯34度41分6.7秒東経135度49分58.6秒","","","","","","","","","","","","","","","","","〒630-8501奈良県奈良市登大路町30北緯34度41分6.7秒東経135度49分58.6秒﻿ / ﻿北緯34.685194度 東経135.832944度﻿ /34.685194; 135.832944﻿ (奈良県)座標:北緯34度41分6.7秒東経135度49分58.6秒﻿ / ﻿北緯34.685194度 東経135.832944度﻿ /34.685194; 135.832944﻿ (奈良県)県庁舎位置","",""
"新仙人トンネル (存在しないページ)","[35しんせんにん/新仙人トンネル03岩手県/国道283-国道283号（仙人峠道路）4,4922007年]","https://ja.wikipedia.org/w/index.php?title=新仙人トンネル&amp;action=edit&amp;redlink=1","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"猪臥山トンネル","[36いふしやま/猪臥山トンネル21岐阜県きふけんとう90岐阜県道90号古川清見線4,4752002年都道府県道で日本最長のトンネル] 猪臥山トンネル （いぶしやまトンネル）は、 岐阜県 高山市 夏厩と 飛騨市 畦畑を結ぶ、 岐阜県道90号古川清見線 （飛騨卯の花街道）の トンネル である。","https://ja.wikipedia.org/wiki/猪臥山トンネル","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","北緯36度12分2秒東経137度7分4秒","岐阜県飛騨市","岐阜県高山市","4,475m","供用中","（上り線）1車線（下り線）1車線","岐阜県道90号古川清見線","岐阜県","","","","","","","-2001年9月","岐阜県","","","",""
"八風山トンネル","[37はつふうさん/八風山トンネル10群馬県長野県しようしんえつ-上信越自動車道碓氷軽井沢IC～佐久IC4,4711993年] 八風山トンネル （はっぷうさんトンネル）とは、 群馬県 甘楽郡 下仁田町 と 長野県 佐久市 の 上信越自動車道 ・ 碓氷軽井沢IC ～ 佐久平PA 間にある トンネル 。","https://ja.wikipedia.org/wiki/八風山トンネル","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","北緯36度16分27秒 東経138度36分13秒","群馬県甘楽郡下仁田町","長野県佐久市","（上り線）3,998m（下り線）4,471m","供用中","（上り線）2車線（下り線）2車線","E18上信越自動車道"," 群馬県・ 長野県","","自動車","80km/h","","","","","東日本高速道路株式会社","","","932m",""
"権兵衛トンネル","[38こんへえ/権兵衛トンネル20長野県/国道361-国道361号4,4671993年2003年2006年] 権兵衛トンネル （ごんべえトンネル）は、 国道361号 にある 長野県 塩尻市 と 上伊那郡 南箕輪村 （飛地）を 木曽山脈 を貫いて結ぶ、全長4,467mの トンネル である。","https://ja.wikipedia.org/wiki/権兵衛トンネル","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","","長野県塩尻市","長野県上伊那郡南箕輪村","4,467m","供用中","両側2車線","国道361号","日本・ 長野県","2006年2月4日","","","","","無料","","","","","",""
"新釧勝トンネル (存在しないページ)","[39せんしよう/新釧勝トンネル01北海道とうとう-道東自動車道本別IC～白糠IC4,4602007年2015年]","https://ja.wikipedia.org/w/index.php?title=新釧勝トンネル&amp;action=edit&amp;redlink=1","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"猿投山トンネル (存在しないページ)","[40さなけやま/猿投山トンネル23愛知県とうかいかんしよう-東海環状自動車道豊田藤岡IC～せと赤津IC4,4342004年2005年]","https://ja.wikipedia.org/w/index.php?title=猿投山トンネル&amp;action=edit&amp;redlink=1","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"安房トンネル","[41あほう/安房トンネル20長野県岐阜県あほうとうけとうろ-安房峠道路中ノ湯IC～平湯IC4,3701995年1997年] 安房峠道路 （あぼうとうげどうろ）は、 高規格幹線道路 中部縦貫自動車道 （ 国道158号 ）のうち、 長野 ・ 岐阜県 境の 安房峠 直下で短絡している 自動車専用道路 である。","https://ja.wikipedia.org/wiki/安房トンネル","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","","高山市","松本市","","","","","","","","","","","","","","","","","5.6km"
"小鳥トンネル","[42おとり/小鳥トンネル21岐阜県たかやまきよみとうろ-高山清見道路飛騨清見IC・JCT～高山西IC4,3462000年2003年2004年] 小鳥トンネル （おどりトンネル）は、 岐阜県 高山市 にある 中部縦貫自動車道 （高山清見道路）の トンネル である。","https://ja.wikipedia.org/wiki/小鳥トンネル","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","北緯36度8分13秒 東経137度6分53秒","岐阜県高山市","岐阜県高山市","4,346m","供用中","片側1車線（暫定2車線）","E67中部縦貫自動車道（高山清見道路）","日本・ 岐阜県","2004年11月27日","自動車","80km/h","","","無料","","","","","",""
"甲子トンネル","[43こうし/甲子トンネル39福島県/国道289-国道289号4,3452008年] 甲子道路 （かしどうろ）は、 国道289号 の 自動車通行不能区間 および 狭隘区間 解消を目的として建設された 福島県 南会津郡 下郷町 から福島県 西白河郡 西郷村 を結ぶ延長23.3 キロメートル (km)の道路である  。 2008年 （ 平成 20年） 9月21日 、主トンネルである甲子トンネルを含む区間が開通し、 自動車通行不能区間 が解消した  。 2019年 （平成31年） 3月25日 、残された下郷町内のおよそ2.6 kmの区間が開通し、全線開通した  。","https://ja.wikipedia.org/wiki/甲子トンネル","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","","福島県南会津郡下郷町","福島県西白河郡西郷村","","","","","","","","","","","","","","","","","23.3km"
"穂別トンネル","[44ほへつ/穂別トンネル01北海道とうとう-道東自動車道むかわ穂別IC～占冠IC4,3182006年2010年2011年] 穂別トンネル （ほべつトンネル）は、 北海道 勇払郡 むかわ町 と 占冠村 との間にある 道東自動車道 の トンネル である。","https://ja.wikipedia.org/wiki/穂別トンネル","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","北緯42度57分12秒東経142度16分22秒","胆振総合振興局勇払郡むかわ町","上川総合振興局勇払郡占冠村","4,318m","供用中","暫定2車線","E38道東自動車道","日本・ 北海道","2011年（平成23年）10月29日","自動車","70km/h","NEXCO東日本","","","","","2006年（平成18年）","","",""
"宇治トンネル","[45うじ/宇治トンネル26京都府/けいじ京滋バイパス笠取IC～宇治東IC4,3131988年] 宇治トンネル （うじトンネル）は、 京都府 宇治市 を通る、 京滋バイパス の 自動車専用 トンネル である。","https://ja.wikipedia.org/wiki/宇治トンネル","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"笹ヶ峰トンネル","[46ささがみね/笹ヶ峰トンネル39高知県愛媛県こうち高知自動車道新宮IC~大豊IC4,3071992年] 笹ヶ峰トンネル （ささがみねトンネル）は、 高知県 長岡郡 大豊町 と 愛媛県 四国中央市 新宮町の 県境 にある 笹ヶ峰峠 (1,027m)直下を貫通する トンネル で、 高知自動車道 と 愛媛県道・高知県道5号川之江大豊線 のものがそれぞれ存在する。","https://ja.wikipedia.org/wiki/笹ヶ峰トンネル","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"太郎山トンネル","[47たろうさん/太郎山トンネル20長野県じょうしんえつ/上信越自動車道上田菅平IC～坂城IC4,303有1996年] 太郎山トンネル （たろうやまトンネル）は、 長野県 上田市 と長野県 埴科郡 坂城町 の 上信越自動車道 ・ 上田菅平IC ～ 坂城IC 間にある トンネル 。","https://ja.wikipedia.org/wiki/太郎山トンネル","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","","長野県上田市","長野県埴科郡坂城町","（上り線）4,264m（下り線）4,303m","供用中","（上り線）2車線（下り線）2車線","E18上信越自動車道","長野県","","自動車","","","","","","東日本高速道路株式会社","","","",""
"坂梨トンネル","[48さかなし/坂梨トンネル05秋田県青森県とうほく/東北自動車道小坂JCT～碇ヶ関IC4,2651986年] 坂梨トンネル （さかなしトンネル）は、 秋田県 鹿角郡 小坂町 と 青森県 平川市 を結ぶ 東北自動車道 の トンネル 。 小坂JCT - 碇ヶ関IC の間に存在し、上り線が4,254m、下り線が4,265mの東北自動車道で最も長いトンネルである。","https://ja.wikipedia.org/wiki/坂梨トンネル","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","","秋田県鹿角郡小坂町","青森県平川市","（上り線）4,254m（下り線）4,265m","供用中","（上り線）2車線（下り線）2車線","E4東北自動車道"," 秋田県・ 青森県","1986年7月30日","自動車","80km/h","","","","","東日本高速道路株式会社","","","",""
"網野子トンネル (存在しないページ)","[49あみのこ/網野子トンネル46鹿児島県/国道58-国道58号4,2432003年2012年2015年離島にあるトンネルとして日本最長。]","https://ja.wikipedia.org/w/index.php?title=網野子トンネル&amp;action=edit&amp;redlink=1","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"野塚トンネル","[50のつか/野塚トンネル01北海道/国道236-国道236号4,2321968年] 野塚トンネル （のづかトンネル）は 北海道 広尾町 字上豊似と 浦河町 上杵臼を結ぶ 国道236号 の トンネル 。","https://ja.wikipedia.org/wiki/野塚トンネル","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","北緯42度19分49秒東経143度02分17秒","十勝総合振興局広尾町字上豊似","日高振興局浦河町上杵臼","4,232m","供用中","2車線","","日本北海道","1990年（平成2年）","","","","","","","","1979年（昭和54年）","","585m",""
"浜益トンネル (存在しないページ)","[51はまます/浜益トンネル01北海道/国道231-国道231号4,2162012年2016年防災対策として、既存のガマタトンネル・雄冬岬トンネルを1,555mの新トンネルでつなぎ、1本化。]","https://ja.wikipedia.org/w/index.php?title=浜益トンネル&amp;action=edit&amp;redlink=1","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"新猪ノ鼻トンネル (存在しないページ)","[52しんいのはな/新猪ノ鼻トンネル37香川県徳島県/国道32-国道32号4,1872016年2020年[28]]","https://ja.wikipedia.org/w/index.php?title=新猪ノ鼻トンネル&amp;action=edit&amp;redlink=1","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"矢筈トンネル","[53やはず/矢筈トンネル20長野県さんえんなんしん/三遠南信自動車道喬木IC～国道152号仮接続部4,1761994年] 矢筈トンネル （やはずトンネル）は、 長野県 下伊那郡 喬木村 と 飯田市 との境にある 伊那山地 を貫通する 三遠南信自動車道 小川路峠道路（ 国道474号 ）の トンネル 。全長は4,176 m  。","https://ja.wikipedia.org/wiki/矢筈トンネル","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","北緯35度26分58秒東経137度57分46秒","長野県下伊那郡喬木村","長野県飯田市","4,176m","暫定供用中","2車線","E69三遠南信自動車道小川路峠道路（国道474号）","長野県矢筈トンネル","1994年3月","","設計速度 80km/h","","9.5 m","","","","","","",""
"大夕張トンネル (存在しないページ)","[54おおゆうばり/大夕張トンネル01北海道どうとう-道東自動車道夕張IC～むかわ穂別IC4,1722006年2010年2011年]","https://ja.wikipedia.org/w/index.php?title=大夕張トンネル&amp;action=edit&amp;redlink=1","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"石榑トンネル","[55いしばく/石榑トンネル24三重県滋賀県/国道421-国道421号4,1572006年2009年2011年] 石榑峠 （いしぐれとうげ）は、 鈴鹿山脈 の 三重県 いなべ市 と 滋賀県 東近江市 との境にある 峠 。 国道421号 が通る。標高は690m。","https://ja.wikipedia.org/wiki/石榑トンネル","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","北緯35度06分29秒東経136度26分28秒","","","","","","","","","","","","","","","","","日本三重県いなべ市、滋賀県東近江市","",""
"野登トンネル (存在しないページ)","[56ののぼり/野登トンネル24三重県しんめいしんこうそくどうろ-新名神高速道路鈴鹿PA/SIC～亀山西JCT4,1372019年]","https://ja.wikipedia.org/w/index.php?title=野登トンネル&amp;action=edit&amp;redlink=1","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"新佐呂間トンネル (存在しないページ)","[57しんさろま/新佐呂間トンネル01北海道/国道333-国道333号4,1102004年2007年2009年]","https://ja.wikipedia.org/w/index.php?title=新佐呂間トンネル&amp;action=edit&amp;redlink=1","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"横浜北西トンネル","[58よこはまほくせい/横浜北西トンネル14神奈川県しゆとこうかなかわ7-首都高速神奈川7号横浜北西線横浜港北JCT・出入口～横浜青葉JCT・出入口4,100有通行不可2012年2019年2020年] 横浜北西トンネル （よこはまほくせいトンネル）は、 神奈川県 横浜市 緑区 北八朔町 から神奈川県横浜市都筑区東方町に至る 首都高速神奈川7号横浜北西線 の トンネル である。","https://ja.wikipedia.org/wiki/横浜北西トンネル","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","","神奈川県横浜市緑区北八朔町","神奈川県横浜市都筑区東方町","4.1km","供用中","2×2","首都高速神奈川7号横浜北西線","","2020年3月22日","自動車","60 km/h","首都高速道路株式会社","","有料","2019年10月","","2017年","","",""
"擂鉢山トンネル (存在しないページ)","[59すりはちさん/擂鉢山トンネル33岡山県よなご/米子自動車道久世IC～湯原IC4,0991992年]","https://ja.wikipedia.org/w/index.php?title=擂鉢山トンネル&amp;action=edit&amp;redlink=1","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"北大雪トンネル","[60しんたいせつ/北大雪トンネル01北海道あさひかわもんへつ/旭川紋別自動車道浮島IC～奥白滝IC/白滝PA4,0982002年] 北見峠 （きたみとうげ）は 北海道 上川郡 上川町 字上越と 紋別郡 遠軽町 奥白滝の境にある峠。標高857m。 国道333号 が峠を越えている。 JR北海道 石北本線 と 旭川紋別自動車道 （国道450号）も峠付近を通っているが、それぞれ 石北トンネル 、 北大雪トンネル という4㎞以上の長大 トンネル で峠直下を通過している。本項ではこのトンネルについても記載する。","https://ja.wikipedia.org/wiki/北大雪トンネル","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","北緯43度52分55.1秒東経143度1分16.8秒","","","","","","","","","","","","","","","","","北海道上川郡上川町・紋別郡遠軽町","",""
"長峰トンネル (存在しないページ)","[61ながみね/長峰トンネル30和歌山県はんわ/阪和自動車道下津IC～有田IC4,047有2010年]","https://ja.wikipedia.org/w/index.php?title=長峰トンネル&amp;action=edit&amp;redlink=1","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"鈴鹿トンネル","[62すずか/鈴鹿トンネル24三重県滋賀県しんめいしん/新名神高速道路亀山西JCT～甲賀土山IC4,0052004年2008年] 鈴鹿トンネル （すずかトンネル）は、 三重県 亀山市 と 滋賀県 甲賀市 の 県境 の 安楽峠 にある 新名神高速道路 の トンネル 、または 鈴鹿峠 にある 国道1号 のトンネルである。","https://ja.wikipedia.org/wiki/鈴鹿トンネル","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","","","","","","","","","","","","","","","","","","","",""
