"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","開園","公式サイト","管理運営","位置","面積","事業主体","前身","愛称","閉園","キャッチコピー","来園者数","運営者","テーマ","所有者","分類","外部リンク","住所","開業"
"池の平ホテル","[白樺リゾート池の平ファミリーランド20長野1968] 池の平ホテル （いけのたいらホテル 1955年 7月 - ）または 池の平ホテル&リゾーツ は 長野県 北佐久郡 立科町 にある ホテル 及びその周辺の アミューズメント 施設「ファミリーランド」やスキー場「 池の平スノーパーク 」を運営する企業である。 佐久市と 茅野市 白樺湖 の周辺に立地しているため、宣伝等では「白樺リゾート」として紹介されている。 長野県内を含め隣接の中京広域圏や関東圏でもCMが流れる。 2014年 4月 、運営会社である株式会社池の平ホテルは、 株式会社池の平ホテル&リゾーツ へ社名変更をした。","https://ja.wikipedia.org/wiki/池の平ホテル","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","http://hotel.ikenotaira-resort.co.jp","",""
"伊豆アニマルキングダム","[伊豆アニマルキングダム22静岡1977] 伊豆アニマルキングダム （いずアニマルキングダム）は、 静岡県 賀茂郡 東伊豆町 稲取にある 動物園 （動植物自然公園  、 サファリパーク ）、 遊園地 。旧伊豆バイオパークを改修  。","https://ja.wikipedia.org/wiki/伊豆アニマルキングダム","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯34度47分49.5秒東経139度2分22.3秒","〒413-0411静岡県賀茂郡東伊豆町稲取3344伊豆アニマルキングダム伊豆アニマルキングダム (日本)日本の地図を表示伊豆アニマルキングダム伊豆アニマルキングダム (静岡県)静岡県の地図を表示","1977年10月1日","izu-kamori.jp/izu-biopark/","(株)伊豆バイオパーク","北緯34度47分49.5秒東経139度2分22.3秒﻿ / ﻿北緯34.797083度 東経139.039528度﻿ /34.797083; 139.039528座標:北緯34度47分49.5秒東経139度2分22.3秒﻿ / ﻿北緯34.797083度 東経139.039528度﻿ /34.797083; 139.039528","540,600平方メートル","","伊豆バイオパーク（伊豆急行）","","","","","","","加森観光","","","",""
"ぐりんぱ","[ぐりんぱ22静岡1973旧・日本ランドHOWゆうえんち] ぐりんぱ （Grinpa）は、 静岡県 裾野市 にある 富士急行 系列の 遊園地 である。","https://ja.wikipedia.org/wiki/ぐりんぱ","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯35度17分40秒東経138度47分04秒","〒410-1231静岡県裾野市須山字藤原2427番地","1973年4月","http://www.grinpa.com/","","北緯35度17分40秒東経138度47分04秒﻿ / ﻿北緯35.29444度 東経138.78444度﻿ /35.29444; 138.78444座標:北緯35度17分40秒東経138度47分04秒﻿ / ﻿北緯35.29444度 東経138.78444度﻿ /35.29444; 138.78444","5,000,000m2","株式会社ピカ（富士急行グループ）","日本ランドHOWゆうえんち","","","","19.5万人（平成27年度実績）","","","","","","",""
"浜名湖パルパル","[浜名湖パルパル22静岡1959旧・遊園地パルパル] 浜名湖パルパル （はまなこパルパル）は、 浜松市 西区 舘山寺 町1891の 浜名湖 畔にある 遊園地 。 遠州鉄道 の子会社が運営している。","https://ja.wikipedia.org/wiki/浜名湖パルパル","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯34度45分49.87秒東経137度37分0.15秒","〒431-1209静岡県浜松市西区舘山寺町1891","1971年（昭和46年）7月18日","浜名湖パルパル","遠鉄観光開発","北緯34度45分49.87秒東経137度37分0.15秒﻿ / ﻿北緯34.7638528度 東経137.6167083度﻿ /34.7638528; 137.6167083座標:北緯34度45分49.87秒東経137度37分0.15秒﻿ / ﻿北緯34.7638528度 東経137.6167083度﻿ /34.7638528; 137.6167083","101,863m2","","","","","","","","","","","","",""
"岡崎市南公園","[南公園（岡崎市）23愛知1962] 南公園 （みなみこうえん）は、 愛知県 岡崎市 若松町 にある岡崎市立の 都市公園 （総合公園）である  。 指定管理者制度 に基づき、 一般社団法人 岡崎パブリックサービスが管理・運営を行っている。","https://ja.wikipedia.org/wiki/岡崎市南公園","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯34度54分58.03秒東経137度9分52.65秒","日本愛知県岡崎市若松町字萱林1番地1","1962年（昭和37年）4月1日","岡崎市南公園","","","","","","","","","","岡崎市（指定管理者：一般社団法人岡崎パブリックサービス）","","","都市公園（総合公園）","","",""
"刈谷市交通児童遊園","[刈谷市交通児童遊園23愛知1975] 刈谷市交通児童遊園 （かりやしこうつうじどうゆうえん）は、 愛知県 刈谷市 にある 遊園地 。「 刈谷市交通公園 」とも呼ばれる  。","https://ja.wikipedia.org/wiki/刈谷市交通児童遊園","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯34度59分16.75秒東経137度0分51.69秒","〒448-0851愛知県刈谷市神田町3-47-1","1975年（昭和50年）","公式サイト","刈谷市都市施設管理協会","北緯34度59分16.75秒東経137度0分51.69秒﻿ / ﻿北緯34.9879861度 東経137.0143583度﻿ /34.9879861; 137.0143583座標:北緯34度59分16.75秒東経137度0分51.69秒﻿ / ﻿北緯34.9879861度 東経137.0143583度﻿ /34.9879861; 137.0143583","2.2ha","刈谷市","","","","","119.1万人（2009年）","","","","","","",""
"碧南市明石公園","[碧南市明石公園23愛知1989] 碧南市明石公園 （へきなんしあかしこうえん）は、 愛知県 碧南市 にある 都市公園 （地区公園）である  。 指定管理者制度 に基づき、管理・運営は、碧南市都市施設管理協会が行っている  。","https://ja.wikipedia.org/wiki/碧南市明石公園","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯34度54分20.26秒東経136度58分59.21秒","日本愛知県碧南市明石町6-11","1989年（平成元年）4月","公式ウェブサイト（日本語）","","","5.1ha","","","","","","","碧南市（指定管理者：碧南市都市施設管理協会","","","都市公園（地区公園）","","",""
"豊橋総合動植物公園","[豊橋総合動植物公園23愛知?] 豊橋総合動植物公園 （とよはしそうごうどうしょくぶつこうえん）は、愛知県豊橋市大岩町にある動物園・植物園・ 自然史博物館 ・遊園地の4ゾーンで構成される複合施設。愛称は『 のんほいパーク 』。「のん」（ですね）と「ほい」（やあ、おい）は 東三河地方の方言  。","https://ja.wikipedia.org/wiki/豊橋総合動植物公園","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯34度43分16秒東経137度25分55秒","〒441-3147愛知県豊橋市大岩町字大穴1-238","","","総合動植物公園管理事務所財団法人豊橋みどりの協会","","","","","","","","","","","","","","",""
"東山公園 (名古屋市)","[東山公園23愛知1937] 東山公園 （ひがしやまこうえん）は、 愛知県 名古屋市 千種区 にある 都市公園 。","https://ja.wikipedia.org/wiki/東山公園_(名古屋市)","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯35度9分24.80秒東経136度58分52.41秒","日本愛知県名古屋市千種区東山元町","1937年3月","東山公園","","","59.6ha","","名古屋市立鶴舞公園","","","","","名古屋市","","","都市公園","","",""
"名古屋港シートレインランド","[名古屋港シートレインランド23愛知1995] 名古屋港シートレインランド （なごやこうシートレインランド）は、 名古屋市 港区 西倉町 にある 遊園地 。 日本貨物鉄道 （JR貨物） 名古屋港駅 跡地に存在し 泉陽興業 が運営している  。 1995年 7月15日 に開園  。カップルや家族連れのレジャー施設として賑わいをみせている。入園料金は無料だが、アトラクションは有料で利用時に料金を支払う  。","https://ja.wikipedia.org/wiki/名古屋港シートレインランド","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯35度5分36.88秒東経136度52分41.54秒","〒455-0034愛知県名古屋市港区西倉町1-51","1995年（平成7年）7月15日","http://www.senyo.co.jp/seatrainland/","泉陽興業株式会社","北緯35度5分36.88秒東経136度52分41.54秒﻿ / ﻿北緯35.0935778度 東経136.8782056度﻿ /35.0935778; 136.8782056座標:北緯35度5分36.88秒東経136度52分41.54秒﻿ / ﻿北緯35.0935778度 東経136.8782056度﻿ /35.0935778; 136.8782056","","","日本貨物鉄道（JR貨物）名古屋港駅","","","","","","","","","","",""
"レゴランド・ジャパン","[レゴランド・ジャパン23愛知2017] レゴランド・ジャパン （Legoland Japan Resort）は、 愛知県 名古屋市 港区 金城ふ頭 二丁目にある レゴブロック の テーマパーク 。世界で8番目に開業した レゴランド である  。","https://ja.wikipedia.org/wiki/レゴランド・ジャパン","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯35度3分1.8秒東経136度50分37秒","〒455-8605愛知県名古屋市港区金城ふ頭二丁目2−1愛知県の地図を表示名古屋市の地図を表示","2017年（平成29年）4月1日","公式ウェブサイト（日本語）","","北緯35度3分1.8秒東経136度50分37秒﻿ / ﻿北緯35.050500度 東経136.84361度﻿ /35.050500; 136.84361座標:北緯35度3分1.8秒東経136度50分37秒﻿ / ﻿北緯35.050500度 東経136.84361度﻿ /35.050500; 136.84361","9.3ヘクタール（1期開業分）","","","LLJ","","","","","","","","","",""
"日本モンキーパーク","[日本モンキーパーク23愛知1960] 日本モンキーパーク （にほんモンキーパーク）は、 愛知県 犬山市 にて 動物園 を併設している 遊園地 である。通称、「 モンパ 」。","https://ja.wikipedia.org/wiki/日本モンキーパーク","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯35度23分29.21秒東経136度57分14.07秒","〒484-0081日本愛知県犬山市犬山官林26","1960年（昭和35年）","日本モンキーパーク","名鉄インプレス株式会社","北緯35度23分29.21秒東経136度57分14.07秒﻿ / ﻿北緯35.3914472度 東経136.9539083度﻿ /35.3914472; 136.9539083﻿ (日本モンキーパーク)座標:北緯35度23分29.21秒東経136度57分14.07秒﻿ / ﻿北緯35.3914472度 東経136.9539083度﻿ /35.3914472; 136.9539083﻿ (日本モンキーパーク)","","","","モンパ","","","","","","","","","",""
"南知多ビーチランド","[南知多ビーチランド23愛知1980] 南知多ビーチランド （みなみちたビーチランド）は、 愛知県 知多郡 美浜町 の 伊勢湾 奥田海岸沿いにある総合海浜 公園 ・レジャー施設である。 水族園 と海辺ゾーン、 遊園地 で構成される。","https://ja.wikipedia.org/wiki/南知多ビーチランド","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯34度47分10.82秒東経136度51分20.55秒","〒470-3233愛知県知多郡美浜町奥田428-1","","https://www.beachland.jp/","","北緯34度47分10.82秒東経136度51分20.55秒﻿ / ﻿北緯34.7863389度 東経136.8557083度﻿ /34.7863389; 136.8557083座標:北緯34度47分10.82秒東経136度51分20.55秒﻿ / ﻿北緯34.7863389度 東経136.8557083度﻿ /34.7863389; 136.8557083","","名鉄インプレス","","","","","","","","","","","",""
"ラグーナテンボス","[ラグーナテンボス・ラグナシア23愛知2002] ラグーナテンボス （LAGUNA TEN BOSCH）は、 愛知県 蒲郡市 海陽町にある複合リゾート施設。","https://ja.wikipedia.org/wiki/ラグーナテンボス","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯34度48分27.8秒東経137度16分33秒","〒443-0014愛知県蒲郡市海陽町2丁目","","","","","","","ラグーナ蒲郡","","","","","","","","","","",""
"養老ランド","[養老ランド21岐阜1972] 養老ランド （ようろうランド）は、 岐阜県 養老郡 養老町 にある 遊園地 である。","https://ja.wikipedia.org/wiki/養老ランド","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","〒503-1255岐阜県養老郡養老町養老1155-2","1973年（昭和48年）","https://www.yourou-land.com/","三立開発株式会社","","","","","","","","","","","","","","",""
"恵那峡ワンダーランド","[恵那峡ワンダーランド21岐阜2002旧・恵那峡ランド] 恵那峡ワンダーランド （えなきょうワンダーランド）は、 岐阜県 中津川市 にある 遊園地 である。","https://ja.wikipedia.org/wiki/恵那峡ワンダーランド","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯35度29分17.23秒東経137度24分21.5秒","〒509-8301岐阜県中津川市蛭川5735-209","1970年（昭和45年）","http://www.enakyo-wonderland.jp/","株式会社岡本製作所","北緯35度29分17.23秒東経137度24分21.5秒﻿ / ﻿北緯35.4881194度 東経137.405972度﻿ /35.4881194; 137.405972座標:北緯35度29分17.23秒東経137度24分21.5秒﻿ / ﻿北緯35.4881194度 東経137.405972度﻿ /35.4881194; 137.405972","13.0ha","","恵那峡ランド","","","","","","","","","","",""
"ナガシマスパーランド","[ナガシマスパーランド24三重1964] 西日本 有数の 絶叫マシン の宝庫で、絶叫マシン愛好家や海外からは「 東の 富士急 、西のナガシマ 」と並び称されている。2021年4月現在、園内での ローラーコースター の総数は大小含め12機種 （ スチールドラゴン2000 ・ 白鯨 ・アクロバット・嵐（ARASHI）・コークスクリュー・ルーピングスター・シャトルループ・ウルトラツイスター・ダブルワイルドマウス・ジェットコースター・チルドレンコースター・ピーターラビットコースター）にも及び、2017年にそれまで日本一だった 熊本県の グリーンランド の10機種を抜いて日本一となった。 この為、地元 東海地方 はもちろん 関西地方 をはじめとする他地方からの来園者も数多い。夏には屋外プール「ジャンボ海水プール」も開業する。隣接して当地開発の発端となった日帰り温泉施設「湯あみの島」や、「ホテル花水木」「ガーデンホテルオリーブ」「ホテルナガシマ」のホテル群、 アウトレットモール 「 三井アウトレットパーク ジャズドリーム長島 」（2011年9月増床、出店数では国内最大規模となる）がある。","https://ja.wikipedia.org/wiki/ナガシマスパーランド","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯35度1分43.62秒東経136度43分49.69秒","〒511-1192日本三重県桑名市長島町浦安333","1966年3月","ナガシマスパーランド","設計家・技術者=中島健 (造園家)(ホテル花水木造園)","北緯35度1分43.62秒東経136度43分49.69秒﻿ / ﻿北緯35.0287833度 東経136.7304694度﻿ /35.0287833; 136.7304694座標:北緯35度1分43.62秒東経136度43分49.69秒﻿ / ﻿北緯35.0287833度 東経136.7304694度﻿ /35.0287833; 136.7304694","","長島観光開発株式会社","","","","","","","","","","","",""
"鈴鹿サーキット","[鈴鹿サーキットモートピア24三重1963] 鈴鹿サーキット （すずかサーキット、Suzuka Circuit）は、 三重県 鈴鹿市 にある国際レーシングコースを中心とした レジャー施設 。 F1 日本グランプリ や 鈴鹿8時間耐久ロードレース などの開催で知られる事から日本モータースポーツファンの聖地でもある。レーシングコースの他に 遊園地 や ホテル 等があり、モビリティリゾート（自動車を題材とする行楽地）を形成している。","https://ja.wikipedia.org/wiki/鈴鹿サーキット","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯34度50分37.77秒東経136度32分03.81秒","三重県鈴鹿市稲生町7992","","","","","","","","","","","","","","","","","",""
"パルケエスパーニャ","[パルケエスパーニャ24三重1994] 志摩スペイン村 （しまスペインむら）は、 三重県 志摩市 磯部町坂崎 にある複合 リゾート 施設。","https://ja.wikipedia.org/wiki/パルケエスパーニャ","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯34度21分42.5秒東経136度50分39.4秒","〒517-0292三重県志摩市磯部町坂崎字下山952-4","1994年（平成6年）4月22日。","志摩スペイン村","株式会社志摩スペイン村","北緯34度21分42.5秒東経136度50分39.4秒﻿ / ﻿北緯34.361806度 東経136.844278度﻿ /34.361806; 136.844278座標:北緯34度21分42.5秒東経136度50分39.4秒﻿ / ﻿北緯34.361806度 東経136.844278度﻿ /34.361806; 136.844278","113ha（うちテーマパーク：34ha、ホテルゾーン8ha）","近鉄レジャーサービス株式会社","","パルケ・エスパーニャ","","“心の再発見”を求め、新しいライフスタイルを提案。","1,227,000人（2017年度）","","スペイン","","","","",""
"天橋立ビューランド","[天橋立ビューランド26京都?] 天橋立ビューランド （あまのはしだてビューランド）は、 京都府 宮津市 にある 天橋立 を眺められる 展望台 のある 遊園地 である。","https://ja.wikipedia.org/wiki/天橋立ビューランド","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯35度33分9秒 東経135度10分54.3秒","日本","","http://www.viewland.jp/","","","","","","","","飛龍観展望・股のぞき・遊園地","","","","天橋立総合事業株式会社","","","京都府宮津市文珠437","1970年5月"
"ひらかたパーク","[ひらかたパーク27大阪1912] ひらかたパーク は、 大阪府 枚方市 枚方公園町にある、 京阪電気鉄道 の子会社、 京阪レジャーサービス が運営する  遊園地 （ テーマパーク ）。通称は「 ひらパー 」。 現存する遊園地では 日本最古 である。 京阪本線 の 枚方公園駅前 に位置している。年間の入園者数は130万人前後。","https://ja.wikipedia.org/wiki/ひらかたパーク","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯34度48分20.80秒東経135度38分17.27秒","〒573-0054大阪府枚方市枚方公園町1-1","1910年（明治43年）（香里遊園地）","www.hirakatapark.co.jp","京阪レジャーサービス","北緯34度48分20.80秒東経135度38分17.27秒﻿ / ﻿北緯34.8057778度 東経135.6381306度﻿ /34.8057778; 135.6381306座標:北緯34度48分20.80秒東経135度38分17.27秒﻿ / ﻿北緯34.8057778度 東経135.6381306度﻿ /34.8057778; 135.6381306","159,048m2","京阪電気鉄道","香里遊園地","ひらパー","","","","","","","","","",""
"みさき公園","[みさき公園27大阪1958] みさき公園 （みさきこうえん）は、 大阪府 泉南郡 岬町 にある 都市公園 で、 南海電気鉄道 （南海）が創業70周年記念事業として 1957年 4月1日 に開業。 2020年 3月31日 まで、 日本動物園水族館協会 加盟の施設  として、 遊園地 ・ 動物園 ・ 水族館 などを運営していた。","https://ja.wikipedia.org/wiki/みさき公園","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯34度19分38.9秒 東経135度9分41.5秒","〒599-0301大阪府泉南郡岬町淡輪3990","1957年4月1日","みさき公園","南海ビルサービス株式会社","","","南海アミューズメント株式会社","","","2020年3月31日（動物園・水族館のみ）","","","","","","","","",""
"ユニバーサル・スタジオ・ジャパン","[ユニバーサル・スタジオ・ジャパン27大阪2001] 「ゲストの期待と想像を遥かに上回る興奮と感動の ライド や ショー の アトラクション によって、「 ジョーズ 」「 ジュラシック・パーク・ザ・ライド 」など ハリウッド映画 の世界を余すところなく体験できる テーマパーク 」として2001年3月31日にオープンした。 ユニバーサル映画 で数多くの作品を手掛けた スティーヴン・スピルバーグ と ユニバーサル・クリエイティブ がパークのクリエイティブ総監督を務めている。","https://ja.wikipedia.org/wiki/ユニバーサル・スタジオ・ジャパン","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯34度39分53秒 東経135度25分59秒","〒554-0031大阪府大阪市此花区桜島二丁目1番33号","2001年（平成13年）3月31日","ユニバーサル・スタジオ・ジャパン USJ","合同会社ユー・エス・ジェイ","","54ヘクタール（パーク面積：42.9ヘクタール）","合同会社ユー・エス・ジェイ","","USJ","","NO LIMIT!","1,460万人（2016年度）1,390万人（2015年度）1,270万人（2014年度）","","ワールドクラスのエンターテインメントを集めたテーマパーク","","","","",""
"生駒山上遊園地","[生駒山上遊園地29奈良1929] 生駒山上遊園地 （いこまさんじょうゆうえんち）は、 奈良県 生駒市 の 生駒山 の山上にある 遊園地  である。 近鉄 の子会社である近鉄レジャーサービスが所有・運営する。開園70周年にあたる 1999年 （ 平成 11年）以降、「スカイランドいこま」という愛称を併用していた時期があった。","https://ja.wikipedia.org/wiki/生駒山上遊園地","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯34度40分46.4秒 東経135度40分43.9秒","〒630-0231630-0272奈良県生駒市菜畑2312-1大阪府東大阪市山手町2017-3","1929年","www.ikomasanjou.com","近鉄レジャーサービス株式会社","","","近鉄レジャーサービス株式会社","","","","","","","","","","","",""
"ポルトヨーロッパ","[ポルトヨーロッパ30和歌山1994] ポルトヨーロッパ は、 和歌山県 和歌山市 毛見の 人工島 、 和歌山マリーナシティ 内にある テーマパーク 。園内は 地中海 をイメージした造りになっていて、 ポルトヨーロッパゾーン と 遊園地ゾーン の2つの地区に分かれている。","https://ja.wikipedia.org/wiki/ポルトヨーロッパ","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯34度9分15秒 東経135度10分36.9秒","","","","","","","","","","","","","","","","","","",""
"アドベンチャーワールド","[アドベンチャーワールド30和歌山1978] 広大なサファリゾーンでは、1周約1500m（約25分）の 列車型牽引バス 「ケニア号」・1人〜3人乗りの 自転車 ・ 2階建てバス ・ゴルフ用カートや ジープ などの乗物を使って周遊する。ケニア号以外はすべてオプションであり、窓口で料金を支払う必要がある。徒歩でも1.5kmほどのコースを自由に散策することができる。ただし ライオン や クマ などの猛獣ゾーンへはゲートがあり、徒歩・自転車・カートでの立ち入りができない。","https://ja.wikipedia.org/wiki/アドベンチャーワールド","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯33度40分0.16秒 東経135度22分22.49秒","","1978年","","株式会社アワーズ","","","","","","","","","","","民間","","","",""
"ハーバーランド","[ハーバーランド・モザイクガーデン28兵庫1992] 神戸ハーバーランド （こうべハーバーランド）は、 兵庫県 神戸市 中央区 にある 再開発地区 。地元を中心に、単に ハーバーランド ( Harborland )と表記・呼称される事もある   。","https://ja.wikipedia.org/wiki/ハーバーランド","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯34度40分44.6秒 東経135度10分54.5秒","","","","","","","","","","","","","","","","","","",""
"須磨浦山上遊園","[須磨浦山上遊園28兵庫1959] 須磨浦山上遊園 （すまうらさんじょうゆうえん）は、 兵庫県 神戸市 須磨区 の 鉢伏山 と旗振山の山頂一帯に広がる 須磨浦公園 内の 植物園 ・ 遊園地 を含む緑ゆたかな 公園 である。 山陽電気鉄道 の子会社「須磨浦遊園株式会社」が運営していたが、2019年12月1日から山陽電気鉄道の直営となった。","https://ja.wikipedia.org/wiki/須磨浦山上遊園","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯34度38分30.6秒 東経135度5分34.1秒","","","","","","","","","","","","","","","","","","",""
"神戸市立フルーツ・フラワーパーク","[神戸市立フルーツ・フラワーパーク　おとぎの国28兵庫1993] 道の駅神戸フルーツ・フラワーパーク大沢 （みちのえき こうべフルーツ・フラワーパークおおぞう）は、 神戸市 北区 大沢町にある、花と果実の 道の駅 である。","https://ja.wikipedia.org/wiki/神戸市立フルーツ・フラワーパーク","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯34度50分56秒東経135度11分28秒","〒651-1522兵庫県神戸市北区大沢町上大沢2150","","","","","","","","","","","","","","","","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","",""
"おもちゃ王国","[東条湖おもちゃ王国28兵庫1969] 株式会社 おもちゃ王国 （おもちゃおうこく）は、 岡山県 玉野市 に本拠を置く日本の 企業 。同名の テーマパーク グループ「 おもちゃ王国 」の設置・運営・ フランチャイズ 管理を主業務としている。「おもちゃ王国」は同社の登録商標（第4867891号ほか）。","https://ja.wikipedia.org/wiki/おもちゃ王国","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
"ひめじ手柄山遊園","[ひめじ手柄山遊園28兵庫1966] ひめじ手柄山遊園 （ひめじてがらやまゆうえん）は、かつて 兵庫県 姫路市 西延末（ 手柄山 ・ 手柄山中央公園 ）で営業していた 遊園地 。本項では園内の姫路市民プールについても述べる。","https://ja.wikipedia.org/wiki/ひめじ手柄山遊園","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯34度49分22.7秒東経134度40分22.0秒","〒670-0971兵庫県姫路市西延末","1974年（姫路市民プール）1977年（ひめじ手柄山遊園）","http://himeji-machishin.jp/tegara/","一般財団法人姫路市まちづくり振興機構","北緯34度49分22.7秒東経134度40分22.0秒﻿ / ﻿北緯34.822972度 東経134.672778度﻿ /34.822972; 134.672778座標:北緯34度49分22.7秒東経134度40分22.0秒﻿ / ﻿北緯34.822972度 東経134.672778度﻿ /34.822972; 134.672778","ひめじ手柄山遊園 13,003m2姫路市民プール 36,004m2","一般財団法人姫路市まちづくり振興機構","","","2020年9月6日","","207,673人（2011年度）（うちプール入場者数:142,930人）","","","","","","",""
"姫路セントラルパーク","[姫路セントラルパーク28兵庫1984] 姫路セントラルパーク （ひめじセントラルパーク）は、兵庫県姫路市にある サファリパーク 形式の 動物園 と 遊園地 が融合した娯楽施設である。近隣地域で放送されている CM や地元での 略称 は 姫セン （ひめセン）   。","https://ja.wikipedia.org/wiki/姫路セントラルパーク","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯34度52分16.5秒東経134度45分52秒","兵庫県姫路市豊富町神谷1436-1","1984年3月25日","サファリリゾート姫路セントラルパーク","","北緯34度52分16.5秒東経134度45分52秒﻿ / ﻿北緯34.871250度 東経134.76444度﻿ /34.871250; 134.76444﻿ (姫路セントラルパーク)座標:北緯34度52分16.5秒東経134度45分52秒﻿ / ﻿北緯34.871250度 東経134.76444度﻿ /34.871250; 134.76444﻿ (姫路セントラルパーク)","総面積190万平方メートル","","","","","","年間約101万7000人（1996年度）","","","","","","",""
"赤穂海浜公園","[赤穂海浜公園わくわくランド28兵庫1987] 兵庫県立赤穂海浜公園 （ひょうごけんりつあこうかいひんこうえん）は、 兵庫県 赤穂市 にある 公園 。 1987年 に開園した。","https://ja.wikipedia.org/wiki/赤穂海浜公園","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯34度44分1.6秒東経134度23分48.2秒","日本兵庫県赤穂市御崎1857-5","1987年","","","","71.7ha","","塩田","","","","","","","","海浜公園","","",""
"鷲羽山ハイランド","[鷲羽山ハイランド33岡山1971] 鷲羽山ハイランド （わしゅうざんハイランド）は、 岡山県 倉敷市 下津井 にある 遊園地 。以前のキャッチコピーは「 瀬戸大橋 の見える遊園地」。現在は「 ブラジリアンパーク・鷲羽山ハイランド 」。","https://ja.wikipedia.org/wiki/鷲羽山ハイランド","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯34度26分46秒 東経133度47分52.5秒","〒711-0926岡山県倉敷市下津井吹上303-1","1971年8月13日","公式ウェブサイト","鷲羽観光開発株式会社","","","鷲羽観光開発株式会社","","","","","","","","","","","",""
"おもちゃ王国","[おもちゃ王国33岡山1995旧・王子ファンシーランド] 株式会社 おもちゃ王国 （おもちゃおうこく）は、 岡山県 玉野市 に本拠を置く日本の 企業 。同名の テーマパーク グループ「 おもちゃ王国 」の設置・運営・ フランチャイズ 管理を主業務としている。「おもちゃ王国」は同社の登録商標（第4867891号ほか）。","https://ja.wikipedia.org/wiki/おもちゃ王国","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
"ヒルゼン高原センター","[ヒルゼン高原センター　ジョイフルパーク33岡山1968] ヒルゼン高原センター・ジョイフルパーク （ヒルゼンこうげんセンター・ジョイフルパーク）は、 岡山県 真庭市 の 蒜山上福田 にあるレジャー施設、 遊園地 である。","https://ja.wikipedia.org/wiki/ヒルゼン高原センター","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯35度17分27.2秒東経133度38分7.21秒","〒717-0602岡山県真庭市蒜山上福田1205-197","","http://www.hkcenter.co.jp/","株式会社ヒルゼン高原センター","北緯35度17分27.2秒東経133度38分7.21秒﻿ / ﻿北緯35.290889度 東経133.6353361度﻿ /35.290889; 133.6353361座標:北緯35度17分27.2秒東経133度38分7.21秒﻿ / ﻿北緯35.290889度 東経133.6353361度﻿ /35.290889; 133.6353361","","","","ジョイフルパーク","","","","","","","","","",""
