"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","ホーム","所在地","備考","電報略号","乗車人員,-統計年度-","駅番号","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","乗車人員,-統計年次-","Hidden","Hidden","Hidden","Hidden"
"中条駅","中条駅（なかじょうえき）","https://ja.wikipedia.org/wiki/中条駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯38度02分59.8秒東経139度23分53.6秒","■羽越本線","39.1 km（新津起点）","東日本旅客鉄道（JR東日本）日本貨物鉄道（JR貨物）*","地上駅（橋上駅）","1914年（大正3年）6月1日","2面3線","新潟県胎内市表町7-22北緯38度02分59.8秒東経139度23分53.6秒座標:北緯38度02分59.8秒 東経139度23分53.6秒","業務委託駅みどりの窓口有","ナヨ","1,155人/日（降車客含まず）-2019年-","","","","","","","","",""
"中新湊駅","中新湊駅（なかしんみなとえき）","https://ja.wikipedia.org/wiki/中新湊駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯36度46分30.55秒東経137度5分19.06秒","新湊港線","2.3 km（越ノ潟起点）","万葉線","地上駅","1932年（昭和7年）11月9日","1面2線","富山県高岡市姫野北緯36度46分30.55秒東経137度5分19.06秒﻿ / ﻿北緯36.7751528度 東経137.0886278度﻿ /36.7751528; 137.0886278座標:北緯36度46分30.55秒東経137度5分19.06秒﻿ / ﻿北緯36.7751528度 東経137.0886278度﻿ /36.7751528; 137.0886278","","","","","248人/日-2016年[1]-","","","","","","",""
"長洲駅","長洲駅（ながすえき）","https://ja.wikipedia.org/wiki/長洲駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯32度56分8.32秒東経130度27分15.48秒","■鹿児島本線","159.4 km（門司港起点）","九州旅客鉄道（JR九州）","地上駅（橋上駅）[1]","1891年（明治24年）4月1日[1]","2面3線[1]","熊本県玉名郡長洲町大字高浜1482[1][2]北緯32度56分8.32秒東経130度27分15.48秒﻿ / ﻿北緯32.9356444度 東経130.4543000度﻿ /32.9356444; 130.4543000﻿ (長洲駅)","業務委託駅[2]みどりの窓口有[1]","カス","720人/日（降車客含まず）-2019年-","","","","","","","","",""
"中菅谷駅","中菅谷駅（なかすがやえき）","https://ja.wikipedia.org/wiki/中菅谷駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯36度26分44.1秒東経140度29分33.5秒","■水郡線","9.0 km（水戸起点）","東日本旅客鉄道（JR東日本）","地上駅","1935年（昭和10年）9月1日","1面1線","茨城県那珂市菅谷4300-2北緯36度26分44.1秒東経140度29分33.5秒座標:北緯36度26分44.1秒 東経140度29分33.5秒","無人駅（自動券売機 有）","ナス","","","","","","","","","",""
"中洲川端駅","中洲川端駅（なかすかわばたえき）","https://ja.wikipedia.org/wiki/中洲川端駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯33度35分41.94秒東経130度24分23.77秒","空港線","8.1 km（姪浜起点）","福岡市交通局（福岡市地下鉄）","地下駅","1982年（昭和57年）4月20日","2面4線（重層式）","福岡市博多区上川端町北緯33度35分41.94秒東経130度24分23.77秒﻿ / ﻿北緯33.5949833度 東経130.4066028度﻿ /33.5949833; 130.4066028座標:北緯33度35分41.94秒東経130度24分23.77秒﻿ / ﻿北緯33.5949833度 東経130.4066028度﻿ /33.5949833; 130.4066028","業務委託駅","","（空港線）15,390人/日（降車客含まず）（箱崎線）2,289人/日（降車客含まず）（合計）17,679人/日（降車客含まず）-2018年-","○K09","","","","","","","",""
"中筋駅","中筋駅（なかすじえき）","https://ja.wikipedia.org/wiki/中筋駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯34度27分5.37秒東経132度28分37.04秒","広島新交通1号線","7.0 km（本通起点）","広島高速交通","高架駅","1994年（平成6年）8月20日[1]","1面2線","広島市安佐南区中筋二丁目6-17北緯34度27分5.37秒東経132度28分37.04秒﻿ / ﻿北緯34.4514917度 東経132.4769556度﻿ /34.4514917; 132.4769556﻿ (中筋駅)座標:北緯34度27分5.37秒東経132度28分37.04秒﻿ / ﻿北緯34.4514917度 東経132.4769556度﻿ /34.4514917; 132.4769556﻿ (中筋駅)","業務委託駅","","4,208人/日（降車客含まず）-2018年-","","8,222人/日-2018年-","","","","","","",""
"中洲通停留場","中洲通停留場（なかすどおりていりゅうじょう）","https://ja.wikipedia.org/wiki/中洲通停留場","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯31度34分42.2秒東経130度32分33.1秒","鹿児島市電唐湊線（2系統）","0.6km（鹿児島中央駅前起点）鹿児島駅前から3.5 km","鹿児島市交通局","地上駅","1950年10月1日","2面2線","鹿児島県鹿児島市上荒田町北緯31度34分42.2秒東経130度32分33.1秒﻿ / ﻿北緯31.578389度 東経130.542528度﻿ /31.578389; 130.542528﻿ (中洲通停留場)","","","","●N13","623人/日-2015年-","","","","","","",""
"長瀬駅","長瀬駅（ながせえき）","https://ja.wikipedia.org/wiki/長瀬駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯34度39分1.06秒東経135度34分38.77秒","D大阪線","6.2 km（大阪上本町起点）","近畿日本鉄道（近鉄）","地上駅","1924年（大正13年）10月31日","2面2線","大阪府東大阪市菱屋西一丁目24-26北緯34度39分1.06秒東経135度34分38.77秒﻿ / ﻿北緯34.6502944度 東経135.5774361度﻿ /34.6502944; 135.5774361﻿ (長瀬駅)座標:北緯34度39分1.06秒東経135度34分38.77秒﻿ / ﻿北緯34.6502944度 東経135.5774361度﻿ /34.6502944; 135.5774361﻿ (長瀬駅)","","ナカセ",""," D08 ","30,889人/日-2018年-","","","","","","",""
"中瀬古駅","中瀬古駅（なかせこえき）","https://ja.wikipedia.org/wiki/中瀬古駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯34度48分44.9秒東経136度32分34.8秒","伊勢線","12.7 km（河原田起点）","伊勢鉄道","地上駅","1973年（昭和48年）9月1日[1]","2面2線","三重県鈴鹿市中瀬古町北緯34度48分44.9秒東経136度32分34.8秒﻿ / ﻿北緯34.812472度 東経136.543000度﻿ /34.812472; 136.543000座標:北緯34度48分44.9秒東経136度32分34.8秒﻿ / ﻿北緯34.812472度 東経136.543000度﻿ /34.812472; 136.543000","無人駅","","169人/日（降車客含まず）-2019年-","8","","","","","","","",""
"中田駅 (青森県)","中田駅 (青森県)（なかたえき・東日本旅客鉄道五能線）","https://ja.wikipedia.org/wiki/中田駅_(青森県)","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯40度47分14.22秒東経140度21分51.13秒","■五能線","116.9 km（東能代起点）","東日本旅客鉄道（JR東日本）","地上駅","1956年（昭和31年）11月30日[1]","1面1線[1]","青森県つがる市森田町中田字米本[1]13北緯40度47分14.22秒東経140度21分51.13秒座標:北緯40度47分14.22秒 東経140度21分51.13秒","無人駅[1]","タナ","","","","","","","","","",""
"中田駅 (神奈川県)","中田駅 (神奈川県)（なかだえき・横浜市営地下鉄ブルーライン）","https://ja.wikipedia.org/wiki/中田駅_(神奈川県)","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯35度24分40.3秒東経139度30分40.7秒","■ブルーライン（1号線）","4.8 km（湘南台起点）","横浜市交通局（横浜市営地下鉄）","地下駅","1999年（平成11年）8月29日[2]","1面2線","横浜市泉区中田南三丁目1番5号[1]北緯35度24分40.3秒東経139度30分40.7秒﻿ / ﻿北緯35.411194度 東経139.511306度﻿ /35.411194; 139.511306﻿ (中田駅)座標:北緯35度24分40.3秒東経139度30分40.7秒﻿ / ﻿北緯35.411194度 東経139.511306度﻿ /35.411194; 139.511306﻿ (中田駅)","業務委託駅（京王設備サービス）","","8,962人/日（降車客含まず）-2019年-","B04","18,030人/日-2019年-","","","","","","",""
"永田駅 (埼玉県)","永田駅 (埼玉県)（ながたえき・秩父鉄道秩父本線）","https://ja.wikipedia.org/wiki/永田駅_(埼玉県)","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯36度8分6.35秒東経139度15分32.71秒","■秩父本線","27.1 km（羽生起点）","秩父鉄道","地上駅","1913年（大正2年）6月1日","2面3線","埼玉県深谷市永田155-4北緯36度8分6.35秒東経139度15分32.71秒﻿ / ﻿北緯36.1350972度 東経139.2590861度﻿ /36.1350972; 139.2590861座標:北緯36度8分6.35秒東経139度15分32.71秒﻿ / ﻿北緯36.1350972度 東経139.2590861度﻿ /36.1350972; 139.2590861","","ナタ","208人/日（降車客含まず）-2019年-","","423人/日-2019年-","","","","","","",""
"永田駅 (千葉県)","永田駅 (千葉県)（ながたえき・東日本旅客鉄道外房線）","https://ja.wikipedia.org/wiki/永田駅_(千葉県)","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯35度30分12.1秒東経140度18分39.8秒","■外房線","25.3 km（千葉起点）","東日本旅客鉄道（JR東日本）","地上駅","1959年（昭和34年）3月20日","2面2線","千葉県大網白里市永田1835北緯35度30分12.1秒東経140度18分39.8秒座標:北緯35度30分12.1秒 東経140度18分39.8秒","業務委託駅","ナカ","973人/日（降車客含まず）-2019年-","","","","","","","","",""
"長田駅 (大阪府)","長田駅 (大阪府)（ながたえき・Osaka Metro中央線・近鉄けいはんな線）","https://ja.wikipedia.org/wiki/長田駅_(大阪府)","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯34度40分43.55秒東経135度35分30.88秒","●Osaka Metro中央線*","17.9 km（コスモスクエア起点）","大阪市高速電気軌道（Osaka Metro）近畿日本鉄道（近鉄）","地下駅","1985年（昭和60年）4月5日","1面2線","大阪府東大阪市長田中二丁目21-2北緯34度40分43.55秒東経135度35分30.88秒﻿ / ﻿北緯34.6787639度 東経135.5919111度﻿ /34.6787639; 135.5919111﻿ (長田駅)座標:北緯34度40分43.55秒東経135度35分30.88秒﻿ / ﻿北緯34.6787639度 東経135.5919111度﻿ /34.6787639; 135.5919111﻿ (長田駅)","共同使用駅（Osaka Metroの管轄駅）","ナタ（近鉄）","(Osaka Metro) 8,826人/日（降車客含まず）（近鉄）2,861人/日（降車客含まず）-(Osaka Metro) 2020年--（近鉄）2018年-"," C23 ","(Osaka Metro) 17,558人/日（近鉄）5,049人/日-(Osaka Metro) 2020年--（近鉄）2018年-","","","","","","",""
"長田駅 (神戸市営地下鉄)","長田駅 (神戸市営地下鉄)（ながたえき・神戸市営地下鉄西神・山手線）","https://ja.wikipedia.org/wiki/長田駅_(神戸市営地下鉄)","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯34度40分6.57秒東経135度9分5.43秒","西神・山手線（正式には山手線）","1.5km（新長田起点）谷上から13.6 km","神戸市交通局（神戸市営地下鉄）","地下駅[1]","1983年（昭和58年）6月17日[1]","相対式 2面2線[1]","神戸市長田区四番町7丁目[1]北緯34度40分6.57秒東経135度9分5.43秒﻿ / ﻿北緯34.6684917度 東経135.1515083度﻿ /34.6684917; 135.1515083﻿ (長田駅)座標:北緯34度40分6.57秒東経135度9分5.43秒﻿ / ﻿北緯34.6684917度 東経135.1515083度﻿ /34.6684917; 135.1515083﻿ (長田駅)","","","6,074人/日（降車客含まず）-2019年-"," S08 ","","高速長田駅（阪神神戸高速線）","","","","","",""
"長田駅 (神戸電鉄)","長田駅 (神戸電鉄)（ながたえき・神戸電鉄有馬線）","https://ja.wikipedia.org/wiki/長田駅_(神戸電鉄)","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","","有馬線","1.9km（湊川起点）新開地から2.3 km","神戸電鉄","地上駅[1]","1928年（昭和3年）11月28日[1]","2面2線[1]","","無人駅[1]","","1,978人/日（降車客含まず）-2019年-","○KB03","3,699[2]人/日-2019年-","","","","","","",""
"長滝駅","長滝駅（ながたきえき）","https://ja.wikipedia.org/wiki/長滝駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯34度22分54.78秒東経135度19分10.56秒","R阪和線","36.3 km（天王寺起点）","西日本旅客鉄道（JR西日本）","地上駅","1930年（昭和5年）6月16日","2面4線","大阪府泉佐野市長滝1141北緯34度22分54.78秒東経135度19分10.56秒﻿ / ﻿北緯34.3818833度 東経135.3196000度﻿ /34.3818833; 135.3196000座標:北緯34度22分54.78秒東経135度19分10.56秒﻿ / ﻿北緯34.3818833度 東経135.3196000度﻿ /34.3818833; 135.3196000","無人駅（自動券売機 有）","ナタ","949人/日（降車客含まず）-2018年-","JR-R46","","","","","","","",""
"中多久駅","中多久駅（なかたくえき）","https://ja.wikipedia.org/wiki/中多久駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯33度17分0.15秒東経130度6分44.38秒","■唐津線","13.6 km（久保田起点）","九州旅客鉄道（JR九州）","地上駅","1964年（昭和39年）4月1日","1面1線","佐賀県多久市南多久町大字長尾北緯33度17分0.15秒東経130度6分44.38秒座標:北緯33度17分0.15秒 東経130度6分44.38秒","無人駅（自動券売機 有）","ナク","402人/日（降車客含まず）-2019年-","","","","","","","","",""
"永田町駅","永田町駅（ながたちょうえき）","https://ja.wikipedia.org/wiki/永田町駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯35度40分43秒東経139度44分25秒","●[1]有楽町線","19.3 km（和光市起点）","東京地下鉄（東京メトロ）","地下駅","1974年（昭和49年）10月30日","各1面2線（計3面6線）","東京都千代田区永田町一丁目11-28北緯35度40分43秒東経139度44分25秒﻿ / ﻿北緯35.67861度 東経139.74028度﻿ /35.67861; 139.74028﻿ (東京メトロ有楽町線・半蔵門線 永田町駅)（有楽町線・半蔵門線）北緯35度40分41.5秒東経139度44分24秒﻿ / ﻿北緯35.678194度 東経139.74000度﻿ /35.678194; 139.74000﻿ (東京メトロ南北線 永田町駅)座標:北緯35度40分41.5秒東経139度44分24秒﻿ / ﻿北緯35.678194度 東経139.74000度﻿ /35.678194; 139.74000﻿ (東京メトロ南北線 永田町駅)（南北線）","","ナタ","","Y16[1]","91,240人/日-2019年-","赤坂見附駅（同一駅扱い）G05[1]銀座線・M13[1]丸ノ内線","","","","","",""
"長谷野駅","長谷野駅（ながたにのえき）","https://ja.wikipedia.org/wiki/長谷野駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯35度5分44.48秒東経136度11分15.54秒","■本線（水口・蒲生野線）","27.5 km（米原起点）","近江鉄道","地上駅","1916年（大正5年）12月27日","片式1面1線","滋賀県東近江市今堀町813-2北緯35度5分44.48秒東経136度11分15.54秒﻿ / ﻿北緯35.0956889度 東経136.1876500度﻿ /35.0956889; 136.1876500座標:北緯35度5分44.48秒東経136度11分15.54秒﻿ / ﻿北緯35.0956889度 東経136.1876500度﻿ /35.0956889; 136.1876500","無人駅","","75人/日（降車客含まず）-2016年-","OR26","","","","","","","",""
"中田平駅","中田平駅（なかたびらえき）","https://ja.wikipedia.org/wiki/中田平駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯33度21分19.84秒東経129度36分38.80秒","■西九州線","48.1 km（有田起点）","松浦鉄道","地上駅","1991年（平成3年）3月16日","1面1線","長崎県平戸市田平町下亀免北緯33度21分19.84秒東経129度36分38.80秒","","","","","13人/日-2017年-","","","","","","",""
"中津駅 (阪急)","中津駅 (阪急)（なかつえき・阪急電鉄神戸本線・宝塚本線）","https://ja.wikipedia.org/wiki/中津駅_(阪急)","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯34度42分35.05秒東経135度29分34.76秒","■神戸本線■宝塚本線","0.9 km（大阪梅田起点）","阪急電鉄","高架駅","1925年（大正14年）11月4日","2面4線","大阪市北区中津三丁目1番30号[1]北緯34度42分35.05秒東経135度29分34.76秒﻿ / ﻿北緯34.7097361度 東経135.4929889度﻿ /34.7097361; 135.4929889﻿ (中津駅)座標:北緯34度42分35.05秒東経135度29分34.76秒﻿ / ﻿北緯34.7097361度 東経135.4929889度﻿ /34.7097361; 135.4929889﻿ (中津駅)","■京都本線の列車は通過","","","HK02HK02","（特定日）12,537人/日-2019年-","","（通年平均）10,351人/日-2019年-","","","","",""
"中津駅 (Osaka Metro)","中津駅 (Osaka Metro)（なかつえき・OsakaMetro御堂筋線）","https://ja.wikipedia.org/wiki/中津駅_(Osaka_Metro)","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯34度42分39.7秒東経135度29分48.88秒","●御堂筋線","5.4 km（江坂起点）千里中央から11.3 km","大阪市高速電気軌道(Osaka Metro)","地下駅","1964年（昭和39年）9月24日","1面2線","大阪市北区中津一丁目13-19北緯34度42分39.7秒東経135度29分48.88秒﻿ / ﻿北緯34.711028度 東経135.4969111度﻿ /34.711028; 135.4969111﻿ (中津駅)","","","18,787人/日（降車客含まず）-2020年-"," M15 ","37,235人/日-2020年-","","","","","","",""
"中津駅 (大分県)","中津駅 (大分県)（なかつえき・九州旅客鉄道日豊本線）","https://ja.wikipedia.org/wiki/中津駅_(大分県)","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯33度35分57.48秒東経131度11分26.56秒","■日豊本線","51.8 km（小倉起点）","九州旅客鉄道（JR九州）","高架駅[1]","1897年（明治30年）9月25日[2]","2面4線[1]","大分県中津市大字島田[1]219-2北緯33度35分57.48秒東経131度11分26.56秒","直営駅みどりの窓口有[1]","ナツ","2,960人/日（降車客含まず）-2019年-","","","","","","","","",""
"中津川駅","中津川駅（なかつがわえき）","https://ja.wikipedia.org/wiki/中津川駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯35度30分1.8秒東経137度30分11.3秒","CF中央本線（名古屋地区）","317.0km（東京起点）名古屋から79.9 km","東海旅客鉄道（JR東海）","地上駅","1902年（明治35年）12月21日[1]","2面3線[1]","岐阜県中津川市太田町[1]北緯35度30分1.8秒東経137度30分11.3秒﻿ / ﻿北緯35.500500度 東経137.503139度﻿ /35.500500; 137.503139﻿ (中津川駅*)","駅長配置駅（管理駅）JR全線きっぷうりば有[1]*1911年に中津駅から改称[2]。","ナツ","3,350人/日（降車客含まず）-2019年-","CF  19 ","","","","","","","",""
"長津田駅","長津田駅（ながつたえき）","https://ja.wikipedia.org/wiki/長津田駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","","","","東日本旅客鉄道（JR東日本・駅詳細）日本貨物鉄道（JR貨物）東急電鉄（駅詳細）","","","","横浜市緑区長津田四丁目","","","","","","","","","","","",""
"中土駅","中土駅（なかつちえき）","https://ja.wikipedia.org/wiki/中土駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","","■大糸線","74.1km（松本起点）南小谷から4.0 km","西日本旅客鉄道（JR西日本）","地上駅","1935年（昭和10年）11月29日[2]","1面1線[1]","","無人駅[1]標高：463.7m[1]","ツチ","1人/日（降車客含まず）-2018年-","","","","","","","","",""
"中角駅","中角駅（なかつのえき）","https://ja.wikipedia.org/wiki/中角駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯36度6分4.5秒東経136度12分16.5秒","■三国芦原線","5.9km（福井口起点）福井から7.4 km","えちぜん鉄道","地上駅","1928年（昭和3年）12月30日","1面1線","福井県福井市中角町52-138北緯36度6分4.5秒東経136度12分16.5秒﻿ / ﻿北緯36.101250度 東経136.204583度﻿ /36.101250; 136.204583座標:北緯36度6分4.5秒東経136度12分16.5秒﻿ / ﻿北緯36.101250度 東経136.204583度﻿ /36.101250; 136.204583","無人駅","","","○E31","82人/日-2018年-","","","","","","",""
"中津幡駅","中津幡駅（なかつばたえき）","https://ja.wikipedia.org/wiki/中津幡駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯36度40分16.39秒東経136度44分25.53秒","■七尾線","1.8 km（津幡起点）金沢から13.3 km","西日本旅客鉄道（JR西日本）","地上駅","1960年（昭和35年）2月10日[1]","1面1線[1]","石川県河北郡津幡町字津幡ニ505北緯36度40分16.39秒東経136度44分25.53秒﻿ / ﻿北緯36.6712194度 東経136.7404250度﻿ /36.6712194; 136.7404250座標:北緯36度40分16.39秒東経136度44分25.53秒﻿ / ﻿北緯36.6712194度 東経136.7404250度﻿ /36.6712194; 136.7404250","無人駅[1]（自動券売機 有[1]）","ナツ","657人/日（降車客含まず）-2018年-","","","","","","","","",""
"中妻駅","中妻駅（なかつまえき）","https://ja.wikipedia.org/wiki/中妻駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯36度2分50.02秒東経139度59分25.96秒","常総線","20.9 km（取手起点）","関東鉄道","地上駅","1920年（大正9年）2月1日[2]","2面2線","茨城県常総市中妻町714-4北緯36度2分50.02秒東経139度59分25.96秒﻿ / ﻿北緯36.0472278度 東経139.9905444度﻿ /36.0472278; 139.9905444﻿ (中妻駅)座標:北緯36度2分50.02秒東経139度59分25.96秒﻿ / ﻿北緯36.0472278度 東経139.9905444度﻿ /36.0472278; 139.9905444﻿ (中妻駅)","","","","","185人/日-2019年[1]-","","","","","","",""
"長門粟野駅","長門粟野駅（ながとあわのえき）","https://ja.wikipedia.org/wiki/長門粟野駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯34度21分27.01秒東経130度58分12.81秒","■山陰本線","622.1 km（京都起点）","西日本旅客鉄道（JR西日本）","地上駅","1930年（昭和5年）12月7日","1面1線","山口県下関市豊北町大字粟野4896-3北緯34度21分27.01秒東経130度58分12.81秒﻿ / ﻿北緯34.3575028度 東経130.9702250度﻿ /34.3575028; 130.9702250座標:北緯34度21分27.01秒東経130度58分12.81秒﻿ / ﻿北緯34.3575028度 東経130.9702250度﻿ /34.3575028; 130.9702250","無人駅","ワノ","12人/日（降車客含まず）-2019年-","","","","","","","","",""
"長門大井駅","長門大井駅（ながとおおいえき）","https://ja.wikipedia.org/wiki/長門大井駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯34度28分15.88秒東経131度26分59.3秒","■山陰本線","564.5 km（京都起点）","西日本旅客鉄道（JR西日本）","地上駅","1929年（昭和4年）4月24日","2面2線","山口県萩市大井字呑石151北緯34度28分15.88秒東経131度26分59.3秒﻿ / ﻿北緯34.4710778度 東経131.449806度﻿ /34.4710778; 131.449806座標:北緯34度28分15.88秒東経131度26分59.3秒﻿ / ﻿北緯34.4710778度 東経131.449806度﻿ /34.4710778; 131.449806","無人駅","オイ","17人/日（降車客含まず）-2019年-","","","","","","","","",""
"長門市駅","長門市駅（ながとしえき）","https://ja.wikipedia.org/wiki/長門市駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯34度22分30.9秒東経131度11分6.15秒","■山陰本線","599.6 km（京都起点）","西日本旅客鉄道（JR西日本）","地上駅","1924年（大正13年）3月23日","2面4線","山口県長門市東深川駅前903-5北緯34度22分30.9秒東経131度11分6.15秒﻿ / ﻿北緯34.375250度 東経131.1850417度﻿ /34.375250; 131.1850417座標:北緯34度22分30.9秒東経131度11分6.15秒﻿ / ﻿北緯34.375250度 東経131.1850417度﻿ /34.375250; 131.1850417","直営駅みどりの券売機プラス設置駅","ナトシヨ（正明市駅時代）","373人/日（降車客含まず）-2019年-","","","","","","","","",""
"長門長沢駅","長門長沢駅（ながとながさわえき）","https://ja.wikipedia.org/wiki/長門長沢駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯33度57分59.83秒東経131度11分48.61秒","■小野田線","3.2km（居能起点）宇部新川から5.0 km","西日本旅客鉄道（JR西日本）","地上駅","1929年（昭和4年）5月16日","1面1線","山口県宇部市大字東須恵字大丸田3402北緯33度57分59.83秒東経131度11分48.61秒﻿ / ﻿北緯33.9666194度 東経131.1968361度﻿ /33.9666194; 131.1968361座標:北緯33度57分59.83秒東経131度11分48.61秒﻿ / ﻿北緯33.9666194度 東経131.1968361度﻿ /33.9666194; 131.1968361","無人駅*1943年に長沢駅から改称。","ナサ","9人/日（降車客含まず）-2019年-","","","","","","","","",""
"長門二見駅","長門二見駅（ながとふたみえき）","https://ja.wikipedia.org/wiki/長門二見駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯34度15分6.16秒東経130度54分54.01秒","■山陰本線","639.9 km（京都起点）","西日本旅客鉄道（JR西日本）","地上駅","1925年（大正14年）8月16日","1面2線","山口県下関市豊北町大字神田上字上二見7273-6北緯34度15分6.16秒東経130度54分54.01秒﻿ / ﻿北緯34.2517111度 東経130.9150028度﻿ /34.2517111; 130.9150028座標:北緯34度15分6.16秒東経130度54分54.01秒﻿ / ﻿北緯34.2517111度 東経130.9150028度﻿ /34.2517111; 130.9150028","無人駅","フタ","16人/日（降車客含まず）-2019年-","","","","","","","","",""
"長門古市駅","長門古市駅（ながとふるいちえき）","https://ja.wikipedia.org/wiki/長門古市駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯34度23分18.6秒東経131度6分7.52秒","■山陰本線","609.0 km（京都起点）","西日本旅客鉄道（JR西日本）","地上駅","1929年（昭和4年）10月13日","2面2線","山口県長門市日置上字五反田5791-2北緯34度23分18.6秒東経131度6分7.52秒﻿ / ﻿北緯34.388500度 東経131.1020889度﻿ /34.388500; 131.1020889座標:北緯34度23分18.6秒東経131度6分7.52秒﻿ / ﻿北緯34.388500度 東経131.1020889度﻿ /34.388500; 131.1020889","無人駅","フル","113人/日（降車客含まず）-2019年-","","","","","","","","",""
