"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","位置","所在地","地図","築造時期","形状","史跡","規模","出土品","埋葬施設","法人番号","文化財","創建年","宗派","山号","別名","本尊","開基","所属","札所等"
"宇治川太閤堤跡","[宇治川太閤堤跡（うじがわたいこうづつみあと）〔宇治市〕] 宇治川太閤堤跡 （うじがわたいこうづつみあと）は、 京都府 宇治市 莵道丸山（とどうまるやま）・宇治乙方（うじおちかた）ほかにある堤跡。2009年7月23日に国の 史跡 に指定され、2016年10月3日に追加指定が行われた。","https://ja.wikipedia.org/wiki/宇治川太閤堤跡","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度53分46秒 東経135度48分18秒","","","","","","","","","","","","","","","","","","",""
"隼上り瓦窯跡","[隼上り瓦窯跡（はやあがりがようのあと）〔宇治市〕] 隼上り瓦窯跡 （はやあがりがようせき  ）は、 京都府 宇治市 菟道にある7世紀前半の瓦窯の跡。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/隼上り瓦窯跡","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度54分22.1秒 東経135度48分35.0秒","","","","","","","","","","","","","","","","","","",""
"平等院","[平等院庭園（びょうどういんていえん）〔宇治市〕 （「古都京都の文化財」の構成資産）] 平等院 （びょうどういん）は、 京都府 宇治市 にある 単立 の 寺院 。 山号 は 朝日山  。 開基 は 藤原頼通 、 開山 は 明尊 。 本尊 は 阿弥陀如来 坐像。","https://ja.wikipedia.org/wiki/平等院","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度53分21.45秒東経135度48分27.69秒","北緯34度53分21.45秒東経135度48分27.69秒﻿ / ﻿北緯34.8892917度 東経135.8076917度﻿ /34.8892917; 135.8076917座標:北緯34度53分21.45秒東経135度48分27.69秒﻿ / ﻿北緯34.8892917度 東経135.8076917度﻿ /34.8892917; 135.8076917","京都府宇治市宇治蓮華116","","","","","","","","1130005006854","鳳凰堂・阿弥陀如来坐像ほか（国宝）ユネスコ世界遺産「古都京都の文化財」構成物件","永承7年（1052年）","単立","朝日山（※読みは未確認）","","阿弥陀如来坐像（国宝）","藤原頼通","","神仏霊場巡拝の道第125番（京都第45番）"
"石清水八幡宮","[石清水八幡宮境内（いわしみずはちまんぐうけいだい）〔八幡市〕] 石清水八幡宮 （いわしみずはちまんぐう）は、 京都府 八幡市 にある 神社 。旧称は「男山八幡宮」。 二十二社 （上七社）の1つで、 伊勢神宮 （ 三重県 伊勢市 ）とともに 二所宗廟 の1つ。 旧社格 は 官幣大社 で、現在は 神社本庁 の 別表神社 。","https://ja.wikipedia.org/wiki/石清水八幡宮","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度52分46.80秒東経135度42分00.20秒","北緯34度52分46.80秒東経135度42分00.20秒﻿ / ﻿北緯34.8796667度 東経135.7000556度﻿ /34.8796667; 135.7000556﻿ (石清水八幡宮)座標:北緯34度52分46.80秒東経135度42分00.20秒﻿ / ﻿北緯34.8796667度 東経135.7000556度﻿ /34.8796667; 135.7000556﻿ (石清水八幡宮)","京都府八幡市八幡高坊30","石清水八幡宮石清水八幡宮の位置京都府の地図を表示石清水八幡宮石清水八幡宮 (日本)日本の地図を表示","","","","","","","","","","","","","","","","神仏霊場巡拝の道第81番（京都第1番）"
"松花堂","[松花堂およびその跡（しょうかどうおよびそのあと）〔八幡市〕] 松花堂 （しょうかどう）は、 江戸時代 初期の僧侶（ 石清水八幡宮 の 社僧 ）で文化人であった 松花堂昭乗 がその晩年の 寛永 14年（ 1637年 ）に構えた 草庵 の名称である。現在の 京都府 八幡市 、 石清水八幡宮 のある 男山 の東麓に泉坊という 宿坊 があり、その中にこの草庵があった。","https://ja.wikipedia.org/wiki/松花堂","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度52分46.5秒 東経135度42分6.4秒","","","","","","","","","","","","","","","","","","",""
"天皇の杜古墳","[天皇の杜古墳（てんのうのもりこふん）] 天皇の杜古墳 （てんのうのもりこふん、天皇ノ杜古墳  ）は、 京都府 京都市 西京区 御陵塚ノ越町にある 古墳 。形状は 前方後円墳 。国の 史跡 に指定されている（史跡「乙訓古墳群」のうち）。","https://ja.wikipedia.org/wiki/天皇の杜古墳","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度58分39.04秒東経135度41分22.74秒","北緯34度58分39.04秒東経135度41分22.74秒﻿ / ﻿北緯34.9775111度 東経135.6896500度﻿ /34.9775111; 135.6896500座標:北緯34度58分39.04秒東経135度41分22.74秒﻿ / ﻿北緯34.9775111度 東経135.6896500度﻿ /34.9775111; 135.6896500","京都府京都市西京区御陵塚ノ越町","天皇の杜古墳","4世紀末葉","前方後円墳（柄鏡式）","国の史跡「天皇の杜古墳」（「乙訓古墳群」に包含）","墳丘長83.0m高さ7.2m（後円部）","円筒埴輪・朝顔形埴輪","不明","","","","","","天皇ノ杜古墳","","","乙訓古墳群",""
"寺戸大塚古墳","[寺戸大塚古墳（てらどおおつかこふん）] 寺戸大塚古墳 （てらどおおつかこふん）は、 京都府 向日市 寺戸町芝山にある 古墳 。形状は 前方後円墳 。国の 史跡 に指定されている（史跡「乙訓古墳群」のうち）。","https://ja.wikipedia.org/wiki/寺戸大塚古墳","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度57分21秒東経135度41分19秒","北緯34度57分21秒東経135度41分19秒﻿ / ﻿北緯34.95583度 東経135.68861度﻿ /34.95583; 135.68861","京都府向日市寺戸町芝山","","4世紀","前方後円墳","国の史跡「寺戸大塚古墳」（「乙訓古墳群」に包含）","全長98m高さ9m","和製銅鏡・銅鏃中国製銅鏡","竪穴式石室","","","","","","","","","乙訓古墳群",""
"五塚原古墳","[五塚原古墳（いつかはらこふん）] 五塚原古墳 （いつかはらこふん  /いつつがはらこふん  ）は、 京都府 向日市 寺戸町芝山にある 古墳 。形状は 前方後円墳 。向日丘陵古墳群を構成する古墳の1つ。国の 史跡 に指定されている（史跡「乙訓古墳群」のうち）。","https://ja.wikipedia.org/wiki/五塚原古墳","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度56分59.71秒東経135度41分42.78秒","北緯34度56分59.71秒東経135度41分42.78秒﻿ / ﻿北緯34.9499194度 東経135.6952167度﻿ /34.9499194; 135.6952167座標:北緯34度56分59.71秒東経135度41分42.78秒﻿ / ﻿北緯34.9499194度 東経135.6952167度﻿ /34.9499194; 135.6952167","京都府向日市寺戸町芝山","五塚原古墳","3世紀中葉-後半","前方後円墳","国の史跡「五塚原古墳」（「乙訓古墳群」に包含）","墳丘長91.2m高さ8.7m（後円部）","","竪穴式石室","","","","","","","","","向日丘陵古墳群",""
"元稲荷古墳","[元稲荷古墳（もといなりこふん）] 元稲荷古墳 （もといなりこふん）は、 京都府 向日市 向日町北山にある 古墳 。向日丘陵古墳群を構成する古墳の1つ。国の 史跡 に指定されている（史跡「乙訓古墳群」のうち）。","https://ja.wikipedia.org/wiki/元稲荷古墳","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度56分42.20秒東経135度41分50.53秒","北緯34度56分42.20秒東経135度41分50.53秒﻿ / ﻿北緯34.9450556度 東経135.6973694度﻿ /34.9450556; 135.6973694座標:北緯34度56分42.20秒東経135度41分50.53秒﻿ / ﻿北緯34.9450556度 東経135.6973694度﻿ /34.9450556; 135.6973694","京都府向日市向日町北山（勝山公園内）","元稲荷古墳","3世紀後半","前方後方墳","国の史跡「元稲荷古墳」（「乙訓古墳群」に包含）","墳丘長94m","副葬品少数・埴輪片・土器片","竪穴式石室","","","","","","","","","向日丘陵古墳群",""
"南条古墳 (存在しないページ)","[南条古墳（なんじょうこふん）]","https://ja.wikipedia.org/w/index.php?title=南条古墳&amp;action=edit&amp;redlink=1","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"物集女車塚古墳 (存在しないページ)","[物集女車塚古墳（もずめくるまづかこふん）]","https://ja.wikipedia.org/w/index.php?title=物集女車塚古墳&amp;action=edit&amp;redlink=1","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"恵解山古墳","[恵解山古墳（いげのやまこふん）] 恵解山古墳 （いげのやまこふん）は、 京都府 長岡京市 勝竜寺・久貝にある 古墳 。形状は 前方後円墳 。国の 史跡 に指定され（史跡「乙訓古墳群」のうち）、出土品は京都府指定有形文化財に指定されている  。 平成15年 から 平成25年 まで調査及び保存整備が行われ、 平成26年 に 恵解山古墳公園 となった。","https://ja.wikipedia.org/wiki/恵解山古墳","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度54分52.3秒東経135度41分51.3秒","北緯34度54分52.3秒東経135度41分51.3秒﻿ / ﻿北緯34.914528度 東経135.697583度﻿ /34.914528; 135.697583座標:北緯34度54分52.3秒東経135度41分51.3秒﻿ / ﻿北緯34.914528度 東経135.697583度﻿ /34.914528; 135.697583","京都府長岡京市勝竜寺・久貝","恵解山古墳","5世紀","前方後円墳","国の史跡「恵解山古墳」（「乙訓古墳群」に包含）","墳丘長120m","鉄製武器類、円筒埴輪、形象埴輪","不明","","","","","","","","","",""
"井ノ内車塚古墳 (存在しないページ)","[井ノ内車塚古墳（いのうちくるまづかこふん）]","https://ja.wikipedia.org/w/index.php?title=井ノ内車塚古墳&amp;action=edit&amp;redlink=1","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"井ノ内稲荷塚古墳 (存在しないページ)","[井ノ内稲荷塚古墳（いのうちいなりづかこふん）]","https://ja.wikipedia.org/w/index.php?title=井ノ内稲荷塚古墳&amp;action=edit&amp;redlink=1","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"今里大塚古墳 (存在しないページ)","[今里大塚古墳（いまざとおおつかこふん）]","https://ja.wikipedia.org/w/index.php?title=今里大塚古墳&amp;action=edit&amp;redlink=1","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"鳥居前古墳","[鳥居前古墳（とりいまえこふん）] 鳥居前古墳 （とりいまえこふん）は 京都府 乙訓郡 大山崎町 に所在する 帆立貝形古墳 。国の 史跡 に指定されている（史跡「乙訓古墳群」のうち）。","https://ja.wikipedia.org/wiki/鳥居前古墳","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","","","京都府乙訓郡大山崎町円明寺","","4世紀末頃から5世紀初頭","帆立貝形古墳","国の史跡「鳥居前古墳」（「乙訓古墳群」に包含）","墳丘長51ｍ　","画文帯神獣鏡片　勾玉　巴形銅器","竪穴式石室","","","","","","","","","",""
"大山崎瓦窯跡","[大山崎瓦窯跡（おおやまざきかわらがまあと）〔乙訓郡大山崎町〕] 大山崎瓦窯跡 （おおやまざきかわらがまあと）は、 京都府 乙訓郡 大山崎町 大山崎にある 平安時代 の 窯跡 。2006年（平成18年）1月26日に国の 史跡 に指定され、2014年（平成26年）10月6日に追加指定が行われた。","https://ja.wikipedia.org/wiki/大山崎瓦窯跡","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度53分47秒 東経135度41分00秒","","","","","","","","","","","","","","","","","","",""
"長岡京","[長岡宮跡（ながおかきゅうせき）〔向日市〕] 長岡京 （ながおかきょう）は、 山城国 乙訓郡 （現在の 京都府 向日市 、 長岡京市 、 京都市 西京区 ）にあった古代日本の 都城 。宮域跡は向日市鶏冠井町（かいでちょう）に位置し、「長岡宮跡」として国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/長岡京","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度56分36.6秒 東経135度42分11.4秒","","","","","","","","","","","","","","","","","","",""
"荷田春満","[荷田春満旧宅（かだのあずままろきゅうたく）〔京都市伏見区〕] 荷田 春満 （かだ の あずままろ、 寛文 9年 1月3日 （ 1669年 2月3日 ）- 元文 元年 7月2日 （ 1736年 8月8日 ）  ）は、 江戸時代 中期の 国学者 ・ 歌人 。通称は、 斎宮 （いつき）。初名は信盛と称し、のちに東丸。 賀茂真淵 ・ 本居宣長 ・ 平田篤胤 と共に 国学 の四大人 の一人とされる  。","https://ja.wikipedia.org/wiki/荷田春満","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"鳥羽離宮","[鳥羽殿跡（とばどのあと）〔京都市伏見区〕] 鳥羽離宮 （とばりきゅう）は、 12世紀 から14世紀頃まで代々の 上皇 により使用されていた院 御所 。 鳥羽殿 （とばどの）・ 城南離宮 （じょうなんりきゅう）とも呼ばれる。","https://ja.wikipedia.org/wiki/鳥羽離宮","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度56分59.9秒 東経135度44分37.8秒","","","","","","","","","","","","","","","","","","",""
"醍醐寺","[醍醐寺境内（だいごじけいだい）〔京都市伏見区〕（「古都京都の文化財」の構成資産）] 醍醐寺 （だいごじ）は、 京都市 伏見区 醍醐東大路町にある 真言宗醍醐派 総本山の寺院。 山号 を醍醐山（深雪山とも）と称し、 本尊 は 薬師如来 。上醍醐の准胝堂（じゅんていどう）は、 西国三十三所観音霊場 第11番札所で本尊は 准胝観世音菩薩 。京都市街の南東に広がる醍醐山（笠取山）に200万坪以上の広大な境内を持ち、 国宝 や 重要文化財 を含む約15万点の寺宝を所蔵する  。 豊臣秀吉 による「 醍醐の花見 」が行われた地としても知られている。 古都京都の文化財 として 世界遺産 に登録されている。","https://ja.wikipedia.org/wiki/醍醐寺","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度57分5.4秒東経135度49分18.4秒","北緯34度57分5.4秒東経135度49分18.4秒﻿ / ﻿北緯34.951500度 東経135.821778度﻿ /34.951500; 135.821778座標:北緯34度57分5.4秒東経135度49分18.4秒﻿ / ﻿北緯34.951500度 東経135.821778度﻿ /34.951500; 135.821778","京都府京都市伏見区醍醐東大路町22","","","","","","","","6130005002163","醍醐寺境内（史跡）金堂、五重塔、木造薬師如来及両脇侍像ほか（国宝）清滝宮本殿、絹本著色阿弥陀三尊像、木造薬師如来及両脇侍像ほか（重要文化財）三宝院庭園（特別史跡、特別名勝）世界遺産","貞観16年（874年）","真言宗醍醐派","醍醐山深雪山（上醍醐寺）","","薬師如来（重要文化財）","","","西国三十三所第11番（上醍醐）真言宗十八本山第12番近畿三十六不動尊霊場第23番（上醍醐）西国薬師四十九霊場第39番役行者霊蹟札所神仏霊場巡拝の道第126番（京都第46番）"
"随心院","[随心院境内（ずいしんいんけいだい）〔京都市山科区〕] 随心院 （ずいしんいん、隨心院）は 京都市 山科区 小野にある 真言宗善通寺派 大本山。開山は 小野流 の開祖として知られる 仁海 （にんがい）僧正。 本尊 は 如意輪観世音菩薩 。寺紋は九条藤。当寺の位置する小野地区は、 小野氏 の根拠地とされ、随心院は 小野小町 ゆかりの寺としても知られる。小野小町と少将の淡い恋物語を綴った  。","https://ja.wikipedia.org/wiki/随心院","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度57分34.18秒東経135度48分58.63秒","北緯34度57分34.18秒東経135度48分58.63秒﻿ / ﻿北緯34.9594944度 東経135.8162861度﻿ /34.9594944; 135.8162861座標:北緯34度57分34.18秒東経135度48分58.63秒﻿ / ﻿北緯34.9594944度 東経135.8162861度﻿ /34.9594944; 135.8162861","京都府京都市山科区小野御霊町35","","","","","","","","9130005002210","木造阿弥陀如来坐像、木造金剛薩埵坐像、絹本着色愛染曼荼羅図、随心院文書、紙本金地着色蘭亭曲水図八曲屏風2双（重要文化財）","正暦2年（991年）","真言宗善通寺派","牛皮山（ぎゅうひざん）","","如意輪観音","","","真言宗十八本山第11番、京都十三仏霊場第11番"
"山科本願寺","[山科本願寺跡及び南殿跡（やましなほんがんじあとおよびなんでんあと）〔京都市山科区〕2002年12月19日、2016年3月1日追加指定・名称変更] 山科本願寺 （やましなほんがんじ）は、 京都市 山科区 にあった 浄土真宗 の 寺院 。 本願寺 第8世 法主 蓮如 により、 文明 15年 8月22日 （ 1483年 9月23日 ）に完成・建立。","https://ja.wikipedia.org/wiki/山科本願寺","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度59分4.5秒東経135度48分44.7秒","北緯34度59分4.5秒東経135度48分44.7秒﻿ / ﻿北緯34.984583度 東経135.812417度﻿ /34.984583; 135.812417","","","","","","","","","","","","","","本願寺ノ城","","","",""
"琵琶湖疏水","[琵琶湖疏水（びわこそすい）〔滋賀県大津市・京都府京都市左京区・東山区・山科区〕] 疏水分線","https://ja.wikipedia.org/wiki/琵琶湖疏水","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯35度0分50.68秒 東経135度51分38.44秒","","","","","","","","","","","","","","","","","","",""
"高台寺","[高台寺庭園（こうだいじていえん）〔京都市東山区〕] 高台寺 、 髙臺寺 （こうだいじ）は 京都府 京都市 東山区 にある 臨済宗 建仁寺 派の 寺院 。 山号 は 鷲峰山 （じゅぶさん）、寺号は詳しくは高台寿聖禅寺と称する。 豊臣秀吉 の正室である北政所（ 高台院 ）が秀吉の冥福を祈るため建立した寺院であり、寺号は北政所の落飾（仏門に入る）後の院号である高台院にちなむ。 釈迦如来 を本尊とする 禅宗 寺院であるとともに、秀吉と北政所を祀る霊廟としての性格をもった寺院である。","https://ja.wikipedia.org/wiki/高台寺","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯35度0分2.74秒東経135度46分52.01秒","北緯35度0分2.74秒東経135度46分52.01秒﻿ / ﻿北緯35.0007611度 東経135.7811139度﻿ /35.0007611; 135.7811139座標:北緯35度0分2.74秒東経135度46分52.01秒﻿ / ﻿北緯35.0007611度 東経135.7811139度﻿ /35.0007611; 135.7811139","京都府京都市東山区下河原通八坂鳥居前下る下河原町526","","","","","","","","2130005001243","霊屋、開山堂、絹本着色豊臣秀吉像、豊臣秀吉消息ほか（重要文化財）","慶長11年（1606年）","臨済宗建仁寺派","鷲峰山","","釈迦如来","高台院","",""
"青蓮院","[青蓮院旧仮御所（しょうれんいんきゅうかりごしょ）〔京都市東山区〕] 青蓮院 （しょうれんいん）は、 京都市 東山区 粟田口（あわたぐち）にある 天台宗 の 寺院 。 青蓮院門跡 （しょうれんいんもんぜき）とも称する。 山号 はなし。開山は伝教大師 最澄 、本尊は 熾盛光如来 （しじょうこうにょらい）である。現在の 門主 （住職）は、東伏見家（旧 伯爵 家）出身の 東伏見慈晃 。","https://ja.wikipedia.org/wiki/青蓮院","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯35度0分26.32秒東経135度46分59.51秒","北緯35度0分26.32秒東経135度46分59.51秒﻿ / ﻿北緯35.0073111度 東経135.7831972度﻿ /35.0073111; 135.7831972座標:北緯35度0分26.32秒東経135度46分59.51秒﻿ / ﻿北緯35.0073111度 東経135.7831972度﻿ /35.0073111; 135.7831972","京都府京都市東山区粟田口三条坊町69-1","","","","","","","","7130005001899","不動明王ニ童子像（国宝）木造兜跋毘沙門天立像、往生要集、円仁自筆書状ほか（重要文化財）","久安6年（1150年）","天台宗","なし","","熾盛光如来","","","近畿三十六不動尊霊場第19番神仏霊場巡拝の道第115番（京都第35番）"
"方広寺","[方広寺大仏殿跡及び石塁・石塔（ほうこうじだいぶつでんあとおよびせきるい・せきとう）〔京都市東山区〕 -耳塚] 方広寺 （ほうこうじ）は、 京都市 東山区 にある 天台宗 の 寺院 。通称は「大仏」または「大仏殿」。 豊臣秀吉 が発願した大仏（ 盧舎那仏 ）を安置するための寺として 木食応其 によって創建された。","https://ja.wikipedia.org/wiki/方広寺","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度59分31.58秒東経135度46分19.43秒","北緯34度59分31.58秒東経135度46分19.43秒﻿ / ﻿北緯34.9921056度 東経135.7720639度﻿ /34.9921056; 135.7720639座標:北緯34度59分31.58秒東経135度46分19.43秒﻿ / ﻿北緯34.9921056度 東経135.7720639度﻿ /34.9921056; 135.7720639","京都市東山区大和大路通七条上ル茶屋町527-2","","","","","","","","2130005001912","梵鐘（重要文化財）大仏殿跡及び石塁・石塔（国の史跡）","文禄4年（1595年）","天台宗","なし","","盧舎那仏","豊臣秀吉","",""
"石川丈山","[石川丈山墓（いしかわじょうざんのはか）〔京都市左京区〕] 石川 丈山 （いしかわ じょうざん、 天正 11年（ 1583年 ） - 寛文 12年 5月23日 （ 1672年 6月18日 ））は、 安土桃山時代 から 江戸時代 初期にかけての 武将 、 文人 。父は 石川信定 。三河国出身  。 大坂の陣 後、牢人。一時、浅野家に仕官するが致仕して京都郊外に隠棲し、丈山と号した。子には 石川之昌 が、子孫に 石川竹厓 がいる。","https://ja.wikipedia.org/wiki/石川丈山","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"岩倉具視","[岩倉具視幽棲旧宅（いわくらともみゆうせいきゅうたく）〔京都市左京区〕] 岩倉 具視 （いわくら ともみ、 1825年 10月26日 （ 文政 8年 9月15日 ）- 1883年 （ 明治 16年） 7月20日 ）は、 日本 の 公家 、 政治家 。 雅号 は 対岳 。謹慎中の 法名 は 友山 。補職・ 位階 ・ 勲等 は、贈・ 太政大臣 贈 ・ 正一位 大勲位 。 維新の十傑 の1人。","https://ja.wikipedia.org/wiki/岩倉具視","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"延暦寺","[延暦寺境内（えんりゃくじけいだい）〔滋賀県大津市・京都府京都市左京区〕（「古都京都の文化財」の構成資産）] 最澄 の開創以来、 高野山 金剛峯寺 と並んで 平安仏教 の中心寺院であった。天台法華の教えのほか、 密教 、 禅 （ 止観 ）、 念仏 も行なわれ仏教の総合大学の様相を呈し、 平安時代 には 皇室 や 貴族 の尊崇を得て大きな力を持った。特に密教による 加持祈祷 は平安貴族の支持を集め、 真言宗 の 東寺 の密教（ 東密 ）に対して延暦寺の密教は「 台密 」と呼ばれ覇を競った。","https://ja.wikipedia.org/wiki/延暦寺","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯35度4分13.62秒東経135度50分27.33秒","北緯35度4分13.62秒東経135度50分27.33秒﻿ / ﻿北緯35.0704500度 東経135.8409250度﻿ /35.0704500; 135.8409250﻿ (延暦寺)座標:北緯35度4分13.62秒東経135度50分27.33秒﻿ / ﻿北緯35.0704500度 東経135.8409250度﻿ /35.0704500; 135.8409250﻿ (延暦寺)","滋賀県大津市坂本本町4220","","","","","","","","2160005000614","根本中堂、金銅経箱ほか（国宝）根本中堂廻廊、絹本著色天台大師像ほか（重要文化財）世界遺産","延暦7年（788年）","天台宗","比叡山","","薬師如来","","","新西国三十三箇所第18番（横川中堂）西国薬師四十九霊場第49番播州薬師霊場特別札所東海四十九薬師霊場特別札所近畿三十六不動尊霊場26番（無動寺）びわ湖百八霊場第108番（横川中堂）法然上人二十五霊場特別霊場（青龍寺）西山国師遺跡霊場客番(文殊楼)真盛上人二十五霊場第2番（青龍寺）・第3番（浄土院）神仏霊場巡拝の道第150番（滋賀第18番）"
"賀茂御祖神社","[賀茂御祖神社境内（かもみおやじんじゃけいだい）〔京都市左京区〕] 賀茂御祖神社 （かもみおやじんじゃ）は、 京都市 左京区 にある 神社 。通称は 下鴨神社 （しもがもじんじゃ）。 式内社 （ 名神大社 ）、 山城国 一宮 、 二十二社 （上七社）の一社。 旧社格 は 官幣大社 で、現在は 神社本庁 の 別表神社 。","https://ja.wikipedia.org/wiki/賀茂御祖神社","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯35度2分20秒東経135度46分21秒","北緯35度2分20秒東経135度46分21秒﻿ / ﻿北緯35.03889度 東経135.77250度﻿ /35.03889; 135.77250﻿ (賀茂御祖神社)座標:北緯35度2分20秒東経135度46分21秒﻿ / ﻿北緯35.03889度 東経135.77250度﻿ /35.03889; 135.77250﻿ (賀茂御祖神社)","京都府京都市左京区下鴨泉川町59","","","","","","","","","","","","","","","","","神仏霊場巡拝の道第101番（京都第21番）"
"栗栖野瓦窯跡","[栗栖野瓦窯跡（くるすのがようあと）〔京都市左京区〕] 栗栖野窯は 木村捷三郎 により 1930年 に発見され、 1934年 の京都府史蹟名勝地保存委員会による瓦窯２基の発掘調査を経て、国の 史跡 に指定された。しかし、その範囲は限られたものであり、窯は幡枝丘陵の「城山」（じやま）の南斜面一帯に築かれたが、宅地造成により、史跡指定地以外で人知れず姿を消した窯跡もある  。","https://ja.wikipedia.org/wiki/栗栖野瓦窯跡","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯35度3分52秒 東経135度46分23秒","","","","","","","","","","","","","","","","","","",""
"慈照寺","[慈照寺（銀閣寺）旧境内（じしょうじ（ぎんかくじ）きゅうけいだい）〔京都市左京区〕（「古都京都の文化財」の構成資産）] 慈照寺 （じしょうじ）は、 京都市 左京区 銀閣寺町にある 臨済宗 相国寺派 の 寺院 。 相国寺 の境外 塔頭 である。観音殿（銀閣）から 銀閣寺 （ぎんかくじ）として知られている。正式には、東山慈照禅寺（とうざんじしょうぜんじ）と号する。 山号 は 東山 （とうざん）。 開基 （創立者）は 足利義政 、 開山 は 夢窓疎石 とされているが、夢窓疎石は実際には当寺創建より1世紀ほど前の人物であり、勧請開山である。","https://ja.wikipedia.org/wiki/慈照寺","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯35度1分36.75秒東経135度47分53.7秒","北緯35度1分36.75秒東経135度47分53.7秒﻿ / ﻿北緯35.0268750度 東経135.798250度﻿ /35.0268750; 135.798250﻿ (慈照寺)座標:北緯35度1分36.75秒東経135度47分53.7秒﻿ / ﻿北緯35.0268750度 東経135.798250度﻿ /35.0268750; 135.798250﻿ (慈照寺)","京都府京都市左京区銀閣寺町2","","","","","","","","4130005001290","観音殿、東求堂（国宝）絹本著色春屋妙葩像（重要文化財）庭園（特別名勝、特別史跡）世界遺産","延徳2年（1490年）","相国寺派","東山（とうざん）","","釈迦如来","足利義政","","神仏霊場巡拝の道第109番（京都第29番）"
