"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","標高","山系","種類","初登頂","最高峰","最新噴火","延長","幅","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden"
"笠ヶ岳 (長野県)"," 笠ヶ岳 （かさがたけ）は、 長野県 下高井郡 山ノ内町 と 上高井郡 高山村 の境にある標高2,076mの山。笠岳とも呼ばれる。 日本三百名山 や 信州百名山 に選定されている。","https://ja.wikipedia.org/wiki/笠ヶ岳_(長野県)","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯36度67分80.3秒東経138度48分13.5秒","長野県下高井郡山ノ内町、上高井郡高山村","北緯36度67分80.3秒東経138度48分13.5秒﻿ / ﻿北緯37.138972度 東経138.803750度﻿ /37.138972; 138.803750座標: 緯度の分が60以上です座標: 緯度の秒が60以上です座標:北緯36度67分80.3秒東経138度48分13.5秒﻿ / ﻿北緯37.138972度 東経138.803750度﻿ /37.138972; 138.803750座標: 緯度の分が60以上です座標: 緯度の秒が60以上です{{#coordinates:}}: 緯度 (lat) の値が無効です","2,076m","志賀高原","","","","","","","","","","","","","","",""
"横手山"," 横手山 （よこてやま）は、 長野県 下高井郡 山ノ内町 と 群馬県 吾妻郡 中之条町 との境にある 火山 である。","https://ja.wikipedia.org/wiki/横手山","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯36度40分08秒東経138度31分33秒","日本長野県下高井郡山ノ内町・群馬県吾妻郡中之条町","北緯36度40分08秒東経138度31分33秒﻿ / ﻿北緯36.66889度 東経138.52583度﻿ /36.66889; 138.52583座標:北緯36度40分08秒東経138度31分33秒﻿ / ﻿北緯36.66889度 東経138.52583度﻿ /36.66889; 138.52583","2,307m","志賀高原","","","","","","","","","","","","","","",""
"諏訪山"," 諏訪山 （すわやま）は、 群馬県 多野郡 上野村 にある 標高 1,549mの 山 である。 日本山岳会 が選定した 日本三百名山 の一つ。","https://ja.wikipedia.org/wiki/諏訪山","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯36度2分24秒東経138度43分46秒","日本群馬県多野郡上野村","北緯36度2分24秒東経138度43分46秒﻿ / ﻿北緯36.04000度 東経138.72944度﻿ /36.04000; 138.72944","1,549.4m","","","","","","","","","","","","","","","",""
"斑尾山"," 斑尾山 （まだらおやま、まだらおさん）は、 長野県 飯山市 ・ 信濃町 との境にある、標高1382mの 火山 。 北信五岳 のひとつ。約70万年前頃から51万年前にかけて活動した  。","https://ja.wikipedia.org/wiki/斑尾山","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯36度50分13秒東経138度16分25秒","長野県飯山市、中野市、上水内郡信濃町、飯綱町、新潟県妙高市","北緯36度50分13秒東経138度16分25秒﻿ / ﻿北緯36.83694度 東経138.27361度﻿ /36.83694; 138.27361座標:北緯36度50分13秒東経138度16分25秒﻿ / ﻿北緯36.83694度 東経138.27361度﻿ /36.83694; 138.27361","1,382m","","成層火山","","","","","","","","","","","","","",""
"新潟焼山"," 新潟焼山 （にいがたやけやま）は、 新潟県 西部の 糸魚川市 と 妙高市 にある 頸城山塊 の 標高 2,400 m の 活火山 。通常「 焼山 」と呼ばれ     、 同名の山 と区別する際に「新潟焼山」の名称が用いられることがある  。 気象庁 が24時間体制で観測を行う全国47の常時観測火山の一つである  。","https://ja.wikipedia.org/wiki/新潟焼山","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯36度55分15秒東経138度02分09秒","日本新潟県糸魚川市、妙高市","北緯36度55分15秒東経138度02分09秒﻿ / ﻿北緯36.92083度 東経138.03583度﻿ /36.92083; 138.03583","2,400.26m","頸城山塊","成層火山（活火山ランクB）噴火警戒レベル1（活火山であることに留意）・常時観測火山","","","2016年","","","","","","","","","","",""
"黒姫山 (糸魚川市)"," 黒姫山 （くろひめやま）とは、 新潟県 糸魚川市 にある 山 のこと。 標高 1,221m   。 青海黒姫山 ともいう。","https://ja.wikipedia.org/wiki/黒姫山_(糸魚川市)","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯36度58分36秒東経137度47分24秒","新潟県糸魚川市","北緯36度58分36秒東経137度47分24秒﻿ / ﻿北緯36.97667度 東経137.79000度﻿ /36.97667; 137.79000","1,221m","飛騨山脈","","","","","","","","","","","","","","",""
"朝日岳 (飛騨山脈)"," 朝日岳 （あさひだけ）は、 飛騨山脈 （北アルプス） 後立山連峰 にある 標高 2,418mの 山 。 富山県 と 新潟県 にまたがる。","https://ja.wikipedia.org/wiki/朝日岳_(飛騨山脈)","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯36度49分36秒東経137度43分48秒","日本新潟県糸魚川市富山県下新川郡朝日町","北緯36度49分36秒東経137度43分48秒﻿ / ﻿北緯36.82667度 東経137.73000度﻿ /36.82667; 137.73000座標:北緯36度49分36秒東経137度43分48秒﻿ / ﻿北緯36.82667度 東経137.73000度﻿ /36.82667; 137.73000","2,417.97m","飛騨山脈（後立山連峰）","","","","","","","","","","","","","","",""
"唐松岳"," 唐松岳 （からまつだけ）は 飛騨山脈 （北アルプス）の 後立山連峰 にある 長野県 北安曇郡 白馬村 と 富山県 黒部市 にまたがる 標高 2,695.9 m の山    。別名が上犬ヶ嶽  。 剱岳 ・ 立山 ・ 鹿島槍ヶ岳 と並び、日本では数少ない 氷河 の現存する山である  。","https://ja.wikipedia.org/wiki/唐松岳","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯36度41分14秒東経137度45分17秒","日本長野県北安曇郡白馬村、富山県黒部市","北緯36度41分14秒東経137度45分17秒﻿ / ﻿北緯36.68722度 東経137.75472度﻿ /36.68722; 137.75472座標:北緯36度41分14秒東経137度45分17秒﻿ / ﻿北緯36.68722度 東経137.75472度﻿ /36.68722; 137.75472","2,695.9m","後立山連峰（飛騨山脈北部）","","","","","","","","","","","","","","",""
"爺ヶ岳"," 爺ヶ岳 （じいがたけ）は、 富山県 中新川郡 立山町 と 長野県 大町市 にまたがる、 飛騨山脈 （北アルプス）・ 後立山連峰 南部の 標高 2,670 m の 山 。山名は長野県側では「 じ いがたけ」と頭高型 アクセント で発音される。また栂山・栂谷ノ峯・後立山・五六ヶ岳・爺岳・爺子岳の別称を持つ  。","https://ja.wikipedia.org/wiki/爺ヶ岳","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯36度35分18秒東経137度45分03秒","日本富山県中新川郡立山町長野県大町市","北緯36度35分18秒東経137度45分03秒﻿ / ﻿北緯36.58833度 東経137.75083度﻿ /36.58833; 137.75083座標:北緯36度35分18秒東経137度45分03秒﻿ / ﻿北緯36.58833度 東経137.75083度﻿ /36.58833; 137.75083","2,669.82m","飛騨山脈（後立山連峰）","褶曲・隆起","","","","","","","","","","","","","",""
"蓮華岳"," 蓮華岳 （れんげだけ）は、 飛騨山脈 北部  、 富山県 中新川郡 立山町 と 長野県 大町市 とにまたがる 標高 2,799 m の 山   。 日本で66番目に高い 山  。針ノ木峠を挟んで 針ノ木岳 の東側に対峙している。","https://ja.wikipedia.org/wiki/蓮華岳","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯36度32分09秒東経137度42分38秒","日本富山県中新川郡立山町長野県大町市","北緯36度32分09秒東経137度42分38秒﻿ / ﻿北緯36.53583度 東経137.71056度﻿ /36.53583; 137.71056座標:北緯36度32分09秒東経137度42分38秒﻿ / ﻿北緯36.53583度 東経137.71056度﻿ /36.53583; 137.71056","2,798.73m","飛騨山脈","","","","","","","","","","","","","","",""
"野口五郎岳"," 野口五郎岳 （のぐちごろうだけ）は、 飛騨山脈 中部にある、標高2,924mの 山 。","https://ja.wikipedia.org/wiki/野口五郎岳","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯36度25分57秒東経137度38分16秒","富山県富山市、長野県大町市","北緯36度25分57秒東経137度38分16秒﻿ / ﻿北緯36.43250度 東経137.63778度﻿ /36.43250; 137.63778座標:北緯36度25分57秒東経137度38分16秒﻿ / ﻿北緯36.43250度 東経137.63778度﻿ /36.43250; 137.63778","2,924.3m","飛騨山脈","","","","","","","","","","","","","","",""
"三俣蓮華岳"," 三俣蓮華岳 （みつまたれんげだけ）は 飛騨山脈 にある 標高 2,841 m の 山 。古くは 立山 七十二峰の1つに数えられてきた。山域は 中部山岳国立公園 に指定されている  。 日本三百名山 に選定されている  。","https://ja.wikipedia.org/wiki/三俣蓮華岳","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯36度23分24秒東経137度35分16秒","日本富山県富山市長野県大町市岐阜県高山市","北緯36度23分24秒東経137度35分16秒﻿ / ﻿北緯36.39000度 東経137.58778度﻿ /36.39000; 137.58778座標:北緯36度23分24秒東経137度35分16秒﻿ / ﻿北緯36.39000度 東経137.58778度﻿ /36.39000; 137.58778","2,841.37m","飛騨山脈（立山連峰、後立山連峰、穂高連峰）","","","","","","","","","","","","","","",""
"鍬崎山"," 鍬崎山 （くわさきやま）は、 飛騨山脈 （北アルプス） 立山連峰 にある 富山県 富山市 の 標高 2,090 m の 山 。連峰の主 稜線 からやや離れた位置にそびえる。 日本三百名山 及び 富山の百山 の一つ。","https://ja.wikipedia.org/wiki/鍬崎山","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯36度32分24秒東経137度28分41秒","日本富山県富山市","北緯36度32分24秒東経137度28分41秒﻿ / ﻿北緯36.54000度 東経137.47806度﻿ /36.54000; 137.47806","2,089.7m","飛騨山脈（立山連峰）","","","","","","","","","","","","","","",""
"鉢盛山"," 鉢盛山 （はちもりやま）は、 長野県 西部の 松本地域 と 木曽地域 との境界にある 標高 2,447 m の 山   。","https://ja.wikipedia.org/wiki/鉢盛山","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯36度5分12秒東経137度45分17秒","日本長野県松本市東筑摩郡朝日村木曽郡木祖村","北緯36度5分12秒東経137度45分17秒﻿ / ﻿北緯36.08667度 東経137.75472度﻿ /36.08667; 137.75472座標:北緯36度5分12秒東経137度45分17秒﻿ / ﻿北緯36.08667度 東経137.75472度﻿ /36.08667; 137.75472","2,446.43m","飛騨山脈","","","","","","","","","","","","","","",""
"入笠山"," 入笠山 （にゅうかさやま、にゅうがさやま）は、 長野県 の中西部にある 赤石山脈（南アルプス） 北端の標高1,955 m の 山 。","https://ja.wikipedia.org/wiki/入笠山","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯35度53分47秒東経138度10分18秒","長野県伊那市、諏訪郡富士見町","北緯35度53分47秒東経138度10分18秒﻿ / ﻿北緯35.89639度 東経138.17167度﻿ /35.89639; 138.17167座標:北緯35度53分47秒東経138度10分18秒﻿ / ﻿北緯35.89639度 東経138.17167度﻿ /35.89639; 138.17167","1,955.10m","赤石山脈","","","","","","","","","","","","","","",""
"アサヨ峰"," アサヨ峰 （アサヨみね）は、 赤石山脈 の 甲斐駒ヶ岳 と 鳳凰山 とを結ぶ早川尾根上にある 山 である。 標高 は2,799m。甲斐駒ヶ岳、 仙丈ヶ岳 、 北岳 といった南アルプス北部の山々を好位置で展望することができる。","https://ja.wikipedia.org/wiki/アサヨ峰","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯35度43分54秒東経138度14分29秒","日本山梨県南アルプス市・北杜市","北緯35度43分54秒東経138度14分29秒﻿ / ﻿北緯35.73167度 東経138.24139度﻿ /35.73167; 138.24139座標:北緯35度43分54秒東経138度14分29秒﻿ / ﻿北緯35.73167度 東経138.24139度﻿ /35.73167; 138.24139","2,799m","赤石山脈","","","","","","","","","","","","","","",""
"奥茶臼山"," 奥茶臼山 （おくちゃうすやま）は、 長野県 飯田市 と 下伊那郡 大鹿村 にまたがる 赤石山脈 （南アルプス）の 標高 2,474 m の 山  。山頂には二等 三角点 が設置されていて  、山頂部は大鹿村に位置する  。","https://ja.wikipedia.org/wiki/奥茶臼山","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯35度29分06秒東経138度04分09秒","日本長野県飯田市、下伊那郡大鹿村","北緯35度29分06秒東経138度04分09秒﻿ / ﻿北緯35.48500度 東経138.06917度﻿ /35.48500; 138.06917座標:北緯35度29分06秒東経138度04分09秒﻿ / ﻿北緯35.48500度 東経138.06917度﻿ /35.48500; 138.06917","2,474.42m","赤石山脈","","","","","","","","","","","","","","",""
"茶臼岳 (赤石山脈)"," 茶臼岳 （ちゃうすだけ）は、 赤石山脈 （南アルプス）南部の 長野県 飯田市 との 静岡市 葵区 境界に位置する 標高 2,604 m の 山 で、 日本三百名山  に選定されている。","https://ja.wikipedia.org/wiki/茶臼岳_(赤石山脈)","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯35度22分9秒東経138度8分26秒","日本長野県飯田市静岡県静岡市葵区","北緯35度22分9秒東経138度8分26秒﻿ / ﻿北緯35.36917度 東経138.14056度﻿ /35.36917; 138.14056座標:北緯35度22分9秒東経138度8分26秒﻿ / ﻿北緯35.36917度 東経138.14056度﻿ /35.36917; 138.14056","2,604m","赤石山脈","褶曲隆起","","","","","","","","","","","","","",""
"黒法師岳"," 黒法師岳 （くろぼうしがたけ）は、 静岡県 浜松市 と 川根本町 の境界にある 山 。 南アルプス 深南部の山の一つ。標高2,068m   。","https://ja.wikipedia.org/wiki/黒法師岳","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯35度11分46秒東経138度1分46秒","静岡県浜松市天竜区榛原郡川根本町","北緯35度11分46秒東経138度1分46秒﻿ / ﻿北緯35.19611度 東経138.02944度﻿ /35.19611; 138.02944座標:北緯35度11分46秒東経138度1分46秒﻿ / ﻿北緯35.19611度 東経138.02944度﻿ /35.19611; 138.02944","2,068.09m","赤石山脈","","","","","","","","","","","","","","",""
"高塚山 (浜松市天竜区水窪町)"," 高塚山 （たかつかやま）は、 静岡県 浜松市 天竜区 水窪町にある標高1,621mの山。 日本三百名山 に選定されている。","https://ja.wikipedia.org/wiki/高塚山_(浜松市天竜区水窪町)","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯35度6分55秒東経138度0分13秒","静岡県浜松市","北緯35度6分55秒東経138度0分13秒﻿ / ﻿北緯35.11528度 東経138.00361度﻿ /35.11528; 138.00361座標:北緯35度6分55秒東経138度0分13秒﻿ / ﻿北緯35.11528度 東経138.00361度﻿ /35.11528; 138.00361","1,020m","山地","","","","","","","","","","","","","","",""
"熊伏山"," 熊伏山 （くまぶしやま、くまぶせやま）は 長野県 飯田市 と 下伊那郡 天龍村 の間に位置する標高1653mの山である。 日本三百名山 、 信州百名山 に選定されている。すぐ東側を 中央構造線 が通り、崩壊が多いことで知られる 青崩峠 がある。","https://ja.wikipedia.org/wiki/熊伏山","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯35度15分47.6秒東経137度53分41.5秒","日本長野県飯田市・下伊那郡天龍村","北緯35度15分47.6秒東経137度53分41.5秒﻿ / ﻿北緯35.263222度 東経137.894861度﻿ /35.263222; 137.894861座標:北緯35度15分47.6秒東経137度53分41.5秒﻿ / ﻿北緯35.263222度 東経137.894861度﻿ /35.263222; 137.894861","1,653.3mm","独立峰","","","","","","","","","","","","","","",""
"山伏 (赤石山脈)"," 山伏 （やんぶし）は、 山梨県 南巨摩郡 早川町 と 静岡県 静岡市 葵区 との境にある山である。 赤石山脈 の 白峰南嶺 に続く山で、同嶺の最南の2,000m峰であり、安倍川流域の最高峰でもある。 標高 2,013.2m。","https://ja.wikipedia.org/wiki/山伏_(赤石山脈)","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯35度18分16秒東経138度17分07秒","日本山梨県南巨摩郡早川町・静岡県静岡市葵区","北緯35度18分16秒東経138度17分07秒﻿ / ﻿北緯35.30444度 東経138.28528度﻿ /35.30444; 138.28528座標:北緯35度18分16秒東経138度17分07秒﻿ / ﻿北緯35.30444度 東経138.28528度﻿ /35.30444; 138.28528","2,013.2m","赤石山脈（白峰南嶺）","","","","","","","","","","","","","","",""
"奥三界岳"," 奥三界岳 （おくさんがいだけ）は、 岐阜県 中津川市 、 長野県 木曽郡 南木曽町 および 大桑村 にまたがる 阿寺山地 の 標高 1,811 m の 山   。地元では古くから 奥三界山 （おくさんがいさん）と呼ばれている  。「 日本三百名山 」  および「 ぎふ百山 」  に選定されている。山域は岐阜県の「裏木曽県立自然公園」に指定されている。","https://ja.wikipedia.org/wiki/奥三界岳","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯35度40分54秒東経137度30分26秒","日本岐阜県中津川市長野県木曽郡南木曽町、大桑村","北緯35度40分54秒東経137度30分26秒﻿ / ﻿北緯35.68167度 東経137.50722度﻿ /35.68167; 137.50722座標:北緯35度40分54秒東経137度30分26秒﻿ / ﻿北緯35.68167度 東経137.50722度﻿ /35.68167; 137.50722","1,810.69m","阿寺山地","","","","","","","","","","","","","","",""
"越百山"," 越百山 （こすもやま）は、 長野県 上伊那郡 飯島町 と 木曽郡 大桑村 にまたがる 標高 2,614 m の 山   。北には 南駒ヶ岳 、南は 奥念丈岳 へと続く 木曽山脈 （中央アルプス）南部の主稜線上にある。別名が越百岳（こすもだけ）   。","https://ja.wikipedia.org/wiki/越百山","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯35度40分46秒東経137度48分12秒","日本長野県上伊那郡飯島町、木曽郡大桑村","北緯35度40分46秒東経137度48分12秒﻿ / ﻿北緯35.67944度 東経137.80333度﻿ /35.67944; 137.80333座標:北緯35度40分46秒東経137度48分12秒﻿ / ﻿北緯35.67944度 東経137.80333度﻿ /35.67944; 137.80333","2,613.24m","木曽山脈（中央アルプス）","褶曲・隆起","","","","","","","","","","","","","",""
"南木曽岳"," 南木曽岳 （なぎそだけ）は、 木曽山脈（中央アルプス） 南西部、 長野県 南木曽町 にある 標高 1,679 m  の 山 。 日本三百名山 に選定されていて  、長野県の「県自然環境保全地域」の指定を受けている山である   。","https://ja.wikipedia.org/wiki/南木曽岳","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯35度35分33秒東経137度38分39秒","長野県木曽郡南木曽町","北緯35度35分33秒東経137度38分39秒﻿ / ﻿北緯35.59250度 東経137.64417度﻿ /35.59250; 137.64417座標:北緯35度35分33秒東経137度38分39秒﻿ / ﻿北緯35.59250度 東経137.64417度﻿ /35.59250; 137.64417","1,679m","木曽山脈（中央アルプス）","隆起（花崗岩）","","","","","","","","","","","","","",""
"白木峰"," 白木峰 （しらきみね）は、 富山県 富山市 と 岐阜県 飛騨市 の県境に位置する標高1,596mの山である。山頂に広大な草原と様々な高山植物が見られるのが特徴。 白木水無県立自然公園 の中心の山。 日本三百名山 、 ぎふ百山 に選ばれている。","https://ja.wikipedia.org/wiki/白木峰","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯36度24分56.1秒東経137度6分44.5秒","日本富山県富山市・岐阜県飛騨市","北緯36度24分56.1秒東経137度6分44.5秒﻿ / ﻿北緯36.415583度 東経137.112361度﻿ /36.415583; 137.112361座標:北緯36度24分56.1秒東経137度6分44.5秒﻿ / ﻿北緯36.415583度 東経137.112361度﻿ /36.415583; 137.112361","1,596m","飛騨高地","","","","","","","","","","","","","","",""
"人形山"," 人形山 （にんぎょうざん）は、 富山県 南砺市 （ 五箇山 地域）と 岐阜県 白川村 （ 白川郷 ）にまたがる 飛騨高地 北部に位置する 標高 1,726 m の 山 である  。 日本三百名山  、 新日本百名山  および ぎふ百山  の一つに選定されている。 登山 口は富山県側にある。","https://ja.wikipedia.org/wiki/人形山","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯36度20分56秒東経136度56分23秒","日本富山県南砺市岐阜県大野郡白川村","北緯36度20分56秒東経136度56分23秒﻿ / ﻿北緯36.34889度 東経136.93972度﻿ /36.34889; 136.93972座標:北緯36度20分56秒東経136度56分23秒﻿ / ﻿北緯36.34889度 東経136.93972度﻿ /36.34889; 136.93972","1,726m","飛騨高地","","","","","","","","","","","","","","",""
"医王山"," 医王山 （いおうぜん）  は、 石川県 金沢市 と 富山県 南砺市 にまたがる 標高 939 m の 山塊 である。白兀山、奥医王山及び前医王山などの山塊の総称で、最高点の 奥医王山 には 一等三角点 が設置されている  。 日本三百名山  及び 新・花の百名山  に選定されている。","https://ja.wikipedia.org/wiki/医王山","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯36度30分46秒東経136度47分46秒","石川県金沢市富山県南砺市","北緯36度30分46秒東経136度47分46秒﻿ / ﻿北緯36.51278度 東経136.79611度﻿ /36.51278; 136.79611","939.07m","両白山地","","719年（泰澄大師）","","","","","","","","","","","","",""
"大門山"," 大門山 （だいもんざん）は、 両白山地 北部の 石川県 金沢市 と 富山県 南砺市 との県境にある 標高 1,572 m の 山 。別名が「 加賀富士 」   。","https://ja.wikipedia.org/wiki/大門山","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯36度21分55秒東経136度48分13秒","日本石川県金沢市、富山県南砺市","北緯36度21分55秒東経136度48分13秒﻿ / ﻿北緯36.36528度 東経136.80361度﻿ /36.36528; 136.80361座標:北緯36度21分55秒東経136度48分13秒﻿ / ﻿北緯36.36528度 東経136.80361度﻿ /36.36528; 136.80361","1571.59m","両白山地","","","","","","","","","","","","","","",""
"大笠山"," 大笠山 （おおがさやま）は、 石川県 白山市 と 富山県 南砺市 との県境にある 標高 1,822 m の 両白山地 の 山 。 日本三百名山 に選定されている  。","https://ja.wikipedia.org/wiki/大笠山","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯36度19分14秒東経136度47分23秒","石川県白山市富山県南砺市","北緯36度19分14秒東経136度47分23秒﻿ / ﻿北緯36.32056度 東経136.78972度﻿ /36.32056; 136.78972座標:北緯36度19分14秒東経136度47分23秒﻿ / ﻿北緯36.32056度 東経136.78972度﻿ /36.32056; 136.78972","1,821.84m","両白山地","","","","","","","","","","","","","","",""
"三方岩岳"," 三方岩岳 （さんぽういわだけ）は、 石川県 白山市 と 岐阜県 大野郡 白川村 にまたがり、 両白山地 の北部に位置する 標高 1,736 m の 山 である。 白山国立公園 内にあり  、 日本三百名山  及び ぎふ百山  に選定されている。","https://ja.wikipedia.org/wiki/三方岩岳","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯36度15分30秒東経136度50分40秒","石川県白山市岐阜県大野郡白川村","北緯36度15分30秒東経136度50分40秒﻿ / ﻿北緯36.25833度 東経136.84444度﻿ /36.25833; 136.84444座標:北緯36度15分30秒東経136度50分40秒﻿ / ﻿北緯36.25833度 東経136.84444度﻿ /36.25833; 136.84444","1,736m","両白山地","火山","","","","","","","","","","","","","",""
"猿ヶ馬場山 (岐阜県)"," 猿ヶ馬場山 （さるがばんばやま）は、 岐阜県 大野郡 白川村 の 白川郷 の東側に位置する 飛騨高地 最高峰 の 標高 1,875 m の 山 。","https://ja.wikipedia.org/wiki/猿ヶ馬場山_(岐阜県)","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯36度13分33秒東経136度56分34秒","日本岐阜県大野郡白川村","北緯36度13分33秒東経136度56分34秒﻿ / ﻿北緯36.22583度 東経136.94278度﻿ /36.22583; 136.94278座標:北緯36度13分33秒東経136度56分34秒﻿ / ﻿北緯36.22583度 東経136.94278度﻿ /36.22583; 136.94278","1,875m","飛騨高地","","","","","","","","","","","","","","",""
"経ヶ岳 (福井県)"," 経ヶ岳 （きょうがたけ）は、 福井県 勝山市 と 大野市 の境にある 標高 1,625 m の 山 。 白山国立公園 の特別地域  ・ 恐竜渓谷ふくい勝山ジオパーク  ・ 奥越高原県立自然公園  内にある。 日本三百名山 に選定されている  。","https://ja.wikipedia.org/wiki/経ヶ岳_(福井県)","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯36度02分47秒東経136度37分19秒","日本福井県勝山市・大野市","北緯36度02分47秒東経136度37分19秒﻿ / ﻿北緯36.04639度 東経136.62194度﻿ /36.04639; 136.62194座標:北緯36度02分47秒東経136度37分19秒﻿ / ﻿北緯36.04639度 東経136.62194度﻿ /36.04639; 136.62194","1,625.20m","両白山地","成層火山","","","","","","","","","","","","","",""
"野伏ヶ岳"," 野伏ヶ岳 （のぶせがたけ）は、 岐阜県 郡上市 白鳥町 と 福井県 大野市 の境にある、 標高 1,674 m の 山 。 両白山地 の山で、 日本三百名山  及び ぎふ百山  に選定されている。","https://ja.wikipedia.org/wiki/野伏ヶ岳","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯36度00分46秒東経136度43分57秒","日本岐阜県郡上市白鳥町福井県大野市","北緯36度00分46秒東経136度43分57秒﻿ / ﻿北緯36.01278度 東経136.73250度﻿ /36.01278; 136.73250座標:北緯36度00分46秒東経136度43分57秒﻿ / ﻿北緯36.01278度 東経136.73250度﻿ /36.01278; 136.73250","1,674.28m","両白山地","","","","","","","","","","","","","","",""
"鷲ヶ岳 (岐阜県)"," 鷲ヶ岳 （わしがたけ）は、 岐阜県 郡上市 と 高山市 にまたがる 飛騨高地 の 標高 1,671 m の 山 。 日本三百名山  および ぎふ百山  の一つに選定されている。別称は、「雲ヶ嶽」（雲ヶ岳　くもがたけ）  、「雲ヶ峰」  。","https://ja.wikipedia.org/wiki/鷲ヶ岳_(岐阜県)","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯35度56分25秒東経136度58分17秒","日本岐阜県郡上市・高山市","北緯35度56分25秒東経136度58分17秒﻿ / ﻿北緯35.94028度 東経136.97139度﻿ /35.94028; 136.97139座標:北緯35度56分25秒東経136度58分17秒﻿ / ﻿北緯35.94028度 東経136.97139度﻿ /35.94028; 136.97139","1,671.48m","飛騨高地","","","","","","","","","","","","","","",""
"川上岳"," 川上岳 （かおれだけ）は、 岐阜県 下呂市 と 高山市 にまたがる標高1,625mの 山   。 日本三百名山 に選定されている。","https://ja.wikipedia.org/wiki/川上岳","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯36度00分29秒東経137度08分58秒","岐阜県高山市、下呂市","北緯36度00分29秒東経137度08分58秒﻿ / ﻿北緯36.00806度 東経137.14944度﻿ /36.00806; 137.14944","1,625m","飛騨高地","","","","","","","","","","","","","","",""
"冠山 (岐阜・福井県境)"," 冠山 （かんむりやま）は、 両白山地 南部の越美山地の 岐阜県 と 福井県 にまたがる 標高 1,256 m の 山 である。 揖斐川 及び 九頭竜川 支流 の 足羽川 の源流となる山で、 冠山峠 がその 分水嶺 となっている。","https://ja.wikipedia.org/wiki/冠山_(岐阜・福井県境)","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯35度46分47秒東経136度24分34秒","日本岐阜県揖斐郡揖斐川町福井県今立郡池田町","北緯35度46分47秒東経136度24分34秒﻿ / ﻿北緯35.77972度 東経136.40944度﻿ /35.77972; 136.40944座標:北緯35度46分47秒東経136度24分34秒﻿ / ﻿北緯35.77972度 東経136.40944度﻿ /35.77972; 136.40944","1,256.57m","両白山地（越美山地）","","","","","","","","","","","","","","",""
