"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","標高","山系","種類","上位山系","最高峰","最新噴火","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden"
"半田山","[半田山] 半田山 （はんだやま）","https://ja.wikipedia.org/wiki/半田山","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"信夫山","[信夫山] 信夫山 （しのぶやま）は 福島県 福島市 の中心市街地北部にある山である。標高275 m 。","https://ja.wikipedia.org/wiki/信夫山","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","北緯37度46分33.8秒東経140度28分27.6秒","日本福島県福島市","北緯37度46分33.8秒東経140度28分27.6秒﻿ / ﻿北緯37.776056度 東経140.474333度﻿ /37.776056; 140.474333座標:北緯37度46分33.8秒東経140度28分27.6秒﻿ / ﻿北緯37.776056度 東経140.474333度﻿ /37.776056; 140.474333","275m","","","","","","","","","","","","","","","",""
"羽山 (存在しないページ)","[羽山]","https://ja.wikipedia.org/w/index.php?title=羽山&amp;action=edit&amp;redlink=1","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"霊山 (福島県)","[霊山（東北）（新）] 霊山 （りょうぜん）は、 福島県 伊達市 と 相馬市 との境にそびえる標高825メートルの山  。国の 名勝 、 日本百景 、 県立自然公園 および うつくしま百名山 に指定されている。また、 南北朝時代 の重要な 城跡 遺構として国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/霊山_(福島県)","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","北緯37度46分08秒東経140度41分15秒","日本福島県伊達市・相馬市","北緯37度46分08秒東経140度41分15秒﻿ / ﻿北緯37.76889度 東経140.68750度﻿ /37.76889; 140.68750座標:北緯37度46分08秒東経140度41分15秒﻿ / ﻿北緯37.76889度 東経140.68750度﻿ /37.76889; 140.68750","825m","阿武隈高地","","","","","","","","","","","","","","",""
"虎捕山 (存在しないページ)","[虎捕山]","https://ja.wikipedia.org/w/index.php?title=虎捕山&amp;action=edit&amp;redlink=1","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"女神山","[女神山] 女神山 （めがみやま）は、 秋田県 仙北郡 美郷町 と 岩手県 和賀郡 西和賀町 の境にある山である。標高は955.4m。山頂には三等 三角点 「女神山」が設置されている。","https://ja.wikipedia.org/wiki/女神山","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","北緯39度25分01秒東経140度40分30秒","日本秋田県仙北郡美郷町,岩手県和賀郡西和賀町","北緯39度25分01秒東経140度40分30秒﻿ / ﻿北緯39.41694度 東経140.67500度﻿ /39.41694; 140.67500座標:北緯39度25分01秒東経140度40分30秒﻿ / ﻿北緯39.41694度 東経140.67500度﻿ /39.41694; 140.67500","955.4m","真昼山地","","","","","","","","","","","","","","",""
"千貫森","[千貫森] 千貫森 （せんがんもり）は、 福島県 福島市 飯野町青木 にあり、 阿武隈高地 に位置する 標高 462.3 メートル の 山 。","https://ja.wikipedia.org/wiki/千貫森","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","北緯37度41分22.7秒東経140度32分07.7秒","日本福島県福島市飯野町青木","北緯37度41分22.7秒東経140度32分07.7秒﻿ / ﻿北緯37.689639度 東経140.535472度﻿ /37.689639; 140.535472座標:北緯37度41分22.7秒東経140度32分07.7秒﻿ / ﻿北緯37.689639度 東経140.535472度﻿ /37.689639; 140.535472","462.3m","阿武隈高地","","","","","","","","","","","","","","",""
"花塚山","[花塚山] 花塚山 （はなづかやま）は、 福島県 伊達郡 川俣町 と 相馬郡 飯舘村 の境にある 山 である。 富士山 が見える北限である。","https://ja.wikipedia.org/wiki/花塚山","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","北緯37度39分11.8秒東経140度40分05.5秒","日本福島県伊達郡川俣町・相馬郡飯舘村","北緯37度39分11.8秒東経140度40分05.5秒﻿ / ﻿北緯37.653278度 東経140.668194度﻿ /37.653278; 140.668194座標:北緯37度39分11.8秒東経140度40分05.5秒﻿ / ﻿北緯37.653278度 東経140.668194度﻿ /37.653278; 140.668194","918.5m","阿武隈高地","","","","","","","","","","","","","","",""
"木幡山","[木幡山] 木幡山 （こはたやま）は 福島県 の 二本松市 と 伊達郡 川俣町 との境にある標高666.3mの低山。","https://ja.wikipedia.org/wiki/木幡山","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","北緯37度37分34.7秒東経140度34分51.4秒","福島県二本松市、川俣町","北緯37度37分34.7秒東経140度34分51.4秒﻿ / ﻿北緯37.626306度 東経140.580944度﻿ /37.626306; 140.580944﻿ (木幡山)","666.3m","阿武隈高地","","","","","","","","","","","","","","",""
"口太山","[口太山] 口太山 （くちぶとやま）は、 福島県 二本松市 と同県 伊達郡 川俣町 の境に山頂を有する 山 である。","https://ja.wikipedia.org/wiki/口太山","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","北緯37度36分40秒東経140度36分35秒","日本福島県二本松市・伊達郡川俣町","北緯37度36分40秒東経140度36分35秒﻿ / ﻿北緯37.61111度 東経140.60972度﻿ /37.61111; 140.60972座標:北緯37度36分40秒東経140度36分35秒﻿ / ﻿北緯37.61111度 東経140.60972度﻿ /37.61111; 140.60972","842.3m","阿武隈高地","","","","","","","","","","","","","","",""
"麓山 (存在しないページ)","[麓山]","https://ja.wikipedia.org/w/index.php?title=麓山&amp;action=edit&amp;redlink=1","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"日山","[日山] 日山 （ひやま）は、 福島県 二本松市 と 葛尾村 の境界にそびえる 山 。別名・天王山。 標高 1,054m。 うつくしま百名山 に選定されている。以前は 富士山 が撮影できる北限とされていた。","https://ja.wikipedia.org/wiki/日山","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","北緯37度32分36.5秒東経140度41分3.3秒","福島県二本松市、田村市川俣町、浪江町、葛尾村","北緯37度32分36.5秒東経140度41分3.3秒﻿ / ﻿北緯37.543472度 東経140.684250度﻿ /37.543472; 140.684250","1,054m","阿武隈高地","","","","","","","","","","","","","","",""
"五十人山","[五十人山] 五十人山 （ごじゅうにんやま）は、 福島県 双葉郡 葛尾村 と 田村市 にまたがる 阿武隈高地 に属する 山 。 標高 883m  。 うつくしま百名山 に選ばれている。","https://ja.wikipedia.org/wiki/五十人山","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","北緯37度29分3.3秒東経140度44分44.2秒","福島県田村市、葛尾村","北緯37度29分3.3秒東経140度44分44.2秒﻿ / ﻿北緯37.484250度 東経140.745611度﻿ /37.484250; 140.745611","883m","阿武隈高地","","","","","","","","","","","","","","",""
"鎌倉岳","[鎌倉岳（常磐）（東北）] ","https://ja.wikipedia.org/wiki/鎌倉岳","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"移ヶ岳 (存在しないページ)","[移ヶ岳]","https://ja.wikipedia.org/w/index.php?title=移ヶ岳&amp;action=edit&amp;redlink=1","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"片曽根山","[片曽根山] 片曽根山 （かたそねやま）は、 福島県 田村市 にある 山 。 標高 718.6m。 うつくしま百名山 に選定されている。その山容の美しさから 田村富士 と言われている。","https://ja.wikipedia.org/wiki/片曽根山","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","北緯37度25分35秒東経140度34分5秒","福島県田村市","北緯37度25分35秒東経140度34分5秒﻿ / ﻿北緯37.42639度 東経140.56806度﻿ /37.42639; 140.56806座標:北緯37度25分35秒東経140度34分5秒﻿ / ﻿北緯37.42639度 東経140.56806度﻿ /37.42639; 140.56806","718.6m","阿武隈高地","","","","","","","","","","","","","","",""
"桧山","[桧山[要曖昧さ回避] 檜山 、 桧山 （ひやま）","https://ja.wikipedia.org/wiki/桧山","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大滝根山","[大滝根山（三百）] 大滝根山 （おおたきねやま）は、 福島県 田村市 と 双葉郡 川内村 との境界にそびえる山である。 標高 1,192.1mで 阿武隈高地 の最高峰である。","https://ja.wikipedia.org/wiki/大滝根山","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","北緯37度21分18秒東経140度42分06秒","日本福島県田村市・双葉郡川内村","北緯37度21分18秒東経140度42分06秒﻿ / ﻿北緯37.35500度 東経140.70167度﻿ /37.35500; 140.70167座標:北緯37度21分18秒東経140度42分06秒﻿ / ﻿北緯37.35500度 東経140.70167度﻿ /37.35500; 140.70167","1,192.1m","阿武隈高地","","","","","","","","","","","","","","",""
"高柴山","[高柴山] 高柴山 （たかしばやま）は、 福島県 田村市 と 小野町 の境界にそびえる 山 。 標高 884.1m。 うつくしま百名山 に選定されている。","https://ja.wikipedia.org/wiki/高柴山","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","北緯37度21分16.3秒東経140度34分54.7秒","日本福島県田村市・田村郡小野町","北緯37度21分16.3秒東経140度34分54.7秒﻿ / ﻿北緯37.354528度 東経140.581861度﻿ /37.354528; 140.581861座標:北緯37度21分16.3秒東経140度34分54.7秒﻿ / ﻿北緯37.354528度 東経140.581861度﻿ /37.354528; 140.581861","884.1m","阿武隈高地","","","","","","","","","","","","","","",""
"矢大臣山","[矢大臣山] 矢大臣山 （やだいじんやま）は、 福島県 田村市 、 小野町 、 いわき市 の境界にそびえる 山 。 標高 965m。 うつくしま百名山 に選定されている。いわき市最高峰でもある  。","https://ja.wikipedia.org/wiki/矢大臣山","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","北緯37度17分12.9秒東経140度41分21.6秒","日本福島県田村市・田村郡小野町・いわき市","北緯37度17分12.9秒東経140度41分21.6秒﻿ / ﻿北緯37.286917度 東経140.689333度﻿ /37.286917; 140.689333座標:北緯37度17分12.9秒東経140度41分21.6秒﻿ / ﻿北緯37.286917度 東経140.689333度﻿ /37.286917; 140.689333","965m","阿武隈高地","","","","","","","","","","","","","","",""
"宇津峰山","[宇津峯] 宇津峰山 （うつみねさん）は、 阿武隈高地 にある 福島県 の 山 。「 うつくしま百名山 」の1つに認定されている。単に「宇津峰」「宇津峯」と呼称されることもある。","https://ja.wikipedia.org/wiki/宇津峰山","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","北緯37度17分48.5秒東経140度28分10.6秒","日本福島県郡山市・須賀川市","北緯37度17分48.5秒東経140度28分10.6秒﻿ / ﻿北緯37.296806度 東経140.469611度﻿ /37.296806; 140.469611座標:北緯37度17分48.5秒東経140度28分10.6秒﻿ / ﻿北緯37.296806度 東経140.469611度﻿ /37.296806; 140.469611","676.9m","阿武隈高地","","","","","","","","","","","","","","",""
"蓬田岳","[蓬田岳（東北）] 蓬田岳 （よもぎだだけ）は、 阿武隈高地 に属する標高952mの山である。","https://ja.wikipedia.org/wiki/蓬田岳","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","北緯37度15分57秒東経140度32分5秒","日本福島県石川郡平田村・須賀川市・郡山市","北緯37度15分57秒東経140度32分5秒﻿ / ﻿北緯37.26583度 東経140.53472度﻿ /37.26583; 140.53472","952.2m","阿武隈高地","","","","","","","","","","","","","","",""
"鎌倉岳","[鎌倉岳（竹貫）] ","https://ja.wikipedia.org/wiki/鎌倉岳","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"烏峠 (存在しないページ)","[烏峠]","https://ja.wikipedia.org/w/index.php?title=烏峠&amp;action=edit&amp;redlink=1","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"関山","[関山[要曖昧さ回避] 関山","https://ja.wikipedia.org/wiki/関山","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"天狗山","[天狗山] 天狗山 （てんぐやま）","https://ja.wikipedia.org/wiki/天狗山","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"小富士山","[小富士山] 小富士山 （こふじさん）、 小富士 （こふじ）","https://ja.wikipedia.org/wiki/小富士山","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"矢祭山","[矢祭山] 矢祭山 （やまつりやま）は、 福島県 東白川郡 矢祭町 にある山である。","https://ja.wikipedia.org/wiki/矢祭山","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","北緯36度51分16.9秒東経140度23分37.1秒","日本福島県東白川郡矢祭町","北緯36度51分16.9秒東経140度23分37.1秒﻿ / ﻿北緯36.854694度 東経140.393639度﻿ /36.854694; 140.393639座標:北緯36度51分16.9秒東経140度23分37.1秒﻿ / ﻿北緯36.854694度 東経140.393639度﻿ /36.854694; 140.393639","382.7m","阿武隈高地","","","","","","","","","","","","","","",""
"八溝山","[八溝山（三百）] 八溝山 （やみぞさん）は、 茨城県 と 福島県 の県境にある 標高 1,021.8mの 山 である。 茨城県最高峰 の山である。","https://ja.wikipedia.org/wiki/八溝山","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","北緯36度55分49秒東経140度16分23秒","日本福島県東白川郡棚倉町・茨城県久慈郡大子町","北緯36度55分49秒東経140度16分23秒﻿ / ﻿北緯36.93028度 東経140.27306度﻿ /36.93028; 140.27306座標:北緯36度55分49秒東経140度16分23秒﻿ / ﻿北緯36.93028度 東経140.27306度﻿ /36.93028; 140.27306","1,021.8m","八溝山地","","","","","","","","","","","","","","",""
"鹿狼山","[鹿狼山] 鹿狼山 （かろうさん）は、 福島県 相馬郡 新地町 および 宮城県 伊具郡 丸森町 にまたがる 山 である。 標高 は429.3m。 うつくしま百名山 に選定されている。","https://ja.wikipedia.org/wiki/鹿狼山","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","北緯37度51分41.8秒東経140度51分41.4秒","日本宮城県伊具郡丸森町福島県相馬郡新地町","北緯37度51分41.8秒東経140度51分41.4秒﻿ / ﻿北緯37.861611度 東経140.861500度﻿ /37.861611; 140.861500座標:北緯37度51分41.8秒東経140度51分41.4秒﻿ / ﻿北緯37.861611度 東経140.861500度﻿ /37.861611; 140.861500","429.3m","阿武隈高地","","","","","","","","","","","","","","",""
"羽黒山","[羽黒山] 羽黒山 （はぐろやま、はぐろさん）","https://ja.wikipedia.org/wiki/羽黒山","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"野手上山 (存在しないページ)","[野手上山]","https://ja.wikipedia.org/w/index.php?title=野手上山&amp;action=edit&amp;redlink=1","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"国見山 (福島県)","[国見山] 国見山 （くにみやま）は、 福島県 南相馬市 にある 山 である。 標高 は563.7m。 うつくしま百名山 の一つ。 東日本大震災以降は登山道の整備が不十分となっている。 登山するなら12月から3月にかけてがおすすめである。","https://ja.wikipedia.org/wiki/国見山_(福島県)","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","北緯37度36分52秒東経140度52分57秒","日本福島県南相馬市","北緯37度36分52秒東経140度52分57秒﻿ / ﻿北緯37.61444度 東経140.88250度﻿ /37.61444; 140.88250座標:北緯37度36分52秒東経140度52分57秒﻿ / ﻿北緯37.61444度 東経140.88250度﻿ /37.61444; 140.88250","563.7m","阿武隈高地","","","","","","","","","","","","","","",""
"懸の森山 (存在しないページ)","[懸の森山]","https://ja.wikipedia.org/w/index.php?title=懸の森山&amp;action=edit&amp;redlink=1","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"手倉山 (存在しないページ)","[手倉山]","https://ja.wikipedia.org/w/index.php?title=手倉山&amp;action=edit&amp;redlink=1","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"十万山","[十万山] 十万山 （じゅうまんやま）は、 熊本県 天草市 にある 標高 239mの 山 である。","https://ja.wikipedia.org/wiki/十万山","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","北緯32度26分27.1秒東経130度11分05.7秒","日本熊本県天草市","北緯32度26分27.1秒東経130度11分05.7秒﻿ / ﻿北緯32.440861度 東経130.184917度﻿ /32.440861; 130.184917座標:北緯32度26分27.1秒東経130度11分05.7秒﻿ / ﻿北緯32.440861度 東経130.184917度﻿ /32.440861; 130.184917","239.0m","","","","","","","","","","","","","","","",""
"日隠山 (存在しないページ)","[日隠山]","https://ja.wikipedia.org/w/index.php?title=日隠山&amp;action=edit&amp;redlink=1","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大倉山","[大倉山[要曖昧さ回避] 大倉山 （おおくらやま、おおくらさん、だいくらやま）","https://ja.wikipedia.org/wiki/大倉山","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","北緯38度25分57.3秒 東経140度50分24.9秒","","","","","","","","","","","","","","","","","","",""
"五社山 (存在しないページ)","[五社山]","https://ja.wikipedia.org/w/index.php?title=五社山&amp;action=edit&amp;redlink=1","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"鬼ヶ城山 (福島県) (存在しないページ)","[鬼ヶ城山]","https://ja.wikipedia.org/w/index.php?title=鬼ヶ城山_(福島県)&amp;action=edit&amp;redlink=1","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"三森山 (存在しないページ)","[三森山]","https://ja.wikipedia.org/w/index.php?title=三森山&amp;action=edit&amp;redlink=1","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"二ッ箭山","[二ッ箭山（東北）] 二ッ箭山 （ふたつやさん）は、 福島県 いわき市 にある 山 。 標高 709.7m。二つの矢を立てたように見えるためこう呼ばれている。昔から船乗りや地元の人々の信仰を集めている。磐城地方における 修験道 二大派閥の道場のひとつ。 東北百名山 や うつくしま百名山 にも選定されている。","https://ja.wikipedia.org/wiki/二ッ箭山","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","北緯37度10分23.1秒東経140度52分13.4秒","日本福島県いわき市","北緯37度10分23.1秒東経140度52分13.4秒﻿ / ﻿北緯37.173083度 東経140.870389度﻿ /37.173083; 140.870389座標:北緯37度10分23.1秒東経140度52分13.4秒﻿ / ﻿北緯37.173083度 東経140.870389度﻿ /37.173083; 140.870389","709.7m","阿武隈高地","","","","","","","","","","","","","","",""
"水石山 (存在しないページ)","[水石山]","https://ja.wikipedia.org/w/index.php?title=水石山&amp;action=edit&amp;redlink=1","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"湯ノ岳 (存在しないページ)","[湯ノ岳]","https://ja.wikipedia.org/w/index.php?title=湯ノ岳&amp;action=edit&amp;redlink=1","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"明神山","[明神山[要曖昧さ回避] 明神山 （みょうじんやま、みょうじんさん）","https://ja.wikipedia.org/wiki/明神山","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
