"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","面積","淡水・汽水","成因","周囲長","水面の,標高","最大水深","位置","湖沼型","平均水深","透明度","貯水量","国","人口密度","推計人口"," • 合計","最大都市","流出河川","凍結"
"ポロト湖 (存在しないページ)","[ポロト湖ぽろとこ北海道海跡0.328.6-]","https://ja.wikipedia.org/w/index.php?title=ポロト湖&amp;action=edit&amp;redlink=1","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"ポロ沼 (存在しないページ)","[ポロ沼ぽろぬま北海道海跡1.974.00.00293]","https://ja.wikipedia.org/w/index.php?title=ポロ沼&amp;action=edit&amp;redlink=1","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"ホロカヤントウ (存在しないページ)","[ホロカヤントウほろかやんとう北海道海跡0.654.7-]","https://ja.wikipedia.org/w/index.php?title=ホロカヤントウ&amp;action=edit&amp;redlink=1","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"摩周湖","[摩周湖ましゅうこ北海道火山19.22211.52.75日本で最も透明度が高い。] 摩周湖 （ましゅうこ）は、 北海道 川上郡 弟子屈町 にある 湖 。日本でもっとも、世界では バイカル湖 についで2番目に 透明度 の高い湖である。 2001年 には 北海道遺産 に選定された。急激に深くなっていることとその透明度から青以外の光の反射が少なく、よく晴れた日の湖面の色は「摩周ブルー」と呼ばれている。","https://ja.wikipedia.org/wiki/摩周湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯43度35分0秒東経144度32分0秒","日本北海道（釧路総合振興局）","19.22km2","淡水","カルデラ湖","19.8km","355  m","211.5m","北緯43度35分0秒東経144度32分0秒﻿ / ﻿北緯43.58333度 東経144.53333度﻿ /43.58333; 144.53333座標:北緯43度35分0秒東経144度32分0秒﻿ / ﻿北緯43.58333度 東経144.53333度﻿ /43.58333; 144.53333","極貧栄養湖","137.5 m","19.0 m","","","","","","","",""
"宮島沼","[宮島沼みやじまぬま北海道不明0.362.4-] 宮島沼 （みやじまぬま）は、 北海道 美唄市 大富に所在する 沼 。","https://ja.wikipedia.org/wiki/宮島沼","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"モエレ沼","[モエレ沼もえれぬま北海道河跡0.242.0-一級河川・石狩川水系。] モエレ沼 （モエレぬま）は、 北海道 札幌市 東区 モエレ沼公園 にある 沼 である。","https://ja.wikipedia.org/wiki/モエレ沼","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯43度7分45秒東経141度25分50秒","北海道札幌市東区","0.24km2","淡水湖","河跡湖","5km","5  m","2.0m","北緯43度7分45秒東経141度25分50秒﻿ / ﻿北緯43.12917度 東経141.43056度﻿ /43.12917; 141.43056座標:北緯43度7分45秒東経141度25分50秒﻿ / ﻿北緯43.12917度 東経141.43056度﻿ /43.12917; 141.43056","富栄養湖","0.7 m","0.1 m","","","","","","","",""
"モケウニ沼","[モケウニ沼もけうにぬま北海道海跡0.4940.0147二級河川・猿払川水系。] モケウニ沼 （モケウニぬま）は、 北海道 宗谷管内 猿払村 にある 沼 である。北緯45度12分26秒、東経142度15分54秒。浅茅野湿原と呼ばれる地域にあり、 北オホーツク道立自然公園 に含まれる。","https://ja.wikipedia.org/wiki/モケウニ沼","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯45度12分26.2秒東経142度15分54.4秒","北海道（宗谷総合振興局）","0.49km2","淡水湖","海跡湖","3.4km","5  m","4m","北緯45度12分26.2秒東経142度15分54.4秒﻿ / ﻿北緯45.207278度 東経142.265111度﻿ /45.207278; 142.265111座標:北緯45度12分26.2秒東経142度15分54.4秒﻿ / ﻿北緯45.207278度 東経142.265111度﻿ /45.207278; 142.265111","腐植栄養湖","3.0 m","","0.0147km3","","","","","","",""
"藻琴湖 (存在しないページ)","[藻琴湖もことこ北海道海跡1.125.8-]","https://ja.wikipedia.org/w/index.php?title=藻琴湖&amp;action=edit&amp;redlink=1","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"藻散布沼 (存在しないページ)","[藻散布沼もちりっぷぬまもちりっぷとう北海道海跡0.623.00.00031]","https://ja.wikipedia.org/w/index.php?title=藻散布沼&amp;action=edit&amp;redlink=1","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"湧洞沼","[湧洞沼ゆうどうぬま北海道海跡4.433.50.005] 湧洞沼 （ゆうどうぬま）は 北海道 東部、 豊頃町 にある 汽水湖 。","https://ja.wikipedia.org/wiki/湧洞沼","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯42度36分8秒 東経143度32分25秒","日本北海道（十勝総合振興局）","4.43km2","汽水","海跡湖","17.8km","5  m","3.5m","","腐食型","1.3 m","","0.005km3","","","","","","",""
"羅臼湖","[羅臼湖らうすこ北海道火山0.422.1-] 羅臼湖 （らうすこ）は、 北海道 羅臼町 にある湖である。","https://ja.wikipedia.org/wiki/羅臼湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯44度1分46.8秒東経145度04分47.3秒","日本北海道（根室振興局）","","淡水","自然湖","","731  m","","北緯44度1分46.8秒東経145度04分47.3秒﻿ / ﻿北緯44.029667度 東経145.079806度﻿ /44.029667; 145.079806座標:北緯44度1分46.8秒東経145度04分47.3秒﻿ / ﻿北緯44.029667度 東経145.079806度﻿ /44.029667; 145.079806","","","","","","","","","","",""
"ラウス沼 (存在しないページ)","[ラウス沼らうすぬま北海道1.35北方領土・択捉島にある。]","https://ja.wikipedia.org/w/index.php?title=ラウス沼&amp;action=edit&amp;redlink=1","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"姉沼","[姉沼あねぬま青森県その他1.574.3-一級河川・高瀬川水系。堰止湖。] 姉沼 （あねぬま）は 青森県 東部に位置する 沼 である。","https://ja.wikipedia.org/wiki/姉沼","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯40度42分40秒東経141度20分00秒","日本青森県上北郡東北町","1.57km2","淡水","堰止湖","7.60km","0  m","4.3m","北緯40度42分40秒東経141度20分00秒﻿ / ﻿北緯40.71111度 東経141.33333度﻿ /40.71111; 141.33333座標:北緯40度42分40秒東経141度20分00秒﻿ / ﻿北緯40.71111度 東経141.33333度﻿ /40.71111; 141.33333","腐食栄養湖","1.3 m","1.4 m","","","","","","","",""
"市柳沼 (存在しないページ)","[市柳沼いちやなぎぬま青森県その他1.754.00.0038堰止湖。]","https://ja.wikipedia.org/w/index.php?title=市柳沼&amp;action=edit&amp;redlink=1","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"宇曽利湖","[宇曽利山湖うそりやまこ青森県火山2.6823.5-二級河川・正津川水系。] 宇曽利湖 （うそりこ）は、 下北半島 のほぼ中心、 恐山 にある 湖 。湖全体が 青森県 むつ市 に属し、 下北半島国定公園 に指定されている。","https://ja.wikipedia.org/wiki/宇曽利湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯41度19分00秒東経141度05分30秒","日本青森県むつ市","2.68km2","淡水","カルデラ湖","7.1km","209  m","23.5m","北緯41度19分00秒東経141度05分30秒﻿ / ﻿北緯41.31667度 東経141.09167度﻿ /41.31667; 141.09167座標:北緯41度19分00秒東経141度05分30秒﻿ / ﻿北緯41.31667度 東経141.09167度﻿ /41.31667; 141.09167","酸栄養湖","","13.0 m","","","","","","","",""
"小川原湖","[小川原湖おがわらこ青森県海跡61.98250.714一級河川・高瀬川水系。] 小川原湖 （おがわらこ）は、 青森県 上北郡 東北町 にある  湖 。 汽水湖 である。日本の湖沼では11番目の面積規模を有する   。この湖には「青森県上北郡東北町大字大浦字小川原湖191番地」と住所が定められている  。","https://ja.wikipedia.org/wiki/小川原湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯40度47分東経141度20分","日本青森県上北郡東北町","61.98km2","汽水","海跡湖","67.4km","0  m","25m","北緯40度47分東経141度20分﻿ / ﻿北緯40.783度 東経141.333度﻿ /40.783; 141.333座標:北緯40度47分東経141度20分﻿ / ﻿北緯40.783度 東経141.333度﻿ /40.783; 141.333","中栄養湖","11 m","3.2 m","0.714km3","","","","","","",""
"尾駮沼 (存在しないページ)","[尾駮沼おぶちぬま青森県海跡3.325.00.007]","https://ja.wikipedia.org/w/index.php?title=尾駮沼&amp;action=edit&amp;redlink=1","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"十三湖","[十三湖じゅうさんこ青森県海跡17.813.0-一級河川・岩木川水系。] 十三湖 （じゅうさんこ）は、 青森県 津軽半島 北西部の 日本海 岸にある 汽水湖 である。地元 津軽 地区では「 十三潟 （じゅうさんがた）」とも呼ばれる。","https://ja.wikipedia.org/wiki/十三湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯41度01分57秒東経140度20分31秒","青森県五所川原市","17.82km2","汽水","海跡湖","31.4km","","約 3m","北緯41度01分57秒東経140度20分31秒﻿ / ﻿北緯41.03250度 東経140.34194度﻿ /41.03250; 140.34194座標:北緯41度01分57秒東経140度20分31秒﻿ / ﻿北緯41.03250度 東経140.34194度﻿ /41.03250; 140.34194","中栄養湖","","","","","","","","","",""
"十二湖","[十二湖じゅうにこ青森県その他---青池、鶏頭場の池、大池などを含む湖沼群の総称。地震による堰止湖。] 十二湖 （じゅうにこ）は、 青森県 西津軽郡 深浦町 にある複数の 湖 の総称である。 白神山地 の一角で、 津軽国定公園 内にある。","https://ja.wikipedia.org/wiki/十二湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯40度33分12.88秒 東経139度58分51.85秒","","","","","","","","","","","","","","","","","","",""
"鷹架沼","[鷹架沼たかほこぬま青森県海跡5.437.00.015] 鷹架沼 （たかほこぬま）は、 青森県 下北半島 の 太平洋 岸に位置する汽水の 沼 である  。最大水深7m。全域が 上北郡 六ヶ所村 にあり、 太平洋 との接続部には むつ小川原港 が建設されている。","https://ja.wikipedia.org/wiki/鷹架沼","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯40度56分東経141度20分","日本青森県上北郡六ヶ所村","5.43km2","淡水","海跡湖","22km","0  m","7.0m","北緯40度56分東経141度20分﻿ / ﻿北緯40.933度 東経141.333度﻿ /40.933; 141.333座標:北緯40度56分東経141度20分﻿ / ﻿北緯40.933度 東経141.333度﻿ /40.933; 141.333","","","","","","","","","","",""
"田光沼","[田光沼たっぴぬま青森県その他1.25--堰止湖。] 田光沼 （たっぴぬま）は、 青森県 つがる市 にある 堰止湖 。","https://ja.wikipedia.org/wiki/田光沼","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯40度54分36秒東経140度21分53秒","青森県つがる市","1.25km2","淡水","堰止湖","5.7km","1  m","--m","北緯40度54分36秒東経140度21分53秒﻿ / ﻿北緯40.91000度 東経140.36472度﻿ /40.91000; 140.36472座標:北緯40度54分36秒東経140度21分53秒﻿ / ﻿北緯40.91000度 東経140.36472度﻿ /40.91000; 140.36472","富栄養湖","-- m","0.9 m","--km3","","","","","","",""
"田面木沼 (存在しないページ)","[田面木沼たもぎぬま青森県その他1.617.00.005堰止湖。]","https://ja.wikipedia.org/w/index.php?title=田面木沼&amp;action=edit&amp;redlink=1","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"十和田湖","[十和田湖とわだこ青森県・秋田県火山61.103274.19二級河川・奥入瀬川水系。] 十和田湖 （とわだこ）は、 青森県 十和田市 と 秋田県 鹿角郡 小坂町 にまたがる 湖 。日本の湖沼としては、最大水深は326.8mで第3位  、面積では12番目  。東岸には、十和田湖の水が唯一流れ出る 奥入瀬川 があり、北東に約14kmにわたり 奥入瀬渓流 が延びる。約20km北には 八甲田山 が位置する。","https://ja.wikipedia.org/wiki/十和田湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯40度27分53秒東経140度52分38秒","日本青森県十和田市秋田県鹿角郡小坂町","61.11km2","淡水","カルデラ湖","46.0km","400  m","326.8m","北緯40度27分53秒東経140度52分38秒﻿ / ﻿北緯40.46472度 東経140.87722度﻿ /40.46472; 140.87722座標:北緯40度27分53秒東経140度52分38秒﻿ / ﻿北緯40.46472度 東経140.87722度﻿ /40.46472; 140.87722","貧栄養湖","71.0 m","9.0 m","4.19km3","","","","","","",""
"伊豆沼","[伊豆沼いずぬま宮城県その他3.321.3-一級河川・北上川水系。湖沼としては日本初のラムサール条約登録地。堰止湖。] 伊豆沼 （いずぬま）は、 宮城県 の 登米市 及び 栗原市 にまたがる 沼 である。面積369 ヘクタール （水面面積289ヘクタール）、湖容積約279万 立方メートル 、平均水深0.76 メートル 、最大水深1.6メートルである  。古くは大沼とも呼ばれた  。","https://ja.wikipedia.org/wiki/伊豆沼","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯38度43分08秒東経141度06分05秒","日本宮城県登米市、栗原市","3.31km2","淡水","遊水地","--km","0  m","","北緯38度43分08秒東経141度06分05秒﻿ / ﻿北緯38.71889度 東経141.10139度﻿ /38.71889; 141.10139座標:北緯38度43分08秒東経141度06分05秒﻿ / ﻿北緯38.71889度 東経141.10139度﻿ /38.71889; 141.10139","","","","--km3","","","","","","",""
"内沼 (登米市) (存在しないページ)","[内沼うちぬま宮城県その他1.051.0-堰止湖。]","https://ja.wikipedia.org/w/index.php?title=内沼_(登米市)&amp;action=edit&amp;redlink=1","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"御釜 (蔵王連峰)","[御釜おかま宮城県火山0.927.6-一級河川・阿武隈川水系。] 御釜 （おかま）は、 宮城県 刈田郡 蔵王町 と同県 柴田郡 川崎町 の境界付近（ 境界未定地域 ）にある 火口湖 で、 五色沼 （ごしきぬま）とも呼ばれる。 蔵王連峰 の中央部の最も標高の高いエリアにあり、しばしば蔵王連峰の象徴として見られている。宮城県と山形県の県境から至近であり、宮城県のみならず山形県の名所としても紹介される  。","https://ja.wikipedia.org/wiki/御釜_(蔵王連峰)","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯38度8分11秒東経140度26分58秒","宮城県刈田郡蔵王町","0.9km2","淡水（酸性）","火口湖","1.08km","1,550  m","27.6m","北緯38度8分11秒東経140度26分58秒﻿ / ﻿北緯38.13639度 東経140.44944度﻿ /38.13639; 140.44944座標:北緯38度8分11秒東経140度26分58秒﻿ / ﻿北緯38.13639度 東経140.44944度﻿ /38.13639; 140.44944","酸栄養湖","17.8 m","","","","","","","","",""
"蕪栗沼","[蕪栗沼かぶくりぬま宮城県その他0.79--一級河川・北上川水系。蕪栗沼遊水地として小山田川の洪水調節も担う。蕪栗沼および周辺の水田はラムサール条約登録地。堰止湖。] 蕪栗沼 （かぶくりぬま）は、 宮城県 大崎市 （旧 田尻町 ）にある 沼 である。","https://ja.wikipedia.org/wiki/蕪栗沼","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"鳥の海","[鳥の海とりのうみ宮城県河跡1.304.8-] 鳥の海 （とりのうみ）は、 宮城県 亘理郡 亘理町 の 太平洋 岸に位置する 汽水湖 である。","https://ja.wikipedia.org/wiki/鳥の海","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯38度02分00秒東経140度54分50秒","日本宮城県亘理郡亘理町","1.35km2","汽水","堰止湖","6.8km","0  m","4.8m","北緯38度02分00秒東経140度54分50秒﻿ / ﻿北緯38.03333度 東経140.91389度﻿ /38.03333; 140.91389座標:北緯38度02分00秒東経140度54分50秒﻿ / ﻿北緯38.03333度 東経140.91389度﻿ /38.03333; 140.91389","富栄養湖","","1.8 m","","","","","","","",""
"長面浦 (存在しないページ)","[長面浦ながづらうら宮城県その他1.45-10.8堰止湖。]","https://ja.wikipedia.org/w/index.php?title=長面浦&amp;action=edit&amp;redlink=1","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"長沼 (宮城県) (存在しないページ)","[長沼ながぬま宮城県その他4.892.8-堰止湖。長沼ダムが設置されている。]","https://ja.wikipedia.org/w/index.php?title=長沼_(宮城県)&amp;action=edit&amp;redlink=1","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"万石浦","[万石浦まんごくうら宮城県海跡7.305.3-] 万石浦 （まんごくうら）は、 宮城県 の 石巻市 及び 牡鹿郡 女川町 にまたがる  海跡湖 である。","https://ja.wikipedia.org/wiki/万石浦","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯38度25分33秒東経141度23分40秒","日本宮城県石巻市、牡鹿郡女川町","7.30km2","汽水","海跡湖","16km","0  m","5.3m","北緯38度25分33秒東経141度23分40秒﻿ / ﻿北緯38.42583度 東経141.39444度﻿ /38.42583; 141.39444座標:北緯38度25分33秒東経141度23分40秒﻿ / ﻿北緯38.42583度 東経141.39444度﻿ /38.42583; 141.39444","富栄養湖","","5.2 m","--km3","","","","","","",""
"浅内沼","[浅内沼あさないぬま秋田県海跡1.043.5-] 浅内沼 （あさないぬま）は、 秋田県 能代市 にある能代市最大の 湖 。砂丘後背池沼である。沼のまわりを1周すると1 里 あることから「一里沼」と呼ぶこともある。浅内小学校の校歌にも歌われている  。","https://ja.wikipedia.org/wiki/浅内沼","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯40度09分00秒 東経140度00分30秒","秋田県能代市","1.04km2","淡水","","","6  m","3.5m","","","","","","","","","","","",""
"作沢沼","[作沢沼さくざわぬま秋田県-0.0220-一級河川・米代川水系。] 作沢沼 （さくざわぬま）は、 秋田県 鹿角市 八幡平地区の、 米代川 の支流 熊沢川 ・樫内川の上流にある 沼 。","https://ja.wikipedia.org/wiki/作沢沼","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"田沢湖","[田沢湖たざわこ秋田県不明25.75423.47.20一級河川・雄物川水系。日本で最も水深が深い。] 田沢湖 （たざわこ）は、 秋田県 仙北市 にある 淡水湖 。 一級河川 雄物川 水系に属する。 日本 で最も深い湖であり、日本で19番目に広い湖沼である  。その全域が 田沢湖抱返り県立自然公園 に指定されており、 日本百景 にも選ばれている景勝地である。1956年（昭和31年）から2005年（平成17年）まで存在した自治体である 田沢湖町 の名の由来であり、現在も旧田沢湖町の区域の地名冠称として使われている。","https://ja.wikipedia.org/wiki/田沢湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯39度43分30秒東経140度39分41秒","日本秋田県仙北市","25.75km2","淡水","カルデラ","20km","249  m","423.4m","北緯39度43分30秒東経140度39分41秒﻿ / ﻿北緯39.72500度 東経140.66139度﻿ /39.72500; 140.66139座標:北緯39度43分30秒東経140度39分41秒﻿ / ﻿北緯39.72500度 東経140.66139度﻿ /39.72500; 140.66139","酸栄養湖","280.0 m","4.0 m","7.20km3","","","","","","",""
"八郎潟","[八郎潟調整池はちろうがたちょうせいち秋田県海跡27.7512.0-二級河川・馬場目川水系。干拓される前までは、日本で2番目に大きかった。] 八郎潟 （はちろうがた）は、 秋田県 にある 湖 。 二級河川 馬場目川 水系に属する  。かつては面積220 km 2 と、日本の湖沼面積では 琵琶湖 に次ぐ第2位であったが、大部分の水域が 干拓 によって陸地化され、陸地部分が 大潟村 になった。現在では日本の湖沼において18位の面積である  。 八郎湖 や  、 八郎潟残存湖 といった別名でも呼ばれる。","https://ja.wikipedia.org/wiki/八郎潟","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯39度55分00秒東経140度01分00秒","日本秋田県","27.75km2","淡水","海跡湖","35km","-4  m","12.0m","北緯39度55分00秒東経140度01分00秒﻿ / ﻿北緯39.91667度 東経140.01667度﻿ /39.91667; 140.01667座標:北緯39度55分00秒東経140度01分00秒﻿ / ﻿北緯39.91667度 東経140.01667度﻿ /39.91667; 140.01667","富栄養湖","－ m","1.3 m","－km3","","","","","","",""
"目潟","[目潟めがた秋田県火山---一ノ目潟、二ノ目潟、三ノ目潟の3つのマールによる火口湖の総称。] 男鹿半島 （おがはんとう）は、 秋田県 北西部にある 日本海 に突き出た 半島 。半島部の大半が 男鹿市 に属する。","https://ja.wikipedia.org/wiki/目潟","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯40度00分24秒 東経139度42分03秒","","","","","","","","","","","","","","","","","","",""
"大鳥池","[大鳥池おおとりいけ山形県その他0.468-一級河川・赤川水系。堰止湖。] 大鳥池 （おおとりいけ）は、 山形県 鶴岡市 にある 湖 。","https://ja.wikipedia.org/wiki/大鳥池","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯38度21分45秒 東経139度49分45秒","山形県鶴岡市","0.4km2","淡水","堰止湖","3.2km","966  m","68m","","貧栄養湖","","","","","","","","","",""
"白竜湖","[白竜湖はくりゅうこ山形県その他1.08--古代の米沢盆地全域にわたった大湖水の残存湖。] 白竜湖 （はくりゅうこ）は、 山形県 南陽市 にある 湖 である。","https://ja.wikipedia.org/wiki/白竜湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯38度03分25秒東経140度10分43秒","日本山形県南陽市","1.08km2","淡水","","約3.5km","210  m","","北緯38度03分25秒東経140度10分43秒﻿ / ﻿北緯38.05694度 東経140.17861度﻿ /38.05694; 140.17861座標:北緯38度03分25秒東経140度10分43秒﻿ / ﻿北緯38.05694度 東経140.17861度﻿ /38.05694; 140.17861","","","","","","","","","","",""
"秋元湖","[秋元湖あきもとこ福島県火山3.5234.10.04一級河川・阿賀野川水系。裏磐梯湖沼群。洪水調節と水力発電を目的とするダムとして福島県が管理している。] 秋元湖 （あきもとこ）は 福島県 耶麻郡 北塩原村 および同郡 猪苗代町 にまたがる 湖 である。 桧原湖 ・ 小野川湖 とともに 裏磐梯三湖 を形成する。","https://ja.wikipedia.org/wiki/秋元湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯37度39分20秒東経140度08分00秒","日本福島県耶麻郡北塩原村・猪苗代町","3.62km2","淡水","堰止湖","24.0km","736.0  m","34.1m","北緯37度39分20秒東経140度08分00秒﻿ / ﻿北緯37.65556度 東経140.13333度﻿ /37.65556; 140.13333﻿ (秋元湖)座標:北緯37度39分20秒東経140度08分00秒﻿ / ﻿北緯37.65556度 東経140.13333度﻿ /37.65556; 140.13333﻿ (秋元湖)","中栄養湖","","7.0 m","0.04km3","","","","","","",""
"猪苗代湖","[猪苗代湖いなわしろこ福島県断層103.2494.65.40一級河川・阿賀野川水系。面積は日本で4番目に広い。日橋川の流出口に十六橋水門が、東岸には安積疏水取水口が建設されている。] 猪苗代湖 （いなわしろこ）は、 日本 の 福島県 会津若松市 、 郡山市 、 耶麻郡 猪苗代町 にまたがる、日本国内で4番目に広い 湖 である   。別名、天鏡湖（てんきょうこ）。 阿賀野川 水系 所属の 一級河川 の指定を受けており、福島県のシンボルの一つとされている  。","https://ja.wikipedia.org/wiki/猪苗代湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯37度29分東経140度06分","日本福島県会津若松市・郡山市・耶麻郡猪苗代町","103.24km2","淡水","構造湖（断層湖）","49km","514m","94.6m","北緯37度29分東経140度06分﻿ / ﻿北緯37.483度 東経140.100度﻿ /37.483; 140.100座標:北緯37度29分東経140度06分﻿ / ﻿北緯37.483度 東経140.100度﻿ /37.483; 140.100","酸栄養湖","51.5m","12.0 m","5.40km3","","","","","","",""
"雄国沼","[雄国沼おぐにぬま福島県火山0.488.0-一級河川・阿賀野川水系。] 雄国沼 （おぐにぬま）は、 福島県 北塩原村 （ 裏磐梯 ）にある 湖沼 。 磐梯朝日国立公園 に位置する 湿原 で ニッコウキスゲ の大群落があることで知られる。雄国沼湿原植物群落として国の 天然記念物 に指定されている。","https://ja.wikipedia.org/wiki/雄国沼","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯37度37分10秒 東経140度0分10秒","","","","","","","","","","","","","","","","","","",""
"尾瀬沼","[尾瀬沼おぜぬま福島県・群馬県火山1.819.50.0066一級河川・阿賀野川水系。只見川の水源。東京電力により水力発電を目的として片品川との間に導水トンネルが建設されている。] 尾瀬沼 （おぜぬま）は、 群馬県 利根郡 片品村 と 福島県 南会津郡 檜枝岐村 にまたがって位置する 沼 。 尾瀬 地域にある。面積は1.81km 2  。 上毛かるた では「せ」の札において、「仙境尾瀬沼　花の原」と読まれる。 只見川 の一方の最上流に位置するため、標高は1660 mと高く、日本では、これより高く尾瀬沼より大きい湖沼・池は無い。","https://ja.wikipedia.org/wiki/尾瀬沼","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯36度55分33.3秒 東経139度18分16.2秒","","","","","","","","","","","","","","","","","","",""
"小野川湖","[小野川湖おのがわこ福島県火山1.7324.40.01一級河川・阿賀野川水系。洪水調節と水力発電を目的とするダムとして福島県が管理している。] 小野川湖 （おのがわこ）は、 福島県 耶麻郡 北塩原村 にある 湖 。 磐梯朝日国立公園 に属する。","https://ja.wikipedia.org/wiki/小野川湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯37度40分21.7秒東経140度05分51.7秒","日本福島県耶麻郡北塩原村","1.72km2","淡水","堰止湖","11.9km","797.0  m","24.4m","北緯37度40分21.7秒東経140度05分51.7秒﻿ / ﻿北緯37.672694度 東経140.097694度﻿ /37.672694; 140.097694座標:北緯37度40分21.7秒東経140度05分51.7秒﻿ / ﻿北緯37.672694度 東経140.097694度﻿ /37.672694; 140.097694","中栄養湖","－ m","4.0 m","0.01km3","","","","","","",""
"男沼 (存在しないページ)","[男沼おぬま福島県その他0.059.8-]","https://ja.wikipedia.org/w/index.php?title=男沼&amp;action=edit&amp;redlink=1","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","","","","","","","","","","","","","","","","","","",""
