"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","面積","標高","外部リンク","成因","淡水・汽水","湖沼型","山系","種類","周囲長","最大水深","水面の,標高","透明度","交通","最高標高","平均水深","都道府県","人口密度"
"白糸の滝 (静岡県)","[白糸ノ滝（静岡県）] 白糸の滝 （しらいとのたき）とは、 静岡県 富士宮市 にある 滝 。隣接する 音止めの滝 と共に著名な 観光地 の1つとして知られ、 日本の滝百選 にも選ばれている他、 日本三大名瀑 に選ばれることがある。","https://ja.wikipedia.org/wiki/白糸の滝_(静岡県)","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","北緯35度18分47秒東経138度35分14秒","日本静岡県富士宮市上井出","北緯35度18分47秒東経138度35分14秒﻿ / ﻿北緯35.312939度 東経138.587343度﻿ /35.312939; 138.587343座標:北緯35度18分47秒東経138度35分14秒﻿ / ﻿北緯35.312939度 東経138.587343度﻿ /35.312939; 138.587343","","","","","","","","","","","","","","","","",""
"修善寺温泉","[修善寺温泉（静岡県）] 修善寺温泉 （しゅぜんじおんせん）は、 静岡県 伊豆市 北部にある 伊豆半島 で最も歴史がある 温泉 。 日本百名湯 に選ばれている。","https://ja.wikipedia.org/wiki/修善寺温泉","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","北緯34度58分07秒東経138度55分32秒","静岡県伊豆市修善寺修善寺温泉修善寺温泉 (静岡県)","","","","伊豆市観光協会修善寺支部","","","","","","","","","","伊豆箱根鉄道駿豆線・修善寺駅下車。バスで8分","","","",""
"熱海温泉","[熱海温泉（静岡県）] 熱海温泉 （あたみおんせん）は、 静岡県 熱海市 にある 温泉 である。日本の 三大温泉 の一つとも言われる。","https://ja.wikipedia.org/wiki/熱海温泉","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","北緯35度06分04秒東経139度04分01秒","静岡県熱海市","","","","熱海市観光協会","","","","","","","","","","鉄道 : JR東海道新幹線またはJR東海道本線熱海駅下車すぐ","","","",""
"佐久間ダム","[佐久間ダム（静岡県）] 佐久間ダム （さくまダム）は、 静岡県 浜松市 天竜区 佐久間町 と 愛知県 北設楽郡 豊根村 にまたがる 一級河川 ・ 天竜川 本流 中流 部に建設された ダム である。","https://ja.wikipedia.org/wiki/佐久間ダム","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","北緯35度05分58秒東経137度47分39秒","","北緯35度05分58秒東経137度47分39秒﻿ / ﻿北緯35.09944度 東経137.79417度﻿ /35.09944; 137.79417","","","","","","","","","","","","","","","","",""
"天城山","[天城高原（静岡県）] 天城山 （あまぎさん）は、 静岡県 の 伊豆半島 中央部の東西に広がる山。天城山は連山の総称で、 天城連山 や 天城山脈 と称されることもある。 日本百名山 の一つ。","https://ja.wikipedia.org/wiki/天城山","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","北緯34度51分46秒東経139度00分06秒","静岡県伊豆市・伊東市・賀茂郡東伊豆町・賀茂郡河津町","北緯34度51分46秒東経139度00分06秒﻿ / ﻿北緯34.86278度 東経139.00167度﻿ /34.86278; 139.00167﻿ (万三郎岳)座標:北緯34度51分46秒東経139度00分06秒﻿ / ﻿北緯34.86278度 東経139.00167度﻿ /34.86278; 139.00167﻿ (万三郎岳)","","万三郎岳 1,406m","","","","","伊豆半島","成層火山","","","","","","","","",""
"三保の松原","[三保ノ松原（静岡県）] 三保松原 （みほのまつばら）は、 静岡県 静岡市 清水区 の 三保半島 にある景勝地。その美しさから 日本新三景 （ 大沼 、三保の松原、 耶馬溪 ）、 日本三大松原 （三保の松原、 虹の松原 、 気比の松原 ）のひとつとされ、国の 名勝 に指定されている  。また、 ユネスコ の 世界文化遺産 「 富士山-信仰の対象と芸術の源泉 」の構成資産に登録されている。また、2020年（令和2年）6月19日には、 文化庁 の「 日本遺産 」のストーリー『日本初「旅ブーム」を起こした弥次さん喜多さん、駿州の旅～滑稽本と浮世絵が描く東海道旅のガイドブック（道中記）～』の構成文化財の1つに認定された  。","https://ja.wikipedia.org/wiki/三保の松原","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"富士山","[富士山（静岡県・山梨県）] 富士山 （ふじさん、 英語 : Mount Fuji ）は、 山梨県 （ 富士吉田市 、 南都留郡 鳴沢村 ）と、 静岡県 （ 富士宮市 、 裾野市 、 富士市 、 御殿場市 、 駿東郡 小山町 ）に跨る 活火山 である  。 標高 3776.12 m 、 日本最高峰 （ 剣ヶ峰 ）  の 独立峰 で、その優美な風貌は日本国外でも 日本 の 象徴 として広く知られている。数多くの芸術作品の題材とされ芸術面のみならず、気候や地層など地質学的にも社会的に大きな影響を与えている。懸垂曲線の山容を有した玄武岩質成層火山で構成され、その山体は 駿河湾 の海岸まで及ぶ。","https://ja.wikipedia.org/wiki/富士山","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","北緯35度21分45秒東経138度43分50秒","日本静岡県富士宮市裾野市富士市御殿場市駿東郡小山町山梨県富士吉田市南都留郡鳴沢村","北緯35度21分45秒東経138度43分50秒﻿ / ﻿北緯35.3625度 東経138.7306度﻿ /35.3625; 138.7306座標:北緯35度21分45秒東経138度43分50秒﻿ / ﻿北緯35.3625度 東経138.7306度﻿ /35.3625; 138.7306","","3,776.12m","","","","","独立峰","成層火山・活火山ランクB・常時観測火山","","","","","","","","",""
"飛騨高山","[飛騨高山（岐阜県）] ","https://ja.wikipedia.org/wiki/飛騨高山","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","北緯36度8分45.7秒東経137度15分7.8秒","〒506-8555岐阜県高山市花岡町二丁目18番地北緯36度8分45.7秒東経137度15分7.8秒﻿ / ﻿北緯36.146028度 東経137.252167度﻿ /36.146028; 137.252167座標:北緯36度8分45.7秒東経137度15分7.8秒﻿ / ﻿北緯36.146028度 東経137.252167度﻿ /36.146028; 137.252167","","2,177.61km2","","公式ウェブサイト","","","","","","","","","","","","","岐阜県","38.4人/km2"
"黒部峡谷","[黒部峡谷（富山県）] 黒部峡谷 （くろべきょうこく）は、 富山県 黒部市 、 黒部川 中流 - 上流にある 峡谷 （ V字谷 ）である。 飛騨山脈 北部を 立山連峰 と 後立山連峰 に分断する大規模な峡谷で、国の 特別天然記念物 （天然保護区域）及び 特別名勝 指定。 中部山岳国立公園 に含まれる。 清津渓谷 、 大杉谷 とともに 日本三大渓谷 に選定され、また 日本の秘境百選 の一つにも挙げられている。","https://ja.wikipedia.org/wiki/黒部峡谷","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"黒四ダム","[黒四ダム（富山県）] 黒部ダム （くろべダム）は、 富山県 東部の 立山町 を流れる 黒部川 水系の黒部川に建設された 水力発電 専用の ダム である   。 1956年 （ 昭和 31年）着工、 太田垣士郎 指揮の下、171人の 殉職 者を出し7年の歳月をかけて、1961年1月に送電を開始  し、 1963年 （昭和38年）に完成した  。貯水量2億 トン  。","https://ja.wikipedia.org/wiki/黒四ダム","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","北緯36度33分59秒東経137度39分44秒","富山県中新川郡立山町芦峅寺","北緯36度33分59秒東経137度39分44秒﻿ / ﻿北緯36.56639度 東経137.66222度﻿ /36.56639; 137.66222","","","","","","","","","","","","","","","","",""
"東尋坊","[東尋坊（福井県）] 東尋坊 （とうじんぼう）は、 福井県 坂井市 三国町 安島に位置する 崖 。 越前加賀海岸国定公園 の特別保護地区に指定されている  。","https://ja.wikipedia.org/wiki/東尋坊","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"三方五湖","[三方五湖（福井県）] 三方五湖 （みかたごこ）とは、 福井県 三方郡 美浜町 と同県 三方上中郡 若狭町 にまたがって位置する5つの 湖 の総称で、周囲には梅畑が広がる。国指定の 名勝  で、 若狭湾国定公園 に属する。 2005年 11月8日 付で ラムサール条約 指定湿地に登録されている。 2015年 （平成27年） 4月24日 、「海と都をつなぐ若狭の往来文化遺産群 - 御食国（みけつくに）若狭と鯖街道 - 」の構成文化財として 日本遺産 に認定される  。","https://ja.wikipedia.org/wiki/三方五湖","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"嵯峨野","[嵯峨野（京都府）] 嵯峨野 （さがの）は、 京都府 京都市 右京区 の地名。 太秦 ・ 宇多野 の西、 桂川 の北、 小倉山 の東、 愛宕山麓 の南に囲まれた付近に広がる広い地域の名称で、単に「 嵯峨 （さが）」と呼称される事もある。ただし、観光地としての「嵯峨（野）」は 嵐山 から小倉山に沿った社寺の立ち並ぶ地域（概ね車折神社より西側）を指す。平安京の西方の郊外になることから別名、 西郊 と公家達はよんだ。","https://ja.wikipedia.org/wiki/嵯峨野","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"天橋立","[天橋立（京都府）] 天橋立 （あまのはしだて）は、 京都府 宮津市 の 宮津湾 と 内海 の 阿蘇海 を南北に隔てる全長3.6 キロメートル の湾口 砂州  。 日本三景 の一つであり    、 2013年 の観光入込客数は178万1900人と 京都市 を除いた京都府内の観光地で第1位である  。","https://ja.wikipedia.org/wiki/天橋立","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"琵琶湖","[琵琶湖（滋賀県）] 琵琶湖 （びわこ）は、 滋賀県 にある 日本 最大 の 面積 と貯水量を持つ 湖 。 一級水系 「 淀川 水系」に属する 一級河川 である。 国土交通大臣 から委託を受けて滋賀県知事が管理を担う。 湖沼水質保全特別措置法 指定湖沼で、 ラムサール条約 登録 湿地 でもある。","https://ja.wikipedia.org/wiki/琵琶湖","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","北緯35度20分0秒東経136度10分0秒","日本滋賀県","北緯35度20分0秒東経136度10分0秒﻿ / ﻿北緯35.33333度 東経136.16667度﻿ /35.33333; 136.16667座標:北緯35度20分0秒東経136度10分0秒﻿ / ﻿北緯35.33333度 東経136.16667度﻿ /35.33333; 136.16667","669.26km2","","","構造湖","淡水","中栄養湖","","","235.20km","103.58m","84.371m","2.2（南湖）5.5（北湖）m","","","41.2m","",""
"淡路島","[淡路島（兵庫県）] 淡路島 （あわじしま）は、 瀬戸内海 東部に位置する 島 。瀬戸内海では最大面積の島で  、人口は離島の中では最も多い約13万人  。 令制国 の 淡路国 の主要国域を占める。 近畿地方 の 兵庫県 に属し、現在は北から 淡路市 ・ 洲本市 ・ 南あわじ市 の3市で区分される。国生みの島としても有名である。","https://ja.wikipedia.org/wiki/淡路島","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","北緯34度09分 - 34度36分東経134度39分","日本","","592.55km²","","","","","","","","","","","","","608m","","",""
"比叡山","[比叡山（滋賀県・京都府）] 比叡山 （ひえいざん）は、 滋賀県 大津市 西部と 京都府 京都市 北東部にまたがる 山 。大津市と京都市 左京区 の県境に位置する 大比叡 （848.3m）と左京区に位置する 四明岳 （しめいがたけ、838m）の二峰から成る双耳峰の総称である。 高野山 と並び古くより信仰対象の山とされ、 延暦寺 や 日吉大社 があり繁栄した。 東山三十六峰 に含まれる場合も有る  。別称は叡山、北嶺、天台山、都富士など。","https://ja.wikipedia.org/wiki/比叡山","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","北緯35度03分57秒東経135度50分04秒","日本滋賀県大津市・京都府京都市左京区","北緯35度03分57秒東経135度50分04秒﻿ / ﻿北緯35.06583度 東経135.83444度﻿ /35.06583; 135.83444座標:北緯35度03分57秒東経135度50分04秒﻿ / ﻿北緯35.06583度 東経135.83444度﻿ /35.06583; 135.83444","","848.3m","","","","","","","","","","","","","","",""
"六甲山","[六甲山（兵庫県）] 六甲山 （ろっこうさん）は、 兵庫県 南東部、 神戸市 の市街地の西から北にかけて位置する 山塊 である。 瀬戸内海国立公園 の区域に指定されており、また 新日本百名山 、 日本三百名山 、 ふるさと兵庫50山 の一つでもある。","https://ja.wikipedia.org/wiki/六甲山","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","北緯34度46分40.815秒東経135度15分49.4669秒","日本兵庫県神戸市東灘区・北区","北緯34度46分40.815秒東経135度15分49.4669秒﻿ / ﻿北緯34.77800417度 東経135.263740806度﻿ /34.77800417; 135.263740806座標:北緯34度46分40.815秒東経135度15分49.4669秒﻿ / ﻿北緯34.77800417度 東経135.263740806度﻿ /34.77800417; 135.263740806","","931.25m","","","","","六甲山系","","","","","","","","","",""
"瀞峡","[瀞峡（和歌山県・奈良県）] 瀞峡 （どろきょう）は、 和歌山県 ・ 三重県 ・ 奈良県 を流れる 熊野川 水系 北山川 上流にある 峡谷 。 吉野熊野国立公園 の一部。","https://ja.wikipedia.org/wiki/瀞峡","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"那智滝","[那智ノ滝（和歌山県）] 那智滝 （なちのたき）は、 和歌山県 東牟婁郡 那智勝浦町 の 那智川 中流にかかる 滝 。石英 斑岩 からなるほとんど垂直の断崖に沿って落下し、落ち口の幅13 メートル 、滝壺までの落差は133メートルに達し、その姿は 熊野灘 からも望見することができる  。総合落差では日本12位だが、一段の滝としては落差日本1位。 華厳滝 と共に 日本三名瀑 に数えられている。","https://ja.wikipedia.org/wiki/那智滝","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","北緯33度40分31秒東経135度53分15秒","和歌山県那智勝浦町","北緯33度40分31秒東経135度53分15秒﻿ / ﻿北緯33.67528度 東経135.88750度﻿ /33.67528; 135.88750座標:北緯33度40分31秒東経135度53分15秒﻿ / ﻿北緯33.67528度 東経135.88750度﻿ /33.67528; 135.88750","","","","","","","","","","","","","","","","",""
"南紀白浜温泉","[白浜温泉（和歌山県）] 南紀白浜温泉 （なんきしらはまおんせん）、もしくは 白浜温泉 （しらはまおんせん）は 和歌山県 西牟婁郡 白浜町 にある 温泉 である。かつては 熱海温泉 、 別府温泉 と並んで「日本三大温泉」と言われていた。温泉として非常に歴史が古く、 日本三古湯 のひとつに数えられ、古い文献では 牟婁の湯 と呼ばれていた。広義での白浜は 温泉郷 であり、さらに湯崎、大浦、古賀浦、綱不知、白浜、更に近年は東白浜、新白浜を加え7ヶ所の温泉地に細分できる。 白良浜 を中心に海岸沿いに温泉施設、宿泊施設が広がっており、周辺には多くの観光地もあるリゾートとなっている。 紀勢自動車道 の 南紀白浜インターチェンジ や 南紀白浜空港 もあり遠方からの交通の便もよい。","https://ja.wikipedia.org/wiki/南紀白浜温泉","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","北緯33度40分34秒東経135度20分16秒","和歌山県西牟婁郡白浜町南紀白浜温泉和歌山駅和歌山県地図","","","","南紀白浜温泉（白浜観光協会）","","","","","","","","","","鉄道：JRきのくに線白浜駅（特急停車駅）から明光バス10分、南紀白浜空港は駅よりも温泉街に近いバス：大阪駅、なんば、京都駅、南海和歌山市駅から直行バス（阪和自動車道経由）も運行車：紀勢自動車道南紀白浜ICから自動車","","","",""
"潮岬","[潮ノ岬（和歌山県）] 潮岬 （しおのみさき）は、 和歌山県 東牟婁郡 串本町 に属し、 太平洋 （ フィリピン海 ）に面する 岬 。 .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap} 北緯33度25分59秒 東経135度45分45秒 ﻿ / ﻿ 北緯33.43306度 東経135.76250度 ﻿ / 33.43306; 135.76250 座標 : 北緯33度25分59秒 東経135度45分45秒 ﻿ / ﻿ 北緯33.43306度 東経135.76250度 ﻿ / 33.43306; 135.76250 。","https://ja.wikipedia.org/wiki/潮岬","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"鬼ヶ城","[鬼ヶ城（三重県）] 鬼ヶ城 （おにがじょう）は 三重県 熊野市 木本町にある海岸 景勝地 。国の 名勝 （「 熊野の鬼ケ城 附 獅子巖 」〈くまののおにがじょう つけたり ししいわ〉）の一部である。","https://ja.wikipedia.org/wiki/鬼ヶ城","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大台ヶ原山","[大台ヶ原山（奈良県）] 大台ヶ原山 （おおだいがはらやま）は 奈良県 と 三重県 の 県境 にある 標高 1695.1m  の 山 である。 深田久弥 によって「 日本百名山 」に選ばれたほか、 日本百景 、 日本の秘境100選 にも選ばれている。 1980年 （昭和55年）に 国際連合教育科学文化機関 の 生物圏保護区 （ユネスコエコパーク）に登録された（登録名：大台ケ原・ 大峯山 ・ 大杉谷 ）  。","https://ja.wikipedia.org/wiki/大台ヶ原山","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","北緯34度11分7秒東経136度6分33秒","奈良県吉野郡上北山村、川上村、三重県多気郡大台町","北緯34度11分7秒東経136度6分33秒﻿ / ﻿北緯34.18528度 東経136.10917度﻿ /34.18528; 136.10917座標:北緯34度11分7秒東経136度6分33秒﻿ / ﻿北緯34.18528度 東経136.10917度﻿ /34.18528; 136.10917","","1,695.1m","","","","","台高山脈","隆起準平原","","","","","","","","",""
"南紀勝浦温泉","[勝浦温泉（和歌山県）] 南紀勝浦温泉 （なんきかつうらおんせん）は、 和歌山県 東牟婁郡 那智勝浦町 （旧国 紀伊国 ）にある 温泉 である。もともと勝浦温泉と呼ばれていたが、近年になって旅行業界や観光協会などが「南紀」を冠するようになった。 近畿圏 では一般に「勝浦」だけで当温泉地を指す。","https://ja.wikipedia.org/wiki/南紀勝浦温泉","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","","和歌山県東牟婁郡那智勝浦町","","","","","","","","","","","","","","鉄道 :JRきのくに線紀伊勝浦駅下車すぐ車 :国道42号で大阪から4時間程度高速バス :大宮・池袋 - 南紀勝浦線「勝浦温泉」バス停下車","","","",""
"英虞湾","[英虞湾（三重県）] 英虞湾 （あごわん）は、 三重県 志摩市 の 志摩半島 南部の湾。伊勢志摩国立公園の中心。リアス式海岸。御座岬（ござみさき）と 浜島町 を湾口とする  。平成5年8月27日 環境庁 告示第67号（ 窒素 又は 燐 が海洋植物 プランクトン の著しい増殖の恐れのある海域として 環境庁長官 が定めた海域）による定義では、「三重県 志摩郡 大王町 と同郡 志摩町 を結ぶ 深谷大橋 、同町御座岬と 度会郡 南勢町 田曽埼を結ぶ線及び陸岸により囲まれた海域」となっている  。","https://ja.wikipedia.org/wiki/英虞湾","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"二見興玉神社","[二見ヶ浦（三重県）] 二見興玉神社 （ふたみおきたまじんじゃ）は、 三重県 伊勢市 二見町江にある 神社 である。旧 社格 は 村社 で、現在は 神社本庁 の 別表神社 。境内の磯合にある 夫婦岩 （めおといわ）で知られる。","https://ja.wikipedia.org/wiki/二見興玉神社","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","北緯34度30分32秒東経136度47分16秒","三重県伊勢市二見町江575","北緯34度30分32秒東経136度47分16秒﻿ / ﻿北緯34.50889度 東経136.78778度﻿ /34.50889; 136.78778座標:北緯34度30分32秒東経136度47分16秒﻿ / ﻿北緯34.50889度 東経136.78778度﻿ /34.50889; 136.78778","","","","","","","","","","","","","","","","",""
"紀伊大島","[大島（和歌山県）] 紀伊大島 （きいおおしま）は 和歌山県 東牟婁郡 串本町 の沖合い約1.8 kmの海上に浮かぶ面積およそ9.68 km 2  、周囲28km  を誇る和歌山県下最大の 島 である。元来より大島と呼ばれてきたが、全国的に大島の名を持つ土地は数多く、それらとの区別のため「紀伊」を冠し「紀伊大島」と呼ばれる。また、串本大島とも呼ばれる。人口はおよそ2,000人で、和歌山県で唯一の 離島振興対策実施地域 ともなっていた。 台風 銀座でもあり 1890年 には、日本とトルコの友好関係のきっかけとなった エルトゥールル号遭難事件 が当島の沖で発生した。","https://ja.wikipedia.org/wiki/紀伊大島","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","北緯33度28分05秒東経135度49分41秒","日本・和歌山県","","9.68km²","","","","","","","","","","","","","171.2m","","",""
"鳥取砂丘","[鳥取砂丘（鳥取県）] 座標 : .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap} 北緯35度32分33秒 東経134度13分49秒 ﻿ / ﻿ 北緯35.54250度 東経134.23028度 ﻿ / 35.54250; 134.23028","https://ja.wikipedia.org/wiki/鳥取砂丘","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"秋吉台","[秋吉台（山口県）] 秋吉台 （あきよしだい）は、 山口県 美祢市 中・東部に広がる日本最大の カルスト台地 。北東方向に約16km、北西方向に約6kmの広がりを有し、台地上の総面積54 km 2 、石灰岩の分布（沖積面下の潜在部を含む）総面積93km 2 、台地面の標高180〜420mである。","https://ja.wikipedia.org/wiki/秋吉台","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"秋芳洞","[秋芳洞（山口県）] 秋芳洞 （あきよしどう、「しゅうほうどう」の読みは正式なものではない、詳細は 後述 ）は、 山口県 美祢市 東部、 秋吉台 の地下100-200mにある 鍾乳洞 で、約1kmの 観光 路をもって公開されている。鍾乳洞としては日本最大規模。洞奥の琴ヶ淵より洞口まで、約1kmにわたって 地下 川 が流れ下っている。 1990年前後の 洞窟 探検家による琴ヶ淵から奥への 潜水 調査の結果、東方約2.5kmにある葛ヶ穴まで連結し、総延長は8,850mに達した。","https://ja.wikipedia.org/wiki/秋芳洞","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大山 (鳥取県)","[大山（鳥取県）] 大山 （だいせん）は、 日本 の 鳥取県 にある 標高 1,729mの 山 。 成層火山 であるが、 活火山 としては扱われていない  。鳥取県および 中国地方 の最高峰でもある。 角盤山 （かくばんざん）とも呼ばれるほか、鳥取県西部の 旧国名 が 伯耆国 であったことから 伯耆大山 （ほうきだいせん）、あるいはその山容から 郷土富士 として 伯耆富士 や 出雲富士 とも呼ばれる  。 日本百名山 や 日本百景 にも選定され、鳥取県のシンボルの一つとされている  。","https://ja.wikipedia.org/wiki/大山_(鳥取県)","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","北緯35度22分16秒東経133度32分24秒","日本鳥取県大山町・琴浦町・江府町など","北緯35度22分16秒東経133度32分24秒﻿ / ﻿北緯35.37111度 東経133.54000度﻿ /35.37111; 133.54000座標:北緯35度22分16秒東経133度32分24秒﻿ / ﻿北緯35.37111度 東経133.54000度﻿ /35.37111; 133.54000","","1,729m","","","","","独立峰（大山山系）","成層火山・溶岩ドーム","","","","","","","","",""
"蒜山高原","[蒜山高原（岡山県）] 蒜山高原 （ひるぜんこうげん）は、 岡山県 真庭市 北部の 蒜山地方 に位置する 高原 である。","https://ja.wikipedia.org/wiki/蒜山高原","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"隠岐島","[隠岐島（島根県）] 隠岐諸島 （おきしょとう）は、 島根半島 の北方約50 kmに位置する島々である。 隠岐群島 （おきぐんとう）、 隠岐島 （おきのしま）とも呼ばれる  。 現在は 島根県 隠岐郡 に所属している。 山陰地方 では今  でも隠岐諸島を指して 隠岐国 （おきのくに）と呼ぶ場合がある。","https://ja.wikipedia.org/wiki/隠岐島","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","北緯36度12分00秒東経133度10分00秒","","","345.92 km2(133.56 sq mi)","","","","","","","","","","","","","608 m (1,995 ft)","","島根県","58.2 /km2(150.7 /sq mi)"
"宍道湖","[宍道湖（島根県）] 宍道湖 （しんじこ）は、 島根県 松江市 と 出雲市 にまたがる 湖  。 一級水系 の 斐伊川 の一部である  。","https://ja.wikipedia.org/wiki/宍道湖","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","北緯35度27分東経132度58分","日本島根県松江市、出雲市","北緯35度27分東経132度58分﻿ / ﻿北緯35.45度 東経132.97度﻿ /35.45; 132.97座標:北緯35度27分東経132度58分﻿ / ﻿北緯35.45度 東経132.97度﻿ /35.45; 132.97","79.25km2","","","海跡湖","汽水","富栄養湖","","","47km","6.4m","0  m","1.0 m","","","4.5 m","",""
"出雲大社","[出雲大社（島根県）] 出雲大社 （いずもおおやしろ  、正仮名遣いでは「いづもおほやしろ」/ いずもたいしゃ）は、 島根県 出雲市 大社町杵築東にある 神社 。 祭神 は 大国主大神  。 式内社 （ 名神大 ）、 出雲国 一宮 で旧 社格 は官幣大社  。 神社本庁 の 別表神社  。 宗教法人 出雲大社教 の宗祠。","https://ja.wikipedia.org/wiki/出雲大社","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","北緯35度24分07.4秒東経132度41分07.6秒","島根県出雲市大社町杵築東195","北緯35度24分07.4秒東経132度41分07.6秒﻿ / ﻿北緯35.402056度 東経132.685444度﻿ /35.402056; 132.685444﻿ (出雲大社)座標:北緯35度24分07.4秒東経132度41分07.6秒﻿ / ﻿北緯35.402056度 東経132.685444度﻿ /35.402056; 132.685444﻿ (出雲大社)","","","","","","","","","","","","","","","","",""
"松江市","[松江（島根県）] ","https://ja.wikipedia.org/wiki/松江市","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","北緯35度28分5.2秒東経133度2分54.7秒","〒690-8540島根県松江市末次町86番地北緯35度28分5.2秒東経133度2分54.7秒﻿ / ﻿北緯35.468111度 東経133.048528度﻿ /35.468111; 133.048528﻿ (松江市)座標:北緯35度28分5.2秒東経133度2分54.7秒﻿ / ﻿北緯35.468111度 東経133.048528度﻿ /35.468111; 133.048528﻿ (松江市)市庁舎位置","","572.99km2","","公式ウェブサイト","","","","","","","","","","","","","島根県","354人/km2"
"青海島","[青海島（山口県）] 青海島 （おおみじま、おうみじま）は、 山口県 長門市 の北、 日本海 に浮かぶ 島 である。","https://ja.wikipedia.org/wiki/青海島","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","北緯34度25分44.2秒東経131度13分19.8秒","日本山口県長門市","","14km²","","","","","","","","","","","","","319.9m","","",""
