"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","開業年月日","駅構造","ホーム","所在地","備考","電報略号","乗車人員,-統計年度-","駅番号","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","種別","起終点","駅数","開業","所有者"
"大久喜駅","大久喜駅（おおくきえき）","https://ja.wikipedia.org/wiki/大久喜駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯40度29分42秒東経141度37分23秒","■八戸線","21.8 km（八戸起点）","東日本旅客鉄道（JR東日本）","1956年（昭和31年）12月10日[1]","地上駅","1面1線","青森県八戸市大字鮫町字安川目北緯40度29分42秒東経141度37分23秒座標:北緯40度29分42秒 東経141度37分23秒","無人駅","オキ","","","","","","","","","",""
"大草駅","大草駅（おおくさえき）","https://ja.wikipedia.org/wiki/大草駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯32度51分36.39秒東経129度56分18.03秒","長崎本線（長与支線）","7.2 km（喜々津起点）","九州旅客鉄道（JR九州）","1898年（明治31年）11月27日","地上駅","2面2線","長崎県諫早市多良見町元釜197北緯32度51分36.39秒東経129度56分18.03秒﻿ / ﻿北緯32.8601083度 東経129.9383417度﻿ /32.8601083; 129.9383417﻿ (大草駅)","無人駅（自動券売機 有）","クサ","138人/日（降車客含まず）-2016年-","","","","","","","","",""
"大草山駅","大草山駅（おおくさやまえき）","https://ja.wikipedia.org/wiki/大草山駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯34度46分11.79秒東経137度37分13.34秒","かんざんじロープウェイ","0.7 km（かんざんじ起点）","遠鉄観光開発","1960年（昭和35年）12月","","","静岡県浜松市西区舘山寺町北緯34度46分11.79秒東経137度37分13.34秒﻿ / ﻿北緯34.7699417度 東経137.6203722度﻿ /34.7699417; 137.6203722","","","","","","","","","","","",""
"オークスカナルパークホテル富山前停留場","オークスカナルパークホテル富山前停留場（オークスカナルパークホテルとやままえていりゅうじょう）","https://ja.wikipedia.org/wiki/オークスカナルパークホテル富山前停留場","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯36度42分12.37秒東経137度12分52.33秒","■富山港線","0.3 km（富山駅起点）","富山地方鉄道","2021年（令和3年）3月21日[1][2][3]","地上駅","1面1線","富山県富山市牛島町12北緯36度42分12.37秒東経137度12分52.33秒﻿ / ﻿北緯36.7034361度 東経137.2145361度﻿ /36.7034361; 137.2145361座標:北緯36度42分12.37秒東経137度12分52.33秒﻿ / ﻿北緯36.7034361度 東経137.2145361度﻿ /36.7034361; 137.2145361","","","","C26","","","","","","","",""
"大口駅","大口駅（おおぐちえき）","https://ja.wikipedia.org/wiki/大口駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯35度29分32秒東経139度38分46.5秒","■横浜線","2.2 km（東神奈川起点）","東日本旅客鉄道（JR東日本）","1947年（昭和22年）12月20日[1]","地上駅","1面2線","横浜市神奈川区大口通135北緯35度29分32秒東経139度38分46.5秒﻿ / ﻿北緯35.49222度 東経139.646250度﻿ /35.49222; 139.646250座標:北緯35度29分32秒東経139度38分46.5秒﻿ / ﻿北緯35.49222度 東経139.646250度﻿ /35.49222; 139.646250","業務委託駅みどりの窓口有横浜市内駅","オウ←ヲクチ","19,085人/日（降車客含まず）-2019年-","JH14","","","","","","","",""
"大久保駅 (秋田県)","大久保駅 (秋田県)（おおくぼえき・東日本旅客鉄道奥羽本線）","https://ja.wikipedia.org/wiki/大久保駅_(秋田県)","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯39度52分16.83秒東経140度3分47.34秒","■奥羽本線","318.9 km（福島起点）","東日本旅客鉄道（JR東日本）","1902年（明治35年）10月21日[1]","地上駅","2面2線","秋田県潟上市昭和大久保字街道下3-1北緯39度52分16.83秒東経140度3分47.34秒座標:北緯39度52分16.83秒 東経140度3分47.34秒","簡易委託駅","オホ←ヲホ","390人/日（降車客含まず）-2019年-","","","","","","","","",""
"大久保駅 (東京都)","大久保駅 (東京都)（おおくぼえき・東日本旅客鉄道中央本線）","https://ja.wikipedia.org/wiki/大久保駅_(東京都)","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯35度42分2.6秒東経139度41分50.5秒","■中央・総武線（各駅停車）（正式には中央本線）","1.4 km（新宿起点）千葉から47.8 km","東日本旅客鉄道（JR東日本）","1895年（明治28年）5月5日","高架駅","1面2線","東京都新宿区百人町一丁目17-1北緯35度42分2.6秒東経139度41分50.5秒﻿ / ﻿北緯35.700722度 東経139.697361度﻿ /35.700722; 139.697361座標:北緯35度42分2.6秒東経139度41分50.5秒﻿ / ﻿北緯35.700722度 東経139.697361度﻿ /35.700722; 139.697361","業務委託駅東京都区内駅","ホク","27,678人/日（降車客含まず）-2019年-","JB09","","","","","","","",""
"大久保駅 (京都府)","大久保駅 (京都府)（おおくぼえき・近鉄京都線）","https://ja.wikipedia.org/wiki/大久保駅_(京都府)","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯34度52分28.3秒東経135度46分37.5秒","B京都線","13.6 km（京都起点）","近畿日本鉄道（近鉄）","1928年（昭和3年）11月3日","高架駅[1]","2面4線[1]","京都府宇治市広野町西裏81-2北緯34度52分28.3秒東経135度46分37.5秒﻿ / ﻿北緯34.874528度 東経135.777083度﻿ /34.874528; 135.777083座標:北緯34度52分28.3秒東経135度46分37.5秒﻿ / ﻿北緯34.874528度 東経135.777083度﻿ /34.874528; 135.777083","* 正式な乗換駅ではない","オクホ","（全日）14,320人/日（降車客含まず）-2019年-"," B12 ","","新田駅（JR奈良線）*","","","","","",""
"大久保駅 (兵庫県)","大久保駅 (兵庫県)（おおくぼえき・西日本旅客鉄道山陽本線）","https://ja.wikipedia.org/wiki/大久保駅_(兵庫県)","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯34度40分56.25秒東経134度56分19.88秒","A山陽本線（JR神戸線）","25.6km（神戸起点）大阪から58.7 km","西日本旅客鉄道（JR西日本）","1888年（明治21年）12月23日[1]","地上駅（橋上駅）[2]","2面4線[1]","兵庫県明石市大久保町大久保町20[1]北緯34度40分56.25秒東経134度56分19.88秒﻿ / ﻿北緯34.6822917度 東経134.9388556度﻿ /34.6822917; 134.9388556座標:北緯34度40分56.25秒東経134度56分19.88秒﻿ / ﻿北緯34.6822917度 東経134.9388556度﻿ /34.6822917; 134.9388556","直営駅[1]みどりの窓口有","オク","20,001人/日（降車客含まず）-2019年-","JR-A75","","","","","","","",""
"逢隈駅","逢隈駅（おおくまえき）","https://ja.wikipedia.org/wiki/逢隈駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","","■常磐線","337.8 km（日暮里起点）","東日本旅客鉄道（JR東日本）","1988年（昭和63年）8月2日[2]","地上駅","2面2線[1]","","無人駅（自動券売機 有）[1]","オオ","","","","","","","","","",""
"大蔵谷駅","大蔵谷駅（おおくらだにえき）","https://ja.wikipedia.org/wiki/大蔵谷駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯34度38分47.52秒東経135度0分28.87秒","本線","14.3 km（西代起点）","山陽電気鉄道","1917年（大正6年）4月12日[1][2]","地上駅[1]","2面2線[1]","兵庫県明石市大蔵八幡町7-10[1]北緯34度38分47.52秒東経135度0分28.87秒﻿ / ﻿北緯34.6465333度 東経135.0080194度﻿ /34.6465333; 135.0080194﻿ (大蔵谷駅)座標:北緯34度38分47.52秒東経135度0分28.87秒﻿ / ﻿北緯34.6465333度 東経135.0080194度﻿ /34.6465333; 135.0080194﻿ (大蔵谷駅)","無人駅[1]","","1,167人/日（降車客含まず）-2017年-","●SY 15","","","","","","","",""
"大倉山駅 (神奈川県)","大倉山駅 (神奈川県)（おおくらやまえき・東急東横線）","https://ja.wikipedia.org/wiki/大倉山駅_(神奈川県)","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯35度31分19.3秒東経139度37分47.7秒","■東横線","17.5 km（渋谷起点）","東急電鉄","1926年（大正15年）2月14日[2]","高架駅","2面2線","横浜市港北区大倉山一丁目1-1北緯35度31分19.3秒東経139度37分47.7秒﻿ / ﻿北緯35.522028度 東経139.629917度﻿ /35.522028; 139.629917﻿ (大倉山駅)座標:北緯35度31分19.3秒東経139度37分47.7秒﻿ / ﻿北緯35.522028度 東経139.629917度﻿ /35.522028; 139.629917﻿ (大倉山駅)","東急電鉄直営駅","","","TY15","55,464人/日-2019年-","","","","","","",""
"大倉山駅 (兵庫県)","大倉山駅 (兵庫県)（おおくらやまえき・神戸市営地下鉄山手線）","https://ja.wikipedia.org/wiki/大倉山駅_(兵庫県)","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯34度41分4.61秒東経135度10分28.29秒","西神・山手線（正式には山手線）","4.3km（新長田起点）谷上から10.8 km","神戸市交通局（神戸市営地下鉄）","1983年（昭和58年）6月17日[2]","地下駅[1]","島式 1面2線[1]","神戸市中央区楠町3丁目[1]北緯34度41分4.61秒東経135度10分28.29秒﻿ / ﻿北緯34.6846139度 東経135.1745250度﻿ /34.6846139; 135.1745250﻿ (大倉山駅)座標:北緯34度41分4.61秒東経135度10分28.29秒﻿ / ﻿北緯34.6846139度 東経135.1745250度﻿ /34.6846139; 135.1745250﻿ (大倉山駅)","","","5,865人/日（降車客含まず）-2019年-"," S05 ","","","","","","","",""
"大桑駅 (栃木県)","大桑駅 (栃木県)（おおくわえき・東武鬼怒川線）","https://ja.wikipedia.org/wiki/大桑駅_(栃木県)","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯36度45分38.0秒東経139度42分47.9秒","■鬼怒川線","4.8 km（下今市起点）","東武鉄道","1917年（大正6年）1月2日","地上駅","1面2線","栃木県日光市大桑町131北緯36度45分38.0秒東経139度42分47.9秒﻿ / ﻿北緯36.760556度 東経139.713306度﻿ /36.760556; 139.713306座標:北緯36度45分38.0秒東経139度42分47.9秒﻿ / ﻿北緯36.760556度 東経139.713306度﻿ /36.760556; 139.713306","簡易委託駅","クワ","","TN52","177人/日-2019年-","","","","","","",""
"大桑駅 (長野県)","大桑駅 (長野県)（おおくわえき・東海旅客鉄道中央本線）","https://ja.wikipedia.org/wiki/大桑駅_(長野県)","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯35度41分4.11秒東経137度39分51.20秒","CF中央本線","285.8km（東京起点）名古屋から111.1 km","東海旅客鉄道（JR東海）","1951年（昭和26年）9月1日[1]","地上駅","2面2線[1]","長野県木曽郡大桑村大字長野[1]北緯35度41分4.11秒東経137度39分51.20秒﻿ / ﻿北緯35.6844750度 東経137.6642222度﻿ /35.6844750; 137.6642222﻿ (大桑駅)","簡易委託駅[1]標高：527.2m[1]","オク[1]","59人/日（降車客含まず）-2018年-","","","","","","","","",""
"大胡駅","大胡駅（おおごえき）","https://ja.wikipedia.org/wiki/大胡駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯36度24分46.81秒東経139度9分23.99秒","■上毛線","8.3 km（中央前橋起点）","上毛電気鉄道","1928年（昭和3年）11月10日","地上駅","1面2線","群馬県前橋市茂木町41-2北緯36度24分46.81秒東経139度9分23.99秒﻿ / ﻿北緯36.4130028度 東経139.1566639度﻿ /36.4130028; 139.1566639﻿ (大胡駅)座標:北緯36度24分46.81秒東経139度9分23.99秒﻿ / ﻿北緯36.4130028度 東経139.1566639度﻿ /36.4130028; 139.1566639﻿ (大胡駅)","","","","","820人/日-2018年-","","","","","","",""
"大越駅","大越駅（おおごええき）","https://ja.wikipedia.org/wiki/大越駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","","■磐越東線","54.3 km（いわき起点）","東日本旅客鉄道（JR東日本）","1915年（大正4年）3月21日[1]","地上駅","1面2線[1]","","無人駅","オエ←ヲエ","216人/日（降車客含まず）-2015年-","","","","","","","","",""
"大在駅","大在駅（おおざいえき）","https://ja.wikipedia.org/wiki/大在駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯33度14分38.66秒東経131度43分13.18秒","■日豊本線","144.3 km（小倉起点）","九州旅客鉄道（JR九州）","1924年（大正13年）[3]11月25日","地上駅","2面3線[1]","大分県大分市大字政所1456[1][2]北緯33度14分38.66秒東経131度43分13.18秒","業務委託駅[2]みどりの窓口有[1]","サイ←ヲイ","2,200人/日（降車客含まず）-2019年-","","","","","","","","",""
"大阪駅","大阪駅（おおさかえき）","https://ja.wikipedia.org/wiki/大阪駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯34度42分6.8秒東経135度29分41.9秒","東海道本線（AJR京都線・JR神戸線）（GJR宝塚線）","556.4km（東京起点）京都から42.8 km","西日本旅客鉄道（JR西日本）","1874年（明治7年）5月11日","高架駅","6面11線","大阪市北区梅田三丁目1-1北緯34度42分6.8秒東経135度29分41.9秒﻿ / ﻿北緯34.701889度 東経135.494972度﻿ /34.701889; 135.494972﻿ (大阪駅Ōsaka Station)座標:北緯34度42分6.8秒東経135度29分41.9秒﻿ / ﻿北緯34.701889度 東経135.494972度﻿ /34.701889; 135.494972﻿ (大阪駅Ōsaka Station)","直営駅（管理駅）みどりの窓口有大阪市内駅（中心駅）","オサ","422,685人/日（降車客含まず）-2019年-","JR-A47（JR京都線・JR神戸線）JR-G47（JR宝塚線）","","大阪梅田駅（阪急・阪神）-阪急京都本線・神戸本線・宝塚本線-阪神本線梅田駅（Osaka Metro御堂筋線）西梅田駅（Osaka Metro四つ橋線）東梅田駅（Osaka Metro谷町線）北新地駅（HJR東西線）","","","","","",""
"大阪阿部野橋駅","大阪阿部野橋駅（おおさかあべのばしえき）","https://ja.wikipedia.org/wiki/大阪阿部野橋駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","","F南大阪線","0.0 km（大阪阿部野橋起点）","近畿日本鉄道（近鉄）","1923年（大正12年）4月13日","地上駅","6面5線","","","アヘ",""," F01 ","162,589人/日-2018年-","天王寺駅-西日本旅客鉄道（JR西日本）-大阪市高速電気軌道（Osaka Metro）天王寺駅前駅-阪堺電気軌道","","","","","",""
"大阪上本町駅","大阪上本町駅（おおさかうえほんまちえき）","https://ja.wikipedia.org/wiki/大阪上本町駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯34度39分55.98秒東経135度31分16.5秒","D大阪線","0.0 km（大阪上本町起点）","近畿日本鉄道（近鉄）","1914年（大正3年）4月30日","地上駅（大阪線）地下駅（奈良線）","7面6線（地上）2面2線（地下）","大阪市天王寺区上本町六丁目1-55北緯34度39分55.98秒東経135度31分16.5秒﻿ / ﻿北緯34.6655500度 東経135.521250度﻿ /34.6655500; 135.521250﻿ (大阪上本町駅*)座標:北緯34度39分55.98秒東経135度31分16.5秒﻿ / ﻿北緯34.6655500度 東経135.521250度﻿ /34.6655500; 135.521250﻿ (大阪上本町駅*)","大阪線は地上ホームに、難波線は地下ホームに発着","ウエ",""," D03 ","77,990人/日-2018年-","谷町九丁目駅（Osaka Metro谷町線・千日前線）","","","","","",""
"大阪梅田駅 (阪急)","大阪梅田駅 (阪急)（おおさかうめだえき・阪急神戸本線）","https://ja.wikipedia.org/wiki/大阪梅田駅_(阪急)","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯34度42分19.85秒東経135度29分53.92秒","■神戸本線","0.0 km（大阪梅田起点）","阪急電鉄","1910年（明治43年）3月10日","高架駅","10面9線","大阪市北区芝田一丁目1番2号[1]北緯34度42分19.85秒東経135度29分53.92秒﻿ / ﻿北緯34.7055139度 東経135.4983111度﻿ /34.7055139; 135.4983111﻿ (阪急梅田駅)座標:北緯34度42分19.85秒東経135度29分53.92秒﻿ / ﻿北緯34.7055139度 東経135.4983111度﻿ /34.7055139; 135.4983111﻿ (阪急梅田駅)","","","","HK01","（特定日）542,824人/日-2019年-","大阪梅田駅（阪神本線）梅田駅（Osaka Metro御堂筋線）東梅田駅（Osaka Metro谷町線）西梅田駅（Osaka Metro四つ橋線）大阪駅（JR京都線・JR神戸線・JR宝塚線・大阪環状線）北新地駅（JR東西線）","（通年平均）512,887人/日-2019年-","","","","",""
"大阪梅田駅 (阪神)","大阪梅田駅 (阪神)（おおさかうめだえき・阪神本線）","https://ja.wikipedia.org/wiki/大阪梅田駅_(阪神)","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯34度42分3.49秒東経135度29分47.2秒","本線","0.0 km（大阪梅田起点）","阪神電気鉄道","1906年（明治39年）12月21日","地下駅","5面4線","大阪市北区梅田三丁目大阪駅前地下街6北緯34度42分3.49秒東経135度29分47.2秒﻿ / ﻿北緯34.7009694度 東経135.496444度﻿ /34.7009694; 135.496444﻿ (阪神梅田駅)座標:北緯34度42分3.49秒東経135度29分47.2秒﻿ / ﻿北緯34.7009694度 東経135.496444度﻿ /34.7009694; 135.496444﻿ (阪神梅田駅)","* 2019年10月に「梅田駅」より改称。","","","HS01","","大阪梅田駅（阪急神戸本線・宝塚本線・京都本線）梅田駅（Osaka Metro御堂筋線）東梅田駅（Osaka Metro谷町線）西梅田駅（Osaka Metro四つ橋線）大阪駅（JR京都線・JR神戸線・JR宝塚線・大阪環状線）北新地駅（JR東西線）","170,112人/日-2019年-","","","","",""
"大阪貨物ターミナル駅","大阪貨物ターミナル駅（おおさかかもつターミナルえき）","https://ja.wikipedia.org/wiki/大阪貨物ターミナル駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯34度46分20.6秒東経135度33分51.1秒","東海道本線貨物支線","8.7 km（吹田（タ）起点）","日本貨物鉄道（JR貨物）","1982年（昭和57年）11月15日","地上駅","","大阪府摂津市安威川南町二丁目5北緯34度46分20.6秒東経135度33分51.1秒﻿ / ﻿北緯34.772389度 東経135.564194度﻿ /34.772389; 135.564194座標:北緯34度46分20.6秒東経135度33分51.1秒﻿ / ﻿北緯34.772389度 東経135.564194度﻿ /34.772389; 135.564194","貨物専用駅","オミ","","","","","","","","","",""
"大阪教育大前駅","大阪教育大前駅（おおさかきょういくだいまええき）","https://ja.wikipedia.org/wiki/大阪教育大前駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯34度33分19.16秒東経135度38分43.13秒","D大阪線","19.8 km（大阪上本町起点）","近畿日本鉄道（近鉄）","1991年（平成3年）12月6日","地上駅（橋上駅）","2面2線","大阪府柏原市旭ケ丘四丁目4555-1北緯34度33分19.16秒東経135度38分43.13秒﻿ / ﻿北緯34.5553222度 東経135.6453139度﻿ /34.5553222; 135.6453139座標:北緯34度33分19.16秒東経135度38分43.13秒﻿ / ﻿北緯34.5553222度 東経135.6453139度﻿ /34.5553222; 135.6453139","","オキタ","（全日）3,656人/日（降車客含まず）-2019年-"," D19 ","","","","","","","",""
"大阪空港駅","大阪空港駅（おおさかくうこうえき）","https://ja.wikipedia.org/wiki/大阪空港駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯34度47分29.20秒東経135度26分31.23秒","■本線","0.0 km（大阪空港起点）","大阪モノレール","1997年（平成9年）4月1日[1]","高架駅","島式 1面2線","大阪府豊中市蛍池西町3丁目551番地北緯34度47分29.20秒東経135度26分31.23秒﻿ / ﻿北緯34.7914444度 東経135.4420083度﻿ /34.7914444; 135.4420083座標:北緯34度47分29.20秒東経135度26分31.23秒﻿ / ﻿北緯34.7914444度 東経135.4420083度﻿ /34.7914444; 135.4420083","","",""," 11 ","","","17,710人/日-2019年-","","","","",""
"大阪港駅","大阪港駅（おおさかこうえき）","https://ja.wikipedia.org/wiki/大阪港駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯34度39分14.01秒東経135度26分3.70秒","●中央線","2.4 km（コスモスクエア起点）","大阪市高速電気軌道(Osaka Metro)","1961年（昭和36年）12月11日","高架駅","1面2線","大阪市港区築港三丁目5-9北緯34度39分14.01秒東経135度26分3.70秒﻿ / ﻿北緯34.6538917度 東経135.4343611度﻿ /34.6538917; 135.4343611座標:北緯34度39分14.01秒東経135度26分3.70秒﻿ / ﻿北緯34.6538917度 東経135.4343611度﻿ /34.6538917; 135.4343611","","","7,256人/日（降車客含まず）-2020年-"," C11 ","14,462人/日-2020年-","","","","","","",""
"大阪狭山市駅","大阪狭山市駅（おおさかさやましえき）","https://ja.wikipedia.org/wiki/大阪狭山市駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯34度30分14.92秒東経135度33分26.62秒","■高野線","21.8km（汐見橋起点）難波から21.1 km","南海電気鉄道","1917年（大正6年）7月5日","地上駅","2面2線","大阪府大阪狭山市狭山四丁目2340番地1北緯34度30分14.92秒東経135度33分26.62秒﻿ / ﻿北緯34.5041444度 東経135.5573944度﻿ /34.5041444; 135.5573944座標:北緯34度30分14.92秒東経135度33分26.62秒﻿ / ﻿北緯34.5041444度 東経135.5573944度﻿ /34.5041444; 135.5573944","無人駅","サマシ","","NK 65","","","9,494人/日-2019年-","","","","",""
"大阪城北詰駅","大阪城北詰駅（おおさかじょうきたづめえき）","https://ja.wikipedia.org/wiki/大阪城北詰駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯34度41分39.42秒東経135度31分31.93秒","HJR東西線","0.9km（京橋起点）木津から45.7 km","西日本旅客鉄道（JR西日本）（関西高速鉄道）","1997年（平成9年）3月8日","地下駅","1面2線","大阪市都島区網島町7北緯34度41分39.42秒東経135度31分31.93秒﻿ / ﻿北緯34.6942833度 東経135.5255361度﻿ /34.6942833; 135.5255361﻿ (大阪城北詰駅)座標:北緯34度41分39.42秒東経135度31分31.93秒﻿ / ﻿北緯34.6942833度 東経135.5255361度﻿ /34.6942833; 135.5255361﻿ (大阪城北詰駅)","業務委託駅みどりの窓口有大阪市内駅","オキ","5,484人/日（降車客含まず）-2019年-","JR-H42","","","","","","","",""
"大阪城公園駅","大阪城公園駅（おおさかじょうこうえんえき）","https://ja.wikipedia.org/wiki/大阪城公園駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯34度41分18.88秒東経135度32分4.13秒","O大阪環状線","天王寺駅経由：16.7km京橋駅経由：5.0 km（大阪起点）","西日本旅客鉄道（JR西日本）","1983年（昭和58年）10月1日","地上駅（橋上駅）","2面2線","大阪市中央区大阪城3北緯34度41分18.88秒東経135度32分4.13秒﻿ / ﻿北緯34.6885778度 東経135.5344806度﻿ /34.6885778; 135.5344806﻿ (大阪城公園駅)","直営駅みどりの券売機プラス設置駅大阪市内駅","オシ","13,531人/日（降車客含まず）-2019年-","JR-O07","","","","","","","",""
"大阪天満宮駅","大阪天満宮駅（おおさかてんまんぐうえき）","https://ja.wikipedia.org/wiki/大阪天満宮駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯34度41分50.66秒東経135度30分48.39秒","HJR東西線","2.2km（京橋起点）木津から47.0 km","西日本旅客鉄道（JR西日本）（関西高速鉄道）","1997年（平成9年）3月8日","地下駅","1面2線","大阪市北区東天満二丁目10先北緯34度41分50.66秒東経135度30分48.39秒﻿ / ﻿北緯34.6974056度 東経135.5134417度﻿ /34.6974056; 135.5134417﻿ (大阪天満宮駅)座標:北緯34度41分50.66秒東経135度30分48.39秒﻿ / ﻿北緯34.6974056度 東経135.5134417度﻿ /34.6974056; 135.5134417﻿ (大阪天満宮駅)","直営駅みどりの窓口有大阪市内駅","オテ","25,221人/日（降車客含まず）-2019年-","JR-H43","","南森町駅（地下鉄谷町線・堺筋線）","","","","","",""
"大阪難波駅","大阪難波駅（おおさかなんばえき）","https://ja.wikipedia.org/wiki/大阪難波駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯34度40分1.61秒東経135度29分56.91秒","A近鉄難波線（奈良線）**","0.0 km（大阪難波起点）","近畿日本鉄道（第一種鉄道事業者）阪神電気鉄道（第二種鉄道事業者）西大阪高速鉄道（第三種鉄道事業者）","1970年（昭和45年）3月15日","地下駅","2面3線","大阪市中央区難波四丁目1-17北緯34度40分1.61秒東経135度29分56.91秒﻿ / ﻿北緯34.6671139度 東経135.4991417度﻿ /34.6671139; 135.4991417﻿ (大阪難波駅*)座標:北緯34度40分1.61秒東経135度29分56.91秒﻿ / ﻿北緯34.6671139度 東経135.4991417度﻿ /34.6671139; 135.4991417﻿ (大阪難波駅*)","共同使用駅（近鉄の管轄駅）","ナン（近鉄）",""," A01 ","（近鉄）134,288人/日（阪神）61,125人/日-（近鉄）2018年--（阪神）2016年-","難波駅（南海本線・高野線）難波駅（Osaka Metro御堂筋線・四つ橋線・千日前線）JR難波駅（JR大和路線）","","","","","",""
"大阪ビジネスパーク駅","大阪ビジネスパーク駅（おおさかビジネスパークえき）","https://ja.wikipedia.org/wiki/大阪ビジネスパーク駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯34度41分31.71秒東経135度31分46.87秒","●長堀鶴見緑地線","7.8 km（大正起点）","大阪市高速電気軌道(Osaka Metro)","1996年（平成8年）12月11日","地下駅","島式 1面2線","大阪市中央区城見一丁目3-13北緯34度41分31.71秒東経135度31分46.87秒﻿ / ﻿北緯34.6921417度 東経135.5296861度﻿ /34.6921417; 135.5296861﻿ (大阪ビジネスパーク駅)","","","5,564人/日（降車客含まず）-2020年-"," N21 ","11,469人/日-2020年-","","","","","","",""
